TID,Name,FootSound_L,FootSound_R,FootSound_Up,FootSound_Down,FootEffect_L,FootEffect_R,FootEffect_Up,FootEffect_Down,Desc
13,H_Ground_Brick_J,Foot_Stone_01.ogg,Foot_Stone_02.ogg,PC_Jump_00.ogg,PC_Land_Stone_01.ogg,FX_Brick_A,FX_Brick_A,,FX_Brick_A,
14,H_Ground_Brick_K,Foot_Stone_03.ogg,Foot_Stone_04.ogg,PC_Jump_00.ogg,PC_Land_Stone_02.ogg,FX_Brick_A,FX_Brick_A,,FX_Brick_A,
15,H_Ground_Brick_L,Foot_Stone_01.ogg,Foot_Stone_02.ogg,PC_Jump_00.ogg,PC_Land_Stone_03.ogg,FX_Brick_A,FX_Brick_A,,FX_Brick_A,
16,H_Ground_Brick_L_ponit,Foot_Stone_03.ogg,Foot_Stone_04.ogg,PC_Jump_00.ogg,PC_Land_Stone_04.ogg,FX_Brick_A,FX_Brick_A,,FX_Brick_A,
17,H_Ground_Brick_N,Foot_Stone_01.ogg,Foot_Stone_02.ogg,PC_Jump_00.ogg,PC_Land_Stone_01.ogg,FX_Brick_A,FX_Brick_A,,FX_Brick_A,
18,H_Ground_Brick_O,Foot_Stone_03.ogg,Foot_Stone_04.ogg,PC_Jump_00.ogg,PC_Land_Stone_02.ogg,FX_Brick_A,FX_Brick_A,,FX_Brick_A,
19,H_Ground_Brick_G,Foot_Stone_01.ogg,Foot_Stone_02.ogg,PC_Jump_00.ogg,PC_Land_Stone_03.ogg,FX_Brick_A,FX_Brick_A,,FX_Brick_A,
20,H_Ground_Brick_F,Foot_Stone_03.ogg,Foot_Stone_04.ogg,PC_Jump_00.ogg,PC_Land_Stone_04.ogg,FX_Brick_A,FX_Brick_A,,FX_Brick_A,
21,H_Ground_Brick_C,Foot_Stone_01.ogg,Foot_Stone_02.ogg,PC_Jump_00.ogg,PC_Land_Stone_01.ogg,FX_Brick_A,FX_Brick_A,,FX_Brick_A,
22,H_Ground_Brick_B,Foot_Stone_03.ogg,Foot_Stone_04.ogg,PC_Jump_00.ogg,PC_Land_Stone_02.ogg,FX_Brick_A,FX_Brick_A,,FX_Brick_A,
23,H_Ground_Brick_A,Foot_Stone_01.ogg,Foot_Stone_02.ogg,PC_Jump_00.ogg,PC_Land_Stone_03.ogg,FX_Brick_A,FX_Brick_A,,FX_Brick_A,
24,Lebenhast_BoneDnest_brick,Foot_Stone_03.ogg,Foot_Stone_04.ogg,PC_Jump_00.ogg,PC_Land_Stone_02.ogg,FX_Brick_A,FX_Brick_A,,FX_Brick_A,
25,RuinsOfArdea_Bricks_A,Foot_Stone_01.ogg,Foot_Stone_02.ogg,PC_Jump_00.ogg,PC_Land_Stone_03.ogg,FX_Brick_A,FX_Brick_A,,FX_Brick_A,
26,Ancient_Castle_Brick_A,Foot_Stone_03.ogg,Foot_Stone_04.ogg,PC_Jump_00.ogg,PC_Land_Stone_02.ogg,FX_Brick_A,FX_Brick_A,,FX_Brick_A,
27,Ancient_Castle_Brick_B,Foot_Stone_01.ogg,Foot_Stone_02.ogg,PC_Jump_00.ogg,PC_Land_Stone_03.ogg,FX_Brick_A,FX_Brick_A,,FX_Brick_A,
28,VandeLuna_Brick_G,Foot_Stone_03.ogg,Foot_Stone_04.ogg,PC_Jump_00.ogg,PC_Land_Stone_02.ogg,FX_Brick_A,FX_Brick_A,,FX_Brick_A,
29,VandeLuna_Brick_H,Foot_Stone_01.ogg,Foot_Stone_02.ogg,PC_Jump_00.ogg,PC_Land_Stone_03.ogg,FX_Brick_A,FX_Brick_A,,FX_Brick_A,
30,VandeLuna_Brick_I,Foot_Stone_03.ogg,Foot_Stone_04.ogg,PC_Jump_00.ogg,PC_Land_Stone_02.ogg,FX_Brick_A,FX_Brick_A,,FX_Brick_A,
31,VandeLuna_Brick_J,Foot_Stone_01.ogg,Foot_Stone_02.ogg,PC_Jump_00.ogg,PC_Land_Stone_03.ogg,FX_Brick_A,FX_Brick_A,,FX_Brick_A,
32,NewHero_floor_a,Foot_Stone_01.ogg,Foot_Stone_02.ogg,PC_Jump_00.ogg,PC_Land_Stone_03.ogg,FX_Brick_A,FX_Brick_A,,FX_Brick_A,
1001,Aimhigh_ground_A,Foot_Grass_01.ogg,Foot_Grass_02.ogg,PC_Jump_00.ogg,PC_Land_Grass_01.ogg,FX_grass_A,FX_grass_A,,FX_grass_A,一般品
1002,battlefield_grass_D,Foot_Grass_03.ogg,Foot_Grass_04.ogg,PC_Jump_00.ogg,PC_Land_Grass_02.ogg,FX_grass_A,FX_grass_A,,FX_grass_A,
1003,battlefield_grass_F,Foot_Grass_01.ogg,Foot_Grass_02.ogg,PC_Jump_00.ogg,PC_Land_Grass_03.ogg,FX_grass_A,FX_grass_A,,FX_grass_A,
1004,Burninghedge_Grass_C,Foot_Grass_03.ogg,Foot_Grass_04.ogg,PC_Jump_00.ogg,PC_Land_Grass_04.ogg,FX_grass_A,FX_grass_A,,FX_grass_A,
1005,dun_gnome_gr02,Foot_Grass_01.ogg,Foot_Grass_02.ogg,PC_Jump_00.ogg,PC_Land_Grass_01.ogg,FX_grass_A,FX_grass_A,,FX_grass_A,
1006,dun_gnome_gr03,Foot_Grass_03.ogg,Foot_Grass_04.ogg,PC_Jump_00.ogg,PC_Land_Grass_02.ogg,FX_grass_A,FX_grass_A,,FX_grass_A,
1007,Loengreen_Grass_A,Foot_Grass_01.ogg,Foot_Grass_02.ogg,PC_Jump_00.ogg,PC_Land_Grass_03.ogg,FX_grass_A,FX_grass_A,,FX_grass_A,
1008,Loengreen_Grass_B,Foot_Grass_03.ogg,Foot_Grass_04.ogg,PC_Jump_00.ogg,PC_Land_Grass_04.ogg,FX_grass_A,FX_grass_A,,FX_grass_A,
1009,H_Ground_Ground_B,Foot_Grass_01.ogg,Foot_Grass_02.ogg,PC_Jump_00.ogg,PC_Land_Grass_01.ogg,FX_grass_A,FX_grass_A,,FX_grass_A,
1010,Stix_Grass_A,Foot_Grass_03.ogg,Foot_Grass_04.ogg,PC_Jump_00.ogg,PC_Land_Grass_02.ogg,FX_grass_A,FX_grass_A,,FX_grass_A,
1011,Stix_Grass_B,Foot_Grass_01.ogg,Foot_Grass_02.ogg,PC_Jump_00.ogg,PC_Land_Grass_03.ogg,FX_grass_A,FX_grass_A,,FX_grass_A,
1012,Stix_Ground_C,Foot_Grass_03.ogg,Foot_Grass_04.ogg,PC_Jump_00.ogg,PC_Land_Grass_04.ogg,FX_grass_A,FX_grass_A,,FX_grass_A,
1013,MurkMaze_Ground_002,Foot_Grass_01.ogg,Foot_Grass_02.ogg,PC_Jump_00.ogg,PC_Land_Grass_01.ogg,FX_grass_A,FX_grass_A,,FX_grass_A,
1014,MurkMaze_Ground_003,Foot_Grass_03.ogg,Foot_Grass_04.ogg,PC_Jump_00.ogg,PC_Land_Grass_02.ogg,FX_grass_A,FX_grass_A,,FX_grass_A,
1015,MurkMaze_Ground_005,Foot_Grass_01.ogg,Foot_Grass_02.ogg,PC_Jump_00.ogg,PC_Land_Grass_03.ogg,FX_grass_A,FX_grass_A,,FX_grass_A,
1016,RainbowPlain_Grass_E,Foot_Grass_03.ogg,Foot_Grass_04.ogg,PC_Jump_00.ogg,PC_Land_Grass_02.ogg,FX_grass_A,FX_grass_A,,FX_grass_A,
1017,RainbowPlain_Grass_F,Foot_Grass_03.ogg,Foot_Grass_04.ogg,PC_Jump_00.ogg,PC_Land_Grass_02.ogg,FX_grass_A,FX_grass_A,,FX_grass_A,
1018,NewHero_grass_a,Foot_Grass_03.ogg,Foot_Grass_04.ogg,PC_Jump_00.ogg,PC_Land_Grass_02.ogg,FX_grass_A,FX_grass_A,,FX_grass_A,
1019,NewHero_grass_b,Foot_Grass_03.ogg,Foot_Grass_04.ogg,PC_Jump_00.ogg,PC_Land_Grass_02.ogg,FX_grass_A,FX_grass_A,,FX_grass_A,
1020,NewHero_grass_c,Foot_Grass_03.ogg,Foot_Grass_04.ogg,PC_Jump_00.ogg,PC_Land_Grass_02.ogg,FX_grass_A,FX_grass_A,,FX_grass_A,
1101,battlefield_grass_A,Foot_Leaf_01.ogg,Foot_Leaf_02.ogg,PC_Jump_00.ogg,PC_Land_Leaf_01.ogg,FX_grass_A,FX_grass_A,,FX_grass_A,干草
1102,battlefield_grass_C,Foot_Leaf_03.ogg,Foot_Leaf_04.ogg,PC_Jump_00.ogg,PC_Land_Leaf_02.ogg,FX_grass_A,FX_grass_A,,FX_grass_A,
1103,battlefield_ground_003,Foot_Leaf_01.ogg,Foot_Leaf_02.ogg,PC_Jump_00.ogg,PC_Land_Leaf_03.ogg,FX_grass_A,FX_grass_A,,FX_grass_A,
1104,battlefield_ground_004,Foot_Leaf_03.ogg,Foot_Leaf_04.ogg,PC_Jump_00.ogg,PC_Land_Leaf_04.ogg,FX_grass_A,FX_grass_A,,FX_grass_A,
1105,battlefield_ground_grass_002,Foot_Leaf_01.ogg,Foot_Leaf_02.ogg,PC_Jump_00.ogg,PC_Land_Leaf_01.ogg,FX_grass_A,FX_grass_A,,FX_grass_A,
1106,Burninghedge_Grass_A,Foot_Leaf_03.ogg,Foot_Leaf_04.ogg,PC_Jump_00.ogg,PC_Land_Leaf_02.ogg,FX_grass_A,FX_grass_A,,FX_grass_A,
1107,viper_Grass_A,Foot_Leaf_01.ogg,Foot_Leaf_02.ogg,PC_Jump_00.ogg,PC_Land_Leaf_03.ogg,FX_grass_A,FX_grass_A,,FX_grass_A,
1108,viper_Grass_B,Foot_Leaf_03.ogg,Foot_Leaf_04.ogg,PC_Jump_00.ogg,PC_Land_Leaf_04.ogg,FX_grass_A,FX_grass_A,,FX_grass_A,
1109,Devaran_Ground_A,Foot_Leaf_01.ogg,Foot_Leaf_02.ogg,PC_Jump_00.ogg,PC_Land_Leaf_01.ogg,FX_grass_A,FX_grass_A,,FX_grass_A,
1110,Devaran_Ground_F,Foot_Leaf_03.ogg,Foot_Leaf_04.ogg,PC_Jump_00.ogg,PC_Land_Leaf_02.ogg,FX_grass_A,FX_grass_A,,FX_grass_A,
1111,farmfield00,Foot_Leaf_01.ogg,Foot_Leaf_02.ogg,PC_Jump_00.ogg,PC_Land_Leaf_01.ogg,FX_grass_A,FX_grass_A,,FX_grass_A,
1112,farmfield01,Foot_Leaf_03.ogg,Foot_Leaf_04.ogg,PC_Jump_00.ogg,PC_Land_Leaf_02.ogg,FX_grass_A,FX_grass_A,,FX_grass_A,
1113,lebenhast_grass,Foot_Leaf_01.ogg,Foot_Leaf_02.ogg,PC_Jump_00.ogg,PC_Land_Leaf_01.ogg,FX_grass_A,FX_grass_A,,FX_grass_A,
1114,RainbowPlain_Grass_A,Foot_Leaf_03.ogg,Foot_Leaf_04.ogg,PC_Jump_00.ogg,PC_Land_Leaf_02.ogg,FX_grass_A,FX_grass_A,,FX_grass_A,
1115,RainbowPlain_Grass_B,Foot_Leaf_01.ogg,Foot_Leaf_02.ogg,PC_Jump_00.ogg,PC_Land_Leaf_01.ogg,FX_grass_A,FX_grass_A,,FX_grass_A,
2001,battlefield_ground_ground_A,Foot_Soil_01.ogg,Foot_Soil_02.ogg,PC_Jump_00.ogg,PC_Land_Soil_01.ogg,FX_grass_A,FX_grass_A,,FX_grass_A,泥地
2002,Burninghedge_Ground_A,Foot_Soil_03.ogg,Foot_Soil_04.ogg,PC_Jump_00.ogg,PC_Land_Soil_02.ogg,FX_grass_A,FX_grass_A,,FX_grass_A,
2003,Burninghedge_Grass_B,Foot_Soil_01.ogg,Foot_Soil_02.ogg,PC_Jump_00.ogg,PC_Land_Soil_03.ogg,FX_grass_A,FX_grass_A,,FX_grass_A,
2004,Burninghedge_Ground_B,Foot_Soil_03.ogg,Foot_Soil_04.ogg,PC_Jump_00.ogg,PC_Land_Soil_04.ogg,FX_grass_A,FX_grass_A,,FX_grass_A,
2005,Burninghedge_Ground_C,Foot_Soil_01.ogg,Foot_Soil_02.ogg,PC_Jump_00.ogg,PC_Land_Soil_01.ogg,FX_grass_A,FX_grass_A,,FX_grass_A,
2006,dun_gnome_gr01,Foot_Soil_03.ogg,Foot_Soil_04.ogg,PC_Jump_00.ogg,PC_Land_Soil_02.ogg,FX_grass_A,FX_grass_A,,FX_grass_A,
2007,lebenhast_ground_A,Foot_Soil_01.ogg,Foot_Soil_02.ogg,PC_Jump_00.ogg,PC_Land_Soil_03.ogg,FX_grass_A,FX_grass_A,,FX_grass_A,
2008,lebenhast_ground_B,Foot_Soil_03.ogg,Foot_Soil_04.ogg,PC_Jump_00.ogg,PC_Land_Soil_04.ogg,FX_grass_A,FX_grass_A,,FX_grass_A,
2009,H_Ground_Ground_A,Foot_Soil_01.ogg,Foot_Soil_02.ogg,PC_Jump_00.ogg,PC_Land_Soil_01.ogg,FX_grass_A,FX_grass_A,,FX_grass_A,
2010,H_Ground_Ground_C,Foot_Soil_03.ogg,Foot_Soil_04.ogg,PC_Jump_00.ogg,PC_Land_Soil_02.ogg,FX_grass_A,FX_grass_A,,FX_grass_A,
2011,viper_Ground_A,Foot_Soil_01.ogg,Foot_Soil_02.ogg,PC_Jump_00.ogg,PC_Land_Soil_03.ogg,FX_grass_A,FX_grass_A,,FX_grass_A,
2012,viper_Ground_B,Foot_Soil_03.ogg,Foot_Soil_04.ogg,PC_Jump_00.ogg,PC_Land_Soil_04.ogg,FX_grass_A,FX_grass_A,,FX_grass_A,
2013,H_Ground_Ground_A_g,Foot_Soil_01.ogg,Foot_Soil_02.ogg,PC_Jump_00.ogg,PC_Land_Soil_01.ogg,FX_grass_A,FX_grass_A,,FX_grass_A,
2014,volcano_Ground_B,Foot_Soil_03.ogg,Foot_Soil_04.ogg,PC_Jump_00.ogg,PC_Land_Soil_02.ogg,FX_grass_A,FX_grass_A,,FX_grass_A,
2015,volcano_Ground_D,Foot_Soil_01.ogg,Foot_Soil_02.ogg,PC_Jump_00.ogg,PC_Land_Soil_03.ogg,FX_grass_A,FX_grass_A,,FX_grass_A,
2016,arahan_Skycolor,Foot_Soil_03.ogg,Foot_Soil_04.ogg,PC_Jump_00.ogg,PC_Land_Soil_02.ogg,FX_grass_A,FX_grass_A,,FX_grass_A,
2017,arahan_Skycolor_1,Foot_Soil_01.ogg,Foot_Soil_02.ogg,PC_Jump_00.ogg,PC_Land_Soil_03.ogg,FX_grass_A,FX_grass_A,,FX_grass_A,
2018,arahan_Skycolor_2,Foot_Soil_03.ogg,Foot_Soil_04.ogg,PC_Jump_00.ogg,PC_Land_Soil_02.ogg,FX_grass_A,FX_grass_A,,FX_grass_A,
2019,dream_ground01,Foot_Soil_01.ogg,Foot_Soil_02.ogg,PC_Jump_00.ogg,PC_Land_Soil_03.ogg,FX_grass_A,FX_grass_A,,FX_grass_A,
2020,kraud_Ground_00,Foot_Soil_03.ogg,Foot_Soil_04.ogg,PC_Jump_00.ogg,PC_Land_Soil_02.ogg,FX_grass_A,FX_grass_A,,FX_grass_A,
2021,Devaran_Farm_A,Foot_Soil_01.ogg,Foot_Soil_02.ogg,PC_Jump_00.ogg,PC_Land_Soil_03.ogg,FX_grass_A,FX_grass_A,,FX_grass_A,
2022,Devaran_Ground_B,Foot_Soil_03.ogg,Foot_Soil_04.ogg,PC_Jump_00.ogg,PC_Land_Soil_02.ogg,FX_grass_A,FX_grass_A,,FX_grass_A,
2023,Devaran_Ground_D,Foot_Soil_01.ogg,Foot_Soil_02.ogg,PC_Jump_00.ogg,PC_Land_Soil_03.ogg,FX_grass_A,FX_grass_A,,FX_grass_A,
2024,Devaran_Ground_E,Foot_Soil_03.ogg,Foot_Soil_04.ogg,PC_Jump_00.ogg,PC_Land_Soil_02.ogg,FX_grass_A,FX_grass_A,,FX_grass_A,
2025,Devaran_Ground_G,Foot_Soil_01.ogg,Foot_Soil_02.ogg,PC_Jump_00.ogg,PC_Land_Soil_03.ogg,FX_grass_A,FX_grass_A,,FX_grass_A,
2026,Devaran_Ground_H,Foot_Soil_03.ogg,Foot_Soil_04.ogg,PC_Jump_00.ogg,PC_Land_Soil_02.ogg,FX_grass_A,FX_grass_A,,FX_grass_A,
2027,LandofWarriors_ground_C,Foot_Soil_01.ogg,Foot_Soil_02.ogg,PC_Jump_00.ogg,PC_Land_Soil_03.ogg,FX_grass_A,FX_grass_A,,FX_grass_A,
2028,LandofWarriors_ground_D,Foot_Soil_03.ogg,Foot_Soil_04.ogg,PC_Jump_00.ogg,PC_Land_Soil_02.ogg,FX_grass_A,FX_grass_A,,FX_grass_A,
2029,RainbowPlain_Ground_A,Foot_Soil_01.ogg,Foot_Soil_02.ogg,PC_Jump_00.ogg,PC_Land_Soil_03.ogg,FX_grass_A,FX_grass_A,,FX_grass_A,
2030,RainbowPlain_Ground_B,Foot_Soil_03.ogg,Foot_Soil_04.ogg,PC_Jump_00.ogg,PC_Land_Soil_02.ogg,FX_grass_A,FX_grass_A,,FX_grass_A,
2031,Burninghedge_Ground_E,Foot_Soil_03.ogg,Foot_Soil_04.ogg,PC_Jump_00.ogg,PC_Land_Soil_02.ogg,FX_grass_A,FX_grass_A,,FX_grass_A,
2032,NewHero_ground_a,Foot_Soil_03.ogg,Foot_Soil_04.ogg,PC_Jump_00.ogg,PC_Land_Soil_02.ogg,FX_grass_A,FX_grass_A,,FX_grass_A,
2033,NewHero_ground_b,Foot_Soil_03.ogg,Foot_Soil_04.ogg,PC_Jump_00.ogg,PC_Land_Soil_02.ogg,FX_grass_A,FX_grass_A,,FX_grass_A,
2101,Loengreen_Ground_A,Foot_Mud_01.ogg,Foot_Mud_02.ogg,PC_Jump_00.ogg,PC_Land_Mud_01.ogg,FX_grass_A,FX_grass_A,,FX_grass_A,小泥地
2102,Loengreen_Ground_B,Foot_Mud_03.ogg,Foot_Mud_04.ogg,PC_Jump_00.ogg,PC_Land_Mud_02.ogg,FX_grass_A,FX_grass_A,,FX_grass_A,
2103,Loengreen_Rock_A,Foot_Mud_01.ogg,Foot_Mud_02.ogg,PC_Jump_00.ogg,PC_Land_Mud_03.ogg,FX_grass_A,FX_grass_A,,FX_grass_A,
2104,Stix_Ground_A,Foot_Mud_03.ogg,Foot_Mud_04.ogg,PC_Jump_00.ogg,PC_Land_Mud_04.ogg,FX_grass_A,FX_grass_A,,FX_grass_A,
2105,Stix_Ground_B,Foot_Mud_01.ogg,Foot_Mud_02.ogg,PC_Jump_00.ogg,PC_Land_Mud_01.ogg,FX_grass_A,FX_grass_A,,FX_grass_A,
2106,Stix_Ground_D,Foot_Mud_03.ogg,Foot_Mud_04.ogg,PC_Jump_00.ogg,PC_Land_Mud_02.ogg,FX_grass_A,FX_grass_A,,FX_grass_A,
2107,viper_Ground_C,Foot_Mud_01.ogg,Foot_Mud_02.ogg,PC_Jump_00.ogg,PC_Land_Mud_03.ogg,FX_grass_A,FX_grass_A,,FX_grass_A,
2108,dream_ground02,Foot_Mud_01.ogg,Foot_Mud_02.ogg,PC_Jump_00.ogg,PC_Land_Mud_03.ogg,FX_grass_A,FX_grass_A,,FX_grass_A,
2109,galia_mud01,Foot_Mud_01.ogg,Foot_Mud_02.ogg,PC_Jump_00.ogg,PC_Land_Mud_03.ogg,FX_grass_A,FX_grass_A,,FX_grass_A,
2110,galia_mud02,Foot_Mud_01.ogg,Foot_Mud_02.ogg,PC_Jump_00.ogg,PC_Land_Mud_03.ogg,FX_grass_A,FX_grass_A,,FX_grass_A,
2111,LandofWarriors_ground_B,Foot_Mud_01.ogg,Foot_Mud_02.ogg,PC_Jump_00.ogg,PC_Land_Mud_03.ogg,FX_grass_A,FX_grass_A,,FX_grass_A,
2112,doom_ground00,Foot_Mud_01.ogg,Foot_Mud_02.ogg,PC_Jump_00.ogg,PC_Land_Mud_03.ogg,FX_grass_A,FX_grass_A,,FX_grass_A,
2113,Deadbody_gruond,Foot_Mud_01.ogg,Foot_Mud_02.ogg,PC_Jump_00.ogg,PC_Land_Mud_03.ogg,FX_grass_A,FX_Ground_C,,FX_Ground_C,尸地
3001,battlefield_ground_001,Foot_Rock_01.ogg,Foot_Rock_02.ogg,PC_Jump_00.ogg,PC_Land_Rock_01.ogg,FX_Ground_B,FX_Ground_B,,FX_Ground_B,"石头场地,石头地"
3002,battlefield_ground_002,Foot_Rock_03.ogg,Foot_Rock_04.ogg,PC_Jump_00.ogg,PC_Land_Rock_02.ogg,FX_Ground_B,FX_Ground_B,,FX_Ground_B,
3003,battlefield_stone_A,Foot_Rock_01.ogg,Foot_Rock_02.ogg,PC_Jump_00.ogg,PC_Land_Rock_03.ogg,FX_Ground_B,FX_Ground_B,,FX_Ground_B,
3004,battlefield_stone_B,Foot_Rock_03.ogg,Foot_Rock_04.ogg,PC_Jump_00.ogg,PC_Land_Rock_04.ogg,FX_Ground_B,FX_Ground_B,,FX_Ground_B,
3005,battlefield_stone_C,Foot_Rock_01.ogg,Foot_Rock_02.ogg,PC_Jump_00.ogg,PC_Land_Rock_01.ogg,FX_Ground_B,FX_Ground_B,,FX_Ground_B,
3006,battlefield_stone_F,Foot_Rock_03.ogg,Foot_Rock_04.ogg,PC_Jump_00.ogg,PC_Land_Rock_02.ogg,FX_Ground_B,FX_Ground_B,,FX_Ground_B,
3007,Burninghedge_Rock_A,Foot_Rock_01.ogg,Foot_Rock_02.ogg,PC_Jump_00.ogg,PC_Land_Rock_03.ogg,FX_Ground_B,FX_Ground_B,,FX_Ground_B,
3008,dun_gnome_rock01,Foot_Rock_03.ogg,Foot_Rock_04.ogg,PC_Jump_00.ogg,PC_Land_Rock_04.ogg,FX_Ground_B,FX_Ground_B,,FX_Ground_B,
3009,dun_gnome_rock02,Foot_Rock_01.ogg,Foot_Rock_02.ogg,PC_Jump_00.ogg,PC_Land_Rock_01.ogg,FX_Ground_B,FX_Ground_B,,FX_Ground_B,
3010,dun_gnome_rock03,Foot_Rock_03.ogg,Foot_Rock_04.ogg,PC_Jump_00.ogg,PC_Land_Rock_02.ogg,FX_Ground_B,FX_Ground_B,,FX_Ground_B,
3011,lebenhast_rock_A,Foot_Rock_01.ogg,Foot_Rock_02.ogg,PC_Jump_00.ogg,PC_Land_Rock_03.ogg,FX_Ground_B,FX_Ground_B,,FX_Ground_B,
3012,lebenhast_rock_B,Foot_Rock_03.ogg,Foot_Rock_04.ogg,PC_Jump_00.ogg,PC_Land_Rock_04.ogg,FX_Ground_B,FX_Ground_B,,FX_Ground_B,
3013,Loengreen_bottomtile,Foot_Rock_01.ogg,Foot_Rock_02.ogg,PC_Jump_00.ogg,PC_Land_Rock_01.ogg,FX_Ground_B,FX_Ground_B,,FX_Ground_B,
3014,H_Ground_Brick_M,Foot_Rock_03.ogg,Foot_Rock_04.ogg,PC_Jump_00.ogg,PC_Land_Rock_02.ogg,FX_Ground_B,FX_Ground_B,,FX_Ground_B,
3015,MurkMaze_rock_001,Foot_Rock_01.ogg,Foot_Rock_02.ogg,PC_Jump_00.ogg,PC_Land_Rock_03.ogg,FX_Ground_B,FX_Ground_B,,FX_Ground_B,
3016,MurkMaze_rock_002,Foot_Rock_03.ogg,Foot_Rock_04.ogg,PC_Jump_00.ogg,PC_Land_Rock_04.ogg,FX_Ground_B,FX_Ground_B,,FX_Ground_B,
3017,Stix_Stone_A,Foot_Rock_01.ogg,Foot_Rock_02.ogg,PC_Jump_00.ogg,PC_Land_Rock_01.ogg,FX_Ground_B,FX_Ground_B,,FX_Ground_B,
3018,viper_Rock_A,Foot_Rock_03.ogg,Foot_Rock_04.ogg,PC_Jump_00.ogg,PC_Land_Rock_02.ogg,FX_Ground_B,FX_Ground_B,,FX_Ground_B,
3019,Aimhigh_volcano03,Foot_Rock_01.ogg,Foot_Rock_02.ogg,PC_Jump_00.ogg,PC_Land_Rock_03.ogg,FX_Ground_B,FX_Ground_B,,FX_Ground_B,
3020,Aimhigh_volcano04,Foot_Rock_03.ogg,Foot_Rock_04.ogg,PC_Jump_00.ogg,PC_Land_Rock_04.ogg,FX_Ground_B,FX_Ground_B,,FX_Ground_B,
3021,H_Ground_Brick_H,Foot_Rock_01.ogg,Foot_Rock_02.ogg,PC_Jump_00.ogg,PC_Land_Rock_01.ogg,FX_Ground_B,FX_Ground_B,,FX_Ground_B,
3022,H_Ground_Brick_M,Foot_Rock_03.ogg,Foot_Rock_04.ogg,PC_Jump_00.ogg,PC_Land_Rock_02.ogg,FX_Ground_B,FX_Ground_B,,FX_Ground_B,
3023,H_Ground_rock_A,Foot_Rock_01.ogg,Foot_Rock_02.ogg,PC_Jump_00.ogg,PC_Land_Rock_03.ogg,FX_Ground_B,FX_Ground_B,,FX_Ground_B,
3024,LaipzihaWall_Ground_A,Foot_Rock_03.ogg,Foot_Rock_04.ogg,PC_Jump_00.ogg,PC_Land_Rock_04.ogg,FX_Ground_B,FX_Ground_B,,FX_Ground_B,
3025,MurkMaze_Ground_001,Foot_Rock_01.ogg,Foot_Rock_02.ogg,PC_Jump_00.ogg,PC_Land_Rock_01.ogg,FX_Ground_B,FX_Ground_B,,FX_Ground_B,
3026,volcano_Ground_A,Foot_Rock_03.ogg,Foot_Rock_04.ogg,PC_Jump_00.ogg,PC_Land_Rock_02.ogg,FX_Ground_B,FX_Ground_B,,FX_Ground_B,
