TID,Comment,AddBreakNumber,AddBreakRate,BreakItem01,BreakItemStack01,BreakRate01,BreakItem02,BreakItemStack02,BreakRate02,BreakItem03,BreakItemStack03,BreakRate03,FGambleGhelld,FGambleItem01,FGambleItemStack01,FGambleRate01,FGambleItem02,FGambleItemStack02,FGambleRate02,FGambleItem03,FGambleItemStack03,FGambleRate03,SGambleGhelld,SGambleItem01,SGambleItemStack01,SGambleRate01,SGambleItem02,SGambleItemStack02,SGambleRate02,SGambleItem03,SGambleItemStack03,SGambleRate03
1206,头盔_46~50_高级,1,100,40104,1,20,40603,1,3020,37000,1,10000,3888,40104,1,100,40603,1,9000,40604,1,10000,7776,40104,1,280,40603,4,9000,40608,2,10000
1207,头盔_51~55_高级,1,100,40105,1,20,40604,1,3020,37000,1,10000,23328,40105,1,100,40604,1,9000,40608,1,10000,46656,40105,1,280,40604,4,9000,40609,2,10000
1208,头盔_56~60_高级,1,100,40105,1,20,40604,1,3020,37000,1,10000,23328,40105,1,100,40604,1,9000,40608,1,10000,46656,40105,1,280,40604,4,9000,40609,2,10000
1301,头盔_01~10_稀有,2,500,40100,1,30,40600,1,3030,37000,1,10000,3,40100,1,250,40600,2,7000,40601,1,10000,6,40100,1,700,40605,6,9000,40606,4,10000
1302,头盔_11~20_稀有,2,500,40101,1,30,40600,1,3030,37000,1,10000,18,40101,1,250,40600,2,7000,40601,1,10000,36,40101,1,700,40605,6,9000,40606,4,10000
1303,头盔_21~30_稀有,2,500,40102,1,30,40601,1,3030,37000,1,10000,108,40102,1,250,40601,2,7000,40602,1,10000,216,40102,1,700,40606,6,9000,40607,4,10000
1304,头盔_31~40_稀有,2,500,40103,1,30,40602,1,3030,37000,1,10000,648,40103,1,250,40602,2,7000,40603,1,10000,1296,40103,1,700,40607,6,9000,40608,4,10000
1305,头盔_41~45_稀有,2,500,40104,1,30,40603,1,3030,37000,1,10000,3888,40104,1,250,40603,2,7000,40604,1,10000,7776,40104,1,700,40608,6,9000,40301,1,10000
1306,头盔_46~50_稀有,2,500,40104,1,30,40603,1,3030,37000,1,10000,3888,40104,1,250,40603,2,7000,40604,1,10000,7776,40104,1,700,40608,6,9000,40301,1,10000
1307,头盔_51~55_稀有,2,500,40105,1,30,40604,1,3030,37000,1,10000,23328,40105,1,250,40604,2,7000,40608,1,10000,46656,40105,1,700,40609,6,9000,40301,1,10000
1308,头盔_56~60_稀有,2,500,40105,1,30,40604,1,3030,37000,1,10000,23328,40105,1,250,40604,2,7000,40608,1,10000,46656,40105,1,700,40609,6,9000,40301,1,10000
1401,头盔_01~10_特别,2,1000,40100,1,100,40600,1,3100,37000,1,10000,3,40100,1,650,40600,2,6000,40601,2,10000,6,40100,1,1820,40605,8,8000,40606,6,10000
1402,头盔_11~20_特别,2,1000,40101,1,100,40600,1,3100,37000,1,10000,18,40101,1,650,40600,2,6000,40601,2,10000,36,40101,1,1820,40605,8,8000,40606,6,10000
1403,头盔_21~30_特别,2,1000,40102,1,100,40601,1,3100,37000,1,10000,108,40102,1,650,40601,2,6000,40602,2,10000,216,40102,1,1820,40606,8,8000,40607,6,10000
1404,头盔_31~40_特别,2,1000,40103,1,100,40602,1,3100,37000,1,10000,648,40103,1,650,40602,2,6000,40603,2,10000,1296,40103,1,1820,40607,8,9000,40301,1,10000
1405,头盔_41~45_特别,2,1000,40104,1,100,40603,1,3100,37000,1,10000,3888,40104,1,650,40603,2,6000,40604,2,10000,7776,40104,1,1820,40610,4,9000,40302,1,10000
1406,头盔_46~50_特别,2,1000,40104,1,100,40603,1,3100,37000,1,10000,3888,40104,1,650,40603,2,6000,40604,2,10000,7776,40104,1,1820,40610,4,9000,40302,1,10000
1407,头盔_51~55_特别,2,1000,40105,1,100,40604,1,3100,37000,1,10000,23328,40105,1,650,40604,2,6000,40608,2,10000,46656,40105,1,1820,40610,4,9000,40302,1,10000
1408,头盔_56~60_特别,2,1000,40105,1,100,40604,1,3100,37000,1,10000,23328,40105,1,650,40604,2,6000,40608,2,10000,46656,40105,1,1820,40610,4,9000,40302,1,10000
2101,盔甲_01~10_一般,0,0,40100,1,10,40600,1,3010,37000,1,10000,3,40100,1,50,40600,1,9000,37000,1,10000,6,40100,1,140,40600,2,10000,0,0,0
2102,盔甲_11~20_一般,0,0,40101,1,10,40600,1,3010,37000,1,10000,18,40101,1,50,40600,1,9000,37000,1,10000,36,40101,1,140,40600,2,10000,0,0,0
2103,盔甲_21~30_一般,0,0,40102,1,10,40601,1,3010,37000,1,10000,108,40102,1,50,40601,1,9000,37000,1,10000,216,40102,1,140,40601,2,10000,0,0,0
2104,盔甲_31~40_一般,0,0,40103,1,10,40602,1,3010,37000,1,10000,648,40103,1,50,40602,1,9000,37000,1,10000,1296,40103,1,140,40602,2,10000,0,0,0
2105,盔甲_41~45_一般,0,0,40104,1,10,40603,1,3010,37000,1,10000,3888,40104,1,50,40603,1,9000,37000,1,10000,7776,40104,1,140,40603,2,10000,0,0,0
2106,盔甲_46~50_一般,0,0,40104,1,10,40603,1,3010,37000,1,10000,3888,40104,1,50,40603,1,9000,37000,1,10000,7776,40104,1,140,40603,2,10000,0,0,0
2107,盔甲_51~55_一般,0,0,40105,1,10,40604,1,3010,37000,1,10000,23328,40105,1,50,40604,1,9000,37000,1,10000,46656,40105,1,140,40604,2,10000,0,0,0
2108,盔甲_56~60_一般,0,0,40105,1,10,40604,1,3010,37000,1,10000,23328,40105,1,50,40604,1,9000,37000,1,10000,46656,40105,1,140,40604,2,10000,0,0,0
2201,盔甲_01~10_高级,1,100,40100,1,20,40600,1,3020,37000,1,10000,3,40100,1,100,40600,1,9000,40601,1,10000,6,40100,1,280,40600,4,9000,40605,2,10000
2202,盔甲_11~20_高级,1,100,40101,1,20,40600,1,3020,37000,1,10000,18,40101,1,100,40600,1,9000,40601,1,10000,36,40101,1,280,40600,4,9000,40605,2,10000
2203,盔甲_21~30_高级,1,100,40102,1,20,40601,1,3020,37000,1,10000,108,40102,1,100,40601,1,9000,40602,1,10000,216,40102,1,280,40601,4,9000,40606,2,10000
2204,盔甲_31~40_高级,1,100,40103,1,20,40602,1,3020,37000,1,10000,648,40103,1,100,40602,1,9000,40603,1,10000,1296,40103,1,280,40602,4,9000,40607,2,10000
2205,盔甲_41~45_高级,1,100,40104,1,20,40603,1,3020,37000,1,10000,3888,40104,1,100,40603,1,9000,40604,1,10000,7776,40104,1,280,40603,4,9000,40608,2,10000
2206,盔甲_46~50_高级,1,100,40104,1,20,40603,1,3020,37000,1,10000,3888,40104,1,100,40603,1,9000,40604,1,10000,7776,40104,1,280,40603,4,9000,40608,2,10000
2207,盔甲_51~55_高级,1,100,40105,1,20,40604,1,3020,37000,1,10000,23328,40105,1,100,40604,1,9000,40608,1,10000,46656,40105,1,280,40604,4,9000,40609,2,10000
2208,盔甲_56~60_高级,1,100,40105,1,20,40604,1,3020,37000,1,10000,23328,40105,1,100,40604,1,9000,40608,1,10000,46656,40105,1,280,40604,4,9000,40609,2,10000
2301,盔甲_01~10_稀有,2,500,40100,1,30,40600,1,3030,37000,1,10000,3,40100,1,250,40600,2,7000,40601,1,10000,6,40100,1,700,40605,6,9000,40606,4,10000
2302,盔甲_11~20_稀有,2,500,40101,1,30,40600,1,3030,37000,1,10000,18,40101,1,250,40600,2,7000,40601,1,10000,36,40101,1,700,40605,6,9000,40606,4,10000
2303,盔甲_21~30_稀有,2,500,40102,1,30,40601,1,3030,37000,1,10000,108,40102,1,250,40601,2,7000,40602,1,10000,216,40102,1,700,40606,6,9000,40607,4,10000
2304,盔甲_31~40_稀有,2,500,40103,1,30,40602,1,3030,37000,1,10000,648,40103,1,250,40602,2,7000,40603,1,10000,1296,40103,1,700,40607,6,9000,40608,4,10000
2305,盔甲_41~45_稀有,2,500,40104,1,30,40603,1,3030,37000,1,10000,3888,40104,1,250,40603,2,7000,40604,1,10000,7776,40104,1,700,40608,6,9000,40301,1,10000
2306,盔甲_46~50_稀有,2,500,40104,1,30,40603,1,3030,37000,1,10000,3888,40104,1,250,40603,2,7000,40604,1,10000,7776,40104,1,700,40608,6,9000,40301,1,10000
2307,盔甲_51~55_稀有,2,500,40105,1,30,40604,1,3030,37000,1,10000,23328,40105,1,250,40604,2,7000,40608,1,10000,46656,40105,1,700,40609,6,9000,40301,1,10000
2308,盔甲_56~60_稀有,2,500,40105,1,30,40604,1,3030,37000,1,10000,23328,40105,1,250,40604,2,7000,40608,1,10000,46656,40105,1,700,40609,6,9000,40301,1,10000
2401,盔甲_01~10_特别,2,1000,40100,1,100,40600,1,3100,37000,1,10000,3,40100,1,650,40600,2,6000,40601,2,10000,6,40100,1,1820,40605,8,8000,40606,6,10000
2402,盔甲_11~20_特别,2,1000,40101,1,100,40600,1,3100,37000,1,10000,18,40101,1,650,40600,2,6000,40601,2,10000,36,40101,1,1820,40605,8,8000,40606,6,10000
2403,盔甲_21~30_特别,2,1000,40102,1,100,40601,1,3100,37000,1,10000,108,40102,1,650,40601,2,6000,40602,2,10000,216,40102,1,1820,40606,8,8000,40607,6,10000
2404,盔甲_31~40_特别,2,1000,40103,1,100,40602,1,3100,37000,1,10000,648,40103,1,650,40602,2,6000,40603,2,10000,1296,40103,1,1820,40607,8,9000,40301,1,10000
2405,盔甲_41~45_特别,2,1000,40104,1,100,40603,1,3100,37000,1,10000,3888,40104,1,650,40603,2,6000,40604,2,10000,7776,40104,1,1820,40610,4,9000,40302,1,10000
2406,盔甲_46~50_特别,2,1000,40104,1,100,40603,1,3100,37000,1,10000,3888,40104,1,650,40603,2,6000,40604,2,10000,7776,40104,1,1820,40610,4,9000,40302,1,10000
2407,盔甲_51~55_特别,2,1000,40105,1,100,40604,1,3100,37000,1,10000,23328,40105,1,650,40604,2,6000,40608,2,10000,46656,40105,1,1820,40610,4,9000,40302,1,10000
2408,盔甲_56~60_特别,2,1000,40105,1,100,40604,1,3100,37000,1,10000,23328,40105,1,650,40604,2,6000,40608,2,10000,46656,40105,1,1820,40610,4,9000,40302,1,10000
3101,手套_01~10_一般,0,0,40100,1,10,40600,1,3010,37000,1,10000,3,40100,1,50,40600,1,9000,37000,1,10000,6,40100,1,140,40600,2,10000,0,0,0
3102,手套_11~20_一般,0,0,40101,1,10,40600,1,3010,37000,1,10000,18,40101,1,50,40600,1,9000,37000,1,10000,36,40101,1,140,40600,2,10000,0,0,0
3103,手套_21~30_一般,0,0,40102,1,10,40601,1,3010,37000,1,10000,108,40102,1,50,40601,1,9000,37000,1,10000,216,40102,1,140,40601,2,10000,0,0,0
3104,手套_31~40_一般,0,0,40103,1,10,40602,1,3010,37000,1,10000,648,40103,1,50,40602,1,9000,37000,1,10000,1296,40103,1,140,40602,2,10000,0,0,0
3105,手套_41~45_一般,0,0,40104,1,10,40603,1,3010,37000,1,10000,3888,40104,1,50,40603,1,9000,37000,1,10000,7776,40104,1,140,40603,2,10000,0,0,0
3106,手套_46~50_一般,0,0,40104,1,10,40603,1,3010,37000,1,10000,3888,40104,1,50,40603,1,9000,37000,1,10000,7776,40104,1,140,40603,2,10000,0,0,0
3107,手套_51~55_一般,0,0,40105,1,10,40604,1,3010,37000,1,10000,23328,40105,1,50,40604,1,9000,37000,1,10000,46656,40105,1,140,40604,2,10000,0,0,0
3108,手套_56~60_一般,0,0,40105,1,10,40604,1,3010,37000,1,10000,23328,40105,1,50,40604,1,9000,37000,1,10000,46656,40105,1,140,40604,2,10000,0,0,0
3201,手套_01~10_高级,1,100,40100,1,20,40600,1,3020,37000,1,10000,3,40100,1,100,40600,1,9000,40601,1,10000,6,40100,1,280,40600,4,9000,40605,2,10000
3202,手套_11~20_高级,1,100,40101,1,20,40600,1,3020,37000,1,10000,18,40101,1,100,40600,1,9000,40601,1,10000,36,40101,1,280,40600,4,9000,40605,2,10000
3203,手套_21~30_高级,1,100,40102,1,20,40601,1,3020,37000,1,10000,108,40102,1,100,40601,1,9000,40602,1,10000,216,40102,1,280,40601,4,9000,40606,2,10000
3204,手套_31~40_高级,1,100,40103,1,20,40602,1,3020,37000,1,10000,648,40103,1,100,40602,1,9000,40603,1,10000,1296,40103,1,280,40602,4,9000,40607,2,10000
3205,手套_41~45_高级,1,100,40104,1,20,40603,1,3020,37000,1,10000,3888,40104,1,100,40603,1,9000,40604,1,10000,7776,40104,1,280,40603,4,9000,40608,2,10000
3206,手套_46~50_高级,1,100,40104,1,20,40603,1,3020,37000,1,10000,3888,40104,1,100,40603,1,9000,40604,1,10000,7776,40104,1,280,40603,4,9000,40608,2,10000
3207,手套_51~55_高级,1,100,40105,1,20,40604,1,3020,37000,1,10000,23328,40105,1,100,40604,1,9000,40608,1,10000,46656,40105,1,280,40604,4,9000,40609,2,10000
3208,手套_56~60_高级,1,100,40105,1,20,40604,1,3020,37000,1,10000,23328,40105,1,100,40604,1,9000,40608,1,10000,46656,40105,1,280,40604,4,9000,40609,2,10000
3301,手套_01~10_稀有,2,500,40100,1,30,40600,1,3030,37000,1,10000,3,40100,1,250,40600,2,7000,40601,1,10000,6,40100,1,700,40605,6,9000,40606,4,10000
3302,手套_11~20_稀有,2,500,40101,1,30,40600,1,3030,37000,1,10000,18,40101,1,250,40600,2,7000,40601,1,10000,36,40101,1,700,40605,6,9000,40606,4,10000
3303,手套_21~30_稀有,2,500,40102,1,30,40601,1,3030,37000,1,10000,108,40102,1,250,40601,2,7000,40602,1,10000,216,40102,1,700,40606,6,9000,40607,4,10000
3304,手套_31~40_稀有,2,500,40103,1,30,40602,1,3030,37000,1,10000,648,40103,1,250,40602,2,7000,40603,1,10000,1296,40103,1,700,40607,6,9000,40608,4,10000
3305,手套_41~45_稀有,2,500,40104,1,30,40603,1,3030,37000,1,10000,3888,40104,1,250,40603,2,7000,40604,1,10000,7776,40104,1,700,40608,6,9000,40301,1,10000
3306,手套_46~50_稀有,2,500,40104,1,30,40603,1,3030,37000,1,10000,3888,40104,1,250,40603,2,7000,40604,1,10000,7776,40104,1,700,40608,6,9000,40301,1,10000
3307,手套_51~55_稀有,2,500,40105,1,30,40604,1,3030,37000,1,10000,23328,40105,1,250,40604,2,7000,40608,1,10000,46656,40105,1,700,40609,6,9000,40301,1,10000
3308,手套_56~60_稀有,2,500,40105,1,30,40604,1,3030,37000,1,10000,23328,40105,1,250,40604,2,7000,40608,1,10000,46656,40105,1,700,40609,6,9000,40301,1,10000
3401,手套_01~10_特别,2,1000,40100,1,100,40600,1,3100,37000,1,10000,3,40100,1,650,40600,2,6000,40601,2,10000,6,40100,1,1820,40605,8,8000,40606,6,10000
3402,手套_11~20_特别,2,1000,40101,1,100,40600,1,3100,37000,1,10000,18,40101,1,650,40600,2,6000,40601,2,10000,36,40101,1,1820,40605,8,8000,40606,6,10000
3403,手套_21~30_特别,2,1000,40102,1,100,40601,1,3100,37000,1,10000,108,40102,1,650,40601,2,6000,40602,2,10000,216,40102,1,1820,40606,8,8000,40607,6,10000
3404,手套_31~40_特别,2,1000,40103,1,100,40602,1,3100,37000,1,10000,648,40103,1,650,40602,2,6000,40603,2,10000,1296,40103,1,1820,40607,8,9000,40301,1,10000
3405,手套_41~45_特别,2,1000,40104,1,100,40603,1,3100,37000,1,10000,3888,40104,1,650,40603,2,6000,40604,2,10000,7776,40104,1,1820,40610,4,9000,40302,1,10000
3406,手套_46~50_特别,2,1000,40104,1,100,40603,1,3100,37000,1,10000,3888,40104,1,650,40603,2,6000,40604,2,10000,7776,40104,1,1820,40610,4,9000,40302,1,10000
3407,手套_51~55_特别,2,1000,40105,1,100,40604,1,3100,37000,1,10000,23328,40105,1,650,40604,2,6000,40608,2,10000,46656,40105,1,1820,40610,4,9000,40302,1,10000
3408,手套_56~60_特别,2,1000,40105,1,100,40604,1,3100,37000,1,10000,23328,40105,1,650,40604,2,6000,40608,2,10000,46656,40105,1,1820,40610,4,9000,40302,1,10000
4101,裤子_01~10_一般,0,0,40100,1,10,40600,1,3010,37000,1,10000,3,40100,1,50,40600,1,9000,37000,1,10000,6,40100,1,140,40600,2,10000,0,0,0
4102,裤子_11~20_一般,0,0,40101,1,10,40600,1,3010,37000,1,10000,18,40101,1,50,40600,1,9000,37000,1,10000,36,40101,1,140,40600,2,10000,0,0,0
4103,裤子_21~30_一般,0,0,40102,1,10,40601,1,3010,37000,1,10000,108,40102,1,50,40601,1,9000,37000,1,10000,216,40102,1,140,40601,2,10000,0,0,0
4104,裤子_31~40_一般,0,0,40103,1,10,40602,1,3010,37000,1,10000,648,40103,1,50,40602,1,9000,37000,1,10000,1296,40103,1,140,40602,2,10000,0,0,0
4105,裤子_41~45_一般,0,0,40104,1,10,40603,1,3010,37000,1,10000,3888,40104,1,50,40603,1,9000,37000,1,10000,7776,40104,1,140,40603,2,10000,0,0,0
4106,裤子_46~50_一般,0,0,40104,1,10,40603,1,3010,37000,1,10000,3888,40104,1,50,40603,1,9000,37000,1,10000,7776,40104,1,140,40603,2,10000,0,0,0
4107,裤子_51~55_一般,0,0,40105,1,10,40604,1,3010,37000,1,10000,23328,40105,1,50,40604,1,9000,37000,1,10000,46656,40105,1,140,40604,2,10000,0,0,0
4108,裤子_56~60_一般,0,0,40105,1,10,40604,1,3010,37000,1,10000,23328,40105,1,50,40604,1,9000,37000,1,10000,46656,40105,1,140,40604,2,10000,0,0,0
4201,裤子_01~10_高级,1,100,40100,1,20,40600,1,3020,37000,1,10000,3,40100,1,100,40600,1,9000,40601,1,10000,6,40100,1,280,40600,4,9000,40605,2,10000
4202,裤子_11~20_高级,1,100,40101,1,20,40600,1,3020,37000,1,10000,18,40101,1,100,40600,1,9000,40601,1,10000,36,40101,1,280,40600,4,9000,40605,2,10000
4203,裤子_21~30_高级,1,100,40102,1,20,40601,1,3020,37000,1,10000,108,40102,1,100,40601,1,9000,40602,1,10000,216,40102,1,280,40601,4,9000,40606,2,10000
4204,裤子_31~40_高级,1,100,40103,1,20,40602,1,3020,37000,1,10000,648,40103,1,100,40602,1,9000,40603,1,10000,1296,40103,1,280,40602,4,9000,40607,2,10000
4205,裤子_41~45_高级,1,100,40104,1,20,40603,1,3020,37000,1,10000,3888,40104,1,100,40603,1,9000,40604,1,10000,7776,40104,1,280,40603,4,9000,40608,2,10000
