TID,Comment,GroupID,GroupRate,MinGhelld,MaxGhelld,AddDropNumber,AddDropRate,DropItem01,DropItemStack01,DropRate01,DropItem02,DropItemStack02,DropRate02,DropItem03,DropItemStack03,DropRate03,DropItem04,DropItemStack04,DropRate04,DropItem05,DropItemStack05,DropRate05,DropItem06,DropItemStack06,DropRate06,DropItem07,DropItemStack07,DropRate07,DropItem08,DropItemStack08,DropRate08,DropItem09,DropItemStack09,DropRate09,DropItem10,DropItemStack10,DropRate10,DropItem11,DropItemStack11,DropRate11,DropItem12,DropItemStack12,DropRate12,DropItem13,DropItemStack13,DropRate13,DropItem14,DropItemStack14,DropRate14,DropItem15,DropItemStack15,DropRate15
27,(目标)一般_武器_2,2,1813,1,2,1,2325,1030001,1,2000,1110001,1,4000,1120001,1,6000,1130001,1,8000,1100001,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,(目标)一般_盾牌_2,2,2115,1,2,1,2712,1020004,1,9900,1020001,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,(目标)一般_靴子_2,2,2139,1,2,1,2740,2150014,1,3300,2153014,1,6600,2156014,1,9900,2150011,1,9933,2153011,1,9966,2156011,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,(目标)一般_手套_2,2,2162,1,2,1,2767,2130014,1,3300,2133014,1,6600,2136014,1,9900,2130011,1,9933,2133011,1,9966,2136011,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,(目标)一般_裤子_2,2,2185,1,2,1,2795,2140014,1,3300,2143014,1,6600,2146014,1,9900,2140011,1,9933,2143011,1,9966,2146011,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,(目标)一般_头盔_2,2,2208,1,2,1,2822,2110014,1,3300,2113014,1,6600,2116014,1,9900,2110011,1,9933,2113011,1,9966,2116011,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,(目标)一般_铠甲_2,2,2232,1,2,1,2850,2120014,1,3300,2123014,1,6600,2126014,1,9900,2120011,1,9933,2123011,1,9966,2126011,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,(目标)一般_武器_2,2,2255,1,2,1,2877,1030014,1,1000,1110014,1,2000,1120014,1,3000,1130014,1,4000,1030011,1,5000,1110011,1,6000,1120011,1,7000,1130011,1,8000,1100011,1,9000,1100014,1,10000,,,,,,,,,,,,,,,
35,(目标)一般_盾牌_2,2,2278,1,2,1,2905,1020014,1,9900,1020011,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,(目标)一般_靴子_2,2,2284,1,2,1,2912,2150024,1,3300,2153024,1,6600,2156024,1,9900,2150021,1,9933,2153021,1,9966,2156021,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,(目标)一般_手套_2,2,2290,1,2,1,2920,2130024,1,3300,2133024,1,6600,2136024,1,9900,2130021,1,9933,2133021,1,9966,2136021,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,(目标)一般_裤子_2,2,2297,1,2,1,2927,2140024,1,3300,2143024,1,6600,2146024,1,9900,2140021,1,9933,2143021,1,9966,2146021,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,(目标)一般_头盔_2,2,2303,1,2,1,2935,2110024,1,3300,2113024,1,6600,2116024,1,9900,2110021,1,9933,2113021,1,9966,2116021,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,(目标)一般_铠甲_2,2,2309,1,2,1,2942,2120024,1,3300,2123024,1,6600,2126024,1,9900,2120021,1,9933,2123021,1,9966,2126021,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,(目标)一般_武器_2,2,2315,1,2,1,2950,1030024,1,1000,1110024,1,2000,1120024,1,3000,1130024,1,4000,1030021,1,5000,1110021,1,6000,1120021,1,7000,1130021,1,8000,1100021,1,9000,1100024,1,10000,,,,,,,,,,,,,,,
42,(目标)一般_盾牌_2,2,2321,1,2,1,2957,1020024,1,9900,1020021,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,(目标)一般_靴子_3,3,299,2,4,1,385,2150001,1,3300,2153001,1,6666,2156001,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,(目标)一般_手套_3,3,598,2,4,1,770,2130001,1,3300,2133001,1,6666,2136001,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,(目标)一般_裤子_3,3,897,2,4,1,1155,2140001,1,3300,2143001,1,6666,2146001,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,(目标)一般_头盔_3,3,1196,2,4,1,1540,2110001,1,3300,2113001,1,6666,2116001,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,(目标)一般_铠甲_3,3,1495,2,4,1,1925,2120001,1,3300,2123001,1,6666,2126001,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,(目标)一般_武器_3,3,1794,2,4,1,2310,1030101,1,2000,1110101,1,4000,1120101,1,6000,1130101,1,8000,1100101,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,(目标)一般_盾牌_3,3,2094,2,4,1,2695,1020004,1,9900,1020001,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,(目标)一般_靴子_3,3,2115,2,4,1,2722,2150014,1,3300,2153014,1,6600,2156014,1,9900,2150011,1,9933,2153011,1,9966,2156011,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,(目标)一般_手套_3,3,2137,2,4,1,2750,2130014,1,3300,2133014,1,6600,2136014,1,9900,2130011,1,9933,2133011,1,9966,2136011,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,(目标)一般_裤子_3,3,2159,2,4,1,2777,2140014,1,3300,2143014,1,6600,2146014,1,9900,2140011,1,9933,2143011,1,9966,2146011,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,(目标)一般_头盔_3,3,2180,2,4,1,2805,2110014,1,3300,2113014,1,6600,2116014,1,9900,2110011,1,9933,2113011,1,9966,2116011,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,(目标)一般_铠甲_3,3,2202,2,4,1,2832,2120014,1,3300,2123014,1,6600,2126014,1,9900,2120011,1,9933,2123011,1,9966,2126011,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,(目标)一般_武器_3,3,2224,2,4,1,2860,1030114,1,1000,1110114,1,2000,1120114,1,3000,1130114,1,4000,1030111,1,5000,1110111,1,6000,1120111,1,7000,1130111,1,8000,1100111,1,9000,1100114,1,10000,,,,,,,,,,,,,,,
56,(目标)一般_盾牌_3,3,2245,2,4,1,2887,1020014,1,9900,1020011,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,(目标)一般_靴子_3,3,2252,2,4,1,2895,2150024,1,3300,2153024,1,6600,2156024,1,9900,2150021,1,9933,2153021,1,9966,2156021,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,(目标)一般_手套_3,3,2258,2,4,1,2902,2130024,1,3300,2133024,1,6600,2136024,1,9900,2130021,1,9933,2133021,1,9966,2136021,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,(目标)一般_裤子_3,3,2264,2,4,1,2910,2140024,1,3300,2143024,1,6600,2146024,1,9900,2140021,1,9933,2143021,1,9966,2146021,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,(目标)一般_头盔_3,3,2270,2,4,1,2917,2110024,1,3300,2113024,1,6600,2116024,1,9900,2110021,1,9933,2113021,1,9966,2116021,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,(目标)一般_铠甲_3,3,2276,2,4,1,2925,2120024,1,3300,2123024,1,6600,2126024,1,9900,2120021,1,9933,2123021,1,9966,2126021,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,(目标)一般_武器_3,3,2283,2,4,1,2932,1030124,1,1000,1110124,1,2000,1120124,1,3000,1130124,1,4000,1030121,1,5000,1110121,1,6000,1120121,1,7000,1130121,1,8000,1100121,1,9000,1100124,1,10000,,,,,,,,,,,,,,,
63,(目标)一般_盾牌_3,3,2289,2,4,1,2940,1020024,1,9900,1020021,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,(目标)一般_靴子_4,4,297,3,6,1,382,2150101,1,3300,2153101,1,6666,2156101,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,(目标)一般_手套_4,4,595,3,6,1,765,2130101,1,3300,2133101,1,6666,2136101,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,(目标)一般_裤子_4,4,892,3,6,1,1147,2140101,1,3300,2143101,1,6666,2146101,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,(目标)一般_头盔_4,4,1190,3,6,1,1530,2110101,1,3300,2113101,1,6666,2116101,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,(目标)一般_铠甲_4,4,1488,3,6,1,1912,2120101,1,3300,2123101,1,6666,2126101,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,(目标)一般_武器_4,4,1785,3,6,1,2295,1030101,1,2000,1110101,1,4000,1120101,1,6000,1130101,1,8000,1100101,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,(目标)一般_盾牌_4,4,2083,3,6,1,2677,1020104,1,9900,1020101,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,(目标)一般_靴子_4,4,2104,3,6,1,2705,2150114,1,3300,2153114,1,6600,2156114,1,9900,2150111,1,9933,2153111,1,9966,2156111,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,(目标)一般_手套_4,4,2126,3,6,1,2732,2130114,1,3300,2133114,1,6600,2136114,1,9900,2130111,1,9933,2133111,1,9966,2136111,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,(目标)一般_裤子_4,4,2148,3,6,1,2760,2140114,1,3300,2143114,1,6600,2146114,1,9900,2140111,1,9933,2143111,1,9966,2146111,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,(目标)一般_头盔_4,4,2170,3,6,1,2787,2110114,1,3300,2113114,1,6600,2116114,1,9900,2110111,1,9933,2113111,1,9966,2116111,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,(目标)一般_铠甲_4,4,2191,3,6,1,2815,2120114,1,3300,2123114,1,6600,2126114,1,9900,2120111,1,9933,2123111,1,9966,2126111,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,(目标)一般_武器_4,4,2213,3,6,1,2842,1030114,1,1000,1110114,1,2000,1120114,1,3000,1130114,1,4000,1030111,1,5000,1110111,1,6000,1120111,1,7000,1130111,1,8000,1100111,1,9000,1100114,1,10000,,,,,,,,,,,,,,,
77,(目标)一般_盾牌_4,4,2235,3,6,1,2870,1020114,1,9900,1020111,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,(目标)一般_靴子_4,4,2241,3,6,1,2877,2150124,1,3300,2153124,1,6600,2156124,1,9900,2150121,1,9933,2153121,1,9966,2156121,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,(目标)一般_手套_4,4,2247,3,6,1,2885,2130124,1,3300,2133124,1,6600,2136124,1,9900,2130121,1,9933,2133121,1,9966,2136121,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,(目标)一般_裤子_4,4,2253,3,6,1,2892,2140124,1,3300,2143124,1,6600,2146124,1,9900,2140121,1,9933,2143121,1,9966,2146121,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,(目标)一般_头盔_4,4,2259,3,6,1,2900,2110124,1,3300,2113124,1,6600,2116124,1,9900,2110121,1,9933,2113121,1,9966,2116121,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,(目标)一般_铠甲_4,4,2266,3,6,1,2907,2120124,1,3300,2123124,1,6600,2126124,1,9900,2120121,1,9933,2123121,1,9966,2126121,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,(目标)一般_武器_4,4,2272,3,6,1,2915,1030124,1,1000,1110124,1,2000,1120124,1,3000,1130124,1,4000,1030121,1,5000,1110121,1,6000,1120121,1,7000,1130121,1,8000,1100121,1,9000,1100124,1,10000,,,,,,,,,,,,,,,
84,(目标)一般_盾牌_4,4,2278,3,6,1,2922,1020124,1,9900,1020121,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,(目标)一般_靴子_5,5,229,5,9,1,377,2150101,1,3300,2153101,1,6666,2156101,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,(目标)一般_手套_5,5,458,5,9,1,755,2130101,1,3300,2133101,1,6666,2136101,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,(目标)一般_裤子_5,5,688,5,9,1,1132,2140101,1,3300,2143101,1,6666,2146101,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,(目标)一般_头盔_5,5,917,5,9,1,1510,2110101,1,3300,2113101,1,6666,2116101,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,(目标)一般_铠甲_5,5,1147,5,9,1,1887,2120101,1,3300,2123101,1,6666,2126101,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,(目标)一般_武器_5,5,1376,5,9,1,2265,1030201,1,2000,1110201,1,4000,1120201,1,6000,1130201,1,8000,1100201,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,(目标)一般_盾牌_5,5,1605,5,9,1,2642,1020204,1,9900,1020201,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,(目标)一般_靴子_5,5,1622,5,9,1,2670,2150114,1,3300,2153114,1,6600,2156114,1,9900,2150111,1,9933,2153111,1,9966,2156111,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,(目标)一般_手套_5,5,1639,5,9,1,2697,2130114,1,3300,2133114,1,6600,2136114,1,9900,2130111,1,9933,2133111,1,9966,2136111,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,(目标)一般_裤子_5,5,1656,5,9,1,2725,2140114,1,3300,2143114,1,6600,2146114,1,9900,2140111,1,9933,2143111,1,9966,2146111,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,(目标)一般_头盔_5,5,1674,5,9,1,2752,2110114,1,3300,2113114,1,6600,2116114,1,9900,2110111,1,9933,2113111,1,9966,2116111,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,(目标)一般_铠甲_5,5,1691,5,9,1,2780,2120114,1,3300,2123114,1,6600,2126114,1,9900,2120111,1,9933,2123111,1,9966,2126111,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,(目标)一般_武器_5,5,1708,5,9,1,2807,1030214,1,1000,1110214,1,2000,1120214,1,3000,1130214,1,4000,1030211,1,5000,1110211,1,6000,1120211,1,7000,1130211,1,8000,1100211,1,9000,1100214,1,10000,,,,,,,,,,,,,,,
98,(目标)一般_盾牌_5,5,1725,5,9,1,2835,1020214,1,9900,1020211,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,(目标)一般_靴子_5,5,1729,5,9,1,2842,2150124,1,3300,2153124,1,6600,2156124,1,9900,2150121,1,9933,2153121,1,9966,2156121,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,(目标)一般_手套_5,5,1734,5,9,1,2850,2130124,1,3300,2133124,1,6600,2136124,1,9900,2130121,1,9933,2133121,1,9966,2136121,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,(目标)一般_裤子_5,5,1739,5,9,1,2857,2140124,1,3300,2143124,1,6600,2146124,1,9900,2140121,1,9933,2143121,1,9966,2146121,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,(目标)一般_头盔_5,5,1743,5,9,1,2865,2110124,1,3300,2113124,1,6600,2116124,1,9900,2110121,1,9933,2113121,1,9966,2116121,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,(目标)一般_铠甲_5,5,1748,5,9,1,2872,2120124,1,3300,2123124,1,6600,2126124,1,9900,2120121,1,9933,2123121,1,9966,2126121,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,(目标)一般_武器_5,5,1753,5,9,1,2880,1030224,1,1000,1110224,1,2000,1120224,1,3000,1130224,1,4000,1030221,1,5000,1110221,1,6000,1120221,1,7000,1130221,1,8000,1100221,1,9000,1100224,1,10000,,,,,,,,,,,,,,,
105,(目标)一般_盾牌_5,5,1757,5,9,1,2887,1020224,1,9900,1020221,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,戒指_6,5,1945,7,12,1,2547,2080001,1,5000,2080002,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,戒指_6,5,1959,7,12,1,2742,2080011,1,5000,2080012,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,戒指_6,5,1962,7,12,1,2797,2080021,1,5000,2080022,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,项链_7,5,2149,9,16,1,2525,2070001,1,5000,2070002,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,项链_7,5,2163,9,16,1,2717,2070011,1,5000,2070012,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,项链_7,5,2166,9,16,1,2772,2070021,1,5000,2070022,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,(目标)一般_靴子_8,8,289,11,20,1,355,2150201,1,3300,2153201,1,6666,2156201,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,(目标)一般_手套_8,8,579,11,20,1,710,2130201,1,3300,2133201,1,6666,2136201,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,(目标)一般_裤子_8,8,869,11,20,1,1065,2140201,1,3300,2143201,1,6666,2146201,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,(目标)一般_头盔_8,8,1159,11,20,1,1420,2110201,1,3300,2113201,1,6666,2116201,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,(目标)一般_铠甲_8,8,1449,11,20,1,1775,2120201,1,3300,2123201,1,6666,2126201,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,(目标)一般_武器_8,8,1739,11,20,1,2130,1030301,1,2000,1110301,1,4000,1120301,1,6000,1130301,1,8000,1100301,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,(目标)一般_盾牌_8,8,2028,11,20,1,2485,1020304,1,9900,1020301,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,(目标)一般_靴子_8,8,2050,11,20,1,2510,2150214,1,3300,2153214,1,6600,2156214,1,9900,2150211,1,9933,2153211,1,9966,2156211,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,(目标)一般_手套_8,8,2072,11,20,1,2535,2130214,1,3300,2133214,1,6600,2136214,1,9900,2130211,1,9933,2133211,1,9966,2136211,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,(目标)一般_裤子_8,8,2094,11,20,1,2560,2140214,1,3300,2143214,1,6600,2146214,1,9900,2140211,1,9933,2143211,1,9966,2146211,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,(目标)一般_头盔_8,8,2115,11,20,1,2585,2110214,1,3300,2113214,1,6600,2116214,1,9900,2110211,1,9933,2113211,1,9966,2116211,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,(目标)一般_铠甲_8,8,2137,11,20,1,2610,2120214,1,3300,2123214,1,6600,2126214,1,9900,2120211,1,9933,2123211,1,9966,2126211,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,(目标)一般_武器_8,8,2159,11,20,1,2635,1030314,1,1000,1110314,1,2000,1120314,1,3000,1130314,1,4000,1030311,1,5000,1110311,1,6000,1120311,1,7000,1130311,1,8000,1100311,1,9000,1100314,1,10000,,,,,,,,,,,,,,,
125,(目标)一般_盾牌_8,8,2180,11,20,1,2660,1020314,1,9900,1020311,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,(目标)一般_靴子_8,8,2187,11,20,1,2667,2150224,1,3300,2153224,1,6600,2156224,1,9900,2150221,1,9933,2153221,1,9966,2156221,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
