TID,Skip,LimitTime,BGM,SceneTID,Comment
149,0,10,Sound/BGM/BGM_02.ogg,681|682|683,
150,0,10,Sound/BGM/BGM_02.ogg,685|686|687,
151,0,10,Sound/BGM/BGM_02.ogg,691|692|693|694|695,
152,0,10,Sound/BGM/BGM_02.ogg,697|698,
153,0,10,Sound/BGM/BGM_02.ogg,701|702,
154,0,10,Sound/BGM/BGM_02.ogg,707,
155,0,10,Sound/BGM/BGM_02.ogg,711|712|713|714|715,
156,0,10,Sound/BGM/BGM_02.ogg,718|719,
157,0,10,Sound/BGM/BGM_02.ogg,721|722|723|724|725,
158,0,10,Sound/BGM/BGM_02.ogg,727|728|729,
159,0,10,Sound/BGM/BGM_02.ogg,731|732|733|734|735,
160,0,10,Sound/BGM/BGM_02.ogg,737|738|739,
161,0,10,Sound/BGM/BGM_02.ogg,741|742|743,
162,0,10,Sound/BGM/BGM_02.ogg,745|746|747|748|749,
163,0,10,Sound/BGM/BGM_02.ogg,751|752|753|754|755,
164,0,10,Sound/BGM/BGM_02.ogg,757|758,
165,0,10,Sound/BGM/BGM_02.ogg,761|762|763|765,
166,0,10,Sound/BGM/BGM_02.ogg,767|768|769|770|771,
167,0,10,Sound/BGM/BGM_02.ogg,775|776|777,
168,0,10,Sound/BGM/BGM_02.ogg,781,
169,0,10,Sound/BGM/BGM_02.ogg,791|792,
170,0,10,Sound/BGM/BGM_02.ogg,797,
171,0,10,Sound/BGM/BGM_02.ogg,801|802,
172,0,10,Sound/BGM/BGM_02.ogg,807,
173,0,10,Sound/BGM/BGM_02.ogg,811|812|813|814,
174,0,10,Sound/BGM/BGM_02.ogg,817|818|819|820,
175,0,10,Sound/BGM/BGM_02.ogg,831|832,
176,0,10,Sound/BGM/BGM_02.ogg,837|838,
50001,0,10,Sound/BGM/BGM_02.ogg,500001|501001|502001|503001,
50002,0,10,Sound/BGM/BGM_02.ogg,500002|501002,
50003,0,10,Sound/BGM/BGM_02.ogg,500003|501003|502003,
50004,0,10,Sound/BGM/BGM_02.ogg,500004|501004,
50005,0,10,Sound/BGM/BGM_02.ogg,500005|501005,
50006,0,10,Sound/BGM/BGM_02.ogg,500006|501006,
50007,0,10,Sound/BGM/BGM_02.ogg,500007|501007|502007,
50008,0,10,Sound/BGM/BGM_02.ogg,500008|501008|502008|503008|504008,
50009,0,10,Sound/BGM/BGM_02.ogg,500009|501009|502009|503009|504009,
50010,0,10,Sound/BGM/BGM_02.ogg,500010|501010,
50011,0,10,Sound/BGM/BGM_02.ogg,500011,
50012,0,10,Sound/BGM/BGM_02.ogg,500012|501012,
50013,0,10,Sound/BGM/BGM_02.ogg,500013|501013|502013,
50014,0,10,Sound/BGM/BGM_02.ogg,500014|501014,
50015,0,10,Sound/BGM/BGM_02.ogg,500015|501015,
50016,0,10,Sound/BGM/BGM_02.ogg,500016|501016,
50017,0,10,Sound/BGM/BGM_02.ogg,500017|501017,
50018,0,10,Sound/BGM/BGM_02.ogg,500018|501018,
50019,0,10,Sound/BGM/BGM_02.ogg,500019|501019,
50020,0,10,Sound/BGM/BGM_02.ogg,500020|501020,
51001,0,10,Sound/BGM/BGM_02.ogg,510001|511001,
51002,0,10,Sound/BGM/BGM_02.ogg,510002|511002,
51003,0,10,Sound/BGM/BGM_02.ogg,510003|511003,
51004,0,10,Sound/BGM/BGM_02.ogg,510004|511004,
51005,0,10,Sound/BGM/BGM_02.ogg,510005|511005,
51006,0,10,Sound/BGM/BGM_02.ogg,510006|511006|512006|513006,
51007,0,10,Sound/BGM/BGM_02.ogg,510007|511007,
51008,0,10,Sound/BGM/BGM_02.ogg,510008|511008,
51009,0,10,Sound/BGM/BGM_02.ogg,510009|511009,
51010,0,10,Sound/BGM/BGM_02.ogg,510010|511010,
51011,0,10,Sound/BGM/BGM_02.ogg,510011,
51012,0,10,Sound/BGM/BGM_02.ogg,510012,
51013,0,10,Sound/BGM/BGM_02.ogg,510013|511013,
51014,0,10,Sound/BGM/BGM_02.ogg,510014|511014,
51015,0,10,Sound/BGM/BGM_02.ogg,510015|511015|512015,
51016,0,10,Sound/BGM/BGM_02.ogg,510016|511016,
51017,0,10,Sound/BGM/BGM_02.ogg,510017|511017,
51018,0,10,Sound/BGM/BGM_02.ogg,510018|511018,
51019,0,10,Sound/BGM/BGM_02.ogg,510019|511019,
51020,0,10,Sound/BGM/BGM_02.ogg,510020|511020,
50173,0,10,Sound/BGM/BGM_02.ogg,500173|501173,
53001,0,10,Sound/BGM/BGM_02.ogg,530001|531001|532001,
53002,0,10,Sound/BGM/BGM_02.ogg,530002|531002|532002,
53003,0,10,Sound/BGM/BGM_02.ogg,530003|531003|532003,
53004,0,10,Sound/BGM/BGM_02.ogg,530004|531004|532004|533004,
53005,0,10,Sound/BGM/BGM_02.ogg,530005|531005|532005,
53006,0,10,Sound/BGM/BGM_02.ogg,530006|531006,
54001,0,10,Sound/BGM/BGM_02.ogg,540001|541001|542001|543001,
54005,0,10,Sound/BGM/BGM_02.ogg,540005|541005|542005,
54009,0,10,Sound/BGM/BGM_02.ogg,540009|541009|542009,
54014,0,10,Sound/BGM/BGM_02.ogg,540014|541014|542014|543014|544014,
54016,0,10,Sound/BGM/BGM_02.ogg,540016|541016|542016|543016,
54018,0,10,Sound/BGM/BGM_02.ogg,540018|541018|542018,
54019,0,10,Sound/BGM/BGM_02.ogg,540019|541019|542019|543019,
