TID,Comment,Type,Value,TitleMsg,TutorialMovie,ExplainMsg,ToolTip,UIP,ParentControl,ChildControl,Offset
174,个人交易界面的说明。其他用户和个人交易时显示。,0,1,,,MSG_TUTORIAL_TRADE_USERTRADE,,/UserTrade,UT_Frame,UT_OK,0|30
175,个人商店界面说明。个人商店（快捷键T）时显示。,0,1,,,MSG_TUTORIAL_TRADE_USERSHOP,,/UserShop,US_Position,US_LineBox08,200|0
176,卖场界面列表说明。拍卖场的标签列表界面点击时显示。,0,1,,,MSG_TUTORIAL_TRADE_AUCTION_LIST,,/Auction,AuctionTopMenuList,AuctionTopMenuList,16|0
177,卖场注册界面说明。拍卖场的注册标签界面点击时显示。,0,1,,,MSG_TUTORIAL_TRADE_AUCTION_UPLOAD,,/Auction,AuctionTopMenuRegi,AuctionTopMenuRegi,100|0
178,拍卖场对账界面说明。拍卖场的精确计算标签界面点击时显示。,0,1,,,MSG_TUTORIAL_TRADE_AUCTION_RELOAD,,/Auction,AuctionTopMenuCal,AuctionTopMenuCal,184|0
179,商店界面说明。NPC点击出现的时候，商店界面输出。,0,1,,,MSG_TUTORIAL_TRADE_SHOP_BUY,,/Shop,shop_IconSlot,shop_IconSlot,20|0
180,商店在买入界面说明。商店购买的标签页时显示。,0,1,,,MSG_TUTORIAL_TRADE_SHOP_REBUY,,/Shop,shop_RepurSlot,shop_RepurSlot,104|0
181,任务通知用户界面描述。第一次任务就显示,0,1,,,MSG_TUTORIAL_QUEST_MINIBAR,,QuestMiniBar,QM_Quest01,QM_QM01,-45|-90
182,世界地图界面的说明。世界地图（快捷键M）时显示。,0,1,,,MSG_TUTORIAL_MOVE_WORLDMAP,,WorldMap,wm_position,WM_Combo01,25|550
183,门户界面说明。逃税点击出现的时候，用户界面显示。,0,1,,,MSG_TUTORIAL_MOVE_PORTAL,,/Portal,PT_Base,PT_GheldText,150|0
184,界面说明复活。角色死的时候。,0,1,,,MSG_TUTORIAL_CONTROL_REBIRTH,,/Rebirth,Rebirth_Frame,Rebirth_itemuse,240|0
185,社会行动用户界面描述。社会行动（快捷键。）时显示。,0,1,,,MSG_TUTORIAL_SOCIAL_LIST,,/SocialAction,SocialFrame,SocialList02,140|0
186,团队上界面的说明。团队匹配窗口（快捷键P）的团队标签点击时显示。,0,1,,,MSG_TUTORIAL_PARTY_MATCHING,,/PartyMatching,PTM_Frame,PTM_MainTitle,16|-1
187,维修说明界面。铁匠修理时显示。,0,1,,,MSG_TUTORIAL_ITEM_REPAIR,,/Repair,Repair,Repair_All,255|0
188,仓库界面说明。仓库管理员，仓库时显示。,0,1,,,MSG_TUTORIAL_SAFE_SAFEINVEN,,/safe,Safe_position,Safe_Title,45|120
189,邮件用户界面的说明。打开信箱时显示。,0,1,,,MSG_TUTORIAL_MAIL_BOX,,/MailBox,Mail_Frame,PB_SaveText,50|0
190,目标用户界面描述。其他角色点击时显示。,0,1,,,MSG_TUTORIAL_CONTROL_TARGET,,/Target,OtherStatus_frame,PCWLevelBG,50|25
191,他描述了用户界面。他用界面（团队中Aggro按钮）时显示。,0,1,,,MSG_TUTORIAL_CONTROL_AGGRO,,/Aggro,Aggro_Position,Aggro_TopImg,202|24
192,迷你地图（大规模战场）按钮界面说明。等级30（变动）上战场时显示,0,1,,,MSG_TUTORIAL_MINIMAP_RACEWAR,,MiniMap,MMP_WarEnter,MMP_WarEnter,-100|40
193,朋友/屏蔽用户界面描述。朋友/屏蔽用户界面出现时显示。,0,1,,,MSG_TUTORIAL_FRIEND,,/Friend,FFR_Frame,FFR_TitleArea,20|0
194,技能石,0,1,,,MSG_TUTORIAL_SKILLSTONE,,Charainfo,Ce_SkillStoneFrame,Ce_SkillStone_UseImg,20|0
