TID,SkillGroup,SkillLevel,Comment,EngName,LocalName,LearnType,Type,Kind,Property,BuffPosition,BuffDelete,InputType,Target,MaxArea_01,MaxArea_02,VolumeArea,MinRange,MaxRange,AutoLearnSkillTID,ComboSkillGroup,ReqHP,ReqMP,NumericalClass,KindValue,SuccessRate,AddDamage,AgroValue, AffectType, AffectDuration, AffectCount,CoolTime,GlobalCoolTime,NextSkillTID,AddtionSkillTID,AddtionRate,ReqItemTID,ReqItemTIDCount,CastMoveAbility,CastingAniID,UpCastingAniID,CastingTime,CastingFailRate,CastingDelayTime,CastingDelayRate,Race,LimitWeapon,LimitMainWeapon,LimitWeaponLevel,OpenPoint,LimitCharLevel,LearnSkillPoint,PreConditionTID_01,PreConditionTID_02,SkillArea,NowGrade,MaxGrade,AniID,AniTime,UpAniID,UpAniTime,EnableMoving,EffectiveRange,AutoAttack,ActionEffectname,CameraID,SkillIconID,EngDesc,LocalDesc,AlarmMsg
34,3,4, ,SKT_Name_000011,牵制攻击 (4阶段),1,1,0,0,0,0,2,20,0,0,1,0,3,0,0,0,12,1,119,100,0,357,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,2|4,1,0,0,0,0,1,0,0,2,4,5,1040,1567,1041,1567,1,0,1,01_040_001,0,3,SKT_Desc_000011,<TC '240:163:63' Text'给对象119的伤害.'/>/n<TC '240:163:63' Text'增加对象的威胁.'/>,
35,3,5, ,SKT_Name_000012,牵制攻击 (5阶段),1,1,0,0,0,0,2,20,0,0,1,0,3,0,0,0,16,1,137,100,0,411,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,2|4,1,0,0,0,0,1,0,0,2,5,5,1040,1567,1041,1567,1,0,1,01_040_001,0,3,SKT_Desc_000012,<TC '240:163:63' Text'给对象137的伤害.'/>/n<TC '240:163:63' Text'增加对象的威胁.'/>,
41,4,1,无源,SKT_Name_000013,钢铁体力 (1阶段),1,0,0,10,0,0,1,1,0,0,1,0,0,0,0,0,0,1,48,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2|4,1,1,0,0,0,1,0,0,2,1,5,0,0,0,0,0,0,0,0,0,4,SKT_Desc_000013,<TC '240:163:63' Text'增加自身永久最大生命伤害48.'/>,
42,4,2,无源,SKT_Name_000014,钢铁体力 (2阶段),1,0,0,10,0,0,1,1,0,0,1,0,0,0,0,0,0,1,93,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2|4,1,1,0,0,0,1,0,0,2,2,5,0,0,0,0,0,0,0,0,0,4,SKT_Desc_000014,<TC '240:163:63' Text'增加自身永久最大生命伤害93.'/>,
43,4,3,无源,SKT_Name_000015,钢铁体力 (3阶段),1,0,0,10,0,0,1,1,0,0,1,0,0,0,0,0,0,1,148,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2|4,1,1,0,0,0,1,0,0,2,3,5,0,0,0,0,0,0,0,0,0,4,SKT_Desc_000015,<TC '240:163:63' Text'增加自身永久最大生命伤害148.'/>,
44,4,4,无源,SKT_Name_000016,钢铁体力 (4阶段),1,0,0,10,0,0,1,1,0,0,1,0,0,0,0,0,0,1,219,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2|4,1,1,0,15,0,1,0,0,2,4,5,0,0,0,0,0,0,0,0,0,4,SKT_Desc_000016,<TC '240:163:63' Text'增加自身永久最大生命伤害219.'/>,
45,4,5,无源,SKT_Name_000017,钢铁体力 (5阶段),1,0,0,10,0,0,1,1,0,0,1,0,0,0,0,0,0,1,300,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2|4,1,1,0,15,0,1,0,0,2,5,5,0,0,0,0,0,0,0,0,0,4,SKT_Desc_000017,<TC '240:163:63' Text'增加自身永久最大生命伤害300.'/>,
51,5,1, ,SKT_Name_000018,穿刺腿 (1阶段),1,3,0,9,1,0,2,20,0,0,1,0,3,0,0,0,9,0,20,100,0,400,1,5000,0,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,2|4,1,0,0,0,0,1,0,0,2,1,5,1042,1167,1043,1167,1,0,1,01_042_001,0,5,SKT_Desc_000018,<TC '240:163:63' Text'赋予对象5秒内移动速度降低20%的效果.'/>,
52,5,2, ,SKT_Name_000019,穿刺腿 (2阶段),1,3,0,9,1,0,2,20,0,0,1,0,3,0,0,0,13,0,30,100,0,600,1,5000,0,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,2|4,1,0,0,0,0,1,0,0,2,2,5,1042,1167,1043,1167,1,0,1,01_042_001,0,5,SKT_Desc_000019,<TC '240:163:63' Text'赋予对象5秒内移动速度降低30%的效果.'/>,
53,5,3, ,SKT_Name_000020,穿刺腿 (3阶段),1,3,0,9,1,0,2,20,0,0,1,0,3,0,0,0,17,0,40,100,0,800,1,5000,0,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,2|4,1,0,0,0,0,1,0,0,2,3,5,1042,1167,1043,1167,1,0,1,01_042_001,0,5,SKT_Desc_000020,<TC '240:163:63' Text'赋予对象5秒内移动速度降低40%的效果.'/>,
54,5,4, ,SKT_Name_000021,穿刺腿 (4阶段),1,3,0,9,1,0,2,20,0,0,1,0,3,0,0,0,22,0,50,100,0,1000,1,5000,0,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,2|4,1,0,0,0,0,1,0,0,2,4,5,1042,1167,1043,1167,1,0,1,01_042_001,0,5,SKT_Desc_000021,<TC '240:163:63' Text'赋予对象5秒内移动速度降低50%的效果.'/>,
55,5,5, ,SKT_Name_000022,穿刺腿 (5阶段),1,3,0,9,1,0,2,20,0,0,1,0,3,0,0,0,28,0,60,100,0,1200,1,5000,0,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,2|4,1,0,0,0,0,1,0,0,2,5,5,1042,1167,1043,1167,1,0,1,01_042_001,0,5,SKT_Desc_000022,<TC '240:163:63' Text'赋予对象5秒内移动速度降低60%的效果.'/>,
61,6,1,1连击 2技能,SKT_Name_000023,震动穿刺 (1阶段),1,1,0,0,1,0,2,20,0,0,1,0,3,0,1,0,11,1,94,100,0,165,0,0,0,8000,0,0,71,100,0,0,0,0,0,0,0,0,0,2|4,1,0,0,0,0,1,21,0,2,1,5,1102,1067,0,0,0,0,1,01_102_001,0,6,SKT_Desc_000023,<TC '240:163:63' Text'给攻击对象94的伤害'/>/n<TC '240:163:63' Text'6秒内总伤害27的增加.'/>,
62,6,2,1连击 2技能,SKT_Name_000024,震动穿刺 (2阶段),1,1,0,0,1,0,2,20,0,0,1,0,3,0,1,0,15,1,112,100,0,196,0,0,0,8000,0,0,72,100,0,0,0,0,0,0,0,0,0,2|4,1,0,0,0,0,1,22,0,2,2,5,1102,1067,0,0,0,0,1,01_102_001,0,6,SKT_Desc_000024,<TC '240:163:63' Text'给攻击对象112的伤害'/>/n<TC '240:163:63' Text'6秒内总伤害36的增加.'/>,
63,6,3,1连击 2技能,SKT_Name_000025,震动穿刺 (3阶段),1,1,0,0,1,0,2,20,0,0,1,0,3,0,1,0,20,1,137,100,0,240,0,0,0,8000,0,0,73,100,0,0,0,0,0,0,0,0,0,2|4,1,0,0,0,0,1,23,0,2,3,5,1102,1067,0,0,0,0,1,01_102_001,0,6,SKT_Desc_000025,<TC '240:163:63' Text'给攻击对象137的伤害'/>/n<TC '240:163:63' Text'6秒内总伤害48的增加.'/>,
64,6,4,1连击 2技能,SKT_Name_000026,震动穿刺 (4阶段),1,1,0,0,1,0,2,20,0,0,1,0,3,0,1,0,26,1,159,100,0,278,0,0,0,8000,0,0,74,100,0,0,0,0,0,0,0,0,0,2|4,1,0,0,0,0,1,24,0,2,4,5,1102,1067,0,0,0,0,1,01_102_001,0,6,SKT_Desc_000026,<TC '240:163:63' Text'给攻击对象159的伤害'/>/n<TC '240:163:63' Text'6秒内总伤害57的增加.'/>,
65,6,5,1连击 2技能,SKT_Name_000027,震动穿刺 (5阶段),1,1,0,0,1,0,2,20,0,0,1,0,3,0,1,0,33,1,182,100,0,319,0,0,0,8000,0,0,75,100,0,0,0,0,0,0,0,0,0,2|4,1,0,0,0,0,1,25,0,2,5,5,1102,1067,0,0,0,0,1,01_102_001,0,6,SKT_Desc_000027,<TC '240:163:63' Text'给攻击对象159的伤害'/>/n<TC '240:163:63' Text'6秒内总伤害72的增加.'/>,
71,7,1,1连击 2技能,SKT_Name_000028,震动穿刺 (1阶段),1,3,0,12,1,0,2,20,0,0,1,0,3,0,0,0,0,1,9,100,0,0,2,2000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2|4,1,0,0,0,0,1,0,0,2,1,5,1102,1067,0,0,0,0,1,01_102_001,0,6,SKT_Desc_000028,<TC '240:163:63' Text'6秒内总伤害27的增加'/>,
72,7,2,1连击 2技能,SKT_Name_000029,震动穿刺 (2阶段),1,3,0,12,1,0,2,20,0,0,1,0,3,0,0,0,0,1,12,100,0,0,2,2000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2|4,1,0,0,0,0,1,0,0,2,2,5,1102,1067,0,0,0,0,1,01_102_001,0,6,SKT_Desc_000029,<TC '240:163:63' Text'6秒内总伤害36的增加'/>,
73,7,3,1连击 2技能,SKT_Name_000030,震动穿刺 (3阶段),1,3,0,12,1,0,2,20,0,0,1,0,3,0,0,0,0,1,16,100,0,0,2,2000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2|4,1,0,0,0,0,1,0,0,2,3,5,1102,1067,0,0,0,0,1,01_102_001,0,6,SKT_Desc_000030,<TC '240:163:63' Text'6秒内总伤害48的增加'/>,
74,7,4,1连击 2技能,SKT_Name_000031,震动穿刺 (4阶段),1,3,0,12,1,0,2,20,0,0,1,0,3,0,0,0,0,1,19,100,0,0,2,2000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2|4,1,0,0,0,0,1,0,0,2,4,5,1102,1067,0,0,0,0,1,01_102_001,0,6,SKT_Desc_000031,<TC '240:163:63' Text'6秒内总伤害48的增加'/>,
75,7,5,1连击 2技能,SKT_Name_000032,震动穿刺 (5阶段),1,3,0,12,1,0,2,20,0,0,1,0,3,0,0,0,0,1,24,100,0,0,2,2000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2|4,1,0,0,0,0,1,0,0,2,5,5,1102,1067,0,0,0,0,1,01_102_001,0,6,SKT_Desc_000032,<TC '240:163:63' Text'6秒内总伤害72的增加'/>,
81,8,1,无源,SKT_Name_000033,防御之哮 (1阶段),1,0,0,2,0,0,1,1,0,0,1,0,0,0,0,0,0,1,568,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2|4,1,1,0,0,0,1,0,0,2,1,5,0,0,0,0,0,0,0,0,0,7,SKT_Desc_000033,<TC '240:163:63' Text'永久增加自身物理防御力568.'/>,
82,8,2,无源,SKT_Name_000034,防御之哮 (2阶段),1,0,0,2,0,0,1,1,0,0,1,0,0,0,0,0,0,1,814,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2|4,1,1,0,15,0,1,0,0,2,2,5,0,0,0,0,0,0,0,0,0,7,SKT_Desc_000034,<TC '240:163:63' Text'永久增加自身物理防御力814.'/>,
83,8,3,无源,SKT_Name_000035,防御之哮 (3阶段),1,0,0,2,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1083,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2|4,1,1,0,15,0,1,0,0,2,3,5,0,0,0,0,0,0,0,0,0,7,SKT_Desc_000035,<TC '240:163:63' Text'永久增加自身物理防御力1083.'/>,
84,8,4,无源,SKT_Name_000036,防御之哮 (4阶段),1,0,0,2,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1371,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2|4,1,1,0,15,0,1,0,0,2,4,5,0,0,0,0,0,0,0,0,0,7,SKT_Desc_000036,<TC '240:163:63' Text'永久增加自身物理防御力1371.'/>,
85,8,5,无源,SKT_Name_000037,防御之哮 (5阶段),1,0,0,2,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1701,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2|4,1,1,0,15,0,1,0,0,2,5,5,0,0,0,0,0,0,0,0,0,7,SKT_Desc_000037,<TC '240:163:63' Text'自身物理防御永久增加1701.'/>,
91,9,1, ,SKT_Name_000038,憎恶之手 (1阶段),1,1,3,1,1,0,2,20,0,0,1,0,12,0,0,0,12,1,0,100,0,286,0,0,0,12000,0,0,101|111,100|100,0,0,0,0,0,0,0,0,0,2|4,1,0,0,0,0,1,0,0,2,1,5,1160,1000,1161,1000,1,0,1,01_160_001,0,8,SKT_Desc_000038,"<TC '240:163:63' Text'将对手拖近, 并给对方0.5秒'/>/n<TC '240:163:63' Text'眩晕效果.'/>",
92,9,2, ,SKT_Name_000039,憎恶之手 (2阶段),1,1,3,1,1,0,2,20,0,0,1,0,12,0,0,0,18,1,0,100,0,571,0,0,0,12000,0,0,102|112,100|100,0,0,0,0,0,0,0,0,0,2|4,1,0,0,0,0,1,0,0,2,2,5,1160,1000,1161,1000,1,0,1,01_160_001,0,8,SKT_Desc_000039,"<TC '240:163:63' Text'将对手拖近, 并给对方1秒'/>/n<TC '240:163:63' Text'眩晕效果.'/>",
93,9,3, ,SKT_Name_000040,憎恶之手 (3阶段),1,1,3,1,1,0,2,20,0,0,1,0,12,0,0,0,24,1,0,100,0,857,0,0,0,12000,0,0,103|113,100|100,0,0,0,0,0,0,0,0,0,2|4,1,0,0,0,0,1,0,0,2,3,5,1160,1000,1161,1000,1,0,1,01_160_001,0,8,SKT_Desc_000040,"<TC '240:163:63' Text'将对手拖近, 并给对方1.5秒'/>/n<TC '240:163:63' Text'眩晕效果.'/>",
94,9,4, ,SKT_Name_000041,憎恶之手 (4阶段),1,1,3,1,1,0,2,20,0,0,1,0,12,0,0,0,30,1,0,100,0,1143,0,0,0,12000,0,0,104|114,100|100,0,0,0,0,0,0,0,0,0,2|4,1,0,0,0,0,1,0,0,2,4,5,1160,1000,1161,1000,1,0,1,01_160_001,0,8,SKT_Desc_000041,"<TC '240:163:63' Text'将对手拖近, 并给对方2秒'/>/n<TC '240:163:63' Text'眩晕效果.'/>",
95,9,5, ,SKT_Name_000042,憎恶之手 (5阶段),1,1,3,1,1,0,2,20,0,0,1,0,12,0,0,0,38,1,0,100,0,1429,0,0,0,12000,0,0,105|115,100|100,0,0,0,0,0,0,0,0,0,2|4,1,0,0,0,0,1,0,0,2,5,5,1160,1000,1161,1000,1,0,1,01_160_001,0,8,SKT_Desc_000042,"<TC '240:163:63' Text'将对手拖近, 并给对方2.5秒'/>/n<TC '240:163:63' Text'眩晕效果.'/>",
101,10,1, ,SKT_Name_000043,憎恶之手 (1阶段),1,3,1,0,1,0,2,20,0,0,1,0,12,0,0,0,0,1,0,100,0,0,1,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2|4,1,0,0,0,0,1,0,0,2,1,5,1160,1000,1161,1000,1,0,1,01_160_001,0,8,SKT_Desc_000043,<TC '240:163:63' Text'0.5秒眩晕'/>,
102,10,2, ,SKT_Name_000044,憎恶之手 (2阶段),1,3,1,0,1,0,2,20,0,0,1,0,12,0,0,0,0,1,0,100,0,0,1,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2|4,1,0,0,0,0,1,0,0,2,2,5,1160,1000,1161,1000,1,0,1,01_160_001,0,8,SKT_Desc_000044,<TC '240:163:63' Text'1秒眩晕'/>,
103,10,3, ,SKT_Name_000045,憎恶之手 (3阶段),1,3,1,0,1,0,2,20,0,0,1,0,12,0,0,0,0,1,0,100,0,0,1,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2|4,1,0,0,0,0,1,0,0,2,3,5,1160,1000,1161,1000,1,0,1,01_160_001,0,8,SKT_Desc_000045,<TC '240:163:63' Text'1.5秒眩晕'/>,
104,10,4, ,SKT_Name_000046,憎恶之手 (4阶段),1,3,1,0,1,0,2,20,0,0,1,0,12,0,0,0,0,1,0,100,0,0,1,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2|4,1,0,0,0,0,1,0,0,2,4,5,1160,1000,1161,1000,1,0,1,01_160_001,0,8,SKT_Desc_000046,<TC '240:163:63' Text'2秒眩晕'/>,
105,10,5, ,SKT_Name_000047,憎恶之手 (5阶段),1,3,1,0,1,0,2,20,0,0,1,0,12,0,0,0,0,1,0,100,0,0,1,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2|4,1,0,0,0,0,1,0,0,2,5,5,1160,1000,1161,1000,1,0,1,01_160_001,0,8,SKT_Desc_000047,<TC '240:163:63' Text'2.5秒眩晕'/>,
111,11,1, ,SKT_Name_000048,憎恶之手 (1阶段),1,2,10,3,0,0,2,20,0,0,1,0,12,0,0,0,0,1,0,100,0,0,1,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2|4,1,0,0,0,0,1,0,0,2,1,5,1160,1000,1161,1000,1,0,1,01_160_001,0,8,SKT_Desc_000048,<TC '240:163:63' Text'3秒抵抗被拽来'/>,
112,11,2, ,SKT_Name_000049,憎恶之手 (2阶段),1,2,10,3,0,0,2,20,0,0,1,0,12,0,0,0,0,1,0,100,0,0,1,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2|4,1,0,0,0,0,1,0,0,2,2,5,1160,1000,1161,1000,1,0,1,01_160_001,0,8,SKT_Desc_000049,<TC '240:163:63' Text'3秒抵抗被拽来'/>,
113,11,3, ,SKT_Name_000050,憎恶之手 (3阶段),1,2,10,3,0,0,2,20,0,0,1,0,12,0,0,0,0,1,0,100,0,0,1,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2|4,1,0,0,0,0,1,0,0,2,3,5,1160,1000,1161,1000,1,0,1,01_160_001,0,8,SKT_Desc_000050,<TC '240:163:63' Text'3秒抵抗被拽来'/>,
114,11,4, ,SKT_Name_000051,憎恶之手 (4阶段),1,2,10,3,0,0,2,20,0,0,1,0,12,0,0,0,0,1,0,100,0,0,1,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2|4,1,0,0,0,0,1,0,0,2,4,5,1160,1000,1161,1000,1,0,1,01_160_001,0,8,SKT_Desc_000051,<TC '240:163:63' Text'3秒抵抗被拽来'/>,
115,11,5, ,SKT_Name_000052,憎恶之手 (5阶段),1,2,10,3,0,0,2,20,0,0,1,0,12,0,0,0,0,1,0,100,0,0,1,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2|4,1,0,0,0,0,1,0,0,2,5,5,1160,1000,1161,1000,1,0,1,01_160_001,0,8,SKT_Desc_000052,<TC '240:163:63' Text'3秒抵抗被拽来'/>,
121,12,1, ,SKT_Name_000053,挑战之哮 (1阶段),1,1,9,0,0,0,2,20,0,0,1,0,15,0,0,0,12,0,110,100,0,1,0,0,0,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,2|4,1,0,0,0,0,1,0,0,2,1,5,1162,2200,1163,2200,1,0,1,01_162_001,0,9,SKT_Desc_000053,<TC '240:163:63' Text'威胁对方使对方攻击自身.'/>,
122,12,2, ,SKT_Name_000054,挑战之哮 (2阶段),1,1,9,0,0,0,2,20,0,0,1,0,15,0,0,0,18,0,115,100,0,1,0,0,0,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,2|4,1,0,0,0,0,1,0,0,2,2,5,1162,2200,1163,2200,1,0,1,01_162_001,0,9,SKT_Desc_000054,<TC '240:163:63' Text'威胁对方使对方攻击自身. '/>/n<TC '240:163:63' Text'比1阶段效果好.'/>,
123,12,3, ,SKT_Name_000055,挑战之哮 (3阶段),1,1,9,0,0,0,2,20,0,0,1,0,15,0,0,0,24,0,120,100,0,1,0,0,0,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,2|4,1,0,0,0,0,1,0,0,2,3,5,1162,2200,1163,2200,1,0,1,01_162_001,0,9,SKT_Desc_000055,<TC '240:163:63' Text'威胁对方使对方攻击自身. '/>/n<TC '240:163:63' Text'比2阶段效果好.'/>,
124,12,4, ,SKT_Name_000056,挑战之哮 (4阶段),1,1,9,0,0,0,2,20,0,0,1,0,15,0,0,0,30,0,125,100,0,1,0,0,0,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,2|4,1,0,0,0,0,1,0,0,2,4,5,1162,2200,1163,2200,1,0,1,01_162_001,0,9,SKT_Desc_000056,<TC '240:163:63' Text'威胁对方使对方攻击自身. '/>/n<TC '240:163:63' Text'比3阶段效果好.'/>,
