TID,Comment,Group,GroupRate,BoxItem01,BoxItemStack01,DropRate01,BoxItem02,BoxItemStack02,DropRate02,BoxItem03,BoxItemStack03,DropRate03,BoxItem04,BoxItemStack04,DropRate04,BoxItem05,BoxItemStack05,DropRate05,BoxItem06,BoxItemStack06,DropRate06,BoxItem07,BoxItemStack07,DropRate07,BoxItem08,BoxItemStack08,DropRate08,BoxItem09,BoxItemStack09,DropRate09,BoxItem10,BoxItemStack10,DropRate10
31,毁坏 lv 30 箱子(测试用),31,10000,2410622,1,10000,2413622,1,10000,2416622,1,10000,2420622,1,10000,2423622,1,10000,2426622,1,10000,2430622,1,10000,2433622,1,10000,2436622,1,10000,,,
32,毁坏 lv 30 箱子(测试用),32,10000,2440622,1,10000,2443622,1,10000,2446622,1,10000,2450622,1,10000,2453622,1,10000,2456622,1,10000,2460622,1,10000,,,,,,,,,
33,毁坏 lv 30 箱子(测试用),33,10000,1026221,1,10000,1011221,1,10000,1041221,1,10000,1051221,1,10000,1141221,1,10000,2080421,1,10000,2070321,1,10000,2080421,1,10000,,,,,,
34,毁坏 lv 35 箱子(测试用),34,10000,2410722,1,10000,2413722,1,10000,2416722,1,10000,2420722,1,10000,2423722,1,10000,2426722,1,10000,2430722,1,10000,2433722,1,10000,2436722,1,10000,,,
35,毁坏 lv 35 箱子(测试用),35,10000,2440722,1,10000,2443722,1,10000,2446722,1,10000,2450722,1,10000,2453722,1,10000,2456722,1,10000,2460722,1,10000,,,,,,,,,
36,毁坏 lv 35 箱子(测试用),36,10000,1026421,1,10000,1011421,1,10000,1041421,1,10000,1051421,1,10000,1141421,1,10000,2080421,1,10000,2070421,1,10000,2080421,1,10000,,,,,,
37,毁坏 lv 40 箱子(测试用),37,10000,2410921,1,10000,2413921,1,10000,2416921,1,10000,2420921,1,10000,2423921,1,10000,2426921,1,10000,2430921,1,10000,2433921,1,10000,2436921,1,10000,,,
38,毁坏 lv 40 箱子(测试用),38,10000,2440921,1,10000,2443921,1,10000,2446921,1,10000,2450921,1,10000,2453921,1,10000,2456921,1,10000,2460921,1,10000,,,,,,,,,
39,毁坏 lv 40 箱子(测试用),39,10000,1026621,1,10000,1011621,1,10000,1041621,1,10000,1051621,1,10000,1141621,1,10000,2080521,1,10000,2070421,1,10000,2080521,1,10000,,,,,,
40,高级 lv 30 箱子,40,10000,25,1,10000,26,1,10000,27,1,10000,,,,,,,,,,,,,,,,,,,,,
41,高级 lv 35 箱子,41,10000,28,1,10000,29,1,10000,30,1,10000,,,,,,,,,,,,,,,,,,,,,
42,高级 lv 40 箱子,42,10000,31,1,10000,32,1,10000,33,1,10000,,,,,,,,,,,,,,,,,,,,,
43,毁坏 lv 30 箱子,43,10000,34,1,10000,35,1,10000,36,1,10000,,,,,,,,,,,,,,,,,,,,,
44,毁坏 lv 35 箱子,44,10000,37,1,10000,38,1,10000,39,1,10000,,,,,,,,,,,,,,,,,,,,,
45,毁坏 lv 40 箱子,45,10000,40,1,10000,41,1,10000,42,1,10000,,,,,,,,,,,,,,,,,,,,,
100,(CBT 活动用)-饰品 6级 礼物 箱子,100,10000,2070001,1,10000,2080001,1,10000,2080002,1,10000,,,,,,,,,,,,,,,,,,,,,
101,(CBT 活动用)-饰品 12级 礼物 箱子,101,10000,2070111,1,10000,2080111,1,10000,2080112,1,10000,,,,,,,,,,,,,,,,,,,,,
102,(CBT 活动用)-饰品 18级 礼物 箱子,102,10000,2070211,1,10000,2080211,1,10000,2080212,1,10000,,,,,,,,,,,,,,,,,,,,,
120,(CBT 活动用)-高级 武器 3级 礼物 箱子,120,10000,1120101,1,10000,1110101,1,10000,1020101,1,10000,1130101,1,10000,1030101,1,10000,1100101,1,10000,9084,1,10000,,,,,,,,,
121,(CBT 活动用)-高级 武器 5级 礼物 箱子,121,10000,1120201,1,10000,1110201,1,10000,1020201,1,10000,1130201,1,10000,1030201,1,10000,1100201,1,10000,9085,1,10000,,,,,,,,,
122,(CBT 活动用)-高级 武器 10级 礼物 箱子,122,10000,1120411,1,10000,1110411,1,10000,1020411,1,10000,1130411,1,10000,1030411,1,10000,1100411,1,10000,9086,1,10000,9070,3,10000,,,,,,
123,(CBT 活动用)-高级 武器 15级 礼物 箱子,123,10000,1120611,1,10000,1110611,1,10000,1020611,1,10000,1130611,1,10000,1030611,1,10000,1100611,1,10000,9087,1,10000,,,,,,,,,
124,(CBT 活动用)-高级 武器 20级 礼物 箱子,124,10000,1120811,1,10000,1110811,1,10000,1020811,1,10000,1130811,1,10000,1030811,1,10000,1100811,1,10000,9070,3,10000,,,,,,,,,
140,(CBT 活动用)-毁坏 武器 3级 礼物 箱子,140,10000,1040101,1,10000,1010101,1,10000,1025101,1,10000,1050101,1,10000,1140101,1,10000,1090101,1,10000,9089,1,10000,,,,,,,,,
141,(CBT 活动用)-毁坏 武器 5级 礼物 箱子,141,10000,1040201,1,10000,1010201,1,10000,1025201,1,10000,1050201,1,10000,1140201,1,10000,1090201,1,10000,9090,1,10000,,,,,,,,,
142,(CBT 活动用)-毁坏 武器 10级 礼物 箱子,142,10000,1040411,1,10000,1010411,1,10000,1025411,1,10000,1050411,1,10000,1140411,1,10000,1090411,1,10000,9091,1,10000,9070,3,10000,,,,,,
143,(CBT 活动用)-毁坏 武器 15级 礼物 箱子,143,10000,1040611,1,10000,1010611,1,10000,1025611,1,10000,1050611,1,10000,1140611,1,10000,1090611,1,10000,9092,1,10000,,,,,,,,,
144,(CBT 活动用)-毁坏 武器 20级 礼物 箱子,144,10000,1040811,1,10000,1010811,1,10000,1025811,1,10000,1050811,1,10000,1140811,1,10000,1090811,1,10000,9070,3,10000,,,,,,,,,
150,(CBT 活动用)-奖励/技能 初始化 11级 礼物 箱子,150,10000,90011,1,10000,90012,1,10000,,,,,,,,,,,,,,,,,,,,,,,,
151,(CBT 活动用)-奖励/技能 初始化 21级 礼物 箱子,151,10000,90011,2,10000,90012,2,10000,9069,5,10000,,,,,,,,,,,,,,,,,,,,,
152,(CBT 活动用)-奖励/技能 初始化 30级 礼物 箱子,152,10000,90011,2,10000,90012,2,10000,9069,10,10000,,,,,,,,,,,,,,,,,,,,,
153,3级 礼物 箱子,153,10000,9000,20,10000,70200,1,10000,510015,3,10000,90062,5,10000,,,,,,,,,,,,,,,,,,
154,7级 礼物 箱子,154,10000,9000,20,10000,9010,20,10000,9040,5,10000,82000,3,10000,,,,,,,,,,,,,,,,,,
155,15级 礼物 箱子,155,10000,70300,1,10000,90021,200,10000,9070,3,10000,510030,20,10000,,,,,,,,,,,,,,,,,,
156,20级 礼物 箱子,156,10000,510015,5,10000,510030,20,10000,510043,20,10000,90062,5,10000,,,,,,,,,,,,,,,,,,
157,25级 礼物 箱子,157,10000,90022,200,10000,510030,20,10000,510003,1,10000,510001,1,10000,510002,1,10000,,,,,,,,,,,,,,,
158,30级 礼物 箱子,158,10000,510018,1,10000,9069,5,10000,510030,20,10000,510043,20,10000,510016,10,10000,,,,,,,,,,,,,,,
159,35级 礼物 箱子,159,10000,510004,1,10000,510005,1,10000,510006,1,10000,82003,3,10000,510014,2,10000,,,,,,,,,,,,,,,
160,40级 礼物 箱子,160,10000,9071,2,10000,90023,200,10000,510017,1,10000,510000,2,10000,82003,3,10000,,,,,,,,,,,,,,,
161,1时间连接 礼物 箱子,161,10000,9070,3,2000,9040,3,3000,90021,50,4000,11040,2,5700,510030,5,6200,90045,1,6400,9069,5,8400,510016,10,9100,90022,50,9700,90024,1,10000
162,3时间达成 礼物 箱子,162,10000,9040,5,2000,90021,100,4500,11040,3,6500,510030,10,7000,90045,2,7200,510016,15,8200,90022,100,9700,90024,2,10000,,,,,,
163,PC房 礼物 箱子,163,10000,9070,3,2000,9040,3,3000,90021,50,4000,11040,2,5700,510030,5,6200,90045,1,6400,9069,5,8400,510016,10,9100,90022,50,9700,90024,1,10000
200,图案 箱子,200,10000,72001,1,10000,72101,1,10000,72000,1,10000,72100,1,10000,70100,1,10000,,,,,,,,,,,,,,,
1000,高级 防御服 礼物 箱子,1000,10000,9200,1,10000,9201,1,10000,9202,1,10000,9203,1,10000,9204,1,10000,,,,,,,,,,,,,,,
1001,任务奖励-高级 5级 礼物 箱子,1001,10000,1120201,1,10000,1110201,1,10000,1020201,1,10000,1130201,1,10000,1030201,1,10000,,,,,,,,,,,,,,,
1002,任务奖励-高级 10级 礼物 箱子,1002,10000,1120401,1,10000,1110401,1,10000,1020401,1,10000,1130401,1,10000,1030401,1,10000,,,,,,,,,,,,,,,
1003,任务奖励-高级 15级 礼物 箱子,1003,10000,1120601,1,10000,1110601,1,10000,1020601,1,10000,1130601,1,10000,1030601,1,10000,,,,,,,,,,,,,,,
1004,任务奖励-高级 20级 礼物 箱子,1004,10000,1120801,1,10000,1110801,1,10000,1020801,1,10000,1130801,1,10000,1030801,1,10000,,,,,,,,,,,,,,,
1005,任务奖励-高级 25级 礼物 箱子,1005,10000,1121011,1,10000,1111011,1,10000,1021011,1,10000,1131011,1,10000,1031011,1,10000,,,,,,,,,,,,,,,
1006,任务奖励-高级 30级 礼物 箱子,1006,10000,1121211,1,10000,1111211,1,10000,1021211,1,10000,1131211,1,10000,1031211,1,10000,,,,,,,,,,,,,,,
1050,毁坏 防御服 礼物 箱子,1050,10000,9206,1,10000,9207,1,10000,9208,1,10000,9209,1,10000,9210,1,10000,,,,,,,,,,,,,,,
1051,任务奖励-毁坏 5级 礼物 箱子,1051,10000,1040201,1,10000,1010201,1,10000,1025201,1,10000,1050201,1,10000,1140201,1,10000,,,,,,,,,,,,,,,
1052,任务奖励-毁坏 10级 礼物 箱子,1052,10000,1040401,1,10000,1010401,1,10000,1025401,1,10000,1050401,1,10000,1140401,1,10000,,,,,,,,,,,,,,,
1053,任务奖励-毁坏 15级 礼物 箱子,1053,10000,1040601,1,10000,1010601,1,10000,1025601,1,10000,1050601,1,10000,1140601,1,10000,,,,,,,,,,,,,,,
1054,任务奖励-毁坏 20级 礼物 箱子,1054,10000,1040801,1,10000,1010801,1,10000,1025801,1,10000,1050801,1,10000,1140801,1,10000,,,,,,,,,,,,,,,
1055,任务奖励-毁坏 25级 礼物 箱子,1055,10000,1041011,1,10000,1011011,1,10000,1026011,1,10000,1051011,1,10000,1141011,1,10000,,,,,,,,,,,,,,,
1056,任务奖励-毁坏 30级 礼物 箱子,1056,10000,1041211,1,10000,1011211,1,10000,1026211,1,10000,1051211,1,10000,1141211,1,10000,,,,,,,,,,,,,,,
1100,任务奖励-高级 1级 武器 熟练度 礼物 箱子,1100,10000,13000,1,10000,13100,1,10000,13200,1,10000,13300,1,10000,13400,1,10000,,,,,,,,,,,,,,,
1101,任务奖励-高级 2级 武器 熟练度 礼物 箱子,1101,10000,13001,1,10000,13101,1,10000,13201,1,10000,13301,1,10000,13401,1,10000,,,,,,,,,,,,,,,
1102,任务奖励-高级 3级 武器 熟练度 礼物 箱子,1102,10000,13002,1,10000,13102,1,10000,13202,1,10000,13302,1,10000,13402,1,10000,,,,,,,,,,,,,,,
1103,任务奖励-高级 4级 武器 熟练度 礼物 箱子,1103,10000,13003,1,10000,13103,1,10000,13203,1,10000,13303,1,10000,13403,1,10000,,,,,,,,,,,,,,,
1104,任务奖励-高级 5级 武器 熟练度 礼物 箱子,1104,10000,13004,1,10000,13104,1,10000,13204,1,10000,13304,1,10000,13404,1,10000,,,,,,,,,,,,,,,
1105,任务奖励-高级 6级 武器 熟练度 礼物 箱子,1105,10000,13005,1,10000,13105,1,10000,13205,1,10000,13305,1,10000,13405,1,10000,,,,,,,,,,,,,,,
1106,任务奖励-高级 7级 武器 熟练度 礼物 箱子,1106,10000,13006,1,10000,13106,1,10000,13206,1,10000,13306,1,10000,13406,1,10000,,,,,,,,,,,,,,,
1107,任务奖励-高级 8级 武器 熟练度 礼物 箱子,1107,10000,13007,1,10000,13107,1,10000,13207,1,10000,13307,1,10000,13407,1,10000,,,,,,,,,,,,,,,
1108,任务奖励-高级 9级 武器 熟练度 礼物 箱子,1108,10000,13008,1,10000,13108,1,10000,13208,1,10000,13308,1,10000,13408,1,10000,,,,,,,,,,,,,,,
1109,任务奖励-高级 10级 武器 熟练度 礼物 箱子,1109,10000,13009,1,10000,13109,1,10000,13209,1,10000,13309,1,10000,13409,1,10000,,,,,,,,,,,,,,,
1200,任务奖励-毁坏 1级 武器 熟练度 礼物 箱子,1200,10000,14000,1,10000,14100,1,10000,14200,1,10000,14300,1,10000,14400,1,10000,,,,,,,,,,,,,,,
1201,任务奖励-毁坏 2级 武器 熟练度 礼物 箱子,1201,10000,14001,1,10000,14101,1,10000,14201,1,10000,14301,1,10000,14401,1,10000,,,,,,,,,,,,,,,
1202,任务奖励-毁坏 3级 武器 熟练度 礼物 箱子,1202,10000,14002,1,10000,14102,1,10000,14202,1,10000,14302,1,10000,14402,1,10000,,,,,,,,,,,,,,,
1203,任务奖励-毁坏 4级 武器 熟练度 礼物 箱子,1203,10000,14003,1,10000,14103,1,10000,14203,1,10000,14303,1,10000,14403,1,10000,,,,,,,,,,,,,,,
1204,任务奖励-毁坏 5级 武器 熟练度 礼物 箱子,1204,10000,14004,1,10000,14104,1,10000,14204,1,10000,14304,1,10000,14404,1,10000,,,,,,,,,,,,,,,
1205,任务奖励-毁坏 6级 武器 熟练度 礼物 箱子,1205,10000,14005,1,10000,14105,1,10000,14205,1,10000,14305,1,10000,14405,1,10000,,,,,,,,,,,,,,,
1206,任务奖励-毁坏 7级 武器 熟练度 礼物 箱子,1206,10000,14006,1,10000,14106,1,10000,14206,1,10000,14306,1,10000,14406,1,10000,,,,,,,,,,,,,,,
1207,任务奖励-毁坏 8级 武器 熟练度 礼物 箱子,1207,10000,14007,1,10000,14107,1,10000,14207,1,10000,14307,1,10000,14407,1,10000,,,,,,,,,,,,,,,
1208,任务奖励-毁坏 9级 武器 熟练度 礼物 箱子,1208,10000,14008,1,10000,14108,1,10000,14208,1,10000,14308,1,10000,14408,1,10000,,,,,,,,,,,,,,,
1209,任务奖励-毁坏 10级 武器 熟练度 礼物 箱子,1209,10000,14009,1,10000,14109,1,10000,14209,1,10000,14309,1,10000,14409,1,10000,,,,,,,,,,,,,,,
2000,Lv10 豪华 箱子(高级) - 头发,2000,1404,2110211,1,1667,2110212,1,3334,2113211,1,5001,2113212,1,6668,2116211,1,8335,2116212,1,10000,,,,,,,,,,,,
2001,Lv10 豪华 箱子(高级) - 胸部,2000,2808,2120211,1,1667,2120212,1,3334,2123211,1,5001,2123212,1,6668,2126211,1,8335,2126212,1,10000,,,,,,,,,,,,
2002,Lv10 豪华 箱子(高级) - 手,2000,4212,2130211,1,1667,2130212,1,3334,2133211,1,5001,2133212,1,6668,2136211,1,8335,2136212,1,10000,,,,,,,,,,,,
2003,Lv10 豪华 箱子(高级) - 腰,2000,5616,2140211,1,1667,2140212,1,3334,2143211,1,5001,2143212,1,6668,2146211,1,8335,2146212,1,10000,,,,,,,,,,,,
2004,Lv10 豪华 箱子(高级) - 脚,2000,7020,2150211,1,1667,2150212,1,3334,2153211,1,5001,2153212,1,6668,2156211,1,8335,2156212,1,10000,,,,,,,,,,,,
2005,Lv10 豪华 箱子(高级) - 斗篷,2000,7488,2160211,1,5000,2160212,1,10000,,,,,,,,,,,,,,,,,,,,,,,,
2006,Lv10 豪华 箱子(高级) - 武器,2000,10000,1020411,1,1667,1030411,1,3334,1110411,1,5001,1120411,1,6668,1130411,1,8335,1100411,1,10000,,,,,,,,,,,,
2010,Lv10 珍贵的 箱子(高级) - 头发,2010,1404,2110221,1,1667,2110222,1,3334,2113221,1,5001,2113222,1,6668,2116221,1,8335,2116222,1,10000,,,,,,,,,,,,
2011,Lv10 珍贵的 箱子(高级) - 胸部,2010,2808,2120221,1,1667,2120222,1,3334,2123221,1,5001,2123222,1,6668,2126221,1,8335,2126222,1,10000,,,,,,,,,,,,
2012,Lv10 珍贵的 箱子(高级) - 手,2010,4212,2130221,1,1667,2130222,1,3334,2133221,1,5001,2133222,1,6668,2136221,1,8335,2136222,1,10000,,,,,,,,,,,,
2013,Lv10 珍贵的 箱子(高级) - 腰,2010,5616,2140221,1,1667,2140222,1,3334,2143221,1,5001,2143222,1,6668,2146221,1,8335,2146222,1,10000,,,,,,,,,,,,
2014,Lv10 珍贵的 箱子(高级) - 脚,2010,7020,2150221,1,1667,2150222,1,3334,2153221,1,5001,2153222,1,6668,2156221,1,8335,2156222,1,10000,,,,,,,,,,,,
2015,Lv10 珍贵的 箱子(高级) - 斗篷,2010,7488,2160221,1,5000,2160222,1,10000,,,,,,,,,,,,,,,,,,,,,,,,
2016,Lv10 珍贵的 箱子(高级) - 武器,2010,10000,1020421,1,1667,1030421,1,3334,1110421,1,5001,1120421,1,6668,1130421,1,8335,1100421,1,10000,,,,,,,,,,,,
2020,Lv10 特别的箱子(高级) - 头发,2020,1404,2110231,1,1667,2110232,1,3334,2113231,1,5001,2113232,1,6668,2116231,1,8335,2116232,1,10000,,,,,,,,,,,,
2021,Lv10 特别的箱子(高级) - 胸部,2020,2808,2120231,1,1667,2120232,1,3334,2123231,1,5001,2123232,1,6668,2126231,1,8335,2126232,1,10000,,,,,,,,,,,,
2022,Lv10 特别的箱子(高级) - 手,2020,4212,2130231,1,1667,2130232,1,3334,2133231,1,5001,2133232,1,6668,2136231,1,8335,2136232,1,10000,,,,,,,,,,,,
2023,Lv10 特别的箱子(高级) - 腰,2020,5616,2140231,1,1667,2140232,1,3334,2143231,1,5001,2143232,1,6668,2146231,1,8335,2146232,1,10000,,,,,,,,,,,,
2024,Lv10 特别的箱子(高级) - 脚,2020,7020,2150231,1,1667,2150232,1,3334,2153231,1,5001,2153232,1,6668,2156231,1,8335,2156232,1,10000,,,,,,,,,,,,
2025,Lv10 特别的箱子(高级) - 斗篷,2020,7488,2160231,1,5000,2160232,1,10000,,,,,,,,,,,,,,,,,,,,,,,,
2026,Lv10 特别的箱子(高级) - 武器,2020,10000,1020431,1,1667,1030431,1,3334,1110431,1,5001,1120431,1,6668,1130431,1,8335,1100431,1,10000,,,,,,,,,,,,
2030,Lv13 豪华 箱子(高级) - 头发,2030,1404,2110311,1,1667,2110312,1,3334,2113311,1,5001,2113312,1,6668,2116311,1,8335,2116312,1,10000,,,,,,,,,,,,
2031,Lv13 豪华 箱子(高级) - 胸部,2030,2808,2120311,1,1667,2120312,1,3334,2123311,1,5001,2123312,1,6668,2126311,1,8335,2126312,1,10000,,,,,,,,,,,,
2032,Lv13 豪华 箱子(高级) - 手,2030,4212,2130311,1,1667,2130312,1,3334,2133311,1,5001,2133312,1,6668,2136311,1,8335,2136312,1,10000,,,,,,,,,,,,
2033,Lv13 豪华 箱子(高级) - 腰,2030,5616,2140311,1,1667,2140312,1,3334,2143311,1,5001,2143312,1,6668,2146311,1,8335,2146312,1,10000,,,,,,,,,,,,
2034,Lv13 豪华 箱子(高级) - 脚,2030,7020,2150311,1,1667,2150312,1,3334,2153311,1,5001,2153312,1,6668,2156311,1,8335,2156312,1,10000,,,,,,,,,,,,
2035,Lv13 豪华 箱子(高级) - 斗篷,2030,7488,2160311,1,5000,2160312,1,10000,,,,,,,,,,,,,,,,,,,,,,,,
2036,Lv13 豪华 箱子(高级) - 武器,2030,10000,1020511,1,1667,1030511,1,3334,1110511,1,5001,1120511,1,6668,1130511,1,8335,1100511,1,10000,,,,,,,,,,,,
2040,Lv13 珍贵的 箱子(高级) - 头发,2040,1404,2110321,1,1667,2110322,1,3334,2113321,1,5001,2113322,1,6668,2116321,1,8335,2116322,1,10000,,,,,,,,,,,,
2041,Lv13 珍贵的 箱子(高级) - 胸部,2040,2808,2120321,1,1667,2120322,1,3334,2123321,1,5001,2123322,1,6668,2126321,1,8335,2126322,1,10000,,,,,,,,,,,,
2042,Lv13 珍贵的 箱子(高级) - 手,2040,4212,2130321,1,1667,2130322,1,3334,2133321,1,5001,2133322,1,6668,2136321,1,8335,2136322,1,10000,,,,,,,,,,,,
2043,Lv13 珍贵的 箱子(高级) - 腰,2040,5616,2140321,1,1667,2140322,1,3334,2143321,1,5001,2143322,1,6668,2146321,1,8335,2146322,1,10000,,,,,,,,,,,,
2044,Lv13 珍贵的 箱子(高级) - 脚,2040,7020,2150321,1,1667,2150322,1,3334,2153321,1,5001,2153322,1,6668,2156321,1,8335,2156322,1,10000,,,,,,,,,,,,
2045,Lv13 珍贵的 箱子(高级) - 斗篷,2040,7488,2160321,1,5000,2160322,1,10000,,,,,,,,,,,,,,,,,,,,,,,,
2046,Lv13 珍贵的 箱子(高级) - 武器,2040,10000,1020521,1,1667,1030521,1,3334,1110521,1,5001,1120521,1,6668,1130521,1,8335,1100521,1,10000,,,,,,,,,,,,
2050,Lv13 特别的箱子(高级) - 头发,2050,1404,2110331,1,1667,2110332,1,3334,2113331,1,5001,2113332,1,6668,2116331,1,8335,2116332,1,10000,,,,,,,,,,,,
2051,Lv13 特别的箱子(高级) - 胸部,2050,2808,2120331,1,1667,2120332,1,3334,2123331,1,5001,2123332,1,6668,2126331,1,8335,2126332,1,10000,,,,,,,,,,,,
2052,Lv13 特别的箱子(高级) - 手,2050,4212,2130331,1,1667,2130332,1,3334,2133331,1,5001,2133332,1,6668,2136331,1,8335,2136332,1,10000,,,,,,,,,,,,
2053,Lv13 特别的箱子(高级) - 腰,2050,5616,2140331,1,1667,2140332,1,3334,2143331,1,5001,2143332,1,6668,2146331,1,8335,2146332,1,10000,,,,,,,,,,,,
2054,Lv13 特别的箱子(高级) - 脚,2050,7020,2150331,1,1667,2150332,1,3334,2153331,1,5001,2153332,1,6668,2156331,1,8335,2156332,1,10000,,,,,,,,,,,,
2055,Lv13 特别的箱子(高级) - 斗篷,2050,7488,2160331,1,5000,2160332,1,10000,,,,,,,,,,,,,,,,,,,,,,,,
2056,Lv13 特别的箱子(高级) - 武器,2050,10000,1020531,1,1667,1030531,1,3334,1110531,1,5001,1120531,1,6668,1130531,1,8335,1100531,1,10000,,,,,,,,,,,,
2060,Lv20 豪华 箱子(高级) - 头发,2060,1404,2110411,1,1667,2110412,1,3334,2113411,1,5001,2113412,1,6668,2116411,1,8335,2116412,1,10000,,,,,,,,,,,,
2061,Lv20 豪华 箱子(高级) - 胸部,2060,2808,2120411,1,1667,2120412,1,3334,2123411,1,5001,2123412,1,6668,2126411,1,8335,2126412,1,10000,,,,,,,,,,,,
2062,Lv20 豪华 箱子(高级) - 手,2060,4212,2130411,1,1667,2130412,1,3334,2133411,1,5001,2133412,1,6668,2136411,1,8335,2136412,1,10000,,,,,,,,,,,,
2063,Lv20 豪华 箱子(高级) - 腰,2060,5616,2140411,1,1667,2140412,1,3334,2143411,1,5001,2143412,1,6668,2146411,1,8335,2146412,1,10000,,,,,,,,,,,,
