TID,Type,Kind,Property,Race,ShapeID,Color,Width,Height,Scale,Comment,EngTitle,EngName,LocalTitle,LocalName,UseIconType,WorldMapIcon,Level,Repeat,ItemDropTID,RegenR,RegenTimeMin,RegenTimeMax,Exp,ActionTID,Trigger,EntityState,EntityAni_01,EntityAni_02,EntityAni_03,QuestTID,QuestMissionTID,InsMapGroupTID,EventRange
121,3,8,0,0,12020,,0.3,1.5,1,哨兵的花园,ETT_Title_000048,ETT_Name_000048,,希迪奈尔石板,1,20800,1,2,20121,0,5,10,0,2,0,0,0,0,0,211,211,0,3
122,3,8,0,0,12015,,0.3,1.5,1,哨兵的花园,ETT_Title_000049,ETT_Name_000049,,红岩军团供给品箱子,1,20800,1,2,20122,0,5,10,0,2,0,0,0,0,0,11161,11161,0,3
123,3,8,0,0,12004,,0.3,4,1,布蓝汉废弃地,ETT_Title_000050,ETT_Name_000050,,干材,1,20800,1,2,20123,0,5,10,0,2,0,0,0,0,0,11098,11098,0,3
124,3,8,0,0,12034,,0.3,1.5,1,凯伦荒地,ETT_Title_000051,ETT_Name_000051,,硫磺雾气洞,1,20800,1,2,20124,0,5,10,0,2,0,0,0,0,0,11157,11157,0,3
125,3,8,0,0,11100,,0.3,1.5,1,卢安克巢穴,ETT_Title_000052,ETT_Name_000052,,红药草,1,20800,1,2,20125,0,5,10,0,2,0,0,0,0,0,11057,11057,0,3
126,3,8,0,0,12015,,0.3,1.5,1,凯特废弃地,ETT_Title_000053,ETT_Name_000053,,古雷姆修理工具箱,1,20800,1,2,20126,0,5,10,0,2,0,0,0,0,0,11130,11130,0,3
127,3,8,0,0,12002,,0.3,1.5,1,奎里奥德矿山,ETT_Title_000054,ETT_Name_000054,,奎里奥德矿石,1,20800,1,2,20127,0,5,10,0,2,0,0,0,0,0,40037,40037,0,3
128,3,8,0,0,12033,,0.2,2.5,2,火焰祭坛,ETT_Title_000055,ETT_Name_000055,,火焰石,1,20800,1,2,20128,0,5,10,0,2,0,0,0,0,0,40056,40056,0,3
200,3,8,0,0,12019,,0.3,1,1, ,ETT_Title_000056,ETT_Name_000056,,特莱茵的眼泪,1,20800,1,2,20201,0,5,10,0,2,0,0,0,0,0,12021,12021,0,3
201,3,8,0,0,12000,,1,4,1, ,ETT_Title_000057,ETT_Name_000057,,残破的马车,1,20800,1,2,20202,0,5,10,0,2,0,0,0,0,0,12072,12072,0,3
202,3,8,0,0,12017,,0.3,1.2,1, ,ETT_Title_000058,ETT_Name_000058,,卡伦战利品,1,20800,1,2,20203,0,5,10,0,2,0,0,0,0,0,12082,12082,0,3
203,3,8,0,0,12016,,0.3,1,1, ,ETT_Title_000059,ETT_Name_000059,,卡伦一族的文件箱,1,20800,1,2,20204,0,5,10,0,2,0,0,0,0,0,12112,12112,0,3
204,3,8,0,0,12094,,0.3,1.5,1, ,ETT_Title_000060,ETT_Name_000060,,被遗忘的村庄阵亡者,1,20800,1,2,20205,0,5,10,0,2,0,0,0,0,0,12131,12131,0,3
205,3,8,0,0,12019,,0.3,1,1, ,ETT_Title_000061,ETT_Name_000061,,莫斯罗姆药草,1,20800,1,2,20206,0,5,10,0,2,0,0,0,0,0,12161,12161,0,3
206,3,8,0,0,12018,,0.3,1.5,1, ,ETT_Title_000062,ETT_Name_000062,,卢亚的眼泪,1,20800,1,2,20207,0,5,10,0,2,0,0,0,0,0,12182,12182,0,3
207,3,8,0,0,12054,,0.3,4,2, ,ETT_Title_000063,ETT_Name_000063,,伯尔尼哈特魔力石,1,20800,1,2,20208,0,5,10,0,2,0,0,0,0,0,12214,12214,0,3
208,3,8,0,0,12055,,0.3,1.5,1, ,ETT_Title_000064,ETT_Name_000064,,死去的牲口,1,20800,1,2,20209,0,5,10,0,2,0,0,0,0,0,12252,12252,0,3
209,3,8,0,0,12018,,0.3,1.5,1, ,ETT_Title_000065,ETT_Name_000065,,水雾花,1,20800,1,2,20210,0,5,10,0,2,0,0,0,0,0,12282,12282,0,3
210,3,8,0,0,12056,,0.3,4.5,2, ,ETT_Title_000066,ETT_Name_000066,,古代石碑,1,20800,1,2,20211,0,5,10,0,2,0,0,0,0,0,352,352,0,3
211,3,8,0,0,12010,,0.3,1.5,1, ,ETT_Title_000067,ETT_Name_000067,,黑帐篷部队粮食布袋,1,20800,1,2,20212,0,5,10,0,2,0,0,0,0,0,12302,12302,0,3
212,3,8,0,0,12016,,0.3,1.5,1, ,ETT_Title_000068,ETT_Name_000068,,文件箱,1,20800,1,2,20213,0,5,10,0,2,0,0,0,0,0,12311,12311,0,3
213,3,8,0,0,12094,,0.3,1.5,1, ,ETT_Title_000069,ETT_Name_000069,,兰希尔自警团尸体,1,20800,1,2,20214,0,5,10,0,2,0,0,0,0,0,361,361,0,3
214,3,8,0,0,12057,,0.3,1.5,1, ,ETT_Title_000070,ETT_Name_000070,,干草,1,20800,1,2,20215,0,5,10,0,2,0,0,0,0,0,12341,12341,0,3
215,3,8,0,0,12010,,0.3,1.5,1, ,ETT_Title_000071,ETT_Name_000071,,粮食麻袋,1,20800,1,2,20216,0,5,10,0,2,0,0,0,0,0,12351,12351,0,3
216,3,8,0,0,12018,,0.3,1.5,1, ,ETT_Title_000072,ETT_Name_000072,,月雾花,1,20800,1,2,20217,0,5,10,0,2,0,0,0,0,0,12442,12442,0,3
217,3,8,0,0,12018,,0.3,1.5,1, ,ETT_Title_000073,ETT_Name_000073,,精灵的加护,1,20800,1,2,20218,0,5,10,0,2,0,0,0,0,0,12491,12491,0,3
218,3,8,0,0,12006,,0.3,4,1, ,ETT_Title_000074,ETT_Name_000074,,瘦死的树,1,20800,1,2,20219,0,5,10,0,2,0,0,0,0,0,12551,12551,0,3
219,3,8,0,0,12016,,0.3,1,1, ,ETT_Title_000075,ETT_Name_000075,,艾弗门的文件箱,1,20800,1,2,20220,0,5,10,0,2,0,0,0,0,0,402,402,0,3
220,3,8,0,0,12017,,0.3,1.2,1, ,ETT_Title_000076,ETT_Name_000076,,血的斧头部队袋粮食袋,1,20800,1,2,20221,0,5,10,0,2,0,0,0,0,0,12602,12602,0,3
221,3,8,0,0,12094,,0.3,1.5,1, ,ETT_Title_000077,ETT_Name_000077,,农场警备兵的尸体,1,20800,1,2,20222,0,5,10,0,2,0,0,0,0,0,12631,12631,0,3
222,3,8,0,0,12058,,0.3,1.5,1, ,ETT_Title_000078,ETT_Name_000078,,可收获的玉米,1,20800,1,2,20223,0,5,10,0,2,0,0,0,0,0,12632,12632,0,3
223,3,8,0,0,12015,,0.3,1.5,1, ,ETT_Title_000079,ETT_Name_000079,,食品箱,1,20800,1,2,20224,0,5,10,0,2,0,0,0,0,0,12633,12633,0,3
224,3,8,0,0,12016,,0.3,1,1, ,ETT_Title_000080,ETT_Name_000080,,戴穆里申文件箱,1,20800,1,2,20225,0,5,10,0,2,0,0,0,0,0,12672,12672,0,3
225,3,8,0,0,12056,,0.2,1,2,没有外形,ETT_Title_000081,ETT_Name_000081,,古代石碑,1,20800,1,2,20226,0,5,10,0,2,0,0,0,0,0,12445,12445,0,3
226,3,8,0,0,12018,,0.3,1.5,1, ,ETT_Title_000082,ETT_Name_000082,,灵魂之花,1,20800,1,2,20227,0,5,10,0,2,0,0,0,0,0,12513,12513,0,3
301,3,8,0,0,12069,,0.3,3,1, ,ETT_Title_000083,ETT_Name_000083,,警备队武器,1,20800,1,2,20301,0,5,10,0,2,0,0,0,0,0,13003,13003,0,3
302,3,8,0,0,12019,,0.3,1.5,1, ,ETT_Title_000084,ETT_Name_000084,,麦林果实,1,20800,1,2,20302,0,5,10,0,2,0,0,0,0,0,13058,13058,0,3
303,3,8,0,0,12018,,0.3,1.5,1, ,ETT_Title_000085,ETT_Name_000085,,兰波叶草,1,20800,1,2,20303,0,5,10,0,2,0,0,0,0,0,13102,13103,0,3
304,3,8,0,0,12017,,0.3,1.5,1, ,ETT_Title_000086,ETT_Name_000086,,谷物麻袋,1,20800,1,2,20304,0,5,10,0,2,0,0,0,0,0,13108,13109,0,3
305,3,8,0,0,12002,,0.3,1.5,1, ,ETT_Title_000087,ETT_Name_000087,,博尔顿的工具,1,20800,1,2,20305,0,5,10,0,2,0,0,0,0,0,13153,13154,0,3
306,3,8,0,0,12071,,0.3,1.5,1, ,ETT_Title_000088,ETT_Name_000088,,修理木材,1,20800,1,2,20306,0,5,10,0,2,0,0,0,0,0,13156,13157,0,3
307,3,8,0,0,12017,,0.3,1.5,1, ,ETT_Title_000089,ETT_Name_000089,,奈米亚的背包,1,20800,1,2,20307,0,5,10,0,2,0,0,0,0,0,541,541,0,3
308,3,8,0,0,12016,,0.3,1.5,1, ,ETT_Title_000090,ETT_Name_000090,,团长的账簿,1,20800,1,2,20308,0,5,10,0,2,0,0,0,0,0,13201,13201,0,3
309,3,8,0,0,12015,,0.3,1.5,1, ,ETT_Title_000091,ETT_Name_000091,,火焰决策框,1,20800,1,2,20309,0,5,10,0,2,0,0,0,0,0,13251,13251,0,3
310,3,8,0,0,12070,,0.3,3.5,1, ,ETT_Title_000092,ETT_Name_000092,,飞龙卵,1,20800,1,2,20310,0,5,10,0,2,0,0,0,0,0,13258,13259,0,3
311,3,8,0,0,12065,,0.3,2.5,1, ,ETT_Title_000093,ETT_Name_000093,,有故障的勘察器,1,20800,1,2,20311,0,5,10,0,2,0,0,0,0,0,13351,13351,0,3
312,3,8,0,0,12067,,0.3,1.5,1, ,ETT_Title_000094,ETT_Name_000094,,蓝色魔力石,1,20800,1,2,20312,0,5,10,0,2,0,0,0,0,0,571,571,0,3
313,3,8,0,0,12072,,0.3,1.5,1, ,ETT_Title_000095,ETT_Name_000095,,魔像碎片,1,20800,1,2,20313,0,5,10,0,2,0,0,0,0,0,13358,13359,0,3
314,3,8,0,0,12044,,0.3,1.5,1, ,ETT_Title_000096,ETT_Name_000096,,眼泪丛林土壤,1,20800,1,2,20314,0,5,10,0,2,0,0,0,0,0,13409,13412,0,3
315,3,8,0,0,12049,,0.3,2.5,1, ,ETT_Title_000097,ETT_Name_000097,,红翅膀洞穴,1,20800,1,2,20315,0,5,10,0,2,0,0,0,0,0,13455,13456,0,3
316,3,8,0,0,12049,,0.3,2.5,1, ,ETT_Title_000098,ETT_Name_000098,,完整的哈比洞穴,1,20800,1,2,20316,0,5,10,0,2,0,0,0,0,0,13458,13459,0,3
317,3,8,0,0,12047,,0.3,1.5,1, ,ETT_Title_000099,ETT_Name_000099,,恩特罗斯基地,1,20800,1,2,20317,0,5,10,0,2,0,0,0,0,0,13503,13503,0,3
318,3,8,0,0,12014,,0.3,2.5,1, ,ETT_Title_000100,ETT_Name_000100,,水晶记录,1,20800,1,2,20318,0,5,10,0,2,0,0,0,0,0,13512,13513,0,3
319,3,8,0,0,12093,,0.3,1.5,1, ,ETT_Title_000101,ETT_Name_000101,,杰曼的尸体,1,20800,1,2,20319,0,5,10,0,2,0,0,0,0,0,13513,13514,0,3
320,3,8,0,0,12094,,0.3,1.5,1, ,ETT_Title_000102,ETT_Name_000102,,山脉派遣兵尸体,1,20800,1,2,20320,0,5,10,0,2,0,0,0,0,0,13553,13553,0,3
321,3,8,0,0,12073,,0.3,1.5,1, ,ETT_Title_000103,ETT_Name_000103,,山脉研究资料,1,20800,1,2,20321,0,5,10,0,2,0,0,0,0,0,13556,13557,0,3
322,3,8,0,0,12068,,0.3,2.5,1, ,ETT_Title_000104,ETT_Name_000104,,可疑的魔力石,1,20800,1,2,20322,0,5,10,0,2,0,0,0,0,0,621,621,0,3
323,3,8,0,0,12044,,0.3,1.5,1, ,ETT_Title_000105,ETT_Name_000105,,可疑的土壤,1,20800,1,2,20323,0,5,10,0,2,0,0,0,0,0,13655,13655,0,3
324,3,8,0,0,12015,,0.3,1.5,1, ,ETT_Title_000106,ETT_Name_000106,,破旧的木箱,1,20800,1,2,20324,0,5,10,0,2,0,0,0,0,0,40105,40105,0,3
325,3,8,0,0,12014,,0.3,1.5,1, ,ETT_Title_000107,ETT_Name_000107,,平静的柱子,1,20800,1,2,20325,0,5,10,0,2,0,0,0,0,0,40107,40107,0,3
326,3,8,0,0,12020,,0.3,2.5,2, ,ETT_Title_000108,ETT_Name_000108,,富有的矿石,1,20800,1,2,20326,0,5,10,0,2,0,0,0,0,0,40203,40203,0,3
327,3,8,0,0,12002,,0.3,1.5,1, ,ETT_Title_000109,ETT_Name_000109,,可疑的盒子,1,20800,1,2,20327,0,5,10,0,2,0,0,0,0,0,40303,40303,0,3
328,3,8,0,0,12094,,0.3,1.5,1, ,ETT_Title_000110,ETT_Name_000110,,士兵的尸体,1,20800,1,2,20328,0,5,10,0,2,0,0,0,0,0,40305,40305,0,3
329,3,8,0,0,12012,,0.3,2.5,2, ,ETT_Title_000111,ETT_Name_000111,,巨大的卵,1,20800,1,2,20329,0,5,10,0,2,0,0,0,0,0,40407,40407,0,3
330,3,8,0,0,12033,,0.3,1.5,1, ,ETT_Title_000112,ETT_Name_000112,,熔岩石,1,20800,1,2,20330,0,5,10,0,2,0,0,0,0,0,40403,40403,0,3
331,3,8,0,0,12016,,0.3,1.5,1, ,ETT_Title_000113,ETT_Name_000113,,收集品箱子,1,20800,1,2,20331,0,5,10,0,2,0,0,0,0,0,631,631,0,3
401,3,8,0,0,12064,,0.3,1,2, ,ETT_Title_000114,ETT_Name_000114,,炮弹,1,20800,1,2,20401,0,5,10,0,2,0,0,0,0,0,14002,14002,0,3
402,3,8,0,0,12059,,0.3,1,1.5, ,ETT_Title_000115,ETT_Name_000115,,被破坏的发石车,1,20800,1,2,20402,0,5,10,0,2,0,0,0,0,0,14003,14003,0,3
403,3,8,0,0,12015,,0.3,1,1, ,ETT_Title_000116,ETT_Name_000116,,供给品箱子,1,20800,1,2,20403,0,5,10,0,2,0,0,0,0,0,14013,14013,0,3
404,3,8,0,0,12047,,0.3,1,2, ,ETT_Title_000117,ETT_Name_000117,,枯死的树枝,1,20800,1,2,20404,0,5,10,0,2,0,0,0,0,0,14032,14032,0,3
405,3,8,0,0,12044,,0.3,1,2, ,ETT_Title_000118,ETT_Name_000118,,被污染的土,1,20800,1,2,20405,0,5,10,0,2,0,0,0,0,0,14032,14037,0,3
406,3,8,0,0,12013,,0.3,1,1, ,ETT_Title_000119,ETT_Name_000119,,可疑的缸,1,20800,1,2,20406,0,5,10,0,2,0,0,0,0,0,14042,14042,0,3
407,3,8,0,0,12015,,0.3,1,1, ,ETT_Title_000120,ETT_Name_000120,,卢克村庄的物品箱,1,20800,1,2,20407,0,5,10,0,2,0,0,0,0,0,14074,14074,0,3
408,3,8,0,0,12087,,0.3,1,1, ,ETT_Title_000121,ETT_Name_000121,,克尔锡矿石,1,20800,1,2,20408,0,5,10,0,2,0,0,0,0,0,14084,14084,0,3
409,3,8,0,0,12043,,0.3,1,1, ,ETT_Title_000122,ETT_Name_000122,,被破坏的武器,1,20800,1,2,20409,0,5,10,0,2,0,0,0,0,0,14113,14113,0,3
410,3,8,0,0,12019,,0.3,1,1, ,ETT_Title_000123,ETT_Name_000123,,曼德拉草,1,20800,1,2,20410,0,5,10,0,2,0,0,0,0,0,14153,14153,0,3
411,3,8,0,0,12044,,0.3,1,2, ,ETT_Title_000124,ETT_Name_000124,,可疑沙堆,1,20800,1,2,20411,0,5,10,0,2,0,0,0,0,0,14183,14183,0,3
412,3,8,0,0,12075,,0.3,1,1, ,ETT_Title_000125,ETT_Name_000125,,死亡书版,1,20800,1,2,20412,0,5,10,0,2,0,0,0,0,0,14194,14194,0,3
