TID,Name,ShaderName,ShaderAttrib
7,Landofwarria_water_a,A2WaterShader,WColor|1D412E|SColor|FFFFFF|WDeep|0.300000|RPower|0.420|WPower|0.550|WSize|0.980|WSpeed|0.010|WDir|0.410|Trens|0.900|WName|Texture/Terrain/Water/Waves.dds|RName|Texture/Terrain/Water/wreflection.dds|
8,Loengreen_water_basic_a,A2WaterShader,WColor|2B3939|SColor|FFFFFF|WDeep|0.180000|RPower|0.460|WPower|0.520|WSize|0.980|WSpeed|0.020|WDir|0.900|Trens|0.980|WName|Texture/Terrain/Water/Waves.dds|RName|Texture/Terrain/Water/wreflection.dds|
9,Magma_basic_A,A2MagmaShader,MDColor|7B2106|MSColor|0|MPower|1.000|MSize|0.970|MSpeed|0.010|MDir|0.020|MBName1||MNName1||MBName2||MNName2||
10,Magma_basic_B,A2MagmaShader,MDColor|892807|MSColor|0|MPower|1.000|MSize|0.940|MSpeed|0.020|MDir|0.440|MBName1||MNName1||MBName2||MNName2||
11,Nightmareofthealtar_1,A2WaterShader,WColor|AAF2FF|SColor|FFFFFF|WDeep|0.020000|RPower|0.190|WPower|0.810|WSize|0.970|WSpeed|0.040|WDir|0.320|Trens|1.000|WName|Texture/Terrain/Water/Waves.dds|RName|Texture/Terrain/Water/wreflection.dds|
12,Nightmareofthealtar_2,A2WaterShader,WColor|D3053|SColor|FFFFFF|WDeep|0.070000|RPower|0.430|WPower|0.780|WSize|0.980|WSpeed|0.020|WDir|0.200|Trens|0.760|WName|Texture/Terrain/Water/Waves.dds|RName|Texture/Terrain/Water/wreflection.dds|
13,Nightmareofthealtar_magma,A2MagmaShader,MDColor|750003|MSColor|0|MPower|0.930|MSize|0.930|MSpeed|0.050|MDir|0.000|MBName1||MNName1||MBName2||MNName2||
14,Pairglow,A2WaterShader,WColor|97CAD2|SColor|FFFFFF|WDeep|0.050000|RPower|0.620|WPower|0.370|WSize|0.960|WSpeed|0.010|WDir|0.000|Trens|0.780|WName|Texture/Terrain/Water/Waves.dds|RName|Texture/Terrain/Water/wreflection.dds|
15,Pairglow_2,A2WaterShader,WColor|0|SColor|FFFFFF|WDeep|0.060000|RPower|0.350|WPower|0.680|WSize|0.910|WSpeed|0.030|WDir|0.310|Trens|0.580|WName|Texture/Terrain/Water/Waves.dds|RName|Texture/Terrain/Water/wreflection.dds|
16,Pairglow_magma,A2MagmaShader,MDColor|810306|MSColor|0|MPower|1.000|MSize|0.930|MSpeed|0.060|MDir|0.360|MBName1||MNName1||MBName2||MNName2||
17,PieceoflandStars,A2WaterShader,WColor|598FCC|SColor|FFFFFF|WDeep|0.020000|RPower|0.640|WPower|0.400|WSize|0.840|WSpeed|0.050|WDir|0.390|Trens|0.940|WName|Texture/Terrain/Water/Waves.dds|RName|Texture/Terrain/Water/wreflection.dds|
18,PieceoflandStars2,A2WaterShader,WColor|5C8FE4|SColor|FFFFFF|WDeep|0.060000|RPower|0.450|WPower|0.500|WSize|0.910|WSpeed|0.040|WDir|0.510|Trens|0.940|WName|Texture/Terrain/Water/Waves.dds|RName|Texture/Terrain/Water/wreflection.dds|
19,QURIOD_MINE,A2MagmaShader,MDColor|820003|MSColor|0|MPower|0.040|MSize|0.980|MSpeed|0.020|MDir|0.640|MBName1||MNName1||MBName2||MNName2||
20,RainbowPlain_01,A2WaterShader,WColor|703621|SColor|FFFFFF|WDeep|0.150000|RPower|0.550|WPower|0.480|WSize|0.980|WSpeed|0.090|WDir|0.830|Trens|0.780|WName|Texture/Terrain/Water/Waves.dds|RName|Texture/Terrain/Water/wreflection.dds|
21,RainbowPlain_02,A2WaterShader,WColor|35A8FD|SColor|FFFFFF|WDeep|0.110000|RPower|0.430|WPower|0.520|WSize|0.900|WSpeed|0.030|WDir|0.000|Trens|0.890|WName|Texture/Terrain/Water/Waves.dds|RName|Texture/Terrain/Water/wreflection.dds|
22,RainbowPlain_03,A2WaterShader,WColor|3E989F|SColor|FFFFFF|WDeep|0.210000|RPower|0.480|WPower|0.460|WSize|0.970|WSpeed|0.120|WDir|0.170|Trens|0.790|WName|Texture/Terrain/Water/Waves.dds|RName|Texture/Terrain/Water/wreflection.dds|
23,RainbowPlain_brown,A2WaterShader,WColor|453230|SColor|FFFFFF|WDeep|0.030000|RPower|0.520|WPower|0.480|WSize|0.780|WSpeed|0.010|WDir|0.650|Trens|0.510|WName|Texture/Terrain/Water/Waves.dds|RName|Texture/Terrain/Water/wreflection.dds|
24,RainbowPlain_green,A2WaterShader,WColor|2D8712|SColor|FFFFFF|WDeep|0.200000|RPower|0.350|WPower|0.550|WSize|0.960|WSpeed|0.040|WDir|0.650|Trens|0.860|WName|Texture/Terrain/Water/Waves.dds|RName|Texture/Terrain/Water/wreflection.dds|
25,RoKan_blood,A2WaterShader,WColor|330000|SColor|D91000|WDeep|0.010000|RPower|0.820|WPower|0.200|WSize|0.980|WSpeed|0.010|WDir|0.250|Trens|1.000|WName|TEXTURE/TERRAIN/WATER/WAVES.DDS|RName|Texture/Terrain/Water/wreflection.dds|
26,Stix_water_basic_A,A2WaterShader,WColor|252617|SColor|FFFFFF|WDeep|0.130000|RPower|0.450|WPower|0.560|WSize|1.000|WSpeed|0.010|WDir|0.420|Trens|0.980|WName|Texture/Terrain/Water/Waves.dds|RName|Texture/Terrain/Water/wreflection.dds|
27,Swamp_red_a,A2WaterShader,WColor|400C09|SColor|BC3030|WDeep|0.060000|RPower|0.830|WPower|0.000|WSize|0.980|WSpeed|0.010|WDir|0.000|Trens|0.900|WName|Texture/Terrain/Water/Waves.dds|RName|Texture/Terrain/Water/wreflection.dds|
28,Time_Forests,A2WaterShader,WColor|2E5C3A|SColor|FFFFFF|WDeep|0.100000|RPower|0.480|WPower|0.220|WSize|0.880|WSpeed|0.070|WDir|0.360|Trens|0.640|WName|Texture/Terrain/Water/Waves.dds|RName|Texture/Terrain/Water/wreflection.dds|
29,WaterGroup01,A2WaterShader,WColor|203540|SColor|FFFFFF|WDeep|0.100000|RPower|0.330|WPower|0.440|WSize|0.970|WSpeed|0.050|WDir|0.420|Trens|0.890|WName|Texture/Terrain/Water/Waves.dds|RName|Texture/Terrain/Water/wreflection.dds|
30,frozenbowl,A2WaterShader,WColor|D2640|SColor|9FB8DD|WDeep|0.520000|RPower|0.520|WPower|0.750|WSize|0.950|WSpeed|0.040|WDir|0.500|Trens|1.000|WName|Texture/Terrain/Water/Waves.dds|RName|Texture/Terrain/Water/wreflection.dds|
31,moonelf_A,A2WaterShader,WColor|2F244A|SColor|C2B8FC|WDeep|0.070000|RPower|0.470|WPower|0.380|WSize|1.000|WSpeed|0.040|WDir|0.890|Trens|1.000|WName|Texture/Terrain/Water/Waves.dds|RName|Texture/Terrain/Water/wreflection.dds|
32,vandiruna_water,A2WaterShader,WColor|382535|SColor|FFFFFF|WDeep|0.010000|RPower|0.480|WPower|0.510|WSize|0.980|WSpeed|0.010|WDir|1.000|Trens|0.950|WName|Texture/Terrain/Water/Waves.dds|RName|Texture/Terrain/Water/wreflection.dds|
