TID,Type,Value,Count,IsSelect
100391,3,0,4799996,0
100392,3,0,1199999,0
100393,3,0,6399994,0
100401,3,0,5075007,0
100402,3,0,422918,0
100403,3,0,1127780,0
100411,3,0,5802452,0
100412,3,0,8703678,0
100421,3,0,4351839,0
100422,3,0,1208844,0
100423,3,0,2175920,0
100431,3,0,4691520,0
100441,3,0,234576,0
100451,3,0,1290168,0
100501,3,0,1404257,0
100502,3,0,374107,0
100511,3,0,1637396,0
100512,3,0,203320,0
100521,3,0,1637396,0
100522,3,0,336155,0
100531,3,0,52215,0
100541,3,0,117483,0
100542,3,0,195805,0
100551,3,0,52215,0
100552,3,0,323730,0
100561,3,0,591852,0
100562,3,0,143190,0
100571,3,0,214785,0
100572,3,0,143190,0
100581,3,0,143190,0
100582,3,0,143190,0
100591,3,0,133690,0
100592,3,0,133690,0
100601,3,0,133690,0
100602,3,0,133690,0
100611,3,0,132030,0
100612,3,0,88020,0
100613,3,0,88020,0
100621,3,0,198045,0
100622,3,0,1760400,0
100623,3,0,88020,0
100631,3,0,198045,0
100632,3,0,563328,0
100633,3,0,220050,0
100701,3,0,42607,0
100702,3,0,42607,0
100711,3,0,42607,0
100715,3,0,937346,0
100721,3,0,1423062,0
100725,3,0,741356,0
100731,3,0,42607,0
100741,3,0,988474,0
100742,3,0,42607,0
100743,3,0,42607,0
100751,3,0,44873,0
100755,3,0,1041056,0
100761,3,0,1615432,0
100762,3,0,780792,0
100771,3,0,565401,0
100775,3,0,52446,0
100781,3,0,1148558,0
100785,3,0,1148558,0
100791,3,0,660814,0
100795,3,0,1258694,0
100801,3,0,52446,0
100805,3,0,961173,0
100811,3,0,965562,0
100815,3,0,961173,0
100821,3,0,965562,0
100831,3,0,1215730,0
100832,3,0,1215730,0
100833,3,0,1470287,0
100841,3,0,43889,0
100842,3,0,197501,0
100851,3,0,49767,0
100852,3,0,1592529,0
100853,3,0,1492996,0
100854,3,0,49767,0
100855,3,0,49767,0
100856,3,0,49767,0
100901,3,0,4499211,0
100911,3,0,2786608,0
100912,3,0,1277196,0
100921,3,0,4499211,0
100926,3,0,1683576,0
100931,3,0,2063506,0
100936,3,0,7914816,0
100941,3,0,1639498,0
100946,3,0,1488240,0
100951,3,0,206700,0
100956,3,0,310050,0
100961,3,0,465075,0
100966,3,0,1798290,0
101111,3,0,9180,0
101115,3,0,12852,0
101121,3,0,3240,0
101122,3,0,4860,0
101123,3,0,11664,0
101131,3,0,2160,0
101132,3,0,7776,0
101141,3,0,8820,0
101145,3,0,22464,0
101151,3,0,15725,0
101152,3,0,29952,0
101155,3,0,16071,0
101156,3,0,18663,0
101171,3,0,5400,0
110001,3,0,1000,0
110002,3,0,4200,0
110003,3,0,5400,0
110006,3,0,1000,0
110007,3,0,1000,0
110012,3,0,6720,0
110013,3,0,6720,0
110014,3,0,4050,0
110021,3,0,6480,0
110023,3,0,9720,0
110024,3,0,1200,0
110025,3,0,1200,0
110026,3,0,14256,0
110027,3,0,2700,0
110028,3,0,6480,0
110051,3,0,1500,0
110052,3,0,15840,0
110053,3,0,2250,0
110054,3,0,2250,0
110061,3,0,1500,0
110062,3,0,7200,0
110063,3,0,1000,0
110071,3,0,2400,0
110072,3,0,6720,0
110073,3,0,2400,0
110074,3,0,17280,0
110075,3,0,17280,0
110076,3,0,12096,0
110077,3,0,12096,0
110078,3,0,12096,0
110079,3,0,3780,0
110080,3,0,13860,0
110085,3,0,3200,0
110086,3,0,3200,0
110091,3,0,3200,0
110092,3,0,25280,0
110093,3,0,23040,0
110094,3,0,4800,0
110095,3,0,2160,0
110096,3,0,2160,0
110101,3,0,18144,0
110102,3,0,63160,0
110103,3,0,13824,0
110111,3,0,16848,0
110112,3,0,16848,0
110113,3,0,4860,0
110128,3,0,3000,0
110131,3,0,25800,0
110132,3,0,34320,0
110133,3,0,6750,0
110134,3,0,44760,0
110135,3,0,13800,0
110141,3,0,4620,0
110142,3,0,21252,0
110143,3,0,4620,0
110145,3,0,17100,0
110146,3,0,26334,0
110148,3,0,36036,0
110149,3,0,95542,0
110151,3,0,5880,0
110153,3,0,121599,0
110154,3,0,50568,0
110155,3,0,49392,0
110157,3,0,5880,0
110158,3,0,27048,0
110159,3,0,5880,0
110161,3,0,9360,0
110162,3,0,9360,0
110165,3,0,87048,0
110171,3,0,21060,0
110173,3,0,95472,0
110174,3,0,54756,0
110175,3,0,9240,0
110176,3,0,9240,0
110177,3,0,13860,0
110179,3,0,348718,0
110180,3,0,79002,0
110181,3,0,20790,0
110185,3,0,13860,0
110191,3,0,12000,0
110192,3,0,12000,0
110193,3,0,27000,0
110194,3,0,18000,0
110195,3,0,293040,0
110196,3,0,70200,0
110197,3,0,18000,0
110205,3,0,16640,0
110206,3,0,79872,0
110207,3,0,24960,0
110281,3,0,16640,0
110283,3,0,16640,0
110286,3,0,406349,0
110287,3,0,141773,0
110302,3,0,10200,0
110303,3,0,132600,0
110304,3,0,291720,0
110305,3,0,61200,0
110306,3,0,112200,0
110341,3,0,10200,0
110343,3,0,10200,0
110344,3,0,291720,0
110345,3,0,10200,0
110346,3,0,78030,0
110347,3,0,16200,0
110312,3,0,36450,0
110313,3,0,178200,0
110315,3,0,178200,0
110317,3,0,463320,0
110319,3,0,210600,0
110321,3,0,16200,0
110323,3,0,26600,0
110324,3,0,345800,0
110325,3,0,760760,0
110326,3,0,319200,0
110327,3,0,59850,0
110334,3,0,39900,0
110351,3,0,492800,0
110352,3,0,96000,0
110353,3,0,492800,0
110354,3,0,24000,0
110355,3,0,16000,0
110356,3,0,192000,0
111001,3,0,260022,0
111002,3,0,17220,0
111003,3,0,260022,0
111004,3,0,25830,0
111005,3,0,38745,0
111006,3,0,25830,0
111007,3,0,222138,0
111008,3,0,156014,0
111010,3,0,232987,0
111021,3,0,222138,0
111022,3,0,152914,0
111023,3,0,38745,0
111024,3,0,25830,0
111025,3,0,572049,0
111026,3,0,222138,0
111027,3,0,30800,0
111031,3,0,397320,0
111032,3,0,273504,0
111033,3,0,160160,0
111034,3,0,46200,0
111035,3,0,1023176,0
111036,3,0,69300,0
111041,3,0,69300,0
111042,3,0,189420,0
111043,3,0,397320,0
111044,3,0,46200,0
111051,3,0,1311552,0
111052,3,0,474720,0
111053,3,0,82800,0
111054,3,0,55200,0
111055,3,0,36800,0
111056,3,0,36800,0
111057,3,0,82800,0
111058,3,0,596160,0
111059,3,0,462944,0
111060,3,0,326784,0
111071,3,0,1368576,0
111072,3,0,86400,0
111073,3,0,199680,0
111074,3,0,622080,0
111075,3,0,236160,0
111076,3,0,495360,0
111077,3,0,622080,0
111078,3,0,57600,0
111079,3,0,236160,0
111080,3,0,86400,0
111082,3,0,199680,0
111091,3,0,746460,0
111092,3,0,746460,0
111093,3,0,321750,0
111094,3,0,176670,0
111095,3,0,176670,0
111096,3,0,122850,0
111097,3,0,122850,0
111098,3,0,43875,0
111099,3,0,29250,0
111101,3,0,34840,0
111102,3,0,648024,0
111103,3,0,522600,0
111104,3,0,648024,0
111105,3,0,78390,0
111107,3,0,78390,0
111108,3,0,52260,0
111110,3,0,315651,0
111121,3,0,1425653,0
111122,3,0,78390,0
111123,3,0,78390,0
111124,3,0,78390,0
111125,3,0,522600,0
111126,3,0,315651,0
111127,3,0,1078920,0
111128,3,0,299700,0
111129,3,0,199800,0
111130,3,0,449550,0
111131,3,0,3236760,0
111132,3,0,299700,0
111135,3,0,299700,0
111141,3,0,199800,0
111142,3,0,449550,0
111143,3,0,199800,0
111144,3,0,1947792,0
111145,3,0,47600,0
111146,3,0,107100,0
111147,3,0,448392,0
111148,3,0,428400,0
111149,3,0,71400,0
111150,3,0,107100,0
111151,3,0,71400,0
111152,3,0,771120,0
111153,3,0,885360,0
111154,3,0,885360,0
111155,3,0,299880,0
111156,3,0,71400,0
111157,3,0,107100,0
111158,3,0,771120,0
111161,3,0,104400,0
111162,3,0,802720,0
111163,3,0,453792,0
111164,3,0,46400,0
111171,3,0,2164096,0
111172,3,0,104400,0
111181,3,0,2164096,0
111182,3,0,69600,0
111183,3,0,299280,0
111184,3,0,428736,0
111185,3,0,46400,0
111191,3,0,104580,0
111192,3,0,1478064,0
111193,3,0,644213,0
111194,3,0,156870,0
111195,3,0,104580,0
111196,3,0,1206156,0
111197,3,0,69720,0
112001,3,0,1015560,0
112002,3,0,537602,0
112011,3,0,259935,0
112021,3,0,90675,0
112022,3,0,60450,0
112031,3,0,906750,0
112032,3,0,906750,0
112041,3,0,1418560,0
112042,3,0,644800,0
112043,3,0,259935,0
112051,3,0,906750,0
112061,3,0,906750,0
112062,3,0,60450,0
112071,3,0,114240,0
112072,3,0,171360,0
112081,3,0,1808039,0
112082,3,0,171360,0
112091,3,0,1218560,0
112092,3,0,76160,0
112101,3,0,76160,0
112111,3,0,491232,0
112112,3,0,171360,0
112121,3,0,4143104,0
112131,3,0,171360,0
112142,3,0,491232,0
112143,3,0,76160,0
112151,3,0,76160,0
112152,3,0,114240,0
112161,3,0,122513,0
112162,3,0,925650,0
112163,3,0,925650,0
112171,3,0,54450,0
112181,3,0,1192455,0
112182,3,0,122513,0
112183,3,0,2303235,0
112191,3,0,359370,0
112201,3,0,1306800,0
112202,3,0,1306800,0
112212,3,0,81675,0
112213,3,0,1306800,0
112214,3,0,122513,0
112221,3,0,925650,0
112222,3,0,359370,0
112225,3,0,925650,0
112226,3,0,359370,0
112231,3,0,1306800,0
112233,3,0,81675,0
112241,3,0,73848,0
112251,3,0,872884,0
112252,3,0,166158,0
112253,3,0,2761916,0
112254,3,0,110772,0
112261,3,0,1772352,0
112262,3,0,73848,0
112263,3,0,73848,0
112264,3,0,1657151,0
112265,3,0,487397,0
112271,3,0,1772352,0
112272,3,0,73848,0
112278,3,0,73848,0
112273,3,0,1255416,0
112274,3,0,686787,0
112275,3,0,2761916,0
112281,3,0,1772352,0
112282,3,0,166158,0
112283,3,0,110772,0
112291,3,0,1843473,0
112292,3,0,88515,0
112293,3,0,389466,0
112301,3,0,837942,0
112302,3,0,132773,0
112311,3,0,132773,0
112321,3,0,59010,0
112322,3,0,837942,0
112331,3,0,59010,0
112332,3,0,59010,0
112341,3,0,132773,0
112351,3,0,132773,0
112361,3,0,59010,0
112362,3,0,88515,0
112363,3,0,88515,0
112371,3,0,837942,0
112381,3,0,59010,0
112391,3,0,2849004,0
112392,3,0,389466,0
112401,3,0,1327725,0
112402,3,0,321840,0
112403,3,0,214560,0
112404,3,0,214560,0
112405,3,0,214560,0
112411,3,0,321840,0
112412,3,0,321840,0
112421,3,0,214560,0
112423,3,0,482760,0
112422,3,0,214560,0
112431,3,0,3647520,0
112432,3,0,1416096,0
112433,3,0,214560,0
112441,3,0,5449824,0
112442,3,0,482760,0
112443,3,0,321840,0
112445,3,0,868968,0
112447,3,0,214560,0
112451,3,0,222222,0
112455,3,0,214560,0
112461,3,0,2666664,0
112471,3,0,148148,0
112472,3,0,148148,0
112473,3,0,2666664,0
112481,3,0,3999996,0
112482,3,0,888888,0
112491,3,0,333333,0
112501,3,0,3999996,0
112502,3,0,222222,0
112511,3,0,999999,0
112512,3,0,148148,0
112513,3,0,333333,0
112514,3,0,222222,0
112521,3,0,156636,0
112531,3,0,6202786,0
112532,3,0,1057293,0
112541,3,0,4652090,0
112542,3,0,4652090,0
112551,3,0,352431,0
112552,3,0,939816,0
112553,3,0,234954,0
112571,3,0,6202786,0
112572,3,0,1057293,0
112582,3,0,4229172,0
112584,3,0,234954,0
112591,3,0,376085,0
112601,3,0,3989186,0
112602,3,0,302211,0
112611,3,0,1007370,0
112612,3,0,1007370,0
112613,3,0,1410318,0
112614,3,0,906633,0
112621,3,0,5318914,0
112622,3,0,1994593,0
112623,3,0,3626532,0
112631,3,0,302211,0
112632,3,0,302211,0
112633,3,0,302211,0
112641,3,0,4300560,0
112642,3,0,130320,0
112643,3,0,130320,0
112651,3,0,2932200,0
112652,3,0,195480,0
112661,3,0,195480,0
112662,3,0,4300560,0
112663,3,0,879660,0
112671,3,0,195480,0
112672,3,0,293220,0
112673,3,0,2932200,0
112681,3,0,2932200,0
112682,3,0,2932200,0
113001,3,0,126510,0
113002,3,0,1364497,0
113003,3,0,101660,0
113004,3,0,280129,0
113005,3,0,311756,0
113006,3,0,858458,0
113007,3,0,1364497,0
113008,3,0,45182,0
113009,3,0,280129,0
113010,3,0,45182,0
113011,3,0,45182,0
113051,3,0,45182,0
113052,3,0,1364497,0
113053,3,0,858458,0
113054,3,0,45182,0
113055,3,0,280129,0
113056,3,0,311756,0
113057,3,0,858458,0
113058,3,0,101660,0
113059,3,0,45182,0
113060,3,0,45182,0
113062,3,0,45182,0
113063,3,0,45182,0
113101,3,0,858458,0
113102,3,0,101660,0
113103,3,0,1364497,0
113104,3,0,45182,0
113105,3,0,1364497,0
113106,3,0,1364497,0
113107,3,0,45182,0
113108,3,0,101660,0
113109,3,0,311756,0
113110,3,0,45182,0
113111,3,0,45182,0
113113,3,0,858458,0
113151,3,0,43512,0
113152,3,0,1818802,0
113153,3,0,97902,0
113154,3,0,43512,0
113155,3,0,1314063,0
113156,3,0,97902,0
113157,3,0,300233,0
113158,3,0,269775,0
113159,3,0,43512,0
113201,3,0,97902,0
113202,3,0,826728,0
113203,3,0,43512,0
113204,3,0,826728,0
113205,3,0,43512,0
113206,3,0,826728,0
113207,3,0,339394,0
113208,3,0,65268,0
113209,3,0,300233,0
113210,3,0,43512,0
113211,3,0,43512,0
113251,3,0,97902,0
113252,3,0,1818802,0
113253,3,0,300233,0
113254,3,0,43512,0
113255,3,0,65268,0
113256,3,0,300233,0
113257,3,0,1314063,0
113258,3,0,97902,0
113259,3,0,826728,0
113260,3,0,43512,0
113261,3,0,43512,0
113262,3,0,1314063,0
113263,3,0,826728,0
113264,3,0,300233,0
113265,3,0,43512,0
113301,3,0,79550,0
113302,3,0,1511450,0
113303,3,0,2402410,0
113304,3,0,79550,0
113305,3,0,119325,0
113306,3,0,493210,0
113307,3,0,1511450,0
113308,3,0,548895,0
113309,3,0,79550,0
113351,3,0,178988,0
113352,3,0,1511450,0
113353,3,0,1511450,0
113354,3,0,79550,0
113355,3,0,79550,0
113356,3,0,692085,0
113357,3,0,3325190,0
113358,3,0,178988,0
113359,3,0,493210,0
113360,3,0,548895,0
113361,3,0,548895,0
113362,3,0,79550,0
113363,3,0,79550,0
113401,3,0,3325190,0
113402,3,0,2617195,0
113403,3,0,548895,0
113404,3,0,493210,0
113405,3,0,79550,0
113406,3,0,2617195,0
113407,3,0,79550,0
113408,3,0,79550,0
113409,3,0,178988,0
113410,3,0,79550,0
113411,3,0,79550,0
113451,3,0,79550,0
113452,3,0,79550,0
113453,3,0,2243015,0
113454,3,0,3104570,0
113455,3,0,133690,0
113456,3,0,512477,0
113457,3,0,1411168,0
113458,3,0,167112,0
113459,3,0,2243015,0
113460,3,0,579322,0
113461,3,0,1411168,0
113462,3,0,512477,0
113463,3,0,74272,0
113464,3,0,74272,0
113465,3,0,74272,0
113501,3,0,74272,0
113502,3,0,1411168,0
113503,3,0,167112,0
113504,3,0,2243015,0
113505,3,0,460487,0
113506,3,0,74272,0
113507,3,0,579322,0
113508,3,0,3104570,0
113509,3,0,2243015,0
113510,3,0,111408,0
113511,3,0,1411168,0
113512,3,0,167112,0
113513,3,0,167112,0
113514,3,0,512477,0
113515,3,0,74272,0
113516,3,0,74272,0
113551,3,0,74272,0
113552,3,0,74272,0
113553,3,0,167112,0
113554,3,0,3104570,0
113555,3,0,2243015,0
113556,3,0,167112,0
113557,3,0,74272,0
113558,3,0,517118,0
113559,3,0,2339865,0
113560,3,0,469440,0
113561,3,0,73350,0
113562,3,0,73350,0
113563,3,0,3227400,0
113564,3,0,2339865,0
113565,3,0,73350,0
113566,3,0,73350,0
113567,3,0,517118,0
113568,3,0,469440,0
113569,3,0,110025,0
113570,3,0,73350,0
113601,3,0,1467000,0
113602,3,0,594135,0
113603,3,0,1467000,0
113604,3,0,110025,0
113605,3,0,517118,0
113606,3,0,73350,0
113607,3,0,1467000,0
113608,3,0,1467000,0
113609,3,0,517118,0
113610,3,0,73350,0
113651,3,0,1467000,0
113652,3,0,73350,0
113653,3,0,73350,0
113654,3,0,110025,0
113655,3,0,165038,0
113656,3,0,3227400,0
113657,3,0,594135,0
113658,3,0,2339865,0
113659,3,0,73350,0
113660,3,0,73350,0
114001,3,0,1718469,0
114002,3,0,159775,0
114003,3,0,159775,0
114004,3,0,546785,0
114011,3,0,781122,0
114012,3,0,617797,0
114013,3,0,159775,0
114014,3,0,568089,0
114015,3,0,568089,0
114021,3,0,1718469,0
114022,3,0,809526,0
114023,3,0,781122,0
114031,3,0,781122,0
114032,3,0,351505,0
114033,3,0,781122,0
114034,3,0,781122,0
114041,3,0,617797,0
114042,3,0,159775,0
114043,3,0,35506,0
114051,3,0,781122,0
114052,3,0,35506,0
114053,3,0,781122,0
114061,3,0,781122,0
114062,3,0,35506,0
114063,3,0,781122,0
114064,3,0,781122,0
114065,3,0,781122,0
114071,3,0,35506,0
114072,3,0,617797,0
114073,3,0,568089,0
114074,3,0,159775,0
114081,3,0,1718469,0
114082,3,0,781122,0
114083,3,0,781122,0
114084,3,0,159775,0
114091,3,0,411864,0
114092,3,0,411864,0
114101,3,0,71011,0
114111,3,0,1153220,0
114112,3,0,411864,0
114113,3,0,159775,0
114121,3,0,35506,0
114131,3,0,71011,0
114141,3,0,37394,0
114151,3,0,1480813,0
114152,3,0,673097,0
114153,3,0,168274,0
114161,3,0,650660,0
114162,3,0,37394,0
114163,3,0,239323,0
114171,3,0,673097,0
114172,3,0,673097,0
114173,3,0,673097,0
114181,3,0,673097,0
114182,3,0,557922,0
114183,3,0,168274,0
114191,3,0,2288529,0
114192,3,0,575872,0
114193,3,0,673097,0
114194,3,0,168274,0
114201,3,0,650660,0
114202,3,0,635703,0
114203,3,0,673097,0
114211,3,0,557922,0
114221,3,0,37394,0
114231,3,0,1480813,0
114232,3,0,673097,0
114233,3,0,673097,0
114241,3,0,852589,0
114251,3,0,673097,0
114252,3,0,650660,0
114253,3,0,2288529,0
114254,3,0,168274,0
114255,3,0,673097,0
114261,3,0,168274,0
114262,3,0,168274,0
114271,3,0,37394,0
114281,3,0,37394,0
114282,3,0,1480813,0
114283,3,0,673097,0
114291,3,0,673097,0
114292,3,0,650660,0
114293,3,0,168274,0
114294,3,0,168274,0
114301,3,0,196671,0
114302,3,0,196671,0
114303,3,0,87409,0
114304,3,0,2307605,0
114311,3,0,43705,0
114312,3,0,196671,0
114313,3,0,1048911,0
114314,3,0,506974,0
114315,3,0,1048911,0
114316,3,0,1048911,0
114321,3,0,43705,0
114322,3,0,43705,0
114331,3,0,1048911,0
114332,3,0,196671,0
114333,3,0,2307605,0
114334,3,0,1048911,0
114341,3,0,1048911,0
114351,3,0,87409,0
114361,3,0,43705,0
114362,3,0,43705,0
114371,3,0,1048911,0
114372,3,0,196671,0
114373,3,0,196671,0
114374,3,0,2307605,0
114375,3,0,1048911,0
114381,3,0,2019154,0
114382,3,0,1048911,0
114391,3,0,87409,0
114392,3,0,87409,0
114401,3,0,43705,0
114411,3,0,2307605,0
114412,3,0,1048911,0
114421,3,0,760461,0
114422,3,0,506974,0
114423,3,0,1048911,0
114431,3,0,43705,0
114441,3,0,1048911,0
114442,3,0,196671,0
114451,3,0,196671,0
114461,3,0,43705,0
114471,3,0,1002136,0
114472,3,0,164584,0
114473,3,0,36574,0
114481,3,0,164584,0
114482,3,0,636393,0
114491,3,0,73149,0
114501,3,0,1770196,0
114502,3,0,164584,0
114503,3,0,164584,0
114511,3,0,804635,0
114512,3,0,1770196,0
114513,3,0,164584,0
114514,3,0,164584,0
114515,3,0,636393,0
114516,3,0,164584,0
114521,3,0,424262,0
114522,3,0,1770196,0
114523,3,0,1145507,0
114524,3,0,73149,0
114531,3,0,36574,0
114532,3,0,164584,0
114533,3,0,164584,0
114541,3,0,2735758,0
114542,3,0,804635,0
114543,3,0,36574,0
114544,3,0,1145507,0
114551,3,0,1002136,0
114552,3,0,804635,0
114553,3,0,164584,0
114554,3,0,164584,0
114555,3,0,2735758,0
114556,3,0,804635,0
114557,3,0,804635,0
114558,3,0,1002136,0
114561,3,0,1400064,0
114562,3,0,1400064,0
114563,3,0,164584,0
114564,3,0,424262,0
114571,3,0,41472,0
114581,3,0,2007251,0
114582,3,0,912387,0
114583,3,0,41472,0
114584,3,0,41472,0
114585,3,0,912387,0
114586,3,0,186625,0
114591,3,0,663554,0
114592,3,0,912387,0
114593,3,0,41472,0
114594,3,0,721615,0
114595,3,0,186625,0
114596,3,0,481077,0
114601,3,0,1,0
114611,3,0,82944,0
114612,3,0,41472,0
114621,3,0,663554,0
114622,3,0,912387,0
114623,3,0,663554,0
114624,3,0,663554,0
114625,3,0,3102114,0
114626,3,0,186625,0
114627,3,0,912387,0
114631,3,0,945564,0
114632,3,0,945564,0
114633,3,0,945564,0
114634,3,0,945564,0
114635,3,0,2007251,0
114638,3,0,186625,0
114639,3,0,186625,0
114641,3,0,746498,0
114642,3,0,2007251,0
114643,3,0,1058368,0
114644,3,0,721615,0
114645,3,0,186625,0
114651,3,0,3102114,0
114652,3,0,912387,0
114653,3,0,912387,0
114661,3,0,945564,0
114662,3,0,945564,0
114663,3,0,945564,0
114664,3,0,41472,0
114665,3,0,186625,0
114671,3,0,721615,0
114672,3,0,1058368,0
114681,3,0,82944,0
114691,3,0,41472,0
115001,3,0,362840,0
115002,3,0,362840,0
115011,3,0,7450305,0
115012,3,0,6724626,0
115013,3,0,241893,0
115014,3,0,161262,0
115015,3,0,362840,0
115016,3,0,6289218,0
115021,3,0,1161087,0
115022,3,0,1064330,0
115023,3,0,161262,0
115024,3,0,362840,0
115025,3,0,161262,0
115031,3,0,161262,0
115032,3,0,161262,0
115041,3,0,161262,0
115042,3,0,241893,0
115051,3,0,7450305,0
115052,3,0,362840,0
115053,3,0,1161087,0
115061,3,0,1596495,0
115071,3,0,3821910,0
115072,3,0,241893,0
115081,3,0,161262,0
115082,3,0,241893,0
115091,3,0,7450305,0
115092,3,0,6724626,0
115093,3,0,362840,0
115101,3,0,1161087,0
115102,3,0,362840,0
115103,3,0,3821910,0
115104,3,0,3821910,0
115105,3,0,362840,0
115106,3,0,362840,0
115111,3,0,241893,0
115112,3,0,241893,0
115121,3,0,157040,0
115131,3,0,3297840,0
115132,3,0,1036464,0
115133,3,0,3721848,0
115134,3,0,3297840,0
115135,3,0,353340,0
115141,3,0,2487514,0
115142,3,0,157040,0
115143,3,0,235560,0
115144,3,0,353340,0
115151,3,0,7255248,0
115152,3,0,1554696,0
115161,3,0,157040,0
115171,3,0,157040,0
115172,3,0,235560,0
115181,3,0,3297840,0
115182,3,0,157040,0
115183,3,0,353340,0
115184,3,0,6124560,0
115191,3,0,2487514,0
115192,3,0,3297840,0
115201,3,0,157040,0
115211,3,0,3297840,0
115212,3,0,235560,0
115213,3,0,353340,0
115214,3,0,235560,0
115215,3,0,353340,0
115221,3,0,3721848,0
115222,3,0,6124560,0
115223,3,0,353340,0
115224,3,0,1554696,0
115231,3,0,157040,0
115241,3,0,11212656,0
115242,3,0,235560,0
115243,3,0,1130688,0
115244,3,0,6548568,0
115251,3,0,4082325,0
115252,3,0,387563,0
115253,3,0,387563,0
115254,3,0,3617250,0
115255,3,0,7957950,0
115261,3,0,7957950,0
115262,3,0,258375,0
115263,3,0,387563,0
115264,3,0,6717750,0
115265,3,0,1240200,0
115271,3,0,172250,0
115281,3,0,258375,0
115291,3,0,172250,0
115301,3,0,3617250,0
115302,3,0,3617250,0
115303,3,0,1705275,0
115304,3,0,258375,0
115305,3,0,387563,0
115311,3,0,1240200,0
115312,3,0,387563,0
115313,3,0,6717750,0
115314,3,0,1622595,0
115321,3,0,7957950,0
115322,3,0,1240200,0
115323,3,0,387563,0
115324,3,0,1705275,0
115325,3,0,7647900,0
115331,3,0,172250,0
115341,3,0,1240200,0
115342,3,0,3617250,0
115343,3,0,4082325,0
115344,3,0,387563,0
115345,3,0,387563,0
115351,3,0,3617250,0
115352,3,0,387563,0
115353,3,0,258375,0
115361,3,0,387563,0
115362,3,0,1705275,0
115363,3,0,1240200,0
115364,3,0,1240200,0
116011,3,0,4200,0
116012,3,0,4200,0
116015,3,0,3150,0
116016,3,0,3150,0
116021,3,0,19008,0
116022,3,0,4050,0
116023,3,0,9720,0
116024,3,0,4050,0
116031,3,0,13536,0
116032,3,0,2700,0
116033,3,0,6480,0
116034,3,0,2700,0
116035,3,0,2700,0
116041,3,0,5800,0
116042,3,0,5100,0
116043,3,0,2250,0
116044,3,0,4400,0
116045,3,0,1500,0
116046,3,0,5100,0
116051,3,0,15600,0
116052,3,0,5400,0
116053,3,0,5400,0
116054,3,0,5400,0
116055,3,0,5400,0
116056,3,0,5400,0
116057,3,0,5400,0
116058,3,0,5400,0
116061,3,0,2520,0
116062,3,0,3780,0
116063,3,0,3780,0
116064,3,0,20261,0
116065,3,0,3780,0
116066,3,0,3780,0
116067,3,0,9324,0
116071,3,0,45760,0
116072,3,0,23040,0
116073,3,0,7200,0
116074,3,0,17760,0
116075,3,0,7200,0
116076,3,0,7200,0
116081,3,0,15120,0
116082,3,0,4860,0
116083,3,0,2160,0
116084,3,0,11664,0
116085,3,0,4860,0
140001,3,0,18600,0
140002,3,0,17100,0
140003,3,0,18600,0
140004,3,0,56760,0
140005,3,0,17100,0
140006,3,0,6750,0
140007,3,0,20520,0
140011,3,0,224000,0
140012,3,0,36000,0
140013,3,0,80000,0
140014,3,0,492800,0
140015,3,0,96000,0
140016,3,0,224000,0
