TID,Comment,EngName,LocalName,Type,Kind,Property,Level,Grade,Race,Gender,LimitLevel,LimitSTR,LimitCON,LimitWIS,LimitMEN,LimitAgility,LimitMainWeapon,LimitFamePointTID,ReqWeaponLevel,PenaltyRate,Area,PowerRangeMax,RelativeClass,STR,CON,WIS,MEN,AGI,HPFixed,HPR,HPRBuff,MPFixed,MPR,MPRBuff,POPMin,POPMax,MOPMin,MOPMax,PD,MD,FD,WD,AD,LD,AP,DP,BP,CP,IGN_AT,PvP_AT,PvP_DF,AS,RS,CS,SetTID,CoolTime,UseSkillTID,LearnSkillTID,SocketTID,Socket,CashSocket,RecipeTID,EnchantTID,EnchantStepMax,SeedOption,Cash,SpecialTID,SpecialValue,AlchemyValue,AlchemyTID,MixTID,BreakTID,BoxTID,QuestTID,SalePrice,PurchasePrice,SaleFamePoint,PurchaseFamePoint,ReqMedalKind,SaleMedal,PurchaseMedal,ItemRestrict,StackCount,MaxCount,Consume,BindType,UnBindCount,Stoppable,MaxDurability,MinDurability,Crash,DecreationDurability,Repairable,ItemMeshLeft,ItemMeshRight,ItemMeshScale,UseEffect,UseSound,TreeDeps_01,TreeDeps_02,ItemIcon,EngDesc,LocalDesc
20, ,ITM_Name_000017,声望销售,3,1,0,1,0,2|4,0,1,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,,,,0,0,0,0,2,20,100,10,0,0,0,0,0,0,0,0,0,0,35,0,0,10,0,,p_w_lanc_00_all_lod.nif|p_w_lanc_00_all_lod.nif,,,,99,0,1,ITM_Desc_000017,说明:声望物品
21, ,ITM_Name_000018,购买名望,3,1,0,1,0,2|4,0,1,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,,,,0,0,0,0,2,20,5,50,0,0,0,0,0,0,0,0,0,0,35,0,0,10,0,,p_w_lanc_00_all_lod.nif|p_w_lanc_00_all_lod.nif,,,,99,0,1,ITM_Desc_000018,说明:声望物品
22, 地域限制,ITM_Name_000019,使用项目地区限制提示,4,0,0,1,3,0,0,1,0,0,0,0,0,,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,2,20,0,1000,2,0,5,15,99,0,1,0,0,0,0,0,0,0,0,,,,,,99,0,20026,ITM_Desc_000019,说明:艾林河只能在新手村使用的物品
23, 测试用战斗,ITM_Name_000020,武器,3,10,0,30,0,1|3,0,1,0,0,0,0,0,,0,30,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,9200,3,0,0,0,,,,0,0,0,0,1800,18000,0,0,0,0,0,0,0,0,0,0,0,0,174,0,0,0,1,,p_w_oswd_00_rgt_lod.nif|p_w_oswd_00_rgt_lod.nif,,,,1,11,5001,ITM_Desc_000020,说明:稍微有些久远../n连小孩子也能容易地操纵.
24, 测试用战斗,ITM_Name_000021,防具,1,1,0,1,0,1,0,1,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,57,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,12700,3,0,0,0,,,,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,1,p_h_01_g_m_helm_lod.nif,p_h_01_g_f_helm_lod.nif,,,,2,1,10001,ITM_Desc_000021,说明:稍微有些久远./n对魔力而言可强化防御./n任何人都能轻便的使用它.
25, 测试用,ITM_Name_000022,艾林河30箱子(防具 1),11,2,0,1,2,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,22,0,0,0,0,300,3,3,30,0,99,0,1,0,0,0,0,0,0,0,0,,p_w_oswd_01_rgt_lod.nif|p_w_oswd_01_rgt_lod.nif,,,,5,5,20028,ITM_Desc_000022,说明:这是艾林河30级马甲防具物品的箱子./n双击鼠标使用
26, 测试用,ITM_Name_000023,艾林河30箱子(防具 2),11,2,0,1,2,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,23,0,0,0,0,300,3,3,30,0,99,0,1,0,0,0,0,0,0,0,0,,p_w_oswd_01_rgt_lod.nif|p_w_oswd_01_rgt_lod.nif,,,,5,5,20028,ITM_Desc_000023,说明:这是艾林河30级马甲防具物品的箱子./n双击鼠标使用
27, 测试用,ITM_Name_000024,"艾林河30箱子(武器,力的)",11,2,0,1,2,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,24,0,0,0,0,300,3,3,30,0,99,0,1,0,0,0,0,0,0,0,0,,p_w_oswd_01_rgt_lod.nif|p_w_oswd_01_rgt_lod.nif,,,,5,5,20028,ITM_Desc_000024,说明:这是艾林河30级马甲防具物品的箱子./n双击鼠标使用
28, 测试用,ITM_Name_000025,艾林河35箱子(防御品 1),11,2,0,1,2,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,25,0,0,0,0,300,3,3,30,0,99,0,1,0,0,0,0,0,0,0,0,,p_w_oswd_01_rgt_lod.nif|p_w_oswd_01_rgt_lod.nif,,,,5,5,20028,ITM_Desc_000025,说明:这是艾林河30级马甲防具物品的箱子./n双击鼠标使用
29, 测试用,ITM_Name_000026,艾林河35箱子(防御品 2),11,2,0,1,2,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,26,0,0,0,0,300,3,3,30,0,99,0,1,0,0,0,0,0,0,0,0,,p_w_oswd_01_rgt_lod.nif|p_w_oswd_01_rgt_lod.nif,,,,5,5,20028,ITM_Desc_000026,说明:这是艾林河30级马甲防具物品的箱子./n双击鼠标使用
30, 测试用,ITM_Name_000027,"艾林河35箱子(武器, 力的)",11,2,0,1,2,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,27,0,0,0,0,300,3,3,30,0,99,0,1,0,0,0,0,0,0,0,0,,p_w_oswd_01_rgt_lod.nif|p_w_oswd_01_rgt_lod.nif,,,,5,5,20028,ITM_Desc_000027,说明:这是艾林河30级马甲防具物品的箱子./n双击鼠标使用
31, 测试用,ITM_Name_000028,艾林河40箱子(防御品 1),11,2,0,1,2,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,28,0,0,0,0,300,3,3,30,0,99,0,1,0,0,0,0,0,0,0,0,,p_w_oswd_01_rgt_lod.nif|p_w_oswd_01_rgt_lod.nif,,,,5,5,20028,ITM_Desc_000028,说明:这是艾林河30级马甲防具物品的箱子./n双击鼠标使用
32, 测试用,ITM_Name_000029,艾林河40箱子(防御品 2),11,2,0,1,2,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,29,0,0,0,0,300,3,3,30,0,99,0,1,0,0,0,0,0,0,0,0,,p_w_oswd_01_rgt_lod.nif|p_w_oswd_01_rgt_lod.nif,,,,5,5,20028,ITM_Desc_000029,说明:这是艾林河30级马甲防具物品的箱子./n双击鼠标使用
33, 测试用,ITM_Name_000030,"艾林河40箱子(武器,力的)",11,2,0,1,2,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,30,0,0,0,0,300,3,3,30,0,99,0,1,0,0,0,0,0,0,0,0,,p_w_oswd_01_rgt_lod.nif|p_w_oswd_01_rgt_lod.nif,,,,5,5,20028,ITM_Desc_000030,说明:这是艾林河30级马甲防具物品的箱子./n双击鼠标使用
34, 测试用,ITM_Name_000031,戴穆里申30箱子(防御品 1),11,2,0,1,2,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,31,0,0,0,0,300,3,3,30,0,99,0,1,0,0,0,0,0,0,0,0,,p_w_oswd_01_rgt_lod.nif|p_w_oswd_01_rgt_lod.nif,,,,5,5,20028,ITM_Desc_000031,说明:这是艾林河30级马甲防具物品的箱子./n双击鼠标使用
35, 测试用,ITM_Name_000032,戴穆里申30箱子(防御品 2),11,2,0,1,2,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,32,0,0,0,0,300,3,3,30,0,99,0,1,0,0,0,0,0,0,0,0,,p_w_oswd_01_rgt_lod.nif|p_w_oswd_01_rgt_lod.nif,,,,5,5,20028,ITM_Desc_000032,说明:这是艾林河30级马甲防具物品的箱子./n双击鼠标使用
36, 测试用,ITM_Name_000033,"戴穆里申30箱子(武器,力的)",11,2,0,1,2,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,33,0,0,0,0,300,3,3,30,0,99,0,1,0,0,0,0,0,0,0,0,,p_w_oswd_01_rgt_lod.nif|p_w_oswd_01_rgt_lod.nif,,,,5,5,20028,ITM_Desc_000033,说明:这是艾林河30级马甲防具物品的箱子./n双击鼠标使用
37, 测试用,ITM_Name_000034,戴穆里申35箱子(防御品 1),11,2,0,1,2,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,34,0,0,0,0,300,3,3,30,0,99,0,1,0,0,0,0,0,0,0,0,,p_w_oswd_01_rgt_lod.nif|p_w_oswd_01_rgt_lod.nif,,,,5,5,20028,ITM_Desc_000034,说明:这是艾林河30级马甲防具物品的箱子./n双击鼠标使用
38, 测试用,ITM_Name_000035,戴穆里申35箱子(防御品 2),11,2,0,1,2,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,35,0,0,0,0,300,3,3,30,0,99,0,1,0,0,0,0,0,0,0,0,,p_w_oswd_01_rgt_lod.nif|p_w_oswd_01_rgt_lod.nif,,,,5,5,20028,ITM_Desc_000035,说明:这是艾林河30级马甲防具物品的箱子./n双击鼠标使用
39, 测试用,ITM_Name_000036,"戴穆里申35箱子(武器,力的)",11,2,0,1,2,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,36,0,0,0,0,300,3,3,30,0,99,0,1,0,0,0,0,0,0,0,0,,p_w_oswd_01_rgt_lod.nif|p_w_oswd_01_rgt_lod.nif,,,,5,5,20028,ITM_Desc_000036,说明:这是艾林河30级马甲防具物品的箱子./n双击鼠标使用
40, 测试用,ITM_Name_000037,戴穆里申40箱子(防御品 1),11,2,0,1,2,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,37,0,0,0,0,300,3,3,30,0,99,0,1,0,0,0,0,0,0,0,0,,p_w_oswd_01_rgt_lod.nif|p_w_oswd_01_rgt_lod.nif,,,,5,5,20028,ITM_Desc_000037,说明:这是艾林河30级马甲防具物品的箱子./n双击鼠标使用
41, 测试用,ITM_Name_000038,戴穆里申40箱子(防御品 2),11,2,0,1,2,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,38,0,0,0,0,300,3,3,30,0,99,0,1,0,0,0,0,0,0,0,0,,p_w_oswd_01_rgt_lod.nif|p_w_oswd_01_rgt_lod.nif,,,,5,5,20028,ITM_Desc_000038,说明:这是艾林河30级马甲防具物品的箱子./n双击鼠标使用
42, 测试用,ITM_Name_000039,"戴穆里申40箱子(武器,力的)",11,2,0,1,2,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,39,0,0,0,0,300,3,3,30,0,99,0,1,0,0,0,0,0,0,0,0,,p_w_oswd_01_rgt_lod.nif|p_w_oswd_01_rgt_lod.nif,,,,5,5,20028,ITM_Desc_000039,说明:这是艾林河30级马甲防具物品的箱子./n双击鼠标使用
50, 测试用,ITM_Name_000040,艾林河lv30箱子,11,2,0,1,2,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,40,0,0,0,0,300,3,3,30,0,99,0,1,0,0,0,0,0,0,0,0,,p_w_oswd_01_rgt_lod.nif|p_w_oswd_01_rgt_lod.nif,,,,5,5,20028,ITM_Desc_000040,说明:这是艾林河30级马甲防具物品的箱子./n双击鼠标使用
