WeaponName,CharName,HandType,TX,TY,TZ,RX,RY,RZ,Scale,CombatScale
m_gend_w_oswd_all_a_lod.nif,00000.kfm,L,0,0,0,0,0,0,1,1
m_gend_w_oswd_all_a_lod.nif,00000.kfm,R,-19.585,5.042,28.133,9.584,-52.721,77.419,1,1
m_gend_w_oswd_all_a_lod.nif,00001.kfm,L,0,0,0,0,0,0,1,1
m_gend_w_oswd_all_a_lod.nif,00001.kfm,R,-9.84,-22.627,22.43,33.934,-5.747,9.813,1,1
m_gend_w_oswd_all_b_lod.nif,00000.kfm,L,0,0,0,0,0,0,1,1
m_gend_w_oswd_all_b_lod.nif,00000.kfm,R,-19.585,5.042,28.133,9.584,-52.721,77.419,1,1
m_gend_w_oswd_all_b_lod.nif,00001.kfm,L,0,0,0,0,0,0,1,1
m_gend_w_oswd_all_b_lod.nif,00001.kfm,R,-9.84,-22.627,22.43,33.934,-5.747,9.813,1,1
m_gend_w_oswd_all_c_lod.nif,00000.kfm,L,0,0,0,0,0,0,1,1
m_gend_w_oswd_all_c_lod.nif,00000.kfm,R,-19.585,5.042,28.133,9.584,-52.721,77.419,1,1
m_gend_w_oswd_all_c_lod.nif,00001.kfm,L,0,0,0,0,0,0,1,1
m_gend_w_oswd_all_c_lod.nif,00001.kfm,R,-9.84,-22.627,22.43,33.934,-5.747,9.813,1,1
m_hmas_w_taxe_rgt_a_lod.nif,00006.kfm,L,45.714,-1.003,-44.436,1.711,-55.392,-89.089,0.8,0.8
m_hmas_w_taxe_rgt_a_lod.nif,00006.kfm,R,0,0,0,0,0,0,1,1
m_hmas_w_taxe_rgt_a_lod.nif,00007.kfm,L,46.917,10.482,-37.3,15.896,-49.888,-107.239,0.8,0.8
m_hmas_w_taxe_rgt_a_lod.nif,00007.kfm,R,0,0,0,0,0,0,1,1
m_hmas_w_taxe_rgt_b_lod.bif,00006.kfm,L,45.714,-1.003,-44.436,1.711,-55.392,-89.089,0.8,0.8
m_hmas_w_taxe_rgt_b_lod.bif,00006.kfm,R,0,0,0,0,0,0,1,1
m_hmas_w_taxe_rgt_b_lod.bif,00007.kfm,L,46.917,10.482,-37.3,15.896,-49.888,-107.239,0.6,0.6
m_hmas_w_taxe_rgt_b_lod.bif,00007.kfm,R,0,0,0,0,0,0,1,1
m_hmas_w_taxe_rgt_c_lod.nif,00006.kfm,L,45.714,-1.003,-44.436,1.711,-55.392,-89.089,0.8,0.8
m_hmas_w_taxe_rgt_c_lod.nif,00006.kfm,R,0,0,0,0,0,0,1,1
m_hmas_w_taxe_rgt_c_lod.nif,00007.kfm,L,46.917,10.482,-37.3,15.896,-49.888,-107.239,0.6,0.6
m_hmas_w_taxe_rgt_c_lod.nif,00007.kfm,R,0,0,0,0,0,0,1,1
m_illn_w_oswd_rgt_a_lod.nif,00000.kfm,L,0,0,0,0,0,0,1,1
m_illn_w_oswd_rgt_a_lod.nif,00000.kfm,R,-19.585,5.042,28.133,9.584,-52.721,77.419,0.7,0.7
m_illn_w_oswd_rgt_a_lod.nif,00001.kfm,L,0,0,0,0,0,0,1,1
m_illn_w_oswd_rgt_a_lod.nif,00001.kfm,R,-9.84,-22.627,22.43,33.934,-5.747,9.813,0.7,0.7
m_illn_w_oswd_rgt_b_lod.bif,00000.kfm,L,0,0,0,0,0,0,1,1
m_illn_w_oswd_rgt_b_lod.bif,00000.kfm,R,-19.585,5.042,28.133,9.584,-52.721,77.419,0.7,0.7
m_illn_w_oswd_rgt_b_lod.bif,00001.kfm,L,0,0,0,0,0,0,1,1
m_illn_w_oswd_rgt_b_lod.bif,00001.kfm,R,-9.84,-22.627,22.43,33.934,-5.747,9.813,0.7,0.7
m_illn_w_oswd_rgt_c_lod.nif,00000.kfm,L,0,0,0,0,0,0,1,1
m_illn_w_oswd_rgt_c_lod.nif,00000.kfm,R,-19.585,5.042,28.133,9.584,-52.721,77.419,0.7,0.7
m_illn_w_oswd_rgt_c_lod.nif,00001.kfm,L,0,0,0,0,0,0,1,1
m_illn_w_oswd_rgt_c_lod.nif,00001.kfm,R,-9.84,-22.627,22.43,33.934,-5.747,9.813,0.7,0.7
m_iron_w_oblt_rgt_a_lod.nif,07003.kfm,L,0,0,0,0,270,0,0.5,0.5
m_iron_w_oblt_rgt_a_lod.nif,07003.kfm,R,0,0,0,0,270,0,0.5,0.5
m_iron_w_oblt_rgt_a_lod.nif,07048.kfm,L,0,0,0,0,270,0,0.7,0.7
m_iron_w_oblt_rgt_a_lod.nif,07048.kfm,R,0,0,0,0,270,0,0.7,0.7
m_iron_w_tbow_all_a_lod.nif,00003.kfm,L,-5.031,1.231,-4.365,132.016,-48.818,107.895,1,1
m_iron_w_tbow_all_a_lod.nif,00003.kfm,R,0,0,0,0,270,0,1,1
m_iron_w_tbow_all_a_lod.nif,07043.kfm,L,0,0,0,0,270,0,1,1.2
m_iron_w_tbow_all_a_lod.nif,07043.kfm,R,0,0,0,0,270,0,1,1
m_iron_w_tbow_all_a_lod.nif,07049.kfm,L,0,0,0,0,270,0,1.3,1.3
m_iron_w_tbow_all_a_lod.nif,07049.kfm,R,0,0,0,0,270,0,1.3,1.3
m_iron_w_tbow_all_a_lod.nif,07063.kfm,L,0,0,0,0,270,0,1.3,1.3
m_iron_w_tbow_all_a_lod.nif,07063.kfm,R,0,0,0,0,270,0,1.3,1.3
m_iron_w_tbow_all_a_lod.nif,07064.kfm,L,0,0,0,0,270,0,1.3,1.3
m_iron_w_tbow_all_a_lod.nif,07064.kfm,R,0,0,0,0,270,0,1.3,1.3
m_iron_w_tbow_all_a_lod.nif,07065.kfm,L,0,0,0,0,270,0,1.3,1.3
m_iron_w_tbow_all_a_lod.nif,07065.kfm,R,0,0,0,0,270,0,1.3,1.3
m_iron_w_tstf_all_a_lod.nif,07008.kfm,L,0,0,0,0,270,0,2,2
m_iron_w_tstf_all_a_lod.nif,07008.kfm,R,0,0,0,0,270,0,2,2
m_iron_w_tstf_all_a_lod.nif,07050.kfm,L,0,0,0,0,270,0,1.3,1.3
m_iron_w_tstf_all_a_lod.nif,07050.kfm,R,0,0,0,0,270,0,1.3,1.3
m_lefu_w_oblt_rgt_a_lod.nif,07003.kfm,L,0,0,0,0,270,0,0.5,0.5
m_lefu_w_oblt_rgt_a_lod.nif,07003.kfm,R,0,0,0,0,270,0,0.5,0.5
m_lefu_w_oblt_rgt_a_lod.nif,07048.kfm,L,0,0,0,0,270,0,0.7,0.7
m_lefu_w_oblt_rgt_a_lod.nif,07048.kfm,R,0,0,0,0,270,0,0.7,0.7
m_lefu_w_tbow_all_a_lod.nif,00003.kfm,L,0,0,0,110.848,-47.278,-53.241,1,1
m_lefu_w_tbow_all_a_lod.nif,00003.kfm,R,0,0,0,0,270,0,1,1
m_lefu_w_tbow_all_a_lod.nif,07043.kfm,L,0,0,0,0,270,0,1,1.21
m_lefu_w_tbow_all_a_lod.nif,07043.kfm,R,0,0,0,0,270,0,1,1
m_lefu_w_tbow_all_a_lod.nif,07049.kfm,L,0,0,0,0,270,0,1.3,1.3
m_lefu_w_tbow_all_a_lod.nif,07049.kfm,R,0,0,0,0,270,0,1.3,1.3
m_lefu_w_tstf_all_a_lod.nif,07008.kfm,L,0,0,0,0,270,0,2,2
m_lefu_w_tstf_all_a_lod.nif,07008.kfm,R,0,0,0,0,270,0,2,2
m_lefu_w_tstf_all_a_lod.nif,07050.kfm,L,0,0,0,0,270,0,1.3,1.3
m_lefu_w_tstf_all_a_lod.nif,07050.kfm,R,0,0,0,0,270,0,1.3,1.3
m_prid_w_taxe_rgt_a_lod.nif,00006.kfm,L,45.714,-1.003,-44.436,1.711,-55.392,-89.089,0.7,0.7
m_prid_w_taxe_rgt_a_lod.nif,00006.kfm,R,0,0,0,0,0,0,1,1
m_prid_w_taxe_rgt_a_lod.nif,00007.kfm,L,46.917,10.482,-37.3,15.896,-49.888,-107.239,0.5,0.5
m_prid_w_taxe_rgt_a_lod.nif,00007.kfm,R,0,0,0,0,0,0,1,1
m_prid_w_taxe_rgt_b_lod.bif,00006.kfm,L,45.714,-1.003,-44.436,1.711,-55.392,-89.089,0.5,0.5
m_prid_w_taxe_rgt_b_lod.bif,00006.kfm,R,0,0,0,0,0,0,1,1
m_prid_w_taxe_rgt_b_lod.bif,00007.kfm,L,46.917,10.482,-37.3,15.896,-49.888,-107.239,0.5,0.5
m_prid_w_taxe_rgt_b_lod.bif,00007.kfm,R,0,0,0,0,0,0,1,1
m_prid_w_taxe_rgt_c_lod.nif,00006.kfm,L,45.714,-1.003,-44.436,1.711,-55.392,-89.089,0.5,0.5
m_prid_w_taxe_rgt_c_lod.nif,00006.kfm,R,0,0,0,0,0,0,1,1
m_prid_w_taxe_rgt_c_lod.nif,00007.kfm,L,46.917,10.482,-37.3,15.896,-49.888,-107.239,0.5,0.5
m_prid_w_taxe_rgt_c_lod.nif,00007.kfm,R,0,0,0,0,0,0,1,1
m_pudr_w_wand_rgt_a_lod.nif,00002.kfm,L,0,0,0,0,270,0,1,1
m_pudr_w_wand_rgt_a_lod.nif,00002.kfm,R,-21.647,12.931,-69.418,-126.996,-46.676,-147.064,0.37,0.4
m_roka_w_wand_rgt_a_lod.nif,00002.kfm,L,0,0,0,0,270,0,1,1
m_roka_w_wand_rgt_a_lod.nif,00002.kfm,R,0,0,0,-164.785,-65.46,-112.458,0.26,0.26
m_rwia_w_taxe_all_a_lod.nif,00006.kfm,L,45.714,-1.003,-44.436,1.711,-55.392,-89.089,0.35,0.35
m_rwia_w_taxe_all_a_lod.nif,00006.kfm,R,0,0,0,0,0,0,1,1
m_rwia_w_taxe_all_a_lod.nif,00007.kfm,L,46.917,10.482,-37.3,15.896,-49.888,-107.239,0.3,0.3
m_rwia_w_taxe_all_a_lod.nif,00007.kfm,R,0,0,0,0,0,0,1,1
m_rwib_w_twan_all_a_lod.nif,00002.kfm,L,0,0,0,0,0,0,1,1
m_rwib_w_twan_all_a_lod.nif,00002.kfm,R,2.441,7.689,-1.435,-173.431,-52.606,-90.321,0.29,0.44
m_rwib_w_twan_all_a_lod.nif,00003.kfm,L,0,0,0,0,0,0,1,1
m_rwib_w_twan_all_a_lod.nif,00003.kfm,R,-4.126,-8.919,0.521,151.049,65.306,112.091,0.39,0.45
m_rwib_w_twan_all_a_lod.nif,00006.kfm,L,0,0,0,0,0,0,1,1
m_rwib_w_twan_all_a_lod.nif,00006.kfm,R,16.241,7.523,-10.493,176.633,53.743,-92.776,1,1
m_rwib_w_twan_all_a_lod.nif,00007.kfm,L,0,0,0,0,0,0,1,1
m_rwib_w_twan_all_a_lod.nif,00007.kfm,R,14.648,5.39,-8.962,-157.72,52.725,-68.281,0.8,0.8
m_unde_w_oblt_all_a_lod.nif,07003.kfm,L,0,0,0,0,270,0,1,1
m_unde_w_oblt_all_a_lod.nif,07003.kfm,R,0,0,0,0,270,0,1,0.66
m_unde_w_oblt_all_a_lod.nif,07006.kfm,L,0,0,0,0,270,0,1,1
m_unde_w_oblt_all_a_lod.nif,07006.kfm,R,0,0,0,0,270,0,1,1.21
m_unde_w_tbow_all_a_lod.nif,07043.kfm,L,0,0,0,0,270,0,1,1.13
m_unde_w_tbow_all_a_lod.nif,07043.kfm,R,0,0,0,0,270,0,1,1
m_unde_w_tstf_all_a_lod.nif,07008.kfm,L,0,0,0,0,270,0,1,1
m_unde_w_tstf_all_a_lod.nif,07008.kfm,R,0,0,0,0,270,0,1,1.9
m_wood_w_oblt_rgt_a_lod.nif,07003.kfm,L,0,0,0,0,270,0,0.5,0.5
m_wood_w_oblt_rgt_a_lod.nif,07003.kfm,R,0,0,0,0,270,0,0.5,0.5
m_wood_w_oblt_rgt_a_lod.nif,07048.kfm,L,0,0,0,0,270,0,0.7,0.7
m_wood_w_oblt_rgt_a_lod.nif,07048.kfm,R,0,0,0,0,270,0,0.7,0.7
m_wood_w_tbow_all_a_lod.nif,07043.kfm,L,0,0,0,0,270,0,1,1.3
m_wood_w_tbow_all_a_lod.nif,07043.kfm,R,0,0,0,0,270,0,1,1
m_wood_w_tbow_all_a_lod.nif,07049.kfm,L,0,0,0,0,270,0,1,1.28
m_wood_w_tbow_all_a_lod.nif,07049.kfm,R,0,0,0,0,270,0,1,1
m_wood_w_tstf_all_a_lod.nif,07008.kfm,L,0,0,0,0,270,0,2,2
m_wood_w_tstf_all_a_lod.nif,07008.kfm,R,0,0,0,0,270,0,2,2
m_wood_w_tstf_all_a_lod.nif,07044.kfm,L,0,0,0,0,270,0,1,1
m_wood_w_tstf_all_a_lod.nif,07044.kfm,R,0,0,0,0,270,0,1,1.1
m_wood_w_tstf_all_a_lod.nif,07050.kfm,L,0,0,0,0,270,0,1,1
m_wood_w_tstf_all_a_lod.nif,07050.kfm,R,0,0,0,0,270,0,1,1.33
p_w_lanc_00_all_lod.nif,00002.kfm,L,0,0,0,0,0,0,0.9,0.9
p_w_lanc_00_all_lod.nif,00002.kfm,R,-39.249,8.117,40.774,-9.436,-50.416,96.425,0.9,0.9
p_w_lanc_00_all_lod.nif,00003.kfm,L,0,0,0,0,0,0,0.8,0.8
p_w_lanc_00_all_lod.nif,00003.kfm,R,-32.227,-6.964,20.764,3.742,-47.674,71.234,0.8,0.8
p_w_lanc_00_all_lod.nif,00006.kfm,L,0,0,0,0,0,0,1,1
p_w_lanc_00_all_lod.nif,00006.kfm,R,-38.25,-9.444,68.129,-11.695,-48.917,96.153,1,1
p_w_lanc_00_all_lod.nif,00007.kfm,L,0,0,0,0,0,0,0.85,0.85
p_w_lanc_00_all_lod.nif,00007.kfm,R,-34.633,-1.723,43.335,20.885,-40.019,75.688,0.85,0.85
p_w_lanc_01_all_lod.nif,00002.kfm,L,0,0,0,0,0,0,0.9,0.9
p_w_lanc_01_all_lod.nif,00002.kfm,R,-39.249,8.117,40.774,-9.436,-50.416,96.425,0.9,0.9
p_w_lanc_01_all_lod.nif,00003.kfm,L,0,0,0,0,0,0,0.8,0.8
p_w_lanc_01_all_lod.nif,00003.kfm,R,-32.227,-6.964,20.764,3.742,-47.674,71.234,0.8,0.8
p_w_lanc_01_all_lod.nif,00006.kfm,L,0,0,0,0,0,0,1,1
p_w_lanc_01_all_lod.nif,00006.kfm,R,-38.25,-9.444,68.129,-11.695,-48.917,96.153,1,1
p_w_lanc_01_all_lod.nif,00007.kfm,L,0,0,0,0,0,0,0.85,0.85
p_w_lanc_01_all_lod.nif,00007.kfm,R,-34.541,-2.74,47.969,15.747,-45.867,77.379,0.85,0.85
p_w_lanc_02_all_lod.nif,00002.kfm,L,0,0,0,0,0,0,0.9,0.9
p_w_lanc_02_all_lod.nif,00002.kfm,R,-39.249,8.117,40.774,-9.436,-50.416,96.425,0.9,0.9
p_w_lanc_02_all_lod.nif,00003.kfm,L,0,0,0,0,0,0,0.8,0.8
p_w_lanc_02_all_lod.nif,00003.kfm,R,-32.227,-6.964,20.764,3.742,-47.674,71.234,0.8,0.8
p_w_lanc_02_all_lod.nif,00006.kfm,L,0,0,0,0,0,0,1,1
p_w_lanc_02_all_lod.nif,00006.kfm,R,-38.25,-9.444,68.129,-11.695,-48.917,96.153,1,1
p_w_lanc_02_all_lod.nif,00007.kfm,L,0,0,0,0,0,0,0.85,0.85
p_w_lanc_02_all_lod.nif,00007.kfm,R,-37.966,-1.573,41.264,-5.051,-42.09,90.277,0.85,0.85
p_w_lanc_03_all_lod.nif,00002.kfm,L,0,0,0,0,0,0,0.9,0.9
p_w_lanc_03_all_lod.nif,00002.kfm,R,-39.249,8.117,40.774,-9.436,-50.416,96.425,0.9,0.9
p_w_lanc_03_all_lod.nif,00003.kfm,L,0,0,0,0,0,0,0.8,0.8
p_w_lanc_03_all_lod.nif,00003.kfm,R,-32.227,-6.964,20.764,3.742,-47.674,71.234,0.8,0.8
p_w_lanc_03_all_lod.nif,00006.kfm,L,0,0,0,0,0,0,1,1
p_w_lanc_03_all_lod.nif,00006.kfm,R,-38.25,-9.444,68.129,-11.695,-48.917,96.153,1,1
p_w_lanc_03_all_lod.nif,00007.kfm,L,0,0,0,0,0,0,0.85,0.85
p_w_lanc_03_all_lod.nif,00007.kfm,R,-35.984,0.442,43.889,-8.181,-48.342,95.7,0.85,0.85
p_w_lanc_04_all_lod.nif,00002.kfm,L,0,0,0,0,0,0,0.9,0.9
p_w_lanc_04_all_lod.nif,00002.kfm,R,-39.249,8.117,40.774,-9.436,-50.416,96.425,0.9,0.9
p_w_lanc_04_all_lod.nif,00003.kfm,L,0,0,0,0,0,0,0.8,0.8
p_w_lanc_04_all_lod.nif,00003.kfm,R,-32.227,-6.964,20.764,3.742,-47.674,71.234,0.8,0.8
p_w_lanc_04_all_lod.nif,00006.kfm,L,0,0,0,0,0,0,1,1
p_w_lanc_04_all_lod.nif,00006.kfm,R,-38.25,-9.444,68.129,-11.695,-48.917,96.153,1,1
p_w_lanc_04_all_lod.nif,00007.kfm,L,0,0,0,0,0,0,0.85,0.85
p_w_lanc_04_all_lod.nif,00007.kfm,R,-38.122,0.724,51.458,10.264,-51.381,82.469,0.85,0.85
p_w_lanc_05_all_lod.nif,00002.kfm,L,0,0,0,0,0,0,0.9,0.9
p_w_lanc_05_all_lod.nif,00002.kfm,R,-39.249,8.117,40.774,-9.436,-50.416,96.425,0.9,0.9
p_w_lanc_05_all_lod.nif,00003.kfm,L,0,0,0,0,0,0,0.8,0.8
p_w_lanc_05_all_lod.nif,00003.kfm,R,-32.227,-6.964,20.764,3.742,-47.674,71.234,0.8,0.8
p_w_lanc_05_all_lod.nif,00006.kfm,L,0,0,0,0,0,0,1,1
p_w_lanc_05_all_lod.nif,00006.kfm,R,-38.25,-9.444,68.129,-11.695,-48.917,96.153,1,1
p_w_lanc_05_all_lod.nif,00007.kfm,L,0,0,0,0,0,0,0.85,0.85
p_w_lanc_05_all_lod.nif,00007.kfm,R,-36.705,2.068,44.247,9.181,-46.549,80.21,0.85,0.85
p_w_lanc_06_all_lod.nif,00002.kfm,L,0,0,0,0,0,0,0.9,0.9
p_w_lanc_06_all_lod.nif,00002.kfm,R,-39.249,8.117,40.774,-9.436,-50.416,96.425,0.9,0.9
p_w_lanc_06_all_lod.nif,00003.kfm,L,0,0,0,0,0,0,0.8,0.8
p_w_lanc_06_all_lod.nif,00003.kfm,R,-32.227,-6.964,20.764,3.742,-47.674,71.234,0.8,0.8
p_w_lanc_06_all_lod.nif,00006.kfm,L,0,0,0,0,0,0,1,1
p_w_lanc_06_all_lod.nif,00006.kfm,R,-38.25,-9.444,68.129,-11.695,-48.917,96.153,1,1
p_w_lanc_06_all_lod.nif,00007.kfm,L,0,0,0,0,0,0,0.85,0.85
p_w_lanc_06_all_lod.nif,00007.kfm,R,-36.38,1.059,45.992,-6.066,-53.82,92.168,0.85,0.85
p_w_lanc_07_all_lod.nif,00002.kfm,L,0,0,0,0,0,0,0.9,0.9
p_w_lanc_07_all_lod.nif,00002.kfm,R,-39.249,8.117,40.774,-9.436,-50.416,96.425,0.9,0.9
p_w_lanc_07_all_lod.nif,00003.kfm,L,0,0,0,0,0,0,0.8,0.8
p_w_lanc_07_all_lod.nif,00003.kfm,R,-32.227,-6.964,20.764,3.742,-47.674,71.234,0.8,0.8
p_w_lanc_07_all_lod.nif,00006.kfm,L,0,0,0,0,0,0,1,1
p_w_lanc_07_all_lod.nif,00006.kfm,R,-38.25,-9.444,68.129,-11.695,-48.917,96.153,1,1
p_w_lanc_07_all_lod.nif,00007.kfm,L,0,0,0,0,0,0,0.85,0.85
p_w_lanc_07_all_lod.nif,00007.kfm,R,-35.955,-2.345,52.793,-9.308,-53.188,92.825,0.85,0.85
p_w_lanc_08_all_lod.nif,00002.kfm,L,0,0,0,0,0,0,0.9,0.9
p_w_lanc_08_all_lod.nif,00002.kfm,R,-39.249,8.117,40.774,-9.436,-50.416,96.425,0.9,0.9
p_w_lanc_08_all_lod.nif,00003.kfm,L,0,0,0,0,0,0,0.8,0.8
p_w_lanc_08_all_lod.nif,00003.kfm,R,-32.227,-6.964,20.764,3.742,-47.674,71.234,0.8,0.8
p_w_lanc_08_all_lod.nif,00006.kfm,L,0,0,0,0,0,0,1,1
p_w_lanc_08_all_lod.nif,00006.kfm,R,-38.25,-9.444,68.129,-11.695,-48.917,96.153,1,1
p_w_lanc_08_all_lod.nif,00007.kfm,L,0,0,0,0,0,0,0.85,0.85
p_w_lanc_08_all_lod.nif,00007.kfm,R,-40.543,-7.509,55.78,5.23,-48.62,75.89,0.85,0.85
p_w_lanc_09_all_lod.nif,00002.kfm,L,0,0,0,0,0,0,0.9,0.9
p_w_lanc_09_all_lod.nif,00002.kfm,R,-39.249,8.117,40.774,-9.436,-50.416,96.425,0.9,0.9
p_w_lanc_09_all_lod.nif,00003.kfm,L,0,0,0,0,0,0,0.8,0.8
p_w_lanc_09_all_lod.nif,00003.kfm,R,-32.227,-6.964,20.764,3.742,-47.674,71.234,0.8,0.8
p_w_lanc_09_all_lod.nif,00006.kfm,L,0,0,0,0,0,0,1,1
p_w_lanc_09_all_lod.nif,00006.kfm,R,-38.25,-9.444,68.129,-11.695,-48.917,96.153,1,1
p_w_lanc_09_all_lod.nif,00007.kfm,L,0,0,0,0,0,0,0.85,0.85
p_w_lanc_09_all_lod.nif,00007.kfm,R,-43.24,5.399,46.251,-10.944,-42.194,95.509,0.85,0.85
p_w_lanc_10_all_lod.nif,00002.kfm,L,0,0,0,0,0,0,0.9,0.9
p_w_lanc_10_all_lod.nif,00002.kfm,R,-39.249,8.117,40.774,-9.436,-50.416,96.425,0.9,0.9
p_w_lanc_10_all_lod.nif,00003.kfm,L,0,0,0,0,0,0,0.8,0.8
p_w_lanc_10_all_lod.nif,00003.kfm,R,-32.227,-6.964,20.764,3.742,-47.674,71.234,0.8,0.8
p_w_lanc_10_all_lod.nif,00006.kfm,L,0,0,0,0,0,0,1,1
p_w_lanc_10_all_lod.nif,00006.kfm,R,-43.999,-5.588,67.953,-11.695,-48.917,96.152,1,1
p_w_lanc_10_all_lod.nif,00007.kfm,L,0,0,0,0,0,0,0.85,0.85
p_w_lanc_10_all_lod.nif,00007.kfm,R,-38.006,3.809,48.276,8.324,-49.006,75.832,0.85,0.85
p_w_oorb_00_all_lod.nif,00002.kfm,L,11.695,9.994,1.457,-0.315,2.884,92.098,0.9,1
p_w_oorb_00_all_lod.nif,00002.kfm,R,-8.134,9.261,-0.186,-0.784,2.403,88.385,0.9,1
p_w_oorb_00_all_lod.nif,00003.kfm,L,10.178,1.569,-4.555,-14.827,-0.465,89.672,0.8,0.9
p_w_oorb_00_all_lod.nif,00003.kfm,R,-7.328,3.938,-2.041,-22.605,3.082,88.957,0.8,0.9
p_w_oorb_01_all_lod.nif,00002.kfm,L,11.695,9.994,1.457,-0.315,2.884,92.098,0.9,1
p_w_oorb_01_all_lod.nif,00002.kfm,R,-8.134,9.261,-0.186,-0.784,2.403,88.385,0.9,1
p_w_oorb_01_all_lod.nif,00003.kfm,L,10.178,1.569,-4.555,-10.855,-5.128,88.968,0.8,0.9
p_w_oorb_01_all_lod.nif,00003.kfm,R,-7.328,3.938,-2.041,-17.435,2.888,85.597,0.8,0.9
p_w_oorb_02_all_lod.nif,00002.kfm,L,11.695,9.994,1.457,-0.315,2.884,92.098,0.9,1
p_w_oorb_02_all_lod.nif,00002.kfm,R,-8.134,9.261,-0.186,-0.784,2.403,88.385,0.9,1
p_w_oorb_02_all_lod.nif,00003.kfm,L,10.178,1.569,-4.555,-10.855,-5.128,88.968,0.8,0.9
p_w_oorb_02_all_lod.nif,00003.kfm,R,-7.328,3.938,-2.041,-17.867,4.654,88.062,0.8,0.9
p_w_oorb_03_all_lod.nif,00002.kfm,L,11.695,9.994,1.457,-0.315,2.884,92.098,0.9,1
p_w_oorb_03_all_lod.nif,00002.kfm,R,-8.134,9.261,-0.186,-0.784,2.403,88.385,0.9,1
p_w_oorb_03_all_lod.nif,00003.kfm,L,10.178,1.569,-4.555,-10.855,-5.128,88.968,0.8,0.9
p_w_oorb_03_all_lod.nif,00003.kfm,R,-7.328,3.938,-2.041,-12.631,-1.531,87.681,0.8,0.9
p_w_oorb_04_all_lod.nif,00002.kfm,L,11.695,9.994,1.457,-0.315,2.884,92.098,0.9,1
p_w_oorb_04_all_lod.nif,00002.kfm,R,-8.134,9.261,-0.186,-0.784,2.403,88.385,0.9,1
p_w_oorb_04_all_lod.nif,00003.kfm,L,10.178,1.569,-4.555,-10.855,-5.128,88.968,0.8,0.9
p_w_oorb_04_all_lod.nif,00003.kfm,R,-7.328,3.938,-2.041,-12.473,2.46,87.678,0.8,0.9
p_w_oorb_05_all_lod.nif,00002.kfm,L,11.695,9.994,1.457,-0.315,2.884,92.098,0.9,1
p_w_oorb_05_all_lod.nif,00002.kfm,R,-8.134,9.261,-0.186,-0.784,2.403,88.385,0.9,1
p_w_oorb_05_all_lod.nif,00003.kfm,L,10.178,1.569,-4.555,-20.677,-3.813,90.443,0.8,0.9
p_w_oorb_05_all_lod.nif,00003.kfm,R,-7.328,3.938,-2.041,-24.651,-1.41,87.444,0.8,0.9
p_w_oorb_06_all_lod.nif,00002.kfm,L,11.695,9.994,1.457,-0.315,2.884,92.098,0.9,1
p_w_oorb_06_all_lod.nif,00002.kfm,R,-8.134,9.261,-0.186,-0.784,2.403,88.385,0.9,1
p_w_oorb_06_all_lod.nif,00003.kfm,L,11.095,0.57,-2.765,-26.666,-3.287,94.879,0.8,0.9
p_w_oorb_06_all_lod.nif,00003.kfm,R,-7.328,3.938,-2.041,-28.094,1.498,87.682,0.8,0.9
p_w_oorb_07_all_lod.nif,00002.kfm,L,11.695,9.994,1.457,-0.315,2.884,92.098,0.9,1
