TID,Comment,EngDesc,LocalDesc,Type,Round,RoundTime,RoundWaitTime,AutoRound,NpcTID,NpcCount
31,,IRT_Desc_000031,火龙巢穴(极困难),2,1,4800000,0,0,150749|150750|150751|150752|150753,1|1|1|1|1
32,,IRT_Desc_000032,火龙巢穴(炼狱),1,1,4800000,0,0,0,50
33,,IRT_Desc_000033,恶鬼峡谷(普通),2,1,3600000,0,0,150804|150807|150810|150813,1|1|1|1
34,,IRT_Desc_000034,恶鬼峡谷(困难),2,1,4200000,0,0,150824|150827|150830|150833|150837,1|1|1|1|1
35,,IRT_Desc_000035,恶鬼峡谷(极困难),2,1,4800000,0,0,150844|150847|150850|150853|150857,1|1|1|1|1
36,,IRT_Desc_000036,恶鬼峡谷(炼狱),1,1,4800000,0,0,0,50
37,,IRT_Desc_000037,黑暗要塞(普通),2,1,3600000,0,0,150903|150906|150911|150916,1|1|1|1
38,,IRT_Desc_000038,黑暗要塞(困难),2,1,4200000,0,0,150923|150926|150931|150936|150939,1|1|1|1|1
39,,IRT_Desc_000039,黑暗要塞(极困难),2,1,4800000,0,0,150943|150946|150951|150956|150959,1|1|1|1|1
40,,IRT_Desc_000040,黑暗要塞(炼狱),1,1,4800000,0,0,0,50
1001,,IRT_Desc_000041,普利德米尔饲养场(普通),2,1,1800000,0,0,170002|170006,1|1
1002,,IRT_Desc_000042,普利德米尔饲养场(困难),2,1,2400000,0,0,170022|170026|170027,1|1|1
1003,,IRT_Desc_000043,普利德米尔饲养场(极困难),2,1,3000000,0,0,170042|170046|170047,1|1|1
1004,,IRT_Desc_000044,普利德米尔饲养场(炼狱),1,1,3000000,0,0,0,50
1005,,IRT_Desc_000045,恩蒂温的圣所 (普通),2,1,2400000,0,0,170107|170108,1|1
1006,,IRT_Desc_000046,恩蒂温的圣所 (困难),2,1,3000000,0,0,170127|170128|170129,1|1|1
1007,,IRT_Desc_000047,恩蒂温的圣所 (极困难),2,1,3600000,0,0,170147|170148|170149,1|1|1
1008,,IRT_Desc_000048,恩蒂温的圣所 (炼狱),1,1,3600000,0,0,0,50
1009,,IRT_Desc_000049,冰冷的洞穴(普通),2,1,3000000,0,0,170207|170208|170210,1|1|1
1010,,IRT_Desc_000050,冰冷的洞穴(困难),2,1,3600000,0,0,170227|170228|170229|170230|170231,1|1|1|1|1
1011,,IRT_Desc_000051,冰冷的洞穴(极困难),2,1,4200000,0,0,170247|170248|170249|170250|170251,1|1|1|1|1
1012,,IRT_Desc_000052,冰冷的洞穴(炼狱),1,1,4200000,0,0,0,50
1013,,IRT_Desc_000053,冰封的狼城(普通),2,1,3600000,0,0,170308|170309|170310,1|1|1
1014,,IRT_Desc_000054,冰封的狼城(困难),2,1,4200000,0,0,170328|170329|170330|170331|170332,1|1|1|1|1
1015,,IRT_Desc_000055,冰封的狼城(极困难),2,1,4800000,0,0,170348|170349|170350|170351|170352,1|1|1|1|1
1016,,IRT_Desc_000056,冰封的狼城(炼狱),1,1,4800000,0,0,0,50
1017,,IRT_Desc_000057,哈比人的乐园 (普通),2,1,3600000,0,0,170410|170411|170412,1|1|1
1018,,IRT_Desc_000058,哈比人的乐园 (困难),2,1,4200000,0,0,170430|170431|170432|170433|170434,1|1|1|1|1
1019,,IRT_Desc_000059,哈比人的乐园 (极困难),2,1,4800000,0,0,170450|170451|170452|170453|170454,1|1|1|1|1
1020,,IRT_Desc_000060,哈比人的乐园 (炼狱),1,1,4800000,0,0,0,50
1021,,IRT_Desc_000061,暴风古城(普通),2,1,3600000,0,0,170511|170512|170513,1|1|1
1022,,IRT_Desc_000062,暴风古城(困难),2,1,4200000,0,0,170531|170532|170533|170534|170535,1|1|1|1|1
1023,,IRT_Desc_000063,暴风古城(极困难),2,1,4800000,0,0,170551|170552|170553|170554|170555,1|1|1|1|1
1024,,IRT_Desc_000064,暴风古城(炼狱),1,1,4800000,0,0,0,50
1025,,IRT_Desc_000065,战士们的圣地(普通),2,1,3600000,0,0,170611|170612|170614,1|1|1
1026,,IRT_Desc_000066,战士们的圣地(困难),2,1,4200000,0,0,170631|170632|170633|170634|170635,1|1|1|1|1
1027,,IRT_Desc_000067,战士们的圣地(极困难),2,1,4800000,0,0,170651|170652|170653|170654|170655,1|1|1|1|1
1028,,IRT_Desc_000068,战士们的圣地(炼狱),1,1,4800000,0,0,0,50
1029,,IRT_Desc_000069,红顶火山洞穴(普通),2,1,3600000,0,0,170712|170713|170715,1|1|1
1030,,IRT_Desc_000070,红顶火山洞穴(困难),2,1,4200000,0,0,170732|170733|170734|170735|170736,1|1|1|1|1
1031,,IRT_Desc_000071,红顶火山洞穴(极困难),2,1,4800000,0,0,170752|170753|170754|170755|170756,1|1|1|1|1
1032,,IRT_Desc_000072,红顶火山洞穴(炼狱),1,1,4800000,0,0,0,50
1033,,IRT_Desc_000073,灰色半兽人村庄(普通),2,1,3600000,0,0,170810|170811|170812|170813,1|1|1|1
1034,,IRT_Desc_000074,灰色半兽人村庄(困难),2,1,4200000,0,0,170830|170831|170832|170833|170834,1|1|1|1|1
1035,,IRT_Desc_000075,灰色半兽人村庄(极困难),2,1,4800000,0,0,170850|170851|170852|170853|170854,1|1|1|1|1
1036,,IRT_Desc_000076,灰色半兽人村庄(炼狱),1,1,4800000,0,0,0,50
1037,,IRT_Desc_000077,光之地下庭院(普通),2,1,3600000,0,0,170909|170910|170911,1|1|1
1038,,IRT_Desc_000078,光之地下庭院(困难),2,1,4200000,0,0,170929|170930|170931|170932,1|1|1|1
1039,,IRT_Desc_000079,光之地下庭院(极困难),2,1,4800000,0,0,170949|170951|170952|170953,1|1|1|1
1040,,IRT_Desc_000080,光之地下庭院(炼狱),1,1,4800000,0,0,0,50
2001,,IRT_Desc_000081,倒塌的梦之缝隙(普通),2,1,3600000,0,0,171009|171010|171011|171012,1|1|1|1
2002,,IRT_Desc_000082,倒塌的梦之缝隙(困难),2,1,4200000,0,0,171029|171030|171031|171032|171033,1|1|1|1|1
2003,,IRT_Desc_000083,倒塌的梦之缝隙(极困难),2,1,4800000,0,0,171049|171050|171051|171052|171053,1|1|1|1|1
2004,,IRT_Desc_000084,倒塌的梦之缝隙(炼狱),1,1,4800000,0,0,0,50
2005,,IRT_Desc_000085,蓝光洞穴(普通),2,1,3600000,0,0,171108|171109|171110|171111,1|1|1|1
2006,,IRT_Desc_000086,蓝光洞穴(困难),2,1,4200000,0,0,171128|171129|171130|171131|171132,1|1|1|1|1
2007,,IRT_Desc_000087,蓝光洞穴(极困难),2,1,4800000,0,0,171148|171149|171150|171151|171152,1|1|1|1|1
2008,,IRT_Desc_000088,蓝光洞穴(炼狱),1,1,4800000,0,0,0,50
2009,,IRT_Desc_000089,恶魔祭坛(普通),2,1,3600000,0,0,190033|190034|190035|190036|190037|190038,1|1|1|1|1|1
2010,,IRT_Desc_000090,恶魔祭坛(困难),2,1,4200000,0,0,0,50
2011,,IRT_Desc_000091,恶魔祭坛(极困难),2,1,4800000,0,0,0,50
2012,,IRT_Desc_000092,恶魔祭坛(炼狱),1,1,4800000,0,0,0,50
3001,Lv.5 ?? ??,IRT_Desc_000093,扭曲的时间洞穴(普通),2,1,1800000,0,0,180004|180008|180010,1|1|1
3002,,IRT_Desc_000094,扭曲的时间洞穴(困难),2,1,2400000,0,0,180024|180028|180030,1|1|1
3003,,IRT_Desc_000095,扭曲的时间洞穴(极困难),2,1,3000000,0,0,180044|180048|180050,1|1|1
3004,,IRT_Desc_000096,扭曲的时间洞穴(炼狱),1,1,3600000,0,0,0,50
3005,Lv.10 ?? ??,IRT_Desc_000097,扭曲的时间花园 (普通),2,1,1800000,0,0,180104|180108|180110,1|1|1
3006,,IRT_Desc_000098,扭曲的时间花园 (困难),2,1,2400000,0,0,180124|180128|180130,1|1|1
3007,,IRT_Desc_000099,扭曲的时间花园 (极困难),2,1,3000000,0,0,180144|180148|180150,1|1|1
3008,,IRT_Desc_000100,扭曲的时间花园 (炼狱),1,1,3600000,0,0,0,50
3009,Lv.15 ?? ??,IRT_Desc_000101,扭曲的时间洞穴(普通),2,1,1800000,0,0,180204|180208|180210,1|1|1
3010,,IRT_Desc_000102,扭曲的时间洞穴(困难),2,1,2400000,0,0,180224|180228|180230,1|1|1
3011,,IRT_Desc_000103,扭曲的时间洞穴(极困难),2,1,3000000,0,0,180244|180248|180250,1|1|1
3012,,IRT_Desc_000104,扭曲的时间洞穴(炼狱),1,1,3600000,0,0,0,50
3013,Lv.20 ?? ??,IRT_Desc_000105,扭曲的时间花园 (普通),2,1,1800000,0,0,180304|180308|180310,1|1|1
3014,,IRT_Desc_000106,扭曲的时间花园 (困难),2,1,2400000,0,0,180324|180328|180330,1|1|1
3015,,IRT_Desc_000107,扭曲的时间花园 (极困难),2,1,3000000,0,0,180344|180348|180350,1|1|1
3016,,IRT_Desc_000108,扭曲的时间花园 (炼狱),1,1,3600000,0,0,0,50
3017,Lv.25 ?? ??,IRT_Desc_000109,扭曲的时间洞穴(普通),2,1,1800000,0,0,180404|180408|180410,1|1|1
3018,,IRT_Desc_000110,扭曲的时间洞穴(困难),2,1,2400000,0,0,180424|180428|180430,1|1|1
3019,,IRT_Desc_000111,扭曲的时间洞穴(极困难),2,1,3000000,0,0,180444|180448|180450,1|1|1
3020,,IRT_Desc_000112,扭曲的时间洞穴(炼狱),1,1,3600000,0,0,0,50
3021,Lv.30 ?? ??,IRT_Desc_000113,扭曲的时间花园 (普通),2,1,1800000,0,0,180504|180508|180510,1|1|1
3022,,IRT_Desc_000114,扭曲的时间花园 (困难),2,1,2400000,0,0,180524|180528|180530,1|1|1
3023,,IRT_Desc_000115,扭曲的时间花园 (极困难),2,1,3000000,0,0,180544|180548|180550,1|1|1
3024,,IRT_Desc_000116,扭曲的时间花园 (炼狱),1,1,3600000,0,0,0,50
4001,,IRT_Desc_000117,哥布林的反击(1轮),2,1,1800000,0,0,180001|180002|180003,15|16|19
4002,,IRT_Desc_000118,突袭之湿地(2轮),2,2,1800000,10000,1,180014,1
4003,,IRT_Desc_000119,粉碎机的进攻(3轮),2,3,1800000,10000,1,180021|180022|180023,13|15|14
4004,,IRT_Desc_000120,狼人的恐惧(4轮),2,4,1800000,10000,1,180031|180032|180033,13|13|14
4005,,IRT_Desc_000121,拉米压的战斗(5轮),2,5,1800000,10000,1,180041|180042|180043,12|12|13
4006,,IRT_Desc_000122,最强的骑兵(6轮),2,6,1800000,10000,1,180051|180052|180053|180054,9|10|12|1
4007,,IRT_Desc_000123,火焰之魔(7轮),2,7,1800000,10000,1,180061|180062|180063|180064,11|10|10|1
4008,,IRT_Desc_000124,帝王之视(8轮),2,8,1800000,10000,1,180071|180072|180073|180074,8|10|9|1
4009,,IRT_Desc_000125,实验题的最终(9轮),2,9,1200000,10000,1,180082,1
4010,,IRT_Desc_000126,双龙(10轮),2,10,1200000,10000,1,180091|180092,1|1
4011,,IRT_Desc_000127,黑暗之王(11轮),2,11,1200000,10000,1,180101|180102|180103,1|1|1
4012,,IRT_Desc_000128,地狱的恐惧(12轮),2,12,1200000,10000,1,180114,1
