TID,Type,TypeCondition,MinLV,MaxLV,Race,EngContents,LocalContents,EngDesc,LocalDesc
10045,1000,0,1,99,0,NDT_Contents_000062,斯蒂尔布雷斯的皇家护卫队队长布里默,NDT_Desc_000062,
10047,1000,0,1,99,0,NDT_Contents_000063,有任务? /n /n我很忙请快说.,NDT_Desc_000063,
10049,1000,0,1,99,0,NDT_Contents_000064,无论总部怎么想，我认为没把物资送到派遣军手里就是问题.,NDT_Desc_000064,
10051,1000,0,1,99,0,NDT_Contents_000065,"我是艾丽希尔,是斯蒂尔布雷斯的樞機卿.",NDT_Desc_000065,
10053,1000,0,1,99,0,NDT_Contents_000066,因为克里顿的攻击而成为废墟的村庄，什么时候才能回去呢...,NDT_Desc_000066,
10055,1000,0,1,99,0,NDT_Contents_000067,家人都被克里顿杀死了. /n /n我该怎么活下去?,NDT_Desc_000067,
10057,1000,0,1,99,0,NDT_Contents_000068,不把克里顿赶出去我们是不会停止战斗的,NDT_Desc_000068,
10059,1000,0,1,99,0,NDT_Contents_000069,一起来祈祷光的庇佑吧.,NDT_Desc_000069,
10061,1000,0,1,99,0,NDT_Contents_000070,一起来祈祷光的庇佑吧.,NDT_Desc_000070,
10063,1000,0,1,99,0,NDT_Contents_000071,为了难民村，我们要战到最后,NDT_Desc_000071,
10065,1000,0,1,99,0,NDT_Contents_000072,为了难民村，我们要战到最后,NDT_Desc_000072,
10067,1000,0,1,99,0,NDT_Contents_000073,修复商人德拉德. /n请把要修复的东西交给我.,NDT_Desc_000073,
10069,1000,0,1,99,0,NDT_Contents_000074,我们卖简单的杂货. /n有您想要的吗?,NDT_Desc_000074,
10071,1000,0,1,99,0,NDT_Contents_000075,$Getname()大人，克里顿太恐怖了我们逃不到难民村.请帮帮我吧.,NDT_Desc_000075,
10073,1000,0,1,99,0,NDT_Contents_000076,这是哪里? /n /n我在逃避可怕的克里顿途中迷路了.,NDT_Desc_000076,
10075,1000,0,1,99,0,NDT_Contents_000077,(一具村民的尸体.四五十遭到了克里顿的攻击.),NDT_Desc_000077,
10077,1000,0,1,99,0,NDT_Contents_000078,呃，是谁? /n /n好像不少.,NDT_Desc_000078,
10079,1000,0,1,99,0,NDT_Contents_000079,卡莱利吧一族的行动渐渐变得奇怪了呢.,NDT_Desc_000079,
10081,1000,0,1,99,0,NDT_Contents_000080,要尽快掌握卡莱利吧一族的情报.,NDT_Desc_000080,
10083,1000,0,1,99,0,NDT_Contents_000081,我们商团，只要是有能换钱的东西，无论是哪都会去的.,NDT_Desc_000081,
10085,1000,0,1,99,0,NDT_Contents_000082,你是 $Getname()吗? /n /n就像传闻的那样，能力很优秀呢.,NDT_Desc_000082,
10087,1000,0,1,99,0,NDT_Contents_000083,巴利斯队长那位聪明的参谋叫朱莉.,NDT_Desc_000083,
10089,1000,0,1,99,0,NDT_Contents_000084,技师. 拜托了. 帮帮我吧.,NDT_Desc_000084,
10091,1000,0,1,99,0,NDT_Contents_000085,为了英穆海的荣光!,NDT_Desc_000085,
10093,1000,0,1,99,0,NDT_Contents_000086,为了英穆海的荣耀!,NDT_Desc_000086,
10095,1000,0,1,99,0,NDT_Contents_000087,为了什么来访问瀑布村?,NDT_Desc_000087,
10097,1000,0,1,99,0,NDT_Contents_000088,呵呵. 我是有很多秘密有很有用的萨奈. 请多指教.,NDT_Desc_000088,
10099,1000,0,1,99,0,NDT_Contents_000089,$Getname()大人的事迹听说过很多.真的这一见面更高兴了.,NDT_Desc_000089,
10101,1000,0,1,99,0,NDT_Contents_000090,小心点.村子周围并不安全.,NDT_Desc_000090,
10103,1000,0,1,99,0,NDT_Contents_000091,小心点.村子周围并不安全.,NDT_Desc_000091,
10105,1000,0,1,99,0,NDT_Contents_000092,请进.我是负责修复的雷. /n /n为您修复任何物品.,NDT_Desc_000092,
10107,1000,0,1,99,0,NDT_Contents_000093,请进.杂货商人格莱米. /n /n与斯蒂尔布莱斯的补给断了，虽然不卖高级物品，但是又不基本物品.,NDT_Desc_000093,
10109,1000,0,1,99,0,NDT_Contents_000094,有贵重物品的话，请使用我们的保管所.,NDT_Desc_000094,
10111,1000,0,1,99,0,NDT_Contents_000095,别紧张，我只是想和你聊聊而已.,NDT_Desc_000095,
10113,1000,0,1,99,0,NDT_Contents_000096,从斯蒂尔布莱斯派来的技师，好久变了.,NDT_Desc_000096,
10115,1000,0,1,99,0,NDT_Contents_000097,(弥赛逐渐冰冷的尸体),NDT_Desc_000097,
10117,1000,0,1,99,0,NDT_Contents_000098,来了位绿光草原的英雄你呢.那么您有什么事吗? ,NDT_Desc_000098,
10119,1000,0,1,99,0,NDT_Contents_000099,祈祷光的庇佑.,NDT_Desc_000099,
10121,1000,0,1,99,0,NDT_Contents_000100,"何时何地只要您有要换钱的东西, 请和我们格洛丽亚商团联系.",NDT_Desc_000100,
10123,1000,0,1,99,0,NDT_Contents_000101,为了英穆海的荣耀!,NDT_Desc_000101,
10125,1000,0,1,99,0,NDT_Contents_000102,为了英穆海的荣耀!,NDT_Desc_000102,
10127,1000,0,1,99,0,NDT_Contents_000103,来了位非常有名的英雄呢.,NDT_Desc_000103,
10129,1000,0,1,99,0,NDT_Contents_000104,要用每个人的力量铸成村子的防御.,NDT_Desc_000104,
10131,1000,0,1,99,0,NDT_Contents_000105,祈祷光的庇佑.我是光的弟子莱亚.,NDT_Desc_000105,
10133,1000,0,1,99,0,NDT_Contents_000106,我们是村子最后的防卫墙. 我们有信心.,NDT_Desc_000106,
10135,1000,0,1,99,0,NDT_Contents_000107,我们是村子最后的防御墙。我们有信心,NDT_Desc_000107,
10137,1000,0,1,99,0,NDT_Contents_000108,这样呀. 有要修复的东西吗? /n /n请拿出来吧.会精心为您修复的.,NDT_Desc_000108,
10139,1000,0,1,99,0,NDT_Contents_000109,有一些简单的药剂和杂物. /n /n有什么需要吗?,NDT_Desc_000109,
10141,1000,0,1,99,0,NDT_Contents_000110,有斯蒂尔布莱斯的消息吗? /n /n总部到底在想什么? /n /n照这样下去不是要击破英穆海的联合吧?,NDT_Desc_000110,
10143,1000,0,1,99,0,NDT_Contents_000111,侦察越来越南了. /n /n斯蒂尔布莱斯到底派不派援兵?,NDT_Desc_000111,
10145,1000,0,1,99,0,NDT_Contents_000112,钱钱钱我们是钱的奴隶不对，我们是想要成为钱的主人的格洛丽亚商团的商人,NDT_Desc_000112,
10147,1000,0,1,99,0,NDT_Contents_000113,为了英穆海的荣耀!,NDT_Desc_000113,
10149,1000,0,1,99,0,NDT_Contents_000114,为了英穆海的荣耀!,NDT_Desc_000114,
10151,1000,0,1,99,0,NDT_Contents_000115,呵呵呵. 是人类吗? /n /n最近因为变凶暴的一族的原因，很多痛苦. ,NDT_Desc_000115,
10153,1000,0,1,99,0,NDT_Contents_000116,(逐渐冰冷的侦察兵的尸体),NDT_Desc_000116,
10155,1000,0,1,99,0,NDT_Contents_000117,要小心地接近. /n /n请警备周边.,NDT_Desc_000117,
10157,1000,0,1,99,0,NDT_Contents_000118,一起祈祷光的庇佑吧. /n /n到了危险的地方.,NDT_Desc_000118,
10159,1000,0,1,99,0,NDT_Contents_000119,"士兵们的怨言越来越大,但仍然没有斯蒂尔布莱斯的消息",NDT_Desc_000119,
10161,1000,0,1,99,0,NDT_Contents_000120,在士兵们有怨言前快想想办法吧,NDT_Desc_000120,
10163,1000,0,1,99,0,NDT_Contents_000121,祈祷光的庇佑.,NDT_Desc_000121,
10165,1000,0,1,99,0,NDT_Contents_000122,补给到底什么时候能到? /n /n我们能坚持到什么时候呢?,NDT_Desc_000122,
10167,1000,0,1,99,0,NDT_Contents_000123,真的是辛苦的快要死了. 救援还没来吗? ,NDT_Desc_000123,
10169,1000,0,1,99,0,NDT_Contents_000124,用我们的力量来守护我们生存的土地吧.,NDT_Desc_000124,
10171,1000,0,1,99,0,NDT_Contents_000125,$Getname()大人的事迹经常听呢. /n /n这里流传得更广.,NDT_Desc_000125,
10173,1000,0,1,99,0,NDT_Contents_000126,为了我们的徒弟和声明!,NDT_Desc_000126,
10175,1000,0,1,99,0,NDT_Contents_000127,为了我们的土地和生命!,NDT_Desc_000127,
10177,1000,0,1,99,0,NDT_Contents_000128,装备以准备好. 战场上信得过的只有装备而已.,NDT_Desc_000128,
10179,1000,0,1,99,0,NDT_Contents_000129,说是补给品，更一般商店的并无差异呢. 有需要的话我会说的.,NDT_Desc_000129,
10181,1000,0,1,99,0,NDT_Contents_000130,请把战场上要带的累人的东西交给我.会好好保存的.,NDT_Desc_000130,
10183,1000,0,1,99,0,NDT_Contents_000131,不要忘了我们在前线的事.,NDT_Desc_000131,
10185,1000,0,1,99,0,NDT_Contents_000132,期待$Getname()大人的行动,NDT_Desc_000132,
10187,1000,0,1,99,0,NDT_Contents_000133,"要赶紧, 混乱的存在可不等我们.",NDT_Desc_000133,
10189,1000,0,1,99,0,NDT_Contents_000134,我不能当侦察兵了. 真是太恶心了.,NDT_Desc_000134,
10191,1000,0,1,99,0,NDT_Contents_000135,啊哈哈. 是活着的人类吗?,NDT_Desc_000135,
10193,1000,0,1,99,0,NDT_Contents_000136,$Getname()大人的到来我们很感激,NDT_Desc_000136,
10194,1000,0,1,99,0,NDT_Contents_000137,英穆海的支援吗? /n /n比想的来的快呢. ,NDT_Desc_000137,
10195,1000,0,1,99,0,NDT_Contents_000138,"谁都可以, 让我从这无极的痛苦中解放吧.",NDT_Desc_000138,
10196,1000,0,1,99,0,NDT_Contents_000139,想我这样的孤儿要想活下去该怎么办呢?,NDT_Desc_000139,
10201,1000,0,1,99,0,NDT_Contents_000140,"我是收集兵,把投入战场的战士聚集的人.",NDT_Desc_000140,
10202,1000,0,1,99,0,NDT_Contents_000141,欢迎来到流血断骨的战场. /n /n在这里尽情地发挥你的能力吧.,NDT_Desc_000141,
10203,1000,0,1,99,0,NDT_Contents_000142,小心四周. /n /n周围的一切都很可疑.,NDT_Desc_000142,
10204,1000,0,1,99,0,NDT_Contents_000143,红岩兵团的参谋长雷纳尔德. /n /n见到好名声的 $Getname()大人是我的光荣.,NDT_Desc_000143,
10205,1000,0,1,99,0,NDT_Contents_000144,"要是斯蒂尔布莱斯那些愚蠢的东西不归还村子, 我们只能依靠补给了",NDT_Desc_000144,
10206,1000,0,1,99,0,NDT_Contents_000145,是巨大生物的痕迹. /n /n有不好的预感.,NDT_Desc_000145,
10207,1000,0,1,99,0,NDT_Contents_000146,(护卫兵逐渐冰冷的尸体),NDT_Desc_000146,
10208,1000,0,1,99,0,NDT_Contents_000147,来到这里辛苦了. /n /n我是负责这里的分队长克里斯.,NDT_Desc_000147,
10209,1000,0,1,99,0,NDT_Contents_000148,无论是哪个部队，醉唠叨的是补给官吗? /n /n来得好. 我是这最唠叨的人. 叫我安德森.,NDT_Desc_000148,
10210,1000,0,1,99,0,NDT_Contents_000149,要把敌人抢去的发掘地抢回来.无论用什么手段!,NDT_Desc_000149,
10211,1000,0,1,99,0,NDT_Contents_000150,找到了这里，真是了不起. /n /n我是红岩军团的负责人科林森.有话对我说吗?,NDT_Desc_000150,
10212,1000,0,1,99,0,NDT_Contents_000151,"快请进.我是雷纳德,红岩军团的参谋，科林森长官的袋里…",NDT_Desc_000151,
10213,1000,0,1,99,0,NDT_Contents_000152,真为我们村子的未来担心… 这么一来我们要相信红岩军团吗?,NDT_Desc_000152,
10214,1000,0,1,99,0,NDT_Contents_000153,安全到达了红岩军团的要塞.我是这里的负责人贝诺斯.,NDT_Desc_000153,
10215,1000,0,1,99,0,NDT_Contents_000154,我是要塞的参谋兰斯特. 也叫种种怪石兰斯特.,NDT_Desc_000154,
10216,1000,0,1,99,0,NDT_Contents_000155,正在修复损坏部分…,NDT_Desc_000155,
10217,1000,0,1,99,0,NDT_Contents_000156,来的正好.正好需要帮助.,NDT_Desc_000156,
10218,1000,0,1,99,0,NDT_Contents_000157,可能是因为你这样的英雄的出现事情才会顺利的呢... /n /n从外面一点点解决后，回到斯蒂尔布莱斯收尾. 但是因为你这样的行为我可没有回去的理由. /n /n啊… 或许不会很久,NDT_Desc_000157,
10219,1000,0,1,99,0,NDT_Contents_000158,正在等$Getname()大人的到来.来红岩军团，来得很好.,NDT_Desc_000158,
10220,1000,0,1,99,0,NDT_Contents_000159,"$Getname(大人的英雄团经常听说,现在要确认是否属实.",NDT_Desc_000159,
10221,1000,0,1,99,0,NDT_Contents_000160,我们为了要塞的安全献上了生命.所以带着我们的生命占领卡果已山丘吧.,NDT_Desc_000160,
10301,1000,0,1,99,0,NDT_Contents_000161,欢迎来到被遗忘之地.,NDT_Desc_000161,
10302,1000,0,1,99,0,NDT_Contents_000162,请带上弓和箭.又到了狩猎的季节.,NDT_Desc_000162,
10303,1000,0,1,99,0,NDT_Contents_000163,我是村子安全的负责人维吉兰特领袖. 请叫我布莱德.,NDT_Desc_000163,
10304,1000,0,1,99,0,NDT_Contents_000164,救援终于来了.,NDT_Desc_000164,
10305,1000,0,1,99,0,NDT_Contents_000165,为了和家人们一起活下去我什么都愿意做.,NDT_Desc_000165,
10306,1000,0,1,99,0,NDT_Contents_000166,我还是忘不了纳尔泰伦的夜晚.那个所有的一切都消失了的恐怖夜晚…,NDT_Desc_000166,
10307,1000,0,1,99,0,NDT_Contents_000167,黑色的雾气笼罩大地…,NDT_Desc_000167,
10308,1000,0,1,99,0,NDT_Contents_000168,"上面的亡灵,旁边的堕落精灵,下面是破坏的军力.真是让人愉快地情形呢.",NDT_Desc_000168,
10309,1000,0,1,99,0,NDT_Contents_000169,要在这里处理摧毁的计划. ,NDT_Desc_000169,
10310,1000,0,1,99,0,NDT_Contents_000170,周围能看见的东西很少.我们这群人有多少个能活下去呢…,NDT_Desc_000170,
10311,1000,0,1,99,0,NDT_Contents_000171,越是艰难的情况越要好好管理家畜因为家畜可能是我们最后的粮食.,NDT_Desc_000171,
10312,1000,0,1,99,0,NDT_Contents_000172,救救我们吧.救出一名也好.,NDT_Desc_000172,
10313,1000,0,1,99,0,NDT_Contents_000173,不管用什么手段都要把握现在的情报.,NDT_Desc_000173,
10314,1000,0,1,99,0,NDT_Contents_000174,"没有醒不来的梦,我的噩梦什么时候结束呢.",NDT_Desc_000174,
10315,1000,0,1,99,0,NDT_Contents_000175,不管用什么手段都要把握现在的情报.即使只有一个人也还是想要救更多的人.,NDT_Desc_000175,
10316,1000,0,1,99,0,NDT_Contents_000176,为了村子的安全要除掉周围的死灵技师.,NDT_Desc_000176,
10317,1000,0,1,99,0,NDT_Contents_000177,从堕落中逃出来的只有我们而已… 真是惨重.,NDT_Desc_000177,
10318,1000,0,1,99,0,NDT_Contents_000178,谢谢. 虽然只是一小会，托你的福我的意志摆脱了肉体的束缚,NDT_Desc_000178,
10319,1000,0,1,99,0,NDT_Contents_000179,呃….堕落的黑暗消失了吗? 你… 你把我们从堕落里就出来的?,NDT_Desc_000179,
10320,1000,0,1,99,0,NDT_Contents_000180,牟… (传来小牛犊害怕的叫声.),NDT_Desc_000180,
10321,1000,0,1,99,0,NDT_Contents_000181,欢迎.我是负责东门的奈森.,NDT_Desc_000181,
10322,1000,0,1,99,0,NDT_Contents_000182,我是来援助英穆海的.警备员杰特.,NDT_Desc_000182,
10323,1000,0,1,99,0,NDT_Contents_000183,呃… (好像受伤了.),NDT_Desc_000183,
10324,1000,0,1,99,0,NDT_Contents_000184,(冰凉的尸体，有战斗的痕迹.),NDT_Desc_000184,
10325,1000,0,1,99,0,NDT_Contents_000185,魔术师赛乐林.,NDT_Desc_000185,
10326,1000,0,1,99,0,NDT_Contents_000186,喜欢特别的食物吗?,NDT_Desc_000186,
10327,1000,0,1,99,0,NDT_Contents_000187,负责这里研究所的汉博特.,NDT_Desc_000187,
10328,1000,0,1,99,0,NDT_Contents_000188,(冰凉的尸体，有战斗的痕迹.),NDT_Desc_000188,
10329,1000,0,1,99,0,NDT_Contents_000189,欢迎来到风溪谷交易所,NDT_Desc_000189,
10330,1000,0,1,99,0,NDT_Contents_000190,祈祷光的庇佑.我是弟子朱丽娜.,NDT_Desc_000190,
10331,1000,0,1,99,0,NDT_Contents_000191,喜欢新的食物?,NDT_Desc_000191,
10332,1000,0,1,99,0,NDT_Contents_000192,管理风溪谷面粉风车的汉克.,NDT_Desc_000192,
10333,1000,0,1,99,0,NDT_Contents_000193,担任风溪谷制粉所警备的艾伦.,NDT_Desc_000193,
10334,1000,0,1,99,0,NDT_Contents_000194,啊...要找工具….,NDT_Desc_000194,
10335,1000,0,1,99,0,NDT_Contents_000195,最好的是烤的食物，喜欢吗?,NDT_Desc_000195,
10336,1000,0,1,99,0,NDT_Contents_000196,运输队遭到了袭击，真是出大事了.这里的负责人森特.,NDT_Desc_000196,
