TID,Comment,SaleTID,slot,ItemTID,ItemMaxSale,ItemMaxBuy,SaleDay_01,SaleStart_01,SaleEnd_01,SaleDay_02,SaleStart_02,SaleEnd_02
28,汤 粉,10,4,42404,0,0,8,0,0,8,0,0
29,新鲜蔬菜,10,5,42405,0,0,8,0,0,8,0,0
30,面粉,10,6,42406,0,0,8,0,0,8,0,0
31,图案:恩特的眼泪烤的的食物,10,7,70100,0,0,8,0,0,8,0,0
32,图案:恩特的眼泪果汁,10,8,70150,0,0,8,0,0,8,0,0
33,图案:恩特的眼泪 炒的的食物,10,9,70000,0,0,8,0,0,8,0,0
34,图案:恩特的眼泪 炖的的食物,10,10,70050,0,0,8,0,0,8,0,0
35,图案:恩特的眼泪 汤,10,11,70250,0,0,8,0,0,8,0,0
36,图案:恩特的眼泪 罐头,10,12,70350,0,0,8,0,0,8,0,0
37,图案:恩特的眼泪 沙拉,10,13,70200,0,0,8,0,0,8,0,0
38,图案:恩特的眼泪 炸的食物,10,14,70300,0,0,8,0,0,8,0,0
39,图案: 藤花烤的的食物,10,15,70101,0,0,8,0,0,8,0,0
40,图案: 藤花果汁,10,16,70151,0,0,8,0,0,8,0,0
41,图案: 藤花 炒的的食物,10,17,70001,0,0,8,0,0,8,0,0
42,"图案: 藤花 炖的的食物,",10,18,70051,0,0,8,0,0,8,0,0
43,图案: 藤花 汤,10,19,70251,0,0,8,0,0,8,0,0
44,图案: 藤花 罐头,10,20,70351,0,0,8,0,0,8,0,0
45,图案: 藤花 沙拉,10,21,70201,0,0,8,0,0,8,0,0
46,图案: 藤花 炸的食物,10,22,70301,0,0,8,0,0,8,0,0
47,"图案: 露水草叶烤的的食物,",10,23,70102,0,0,8,0,0,8,0,0
48,图案: 露水草叶果汁,10,24,70152,0,0,8,0,0,8,0,0
49,图案: 露水草叶 炒的的食物,10,25,70002,0,0,8,0,0,8,0,0
50,图案: 露水草叶 炖的的食物,10,26,70052,0,0,8,0,0,8,0,0
51,图案: 露水草叶 汤,10,27,70252,0,0,8,0,0,8,0,0
52,图案: 露水草叶 罐头,10,28,70352,0,0,8,0,0,8,0,0
53,"图案: 露水草叶 沙拉,",10,29,70202,0,0,8,0,0,8,0,0
54,图案: 露水草叶 炸的食物,10,30,70302,0,0,8,0,0,8,0,0
55,图案: 鬼刺烤的的食物,10,31,70103,0,0,8,0,0,8,0,0
56,图案: 鬼刺果汁,10,32,70153,0,0,8,0,0,8,0,0
57,图案: 鬼刺 炒的的食物,10,33,70003,0,0,8,0,0,8,0,0
58,图案: 鬼刺 炖的的食物,10,34,70053,0,0,8,0,0,8,0,0
59,"图案: 鬼刺 汤,",10,35,70253,0,0,8,0,0,8,0,0
60,图案: 鬼刺 罐头,10,36,70353,0,0,8,0,0,8,0,0
61,图案: 鬼刺 沙拉,10,37,70203,0,0,8,0,0,8,0,0
62,图案: 鬼刺 炸的食物,10,38,70303,0,0,8,0,0,8,0,0
63,图案: 月中花烤的的食物,10,39,70104,0,0,8,0,0,8,0,0
64,图案: 月中花果汁,10,40,70154,0,0,8,0,0,8,0,0
65,图案: 月中花 炒的的食物,10,41,70004,0,0,8,0,0,8,0,0
66,图案: 月中花 炖的的食物,10,42,70054,0,0,8,0,0,8,0,0
67,图案: 月中花 汤,10,43,70254,0,0,8,0,0,8,0,0
68,图案: 月中花 罐头,10,44,70354,0,0,8,0,0,8,0,0
69,图案: 月中花 沙拉,10,45,70204,0,0,8,0,0,8,0,0
70,图案: 月中花 炸的食物8,10,46,70304,0,0,8,0,0,8,0,0
71,图案: 两段烤的的食物,10,47,70105,0,0,8,0,0,8,0,0
72,图案: 两段果汁,10,48,70155,0,0,8,0,0,8,0,0
73,图案: 两段 炒的的食物,10,49,70005,0,0,8,0,0,8,0,0
74,图案: 两段 炖的的食物,10,50,70055,0,0,8,0,0,8,0,0
75,图案: 两段 沙拉,10,51,70205,0,0,8,0,0,8,0,0
76,图案: 两段 ,10,52,70255,0,0,8,0,0,8,0,0
77,图案: 两段 罐头,10,53,70355,0,0,8,0,0,8,0,0
78,"图案: 两段 炸的食物,",10,54,70305,0,0,8,0,0,8,0,0
79,图案: 五香秒烤的的食物,10,55,70106,0,0,8,0,0,8,0,0
80,图案: 五香秒果汁,10,56,70156,0,0,8,0,0,8,0,0
81,图案: 五香秒 炖的的食物,10,57,70056,0,0,8,0,0,8,0,0
82,新鲜肉,11,0,42400,0,0,8,0,0,8,0,0
83,矿泉水,11,1,42401,0,0,8,0,0,8,0,0
84,辛辣料,11,2,42402,0,0,8,0,0,8,0,0
85,炸用油,11,3,42403,0,0,8,0,0,8,0,0
86,汤 粉,11,4,42404,0,0,8,0,0,8,0,0
87,新鲜蔬菜,11,5,42405,0,0,8,0,0,8,0,0
88,面粉,11,6,42406,0,0,8,0,0,8,0,0
89,图案:恩特的眼泪烤的的食物,11,7,70100,0,0,8,0,0,8,0,0
90,图案:恩特的眼泪果汁,11,8,70150,0,0,8,0,0,8,0,0
91,图案:恩特的眼泪 炒的的食物,11,9,70000,0,0,8,0,0,8,0,0
92,图案:恩特的眼泪 炖的的食物,11,10,70050,0,0,8,0,0,8,0,0
93,图案:恩特的眼泪 汤,11,11,70250,0,0,8,0,0,8,0,0
94,图案:恩特的眼泪 罐头,11,12,70350,0,0,8,0,0,8,0,0
95,图案:恩特的眼泪 沙拉,11,13,70200,0,0,8,0,0,8,0,0
96,图案:恩特的眼泪 炸的食物,11,14,70300,0,0,8,0,0,8,0,0
97,图案: 藤花烤的的食物,11,15,70101,0,0,8,0,0,8,0,0
98,图案: 藤花果汁,11,16,70151,0,0,8,0,0,8,0,0
99,图案: 藤花 炒的的食物,11,17,70001,0,0,8,0,0,8,0,0
100,图案: 藤花 炖的的食物,11,18,70051,0,0,8,0,0,8,0,0
101,图案: 藤花 汤,11,19,70251,0,0,8,0,0,8,0,0
102,图案: 藤花 罐头,11,20,70351,0,0,8,0,0,8,0,0
103,图案: 藤花 沙拉,11,21,70201,0,0,8,0,0,8,0,0
104,图案: 藤花 炸的食物,11,22,70301,0,0,8,0,0,8,0,0
105,图案: 露水草叶烤的的食物,11,23,70102,0,0,8,0,0,8,0,0
106,图案: 露水草叶果汁,11,24,70152,0,0,8,0,0,8,0,0
107,图案: 露水草叶 炒的的食物,11,25,70002,0,0,8,0,0,8,0,0
108,图案: 露水草叶 炖的的食物,11,26,70052,0,0,8,0,0,8,0,0
109,图案: 露水草叶 汤,11,27,70252,0,0,8,0,0,8,0,0
110,图案: 露水草叶 罐头,11,28,70352,0,0,8,0,0,8,0,0
111,图案: 露水草叶 沙拉,11,29,70202,0,0,8,0,0,8,0,0
112,图案: 露水草叶 炸的食物,11,30,70302,0,0,8,0,0,8,0,0
113,新鲜肉,12,0,42400,0,0,8,0,0,8,0,0
114,矿泉水,12,1,42401,0,0,8,0,0,8,0,0
115,辛辣料,12,2,42402,0,0,8,0,0,8,0,0
116,炸用油,12,3,42403,0,0,8,0,0,8,0,0
117,汤 粉,12,4,42404,0,0,8,0,0,8,0,0
118,新鲜蔬菜,12,5,42405,0,0,8,0,0,8,0,0
119,面粉,12,6,42406,0,0,8,0,0,8,0,0
120,图案: 露水草叶烤的的食物,12,7,70102,0,0,8,0,0,8,0,0
121,图案: 露水草叶果汁,12,8,70152,0,0,8,0,0,8,0,0
122,图案: 露水草叶 炒的的食物,12,9,70002,0,0,8,0,0,8,0,0
123,图案: 露水草叶 炖的的食物,12,10,70052,0,0,8,0,0,8,0,0
124,图案: 露水草叶 汤,12,11,70252,0,0,8,0,0,8,0,0
125,图案: 露水草叶 罐头,12,12,70352,0,0,8,0,0,8,0,0
126,图案: 露水草叶 沙拉,12,13,70202,0,0,8,0,0,8,0,0
127,图案: 露水草叶 炸的食物,12,14,70302,0,0,8,0,0,8,0,0
128,图案: 鬼刺烤的的食物,12,15,70103,0,0,8,0,0,8,0,0
129,图案: 鬼刺果汁,12,16,70153,0,0,8,0,0,8,0,0
130,图案: 鬼刺 炒的的食物,12,17,70003,0,0,8,0,0,8,0,0
131,图案: 鬼刺 炖的的食物,12,18,70053,0,0,8,0,0,8,0,0
132,图案: 鬼刺 汤,12,19,70253,0,0,8,0,0,8,0,0
133,图案: 鬼刺 罐头,12,20,70353,0,0,8,0,0,8,0,0
134,图案: 鬼刺 沙拉,12,21,70203,0,0,8,0,0,8,0,0
135,图案: 鬼刺 炸的食物,12,22,70303,0,0,8,0,0,8,0,0
136,图案: 月中花烤的的食物,12,23,70104,0,0,8,0,0,8,0,0
137,图案: 月中花果汁,12,24,70154,0,0,8,0,0,8,0,0
138,玻璃 药瓶,20,0,42800,0,0,8,0,0,8,0,0
139,石英 药瓶,20,1,42801,0,0,8,0,0,8,0,0
140,水晶 药瓶,20,2,42802,0,0,8,0,0,8,0,0
141,纯银 药瓶,20,3,42803,0,0,8,0,0,8,0,0
142,白金 药瓶,20,4,42804,0,0,8,0,0,8,0,0
143,图案: 最低级 甘露持续灵丹,20,5,72101,0,0,8,0,0,8,0,0
144,图案: 最低级 生命持续灵丹,20,6,72001,0,0,8,0,0,8,0,0
145,图案: 最低级 甘露灵药,20,7,72100,0,0,8,0,0,8,0,0
146,图案: 最低级 生命灵药,20,8,72000,0,0,8,0,0,8,0,0
147,图案: 低级 持续灵丹,20,9,72103,0,0,8,0,0,8,0,0
148,图案: 低级 生命持续灵丹,20,10,72003,0,0,8,0,0,8,0,0
149,图案: 低级 甘露灵药,20,11,72102,0,0,8,0,0,8,0,0
150,图案: 低级 生命灵药,20,12,72002,0,0,8,0,0,8,0,0
151,图案: 中级 持续灵丹,20,13,72105,0,0,8,0,0,8,0,0
152,图案: 中级 生命持续灵丹,20,14,72005,0,0,8,0,0,8,0,0
153,图案: 中级 甘露灵药,20,15,72104,0,0,8,0,0,8,0,0
154,图案: 中级 生命灵药,20,16,72004,0,0,8,0,0,8,0,0
155,图案: 中高级 持续灵丹,20,17,72107,0,0,8,0,0,8,0,0
156,图案: 中高级 生命持续灵丹,20,18,72007,0,0,8,0,0,8,0,0
157,图案: 中高级 甘露灵药,20,19,72106,0,0,8,0,0,8,0,0
158,图案: 中高级 生命灵药,20,20,72006,0,0,8,0,0,8,0,0
159,图案: 高级 持续灵丹,20,21,72109,0,0,8,0,0,8,0,0
160,图案: 高级 生命持续灵丹,20,22,72009,0,0,8,0,0,8,0,0
161,图案: 高级 甘露灵药,20,23,72108,0,0,8,0,0,8,0,0
162,图案: 高级 生命灵药,20,24,72008,0,0,8,0,0,8,0,0
163,玻璃 药瓶,21,0,42800,0,0,8,0,0,8,0,0
164,石英 药瓶,21,1,42801,0,0,8,0,0,8,0,0
165,水晶 药瓶,21,2,42802,0,0,8,0,0,8,0,0
166,纯银 药瓶,21,3,42803,0,0,8,0,0,8,0,0
167,白金 药瓶,21,4,42804,0,0,8,0,0,8,0,0
168,图案: 最低级 持续灵丹,21,5,72101,0,0,8,0,0,8,0,0
169,图案: 最低级 生命持续灵丹,21,6,72001,0,0,8,0,0,8,0,0
170,图案: 最低级 甘露灵药,21,7,72100,0,0,8,0,0,8,0,0
171,图案: 最低级 生命灵药,21,8,72000,0,0,8,0,0,8,0,0
172,图案: 低级 持续灵丹,21,9,72103,0,0,8,0,0,8,0,0
173,图案: 低级 生命持续灵丹,21,10,72003,0,0,8,0,0,8,0,0
174,图案: 低级 甘露灵药,21,11,72102,0,0,8,0,0,8,0,0
175,图案: 低级 生命灵药,21,12,72002,0,0,8,0,0,8,0,0
176,图案: 中级 持续灵丹,21,13,72105,0,0,8,0,0,8,0,0
177,图案: 中级 生命持续灵丹,21,14,72005,0,0,8,0,0,8,0,0
178,图案: 中级 甘露灵药,21,15,72104,0,0,8,0,0,8,0,0
179,图案: 中级 生命灵药,21,16,72004,0,0,8,0,0,8,0,0
180,玻璃 药瓶,22,0,42800,0,0,8,0,0,8,0,0
181,石英 药瓶,22,1,42801,0,0,8,0,0,8,0,0
182,水晶 药瓶,22,2,42802,0,0,8,0,0,8,0,0
183,纯银 药瓶,22,3,42803,0,0,8,0,0,8,0,0
184,白金 药瓶,22,4,42804,0,0,8,0,0,8,0,0
185,图案: 中级 持续灵丹,22,5,72105,0,0,8,0,0,8,0,0
186,图案: 中级 生命持续灵丹,22,6,72005,0,0,8,0,0,8,0,0
187,图案: 中级 甘露灵药,22,7,72104,0,0,8,0,0,8,0,0
188,图案: 中级 生命灵药,22,8,72004,0,0,8,0,0,8,0,0
189,图案: 中高级 持续灵丹,22,9,72107,0,0,8,0,0,8,0,0
190,图案: 中高级 生命持续灵丹,22,10,72007,0,0,8,0,0,8,0,0
191,图案: 中高级 甘露灵药,22,11,72106,0,0,8,0,0,8,0,0
192,图案: 中高级 生命灵药,22,12,72006,0,0,8,0,0,8,0,0
193,消泡剂,30,0,42605,0,0,8,0,0,8,0,0
194,图案: 褪色的戒指,30,1,71500,0,0,8,0,0,8,0,0
195,图案:维系的戒指,30,2,71501,0,0,8,0,0,8,0,0
196,图案: 决议戒指,30,3,71502,0,0,8,0,0,8,0,0
197,图案:维系的戒指,30,4,71503,0,0,8,0,0,8,0,0
198,图案: 决议戒指,30,5,71504,0,0,8,0,0,8,0,0
199,图案: 褪色的项链,30,6,71000,0,0,8,0,0,8,0,0
200,图案:信念的项链,30,7,71001,0,0,8,0,0,8,0,0
201,图案:意志的项链,30,8,71002,0,0,8,0,0,8,0,0
202,图案:信念的项链,30,9,71003,0,0,8,0,0,8,0,0
203,图案:意志的项链,30,10,71004,0,0,8,0,0,8,0,0
204,图案: 高级 戒指,30,11,71507,0,0,8,0,0,8,0,0
205,图案: 愤怒的 戒指,30,12,71508,0,0,8,0,0,8,0,0
206,图案: 平稳的 戒指,30,13,71509,0,0,8,0,0,8,0,0
207,图案: 愤怒的 戒指,30,14,71510,0,0,8,0,0,8,0,0
208,图案: 平稳的 戒指,30,15,71511,0,0,8,0,0,8,0,0
209,图案: 愤怒的 戒指,30,16,71512,0,0,8,0,0,8,0,0
210,图案: 平稳的 戒指,30,17,71513,0,0,8,0,0,8,0,0
211,图案: 高级项链,30,18,71007,0,0,8,0,0,8,0,0
212,图案: 斗争的项链,30,19,71008,0,0,8,0,0,8,0,0
213,图案:精神的项链,30,20,71009,0,0,8,0,0,8,0,0
214,图案: 斗争的项链,30,21,71010,0,0,8,0,0,8,0,0
215,图案:精神的项链,30,22,71011,0,0,8,0,0,8,0,0
216,图案: 斗争的项链,30,23,71012,0,0,8,0,0,8,0,0
217,图案:精神的项链,30,24,71013,0,0,8,0,0,8,0,0
218,图案: 精密的 戒指,30,25,71514,0,0,8,0,0,8,0,0
219,图案:震怒的 戒指,30,26,71515,0,0,8,0,0,8,0,0
220,图案:固有的 戒指,30,27,71516,0,0,8,0,0,8,0,0
221,图案:震怒的 戒指,30,28,71517,0,0,8,0,0,8,0,0
222,图案:固有的 戒指,30,29,71518,0,0,8,0,0,8,0,0
223,图案:震怒的 戒指,30,30,71519,0,0,8,0,0,8,0,0
224,图案:固有的 戒指,30,31,71520,0,0,8,0,0,8,0,0
225,图案: 宝石项链,30,32,71014,0,0,8,0,0,8,0,0
226,图案: 不屈的项链,30,33,71015,0,0,8,0,0,8,0,0
227,图案: 忍耐的项链,30,34,71016,0,0,8,0,0,8,0,0
228,图案: 不屈的项链,30,35,71017,0,0,8,0,0,8,0,0
229,图案: 忍耐的项链,30,36,71018,0,0,8,0,0,8,0,0
230,图案: 不屈的项链,30,37,71019,0,0,8,0,0,8,0,0
231,图案: 忍耐的项链,30,38,71020,0,0,8,0,0,8,0,0
232,图案: 宝石 戒指,30,39,71521,0,0,8,0,0,8,0,0
233,图案: 高涨的 戒指,30,40,71522,0,0,8,0,0,8,0,0
234,图案: 忏悔的 戒指,30,41,71523,0,0,8,0,0,8,0,0
235,图案: 高涨的 戒指,30,42,71524,0,0,8,0,0,8,0,0
236,图案: 忏悔的 戒指,30,43,71525,0,0,8,0,0,8,0,0
237,图案: 高涨的 戒指,30,44,71526,0,0,8,0,0,8,0,0
238,图案: 忏悔的 戒指,30,45,71527,0,0,8,0,0,8,0,0
239,图案: 徽章项链,30,46,71021,0,0,8,0,0,8,0,0
240,图案: 用猛的项链,30,47,71022,0,0,8,0,0,8,0,0
241,图案: 黎明的项链,30,48,71023,0,0,8,0,0,8,0,0
242,图案: 用猛的项链,30,49,71024,0,0,8,0,0,8,0,0
243,图案: 黎明的项链,30,50,71025,0,0,8,0,0,8,0,0
244,图案: 用猛的项链,30,51,71026,0,0,8,0,0,8,0,0
245,图案: 黎明的项链,30,52,71027,0,0,8,0,0,8,0,0
246,图案: 徽章 戒指,30,53,71528,0,0,8,0,0,8,0,0
247,图案: 勇气的 戒指,30,54,71529,0,0,8,0,0,8,0,0
248,图案:新鲜的 戒指,30,55,71530,0,0,8,0,0,8,0,0
249,图案: 勇气的 戒指,30,56,71531,0,0,8,0,0,8,0,0
250,图案:新鲜的 戒指,30,57,71532,0,0,8,0,0,8,0,0
251,图案: 勇气的 戒指,30,58,71533,0,0,8,0,0,8,0,0
252,图案:新鲜的 戒指,30,59,71534,0,0,8,0,0,8,0,0
253,图案: 勇气的 戒指,30,60,71535,0,0,8,0,0,8,0,0
254,图案:新鲜的 戒指,30,61,71536,0,0,8,0,0,8,0,0
255,图案: 陈旧的 老师的 戒指,30,62,71537,0,0,8,0,0,8,0,0
256,图案: 普通的 老师的 戒指,30,63,71538,0,0,8,0,0,8,0,0
257,图案: 普通的 老师的 戒指,30,64,71539,0,0,8,0,0,8,0,0
258,图案: 高级的 老师的 戒指,30,65,71540,0,0,8,0,0,8,0,0
259,图案: 高级的 老师的 戒指,30,66,71541,0,0,8,0,0,8,0,0
260,图案: 稀贵的 老师的 戒指,30,67,71542,0,0,8,0,0,8,0,0
261,图案: 稀贵的 老师的 戒指,30,68,71543,0,0,8,0,0,8,0,0
262,图案: 特别的 老师的 戒指,30,69,71544,0,0,8,0,0,8,0,0
263,图案: 特别的 老师的 戒指,30,70,71545,0,0,8,0,0,8,0,0
264,图案: 陈旧的 恶棍的项链,30,71,71028,0,0,8,0,0,8,0,0
265,图案: 普通的 探索的项链,30,72,71029,0,0,8,0,0,8,0,0
266,图案: 普通的 恩典的项链,30,73,71030,0,0,8,0,0,8,0,0
267,图案: 高级的 探索的项链,30,74,71031,0,0,8,0,0,8,0,0
268,图案: 高级的 恩典的项链,30,75,71032,0,0,8,0,0,8,0,0
269,图案: 稀贵的 探索的项链,30,76,71033,0,0,8,0,0,8,0,0
270,图案: 稀贵的 恩典的项链,30,77,71034,0,0,8,0,0,8,0,0
271,图案: 特别的 探索的项链,30,78,71035,0,0,8,0,0,8,0,0
272,图案: 特别的 恩典的项链,30,79,71036,0,0,8,0,0,8,0,0
273,图案: 陈旧的 恶棍的 戒指,30,80,71537,0,0,8,0,0,8,0,0
274,图案: 普通的 探索的 戒指,30,81,71538,0,0,8,0,0,8,0,0
275,图案: 普通的 恩典的 戒指,30,82,71539,0,0,8,0,0,8,0,0
276,图案: 高级的 探索的 戒指,30,83,71540,0,0,8,0,0,8,0,0
277,图案: 高级的 恩典的 戒指,30,84,71541,0,0,8,0,0,8,0,0
278,图案: 稀贵的 探索的 戒指,30,85,71542,0,0,8,0,0,8,0,0
279,图案: 稀贵的 恩典的 戒指,30,86,71543,0,0,8,0,0,8,0,0
280,图案: 特别的 探索的 戒指,30,87,71544,0,0,8,0,0,8,0,0
281,图案: 特别的 恩典的 戒指,30,88,71545,0,0,8,0,0,8,0,0
282,图案: 陈旧的 骑士大将项链,30,89,71037,0,0,8,0,0,8,0,0
283,图案: 普通的 出血的项链,30,90,71038,0,0,8,0,0,8,0,0
284,图案: 普通的 决斗的项链,30,91,71039,0,0,8,0,0,8,0,0
285,图案: 高级的 出血的项链,30,92,71040,0,0,8,0,0,8,0,0
286,图案: 高级的 决斗的项链,30,93,71041,0,0,8,0,0,8,0,0
287,图案: 稀贵的 出血的项链,30,94,71042,0,0,8,0,0,8,0,0
288,图案: 稀贵的 决斗的项链,30,95,71043,0,0,8,0,0,8,0,0
289,图案: 特别的 出血的项链,30,96,71044,0,0,8,0,0,8,0,0
290,图案: 特别的 决斗的项链,30,97,71045,0,0,8,0,0,8,0,0
291,图案: 陈旧的 骑士大将 戒指,30,98,71546,0,0,8,0,0,8,0,0
292,图案: 普通的 出血的 戒指,30,99,71547,0,0,8,0,0,8,0,0
293,图案: 普通的 决斗的 戒指,30,100,71548,0,0,8,0,0,8,0,0
294,图案: 高级的 出血的 戒指,30,101,71549,0,0,8,0,0,8,0,0
295,图案: 高级的 决斗的 戒指,30,102,71550,0,0,8,0,0,8,0,0
296,图案: 稀贵的 出血的 戒指,30,103,71551,0,0,8,0,0,8,0,0
297,图案: 稀贵的 决斗的 戒指,30,104,71552,0,0,8,0,0,8,0,0
298,图案: 特别的 出血的 戒指,30,105,71553,0,0,8,0,0,8,0,0
299,图案: 特别的 决斗的 戒指,30,106,71554,0,0,8,0,0,8,0,0
300,消泡剂,31,0,42605,0,0,8,0,0,8,0,0
301,图案: 褪色的戒指,31,1,71500,0,0,8,0,0,8,0,0
302,图案:维系的戒指,31,2,71501,0,0,8,0,0,8,0,0
303,图案: 决议戒指,31,3,71502,0,0,8,0,0,8,0,0
304,图案:维系的戒指,31,4,71503,0,0,8,0,0,8,0,0
305,图案: 决议戒指,31,5,71504,0,0,8,0,0,8,0,0
306,图案: 褪色的项链,31,6,71000,0,0,8,0,0,8,0,0
307,图案:信念的项链,31,7,71001,0,0,8,0,0,8,0,0
308,图案:意志的项链,31,8,71002,0,0,8,0,0,8,0,0
309,图案:信念的项链,31,9,71003,0,0,8,0,0,8,0,0
310,图案:意志的项链,31,10,71004,0,0,8,0,0,8,0,0
311,图案: 高级 戒指,31,11,71507,0,0,8,0,0,8,0,0
312,图案: 愤怒的 戒指,31,12,71508,0,0,8,0,0,8,0,0
313,图案: 平稳的 戒指,31,13,71509,0,0,8,0,0,8,0,0
314,图案: 愤怒的 戒指,31,14,71510,0,0,8,0,0,8,0,0
315,图案: 平稳的 戒指,31,15,71511,0,0,8,0,0,8,0,0
316,图案: 愤怒的 戒指,31,16,71512,0,0,8,0,0,8,0,0
317,图案: 平稳的 戒指,31,17,71513,0,0,8,0,0,8,0,0
318,图案: 高级项链,31,18,71007,0,0,8,0,0,8,0,0
319,图案: 斗争的项链,31,19,71008,0,0,8,0,0,8,0,0
320,图案:精神的项链,31,20,71009,0,0,8,0,0,8,0,0
321,图案: 斗争的项链,31,21,71010,0,0,8,0,0,8,0,0
322,图案:精神的项链,31,22,71011,0,0,8,0,0,8,0,0
323,图案: 斗争的项链,31,23,71012,0,0,8,0,0,8,0,0
324,图案:精神的项链,31,24,71013,0,0,8,0,0,8,0,0
325,图案: 精密的 戒指,31,25,71514,0,0,8,0,0,8,0,0
326,图案:震怒的 戒指,31,26,71515,0,0,8,0,0,8,0,0
327,图案:固有的 戒指,31,27,71516,0,0,8,0,0,8,0,0
328,图案:震怒的 戒指,31,28,71517,0,0,8,0,0,8,0,0
329,图案:固有的 戒指,31,29,71518,0,0,8,0,0,8,0,0
330,图案:震怒的 戒指,31,30,71519,0,0,8,0,0,8,0,0
331,图案:固有的 戒指,31,31,71520,0,0,8,0,0,8,0,0
332,消泡剂,32,0,42605,0,0,8,0,0,8,0,0
333,图案: 宝石项链,32,1,71014,0,0,8,0,0,8,0,0
334,图案: 不屈的项链,32,2,71015,0,0,8,0,0,8,0,0
335,图案: 忍耐的项链,32,3,71016,0,0,8,0,0,8,0,0
336,图案: 不屈的项链,32,4,71017,0,0,8,0,0,8,0,0
337,图案: 忍耐的项链,32,5,71018,0,0,8,0,0,8,0,0
338,图案: 不屈的项链,32,6,71019,0,0,8,0,0,8,0,0
339,图案: 忍耐的项链,32,7,71020,0,0,8,0,0,8,0,0
340,图案: 宝石 戒指,32,8,71521,0,0,8,0,0,8,0,0
341,图案: 高涨的 戒指,32,9,71522,0,0,8,0,0,8,0,0
342,图案: 忏悔的 戒指,32,10,71523,0,0,8,0,0,8,0,0
343,图案: 高涨的 戒指,32,11,71524,0,0,8,0,0,8,0,0
344,图案: 忏悔的 戒指,32,12,71525,0,0,8,0,0,8,0,0
345,图案: 高涨的 戒指,32,13,71526,0,0,8,0,0,8,0,0
346,图案: 忏悔的 戒指,32,14,71527,0,0,8,0,0,8,0,0
347,图案: 徽章项链,32,15,71021,0,0,8,0,0,8,0,0
348,图案: 用猛的项链,32,16,71022,0,0,8,0,0,8,0,0
349,图案: 黎明的项链,32,17,71023,0,0,8,0,0,8,0,0
350,图案: 用猛的项链,32,18,71024,0,0,8,0,0,8,0,0
351,图案: 黎明的项链,32,19,71025,0,0,8,0,0,8,0,0
352,图案: 用猛的项链,32,20,71026,0,0,8,0,0,8,0,0
353,图案: 黎明的项链,32,21,71027,0,0,8,0,0,8,0,0
354,图案: 徽章 戒指,32,22,71528,0,0,8,0,0,8,0,0
355,图案: 勇气的 戒指,32,23,71529,0,0,8,0,0,8,0,0
356,图案:新鲜的 戒指,32,24,71530,0,0,8,0,0,8,0,0
357,图案: 勇气的 戒指,32,25,71531,0,0,8,0,0,8,0,0
358,图案:新鲜的 戒指,32,26,71532,0,0,8,0,0,8,0,0
