TID,Race,Level,Exp,TotalExp,AcquisitionStatPoint,ResetStatPoint,HP,MP,HPRBuff,MPRBuff,DP,BP,AP
39,1,39,43076880,249425132,2,76,1900,1330,0,0,0,0,0
40,1,40,56131452,305556584,2,78,1950,1365,0,0,0,0,0
41,1,41,58556960,364113544,2,80,2000,1400,0,0,0,0,0
42,1,42,67699100,431812644,2,82,2050,1435,0,0,0,0,0
43,1,43,77879690,509692334,2,84,2100,1470,0,0,0,0,0
44,1,44,89181400,598873734,2,86,2150,1505,0,0,0,0,0
45,1,45,127840240,726713974,2,88,2200,1540,0,0,0,0,0
46,1,46,143740658,870454632,2,90,2250,1575,0,0,0,0,0
47,1,47,146862240,1017316872,2,92,2300,1610,0,0,0,0,0
48,1,48,161025360,1178342232,2,94,2350,1645,0,0,0,0,0
49,1,49,176258880,1354601112,2,96,2400,1680,0,0,0,0,0
50,1,50,216700110,1571301222,2,98,2450,1715,0,0,0,0,0
51,1,51,227373555,1798674777,2,100,2500,1750,0,0,0,0,0
52,1,52,233076480,2031751257,2,102,2550,1785,0,0,0,0,0
53,1,53,253489520,2285240777,2,104,2600,1820,0,0,0,0,0
54,1,54,275306480,2560547257,2,106,2650,1855,0,0,0,0,0
55,1,55,298598400,2859145657,2,108,2700,1890,0,0,0,0,0
56,1,56,367745520,3226891177,2,110,2750,1925,0,0,0,0,0
57,1,57,392459520,3619350697,2,112,2800,1960,0,0,0,0,0
58,1,58,418398640,4037749337,2,114,2850,1995,0,0,0,0,0
59,1,59,445602880,4483352217,2,116,2900,2030,0,0,0,0,0
60,1,60,474112640,4957464857,2,118,2950,2065,0,0,0,0,0
61,1,61,629961200,5587426057,2,120,3000,2100,0,0,0,0,0
62,1,62,669017200,6256443257,2,122,3050,2135,0,0,0,0,0
63,1,63,709861700,6966304957,2,124,3100,2170,0,0,0,0,0
64,1,64,752548400,7718853357,2,126,3150,2205,0,0,0,0,0
65,1,65,797132000,8515985357,2,128,3200,2240,0,0,0,0,0
66,1,66,843667800,9359653157,2,130,3250,2275,0,0,0,0,0
67,1,67,892212000,10251865157,2,132,3300,2310,0,0,0,0,0
68,1,68,942821600,11194686757,2,134,3350,2345,0,0,0,0,0
69,1,69,995554300,12190241057,2,136,3400,2380,0,0,0,0,0
70,1,70,1050468800,13240709857,2,138,3450,2415,0,0,0,0,0
71,1,71,1107624200,14348334057,2,140,3500,2450,0,0,0,0,0
72,1,72,1167081000,15515415057,2,142,3550,2485,0,0,0,0,0
73,1,73,1228899900,16744314957,2,144,3600,2520,0,0,0,0,0
74,1,74,1293142700,18037457657,2,146,3650,2555,0,0,0,0,0
75,1,75,1359872000,19397329657,2,148,3700,2590,0,0,0,0,0
76,1,76,1429151100,20826480757,2,150,3750,2625,0,0,0,0,0
77,1,77,1501044200,22327524957,2,152,3800,2660,0,0,0,0,0
78,1,78,1575616300,23903141257,2,154,3850,2695,0,0,0,0,0
79,1,79,1652932900,25556074157,2,156,3900,2730,0,0,0,0,0
80,1,80,1733060800,27289134957,2,158,3950,2765,0,0,0,0,0
81,1,81,1816067100,29105202057,2,160,4000,2800,0,0,0,0,0
82,1,82,1902020100,31007222157,2,162,4050,2835,0,0,0,0,0
83,1,83,1990988600,32998210757,2,164,4100,2870,0,0,0,0,0
84,1,84,2083042400,35081253157,2,166,4150,2905,0,0,0,0,0
85,1,85,2178252000,37259505157,2,168,4200,2940,0,0,0,0,0
86,1,86,2276688700,39536193857,2,170,4250,2975,0,0,0,0,0
87,1,87,2378424600,41914618457,2,172,4300,3010,0,0,0,0,0
88,1,88,2483532700,44398151157,2,174,4350,3045,0,0,0,0,0
89,1,89,2592086500,46990237657,2,176,4400,3080,0,0,0,0,0
90,1,90,2704160800,49694398457,2,178,4450,3115,0,0,0,0,0
91,1,91,2819830600,52514229057,2,180,4500,3150,0,0,0,0,0
92,1,92,2939172100,55453401157,2,182,4550,3185,0,0,0,0,0
93,1,93,3062262300,58515663457,2,184,4600,3220,0,0,0,0,0
94,1,94,3189178800,61704842257,2,186,4650,3255,0,0,0,0,0
95,1,95,3320000000,65024842257,2,188,4700,3290,0,0,0,0,0
96,1,96,3454805300,68479647557,2,190,4750,3325,0,0,0,0,0
97,1,97,3593674800,72073322357,2,192,4800,3360,0,0,0,0,0
98,1,98,3736689200,75810011557,2,194,4850,3395,0,0,0,0,0
99,1,99,3883930400,79693941957,2,196,4900,3430,0,0,0,0,0
100,1,100,4035480800,83729422757,2,198,4950,3465,0,0,0,0,0
257,2,1,7200,7200,0,0,0,0,0,0,0,0,0
258,2,2,11200,18400,2,2,50,35,0,0,0,0,0
259,2,3,16600,35000,2,4,100,70,0,0,0,0,0
260,2,4,23300,58300,2,6,150,105,0,0,0,0,0
261,2,5,31600,89900,2,8,200,140,0,0,0,0,0
262,2,6,41600,131500,2,10,250,175,0,0,0,0,0
263,2,7,53500,185000,2,12,300,210,0,0,0,0,0
264,2,8,67400,252400,2,14,350,245,0,0,0,0,0
265,2,9,108000,360400,2,16,400,280,0,0,0,0,0
266,2,10,158100,518500,2,18,450,315,0,0,0,0,0
267,2,11,223900,742400,2,20,500,350,0,0,0,0,0
268,2,12,308500,1050900,2,22,550,385,0,0,0,0,0
269,2,13,414900,1465800,2,24,600,420,0,0,0,0,0
270,2,14,546800,2012600,2,26,650,455,0,0,0,0,0
271,2,15,707800,2720400,2,28,700,490,0,0,0,0,0
272,2,16,902000,3622400,2,30,750,525,0,0,0,0,0
273,2,17,1133700,4756100,2,32,800,560,0,0,0,0,0
274,2,18,1407500,6163600,2,34,850,595,0,0,0,0,0
275,2,19,1728000,7891600,2,36,900,630,0,0,0,0,0
276,2,20,2100400,9992000,2,38,950,665,0,0,0,0,0
277,2,21,2530000,12522000,2,40,1000,700,0,0,0,0,0
278,2,22,3022300,15544300,2,42,1050,735,0,0,0,0,0
279,2,23,3583200,19127500,2,44,1100,770,0,0,0,0,0
280,2,24,4218800,23346300,2,46,1150,805,0,0,0,0,0
281,2,25,4935300,28281600,2,48,1200,840,0,0,0,0,0
282,2,26,5739600,34021200,2,50,1250,875,0,0,0,0,0
283,2,27,6638300,40659500,2,52,1300,910,0,0,0,0,0
284,2,28,7638600,48298100,2,54,1350,945,0,0,0,0,0
285,2,29,8748000,57046100,2,56,1400,980,0,0,0,0,0
286,2,30,9974000,67020100,2,58,1450,1015,0,0,0,0,0
287,2,31,10246320,77266420,2,60,1500,1050,0,0,0,0,0
288,2,32,10534420,87800840,2,62,1550,1085,0,0,0,0,0
289,2,33,11334904,99135744,2,64,1600,1120,0,0,0,0,0
290,2,34,12010368,111146112,2,66,1650,1155,0,0,0,0,0
291,2,35,15268700,126414812,2,68,1700,1190,0,0,0,0,0
292,2,36,22118400,148533212,2,70,1750,1225,0,0,0,0,0
293,2,37,26449140,174982352,2,72,1800,1260,0,0,0,0,0
294,2,38,31365900,206348252,2,74,1850,1295,0,0,0,0,0
295,2,39,43076880,249425132,2,76,1900,1330,0,0,0,0,0
296,2,40,56131452,305556584,2,78,1950,1365,0,0,0,0,0
297,2,41,58556960,364113544,2,80,2000,1400,0,0,0,0,0
298,2,42,67699100,431812644,2,82,2050,1435,0,0,0,0,0
299,2,43,77879690,509692334,2,84,2100,1470,0,0,0,0,0
300,2,44,89181400,598873734,2,86,2150,1505,0,0,0,0,0
301,2,45,127840240,726713974,2,88,2200,1540,0,0,0,0,0
302,2,46,143740658,870454632,2,90,2250,1575,0,0,0,0,0
303,2,47,146862240,1017316872,2,92,2300,1610,0,0,0,0,0
304,2,48,161025360,1178342232,2,94,2350,1645,0,0,0,0,0
305,2,49,176258880,1354601112,2,96,2400,1680,0,0,0,0,0
306,2,50,216700110,1571301222,2,98,2450,1715,0,0,0,0,0
307,2,51,227373555,1798674777,2,100,2500,1750,0,0,0,0,0
308,2,52,233076480,2031751257,2,102,2550,1785,0,0,0,0,0
309,2,53,253489520,2285240777,2,104,2600,1820,0,0,0,0,0
310,2,54,275306480,2560547257,2,106,2650,1855,0,0,0,0,0
311,2,55,298598400,2859145657,2,108,2700,1890,0,0,0,0,0
312,2,56,367745520,3226891177,2,110,2750,1925,0,0,0,0,0
313,2,57,392459520,3619350697,2,112,2800,1960,0,0,0,0,0
314,2,58,418398640,4037749337,2,114,2850,1995,0,0,0,0,0
315,2,59,445602880,4483352217,2,116,2900,2030,0,0,0,0,0
316,2,60,474112640,4957464857,2,118,2950,2065,0,0,0,0,0
317,2,61,629961200,5587426057,2,120,3000,2100,0,0,0,0,0
318,2,62,669017200,6256443257,2,122,3050,2135,0,0,0,0,0
319,2,63,709861700,6966304957,2,124,3100,2170,0,0,0,0,0
320,2,64,752548400,7718853357,2,126,3150,2205,0,0,0,0,0
321,2,65,797132000,8515985357,2,128,3200,2240,0,0,0,0,0
322,2,66,843667800,9359653157,2,130,3250,2275,0,0,0,0,0
323,2,67,892212000,10251865157,2,132,3300,2310,0,0,0,0,0
324,2,68,942821600,11194686757,2,134,3350,2345,0,0,0,0,0
325,2,69,995554300,12190241057,2,136,3400,2380,0,0,0,0,0
326,2,70,1050468800,13240709857,2,138,3450,2415,0,0,0,0,0
327,2,71,1107624200,14348334057,2,140,3500,2450,0,0,0,0,0
328,2,72,1167081000,15515415057,2,142,3550,2485,0,0,0,0,0
329,2,73,1228899900,16744314957,2,144,3600,2520,0,0,0,0,0
330,2,74,1293142700,18037457657,2,146,3650,2555,0,0,0,0,0
331,2,75,1359872000,19397329657,2,148,3700,2590,0,0,0,0,0
332,2,76,1429151100,20826480757,2,150,3750,2625,0,0,0,0,0
333,2,77,1501044200,22327524957,2,152,3800,2660,0,0,0,0,0
334,2,78,1575616300,23903141257,2,154,3850,2695,0,0,0,0,0
335,2,79,1652932900,25556074157,2,156,3900,2730,0,0,0,0,0
336,2,80,1733060800,27289134957,2,158,3950,2765,0,0,0,0,0
337,2,81,1816067100,29105202057,2,160,4000,2800,0,0,0,0,0
338,2,82,1902020100,31007222157,2,162,4050,2835,0,0,0,0,0
339,2,83,1990988600,32998210757,2,164,4100,2870,0,0,0,0,0
340,2,84,2083042400,35081253157,2,166,4150,2905,0,0,0,0,0
341,2,85,2178252000,37259505157,2,168,4200,2940,0,0,0,0,0
342,2,86,2276688700,39536193857,2,170,4250,2975,0,0,0,0,0
343,2,87,2378424600,41914618457,2,172,4300,3010,0,0,0,0,0
344,2,88,2483532700,44398151157,2,174,4350,3045,0,0,0,0,0
345,2,89,2592086500,46990237657,2,176,4400,3080,0,0,0,0,0
346,2,90,2704160800,49694398457,2,178,4450,3115,0,0,0,0,0
347,2,91,2819830600,52514229057,2,180,4500,3150,0,0,0,0,0
348,2,92,2939172100,55453401157,2,182,4550,3185,0,0,0,0,0
349,2,93,3062262300,58515663457,2,184,4600,3220,0,0,0,0,0
350,2,94,3189178800,61704842257,2,186,4650,3255,0,0,0,0,0
351,2,95,3320000000,65024842257,2,188,4700,3290,0,0,0,0,0
352,2,96,3454805300,68479647557,2,190,4750,3325,0,0,0,0,0
353,2,97,3593674800,72073322357,2,192,4800,3360,0,0,0,0,0
354,2,98,3736689200,75810011557,2,194,4850,3395,0,0,0,0,0
355,2,99,3883930400,79693941957,2,196,4900,3430,0,0,0,0,0
356,2,100,4035480800,83729422757,2,198,4950,3465,0,0,0,0,0
513,3,1,7200,7200,0,0,0,0,0,0,0,0,0
514,3,2,11200,18400,2,2,50,35,0,0,0,0,0
515,3,3,16600,35000,2,4,100,70,0,0,0,0,0
516,3,4,23300,58300,2,6,150,105,0,0,0,0,0
517,3,5,31600,89900,2,8,200,140,0,0,0,0,0
518,3,6,41600,131500,2,10,250,175,0,0,0,0,0
519,3,7,53500,185000,2,12,300,210,0,0,0,0,0
520,3,8,67400,252400,2,14,350,245,0,0,0,0,0
521,3,9,108000,360400,2,16,400,280,0,0,0,0,0
522,3,10,158100,518500,2,18,450,315,0,0,0,0,0
523,3,11,223900,742400,2,20,500,350,0,0,0,0,0
524,3,12,308500,1050900,2,22,550,385,0,0,0,0,0
525,3,13,414900,1465800,2,24,600,420,0,0,0,0,0
526,3,14,546800,2012600,2,26,650,455,0,0,0,0,0
527,3,15,707800,2720400,2,28,700,490,0,0,0,0,0
528,3,16,902000,3622400,2,30,750,525,0,0,0,0,0
529,3,17,1133700,4756100,2,32,800,560,0,0,0,0,0
530,3,18,1407500,6163600,2,34,850,595,0,0,0,0,0
531,3,19,1728000,7891600,2,36,900,630,0,0,0,0,0
532,3,20,2100400,9992000,2,38,950,665,0,0,0,0,0
533,3,21,2530000,12522000,2,40,1000,700,0,0,0,0,0
534,3,22,3022300,15544300,2,42,1050,735,0,0,0,0,0
535,3,23,3583200,19127500,2,44,1100,770,0,0,0,0,0
536,3,24,4218800,23346300,2,46,1150,805,0,0,0,0,0
537,3,25,4935300,28281600,2,48,1200,840,0,0,0,0,0
538,3,26,5739600,34021200,2,50,1250,875,0,0,0,0,0
539,3,27,6638300,40659500,2,52,1300,910,0,0,0,0,0
540,3,28,7638600,48298100,2,54,1350,945,0,0,0,0,0
541,3,29,8748000,57046100,2,56,1400,980,0,0,0,0,0
542,3,30,9974000,67020100,2,58,1450,1015,0,0,0,0,0
543,3,31,10246320,77266420,2,60,1500,1050,0,0,0,0,0
544,3,32,10534420,87800840,2,62,1550,1085,0,0,0,0,0
545,3,33,11334904,99135744,2,64,1600,1120,0,0,0,0,0
546,3,34,12010368,111146112,2,66,1650,1155,0,0,0,0,0
547,3,35,15268700,126414812,2,68,1700,1190,0,0,0,0,0
548,3,36,22118400,148533212,2,70,1750,1225,0,0,0,0,0
549,3,37,26449140,174982352,2,72,1800,1260,0,0,0,0,0
550,3,38,31365900,206348252,2,74,1850,1295,0,0,0,0,0
551,3,39,43076880,249425132,2,76,1900,1330,0,0,0,0,0
552,3,40,56131452,305556584,2,78,1950,1365,0,0,0,0,0
553,3,41,58556960,364113544,2,80,2000,1400,0,0,0,0,0
554,3,42,67699100,431812644,2,82,2050,1435,0,0,0,0,0
555,3,43,77879690,509692334,2,84,2100,1470,0,0,0,0,0
556,3,44,89181400,598873734,2,86,2150,1505,0,0,0,0,0
557,3,45,127840240,726713974,2,88,2200,1540,0,0,0,0,0
558,3,46,143740658,870454632,2,90,2250,1575,0,0,0,0,0
559,3,47,146862240,1017316872,2,92,2300,1610,0,0,0,0,0
560,3,48,161025360,1178342232,2,94,2350,1645,0,0,0,0,0
561,3,49,176258880,1354601112,2,96,2400,1680,0,0,0,0,0
562,3,50,216700110,1571301222,2,98,2450,1715,0,0,0,0,0
563,3,51,227373555,1798674777,2,100,2500,1750,0,0,0,0,0
564,3,52,233076480,2031751257,2,102,2550,1785,0,0,0,0,0
565,3,53,253489520,2285240777,2,104,2600,1820,0,0,0,0,0
566,3,54,275306480,2560547257,2,106,2650,1855,0,0,0,0,0
567,3,55,298598400,2859145657,2,108,2700,1890,0,0,0,0,0
568,3,56,367745520,3226891177,2,110,2750,1925,0,0,0,0,0
569,3,57,392459520,3619350697,2,112,2800,1960,0,0,0,0,0
570,3,58,418398640,4037749337,2,114,2850,1995,0,0,0,0,0
571,3,59,445602880,4483352217,2,116,2900,2030,0,0,0,0,0
572,3,60,474112640,4957464857,2,118,2950,2065,0,0,0,0,0
573,3,61,629961200,5587426057,2,120,3000,2100,0,0,0,0,0
574,3,62,669017200,6256443257,2,122,3050,2135,0,0,0,0,0
575,3,63,709861700,6966304957,2,124,3100,2170,0,0,0,0,0
576,3,64,752548400,7718853357,2,126,3150,2205,0,0,0,0,0
577,3,65,797132000,8515985357,2,128,3200,2240,0,0,0,0,0
578,3,66,843667800,9359653157,2,130,3250,2275,0,0,0,0,0
579,3,67,892212000,10251865157,2,132,3300,2310,0,0,0,0,0
580,3,68,942821600,11194686757,2,134,3350,2345,0,0,0,0,0
581,3,69,995554300,12190241057,2,136,3400,2380,0,0,0,0,0
582,3,70,1050468800,13240709857,2,138,3450,2415,0,0,0,0,0
583,3,71,1107624200,14348334057,2,140,3500,2450,0,0,0,0,0
584,3,72,1167081000,15515415057,2,142,3550,2485,0,0,0,0,0
585,3,73,1228899900,16744314957,2,144,3600,2520,0,0,0,0,0
586,3,74,1293142700,18037457657,2,146,3650,2555,0,0,0,0,0
587,3,75,1359872000,19397329657,2,148,3700,2590,0,0,0,0,0
588,3,76,1429151100,20826480757,2,150,3750,2625,0,0,0,0,0
589,3,77,1501044200,22327524957,2,152,3800,2660,0,0,0,0,0
590,3,78,1575616300,23903141257,2,154,3850,2695,0,0,0,0,0
591,3,79,1652932900,25556074157,2,156,3900,2730,0,0,0,0,0
592,3,80,1733060800,27289134957,2,158,3950,2765,0,0,0,0,0
593,3,81,1816067100,29105202057,2,160,4000,2800,0,0,0,0,0
594,3,82,1902020100,31007222157,2,162,4050,2835,0,0,0,0,0
595,3,83,1990988600,32998210757,2,164,4100,2870,0,0,0,0,0
596,3,84,2083042400,35081253157,2,166,4150,2905,0,0,0,0,0
597,3,85,2178252000,37259505157,2,168,4200,2940,0,0,0,0,0
598,3,86,2276688700,39536193857,2,170,4250,2975,0,0,0,0,0
599,3,87,2378424600,41914618457,2,172,4300,3010,0,0,0,0,0
600,3,88,2483532700,44398151157,2,174,4350,3045,0,0,0,0,0
601,3,89,2592086500,46990237657,2,176,4400,3080,0,0,0,0,0
602,3,90,2704160800,49694398457,2,178,4450,3115,0,0,0,0,0
603,3,91,2819830600,52514229057,2,180,4500,3150,0,0,0,0,0
604,3,92,2939172100,55453401157,2,182,4550,3185,0,0,0,0,0
605,3,93,3062262300,58515663457,2,184,4600,3220,0,0,0,0,0
606,3,94,3189178800,61704842257,2,186,4650,3255,0,0,0,0,0
607,3,95,3320000000,65024842257,2,188,4700,3290,0,0,0,0,0
608,3,96,3454805300,68479647557,2,190,4750,3325,0,0,0,0,0
609,3,97,3593674800,72073322357,2,192,4800,3360,0,0,0,0,0
610,3,98,3736689200,75810011557,2,194,4850,3395,0,0,0,0,0
611,3,99,3883930400,79693941957,2,196,4900,3430,0,0,0,0,0
612,3,100,4035480800,83729422757,2,198,4950,3465,0,0,0,0,0
769,4,1,7200,7200,0,0,0,0,0,0,0,0,0
770,4,2,11200,18400,2,2,50,35,0,0,0,0,0
771,4,3,16600,35000,2,4,100,70,0,0,0,0,0
772,4,4,23300,58300,2,6,150,105,0,0,0,0,0
773,4,5,31600,89900,2,8,200,140,0,0,0,0,0
774,4,6,41600,131500,2,10,250,175,0,0,0,0,0
775,4,7,53500,185000,2,12,300,210,0,0,0,0,0
776,4,8,67400,252400,2,14,350,245,0,0,0,0,0
777,4,9,108000,360400,2,16,400,280,0,0,0,0,0
778,4,10,158100,518500,2,18,450,315,0,0,0,0,0
779,4,11,223900,742400,2,20,500,350,0,0,0,0,0
780,4,12,308500,1050900,2,22,550,385,0,0,0,0,0
781,4,13,414900,1465800,2,24,600,420,0,0,0,0,0
782,4,14,546800,2012600,2,26,650,455,0,0,0,0,0
783,4,15,707800,2720400,2,28,700,490,0,0,0,0,0
784,4,16,902000,3622400,2,30,750,525,0,0,0,0,0
785,4,17,1133700,4756100,2,32,800,560,0,0,0,0,0
786,4,18,1407500,6163600,2,34,850,595,0,0,0,0,0
787,4,19,1728000,7891600,2,36,900,630,0,0,0,0,0
788,4,20,2100400,9992000,2,38,950,665,0,0,0,0,0
789,4,21,2530000,12522000,2,40,1000,700,0,0,0,0,0
790,4,22,3022300,15544300,2,42,1050,735,0,0,0,0,0
791,4,23,3583200,19127500,2,44,1100,770,0,0,0,0,0
792,4,24,4218800,23346300,2,46,1150,805,0,0,0,0,0
793,4,25,4935300,28281600,2,48,1200,840,0,0,0,0,0
794,4,26,5739600,34021200,2,50,1250,875,0,0,0,0,0
795,4,27,6638300,40659500,2,52,1300,910,0,0,0,0,0
796,4,28,7638600,48298100,2,54,1350,945,0,0,0,0,0
797,4,29,8748000,57046100,2,56,1400,980,0,0,0,0,0
798,4,30,9974000,67020100,2,58,1450,1015,0,0,0,0,0
799,4,31,10246320,77266420,2,60,1500,1050,0,0,0,0,0
800,4,32,10534420,87800840,2,62,1550,1085,0,0,0,0,0
801,4,33,11334904,99135744,2,64,1600,1120,0,0,0,0,0
802,4,34,12010368,111146112,2,66,1650,1155,0,0,0,0,0
803,4,35,15268700,126414812,2,68,1700,1190,0,0,0,0,0
804,4,36,22118400,148533212,2,70,1750,1225,0,0,0,0,0
805,4,37,26449140,174982352,2,72,1800,1260,0,0,0,0,0
806,4,38,31365900,206348252,2,74,1850,1295,0,0,0,0,0
807,4,39,43076880,249425132,2,76,1900,1330,0,0,0,0,0
808,4,40,56131452,305556584,2,78,1950,1365,0,0,0,0,0
809,4,41,58556960,364113544,2,80,2000,1400,0,0,0,0,0
810,4,42,67699100,431812644,2,82,2050,1435,0,0,0,0,0
811,4,43,77879690,509692334,2,84,2100,1470,0,0,0,0,0
812,4,44,89181400,598873734,2,86,2150,1505,0,0,0,0,0
813,4,45,127840240,726713974,2,88,2200,1540,0,0,0,0,0
814,4,46,143740658,870454632,2,90,2250,1575,0,0,0,0,0
815,4,47,146862240,1017316872,2,92,2300,1610,0,0,0,0,0
816,4,48,161025360,1178342232,2,94,2350,1645,0,0,0,0,0
817,4,49,176258880,1354601112,2,96,2400,1680,0,0,0,0,0
818,4,50,216700110,1571301222,2,98,2450,1715,0,0,0,0,0
819,4,51,227373555,1798674777,2,100,2500,1750,0,0,0,0,0
820,4,52,233076480,2031751257,2,102,2550,1785,0,0,0,0,0
821,4,53,253489520,2285240777,2,104,2600,1820,0,0,0,0,0
822,4,54,275306480,2560547257,2,106,2650,1855,0,0,0,0,0
823,4,55,298598400,2859145657,2,108,2700,1890,0,0,0,0,0
824,4,56,367745520,3226891177,2,110,2750,1925,0,0,0,0,0
825,4,57,392459520,3619350697,2,112,2800,1960,0,0,0,0,0
826,4,58,418398640,4037749337,2,114,2850,1995,0,0,0,0,0
827,4,59,445602880,4483352217,2,116,2900,2030,0,0,0,0,0
828,4,60,474112640,4957464857,2,118,2950,2065,0,0,0,0,0
829,4,61,629961200,5587426057,2,120,3000,2100,0,0,0,0,0
830,4,62,669017200,6256443257,2,122,3050,2135,0,0,0,0,0
831,4,63,709861700,6966304957,2,124,3100,2170,0,0,0,0,0
832,4,64,752548400,7718853357,2,126,3150,2205,0,0,0,0,0
833,4,65,797132000,8515985357,2,128,3200,2240,0,0,0,0,0
834,4,66,843667800,9359653157,2,130,3250,2275,0,0,0,0,0
835,4,67,892212000,10251865157,2,132,3300,2310,0,0,0,0,0
836,4,68,942821600,11194686757,2,134,3350,2345,0,0,0,0,0
837,4,69,995554300,12190241057,2,136,3400,2380,0,0,0,0,0
838,4,70,1050468800,13240709857,2,138,3450,2415,0,0,0,0,0
839,4,71,1107624200,14348334057,2,140,3500,2450,0,0,0,0,0
840,4,72,1167081000,15515415057,2,142,3550,2485,0,0,0,0,0
841,4,73,1228899900,16744314957,2,144,3600,2520,0,0,0,0,0
842,4,74,1293142700,18037457657,2,146,3650,2555,0,0,0,0,0
843,4,75,1359872000,19397329657,2,148,3700,2590,0,0,0,0,0
844,4,76,1429151100,20826480757,2,150,3750,2625,0,0,0,0,0
845,4,77,1501044200,22327524957,2,152,3800,2660,0,0,0,0,0
846,4,78,1575616300,23903141257,2,154,3850,2695,0,0,0,0,0
847,4,79,1652932900,25556074157,2,156,3900,2730,0,0,0,0,0
848,4,80,1733060800,27289134957,2,158,3950,2765,0,0,0,0,0
849,4,81,1816067100,29105202057,2,160,4000,2800,0,0,0,0,0
850,4,82,1902020100,31007222157,2,162,4050,2835,0,0,0,0,0
851,4,83,1990988600,32998210757,2,164,4100,2870,0,0,0,0,0
852,4,84,2083042400,35081253157,2,166,4150,2905,0,0,0,0,0
853,4,85,2178252000,37259505157,2,168,4200,2940,0,0,0,0,0
854,4,86,2276688700,39536193857,2,170,4250,2975,0,0,0,0,0
855,4,87,2378424600,41914618457,2,172,4300,3010,0,0,0,0,0
856,4,88,2483532700,44398151157,2,174,4350,3045,0,0,0,0,0
857,4,89,2592086500,46990237657,2,176,4400,3080,0,0,0,0,0
858,4,90,2704160800,49694398457,2,178,4450,3115,0,0,0,0,0
859,4,91,2819830600,52514229057,2,180,4500,3150,0,0,0,0,0
860,4,92,2939172100,55453401157,2,182,4550,3185,0,0,0,0,0
861,4,93,3062262300,58515663457,2,184,4600,3220,0,0,0,0,0
862,4,94,3189178800,61704842257,2,186,4650,3255,0,0,0,0,0
863,4,95,3320000000,65024842257,2,188,4700,3290,0,0,0,0,0
864,4,96,3454805300,68479647557,2,190,4750,3325,0,0,0,0,0
865,4,97,3593674800,72073322357,2,192,4800,3360,0,0,0,0,0
866,4,98,3736689200,75810011557,2,194,4850,3395,0,0,0,0,0
867,4,99,3883930400,79693941957,2,196,4900,3430,0,0,0,0,0
868,4,100,4035480800,83729422757,2,198,4950,3465,0,0,0,0,0
