TID,Kind,Lv,Exp,TotalExp,MainSp,ResetMainSp,SubSp,ResetSubSp,Comment,Ghelld,HPRBuff,MPRBuff,POPMin,POPMax,MOPMin,MOPMax,IGN_AT,AP,CP,BP,AS,STR,CON,WIS,MEN,AGI
26,1,26,5739600,34021200,2,50,1,25,矛26,0,0,0,58,65,0,0,0,0,0,8,0,0,0,0,0,0
27,1,27,6638300,40659500,2,52,1,26,矛27,0,0,0,60,67,0,0,0,0,0,9,0,0,0,0,0,0
28,1,28,7638600,48298100,2,54,1,27,矛28,0,0,0,63,70,0,0,0,0,0,9,0,0,0,0,0,0
29,1,29,8748000,57046100,2,56,1,28,矛29,0,0,0,64,72,0,0,0,0,0,9,0,0,0,0,0,0
30,1,30,9974000,67020100,2,58,1,29,矛30,0,0,0,67,75,0,0,0,0,0,10,0,0,0,0,0,0
31,1,31,10246320,77266420,2,60,1,30,矛31,0,0,0,69,77,0,0,0,0,0,10,0,0,0,0,0,0
32,1,32,10534420,87800840,2,62,1,31,矛32,0,0,0,72,80,0,0,0,0,0,10,0,0,0,0,0,0
33,1,33,11334904,99135744,2,64,1,32,矛33,0,0,0,73,82,0,0,0,0,0,11,0,0,0,0,0,0
34,1,34,12010368,111146112,2,66,1,33,矛34,0,0,0,76,85,0,0,0,0,0,11,0,0,0,0,0,0
35,1,35,15268700,126414812,2,68,1,34,矛35,0,0,0,78,87,0,0,0,0,0,11,0,0,0,0,0,0
36,1,36,22118400,148533212,2,70,1,35,矛36,0,0,0,81,90,0,0,0,0,0,12,0,0,0,0,0,0
37,1,37,26449140,174982352,2,72,1,36,矛37,0,0,0,82,92,0,0,0,0,0,12,0,0,0,0,0,0
38,1,38,31365900,206348252,2,74,1,37,矛38,0,0,0,85,95,0,0,0,0,0,12,0,0,0,0,0,0
39,1,39,43076880,249425132,2,76,1,38,矛39,0,0,0,87,97,0,0,0,0,0,13,0,0,0,0,0,0
40,1,40,56131452,305556584,2,78,1,39,矛40,0,0,0,90,100,0,0,0,0,0,13,0,0,0,0,0,0
41,1,41,58556960,364113544,2,80,1,40,矛41,0,0,0,91,102,0,0,0,0,0,13,0,0,0,0,0,0
42,1,42,67699100,431812644,2,82,1,41,矛42,0,0,0,94,105,0,0,0,0,0,14,0,0,0,0,0,0
43,1,43,77879690,509692334,2,84,1,42,矛43,0,0,0,96,107,0,0,0,0,0,14,0,0,0,0,0,0
44,1,44,89181400,598873734,2,86,1,43,矛44,0,0,0,99,110,0,0,0,0,0,14,0,0,0,0,0,0
45,1,45,127840240,726713974,2,88,1,44,矛45,0,0,0,100,112,0,0,0,0,0,15,0,0,0,0,0,0
46,1,46,143740658,870454632,2,90,1,45,矛46,0,0,0,103,115,0,0,0,0,0,15,0,0,0,0,0,0
47,1,47,146862240,1017316872,2,92,1,46,矛47,0,0,0,105,117,0,0,0,0,0,15,0,0,0,0,0,0
48,1,48,161025360,1178342232,2,94,1,47,矛48,0,0,0,108,120,0,0,0,0,0,16,0,0,0,0,0,0
49,1,49,176258880,1354601112,2,96,1,48,矛49,0,0,0,109,122,0,0,0,0,0,16,0,0,0,0,0,0
50,1,50,216700110,1571301222,2,98,1,49,矛50,0,0,0,112,125,0,0,0,0,0,16,0,0,0,0,0,0
51,1,51,227373555,1798674777,2,100,1,50,矛51,0,0,0,114,127,0,0,0,0,0,17,0,0,0,0,0,0
52,1,52,233076480,2031751257,2,102,1,51,矛52,0,0,0,117,130,0,0,0,0,0,17,0,0,0,0,0,0
53,1,53,253489520,2285240777,2,104,1,52,矛53,0,0,0,118,132,0,0,0,0,0,17,0,0,0,0,0,0
54,1,54,275306480,2560547257,2,106,1,53,矛54,0,0,0,121,135,0,0,0,0,0,18,0,0,0,0,0,0
55,1,55,298598400,2859145657,2,108,1,54,矛55,0,0,0,123,137,0,0,0,0,0,18,0,0,0,0,0,0
56,1,56,367745520,3226891177,2,110,1,55,矛56,0,0,0,126,140,0,0,0,0,0,18,0,0,0,0,0,0
57,1,57,392459520,3619350697,2,112,1,56,矛57,0,0,0,127,142,0,0,0,0,0,19,0,0,0,0,0,0
58,1,58,418398640,4037749337,2,114,1,57,矛58,0,0,0,130,145,0,0,0,0,0,19,0,0,0,0,0,0
59,1,59,445602880,4483352217,2,116,1,58,矛59,0,0,0,132,147,0,0,0,0,0,19,0,0,0,0,0,0
60,1,60,474112640,4957464857,2,118,1,59,矛60,0,0,0,135,150,0,0,0,0,0,20,0,0,0,0,0,0
61,1,61,629961200,5587426057,2,120,1,60,矛61,0,0,0,136,152,0,0,0,0,0,20,0,0,0,0,0,0
62,1,62,669017200,6256443257,2,122,1,61,矛62,0,0,0,139,155,0,0,0,0,0,20,0,0,0,0,0,0
63,1,63,709861700,6966304957,2,124,1,62,矛63,0,0,0,141,157,0,0,0,0,0,21,0,0,0,0,0,0
64,1,64,752548400,7718853357,2,126,1,63,矛64,0,0,0,144,160,0,0,0,0,0,21,0,0,0,0,0,0
65,1,65,797132000,8515985357,2,128,1,64,矛65,0,0,0,145,162,0,0,0,0,0,21,0,0,0,0,0,0
66,1,66,843667800,9359653157,2,130,1,65,矛66,0,0,0,148,165,0,0,0,0,0,22,0,0,0,0,0,0
67,1,67,892212000,10251865157,2,132,1,66,矛67,0,0,0,150,167,0,0,0,0,0,22,0,0,0,0,0,0
68,1,68,942821600,11194686757,2,134,1,67,矛68,0,0,0,153,170,0,0,0,0,0,22,0,0,0,0,0,0
69,1,69,995554300,12190241057,2,136,1,68,矛69,0,0,0,154,172,0,0,0,0,0,23,0,0,0,0,0,0
70,1,70,1050468800,13240709857,2,138,1,69,矛70,0,0,0,157,175,0,0,0,0,0,23,0,0,0,0,0,0
71,1,71,1107624200,14348334057,2,140,1,70,矛71,0,0,0,159,177,0,0,0,0,0,23,0,0,0,0,0,0
72,1,72,1167081000,15515415057,2,142,1,71,矛72,0,0,0,162,180,0,0,0,0,0,24,0,0,0,0,0,0
73,1,73,1228899900,16744314957,2,144,1,72,矛73,0,0,0,163,182,0,0,0,0,0,24,0,0,0,0,0,0
74,1,74,1293142700,18037457657,2,146,1,73,矛74,0,0,0,166,185,0,0,0,0,0,24,0,0,0,0,0,0
75,1,75,1359872000,19397329657,2,148,1,74,矛75,0,0,0,168,187,0,0,0,0,0,25,0,0,0,0,0,0
76,1,76,1429151100,20826480757,2,150,1,75,矛76,0,0,0,171,190,0,0,0,0,0,25,0,0,0,0,0,0
77,1,77,1501044200,22327524957,2,152,1,76,矛77,0,0,0,172,192,0,0,0,0,0,25,0,0,0,0,0,0
78,1,78,1575616300,23903141257,2,154,1,77,矛78,0,0,0,175,195,0,0,0,0,0,26,0,0,0,0,0,0
79,1,79,1652932900,25556074157,2,156,1,78,矛79,0,0,0,177,197,0,0,0,0,0,26,0,0,0,0,0,0
80,1,80,1733060800,27289134957,2,158,1,79,矛80,0,0,0,180,200,0,0,0,0,0,27,0,0,0,0,0,0
81,1,81,1816067100,29105202057,2,160,1,80,矛81,0,0,0,181,202,0,0,0,0,0,27,0,0,0,0,0,0
82,1,82,1902020100,31007222157,2,162,1,81,矛82,0,0,0,184,205,0,0,0,0,0,27,0,0,0,0,0,0
83,1,83,1990988600,32998210757,2,164,1,82,矛83,0,0,0,186,207,0,0,0,0,0,28,0,0,0,0,0,0
84,1,84,2083042400,35081253157,2,166,1,83,矛84,0,0,0,189,210,0,0,0,0,0,28,0,0,0,0,0,0
85,1,85,2178252000,37259505157,2,168,1,84,矛85,0,0,0,190,212,0,0,0,0,0,28,0,0,0,0,0,0
86,1,86,2276688700,39536193857,2,170,1,85,矛86,0,0,0,193,215,0,0,0,0,0,29,0,0,0,0,0,0
87,1,87,2378424600,41914618457,2,172,1,86,矛87,0,0,0,195,217,0,0,0,0,0,29,0,0,0,0,0,0
88,1,88,2483532700,44398151157,2,174,1,87,矛88,0,0,0,198,220,0,0,0,0,0,29,0,0,0,0,0,0
89,1,89,2592086500,46990237657,2,176,1,88,矛89,0,0,0,199,222,0,0,0,0,0,30,0,0,0,0,0,0
90,1,90,2704160800,49694398457,2,178,1,89,矛90,0,0,0,202,225,0,0,0,0,0,30,0,0,0,0,0,0
91,1,91,2819830600,52514229057,2,180,1,90,矛91,0,0,0,204,227,0,0,0,0,0,30,0,0,0,0,0,0
92,1,92,2939172100,55453401157,2,182,1,91,矛92,0,0,0,207,230,0,0,0,0,0,31,0,0,0,0,0,0
93,1,93,3062262300,58515663457,2,184,1,92,矛93,0,0,0,208,232,0,0,0,0,0,31,0,0,0,0,0,0
94,1,94,3189178800,61704842257,2,186,1,93,矛94,0,0,0,211,235,0,0,0,0,0,31,0,0,0,0,0,0
95,1,95,3320000000,65024842257,2,188,1,94,矛95,0,0,0,213,237,0,0,0,0,0,32,0,0,0,0,0,0
96,1,96,3454805300,68479647557,2,190,1,95,矛96,0,0,0,216,240,0,0,0,0,0,32,0,0,0,0,0,0
97,1,97,3593674800,72073322357,2,192,1,96,矛97,0,0,0,217,242,0,0,0,0,0,32,0,0,0,0,0,0
98,1,98,3736689200,75810011557,2,194,1,97,矛98,0,0,0,220,245,0,0,0,0,0,33,0,0,0,0,0,0
99,1,99,3883930400,79693941957,2,196,1,98,矛99,0,0,0,222,247,0,0,0,0,0,33,0,0,0,0,0,0
100,1,100,4035480800,83729422757,2,198,1,99,矛100,0,0,0,225,250,0,0,0,0,0,33,0,0,0,0,0,0
257,2,1,7200,7200,0,0,0,0,盾1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
258,2,2,11200,18400,2,2,1,1,盾2,0,0,0,0,0,4,5,0,1,0,0,0,0,0,0,0,0
259,2,3,16600,35000,2,4,1,2,盾3,0,0,0,0,0,7,8,0,1,0,0,0,0,0,0,0,0
260,2,4,23300,58300,2,6,1,3,盾4,0,0,0,0,0,9,11,0,2,0,0,0,0,0,0,0,0
261,2,5,31600,89900,2,8,1,4,盾5,0,0,0,0,0,11,13,0,2,0,0,0,0,0,0,0,0
262,2,6,41600,131500,2,10,1,5,盾6,0,0,0,0,0,14,16,0,3,0,0,0,0,0,0,0,0
263,2,7,53500,185000,2,12,1,6,盾7,0,0,0,0,0,17,19,0,4,0,0,0,0,0,0,0,0
264,2,8,67400,252400,2,14,1,7,盾8,0,0,0,0,0,19,22,0,4,0,0,0,0,0,0,0,0
265,2,9,108000,360400,2,16,1,8,盾9,0,0,0,0,0,21,24,0,5,0,0,0,0,0,0,0,0
266,2,10,158100,518500,2,18,1,9,盾10,0,0,0,0,0,24,27,0,5,0,0,0,0,0,0,0,0
267,2,11,223900,742400,2,20,1,10,盾11,0,0,0,0,0,27,30,0,6,0,0,0,0,0,0,0,0
268,2,12,308500,1050900,2,22,1,11,盾12,0,0,0,0,0,29,33,0,6,0,0,0,0,0,0,0,0
269,2,13,414900,1465800,2,24,1,12,盾13,0,0,0,0,0,31,35,0,7,0,0,0,0,0,0,0,0
270,2,14,546800,2012600,2,26,1,13,盾14,0,0,0,0,0,34,38,0,8,0,0,0,0,0,0,0,0
271,2,15,707800,2720400,2,28,1,14,盾15,0,0,0,0,0,36,41,0,8,0,0,0,0,0,0,0,0
272,2,16,902000,3622400,2,30,1,15,盾16,0,0,0,0,0,39,44,0,9,0,0,0,0,0,0,0,0
273,2,17,1133700,4756100,2,32,1,16,盾17,0,0,0,0,0,41,46,0,9,0,0,0,0,0,0,0,0
274,2,18,1407500,6163600,2,34,1,17,盾18,0,0,0,0,0,44,49,0,10,0,0,0,0,0,0,0,0
275,2,19,1728000,7891600,2,36,1,18,盾19,0,0,0,0,0,46,52,0,10,0,0,0,0,0,0,0,0
276,2,20,2100400,9992000,2,38,1,19,盾20,0,0,0,0,0,49,55,0,11,0,0,0,0,0,0,0,0
277,2,21,2530000,12522000,2,40,1,20,盾21,0,0,0,0,0,51,57,0,12,0,0,0,0,0,0,0,0
278,2,22,3022300,15544300,2,42,1,21,盾22,0,0,0,0,0,54,60,0,12,0,0,0,0,0,0,0,0
279,2,23,3583200,19127500,2,44,1,22,盾23,0,0,0,0,0,56,63,0,13,0,0,0,0,0,0,0,0
280,2,24,4218800,23346300,2,46,1,23,盾24,0,0,0,0,0,59,66,0,13,0,0,0,0,0,0,0,0
281,2,25,4935300,28281600,2,48,1,24,盾25,0,0,0,0,0,61,68,0,14,0,0,0,0,0,0,0,0
282,2,26,5739600,34021200,2,50,1,25,盾26,0,0,0,0,0,63,71,0,14,0,0,0,0,0,0,0,0
283,2,27,6638300,40659500,2,52,1,26,盾27,0,0,0,0,0,66,74,0,15,0,0,0,0,0,0,0,0
284,2,28,7638600,48298100,2,54,1,27,盾28,0,0,0,0,0,69,77,0,16,0,0,0,0,0,0,0,0
285,2,29,8748000,57046100,2,56,1,28,盾29,0,0,0,0,0,71,79,0,16,0,0,0,0,0,0,0,0
286,2,30,9974000,67020100,2,58,1,29,盾30,0,0,0,0,0,73,82,0,17,0,0,0,0,0,0,0,0
287,2,31,10246320,77266420,2,60,1,30,盾31,0,0,0,0,0,76,85,0,17,0,0,0,0,0,0,0,0
288,2,32,10534420,87800840,2,62,1,31,盾32,0,0,0,0,0,79,88,0,18,0,0,0,0,0,0,0,0
289,2,33,11334904,99135744,2,64,1,32,盾33,0,0,0,0,0,81,90,0,18,0,0,0,0,0,0,0,0
290,2,34,12010368,111146112,2,66,1,33,盾34,0,0,0,0,0,83,93,0,19,0,0,0,0,0,0,0,0
291,2,35,15268700,126414812,2,68,1,34,盾35,0,0,0,0,0,86,96,0,20,0,0,0,0,0,0,0,0
292,2,36,22118400,148533212,2,70,1,35,盾36,0,0,0,0,0,89,99,0,20,0,0,0,0,0,0,0,0
293,2,37,26449140,174982352,2,72,1,36,盾37,0,0,0,0,0,90,101,0,21,0,0,0,0,0,0,0,0
294,2,38,31365900,206348252,2,74,1,37,盾38,0,0,0,0,0,93,104,0,21,0,0,0,0,0,0,0,0
295,2,39,43076880,249425132,2,76,1,38,盾39,0,0,0,0,0,96,107,0,22,0,0,0,0,0,0,0,0
296,2,40,56131452,305556584,2,78,1,39,盾40,0,0,0,0,0,99,110,0,23,0,0,0,0,0,0,0,0
297,2,41,58556960,364113544,2,80,1,40,盾41,0,0,0,0,0,100,112,0,23,0,0,0,0,0,0,0,0
298,2,42,67699100,431812644,2,82,1,41,盾42,0,0,0,0,0,103,115,0,24,0,0,0,0,0,0,0,0
299,2,43,77879690,509692334,2,84,1,42,盾43,0,0,0,0,0,106,118,0,24,0,0,0,0,0,0,0,0
300,2,44,89181400,598873734,2,86,1,43,盾44,0,0,0,0,0,108,121,0,25,0,0,0,0,0,0,0,0
301,2,45,127840240,726713974,2,88,1,44,盾45,0,0,0,0,0,110,123,0,25,0,0,0,0,0,0,0,0
302,2,46,143740658,870454632,2,90,1,45,盾46,0,0,0,0,0,113,126,0,26,0,0,0,0,0,0,0,0
303,2,47,146862240,1017316872,2,92,1,46,盾47,0,0,0,0,0,116,129,0,27,0,0,0,0,0,0,0,0
304,2,48,161025360,1178342232,2,94,1,47,盾48,0,0,0,0,0,118,132,0,27,0,0,0,0,0,0,0,0
305,2,49,176258880,1354601112,2,96,1,48,盾49,0,0,0,0,0,120,134,0,28,0,0,0,0,0,0,0,0
306,2,50,216700110,1571301222,2,98,1,49,盾50,0,0,0,0,0,123,137,0,28,0,0,0,0,0,0,0,0
307,2,51,227373555,1798674777,2,100,1,50,盾51,0,0,0,0,0,126,140,0,29,0,0,0,0,0,0,0,0
308,2,52,233076480,2031751257,2,102,1,51,盾52,0,0,0,0,0,128,143,0,29,0,0,0,0,0,0,0,0
309,2,53,253489520,2285240777,2,104,1,52,盾53,0,0,0,0,0,130,145,0,30,0,0,0,0,0,0,0,0
310,2,54,275306480,2560547257,2,106,1,53,盾54,0,0,0,0,0,133,148,0,31,0,0,0,0,0,0,0,0
311,2,55,298598400,2859145657,2,108,1,54,盾55,0,0,0,0,0,135,151,0,31,0,0,0,0,0,0,0,0
312,2,56,367745520,3226891177,2,110,1,55,盾56,0,0,0,0,0,138,154,0,32,0,0,0,0,0,0,0,0
313,2,57,392459520,3619350697,2,112,1,56,盾57,0,0,0,0,0,140,156,0,32,0,0,0,0,0,0,0,0
314,2,58,418398640,4037749337,2,114,1,57,盾58,0,0,0,0,0,143,159,0,33,0,0,0,0,0,0,0,0
315,2,59,445602880,4483352217,2,116,1,58,盾59,0,0,0,0,0,145,162,0,33,0,0,0,0,0,0,0,0
316,2,60,474112640,4957464857,2,118,1,59,盾60,0,0,0,0,0,148,165,0,34,0,0,0,0,0,0,0,0
317,2,61,629961200,5587426057,2,120,1,60,盾61,0,0,0,0,0,150,167,0,35,0,0,0,0,0,0,0,0
318,2,62,669017200,6256443257,2,122,1,61,盾62,0,0,0,0,0,153,170,0,35,0,0,0,0,0,0,0,0
319,2,63,709861700,6966304957,2,124,1,62,盾63,0,0,0,0,0,155,173,0,36,0,0,0,0,0,0,0,0
320,2,64,752548400,7718853357,2,126,1,63,盾64,0,0,0,0,0,158,176,0,36,0,0,0,0,0,0,0,0
321,2,65,797132000,8515985357,2,128,1,64,盾65,0,0,0,0,0,160,178,0,37,0,0,0,0,0,0,0,0
322,2,66,843667800,9359653157,2,130,1,65,盾66,0,0,0,0,0,162,181,0,37,0,0,0,0,0,0,0,0
323,2,67,892212000,10251865157,2,132,1,66,盾67,0,0,0,0,0,165,184,0,38,0,0,0,0,0,0,0,0
324,2,68,942821600,11194686757,2,134,1,67,盾68,0,0,0,0,0,168,187,0,39,0,0,0,0,0,0,0,0
325,2,69,995554300,12190241057,2,136,1,68,盾69,0,0,0,0,0,170,189,0,39,0,0,0,0,0,0,0,0
326,2,70,1050468800,13240709857,2,138,1,69,盾70,0,0,0,0,0,172,192,0,40,0,0,0,0,0,0,0,0
327,2,71,1107624200,14348334057,2,140,1,70,盾71,0,0,0,0,0,175,195,0,40,0,0,0,0,0,0,0,0
328,2,72,1167081000,15515415057,2,142,1,71,盾72,0,0,0,0,0,178,198,0,41,0,0,0,0,0,0,0,0
329,2,73,1228899900,16744314957,2,144,1,72,盾73,0,0,0,0,0,180,200,0,41,0,0,0,0,0,0,0,0
330,2,74,1293142700,18037457657,2,146,1,73,盾74,0,0,0,0,0,182,203,0,42,0,0,0,0,0,0,0,0
331,2,75,1359872000,19397329657,2,148,1,74,盾75,0,0,0,0,0,185,206,0,43,0,0,0,0,0,0,0,0
332,2,76,1429151100,20826480757,2,150,1,75,盾76,0,0,0,0,0,188,209,0,43,0,0,0,0,0,0,0,0
333,2,77,1501044200,22327524957,2,152,1,76,盾77,0,0,0,0,0,189,211,0,44,0,0,0,0,0,0,0,0
334,2,78,1575616300,23903141257,2,154,1,77,盾78,0,0,0,0,0,192,214,0,44,0,0,0,0,0,0,0,0
335,2,79,1652932900,25556074157,2,156,1,78,盾79,0,0,0,0,0,195,217,0,45,0,0,0,0,0,0,0,0
336,2,80,1733060800,27289134957,2,158,1,79,盾80,0,0,0,0,0,198,220,0,46,0,0,0,0,0,0,0,0
337,2,81,1816067100,29105202057,2,160,1,80,盾81,0,0,0,0,0,199,222,0,46,0,0,0,0,0,0,0,0
338,2,82,1902020100,31007222157,2,162,1,81,盾82,0,0,0,0,0,202,225,0,47,0,0,0,0,0,0,0,0
339,2,83,1990988600,32998210757,2,164,1,82,盾83,0,0,0,0,0,205,228,0,47,0,0,0,0,0,0,0,0
340,2,84,2083042400,35081253157,2,166,1,83,盾84,0,0,0,0,0,207,231,0,48,0,0,0,0,0,0,0,0
341,2,85,2178252000,37259505157,2,168,1,84,盾85,0,0,0,0,0,209,233,0,48,0,0,0,0,0,0,0,0
342,2,86,2276688700,39536193857,2,170,1,85,盾86,0,0,0,0,0,212,236,0,49,0,0,0,0,0,0,0,0
343,2,87,2378424600,41914618457,2,172,1,86,盾87,0,0,0,0,0,215,239,0,50,0,0,0,0,0,0,0,0
344,2,88,2483532700,44398151157,2,174,1,87,盾88,0,0,0,0,0,217,242,0,50,0,0,0,0,0,0,0,0
345,2,89,2592086500,46990237657,2,176,1,88,盾89,0,0,0,0,0,219,244,0,51,0,0,0,0,0,0,0,0
346,2,90,2704160800,49694398457,2,178,1,89,盾90,0,0,0,0,0,222,247,0,51,0,0,0,0,0,0,0,0
347,2,91,2819830600,52514229057,2,180,1,90,盾91,0,0,0,0,0,225,250,0,52,0,0,0,0,0,0,0,0
348,2,92,2939172100,55453401157,2,182,1,91,盾92,0,0,0,0,0,227,253,0,52,0,0,0,0,0,0,0,0
349,2,93,3062262300,58515663457,2,184,1,92,盾93,0,0,0,0,0,229,255,0,53,0,0,0,0,0,0,0,0
350,2,94,3189178800,61704842257,2,186,1,93,盾94,0,0,0,0,0,232,258,0,54,0,0,0,0,0,0,0,0
351,2,95,3320000000,65024842257,2,188,1,94,盾95,0,0,0,0,0,234,261,0,54,0,0,0,0,0,0,0,0
352,2,96,3454805300,68479647557,2,190,1,95,盾96,0,0,0,0,0,237,264,0,55,0,0,0,0,0,0,0,0
353,2,97,3593674800,72073322357,2,192,1,96,盾97,0,0,0,0,0,239,266,0,55,0,0,0,0,0,0,0,0
354,2,98,3736689200,75810011557,2,194,1,97,盾98,0,0,0,0,0,242,269,0,56,0,0,0,0,0,0,0,0
355,2,99,3883930400,79693941957,2,196,1,98,盾99,0,0,0,0,0,244,272,0,56,0,0,0,0,0,0,0,0
356,2,100,4035480800,83729422757,2,198,1,99,盾100,0,0,0,0,0,247,275,0,57,0,0,0,0,0,0,0,0
513,3,1,7200,7200,0,0,0,0,斧子1,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0
514,3,2,11200,18400,2,2,1,1,斧子2,0,0,0,6,7,0,0,0,1,0,0,0,0,0,0,0,0
515,3,3,16600,35000,2,4,1,2,斧子3,0,0,0,9,10,0,0,0,1,0,0,0,0,0,0,0,0
516,3,4,23300,58300,2,6,1,3,斧子4,0,0,0,12,14,0,0,0,2,0,0,0,0,0,0,0,0
517,3,5,31600,89900,2,8,1,4,斧子5,0,0,0,15,17,0,0,0,2,0,0,0,0,0,0,0,0
518,3,6,41600,131500,2,10,1,5,斧子6,0,0,0,18,21,0,0,0,3,0,0,0,0,0,0,0,0
519,3,7,53500,185000,2,12,1,6,斧子7,0,0,0,21,24,0,0,0,4,0,0,0,0,0,0,0,0
520,3,8,67400,252400,2,14,1,7,斧子8,0,0,0,25,28,0,0,0,4,0,0,0,0,0,0,0,0
521,3,9,108000,360400,2,16,1,8,斧子9,0,0,0,27,31,0,0,0,5,0,0,0,0,0,0,0,0
522,3,10,158100,518500,2,18,1,9,斧子10,0,0,0,31,35,0,0,0,5,0,0,0,0,0,0,0,0
523,3,11,223900,742400,2,20,1,10,斧子11,0,0,0,34,38,0,0,0,6,0,0,0,0,0,0,0,0
524,3,12,308500,1050900,2,22,1,11,斧子12,0,0,0,37,42,0,0,0,6,0,0,0,0,0,0,0,0
525,3,13,414900,1465800,2,24,1,12,斧子13,0,0,0,40,45,0,0,0,7,0,0,0,0,0,0,0,0
526,3,14,546800,2012600,2,26,1,13,斧子14,0,0,0,44,49,0,0,0,8,0,0,0,0,0,0,0,0
527,3,15,707800,2720400,2,28,1,14,斧子15,0,0,0,46,52,0,0,0,8,0,0,0,0,0,0,0,0
528,3,16,902000,3622400,2,30,1,15,斧子16,0,0,0,50,56,0,0,0,9,0,0,0,0,0,0,0,0
529,3,17,1133700,4756100,2,32,1,16,斧子17,0,0,0,53,59,0,0,0,9,0,0,0,0,0,0,0,0
530,3,18,1407500,6163600,2,34,1,17,斧子18,0,0,0,56,63,0,0,0,10,0,0,0,0,0,0,0,0
531,3,19,1728000,7891600,2,36,1,18,斧子19,0,0,0,59,66,0,0,0,10,0,0,0,0,0,0,0,0
532,3,20,2100400,9992000,2,38,1,19,斧子20,0,0,0,63,70,0,0,0,11,0,0,0,0,0,0,0,0
533,3,21,2530000,12522000,2,40,1,20,斧子21,0,0,0,65,73,0,0,0,12,0,0,0,0,0,0,0,0
