TID,Type,TermsTID,Name,EngName,Price,bCreate,Icon,Model,reqPCType,reqItem1,reqItemCount1,reqItem2,reqItemCount2,reqItem3,reqItemCount3
1305,2,,Skincolor6,,15,1,,"126,127,76",7,,,,,,
1306,2,,Skincolor7,,15,1,,"117,80,50",7,,,,,,
1307,2,,Skincolor8,,15,1,,"91,49,21",7,,,,,,
1308,2,,Skincolor9,,15,1,,"91,70,44",7,,,,,,
1309,2,,Skincolor10,,15,1,,"72,63,58",7,,,,,,
1350,2,,Skincolor1 ,,0,1,,"183,158,74",8,,,,,,
1351,2,,Skincolor2,,15,1,,"162,146,80",8,,,,,,
1352,2,,Skincolor3,,15,1,,"153,132,35",8,,,,,,
1353,2,,Skincolor4,,15,1,,"105,88,10",8,,,,,,
1354,2,,Skincolor5,,15,1,,"153,162,103",8,,,,,,
1355,2,,Skincolor6,,15,1,,"126,127,76",8,,,,,,
1356,2,,Skincolor7,,15,1,,"117,80,50",8,,,,,,
1357,2,,Skincolor8,,15,1,,"91,49,21",8,,,,,,
1358,2,,Skincolor9,,15,1,,"91,70,44",8,,,,,,
1359,2,,Skincolor10,,15,1,,"72,63,58",8,,,,,,
2000,3,,Hair0,,10,1,110000,p_h_m_hair_0000_lod.nif,1,,,,,,
2001,3,,Hair1,,10,1,110001,p_h_m_hair_0001_lod.nif,1,,,,,,
2002,3,,Hair2,,10,1,110002,p_h_m_hair_0002_lod.nif,1,,,,,,
2003,3,,Hair3,,10,1,110003,p_h_m_hair_0003_lod.nif,1,,,,,,
2004,3,,Hair4,,10,1,110004,p_h_m_hair_0004_lod.nif,1,,,,,,
2005,3,,Hair5,,10,1,110005,p_h_m_hair_0005_lod.nif,1,,,,,,
2006,3,,Hair6,,10,1,110006,p_h_m_hair_0006_lod.nif,1,,,,,,
2007,3,,Hair7,,10,1,110007,p_h_m_hair_0007_lod.nif,1,,,,,,
2008,3,,Hair8,,10,1,110008,p_h_m_hair_0008_lod.nif,1,,,,,,
2009,3,,Hair9,,10,1,110009,p_h_m_hair_0009_lod.nif,1,,,,,,
2010,3,,Hair10,,10,1,110010,p_h_m_hair_0010_lod.nif,1,,,,,,
2050,3,,Hair0,,10,1,210000,p_h_f_hair_0000_lod.nif,2,,,,,,
2051,3,,Hair1,,10,1,210001,p_h_f_hair_0001_lod.nif,2,,,,,,
2052,3,,Hair2,,10,1,210002,p_h_f_hair_0002_lod.nif,2,,,,,,
2053,3,,Hair3,,10,1,210003,p_h_f_hair_0003_lod.nif,2,,,,,,
2054,3,,Hair4,,10,1,210004,p_h_f_hair_0004_lod.nif,2,,,,,,
2055,3,,Hair5,,10,1,210005,p_h_f_hair_0005_lod.nif,2,,,,,,
2056,3,,Hair6,,10,1,210006,p_h_f_hair_0006_lod.nif,2,,,,,,
2057,3,,Hair7,,10,1,210007,p_h_f_hair_0007_lod.nif,2,,,,,,
2058,3,,Hair8,,10,1,210008,p_h_f_hair_0008_lod.nif,2,,,,,,
2059,3,,Hair9,,10,1,210009,p_h_f_hair_0009_lod.nif,2,,,,,,
2060,3,,Hair10,,10,1,210010,p_h_f_hair_0010_lod.nif,2,,,,,,
2100,3,,Hair0,,10,1,110000,p_m_m_hair_0000_lod.nif,3,,,,,,
2101,3,,Hair1,,10,1,110001,p_m_m_hair_0001_lod.nif,3,,,,,,
2102,3,,Hair2,,10,1,110002,p_m_m_hair_0002_lod.nif,3,,,,,,
2103,3,,Hair3,,10,1,110003,p_m_m_hair_0003_lod.nif,3,,,,,,
2104,3,,Hair4,,10,1,110004,p_m_m_hair_0004_lod.nif,3,,,,,,
2105,3,,Hair5,,10,1,110005,p_m_m_hair_0005_lod.nif,3,,,,,,
2106,3,,Hair6,,10,1,110006,p_m_m_hair_0006_lod.nif,3,,,,,,
2107,3,,Hair7,,10,1,110007,p_m_m_hair_0007_lod.nif,3,,,,,,
2108,3,,Hair8,,10,1,110008,p_m_m_hair_0008_lod.nif,3,,,,,,
2109,3,,Hair9,,10,1,110009,p_m_m_hair_0009_lod.nif,3,,,,,,
2110,3,,Hair10,,10,1,110010,p_m_m_hair_0010_lod.nif,3,,,,,,
2150,3,,Hair0,,10,1,810000,p_m_f_hair_0000_lod.nif,4,,,,,,
2151,3,,Hair1,,10,1,810001,p_m_f_hair_0001_lod.nif,4,,,,,,
2152,3,,Hair2,,10,1,810002,p_m_f_hair_0002_lod.nif,4,,,,,,
2153,3,,Hair3,,10,1,810003,p_m_f_hair_0003_lod.nif,4,,,,,,
2154,3,,Hair4,,10,1,810004,p_m_f_hair_0004_lod.nif,4,,,,,,
2155,3,,Hair5,,10,1,810005,p_m_f_hair_0005_lod.nif,4,,,,,,
2156,3,,Hair6,,10,1,810006,p_m_f_hair_0006_lod.nif,4,,,,,,
2157,3,,Hair7,,10,1,810007,p_m_f_hair_0007_lod.nif,4,,,,,,
2158,3,,Hair8,,10,1,810008,p_m_f_hair_0008_lod.nif,4,,,,,,
2159,3,,Hair9,,10,1,810009,p_m_f_hair_0009_lod.nif,4,,,,,,
2160,3,,Hair10,,10,1,810010,p_m_f_hair_0010_lod.nif,4,,,,,,
2161,3,,Hair11,,10,1,430011,p_m_f_hair_0011_lod.nif,4,,,,,,
2200,3,,Hair0,,10,1,710000,p_d_m_hair_0000_lod.nif,5,,,,,,
2201,3,,Hair1,,10,1,710001,p_d_m_hair_0001_lod.nif,5,,,,,,
2202,3,,Hair2,,10,1,710002,p_d_m_hair_0002_lod.nif,5,,,,,,
2203,3,,Hair3,,10,1,710003,p_d_m_hair_0003_lod.nif,5,,,,,,
2204,3,,Hair4,,10,1,710004,p_d_m_hair_0004_lod.nif,5,,,,,,
2205,3,,Hair5,,10,1,710005,p_d_m_hair_0005_lod.nif,5,,,,,,
2206,3,,Hair6,,10,1,710006,p_d_m_hair_0006_lod.nif,5,,,,,,
2207,3,,Hair7,,10,1,710007,p_d_m_hair_0007_lod.nif,5,,,,,,
2208,3,,Hair8,,10,1,710008,p_d_m_hair_0008_lod.nif,5,,,,,,
2209,3,,Hair9,,10,1,710009,p_d_m_hair_0009_lod.nif,5,,,,,,
2210,3,,Hair10,,10,1,710010,p_d_m_hair_0010_lod.nif,5,,,,,,
2250,3,,Hair0,,10,1,210000,p_d_f_hair_0000_lod.nif,6,,,,,,
2251,3,,Hair1,,10,1,210001,p_d_f_hair_0001_lod.nif,6,,,,,,
2252,3,,Hair2,,10,1,210002,p_d_f_hair_0002_lod.nif,6,,,,,,
2253,3,,Hair3,,10,1,210003,p_d_f_hair_0003_lod.nif,6,,,,,,
2254,3,,Hair4,,10,1,210004,p_d_f_hair_0004_lod.nif,6,,,,,,
2255,3,,Hair5,,10,1,210005,p_d_f_hair_0005_lod.nif,6,,,,,,
2256,3,,Hair6,,10,1,210006,p_d_f_hair_0006_lod.nif,6,,,,,,
2257,3,,Hair7,,10,1,210007,p_d_f_hair_0007_lod.nif,6,,,,,,
2258,3,,Hair8,,10,1,210008,p_d_f_hair_0008_lod.nif,6,,,,,,
2259,3,,Hair9,,10,1,210009,p_d_f_hair_0009_lod.nif,6,,,,,,
2260,3,,Hair10,,10,1,210010,p_d_f_hair_0010_lod.nif,6,,,,,,
2261,3,,Hair11,,10,1,630011,p_d_f_hair_0011_lod.nif,6,,,,,,
2300,3,,Hair0,,10,1,710000,p_o_m_hair_0000_lod.nif,7,,,,,,
2301,3,,Hair1,,10,1,710001,p_o_m_hair_0001_lod.nif,7,,,,,,
2302,3,,Hair2,,10,1,710002,p_o_m_hair_0002_lod.nif,7,,,,,,
2303,3,,Hair3,,10,1,710003,p_o_m_hair_0003_lod.nif,7,,,,,,
2304,3,,Hair4,,10,1,710004,p_o_m_hair_0004_lod.nif,7,,,,,,
2305,3,,Hair5,,10,1,710005,p_o_m_hair_0005_lod.nif,7,,,,,,
2306,3,,Hair6,,10,1,710006,p_o_m_hair_0006_lod.nif,7,,,,,,
2307,3,,Hair7,,10,1,710007,p_o_m_hair_0007_lod.nif,7,,,,,,
2308,3,,Hair8,,10,1,710008,p_o_m_hair_0008_lod.nif,7,,,,,,
2309,3,,Hair9,,10,1,710009,p_o_m_hair_0009_lod.nif,7,,,,,,
2310,3,,Hair10,,10,1,710010,p_o_m_hair_0010_lod.nif,7,,,,,,
2350,3,,Hair0,,10,1,810000,p_o_f_hair_0000_lod.nif,8,,,,,,
2351,3,,Hair1,,10,1,810001,p_o_f_hair_0001_lod.nif,8,,,,,,
2352,3,,Hair2,,10,1,810002,p_o_f_hair_0002_lod.nif,8,,,,,,
2353,3,,Hair3,,10,1,810003,p_o_f_hair_0003_lod.nif,8,,,,,,
2354,3,,Hair4,,10,1,810004,p_o_f_hair_0004_lod.nif,8,,,,,,
2355,3,,Hair5,,10,1,810005,p_o_f_hair_0005_lod.nif,8,,,,,,
2356,3,,Hair6,,10,1,810006,p_o_f_hair_0006_lod.nif,8,,,,,,
2357,3,,Hair7,,10,1,810007,p_o_f_hair_0007_lod.nif,8,,,,,,
2358,3,,Hair8,,10,1,810008,p_o_f_hair_0008_lod.nif,8,,,,,,
2359,3,,Hair9,,10,1,810009,p_o_f_hair_0009_lod.nif,8,,,,,,
2360,3,,Hair10,,10,1,810010,p_o_f_hair_0010_lod.nif,8,,,,,,
3000,4,,HairColor1,,0,1,,"101,33,7",1,,,,,,
3001,4,,HairColor2,,10,1,,"129,66,24",1,,,,,,
3002,4,,HairColor3,,10,1,,"90,67,48",1,,,,,,
3003,4,,HairColor4,,10,1,,"255,181,119",1,,,,,,
3004,4,,HairColor5,,10,1,,"210,140,140",1,,,,,,
3005,4,,HairColor6,,10,1,,"189,0,0",1,,,,,,
3006,4,,HairColor7,,10,1,,"62,0,0",1,,,,,,
3007,4,,HairColor8,,10,1,,"92,46,65",1,,,,,,
3008,4,,HairColor9,,10,1,,"52,33,48",1,,,,,,
3009,4,,HairColor10,,10,1,,"29,34,58",1,,,,,,
3050,4,,HairColor1,,0,1,,"101,33,7",2,,,,,,
3051,4,,HairColor2,,10,1,,"129,66,24",2,,,,,,
3052,4,,HairColor3,,10,1,,"90,67,48",2,,,,,,
3053,4,,HairColor4,,10,1,,"255,181,119",2,,,,,,
3054,4,,HairColor5,,10,1,,"210,140,140",2,,,,,,
3055,4,,HairColor6,,10,1,,"189,0,0",2,,,,,,
3056,4,,HairColor7,,10,1,,"62,0,0",2,,,,,,
3057,4,,HairColor8,,10,1,,"92,46,65",2,,,,,,
3058,4,,HairColor9,,10,1,,"52,33,48",2,,,,,,
3059,4,,HairColor10,,10,1,,"29,34,58",2,,,,,,
3100,4,,HairColor1,,0,1,,"232,239,255",3,,,,,,
3101,4,,HairColor2,,15,1,,"218,181,232",3,,,,,,
3102,4,,HairColor3,,15,1,,"119,118,175",3,,,,,,
3103,4,,HairColor4,,15,1,,"211,155,118",3,,,,,,
3104,4,,HairColor5,,15,1,,"249,225,170",3,,,,,,
3105,4,,HairColor6,,0,1,,"176,203,225",3,,,,,,
3106,4,,HairColor7,,15,1,,"210,214,225",3,,,,,,
3107,4,,HairColor8,,15,1,,"230,207,166",3,,,,,,
3108,4,,HairColor9,,15,1,,"123,202,176",3,,,,,,
3109,4,,HairColor10,,15,1,,"255,193,193",3,,,,,,
3150,4,,HairColor1,,0,1,,"232,239,255",4,,,,,,
3151,4,,HairColor2,,15,1,,"218,181,232",4,,,,,,
3152,4,,HairColor3,,15,1,,"119,118,175",4,,,,,,
3153,4,,HairColor4,,15,1,,"211,155,118",4,,,,,,
3154,4,,HairColor5,,15,1,,"249,225,170",4,,,,,,
3155,4,,HairColor6,,0,1,,"176,203,225",4,,,,,,
3156,4,,HairColor7,,15,1,,"210,214,225",4,,,,,,
3157,4,,HairColor8,,15,1,,"230,207,166",4,,,,,,
3158,4,,HairColor9,,15,1,,"123,202,176",4,,,,,,
3159,4,,HairColor10,,15,1,,"255,193,193",4,,,,,,
3200,4,,HairColor1,,0,1,,"13,27,43",5,,,,,,
3201,4,,HairColor2,,15,1,,"16,72,129",5,,,,,,
3202,4,,HairColor3,,15,1,,"101,16,86",5,,,,,,
3203,4,,HairColor4,,15,1,,"218,237,254",5,,,,,,
3204,4,,HairColor5,,15,1,,"13,5,5",5,,,,,,
3205,4,,HairColor6,,0,1,,"23,60,64",5,,,,,,
3206,4,,HairColor7,,15,1,,"39,37,78",5,,,,,,
3207,4,,HairColor8,,15,1,,"150,91,39",5,,,,,,
3208,4,,HairColor9,,15,1,,"65,160,111",5,,,,,,
3209,4,,HairColor10,,15,1,,"80,1,1",5,,,,,,
3250,4,,HairColor1,,0,1,,"13,27,43",6,,,,,,
3251,4,,HairColor2,,15,1,,"16,72,129",6,,,,,,
3252,4,,HairColor3,,15,1,,"101,16,86",6,,,,,,
3253,4,,HairColor4,,15,1,,"218,237,254",6,,,,,,
3254,4,,HairColor5,,15,1,,"13,5,5",6,,,,,,
3255,4,,HairColor6,,0,1,,"23,60,64",6,,,,,,
3256,4,,HairColor7,,15,1,,"39,37,78",6,,,,,,
3257,4,,HairColor8,,15,1,,"150,91,39",6,,,,,,
3258,4,,HairColor9,,15,1,,"65,160,111",6,,,,,,
3259,4,,HairColor10,,15,1,,"80,1,1",6,,,,,,
3300,4,,HairColor1,,0,1,,"128,64,64",7,,,,,,
3301,4,,HairColor2,,15,1,,"200,0,0",7,,,,,,
3302,4,,HairColor3,,15,1,,"102,0,0",7,,,,,,
3303,4,,HairColor4,,15,1,,"43,0,0",7,,,,,,
3304,4,,HairColor5,,15,1,,"46,55,40",7,,,,,,
3305,4,,HairColor6,,15,1,,"168,167,167",7,,,,,,
3306,4,,HairColor7,,15,1,,"56,55,55",7,,,,,,
3307,4,,HairColor8,,15,1,,"31,30,30",7,,,,,,
3308,4,,HairColor9,,15,1,,"89,108,30",7,,,,,,
3309,4,,HairColor10,,15,1,,"47,74,55",7,,,,,,
3350,4,,HairColor1,,0,1,,"128,64,64",8,,,,,,
3351,4,,HairColor2,,15,1,,"200,0,0",8,,,,,,
3352,4,,HairColor3,,15,1,,"102,0,0",8,,,,,,
3353,4,,HairColor4,,15,1,,"43,0,0",8,,,,,,
3354,4,,HairColor5,,15,1,,"46,55,40",8,,,,,,
3355,4,,HairColor6,,15,1,,"168,167,167",8,,,,,,
3356,4,,HairColor7,,15,1,,"56,55,55",8,,,,,,
3357,4,,HairColor8,,15,1,,"31,30,30",8,,,,,,
3358,4,,HairColor9,,15,1,,"89,108,30",8,,,,,,
3359,4,,HairColor10,,15,1,,"47,74,55",8,,,,,,
10000,5,0,Face0,,20,1,120000,p_h_m_face_0000_lod.nif,1,,,,,,
12000,5,0|0,Face0-0,,20,1,120000,p_h_m_face_0000_lod.nif,1,,,,,,
12001,5,0|1,Face0-1,,20,1,120010,p_h_m_face_0010_lod.nif,1,,,,,,
12002,5,0|2,Face0-2,,20,1,120020,p_h_m_face_0020_lod.nif,1,,,,,,
12003,5,0|3,Face0-3,,20,1,120030,p_h_m_face_0030_lod.nif,1,,,,,,
12004,5,0|4,Face0-4,,20,1,120040,p_h_m_face_0040_lod.nif,1,,,,,,
12005,5,0|5,Face0-5,,20,1,120050,p_h_m_face_0050_lod.nif,1,,,,,,
12006,5,0|6,Face0-6,,20,1,120060,p_h_m_face_0060_lod.nif,1,,,,,,
12007,5,0|7,Face0-7,,20,1,120070,p_h_m_face_0070_lod.nif,1,,,,,,
13000,5,0|0|0,Face0-0-0,,20,1,120000,p_h_m_face_0000_lod.nif,1,,,,,,
13001,5,0|0|1,Face0-0-1,,20,1,120001,p_h_m_face_0001_lod.bif,1,,,,,,
13002,5,0|0|2,Face0-0-2,,20,1,120002,p_h_m_face_0002_lod.bif,1,,,,,,
13003,5,0|0|3,Face0-0-3,,20,1,120003,p_h_m_face_0003_lod.bif,1,,,,,,
13004,5,0|0|4,Face0-0-4,,20,1,120004,p_h_m_face_0004_lod.bif,1,,,,,,
13005,5,0|0|5,Face0-0-5,,20,1,120005,p_h_m_face_0005_lod.bif,1,,,,,,
13006,5,0|0|6,Face0-0-6,,20,1,120006,p_h_m_face_0006_lod.bif,1,,,,,,
13007,5,0|0|7,Face0-0-7,,20,1,120007,p_h_m_face_0007_lod.bif,1,,,,,,
13010,5,0|1|0,Face0-1-0,,20,1,120010,p_h_m_face_0010_lod.nif,1,,,,,,
13011,5,0|1|1,Face0-1-1,,20,1,120011,p_h_m_face_0011_lod.bif,1,,,,,,
13012,5,0|1|2,Face0-1-2,,20,1,120012,p_h_m_face_0012_lod.bif,1,,,,,,
13013,5,0|1|3,Face0-1-3,,20,1,120013,p_h_m_face_0013_lod.bif,1,,,,,,
13014,5,0|1|4,Face0-1-4,,20,1,120014,p_h_m_face_0014_lod.bif,1,,,,,,
13015,5,0|1|5,Face0-1-5,,20,1,120015,p_h_m_face_0015_lod.bif,1,,,,,,
13016,5,0|1|6,Face0-1-6,,20,1,120016,p_h_m_face_0016_lod.bif,1,,,,,,
13017,5,0|1|7,Face0-1-7,,20,1,120017,p_h_m_face_0017_lod.bif,1,,,,,,
13020,5,0|2|0,Face0-2-0,,20,1,120020,p_h_m_face_0020_lod.nif,1,,,,,,
13021,5,0|2|1,Face0-2-1,,20,1,120021,p_h_m_face_0021_lod.bif,1,,,,,,
13022,5,0|2|2,Face0-2-2,,20,1,120022,p_h_m_face_0022_lod.bif,1,,,,,,
13023,5,0|2|3,Face0-2-3,,20,1,120023,p_h_m_face_0023_lod.bif,1,,,,,,
13024,5,0|2|4,Face0-2-4,,20,1,120024,p_h_m_face_0024_lod.bif,1,,,,,,
13025,5,0|2|5,Face0-2-5,,20,1,120025,p_h_m_face_0025_lod.bif,1,,,,,,
13026,5,0|2|6,Face0-2-6,,20,1,120026,p_h_m_face_0026_lod.bif,1,,,,,,
13027,5,0|2|7,Face0-2-7,,20,1,120027,p_h_m_face_0027_lod.bif,1,,,,,,
13030,5,0|3|0,Face0-3-0,,20,1,120030,p_h_m_face_0030_lod.nif,1,,,,,,
13031,5,0|3|1,Face0-3-1,,20,1,120031,p_h_m_face_0031_lod.bif,1,,,,,,
13032,5,0|3|2,Face0-3-2,,20,1,120032,p_h_m_face_0032_lod.bif,1,,,,,,
13033,5,0|3|3,Face0-3-3,,20,1,120033,p_h_m_face_0033_lod.bif,1,,,,,,
13034,5,0|3|4,Face0-3-4,,20,1,120034,p_h_m_face_0034_lod.bif,1,,,,,,
13035,5,0|3|5,Face0-3-5,,20,1,120035,p_h_m_face_0035_lod.bif,1,,,,,,
13036,5,0|3|6,Face0-3-6,,20,1,120036,p_h_m_face_0036_lod.bif,1,,,,,,
13037,5,0|3|7,Face0-3-7,,20,1,120037,p_h_m_face_0037_lod.bif,1,,,,,,
13040,5,0|4|0,Face0-4-0,,20,1,120040,p_h_m_face_0040_lod.nif,1,,,,,,
13041,5,0|4|1,Face0-4-1,,20,1,120041,p_h_m_face_0041_lod.bif,1,,,,,,
13042,5,0|4|2,Face0-4-2,,20,1,120042,p_h_m_face_0042_lod.bif,1,,,,,,
