TID,Comment,Owner,Trigger,Target,Action,ConUnion,ConLevel,ConQuest,Loop,TriggerMessageTarget,TriggerMessage
21,班迪路娜西门入口(场地)斯蒂尔普瑞斯西门入口 西门出口(村子)到达,Area|50550,OnEnter,Actor,JumpArea|50549,0,0,0,0,,
22,班迪路娜西门出口(村子)斯蒂尔普瑞斯西门入口 西门入口(场地)到达,Area|50548,OnEnter,Actor,JumpArea|50551,0,0,0,0,,
23,斯蒂尔普瑞斯龙之复仇者村子(逃脱)斯蒂尔普瑞斯西门入口 到达平静的岛屿,Area|50555,OnEnter,Actor,JumpArea|50556,0,0,0,0,,
24,班迪路娜月精灵村子(逃脱)斯蒂尔普瑞斯西门入口 月光森林村子到达,Area|50557,OnEnter,Actor,JumpArea|50558,0,0,0,0,,
25,高级下层入口斯蒂尔普瑞斯西门入口 高级上层到达(圣物破坏战),Area|50020,OnEnter,Actor,JumpArea|50023,0,0,0,0,,
26,破坏下层入口斯蒂尔普瑞斯西门入口 破坏上层到达(圣物破坏战),Area|50022,OnEnter,Actor,JumpArea|50021,0,0,0,0,,
27,中立地带上层入口斯蒂尔普瑞斯西门入口 下层到达(圣物破坏战),Area|50024,OnEnter,Actor,JumpArea|50025,0,0,0,0,,
28,土之圣物入口斯蒂尔普瑞斯西门入口 中央平原到达(圣物占领战),Area|50026,OnEnter,Actor,JumpArea|50027,0,0,0,0,,
29,破坏星之圣物破坏时 前面的铁窗门开(圣物破坏战),Place|29654,OnDie,Place|29663,ChangeState|2,0,0,0,0,,
30,高级云之圣物 破坏时 前面的铁窗门开(圣物破坏战),Place|29651,OnDie,Place|29662,ChangeState|2,0,0,0,0,,
31,高级文德入口斯蒂尔普瑞斯西门入口 破坏文德到达(大规模精英战),Area|50028,OnEnter,Actor,JumpArea|50029,0,0,0,0,,
32,破坏文德入口斯蒂尔普瑞斯西门入口 高级文德到达(大规模精英战),Area|50030,OnEnter,Actor,JumpArea|50031,0,0,0,0,,
33,圣物破坏战 战开始时门开,Racewar|4,OnStart,Entity|300014,ChangeState|2,0,0,0,0,,
34,阿修罗剑道场(Lv.30~40)开始时门开,Racewar|120,OnStart,Entity|300007,ChangeState|2,0,0,0,0,,
35,阿修罗剑道场(Lv.41~45)开始时门开,Racewar|121,OnStart,Entity|300007,ChangeState|2,0,0,0,0,,
36,阿修罗剑道场(Lv.46~50)开始时门开,Racewar|122,OnStart,Entity|300007,ChangeState|2,0,0,0,0,,
37,阿修罗剑道场(Lv.51~55)开始时门开,Racewar|123,OnStart,Entity|300007,ChangeState|2,0,0,0,0,,
38,叹息的山谷(Lv.30~40)开始时门开,Racewar|110,OnStart,Entity|300012,ChangeState|2,0,0,0,0,,
39,叹息的山谷(Lv.41~45)开始时门开,Racewar|111,OnStart,Entity|300012,ChangeState|2,0,0,0,0,,
40,叹息的山谷(Lv.46~50)开始时门开,Racewar|112,OnStart,Entity|300012,ChangeState|2,0,0,0,0,,
41,叹息的山谷(Lv.51~55)开始时门开,Racewar|113,OnStart,Entity|300012,ChangeState|2,0,0,0,0,,
42,泪光火石般的大地(Lv.30~40)开始时门开,Racewar|100,OnStart,Entity|300011,ChangeState|2,0,0,0,0,2,TRIGGERMSG_RACEWAR_LOL_START
43,泪光火石般的大地(Lv.41~45)开始时门开,Racewar|101,OnStart,Entity|300011,ChangeState|2,0,0,0,0,2,TRIGGERMSG_RACEWAR_LOL_START
44,泪光火石般的大地(Lv.46~50)开始时门开,Racewar|102,OnStart,Entity|300011,ChangeState|2,0,0,0,0,2,TRIGGERMSG_RACEWAR_LOL_START
45,泪光火石般的大地(Lv.51~55)开始时门开,Racewar|103,OnStart,Entity|300011,ChangeState|2,0,0,0,0,2,TRIGGERMSG_RACEWAR_LOL_START
46,泪光火石般的大地(Lv.30~40)开始时1次警戒塔无敌技能解除(高级),Racewar|100,OnTimer|5,Place|33449|33448|33447,DelSkill|231031,0,0,0,0,,
47,泪光火石般的大地(Lv.41~45)开始时1次警戒塔无敌技能解除(高级),Racewar|101,OnTimer|5,Place|30630|30628|30629,DelSkill|231031,0,0,0,0,,
48,泪光火石般的大地(Lv.46~50)开始时1次警戒塔无敌技能解除(高级),Racewar|102,OnTimer|5,Place|41528|41526|41527,DelSkill|231031,0,0,0,0,,
49,泪光火石般的大地(Lv.51~55)开始时1次警戒塔无敌技能解除(高级),Racewar|103,OnTimer|5,Place|41588|41586|41587,DelSkill|231031,0,0,0,0,,
50,泪光火石般的大地(Lv.30~40)开始时1次警戒塔无敌技能解除(破坏),Racewar|100,OnTimer|6,Place|33455|33453|33454,DelSkill|231031,0,0,0,0,,
51,泪光火石般的大地(Lv.41~45)开始时1次警戒塔无敌技能解除(破坏),Racewar|101,OnTimer|6,Place|30636|30634|30635,DelSkill|231031,0,0,0,0,,
52,泪光火石般的大地(Lv.46~50)开始时1次警戒塔无敌技能解除(破坏),Racewar|102,OnTimer|6,Place|41534|41532|41533,DelSkill|231031,0,0,0,0,,
53,泪光火石般的大地(Lv.51~55)开始时1次警戒塔无敌技能解除(破坏),Racewar|103,OnTimer|6,Place|41594|41592|41593,DelSkill|231031,0,0,0,0,,
54,泪光火石般的大地(Lv.30~40) 1次警戒塔 破坏时 2次警戒塔无敌技能解除(高级),Place|33449|33448|33447,OnDie,Place|33460|33479|33459|33461,DelSkill|231031,0,0,0,0,1,TRIGGERMSG_RACEWAR_LOL_DESTROY01
55,泪光火石般的大地(Lv.41~45) 1次警戒塔 破坏时 2次警戒塔无敌技能解除(高级),Place|30630|30628|30629,OnDie,Place|30644|30642|31535|30643,DelSkill|231031,0,0,0,0,1,TRIGGERMSG_RACEWAR_LOL_DESTROY01
56,泪光火石般的大地(Lv.46~50) 1次警戒塔 破坏时 2次警戒塔无敌技能解除(高级),Place|41528|41526|41527,OnDie,Place|41540|41538|41558|41539,DelSkill|231031,0,0,0,0,1,TRIGGERMSG_RACEWAR_LOL_DESTROY01
57,泪光火石般的大地(Lv.51~55) 1次警戒塔 破坏时 2次警戒塔无敌技能解除(高级),Place|41588|41586|41587,OnDie,Place|41600|41598|41599|41618,DelSkill|231031,0,0,0,0,1,TRIGGERMSG_RACEWAR_LOL_DESTROY01
58,泪光火石般的大地(Lv.30~40) 1次警戒塔 破坏时 2次警戒塔无敌技能解除(破坏),Place|33455|33453|33454,OnDie,Place|33464|33480|33463|33462,DelSkill|231031,0,0,0,0,0,TRIGGERMSG_RACEWAR_LOL_DESTROY01
59,泪光火石般的大地(Lv.41~45) 1次警戒塔 破坏时 2次警戒塔无敌技能解除(破坏),Place|30636|30634|30635,OnDie,Place|30647|31536|30646|30645,DelSkill|231031,0,0,0,0,0,TRIGGERMSG_RACEWAR_LOL_DESTROY01
60,泪光火石般的大地(Lv.46~50) 1次警戒塔 破坏时 2次警戒塔无敌技能解除(破坏),Place|41534|41532|41533,OnDie,Place|41543|41559|41542|41541,DelSkill|231031,0,0,0,0,0,TRIGGERMSG_RACEWAR_LOL_DESTROY01
61,泪光火石般的大地(Lv.51~55) 1次警戒塔 破坏时 2次警戒塔无敌技能解除(破坏),Place|41594|41592|41593,OnDie,Place|41603|41619|41602|41601,DelSkill|231031,0,0,0,0,0,TRIGGERMSG_RACEWAR_LOL_DESTROY01
62,泪光火石般的大地(Lv.30~40) 2次警戒塔 破坏时 每分钟无敌技能解除(高级),Place|33460|33479|33459|33461,OnDie,Place|33477,DelSkill|231031,0,0,0,0,1,TRIGGERMSG_RACEWAR_LOL_DESTROY02
63,泪光火石般的大地(Lv.41~45) 2次警戒塔 破坏时 每分钟无敌技能解除(高级),Place|30644|30642|31535|30643,OnDie,Place|31507,DelSkill|231031,0,0,0,0,1,TRIGGERMSG_RACEWAR_LOL_DESTROY02
64,泪光火石般的大地(Lv.46~50) 2次警戒塔 破坏时 每分钟无敌技能解除(高级),Place|41540|41538|41558|41539,OnDie,Place|41556,DelSkill|231031,0,0,0,0,1,TRIGGERMSG_RACEWAR_LOL_DESTROY02
65,泪光火石般的大地(Lv.51~55) 2次警戒塔 破坏时 每分钟无敌技能解除(高级),Place|41600|41598|41599|41618,OnDie,Place|41616,DelSkill|231031,0,0,0,0,1,TRIGGERMSG_RACEWAR_LOL_DESTROY02
66,泪光火石般的大地(Lv.30~40) 2次警戒塔 破坏时 每分钟无敌技能解除(破坏),Place|33464|33480|33463|33462,OnDie,Place|33478,DelSkill|231031,0,0,0,0,0,TRIGGERMSG_RACEWAR_LOL_DESTROY02
67,泪光火石般的大地(Lv.41~45) 2次警戒塔 破坏时 每分钟无敌技能解除(破坏),Place|30647|31536|30646|30645,OnDie,Place|31508,DelSkill|231031,0,0,0,0,0,TRIGGERMSG_RACEWAR_LOL_DESTROY02
68,泪光火石般的大地(Lv.46~50) 2次警戒塔 破坏时 每分钟无敌技能解除(破坏),Place|41543|41559|41542|41541,OnDie,Place|41557,DelSkill|231031,0,0,0,0,0,TRIGGERMSG_RACEWAR_LOL_DESTROY02
69,泪光火石般的大地(Lv.51~55) 2次警戒塔 破坏时 每分钟无敌技能解除(破坏),Place|41603|41619|41602|41601,OnDie,Place|41617,DelSkill|231031,0,0,0,0,0,TRIGGERMSG_RACEWAR_LOL_DESTROY02
70,泪光火石般的大地(Lv.30~40)(高级) 红龙死的时候状况,Place|33891,OnDie,WorldUnion|1,UseSkill|299003,0,0,0,0,,
71,泪光火石般的大地(Lv.30~40)(高级) 恶灵水晶死的时候状况,Place|33893,OnDie,WorldUnion|0,UseSkill|299001,0,0,0,0,,
72,泪光火石般的大地(Lv.30~40)(高级) Top 警戒塔被摧毁时的状况,Place|33449,OnDie,WorldUnion|1,UseSkill|299005,0,0,0,0,,
73,泪光火石般的大地(Lv.30~40)(高级) Middle 警戒塔被摧毁时的状况,Place|33447,OnDie,WorldUnion|1,UseSkill|299006,0,0,0,0,,
74,泪光火石般的大地(Lv.30~40)(高级) Bottom 警戒塔被摧毁时的状况,Place|33448,OnDie,WorldUnion|1,UseSkill|299007,0,0,0,0,,
75,泪光火石般的大地(Lv.30~40)(破坏) 红龙死的时候状况,Place|33892,OnDie,WorldUnion|0,UseSkill|299003,0,0,0,0,,
76,泪光火石般的大地(Lv.30~40)(破坏) 恶灵水晶死的时候状况,Place|33894,OnDie,WorldUnion|1,UseSkill|299001,0,0,0,0,,
77,泪光火石般的大地(Lv.30~40)(破坏) Top 警戒塔被摧毁时的状况,Place|33455,OnDie,WorldUnion|0,UseSkill|299005,0,0,0,0,,
78,泪光火石般的大地(Lv.30~40)(破坏) Middle 警戒塔被摧毁时的状况,Place|33453,OnDie,WorldUnion|0,UseSkill|299006,0,0,0,0,,
79,泪光火石般的大地(Lv.30~40)(破坏) Bottom 警戒塔被摧毁时的状况,Place|33454,OnDie,WorldUnion|0,UseSkill|299007,0,0,0,0,,
80,泪光火石般的大地(Lv.41~45)(高级) 红龙死的时候状况,Place|34108,OnDie,WorldUnion|1,UseSkill|299003,0,0,0,0,,
81,泪光火石般的大地(Lv.41~45)(高级) 恶灵水晶死的时候状况,Place|34110,OnDie,WorldUnion|0,UseSkill|299001,0,0,0,0,,
82,泪光火石般的大地(Lv.41~45)(高级) Top 警戒塔被摧毁时的状况,Place|30630,OnDie,WorldUnion|1,UseSkill|299005,0,0,0,0,,
83,泪光火石般的大地(Lv.41~45)(高级) Middle 警戒塔被摧毁时的状况,Place|30628,OnDie,WorldUnion|1,UseSkill|299006,0,0,0,0,,
84,泪光火石般的大地(Lv.41~45)(高级) Bottom 警戒塔被摧毁时的状况,Place|30629,OnDie,WorldUnion|1,UseSkill|299007,0,0,0,0,,
85,泪光火石般的大地(Lv.41~45)(破坏) 红龙死的时候状况,Place|34109,OnDie,WorldUnion|0,UseSkill|299003,0,0,0,0,,
86,泪光火石般的大地(Lv.41~45)(破坏) 恶灵水晶死的时候状况,Place|34111,OnDie,WorldUnion|1,UseSkill|299001,0,0,0,0,,
87,泪光火石般的大地(Lv.41~45)(破坏) Top 警戒塔被摧毁时的状况,Place|30636,OnDie,WorldUnion|0,UseSkill|299005,0,0,0,0,,
88,泪光火石般的大地(Lv.41~45)(破坏) Middle 警戒塔被摧毁时的状况,Place|30634,OnDie,WorldUnion|0,UseSkill|299006,0,0,0,0,,
89,泪光火石般的大地(Lv.41~45)(破坏) Bottom 警戒塔被摧毁时的状况,Place|30635,OnDie,WorldUnion|0,UseSkill|299007,0,0,0,0,,
90,泪光火石般的大地(Lv.46~50)(高级) 红龙死的时候状况,Place|41564,OnDie,WorldUnion|1,UseSkill|299003,0,0,0,0,,
91,泪光火石般的大地(Lv.46~50)(高级) 恶灵水晶死的时候状况,Place|41566,OnDie,WorldUnion|0,UseSkill|299001,0,0,0,0,,
92,泪光火石般的大地(Lv.46~50)(高级) Top 警戒塔被摧毁时的状况,Place|41528,OnDie,WorldUnion|1,UseSkill|299005,0,0,0,0,,
93,泪光火石般的大地(Lv.46~50)(高级) Middle 警戒塔被摧毁时的状况,Place|41526,OnDie,WorldUnion|1,UseSkill|299006,0,0,0,0,,
94,泪光火石般的大地(Lv.46~50)(高级) Bottom 警戒塔被摧毁时的状况,Place|41527,OnDie,WorldUnion|1,UseSkill|299007,0,0,0,0,,
95,泪光火石般的大地(Lv.46~50)(破坏) 红龙死的时候状况,Place|41565,OnDie,WorldUnion|0,UseSkill|299003,0,0,0,0,,
96,泪光火石般的大地(Lv.46~50)(破坏) 恶灵水晶死的时候状况,Place|41567,OnDie,WorldUnion|1,UseSkill|299001,0,0,0,0,,
97,泪光火石般的大地(Lv.46~50)(破坏) Top 警戒塔被摧毁时的状况,Place|41534,OnDie,WorldUnion|0,UseSkill|299005,0,0,0,0,,
98,泪光火石般的大地(Lv.46~50)(破坏) Middle 警戒塔被摧毁时的状况,Place|41532,OnDie,WorldUnion|0,UseSkill|299006,0,0,0,0,,
99,泪光火石般的大地(Lv.46~50)(破坏) Bottom 警戒塔被摧毁时的状况,Place|41533,OnDie,WorldUnion|0,UseSkill|299007,0,0,0,0,,
100,泪光火石般的大地(Lv.51~55)(高级) 红龙死的时候状况,Place|41624,OnDie,WorldUnion|1,UseSkill|299003,0,0,0,0,,
101,泪光火石般的大地(Lv.51~55)(高级) 恶灵水晶死的时候状况,Place|41626,OnDie,WorldUnion|0,UseSkill|299001,0,0,0,0,,
102,泪光火石般的大地(Lv.51~55)(高级) Top 警戒塔被摧毁时的状况,Place|41588,OnDie,WorldUnion|1,UseSkill|299005,0,0,0,0,,
103,泪光火石般的大地(Lv.51~55)(高级) Middle 警戒塔被摧毁时的状况,Place|41586,OnDie,WorldUnion|1,UseSkill|299006,0,0,0,0,,
104,泪光火石般的大地(Lv.51~55)(高级) Bottom 警戒塔被摧毁时的状况,Place|41587,OnDie,WorldUnion|1,UseSkill|299007,0,0,0,0,,
105,泪光火石般的大地(Lv.51~55)(破坏) 红龙死的时候状况,Place|41625,OnDie,WorldUnion|0,UseSkill|299003,0,0,0,0,,
106,泪光火石般的大地(Lv.51~55)(破坏) 恶灵水晶死的时候状况,Place|41627,OnDie,WorldUnion|1,UseSkill|299001,0,0,0,0,,
107,泪光火石般的大地(Lv.51~55)(破坏) Top 警戒塔被摧毁时的状况,Place|41594,OnDie,WorldUnion|0,UseSkill|299005,0,0,0,0,,
108,泪光火石般的大地(Lv.51~55)(破坏) Middle 警戒塔被摧毁时的状况,Place|41592,OnDie,WorldUnion|0,UseSkill|299006,0,0,0,0,,
109,泪光火石般的大地(Lv.51~55)(破坏) Bottom 警戒塔被摧毁时的状况,Place|41593,OnDie,WorldUnion|0,UseSkill|299007,0,0,0,0,,
110,马鬃高地山脉(Lv.30~40)开始时门开,Racewar|130,OnStart,Entity|300012,ChangeState|2,0,0,0,0,,
111,马鬃高地山脉(Lv.41~45)开始时门开,Racewar|131,OnStart,Entity|300012,ChangeState|2,0,0,0,0,,
112,马鬃高地山脉(Lv.46~50)开始时门开,Racewar|132,OnStart,Entity|300012,ChangeState|2,0,0,0,0,,
113,马鬃高地山脉(Lv.51~55)开始时门开,Racewar|133,OnStart,Entity|300012,ChangeState|2,0,0,0,0,,
200,(场地)拜德大地 村子A斯蒂尔普瑞斯西门入口 NPC  李安附近 移动,Area|50074,OnEnter,Actor,JumpArea|50075,0,0,0,0,,
201,(场地)NPC 李安 斯蒂尔普瑞斯西门入口 拜德大地 村子A 移动,Area|50076,OnEnter,Actor,JumpArea|50077,0,0,0,0,,
202,(场地)拜德大地 村子B斯蒂尔普瑞斯西门入口 NPC李四附近 移动,Area|50078,OnEnter,Actor,JumpArea|50079,0,0,0,0,,
203,(场地)NPC 李安 斯蒂尔普瑞斯西门入口 拜德大地 村子B 移动,Area|50080,OnEnter,Actor,JumpArea|50081,0,0,0,0,,
204,(场地)彩虹平原 树之龙的安息地 中央qp水 东南边 上层斯蒂尔普瑞斯西门入口下面,Area|50571,OnEnter,Actor,JumpArea|50572,0,0,0,0,,
205,(场地)彩虹平原 树之龙的安息地 中央qp水下面斯蒂尔普瑞斯西门入口 东南边 上层 ,Area|50573,OnEnter,Actor,JumpArea|50574,0,0,0,0,,
206,(场地)彩虹平原 树之龙的安息地 中央qp水 北西边 上层斯蒂尔普瑞斯西门入口下面,Area|50575,OnEnter,Actor,JumpArea|50576,0,0,0,0,,
207,(场地)彩虹平原 树之龙的安息地 中央qp水下面斯蒂尔普瑞斯西门入口 北西边 上层 ,Area|50577,OnEnter,Actor,JumpArea|50578,0,0,0,0,,
208,(场地)邪恶大地 4扇形区->星屑大地(目标村子) 移动的物追加,Area|50581,OnEnter,Actor,JumpArea|50582,0,0,0,0,,
209,星屑大地(目标村子) -> (场地)邪恶大地 4扇形区 移动的物追加,Area|50627,OnEnter,Actor,JumpArea|50637,0,0,0,0,,
300,星屑大地(目标村子) -> 星屑大地(目标Qp) 移动的物追加,Area|50628,OnEnter,Actor,JumpArea|50629,0,0,0,0,,
301,星屑大地(目标Qp) -> 星屑大地(目标村子) 移动的物追加,Area|50630,OnEnter,Actor,JumpArea|50582,0,0,0,0,,
302,(场地)温光平原 4扇形区->星屑大地(破坏村子) 移动的物追加,Area|50631,OnEnter,Actor,JumpArea|50632,0,0,0,0,,
303,星屑大地(破坏村子) -> (场地)温光平原 4扇形区 移动的物追加,Area|50633,OnEnter,Actor,JumpArea|50638,0,0,0,0,,
304,星屑大地(破坏村子) -> 星屑大地(破坏Qp) 移动的物追加,Area|50634,OnEnter,Actor,JumpArea|50635,0,0,0,0,,
305,星屑大地(破坏Qp) -> 星屑大地(破坏村子) 移动的物追加,Area|50636,OnEnter,Actor,JumpArea|50632,0,0,0,0,,
500,洛坎的实验室(普通)斯蒂尔普瑞斯西门入口 实验体马克马斯(命名)死亡时铁窗门开,Place|9587,OnDie,Place|33963,ChangeState|2,0,0,0,0,,
501,洛坎的实验室(困难)斯蒂尔普瑞斯西门入口 实验体马克马斯(命名)死亡时铁窗门开,Place|9687,OnDie,Place|33964,ChangeState|2,0,0,0,0,,
502,洛坎的实验室(极困难)斯蒂尔普瑞斯西门入口 实验体马克马斯(命名)死亡时铁窗门开,Place|9787,OnDie,Place|33965,ChangeState|2,0,0,0,0,,
503,洛坎的实验室(普通)斯蒂尔普瑞斯西门入口 中央 区域 进入时 门开,Area|50100,OnEnter,Place|38905,ChangeState|2,0,0,0,0,,
504,洛坎的实验室(困难)斯蒂尔普瑞斯西门入口 中央 区域 进入时 门开,Area|50101,OnEnter,Place|38906,ChangeState|2,0,0,0,0,,
505,洛坎的实验室(极困难)斯蒂尔普瑞斯西门入口 中央 区域 进入时 门开,Area|50102,OnEnter,Place|38907,ChangeState|2,0,0,0,0,,
506,洛坎的实验室(普通)斯蒂尔普瑞斯西门入口 中央 大厅里的怪物都清除时 门 开,Place|9598|9590|9588|9591|9594|9589|9611|9610,OnDie,Place|38904,ChangeState|2,0,,0,0,,
507,洛坎的实验室(困难)斯蒂尔普瑞斯西门入口 中央 大厅里的怪物都清除时 门 开,Place|9690|9710|9696|21883|9695|9691|9711,OnDie,Place|38909,ChangeState|2,0,0,0,0,,
508,洛坎的实验室(极困难)斯蒂尔普瑞斯西门入口 中央 大厅里的怪物都清除时  门 开,Place|9811|9788|9796|9798|9789|9792|9810|9793,OnDie,Place|38910,ChangeState|2,0,0,0,0,,
509,洛坎的实验室(地狱) 点击杠杆时 下一区域门开,Place|49353,OnClick,Place|49352,ChangeState|0,0,0,0,0,,
510,洛坎的实验室(地狱) 点击杠杆时 下一区域门开,Place|49354,OnClick,Place|49355|49356,ChangeState|0,0,0,0,0,,
601,普利德米尔饲养场(地狱) 2个命名清楚后->boss约翰,Area|50539,OnEnter,Actor,JumpArea|50540,0,0,0,0,,
602,普利德米尔饲养场(地狱) boss约翰->2个命名,Area|50541,OnEnter,Actor,JumpArea|50542,0,0,0,0,,
701,恩蒂温圣所(地狱) 清楚怪物时后面的 门开,Place|49545,OnDie,Place|49591,ChangeState|2,0,0,0,0,,
702,恩蒂温圣所(地狱) 中央后的水添加,Area|50552,OnEnter,Actor,JumpArea|50553,0,0,0,0,,
801,奎里奥德矿山(地狱)内 佩勒纳克消灭时 boss移动的门开,Place|51045,OnDie,Place|51148,ChangeState|2,0,0,0,0,,
901,火焰祭坛(普通)斯蒂尔普瑞斯西门入口 死神怪物雕像(命名)死亡时铁窗门开,Place|19462,OnDie,Place|34149,ChangeState|2,0,0,0,0,,
902,火焰祭坛(困难)斯蒂尔普瑞斯西门入口 死神怪物雕像(命名)死亡时铁窗门开,Place|19464,OnDie,Place|34153,ChangeState|2,0,0,0,0,,
903,火焰祭坛(极困难)斯蒂尔普瑞斯西门入口 死神怪物雕像(命名)死亡时铁窗门开,Place|19466,OnDie,Place|34157,ChangeState|2,0,0,0,0,,
904,火焰祭坛(普通) 死神怪物雕像 移动的房间_出发,Area|50066,OnEnter,Actor,JumpArea|50058,0,0,0,0,,
905,火焰祭坛(普通) 死神怪物雕像 移动的房间 _到达,Area|50067,OnEnter,Actor,JumpArea|50059,0,0,0,0,,
906,火焰祭坛(困难) 死神怪物雕像 移动的房间_出发,Area|50068,OnEnter,Actor,JumpArea|50060,0,0,0,0,,
907,火焰祭坛(困难) 死神怪物雕像 移动的房间 _到达,Area|50069,OnEnter,Actor,JumpArea|50061,0,0,0,0,,
908,火焰祭坛(极困难) 死神怪物雕像 移动的房间_出发,Area|50070,OnEnter,Actor,JumpArea|50062,0,0,0,0,,
909,火焰祭坛(极困难) 死神怪物雕像 移动的房间 _到达,Area|50071,OnEnter,Actor,JumpArea|50063,0,0,0,0,,
910,火焰祭坛(地狱)洛坎泰斯消灭时 死神怪物雕像 移动的 门开,Place|51102,OnDie,Place|51149|51150,ChangeState|2,0,0,0,0,,
911,火焰祭坛(地狱) 死神怪物雕像消灭时 凯尔贝斯移动的门开,Place|51106,OnDie,Place|51151|51152,ChangeState|2,0,0,0,0,,
912,火焰祭坛(地狱) 凯尔贝斯消灭时 火焰守护者移动的 门开,Place|51105,OnDie,Place|51153|51154,ChangeState|2,0,0,0,0,,
913,火焰祭坛(地狱) 火焰守护者消灭时 海尔雷德移动的 门开(火焰门),Place|51107,OnDie,Place|51155|51156,ChangeState|2,0,0,0,0,,
1001,深渊神殿(普通)斯蒂尔普瑞斯西门入口 堕落的守护者(一般)死亡时铁窗门开,Place|9978,OnDie,Place|34199,ChangeState|2,0,0,0,0,,
1002,深渊神殿(普通)斯蒂尔普瑞斯西门入口 堕落的守护者(一般)死亡时铁窗门开,Place|9975,OnDie,Place|34200,ChangeState|2,0,0,0,0,,
1003,深渊神殿(普通)斯蒂尔普瑞斯西门入口 堕落的守护者(一般)死亡时铁窗门开,Place|20860,OnDie,Place|34201,ChangeState|2,0,0,0,0,,
1004,深渊神殿(困难)斯蒂尔普瑞斯西门入口 堕落的守护者(一般)死亡时铁窗门开,Place|10039,OnDie,Place|34202,ChangeState|2,0,0,0,0,,
1005,深渊神殿(困难)斯蒂尔普瑞斯西门入口 堕落的守护者(一般)死亡时铁窗门开,Place|10038,OnDie,Place|34203,ChangeState|2,0,0,0,0,,
1006,深渊神殿(困难)斯蒂尔普瑞斯西门入口 堕落的守护者(一般)死亡时铁窗门开,Place|18667,OnDie,Place|34204,ChangeState|2,0,0,0,0,,
