TID,WorldTID,PlaceType,PlaceTypeTID,Pos,Rotation,Radius,GroupNpc,State,WarView,PatrolPos
659,2000,2,51008,6936.89|8304.23|128.58,2.99,0,0,0,0,
660,2000,2,51010,6994.93|8526.15|111.20,0.83,0,0,0,0,
661,2000,2,51011,6971.83|8538.62|111.20,2.81,0,0,0,0,
663,2501,2,51009,165.96|266.66|152.77,4.42,0,0,0,0,
713,2000,2,50501,6924.40|7803.47|82.46,3.14,0,0,0,0,
715,2000,2,50501,6932.87|7852.56|80.56,3.14,0,0,0,0,
722,2000,2,50502,6893.81|7881.71|63.62,0.02,0,0,0,0,
724,2000,2,50502,6885.46|7849.35|70.71,3.14,0,0,0,0,
725,2000,2,50502,6912.37|7802.17|82.16,3.14,0,0,0,0,
729,2000,2,50511,6991.69|7952.20|83.92,3.14,0,0,0,0,
732,2000,2,50511,7041.00|7939.45|98.98,3.04,0,0,0,0,
734,2000,2,50511,6980.01|7928.91|82.84,3.14,0,0,0,0,
740,2000,2,50512,6979.98|8017.16|91.22,3.14,0,0,0,0,
742,2000,2,50512,6971.43|7921.50|83.06,3.14,0,0,0,0,
743,2000,2,50512,6969.54|7904.44|83.52,3.14,0,0,0,0,
745,2000,2,50512,6950.10|7890.48|81.01,3.14,0,0,0,0,
747,2000,2,50512,6946.28|7924.08|82.24,3.14,0,0,0,0,
748,2000,2,50512,7000.48|7960.65|89.59,3.14,0,0,0,0,
751,2000,2,50513,6953.91|7992.75|86.32,3.14,0,0,0,0,
753,2000,2,50522,7004.04|7987.33|91.16,0.02,0,0,0,0,
754,2000,2,50523,7028.18|8183.18|125.45,3.14,0,0,0,0,
755,2000,2,50523,7050.02|8040.10|117.15,3.14,0,0,0,0,
757,2000,2,50523,6961.91|8164.53|126.66,3.14,0,0,0,0,
761,2000,2,50523,6953.17|8156.56|124.80,3.14,0,0,0,0,
768,2000,2,50523,6898.96|8199.32|133.56,3.14,0,0,0,0,
769,2000,2,50523,6880.74|8243.81|130.11,3.14,0,0,0,0,
771,2000,2,50523,6904.65|8183.57|133.85,3.02,0,0,0,0,
780,2000,2,50531,6858.75|8154.51|134.32,3.14,0,0,0,0,
788,2000,2,50531,6959.70|8257.80|130.56,4.98,0,0,0,0,
789,2000,2,50532,6889.03|8155.60|134.32,3.14,0,0,0,0,
792,2000,2,50532,7039.69|8167.37|124.62,5.67,0,0,0,0,
793,2000,2,50532,7003.87|8076.28|107.78,3.14,0,0,0,0,
799,2000,2,50532,6957.72|8178.14|129.05,3.14,0,0,0,0,
801,2000,2,50532,6974.65|8235.06|128.56,3.14,0,0,0,0,
802,2000,2,50532,6969.19|8174.45|128.68,3.14,0,0,0,0,
803,2000,2,50532,6928.29|8154.16|122.93,3.14,0,0,0,0,
804,2000,2,50533,6876.57|8166.27|134.53,0.05,0,0,0,0,
805,2000,2,50523,7014.21|8092.86|110.99,3.14,0,0,0,0,
806,2000,2,50523,7040.93|8021.10|112.55,3.14,0,0,0,0,
807,2000,2,50523,7021.48|8133.12|119.63,6.09,0,0,0,0,
808,2000,2,50541,7009.86|8296.74|128.24,3.14,0,0,0,0,
809,2000,2,50541,6975.29|8298.05|129.14,3.14,0,0,0,0,
811,2000,2,50541,7043.93|8413.03|129.89,3.14,0,0,0,0,
812,2000,2,50541,7047.72|8365.37|129.99,3.14,0,0,0,0,
815,2000,2,50541,7027.21|8435.18|134.84,3.14,0,0,0,0,
816,2000,2,50541,7057.28|8421.97|131.09,3.14,0,0,0,0,
818,2000,2,50542,7054.37|8403.00|130.92,3.14,0,0,0,0,
820,2000,2,50542,7014.93|8372.82|129.19,3.14,0,0,0,0,
823,2000,2,50542,6953.37|8268.68|130.38,3.14,0,0,0,0,
827,2000,2,50542,7026.09|8329.01|128.21,3.14,0,0,0,0,
828,2000,2,50542,7065.23|8477.86|125.18,3.14,0,0,0,0,
830,2000,2,50551,6825.29|8483.78|96.21,3.14,0,0,0,0,
832,2000,2,50551,6893.27|8294.41|118.39,3.14,0,0,0,0,
835,2000,2,50551,6810.49|8481.45|93.90,3.14,0,0,0,0,
838,2000,2,50551,6820.32|8461.00|96.27,3.14,0,0,0,0,
844,2000,2,50551,6906.49|8590.53|96.53,3.14,0,0,0,0,
845,2000,2,50551,6857.93|8391.10|103.15,3.14,0,0,0,0,
846,2000,2,50551,6901.53|8333.61|116.13,3.14,0,0,0,0,
850,2000,2,50552,6890.22|8510.29|108.91,3.14,0,0,0,0,
852,2000,2,50552,6850.14|8463.89|103.43,3.14,0,0,0,0,
857,2000,2,50552,6844.22|8551.27|89.99,3.14,0,0,0,0,
862,2000,2,50552,6965.30|8593.77|98.73,3.14,0,0,0,0,
864,2000,2,50552,6778.99|8487.96|104.50,3.14,0,0,0,0,
865,2000,2,50543,7026.41|8392.34|132.10,3.14,0,0,0,0,
867,2000,2,50561,7122.81|8490.24|132.64,1.85,0,0,0,0,
869,2000,2,50561,7035.85|8522.83|114.87,4.36,0,0,0,0,
875,2000,2,50571,7249.88|8451.56|138.91,3.14,0,0,0,0,
876,2000,2,50571,7260.41|8485.55|138.61,3.14,0,0,0,0,
878,2000,2,50572,7189.34|8527.23|139.71,3.14,0,0,0,0,
879,2000,2,50562,7045.28|8485.39|126.21,3.14,0,0,0,0,
880,2000,2,50562,7148.60|8528.42|135.48,2.29,0,0,0,0,
887,2000,2,50573,7174.40|8587.21|138.77,3.14,0,0,0,0,
888,2000,2,50562,7208.39|8433.67|143.22,3.14,0,0,0,0,
889,2000,2,50562,7197.97|8555.88|142.22,3.14,0,0,0,0,
890,2501,2,50001,241.36|434.97|138.85,2.6,0,0,0,0,
891,2501,2,50002,248.60|434.52|138.85,3.09,0,0,0,0,
896,2501,2,50008,70.84|208.25|132.72,3.05,0,0,0,0,
903,2501,2,50014,221.15|193.95|152.77,4,0,0,0,0,
906,2501,2,50015,84.09|154.82|139.90,4.64,0,0,0,0,
911,2501,2,50021,440.74|380.04|169.07,0.33,0,0,0,0,
919,2501,2,50023,383.29|441.33|169.07,5.19,0,0,0,0,
921,2501,2,50023,376.86|446.36|169.11,1.45,0,0,0,0,
926,2501,2,50030,207.18|432.19|138.85,3.15,0,0,0,0,
934,2501,2,50017,118.54|449.32|142.80,3.14,0,0,0,0,
936,2501,2,50017,114.11|449.45|142.80,3.14,0,0,0,0,
937,2501,2,50017,125.56|461.52|142.80,3.14,0,0,0,0,
938,2501,2,50017,114.16|445.40|142.80,3.14,0,0,0,0,
942,2501,2,50017,118.24|445.73|142.80,3.14,0,0,0,0,
945,2501,2,50019,140.28|379.75|142.80,0.2,0,0,0,0,
951,2000,2,51007,6928.05|8307.82|129.11,2.76,0,0,0,0,
954,2000,2,51012,7130.13|8441.02|131.90,4.58,0,0,0,0,
955,2000,2,51013,7192.79|8411.67|146.26,5.21,0,0,0,0,
956,2000,2,51014,7233.72|8379.04|155.65,5.83,0,0,0,0,
1400,2000,2,50553,6772.10|8554.37|100.96,2.8,0,0,0,0,
1401,2000,2,51067,6925.41|8305.83|129.07,3.6,0,0,0,0,
1405,2000,2,50581,7264.41|8592.94|159.92,3.14,0,0,0,0,
1407,2000,2,50582,7319.40|8617.08|160.87,3.14,0,0,0,0,
1411,2000,2,50581,7367.56|8628.29|163.48,3.14,0,0,0,0,
1412,2000,2,50581,7467.30|8599.90|191.65,3.14,0,0,0,0,
1414,2000,2,50581,7383.26|8614.20|166.61,3.14,0,0,0,0,
1415,2000,2,50581,7285.51|8559.50|158.28,3.14,0,0,0,0,
1416,2000,2,50582,7268.02|8600.33|160.44,3.14,0,0,0,0,
1417,2000,2,50582,7356.64|8638.20|163.01,3.14,0,0,0,0,
1420,2000,2,50582,7264.78|8529.69|150.39,3.14,0,0,0,0,
1421,2000,2,50581,7479.15|8539.02|186.75,3.14,0,0,0,0,
1422,2000,2,50591,7559.01|8527.50|221.40,3.14,0,0,0,0,
1423,2000,2,50582,7382.03|8622.07|165.70,3.14,0,0,0,0,
1426,2000,2,50591,7417.48|8640.98|188.29,3.14,0,0,0,0,
1428,2000,2,50591,7488.32|8615.86|195.53,3.14,0,0,0,0,
1430,2000,2,50591,7436.88|8608.01|189.12,3.14,0,0,0,0,
1431,2000,2,50591,7473.53|8611.75|191.67,3.14,0,0,0,0,
1438,2000,2,50581,7464.46|8630.48|190.72,3.14,0,0,0,0,
1440,2000,2,50581,7505.19|8521.92|186.47,3.14,0,0,0,0,
1443,2000,2,50591,7499.49|8480.85|181.07,3.14,0,0,0,0,
1445,2000,2,50591,7508.98|8519.81|186.78,3.14,0,0,0,0,
1448,2000,2,50582,7469.89|8474.47|178.24,3.14,0,0,0,0,
1449,2000,2,50581,7489.13|8501.60|184.08,3.14,0,0,0,0,
1473,2000,2,50614,7224.18|8286.02|140.24,3.14,0,0,0,0,
1474,2000,2,50611,7173.19|8326.23|140.46,3.14,0,0,0,0,
1477,2000,2,50611,7288.89|8385.13|136.00,3.14,0,0,0,0,
1479,2000,2,50611,7286.11|8328.77|139.70,3.14,0,0,0,0,
1486,2000,2,50611,7249.88|8246.69|142.45,3.14,0,0,0,0,
1491,2000,2,50612,7205.38|8293.92|139.84,3.14,0,0,0,0,
1502,2000,2,50613,7247.64|8256.89|141.96,3.14,0,0,0,0,
1504,2000,2,50623,7583.80|8209.26|138.15,6.13,0,0,0,0,
1505,2000,2,50622,7612.64|8217.90|139.51,5.21,0,0,0,0,
1507,2000,2,50622,7571.01|8181.37|135.61,5.55,0,0,0,0,
1509,2000,2,50621,7574.62|8177.13|135.06,0.46,0,0,0,0,
1510,2000,2,50621,7593.48|8245.84|137.54,3.14,0,0,0,0,
1514,2000,2,50622,7596.10|8251.39|137.26,3.14,0,0,0,0,
1515,2000,2,50622,7573.95|8265.76|135.43,3.14,0,0,0,0,
1518,2000,2,50621,7486.83|8387.67|162.05,3.14,0,0,0,0,
1521,2000,2,50621,7535.68|8397.48|171.90,1.99,0,0,0,0,
1524,2000,2,50621,7538.23|8367.90|171.62,3.14,0,0,0,0,
1530,2000,2,50621,7571.73|8372.26|170.86,3.14,0,0,0,0,
1531,2000,2,50622,7530.26|8390.10|171.84,3.14,0,0,0,0,
1532,2000,2,50622,7588.15|8337.54|172.00,3.14,0,0,0,0,
1535,2000,2,50621,7465.61|8368.83|157.25,3.76,0,0,0,0,
1537,2000,2,50621,7445.08|8315.25|140.18,3.14,0,0,0,0,
1539,2000,2,50621,7523.56|8324.55|158.58,3.14,0,0,0,0,
1541,2000,2,50622,7571.89|8377.03|170.86,3.14,0,0,0,0,
1545,2000,2,50621,7536.63|8215.28|113.84,3.14,0,0,0,0,
1547,2000,2,50621,7523.28|8254.71|122.14,3.14,0,0,0,0,
1550,2000,2,50622,7529.92|8192.77|105.76,3.14,0,0,0,0,
1551,2000,2,50622,7512.53|8260.37|122.78,3.14,0,0,0,0,
1554,2000,2,50621,7525.11|8199.18|106.31,3.14,0,0,0,0,
1556,2000,2,50622,7459.54|8297.33|139.64,3.14,0,0,0,0,
1558,2000,2,50622,7483.38|8258.65|139.40,4.78,0,0,0,0,
1560,2000,2,50621,7437.59|8268.38|128.95,3.14,0,0,0,0,
1561,2000,2,50622,7463.02|8244.10|125.05,3.14,0,0,0,0,
1564,2000,2,51017,7386.88|8264.34|128.08,3.11,0,0,0,0,
1565,2000,2,51072,7381.87|8240.73|126.91,5.23,0,0,0,0,
1567,2000,2,51071,6929.75|8301.42|128.51,3.14,0,0,0,0,
1568,2501,2,51002,165.91|258.40|152.77,4.32,0,0,0,0,
1569,2501,2,51032,380.18|142.15|132.72,5.57,0,0,0,0,
1570,2501,2,50032,259.91|260.82|198.47,3.14,0,0,0,0,
1572,2000,2,51018,7308.79|8024.46|98.54,5.69,0,0,0,0,
1573,2000,2,51019,7286.11|8034.07|98.99,1.31,0,0,0,0,
1574,2000,2,51020,7291.56|8013.57|98.68,0.69,0,0,0,0,
1575,2000,2,51073,7289.81|8018.28|98.80,0.72,0,0,0,0,
1576,2000,2,51021,7360.33|7840.07|95.07,2.13,0,0,0,0,
1577,2000,2,51022,7349.61|7832.77|95.06,2.08,0,0,0,0,
1578,2000,2,51023,7347.83|7823.26|94.68,2.06,0,0,0,0,
1579,2000,2,50631,7411.84|8051.14|101.56,3.14,0,0,0,0,
1582,2000,2,50631,7457.04|8151.53|107.78,3.14,0,0,0,0,
1583,2000,2,50631,7441.61|8074.80|106.03,3.14,0,0,0,0,
1584,2000,2,50631,7366.39|8103.34|108.40,3.14,0,0,0,0,
1585,2000,2,50631,7450.04|8119.04|104.28,3.14,0,0,0,0,
1586,2000,2,50631,7441.52|8092.86|104.53,3.14,0,0,0,0,
1587,2000,2,50632,7435.96|8133.76|109.59,2.48,0,0,0,0,
1588,2000,2,50632,7462.93|8037.49|104.99,3.14,0,0,0,0,
1592,2000,2,50632,7401.43|8104.16|108.95,3.14,0,0,0,0,
1593,2000,2,50631,7399.57|8092.27|109.53,3.14,0,0,0,0,
1595,2000,2,50631,7317.93|8174.41|129.05,1.99,0,0,0,0,
1596,2000,2,50631,7286.34|8114.31|111.22,3.14,0,0,0,0,
1606,2000,2,50632,7281.72|8120.64|113.50,1.39,0,0,0,0,
1607,2000,2,50631,7342.39|8111.74|109.54,3.14,0,0,0,0,
1608,2000,2,50631,7341.12|8071.05|98.56,3.14,0,0,0,0,
1610,2000,2,50631,7350.94|8061.96|99.62,3.14,0,0,0,0,
1611,2000,2,50632,7348.73|8077.84|99.42,3.14,0,0,0,0,
1612,2000,2,50633,7411.08|8038.99|100.93,2.7,0,0,0,0,
1613,2000,2,50632,7352.69|8072.96|99.47,1.69,0,0,0,0,
1615,2000,2,50632,7410.91|7998.16|98.28,3.14,0,0,0,0,
1619,2000,2,50641,7595.50|8053.21|112.79,5.59,0,0,0,0,
1624,2000,2,50642,7586.06|7962.40|123.79,3.14,0,0,0,0,
1627,2000,2,50642,7497.01|7947.63|119.97,3.14,0,0,0,0,
1640,2000,2,50641,7609.68|8020.94|119.73,3.14,0,0,0,0,
1645,2000,2,50641,7560.84|7830.68|103.98,4.78,0,0,0,0,
1650,2000,2,50641,7558.87|7824.03|103.88,3.14,0,0,0,0,
1654,2000,2,50642,7564.81|7827.16|103.49,3.14,0,0,0,0,
1656,2000,2,50642,7464.16|7809.24|92.64,3.29,0,0,0,0,
1659,2000,2,50651,7570.21|7739.06|67.51,3.14,0,0,0,0,
1662,2000,2,50653,7611.80|7648.17|94.07,2.39,0,0,0,0,
1663,2000,2,50652,7622.38|7661.79|93.72,2.01,0,0,0,0,
1668,2000,2,50652,7576.76|7690.04|64.57,3.14,0,0,0,0,
1671,2000,2,50652,7465.46|7630.10|67.24,3.14,0,0,0,0,
1674,2000,2,50652,7486.24|7734.98|74.81,3.14,0,0,0,0,
1675,2000,2,50651,7426.75|7659.50|68.64,3.14,0,0,0,0,
1676,2000,2,50651,7404.00|7690.70|65.57,3.14,0,0,0,0,
1677,2000,2,50651,7347.35|7655.42|69.52,3.14,0,0,0,0,
1679,2000,2,50651,7427.14|7721.59|75.37,3.14,0,0,0,0,
1685,2000,2,50652,7290.84|7809.92|82.29,3.14,0,0,0,0,
1689,2000,2,50651,7445.16|7698.48|66.49,3.14,0,0,0,0,
1691,2000,2,50652,7319.72|7636.50|72.17,3.14,0,0,0,0,
1692,2000,2,50652,7356.78|7624.10|70.72,3.14,0,0,0,0,
1697,2000,2,50651,7442.51|7664.59|67.35,3.14,0,0,0,0,
1698,2000,2,50652,7367.96|7686.61|65.23,3.14,0,0,0,0,
1701,2000,2,50651,7539.46|7633.32|68.44,3.14,0,0,0,0,
1704,2000,2,50651,7452.12|7626.03|65.16,3.14,0,0,0,0,
1710,2000,2,50651,7634.23|7604.67|86.07,3.14,0,0,0,0,
1714,2000,2,51024,7236.32|7508.53|69.15,1.07,0,0,0,0,
1715,2000,2,51025,7235.76|7504.62|69.15,1.12,0,0,0,0,
1716,2000,2,51026,7453.00|7312.13|81.80,1.99,0,0,0,0,
1717,2000,2,51027,7451.94|7308.45|81.80,1.87,0,0,0,0,
1718,2000,2,51028,7269.58|7363.36|90.38,4.28,0,0,0,0,
1719,2000,2,51033,7460.51|7312.92|81.80,2.34,0,0,0,0,
1721,2000,2,51076,7568.50|7481.69|86.73,3.14,0,0,0,0,
1726,2000,2,50663,7384.31|7383.01|99.30,2.5,0,0,0,0,
1736,2000,2,50661,7395.18|7457.31|91.10,3.14,0,0,0,0,
1741,2000,2,50662,7443.07|7475.85|94.68,3.14,0,0,0,0,
1745,2000,2,50662,7462.29|7412.13|77.67,3.14,0,0,0,0,
1749,2000,2,50662,7414.27|7407.18|77.75,3.14,0,0,0,0,
1758,2000,2,50661,7445.00|7387.79|77.21,2.2,0,0,0,0,
1759,2000,2,50671,7526.90|7380.28|104.89,3.14,0,0,0,0,
1763,2000,2,50671,7558.89|7403.55|103.29,3.14,0,0,0,0,
1768,2000,2,50671,7528.10|7338.15|105.69,3.14,0,0,0,0,
1769,2000,2,50671,7503.62|7434.11|91.96,3.14,0,0,0,0,
1770,2000,2,50671,7524.70|7361.64|105.66,3.14,0,0,0,0,
1771,2000,2,50673,7541.15|7343.27|104.91,3.14,0,0,0,0,
1773,2000,2,50672,7524.87|7375.75|104.89,3.14,0,0,0,0,
1776,2000,2,50672,7563.56|7415.20|103.36,3.14,0,0,0,0,
1786,2000,2,50672,7540.76|7388.90|104.73,3.14,0,0,0,0,
1787,2000,2,50683,7545.39|7238.26|118.16,1.17,0,0,0,0,
1788,2000,2,50682,7518.63|7253.16|118.68,3.14,0,0,0,0,
1789,2000,2,50682,7548.41|7255.22|118.22,2.01,0,0,0,0,
1790,2000,2,50681,7527.79|7242.66|118.21,2.69,0,0,0,0,
1791,2000,2,50681,7562.29|7233.05|118.11,3.14,0,0,0,0,
1796,2000,2,50681,7618.98|7289.34|99.46,3.14,0,0,0,0,
1799,2000,2,50682,7602.47|7328.09|90.94,3.53,0,0,0,0,
1805,2000,2,50682,7607.77|7360.15|97.65,2.2,0,0,0,0,
1807,2000,2,50682,7614.30|7393.42|107.30,3.14,0,0,0,0,
1820,2000,2,50676,7289.63|7237.25|108.45,4.4,0,0,0,0,
1821,2000,2,50675,7278.66|7243.40|108.45,3.14,0,0,0,0,
1822,2000,2,50675,7278.09|7235.01|108.45,3.14,0,0,0,0,
1824,2000,2,50675,7216.79|7282.96|98.14,3.14,0,0,0,0,
1825,2000,2,50674,7238.60|7337.18|93.41,6.09,0,0,0,0,
1826,2000,2,50674,7226.38|7257.12|101.78,3.14,0,0,0,0,
1857,2000,3,5001,6954.92|7804.83|82.94,3.14,0,0,0,0,
1858,2000,3,5001,6953.10|7841.58|84.00,3.14,0,0,0,0,
1862,2000,3,5001,6934.86|7796.94|85.49,3.14,0,0,0,0,
1863,2000,3,5001,6928.83|7858.54|80.14,3.14,0,0,0,0,
1867,2000,3,5001,6967.19|7894.27|83.73,3.14,0,0,0,0,
1869,2000,3,5001,7015.27|7919.79|83.72,3.14,0,0,0,0,
1875,2000,3,5001,6974.06|7909.81|83.91,3.14,0,0,0,0,
1876,2000,3,5003,6874.24|7807.19|89.27,3.14,0,0,0,0,
1877,2000,3,5003,6913.99|7798.29|83.70,5.26,0,0,0,0,
1878,2000,3,5003,6892.26|7816.84|82.58,3.14,0,0,0,0,
1879,2000,3,5003,6974.53|7919.26|83.39,3.14,0,0,0,0,
1880,2000,3,5003,6944.33|7926.64|82.55,3.14,0,0,0,0,
1882,2000,3,5003,6962.45|7942.87|84.60,3.14,0,0,0,0,
1883,2000,3,5003,6989.39|7965.78|89.51,3.14,0,0,0,0,
1884,2000,3,5003,7042.27|7933.00|98.84,3.14,0,0,0,0,
1885,2000,3,5003,7017.27|7964.86|91.62,3.14,0,0,0,0,
1887,2000,3,5003,6939.82|7890.98|82.23,3.14,0,0,0,0,
1888,2000,3,5003,6959.24|7867.65|83.87,3.14,0,0,0,0,
1902,2000,3,5004,6967.66|8022.70|90.13,3.14,0,0,0,0,
1903,2000,3,5004,6979.31|8048.22|98.82,3.14,0,0,0,0,
1904,2000,3,5004,6989.69|7993.60|91.16,3.14,0,0,0,0,
1905,2000,3,5004,6966.18|8017.02|88.41,3.14,0,0,0,0,
1906,2000,3,5004,7019.96|8056.37|108.96,3.14,0,0,0,0,
1907,2000,3,5004,6998.85|8011.84|91.18,3.14,0,0,0,0,
1909,2000,3,5004,6985.53|8037.39|99.09,3.14,0,0,0,0,
1911,2000,3,5004,7029.59|8028.31|109.82,3.14,0,0,0,0,
1950,2000,3,5009,7110.85|8523.71|130.86,3.14,0,0,0,0,
1951,2000,3,5009,7073.11|8552.49|123.77,3.14,0,0,0,0,
1952,2000,3,5009,7119.48|8483.13|131.85,3.14,0,0,0,0,
1953,2000,3,5009,7126.32|8525.18|132.90,3.14,0,0,0,0,
1956,2000,3,5009,7224.33|8453.46|138.11,3.14,0,0,0,0,
1957,2000,3,5009,7200.47|8429.05|143.86,3.14,0,0,0,0,
1958,2000,3,5009,7139.36|8517.84|132.36,3.14,0,0,0,0,
1965,2000,3,5011,7471.46|8540.77|186.36,4.96,0,0,0,0,
1974,2000,3,5010,7288.58|8432.01|139.73,3.14,0,0,0,0,
1975,2000,3,5010,7287.27|8324.23|139.80,3.14,0,0,0,0,
1977,2000,3,5010,7293.89|8307.47|141.01,3.14,0,0,0,0,
1978,2000,3,5010,7289.29|8377.72|136.08,6.16,0,0,0,0,
1980,2000,3,5010,7321.60|8367.25|133.38,3.14,0,0,0,0,
1983,2000,3,5010,7236.77|8276.47|142.39,3.14,0,0,0,0,
1985,2000,3,5010,7184.76|8322.35|138.49,3.14,0,0,0,0,
1987,2000,3,5010,7306.18|8275.08|138.08,3.14,0,0,0,0,
1989,2000,3,5012,7302.00|8488.29|144.96,3.14,0,0,0,0,
1990,2000,3,5012,7287.50|8562.82|158.95,3.14,0,0,0,0,
1991,2000,3,5012,7250.12|8489.41|138.30,3.14,0,0,0,0,
1993,2000,3,5012,7357.60|8526.84|156.34,3.14,0,0,0,0,
2001,2000,3,5014,7529.61|8380.82|171.83,3.14,0,0,0,0,
2003,2000,3,5014,7570.23|8345.96|170.60,3.14,0,0,0,0,
2004,2000,3,5014,7593.01|8340.27|171.82,3.14,0,0,0,0,
2006,2000,3,5015,7538.11|8402.02|171.83,3.14,0,0,0,0,
2009,2000,3,5015,7534.27|8342.99|166.79,3.14,0,0,0,0,
2010,2000,3,5015,7562.96|8352.52|170.10,3.14,0,0,0,0,
2011,2000,3,5015,7586.25|8349.09|171.66,3.14,0,0,0,0,
2012,2000,3,5014,7563.93|8391.08|171.08,3.14,0,0,0,0,
2013,2000,3,5016,7376.76|8190.39|120.77,3.14,0,0,0,0,
2014,2000,3,5016,7340.42|8181.28|118.00,3.14,0,0,0,0,
2016,2000,3,5016,7356.05|8135.23|111.31,3.14,0,0,0,0,
2017,2000,3,5016,7351.85|8172.73|116.16,3.14,0,0,0,0,
