TID,Type,Name,Attrib
3001,2,default_dawn,AmbColor|7100228|BloomPower|0.3|Dimmer|1.6|EnvColor|8896986|EnvLUTFile|LUT_Default.bmp|EnvSoundFile1|Area_default_dawn_01.ogg|FarDOF|0.2|FarDof|0.3|FogColor|5977374|FogDensity|0.4|FogDistance|0.04|FogExp|0|FogHeight|0.01|FogHeightColor|12617285|FogHeightMin|0|FogMin|0.9|Hue|0.9|LightExposure|1|LightGamma|1.1|NearDOF|0.001|RimColor|10143204|RimPower|1|SSSColor|140416|Saturation|0.85|ShadowBrightness|0.5|ShadowColor|8757152|SkySpecularPower|3|SpecularBoost|0.8|
3002,2,default_midday,AmbColor|9877976|BloomPower|0.1|Dimmer|1.8|EnvColor|16375987|EnvLUTFile|LUT_Default.bmp|EnvSoundFile1|Area_Default_Midday_01.ogg|FarDOF|0.3|FarDof|0.7|FogColor|5980945|FogDensity|0.4|FogDistance|0.03|FogExp|0|FogHeight|0.01|FogHeightColor|15631428|FogHeightMin|0|FogMin|0.9|Hue|0.9|LightExposure|1|LightGamma|1.2|NearDOF|0.001|RimColor|14863019|RimPower|1|SSSColor|838|Saturation|0.9|ShadowBrightness|0.7|ShadowColor|12436118|SkySpecularPower|3|SpecularBoost|0.8|
3003,2,default_sunset,AmbColor|4862492|BloomPower|0.3|Dimmer|1.6|EnvColor|7448554|EnvLUTFile|LUT_Default.bmp|EnvSoundFile1|Area_default_sunset_01.ogg|FarDOF|0.25|FarDof|0.7|FogColor|5517078|FogDensity|0.35|FogDistance|0.04|FogExp|0|FogHeight|0.01|FogHeightColor|7485534|FogHeightMin|0|FogMin|0.9|Hue|1|LightExposure|1|LightGamma|1.2|NearDOF|0.001|RimColor|10923504|RimPower|1|SSSColor|612|Saturation|0.9|ShadowBrightness|0.5|ShadowColor|12950699|SkySpecularPower|3|SpecularBoost|0.8|
4000,3,default_midnight,CenterCloud|2|CenterCloudColor|6896929|CenterRotationTime|1000|FrontCloud|0|FrontCloudColor|3816752|FrontRotationTime|1000|HorizonColor|6759700|HorizonHeight|0.75|LensFlareIndex|0|LensFlareSize|0|LensFlareStrenth|0|MoonColor|9823487|MoonSize|1|RearCloud|0|RearCloudColor|1315860|RearRotationTime|5000|SkyColor|1573889|StarColor|15696225|SunColor|0|SunGlowStrenth|1.5|SunStrenth|0|TwinkleSpeed||
4001,3,default_dawn,CenterCloud|1|CenterCloudColor|5280252|CenterRotationTime|800|FrontCloud|0|FrontCloudColor|2927608|FrontRotationTime|1000|HorizonColor|10937599|HorizonHeight|0.75|LensFlareIndex|2|LensFlareSize|10|LensFlareStrenth|2|MoonColor|349786|MoonSize|1|RearCloud|3|RearCloudColor|6872575|RearRotationTime|1000|SkyColor|12295513|StarColor|0|SunColor|11061241|SunGlowStrenth|1.2|SunStrenth|100|TwinkleSpeed||
4002,3,default_midday,CenterCloud|1|CenterCloudColor|11592703|CenterRotationTime|400|FrontCloud|0|FrontCloudColor|13893372|FrontRotationTime|100000|HorizonColor|16768991|HorizonHeight|0.75|LensFlareIndex|0|LensFlareSize|2|LensFlareStrenth|1|MoonColor|0|MoonSize|1|RearCloud|1|RearCloudColor|15986148|RearRotationTime|1000|SkyColor|16729882|StarColor|0|SunColor|12907007|SunGlowStrenth|1|SunStrenth|20|TwinkleSpeed||
4003,3,default_sunset,CenterCloud|2|CenterCloudColor|8040956|CenterRotationTime|600|FrontCloud|0|FrontCloudColor|12972540|FrontRotationTime|300|HorizonColor|9424894|HorizonHeight|0.75|LensFlareIndex|0|LensFlareSize|5|LensFlareStrenth|2|MoonColor|2138109|MoonSize|1|RearCloud|2|RearCloudColor|5466783|RearRotationTime|1200|SkyColor|13516828|StarColor|919310|SunColor|4619775|SunGlowStrenth|1.2|SunStrenth|3|TwinkleSpeed||
1010,0,毛毛雨,RainAlpha|0.15|RainColor|11711154|RainDropAlpha|0|RainDropAniSpeed|1|RainPlaneCount|10|RainScaleH|1|RainScaleV|1|RainSoundFile1|Area_Rain_Small_01.ogg|RainSpeed|0.8|
4010,3,有乌云阴天的早上,CenterCloud|3|CenterCloudColor|6776894|CenterRotationTime|800|FrontCloud|3|FrontCloudColor|8878428|FrontRotationTime|300|HorizonColor|9226751|HorizonHeight|0.5|LensFlareIndex|0|LensFlareSize|3|LensFlareStrenth|1|MoonColor|266562|MoonImage|0|MoonSize|1|RearCloud|2|RearCloudColor|11445927|RearRotationTime|1000|SkyColor|3355441|StarColor|0|SunColor|5484031|SunGlowStrenth|1.3|SunStrenth|0.01|TwinkleSpeed||
3010,2,大雾的中午,AmbColor|6378574|BloomPower|0.6|Dimmer|1.6|EnvColor|13820908|EnvLUTFile|LUT_Gray.bmp|EnvSoundFile1|Area_Fog_Midday_01.ogg|FarDOF|0.1|FogColor|4272684|FogDensity|0.45|FogDistance|0.035|FogExp|0|FogHeight|0.01|FogHeightColor|7561037|FogHeightMin|0|FogMin|1|Hue|0.9|LightExposure|1|LightGamma|1.2|NearDOF|0.001|RimColor|10664134|RimPower|1|SSSColor|729704|Saturation|0.7|ShadowBrightness|0.3|ShadowColor|8166577|SkySpecularPower|3|SpecularBoost|0.8|
1011,0,强降雨,RainAlpha|0.25|RainColor|11382189|RainDropAlpha|0|RainDropAniSpeed|1|RainPlaneCount|20|RainScaleH|3|RainScaleV|0.1|RainSoundFile1|Area_Rain_Heavy_01.ogg|RainSpeed|0.5|
3011,2,大雾的晚上,AmbColor|2171715|BloomPower|0.7|Dimmer|1.5|EnvColor|9413841|EnvLUTFile|LUT_Gray.bmp|EnvSoundFile1|Area_Wind_Heavy_Cold_01.ogg|FarDOF|0.1|FogColor|2956316|FogDensity|0.4|FogDistance|0.04|FogExp|0|FogHeight|0.015|FogHeightColor|3358837|FogHeightMin|0|FogMin|1|Hue|0.9|LightExposure|1|LightGamma|1.2|NearDOF|0.001|RimColor|10005713|RimPower|1|SSSColor|1587|Saturation|0.8|ShadowBrightness|0.3|ShadowColor|11301767|SkySpecularPower|3|SpecularBoost|0.8|
3012,2,角色选择（高级）,AmbColor|1914680|BloomPower|0.8|Dimmer|1.5|EnvColor|7973849|EnvLUTFile|LUT_Default.bmp|EnvSoundFile1|Area_Battle_01.ogg|FarDOF|0.02|FogColor|4529932|FogDensity|0.5|FogDistance|0.1|FogExp|0|FogHeight|0.035|FogHeightColor|1450825|FogHeightMin|0|FogMin|0.9|Hue|0.9|LightExposure|0.9|LightGamma|1.2|NearDOF|0.001|RimColor|9811427|RimPower|1|SSSColor|5743|Saturation|0.8|ShadowBrightness|0.3|ShadowColor|7885646|SkySpecularPower|2.5|SpecularBoost|0.8|
2004,1,模糊,SnowAlpha|0.7|SnowColor|14344144|SnowCount|300|SnowDropAlpha|0.3|SnowDropAniSpeed|1.0|SnowScale|0.8|SnowSoundFile1|Mute_Sound_02.ogg|SnowSpeed|0.8|
4011,3,角色生成的天_删除,CenterCloud|3|CenterCloudColor|0|CenterRotationTime|20|FrontCloud|3|FrontCloudColor|0|FrontRotationTime|50|HorizonColor|0|HorizonHeight|0.4|LensFlareIndex|0|LensFlareSize||LensFlareStrenth||MoonSize||RearCloud|0|RearCloudColor|0|RearRotationTime|0|SkyColor|108|SunGlowStrenth|1.25|SunStrenth|100000|TwinkleSpeed||
3013,2,角色工具栏环境,AmbColor|13224376|BloomPower|0.5|Dimmer|1|EnvColor|16777215|EnvLUTFile|LUT_Bypass.bmp|EnvSoundFile1|Mute_Sound_02.ogg|FarDOF|1.|FogColor|8355711|FogDensity|0.05|FogDistance|0.03|FogExp|0|FogHeight|0|FogHeightMin|0|FogMin|1|Hue|1|LightExposure|1|LightGamma|1|NearDOF|0.001|RimColor|15132648|RimPower|0.7|SSSColor|834|Saturation|1|ShadowBrightness|0.3|ShadowColor|8421504|SkySpecularPower|2.5|SpecularBoost|0.55|
4012,3,魔幻夜空,CenterCloud|1|CenterCloudColor|5851198|CenterRotationTime|600|FrontCloud|3|FrontCloudColor|2040882|FrontRotationTime|300|HorizonColor|11494777|HorizonHeight|0.5|LensFlareIndex|0|LensFlareSize|2|LensFlareStrenth|1|MoonColor|14041|MoonImage|2|MoonSize|2.5|RearCloud|2|RearCloudColor|4536361|RearRotationTime|1500|SkyColor|2497326|SunColor|429810|SunGlowStrenth|1.2|SunStrenth|0.01|TwinkleSpeed||
4013,3,魔幻白天天空,CenterCloud|3|CenterCloudColor|4671373|CenterRotationTime|600|FrontCloud|3|FrontCloudColor|3086884|FrontRotationTime|200|HorizonColor|4791086|HorizonHeight|0.3.|LensFlareIndex|0|LensFlareSize||LensFlareStrenth||MoonColor|1985279|MoonImage|2|MoonSize|3|RearCloud|0|RearCloudColor|5055746|RearRotationTime|300|SkyColor|0|StarColor|987135|SunColor|0|SunGlowStrenth|1.25|SunStrenth|0.005|TwinkleSpeed||
3015,2,寒冷地域白天,AmbColor|9331791|BloomPower|0.8|Dimmer|1.5|EnvColor|7882059|EnvLUTFile|LUT_Ice.bmp|EnvSoundFile1|Amb_Wind_Blizzard_01.ogg|FarDOF|0.15|FogColor|4795683|FogDensity|0.4|FogDistance|0.04|FogExp|0|FogHeight|0.013|FogHeightColor|2889492|FogHeightMin|0|FogMin|1|Hue|1.0|LightExposure|1|LightGamma|1.1|NearDOF|0.001|RimColor|13286815|RimPower|1|SSSColor|36|Saturation|0.8|ShadowBrightness|0.3|ShadowColor|13141371|SkySpecularPower|2.5|SpecularBoost|0.8|
3016,2,寒冷地域早上,AmbColor|14204026|BloomPower|0.55|Dimmer|1.6|EnvColor|7847914|EnvLUTFile|LUT_Ice.bmp|EnvSoundFile1|Amb_Wind_Winter_01.ogg|FarDOF|0.1|FogColor|9332798|FogDensity|0.45|FogDistance|0.045|FogExp|0|FogHeight|0.01|FogHeightColor|7910345|FogHeightMin|0|FogMin|1|Hue|1.0|LightExposure|1|LightGamma|1.2|NearDOF|0.001|RimColor|15985349|RimPower|1|SSSColor|57|Saturation|0.8|ShadowBrightness|0.3|ShadowColor|11840363|SkySpecularPower|3|SpecularBoost|0.8|
3017,2,寒冷地域中午,AmbColor|16371114|BloomPower|0.4|Dimmer|1.7|EnvColor|13480084|EnvLUTFile|LUT_Ice.bmp|EnvSoundFile1|Amb_Wind_Winter_01.ogg|FarDOF|0.2|FogColor|15781819|FogDensity|0.4|FogDistance|0.04|FogExp|0|FogHeight|0.01|FogHeightColor|15375229|FogHeightMin|0|FogMin|0.95|Hue|1|LightExposure|1|LightGamma|1.2|NearDOF|0.001|RimColor|16777215|RimPower|1|SSSColor|79|Saturation|0.9|ShadowBrightness|0.3|ShadowColor|12033141|SkySpecularPower|2|SpecularBoost|0.8|
3018,2,寒冷地域晚上,AmbColor|15712448|BloomPower|0.6|Dimmer|1.5|EnvColor|9158138|EnvLUTFile|LUT_Ice.bmp|EnvSoundFile1|Area_Wind_Small_Cold_01.ogg|FarDOF|0.2|FogColor|12674676|FogDensity|0.45|FogDistance|0.045|FogExp|0|FogHeight|0.01|FogHeightColor|6243725|FogHeightMin|0|FogMin|0.95|Hue|1.0|LightExposure|1|LightGamma|1.1|NearDOF|0.001|RimColor|15452101|RimPower|1|SSSColor|70|Saturation|0.9|ShadowBrightness|0.3|ShadowColor|11237502|SkySpecularPower|3|SpecularBoost|0.8|
4014,3,碧蓝晴空,CenterCloud|2|CenterCloudColor|16777215|CenterRotationTime|300|FrontCloud|0|FrontCloudColor|16777215|FrontRotationTime|800|HorizonColor|16777215|HorizonHeight|0.75|LensFlareIndex|0|LensFlareSize|1|LensFlareStrenth|1|MoonColor|16777215|MoonSize|1|RearCloud|0|RearCloudColor|16777215|RearRotationTime|3000|SkyColor|16549961|SunGlowStrenth|1.1|SunStrenth|10|TwinkleSpeed||
4015,3,晴朗的紫色夕阳,CenterCloud|2|CenterCloudColor|11824039|CenterRotationTime|800|FrontCloud|0|FrontCloudColor|6201079|FrontRotationTime|500|HorizonColor|7847415|HorizonHeight|0.75|LensFlareIndex|0|LensFlareSize|1|LensFlareStrenth|1|MoonColor|11276697|MoonSize|1|RearCloud|0|RearCloudColor|12500670|RearRotationTime|1000|SkyColor|8077391|StarColor|0|SunColor|737209|SunGlowStrenth|1.3|SunStrenth|3|TwinkleSpeed||
4016,3,清晨,CenterCloud|2|CenterCloudColor|16769532|CenterRotationTime|300|FrontCloud|0|FrontCloudColor|14335286|FrontRotationTime|1200.0|HorizonColor|7723519|HorizonHeight|0.75|LensFlareIndex|0.0|LensFlareSize|2|LensFlareStrenth|2|MoonColor|11163|MoonSize|1|RearCloud|0|RearCloudColor|16777215|RearRotationTime|4800.0|SkyColor|14710102|SunColor|12043773|SunGlowStrenth|1.2|SunStrenth|2|TwinkleSpeed||
4017,3,有乌云的晚上,CenterCloud|3|CenterCloudColor|3679000|CenterRotationTime|600|FrontCloud|3|FrontCloudColor|4931905|FrontRotationTime|200|HorizonColor|7619901|HorizonHeight|0.75|LensFlareIndex|2|LensFlareSize||LensFlareStrenth||MoonColor|13027889|MoonSize|1|RearCloud|3|RearCloudColor|0|RearRotationTime|1000|SkyColor|1311233|StarColor|0|SunColor|0|SunGlowStrenth|1.5|SunStrenth|0.01|TwinkleSpeed||
2005,1,清晰,SnowAlpha|1.2|SnowColor|14209974|SnowCount|100|SnowDropAlpha|0.3|SnowDropAniSpeed|1.0|SnowScale|1|SnowSoundFile1|Mute_Sound_02.ogg|SnowSoundFile2||SnowSoundFile3||SnowSpeed|1|
3019,2,角色选择(删除),AmbColor|3228484|BloomPower|0.8|Dimmer|1.5|EnvColor|12096154|EnvLUTFile|LUT_Default.bmp|EnvSoundFile1|Area_Battle_01.ogg|FarDOF|0.04|FogColor|4267834|FogDensity|0.5|FogDistance|0.1|FogExp|0|FogHeight|0.045|FogHeightColor|3346688|FogHeightMin|0|FogMin|0.9|Hue|0.9|LightExposure|1|LightGamma|1.2|NearDOF|0.001|RimColor|11581394|RimPower|1|SSSColor|66|Saturation|0.8|ShadowBrightness|0.3|ShadowColor|5717053|SkySpecularPower|2.5|SpecularBoost|0.8|
3020,2,湿地之夜,AmbColor|5985854|BloomPower|0.7|Dimmer|1.5|EnvColor|11161432|EnvLUTFile|LUT_Jungle.bmp|EnvSoundFile1|Area_Jungle_Night_01.ogg|FarDOF|0.1|FogColor|3351046|FogDensity|0.4|FogDistance|0.04|FogExp|0|FogHeight|0.01|FogHeightColor|1903629|FogHeightMin|0|FogMin|0.8|Hue|1|LightExposure|1|LightGamma|1.1|NearDOF|0.001|RimColor|11568224|RimPower|1|SSSColor|2600|Saturation|0.85|ShadowBrightness|0.3|ShadowColor|12685721|SkySpecularPower|2.5|SpecularBoost|0.8|
3021,2,湿地早上,AmbColor|6051382|BloomPower|0.3|Dimmer|1.6|EnvColor|8701917|EnvLUTFile|LUT_Jungle.bmp|EnvSoundFile1|Area_Jungle_Morning_01.ogg|FarDOF|0.2|FogColor|4141846|FogDensity|0.35|FogDistance|0.04|FogExp|0|FogHeight|0.01|FogHeightColor|3699636|FogHeightMin|0|FogMin|1|Hue|0.9|LightExposure|1|LightGamma|1.2|NearDOF|0.001|RimColor|9168120|RimPower|1|SSSColor|66|Saturation|0.85|ShadowBrightness|0.3|ShadowColor|12757391|SkySpecularPower|3|SpecularBoost|0.8|
3022,2,湿地中午,AmbColor|5340523|BloomPower|0.1|Dimmer|1.8|EnvColor|16242875|EnvLUTFile|LUT_Jungle.bmp|EnvSoundFile1|Area_Jungle_Day_01.ogg|FarDOF|0.25|FogColor|2306317|FogDensity|0.4|FogDistance|0.035|FogExp|0|FogHeight|0.01|FogHeightColor|10314570|FogHeightMin|0|FogMin|0.9|Hue|0.9|LightExposure|1|LightGamma|1.2|NearDOF|0.001|RimColor|12310448|RimPower|1|SSSColor|77|Saturation|0.9|ShadowBrightness|0.3|ShadowColor|9291707|SkySpecularPower|3|SpecularBoost|0.8|
3023,2,湿地夜晚,AmbColor|4804154|BloomPower|0.3|Dimmer|1.6|EnvColor|10727648|EnvLUTFile|LUT_Jungle.bmp|EnvSoundFile1|Area_Jungle_Evening_01.ogg|FarDOF|0.15|FogColor|4010258|FogDensity|0.4|FogDistance|0.04|FogExp|0|FogHeight|0.01|FogHeightColor|3361410|FogHeightMin|0|FogMin|0.9|Hue|0.9|LightExposure|1|LightGamma|1.2|NearDOF|0.001|RimColor|8962536|RimPower|1|SSSColor|64|Saturation|0.85|ShadowBrightness|0.3|ShadowColor|12162993|SkySpecularPower|3|SpecularBoost|0.8|
4018,3,有乌云的中午,CenterCloud|3|CenterCloudColor|6966080|CenterRotationTime|1200|FrontCloud|3|FrontCloudColor|5918017|FrontRotationTime|300|HorizonColor|16777215|HorizonHeight|0.75|LensFlareIndex|0|LensFlareSize|1|LensFlareStrenth|1|MoonSize|1|RearCloud|3|RearCloudColor|9006943|RearRotationTime|2500|SkyColor|10458481|SunColor|10875366|SunGlowStrenth|1.3|SunStrenth|0.05|TwinkleSpeed||
4019,3,潮湿阴暗的中午天空,CenterCloud|3|CenterCloudColor|6376769|CenterRotationTime|1000|FrontCloud|2|FrontCloudColor|14005422|FrontRotationTime|500|HorizonColor|15461355|HorizonHeight|1.75|LensFlareIndex|0|LensFlareSize|2|LensFlareStrenth|1|MoonSize|1|RearCloud|3|RearCloudColor|12362915|RearRotationTime|300|SkyColor|12358785|SunColor|6261152|SunGlowStrenth|1.3|SunStrenth|0.1|TwinkleSpeed||
4020,3,潮湿阴暗的夜空,CenterCloud|3|CenterCloudColor|5214662|CenterRotationTime|600|FrontCloud|3|FrontCloudColor|349871|FrontRotationTime|500|HorizonColor|9549000|HorizonHeight|1.75|LensFlareIndex|1|LensFlareSize||LensFlareStrenth||MoonSize|1|RearCloud|3|RearCloudColor|7652813|RearRotationTime|1200|SkyColor|5452083|SunColor|8042731|SunGlowStrenth|1.1|SunStrenth|0.01|TwinkleSpeed||
4021,3,有乌云的晚上,CenterCloud|3|CenterCloudColor|2110788|CenterRotationTime|1200|FrontCloud|3|FrontCloudColor|1844262|FrontRotationTime|400|HorizonColor|10743795|HorizonHeight|0.75|LensFlareIndex|0.0|LensFlareSize||LensFlareStrenth||MoonSize|1|RearCloud|3|RearCloudColor|3836344|RearRotationTime|600|SkyColor|7025801|SunColor|5552629|SunGlowStrenth|1.3|SunStrenth|0.05|TwinkleSpeed||
4022,3,魔幻清晨天空,CenterCloud|3|CenterCloudColor|5522751|CenterRotationTime|300|FrontCloud|3|FrontCloudColor|10517093|FrontRotationTime|800|HorizonColor|15777941|HorizonHeight|0.2|LensFlareIndex|2|LensFlareSize|3|LensFlareStrenth|1|MoonColor|19402|MoonImage|2|MoonSize|2.5|RearCloud|2|RearCloudColor|7689562|RearRotationTime|600|SkyColor|0|SunColor|6866685|SunGlowStrenth|1.2|SunStrenth|0.01|TwinkleSpeed||
3024,2,叹息的山谷,AmbColor|1326393|BloomPower|0.7|Dimmer|1.5|EnvColor|4686304|EnvLUTFile|LUT_Default.bmp|EnvSoundFile1|Area_Fog_Midday_01.ogg|FarDOF|0.1|FogColor|3548184|FogDensity|0.4|FogDistance|0.055|FogExp|0|FogHeight|0.005|FogHeightColor|2635112|FogHeightMin|0|FogMin|0.9|Hue|1.0|LightExposure|1|LightGamma|1.25|NearDOF|0.001|RimColor|13608883|RimPower|1|SSSColor|2878|Saturation|0.85|ShadowBrightness|0.3|ShadowColor|10385778|SkySpecularPower|3|SpecularBoost|0.8|
3025,2,拍摄用小地图,AmbColor|8421504|BloomPower|0|Dimmer|1|EnvColor|16777215|EnvLUTFile|LUT_Tone.bmp|FarDOF|1|FogColor|16777215|FogDensity|0|FogDistance|0|FogExp|0|FogHeight|0.0|FogHeightMin|0|FogMin|0|Hue|1.0|LightExposure|1|LightGamma|1|NearDOF|0|RimPower|0|Saturation|1.0|ShadowBrightness|0.3|ShadowColor|12040119|SkySpecularPower|1|SpecularBoost|0.0|
3026,2,角色选择_删除,AmbColor|1710705|BloomPower|0.1|Dimmer|1|EnvColor|16777215|EnvLUTFile|LUT_Default.bmp|EnvSoundFile1|Mute_Sound_02.ogg|FarDOF|0.001|FogColor|0|FogDensity|0|FogDistance|0|FogExp|0|FogHeight|0|FogHeightColor|0|FogHeightMin|0|FogMin|0|Hue|1|LightExposure|0.8|LightGamma|1.1|NearDOF|0|RimColor|13421812|RimPower|1|SSSColor|51|Saturation|0.8|ShadowBrightness|0.3|ShadowColor|3750238|SkySpecularPower|3|SpecularBoost|0.8|
3027,2,荣耀峡谷,AmbColor|2305594|BloomPower|0.7|Dimmer|1.8|EnvColor|5666754|EnvLUTFile|LUT_Default.bmp|EnvSoundFile1|Area_Temple_01.ogg|FarDOF|0.1|FogColor|6037010|FogDensity|0.4|FogDistance|0.075|FogExp|0|FogHeight|0.01|FogHeightColor|6826072|FogHeightMin|0|FogMin|0.9|Hue|0.9|LightExposure|1|LightGamma|1.3|NearDOF|0.001|RimColor|9939671|RimPower|0.7|SSSColor|2632|Saturation|0.8|ShadowBrightness|0.3|ShadowColor|11569540|SkySpecularPower|3|SpecularBoost|0.8|
4023,3,灰色高原天空,CenterCloud|2|CenterCloudColor|13684944|CenterRotationTime|800|FrontCloud|2|FrontCloudColor|14013909|FrontRotationTime|400|HorizonColor|8947848|HorizonHeight|0.75|LensFlareIndex|0|LensFlareSize|1|LensFlareStrenth||MoonSize|1|RearCloud|2|RearCloudColor|14145495|RearRotationTime|1200|SkyColor|5196092|SunColor|16777215|SunGlowStrenth|1.1|SunStrenth|5|TwinkleSpeed||
3028,2,潮湿阴暗的中午,AmbColor|3156001|BloomPower|0.6|Dimmer|1.8|EnvColor|11579800|EnvLUTFile|LUT_Gray.bmp|EnvSoundFile1|Area_Fog_Midday_01.ogg|FarDOF|0.1|FogColor|4930087|FogDensity|0.4|FogDistance|0.04|FogExp|0|FogHeight|0.012|FogHeightColor|7624528|FogHeightMin|0|FogMin|1|Hue|1.0|LightExposure|1|LightGamma|1.2|NearDOF|0.001|RimColor|13487546|RimPower|1|SSSColor|3390|Saturation|0.8|ShadowBrightness|0.3|ShadowColor|10852222|SkySpecularPower|3|SpecularBoost|0.8|
4024,3,魔幻的中午天空,CenterCloud|2|CenterCloudColor|8355711|CenterRotationTime|1000|FrontCloud|3|FrontCloudColor|10786954|FrontRotationTime|400|HorizonColor|15584664|HorizonHeight|0.5|LensFlareIndex|0|LensFlareSize|1|LensFlareStrenth|1|MoonColor|0|MoonImage|2|MoonSize|2.5|RearCloud|3|RearCloudColor|7631988|RearRotationTime|1500|SkyColor|0|SunColor|14211002|SunGlowStrenth|1.15|SunStrenth|0.01|TwinkleSpeed||
3029,2,角色选择_高级,AmbColor|5146321|BloomPower|0.1|Dimmer|1|EnvColor|16777215|EnvLUTFile|LUT_Default.bmp|EnvSoundFile1|Mute_Sound_02.ogg|FarDOF|0.001|FogColor|0|FogDensity|0|FogDistance|1|FogExp|0|FogHeight|0|FogHeightMin|0|FogMin|0|Hue|1.0|LightExposure|1|LightGamma|1.3|NearDOF|0|RimColor|14928063|RimPower|1|SSSColor|49|Saturation|0.8|ShadowBrightness|0.3|ShadowColor|4411501|SkySpecularPower|3|SpecularBoost|0.8|
4025,3,天国的白色天空,CenterCloud|2|CenterCloudColor|7517436|CenterRotationTime|500|FrontCloud|3|FrontCloudColor|13232382|FrontRotationTime|300|HorizonColor|11795455|HorizonHeight|0.75|LensFlareIndex|0|LensFlareSize|2|LensFlareStrenth|1|MoonSize|1|RearCloud|3|RearCloudColor|10345977|RearRotationTime|1000|SkyColor|13858432|SunColor|13563135|SunGlowStrenth|1.2|SunStrenth|0.05|TwinkleSpeed||
3030,2,沙漠深夜,AmbColor|4203292|BloomPower|0.75|Dimmer|1.5|EnvColor|15822219|EnvLUTFile|LUT_Desert.bmp|EnvSoundFile1|Area_Desert_Night_01.ogg|FarDOF|0.15|FogColor|4004645|FogDensity|0.3|FogDistance|0.04|FogExp|0|FogHeight|0.01|FogHeightColor|2490882|FogHeightMin|0|FogMin|0.9|Hue|1.0|LightExposure|1|LightGamma|1.1|NearDOF|0.001|RimColor|9609150|RimPower|1|SSSColor|263752|Saturation|0.8|ShadowBrightness|0.3|ShadowColor|12878478|SkySpecularPower|2.5|SpecularBoost|0.8|
3031,2,沙漠早上,AmbColor|4097198|BloomPower|0.6|Dimmer|1.5|EnvColor|10279665|EnvLUTFile|LUT_Desert.bmp|EnvSoundFile1|Area_Desert_Day_01.ogg|FarDOF|0.2|FogColor|8021321|FogDensity|0.4|FogDistance|0.04|FogExp|0|FogHeight|0.01|FogHeightColor|4232866|FogHeightMin|0|FogMin|0.95|Hue|1.0|LightExposure|1|LightGamma|1.2|NearDOF|0.001|RimColor|10735339|RimPower|1|SSSColor|123|Saturation|0.8|ShadowBrightness|0.3|ShadowColor|13536085|SkySpecularPower|3|SpecularBoost|0.8|
