TID,Comment,EngTitle,LocalTitle,EngName,LocalName,Type,Kind,EngDesc,LocalDesc
14,战争（大规模战场）,HLP_Title_000013,战场,HLP_Name_000013,大规模战场,4,1,HLP_Desc_000013,<TC '255:204:0' Text'[大规模战场]'/>/n必须是至少大规模战场作出了一定的水平是指一种独特战场打开周./n /正条目中的每一天./n /正当约定的时间，每天战场通知产生和/ N，去参加在战斗。 / N / N <TC'255：204：0“文本”[专题]“/> / N一般的死刑是不适用的，/ N时，在指定点./n战场上的胜利中恢复/ N大战场你可以得到特殊的奖励./n / N <TC'255：204：0“文本”[那种]“/> / N <TC'255：0：0”文本“神圣的职业之前'/> / N危险之前占用的规定时间内神圣的职业/ N获得点到达营地，直到第一个目标值/ N进行的方式，胜利./n / N <TC'255：0：0“文本”神圣的破坏前“/> / N危险销毁前侧是摧毁对手圣/ N进行的方式，胜利./n / N <TC'255：0：0”文本“英雄”/> / N英雄在规定时间内由一个派别杀害/ N以这样的方式，第一面达到比分获胜目标/ n转到./n / N <TC'255：0：0“文本”暗杀前“/> / N它将继续暗杀前派的监护人在规定时间内/ N以这样的方式，第一端打破胜利./n / N <TC'255：0：0“文本”入侵前的城市'/> / N城市入侵入侵在规定时间内相对前市区/ N着手杀死派别./n / N不要让攻击面朝下，赢得了派系头/ N卫冕的头的方式，可以防止一个派别入侵头如果/ N赢得./n / N <TC'255：0：0“文本”全面战争“/> / n转到全面战争的方式来获得分数，以帮助敌人./n侧面率先实现了目标分数赢球的办法/ N进行。
15,战争（小规模战场）,HLP_Title_000014,战场,HLP_Name_000014,小规模战场,4,2,HLP_Desc_000014,<TC '255:204:0' Text'[小规模战场]'/>/n小规模战场并不是特定时间开放的，而是达到一定等级后/n会获得小规模战场入场券，就可以参与玩/n小规模战场了./n /n<TC '255:204:0' Text'[获得入场券的方法]'/>/n小规模战场入场卷是在怪兽球场胜利获得的战利品/n获得的战利品./n /n<TC '255:204:0' Text'[参与方法]'/>/n人物到达一定等级以上/n就可以参与小规模战场了./n /n<TC '255:0:0' Text'小规模战场窗口(快捷键: J)'/>打开就可以申请参加/n在待机页登录了./n /n聚集好必要的全部人员后，参与通知窗口就会出现/n就可以向小规模战场移动了./n /n*.根据入场的次数会消耗相同多的入场卷./n /n<TC '255:204:0' Text'[种类]'/>/n<TC '255:0:0' Text'泪光火石般的大地'/>/n泪光火石般的大地是在一定的时间内，我方的军队出发/n占领辛德瑞拉，并向敌方发起进攻率先破坏敌方阵营的辛德瑞拉的/n取得胜利./n /n<TC '255:0:0' Text'叹息的山谷'/>/n叹息的山谷是占领对方阵营的圣物的期间，率先获得要点，并成目标的一方获得胜利./n /n<TC '255:0:0' Text'阿修罗剑道场'/>/n阿修罗剑道场是在规定的时间内，杀死对方阵营人员数/n率先达成目标的一方获得胜利. 
16,战争（纷争地域）,HLP_Title_000015,战场,HLP_Name_000015,纷争地域,4,3,HLP_Desc_000015,<TC '255:204:0' Text'[纷争地域]'/>/n是指完全没有停歇，一直战争四起的地域./n /n不存在大规模，小规模战争和胜负之说/n谁都可以参与的开放式战场.
17,其他（记录）,HLP_Title_000016,战场,HLP_Name_000016,记录,4,4,HLP_Desc_000016,<TC '255:204:0' Text'[记录]'/>/n<TC '255:0:0' Text'人物信息窗(快捷键: C)'/>中的记录键 /n可以确认自己的当前等级和其他等级/n以及名声分数./n /n记录是根据大规模战场，小规模战场，纷争地域战斗结果 /n累计或扣除.
18,地下城（地下城配置）,HLP_Title_000017,地下城,HLP_Name_000017,地下城配置,5,1,HLP_Desc_000017,<TC '255:204:0' Text'[使用方法]'/>/n通过地下城配置可以知道何时何地可以在地下城/n可以参加./n /n<TC '255:204:0' Text'[角色]'/>/n地下城配置是团队或个人都可以申请的./n播放器是指在防御，治愈，攻击中自己可以选择的/n在团队中需要完成的角色任务./n /n<TC '255:204:0' Text'[参与方法]'/>/n地下城配置通过<TC '255:0:0' Text'团队配置窗(快捷键: P)'/>中的地下城选项/n进入的./n /n选择好难易度和想参与的地下城后/n组成符合角色的团队就可以进入地下城了./n /n可以在地下城名字的右侧确认/n入场信息和期待补偿.
19,地下城（地下城副本）,HLP_Title_000018,地下城,HLP_Name_000018,地下城副本,5,2,HLP_Desc_000018,<TC '255:204:0' Text'[地下城说明]'/>/n实例：地下城是由普通/困难/特难/恶劣，根据难易度/n构成的./n /n根据地下城的种类和难易度限制入场的/n等级./n /n根据地下城的难易度和得分不同/n可以获得东西也不同./n /n在高难度的地下城中取得出色的分数，会获得好的东西./n /n一部分难易度的地下城要消耗物品才能入场./n*. 根据参与的次数会消耗入场券.
20,社区（团队）,HLP_Title_000019,社区,HLP_Name_000019,团队,6,1,HLP_Desc_000019,<TC '255:204:0' Text'[组织聚会]'/>/n聚会是由最多5人构成的小规模团队./n /n聚会是在独自面对很困难的战争中打怪的时候/n组成的./n<TC '255:0:0' Text'聚会配置窗(快捷键: P)'/>中选择登陆聚会的按键/n组成团队/n./n或者参与已经组合好的聚会/n<TC '255:0:0' Text'‘/聚会邀请ID’'/>根据指令可以邀请其他人/n参与聚会./n /n根据团队状态歼灭敌人，团队经验值会上升./n如果团队经验值满了/n所有组员都可以使用对自己有利的技能.
21,社区（突袭）,HLP_Title_000020,社区,HLP_Name_000020,突袭,6,2,HLP_Desc_000020,<TC '255:204:0' Text'[发起突袭]'/>/n比起聚会需要更多的人参与/n才能发起突袭./n突袭是由最多20人构成的大规模团队./n突袭一般情况下是面对特别强大的敌人/n或者参与大规模战斗时发起的./n /n<TC '255:0:0' Text'聚会配置窗(快捷键: P)'/>中选择聚会登陆按键/n可以构成突袭或者参与已经组合好的突袭./n /n<TC '255:0:0' Text'‘/突袭邀请ID’'/>根据指令可以邀请其他人/n参与突袭./n /n一般聚会途中打开 <TC '255:0:0' Text'转换突袭(快捷键: Y)'/>窗口/n可以转换为突袭./n /n突袭状态下歼灭敌人的话，突袭的经验值/n会上升./n如果团队经验值满了/n所有组员都可以使用对自己有利的技能.
22,社区（工会）,HLP_Title_000021,社区,HLP_Name_000021,工会,6,3,HLP_Desc_000021,"<TC '255:204:0' Text'[形成公会]'/>/n通过大都市的公会管理人可以创立公会人/n /n<TC '255:204:0' Text'[成长方法]'/>/n满足公会人数, 支付一定金额/n公会等级会上升./n /n根据公会等级的不同会得到特别的优惠./n /n<TC '255:204:0' Text'[附加机能]'/>/n公会窗口可以完成公会名名称和公会标志/n会员可以使用公会的专用窗口./n /n但是，公会窗口会根据赋予的权限不同/n有所制约."
23,社区（好友）,HLP_Title_000022,社区,HLP_Name_000022,好友,6,4,HLP_Desc_000022,<TC '255:204:0' Text'[登录方法]'/>/n<TC '255:0:0' Text'好友窗口(快捷键: B)'/>中好友，决断者都可以/n登录./n /n<TC '255:204:0' Text'[特征]'/>/n通过好友窗口的好友键可以确认登录好友的/n名字，等级以及现在的位置. /n /n可以对已经登录的好友/n进行聚会邀请，突袭邀请，还可以私信./n /n可以在目录中删除好友.
24,社区（对战）,HLP_Title_000023,社区,HLP_Name_000023,对战,6,5,HLP_Desc_000023,<TC '255:204:0' Text'[对战方法]'/>/n对象选择后，选择目标窗口的菜单中的[对战申请]/n就可以申请对战了./n /n对战开始时指定对战地点./n体力先到达10或者逃跑的话/n就是失败./n /n限制时间内如果不分胜负 就算和局.
25,社区（社会动作）,HLP_Title_000024,社区,HLP_Name_000024,社会动作,6,6,HLP_Desc_000024,<TC '255:204:0' Text'[使用方法]'/>/n<TC '255:0:0' Text'社交动作窗口(快捷键 .)'/>打开后在快捷窗口登录技能/n使用或者在聊天窗口 '/' 以使用命令语自己的感情/n可以表现.
26,交易（个人商店）,HLP_Title_000025,交易,HLP_Name_000025,个人商店,7,1,HLP_Desc_000025,"<TC '255:204:0' Text'[使用方法]'/>/n<TC '255:0:0' Text'个人商店(快捷键 T)'/>直接打开商店的物品/n可以贩卖./n /n可交易的物品就能登录, 尽可能登录的数量/n定下来./n物品贩卖结束后的话可获得工会./n /n商店打开中角色不能移动."
27,交易（拍卖）,HLP_Title_000026,交易,HLP_Name_000026,拍卖,7,2,HLP_Desc_000026,"<TC '255:204:0' Text'[使用方法]'/>/n拍卖会在大城市的 <TC '255:0:0' Text'拍卖管理人'/>能够通过. /n /n贩卖者在贩卖时项目想要的价格在拍卖场 /n可以登录./n拍卖会是代替该项目贩卖./n可以看出购买时登记的项目的价格和性能./n /n贩卖者能够登录的项目个数有10个./n /n物品贩卖登录时,登录时间 特别是手续费不同. /n /n不是贩卖项目的清算金额和贩卖项目 /n可获得清算."
28,任务（任务构成）,HLP_Title_000027,任务,HLP_Name_000027,任务构成,8,1,HLP_Desc_000027,<TC '255:204:0' Text'[角色构成]'/>/n对坎德拉的英雄吩咐各种任务./n /n居民的头上 <TC '255:0:0' Text' 感叹号(!)'/>是/n表示对英雄托付时有任务./n /n居民的头上 <TC '255:0:0' Text'问号(?)'/>是/n表示任务得到解决./n /n给予补偿解决居民们的负担./n /n<TC '255:204:0' Text'[任务种类]'/>/n /n任务总共4种./n /n<TC '90:185:117' Text'[绿色图标]'/>是脚本任务./n<TC '255:204:0' Text'[黄色图标]'/>是一般任务./n<TC '66:138:187' Text'[蓝色图标]'/>是反复任务./n<TC '173:78:197' Text'[紫色图标]'/>是每日任务.
29,任务（任务自动运行）,HLP_Title_000028,任务,HLP_Name_000028,任务自动运行,8,2,HLP_Desc_000028,<TC '255:204:0' Text'[使用方法]'/>/n接受任务时，在游戏画面右侧通知栏登录任务./n /n登陆后选择任务目标/n向该角色的目的地自动移动.
30,移动（世界地图自动移动）,HLP_Title_000029,游戏操作,HLP_Name_000029,世界地图自动移动,9,1,HLP_Desc_000029,<TC '255:204:0' Text'[使用方法]'/>/n<TC '255:0:0' Text'世界地图(快捷键: M)'/>地图出现后/n选择想要的位置就会自动向该位置移动.
31,游戏操作（抢夺）,HLP_Title_000030,游戏操作,HLP_Name_000030,抢夺,9,2,HLP_Desc_000030,<TC '255:204:0' Text'[使用方法]'/>/n选择尸体后 <TC '255:0:0' Text'抢夺键(快捷键: F )'/>如果输入的话/n物件抢夺窗口被打开./n /n物件抢夺窗口打开的情况下 <TC '255:0:0' Text'抢夺 (快捷键: F )'/>再次/n点击的话战利品全部获得.
32,游戏操作（武器更换）,HLP_Title_000031,游戏操作,HLP_Name_000031,武器更换,9,3,HLP_Desc_000031,"<TC '255:204:0' Text'[使用方法]'/>/n<TC '255:0:0' Text'人物信息窗口(快捷键: C)'/>在武器插槽装备使用后 /n<TC '255:0:0' Text'武器交换(快捷键: Z, X)'/>武器可以变更./n /n通过游戏画面下端弹出窗口能确认使用中的武器 /n./n但是, 在画面下方窗口不能直接登录"
33,游戏操作（视频）,HLP_Title_000032,游戏操作,HLP_Name_000032,图片,9,4,HLP_Desc_000032,<TC '255:204:0' Text'[图片]'/>/n<TC '255:0:0' Text'图片(快捷键: PrtScn)'/>可以录制游戏画面./n /n<TC '255:204:0' Text'[录制视频]'/>/n<TC '255:0:0' Text'视频(快捷键: F10)'/>可以录制游戏画面./n开始录制视频，游戏画面右下方显示录制时间 /n录制中点击F10录制终止./n /n拍照或者录制视频终止后/n保存路径在聊天窗口中显示.
