TID,WorldTID,Name,Pos,Min,Max,Volume,
40,2000,Amb_Water_Waterfall_01.ogg,7417.61|8289.92|137.07,30,50,1,
41,2000,Amb_Fire_Bonfire_01.ogg,7385.51|8242.92|129.58,2,10,1,
42,2000,Amb_Water_Waterfall_01.ogg,7421.12|8236.43|121.82,30,50,1,
43,2000,Amb_Water_Waterfall_01.ogg,7416.15|8259.15|127.34,30,50,1,
44,2000,Amb_Water_Large_Valley_01.ogg,7426.64|8327.13|142.21,30,50,1,
45,2000,Amb_Water_Large_Valley_01.ogg,7444.62|8384.92|165.03,30,50,1,
46,2000,Amb_Water_Waterfall_01.ogg,7466.12|8404.77|168.57,30,50,1,
47,2000,Amb_Water_Waterfall_01.ogg,7497.83|8432.32|166.60,30,50,1,
48,2000,Amb_Water_L_Cascade_01.ogg,7591.29|8368.20|172.21,60,80,1,
49,2000,Amb_Water_Waterfall_01.ogg,7437.12|8206.62|104.80,50,60,1,
50,2000,Amb_Water_Waterfall_01.ogg,7358.04|8335.55|126.06,50,80,1,
51,2000,Amb_Fire_Bonfire_01.ogg,7299.30|8036.69|101.68,2,10,1,
52,2000,Amb_Fire_Bonfire_01.ogg,7283.41|8029.67|101.01,2,10,1,
53,2000,Amb_Fire_Bonfire_01.ogg,7281.99|8044.95|101.85,2,10,1,
54,2000,Amb_Fire_Bonfire_01.ogg,7303.18|8022.00|100.58,2,10,1,
55,2000,Amb_Fire_Bonfire_01.ogg,7317.62|7999.79|101.64,2,10,1,
56,2000,Amb_Fire_Bonfire_01.ogg,7323.56|8045.98|103.51,2,10,1,
57,2000,Amb_Fire_Bonfire_01.ogg,7314.92|8056.24|103.69,2,10,1,
58,2000,Amb_Fire_Bonfire_01.ogg,7292.74|8012.38|100.96,2,10,1,
59,2000,Amb_Water_Waterfall_01.ogg,7311.06|8011.07|98.65,30,50,1,
60,2000,Amb_Water_Waterfall_01.ogg,7507.12|8071.86|99.62,40,60,1,
61,2000,Amb_Fire_Bonfire_01.ogg,7459.60|7300.80|84.27,2,10,1,
62,2000,Amb_Fire_Bonfire_01.ogg,7448.68|7310.12|84.03,2,10,1,
63,2000,Amb_Fire_Bonfire_01.ogg,7473.24|7297.93|86.29,2,10,1,
64,2000,Amb_Fire_Bonfire_01.ogg,7475.92|7303.81|86.60,2,10,1,
65,2000,Amb_Fire_Bonfire_01.ogg,7428.08|7260.54|77.77,2,10,1,
66,2000,Amb_Fire_Bonfire_01.ogg,7272.07|7361.46|90.22,2,10,1,
67,2000,Amb_Fire_Large_01.ogg,7286.01|7256.77|136.79,2,10,1,
68,2000,Amb_Fire_Bonfire_01.ogg,7267.23|7504.92|71.80,2,10,1,
69,2000,Amb_Fire_Bonfire_01.ogg,7267.67|7510.69|71.80,2,10,1,
70,2000,Amb_Fire_Bonfire_01.ogg,7250.86|7500.15|72.94,2,10,1,
71,2000,Amb_Fire_Bonfire_01.ogg,7234.54|7503.45|70.97,2,10,1,
72,2000,Amb_Fire_Bonfire_01.ogg,7233.83|7514.07|70.15,2,10,1,
73,2000,Amb_Water_Waterfall_01.ogg,7294.38|7565.34|65.04,18.75,37.5,1,
74,2000,Amb_Water_Waterfall_01.ogg,7243.26|7559.12|72.17,50,60,1,
75,2000,Amb_Water_Waterfall_01.ogg,7346.19|7571.78|57.21,30,60,1,
76,2000,Amb_Water_Waterfall_01.ogg,7385.90|7607.48|57.19,15,30,1,
77,2000,Amb_Water_Waterfall_01.ogg,7433.08|7592.00|71.94,18.75,37.5,1,
78,2000,Amb_Water_Waterfall_01.ogg,7482.42|7575.74|64.59,30,60,1,
79,2000,Amb_Water_Waterfall_01.ogg,7537.10|7562.33|72.99,30,60,1,
80,2000,Amb_Fire_Bonfire_01.ogg,6395.00|7522.09|125.74,2,10,1,
81,2000,Amb_Fire_Bonfire_01.ogg,6402.06|7528.06|127.00,2,10,1,
82,2000,Amb_Fire_Bonfire_01.ogg,6413.52|7521.75|126.10,2,10,1,
83,2000,Amb_Fire_Bonfire_01.ogg,6438.73|7533.06|134.83,2,10,1,
84,2000,Amb_Fire_Bonfire_01.ogg,6308.61|7550.13|130.23,2,10,1,
85,2000,Amb_Fire_Bonfire_01.ogg,6306.00|7566.06|131.89,2,10,1,
86,2000,Amb_Fire_Bonfire_01.ogg,6302.80|7533.53|128.96,2,10,1,
87,2000,Amb_Fire_Bonfire_01.ogg,6233.34|7611.38|131.55,2,10,1,
88,2000,Amb_Fire_Bonfire_01.ogg,6197.82|7414.31|118.79,2,10,1,
89,2000,Amb_Fire_Bonfire_01.ogg,6248.11|7253.50|106.12,2,10,1,
90,2000,Amb_Fire_Bonfire_01.ogg,6381.44|7304.42|114.58,2,10,1,
91,2000,Amb_Fire_Bonfire_01.ogg,6390.70|7319.49|114.73,2,10,1,
92,2000,Amb_Fire_Bonfire_01.ogg,6519.34|7223.67|100.82,2,10,1,
93,2000,Amb_Fire_Bonfire_01.ogg,6551.56|7306.72|106.51,2,10,1,
94,2000,Amb_Fire_Bonfire_01.ogg,6497.47|7524.77|119.67,2,10,1,
95,2000,Amb_Fire_Bonfire_01.ogg,6570.55|7457.04|128.05,2,10,1,
96,2000,Amb_Fire_Bonfire_01.ogg,6564.50|7426.80|127.06,2,10,1,
97,2000,Amb_Fire_Bonfire_01.ogg,6916.38|7445.42|137.07,2,10,1,
98,2000,Amb_Fire_Bonfire_01.ogg,6798.70|7456.85|137.11,2,10,1,
99,2000,Amb_Fire_Bonfire_01.ogg,6772.83|7452.17|133.59,2,10,1,
100,2000,Amb_Fire_Bonfire_01.ogg,6724.17|7458.93|133.32,2,10,1,
101,2000,Amb_Fire_Bonfire_01.ogg,6732.23|7468.53|133.31,2,10,1,
102,2000,Amb_Fire_Bonfire_01.ogg,6716.43|7467.89|133.43,2,10,1,
103,2000,Amb_Fire_Bonfire_01.ogg,6837.25|7583.69|144.89,2,10,1,
104,2000,Amb_Fire_Bonfire_01.ogg,6841.92|7594.72|144.12,2,10,1,
105,2000,Amb_Fire_Bonfire_01.ogg,6794.34|7591.11|144.36,2,10,1,
106,2000,Amb_Fire_Bonfire_01.ogg,6895.81|6897.77|100.00,2,10,1,
107,2000,Amb_Fire_Bonfire_01.ogg,6904.32|6894.24|98.62,2,10,1,
108,2000,Amb_Fire_Bonfire_01.ogg,6904.00|6902.16|98.58,2,10,1,
109,2000,Amb_Fire_Bonfire_01.ogg,6906.56|6924.27|99.38,2,10,1,
110,2000,Amb_Fire_Bonfire_01.ogg,6913.66|6915.83|99.53,2,10,1,
111,2000,Amb_Fire_Bonfire_01.ogg,6921.37|6908.77|99.94,2,10,1,
112,2000,Amb_Fire_Bonfire_01.ogg,6886.08|6921.29|99.77,2,10,1,
113,2000,Amb_Fire_Bonfire_01.ogg,7092.85|6876.14|99.48,2,10,1,
114,2000,Amb_Fire_Bonfire_01.ogg,6811.86|7043.91|103.93,2,10,1,
115,2000,Amb_Fire_Bonfire_01.ogg,6817.51|7037.97|106.24,2,10,1,
116,2000,Amb_Fire_Bonfire_01.ogg,6801.19|7075.98|101.75,2,10,1,
117,2000,Amb_Fire_Bonfire_01.ogg,7382.17|7032.51|110.50,2,10,1,
118,2000,Amb_Fire_Bonfire_01.ogg,7368.68|7034.03|111.32,2,10,1,
119,2000,Amb_Fire_Bonfire_01.ogg,7348.08|7110.18|111.36,2,10,1,
120,2000,Amb_Fire_Bonfire_01.ogg,7622.04|6899.86|109.53,2,10,1,
121,2000,Amb_Fire_Bonfire_01.ogg,7620.25|6891.27|109.36,2,10,1,
122,2000,Amb_Fire_Bonfire_01.ogg,7643.16|6908.98|106.29,2,10,1,
123,2000,Amb_Fire_Bonfire_01.ogg,7641.75|6926.19|107.22,2,10,1,
124,2000,Amb_Fire_Bonfire_01.ogg,7410.16|6984.58|108.60,2,10,1,
125,4400,Amb_Fire_Bonfire_01.ogg,208.24|133.29|96.59,2,10,1,
126,4400,Amb_Fire_Bonfire_01.ogg,414.26|167.09|81.36,2,10,1,
127,4400,Amb_Fire_Bonfire_01.ogg,379.10|179.10|81.52,2,10,1,
128,4400,Amb_Fire_Bonfire_01.ogg,428.78|237.50|84.34,2,10,1,
129,4400,Amb_Fire_Bonfire_01.ogg,404.41|228.82|81.37,2,10,1,
130,4400,Amb_Fire_Bonfire_01.ogg,259.13|234.48|86.38,2,10,1,
131,4400,Amb_Fire_Bonfire_01.ogg,228.32|260.79|86.55,2,10,1,
132,4400,Amb_Fire_Bonfire_01.ogg,211.03|233.00|86.09,2,10,1,
133,4400,Amb_Fire_Bonfire_01.ogg,163.58|347.10|104.87,2,10,1,
134,4400,Amb_Fire_Bonfire_01.ogg,120.98|374.00|102.81,2,10,1,
135,4400,Amb_Fire_Bonfire_01.ogg,166.72|390.55|102.95,2,10,1,
136,4400,Amb_Fire_Bonfire_01.ogg,320.93|383.13|110.86,2,10,1,
137,4400,Amb_Fire_Bonfire_01.ogg,325.09|360.99|111.05,2,10,1,
138,4400,Amb_Fire_Bonfire_01.ogg,347.62|361.35|111.41,2,10,1,
139,4410,Amb_Fire_Bonfire_01.ogg,239.23|75.96|2.27,2,10,1,
140,4410,Amb_Fire_Bonfire_01.ogg,240.15|70.01|2.25,2,10,1,
141,4410,Amb_Fire_Bonfire_01.ogg,290.37|84.39|2.29,2,10,1,
142,4410,Amb_Fire_Bonfire_01.ogg,290.48|79.48|2.90,2,10,1,
143,4410,Amb_Fire_Bonfire_01.ogg,400.55|162.82|5.39,2,10,1,
144,4410,Amb_Fire_Bonfire_01.ogg,404.16|167.06|5.13,2,10,1,
145,4410,Amb_Fire_Bonfire_01.ogg,376.16|186.55|5.51,2,10,1,
146,4410,Amb_Fire_Bonfire_01.ogg,378.72|190.87|4.91,2,10,1,
147,4410,Amb_Water_Waterfall_01.ogg,360.31|237.81|3.09,15,30,1,
148,4410,Amb_Water_Waterfall_01.ogg,347.44|264.47|2.48,7.5,15,1,
149,4410,Amb_Water_Waterfall_01.ogg,314.33|261.57|-0.96,11.25,22.5,1,
150,4410,Amb_Water_Waterfall_01.ogg,336.84|196.85|1.86,11.25,22.5,1,
151,4410,Amb_Water_Waterfall_01.ogg,295.31|238.89|-0.79,7.5,15,1,
152,4410,Amb_Water_Waterfall_01.ogg,204.62|323.17|-4.43,7.5,15,1,
153,4410,Amb_Water_Waterfall_01.ogg,222.05|301.89|-4.80,7.5,15,1,
154,4410,Amb_Water_Waterfall_01.ogg,193.07|285.92|-3.89,15,30,1,
155,4410,Amb_Water_Waterfall_01.ogg,358.77|403.16|-0.47,20,50,1,
156,4410,Amb_Water_Waterfall_01.ogg,243.21|158.30|10.68,15,30,1,
157,4410,Amb_Water_Waterfall_01.ogg,258.60|124.18|13.79,18.75,37.5,1,
158,4410,Amb_Water_Waterfall_01.ogg,264.20|78.59|14.17,15,30,1,
159,4410,Amb_Water_Waterfall_01.ogg,267.28|40.88|7.93,15,30,1,
160,4410,Amb_Water_Waterfall_01.ogg,337.87|146.83|-2.36,30,60,1,
161,4410,Amb_Water_Waterfall_01.ogg,392.62|176.66|3.08,15,30,1,
162,4410,Amb_Water_Waterfall_01.ogg,437.28|220.44|-0.49,30,60,1,
163,4420,Amb_Water_Waterfall_01.ogg,128.25|107.74|-20.79,15,30,1,
164,4420,Amb_Water_Waterfall_01.ogg,80.70|153.06|-21.28,15,30,1,
165,4420,Amb_Water_Waterfall_01.ogg,95.50|187.86|-26.98,15,30,1,
166,4420,Amb_Water_Waterfall_01.ogg,194.52|133.06|-27.39,18.75,37.5,1,
167,4420,Amb_Water_Waterfall_01.ogg,233.61|147.62|-20.96,15,30,1,
168,4420,Amb_Water_Waterfall_01.ogg,106.42|44.15|-24.07,18.75,37.5,1,
169,4420,Amb_Water_Waterfall_01.ogg,68.78|63.49|-16.07,15,30,1,
170,2501,Amb_Fire_Large_01.ogg,260.08|259.78|176.25,26.25,52.5,1,
171,2501,Amb_Fire_Bonfire_01.ogg,241.96|94.63|144.21,2,10,1,
172,2501,Amb_Fire_Bonfire_01.ogg,275.80|94.20|143.85,2,10,1,
173,2501,Amb_Fire_Bonfire_01.ogg,277.87|122.77|144.34,2,10,1,
174,2501,Amb_Fire_Bonfire_01.ogg,299.75|122.38|144.13,2,10,1,
175,2501,Amb_Fire_Bonfire_01.ogg,316.28|122.63|144.34,2,10,1,
176,2501,Amb_Fire_Bonfire_01.ogg,244.83|122.07|143.70,2,10,1,
177,2501,Amb_Fire_Bonfire_01.ogg,225.58|122.69|143.71,2,10,1,
178,2501,Amb_Fire_Bonfire_01.ogg,203.38|122.48|143.36,2,10,1,
179,2501,Amb_Fire_Bonfire_01.ogg,297.97|160.79|153.73,2,10,1,
180,2501,Amb_Fire_Bonfire_01.ogg,285.03|160.97|153.60,2,10,1,
181,2501,Amb_Fire_Bonfire_01.ogg,237.07|160.72|153.63,2,10,1,
182,2501,Amb_Fire_Bonfire_01.ogg,220.19|160.99|154.25,2,10,1,
183,2501,Amb_Fire_Bonfire_01.ogg,116.04|245.20|143.85,2,10,1,
184,2501,Amb_Fire_Bonfire_01.ogg,115.39|285.95|144.55,2,10,1,
185,2501,Amb_Fire_Bonfire_01.ogg,115.70|275.64|143.76,2,10,1,
186,2501,Amb_Fire_Bonfire_01.ogg,85.25|277.73|144.10,2,10,1,
187,2501,Amb_Fire_Bonfire_01.ogg,85.04|242.81|143.64,2,10,1,
188,2501,Amb_Fire_Bonfire_01.ogg,113.52|389.92|143.80,2,10,1,
189,2501,Amb_Fire_Bonfire_01.ogg,122.22|436.49|144.56,2,10,1,
190,2501,Amb_Fire_Bonfire_01.ogg,205.48|308.73|173.67,2,10,1,
191,2501,Amb_Fire_Bonfire_01.ogg,258.91|331.48|174.71,2,10,1,
192,2501,Amb_Fire_Bonfire_01.ogg,193.42|241.55|174.20,2,10,1,
193,2501,Amb_Fire_Bonfire_01.ogg,193.29|283.16|175.13,2,10,1,
194,2501,Amb_Fire_Bonfire_01.ogg,307.80|318.79|174.95,2,10,1,
195,2501,Amb_Fire_Bonfire_01.ogg,326.34|282.17|174.20,2,10,1,
196,2501,Amb_Fire_Bonfire_01.ogg,326.38|240.36|174.66,2,10,1,
197,2501,Amb_Fire_Bonfire_01.ogg,394.60|241.07|154.17,2,10,1,
198,2501,Amb_Fire_Bonfire_01.ogg,394.55|277.82|153.11,2,10,1,
199,2501,Amb_Fire_Bonfire_01.ogg,436.65|276.12|143.99,2,10,1,
200,2501,Amb_Fire_Bonfire_01.ogg,418.34|277.02|144.11,2,10,1,
201,2501,Amb_Fire_Bonfire_01.ogg,417.67|243.00|143.50,2,10,1,
202,2501,Amb_Fire_Bonfire_01.ogg,417.80|233.64|144.28,2,10,1,
203,2501,Amb_Fire_Bonfire_01.ogg,436.74|244.64|144.08,2,10,1,
204,2501,Amb_Fire_Bonfire_01.ogg,141.74|274.90|153.09,2,10,1,
205,2501,Amb_Fire_Bonfire_01.ogg,88.37|307.79|143.56,2,10,1,
206,2501,Amb_Fire_Bonfire_01.ogg,112.68|307.09|144.29,2,10,1,
207,2501,Amb_Fire_Bonfire_01.ogg,347.50|191.37|153.82,2,10,1,
208,2501,Amb_Fire_Bonfire_01.ogg,331.49|176.17|153.68,2,10,1,
209,2501,Amb_Fire_Bonfire_01.ogg,383.10|166.30|133.87,2,10,1,
210,2501,Amb_Fire_Bonfire_01.ogg,354.21|138.13|134.14,2,10,1,
211,2000,Amb_Fire_Large_01.ogg,1802.25|4780.17|76.71,2,10,1,
212,2000,Amb_Fire_Large_01.ogg,1800.64|4764.41|74.85,2,10,1,
213,2000,Amb_Fire_Large_01.ogg,1759.21|4748.72|69.07,2,10,1,
214,2000,Amb_Fire_Large_01.ogg,1746.18|4748.62|69.73,2,10,1,
215,2000,Amb_Fire_Large_01.ogg,1738.96|4748.56|69.90,2,10,1,
216,2000,Amb_Fire_Large_01.ogg,1716.05|4754.66|69.68,2,10,1,
217,2000,Amb_Fire_Large_01.ogg,1716.20|4760.42|69.69,2,10,1,
218,2000,Amb_Fire_Bonfire_01.ogg,1731.12|4764.48|77.19,2,10,1,
219,2000,Amb_Fire_Bonfire_01.ogg,1722.33|4770.51|82.64,2,10,1,
220,2000,Amb_Fire_Bonfire_01.ogg,1726.34|4736.58|82.66,2,10,1,
221,2000,Amb_Fire_Large_01.ogg,1818.55|4767.79|75.22,2,10,1,
222,2000,Amb_Fire_Large_01.ogg,1818.39|4774.58|75.10,2,10,1,
223,2000,Amb_Fire_Bonfire_01.ogg,1813.66|4787.11|86.52,2,10,1,
224,2000,Amb_Fire_Bonfire_01.ogg,1812.75|4759.25|84.43,2,10,1,
225,2000,Amb_Fire_Large_01.ogg,1960.67|4997.97|138.36,2,10,1,
226,2000,Amb_Fire_Large_01.ogg,1972.11|5025.62|141.65,2,10,1,
227,2000,Amb_Fire_Large_01.ogg,1959.30|5045.79|139.54,2,10,1,
228,2000,Amb_Fire_Large_01.ogg,1715.84|5060.95|68.79,2,10,1,
229,2000,Amb_Fire_Large_01.ogg,1709.67|5075.48|72.61,2,10,1,
230,2000,Amb_Fire_Large_01.ogg,1594.43|5062.08|75.79,2,10,1,
231,2000,Amb_Fire_Large_01.ogg,1605.51|5045.16|75.43,2,10,1,
232,2000,Amb_Fire_Large_01.ogg,1586.05|4944.29|70.79,2,10,1,
233,2000,Amb_Fire_Large_01.ogg,1603.14|4921.74|71.21,2,10,1,
234,2000,Amb_Fire_Large_01.ogg,1603.36|4835.41|68.19,2,10,1,
235,2000,Amb_Fire_Large_01.ogg,1586.34|4810.65|79.79,2,10,1,
236,2000,Amb_Fire_Large_01.ogg,1563.45|4801.07|80.27,2,10,1,
237,2000,Amb_Fire_Large_01.ogg,1725.80|4656.70|79.40,2,10,1,
238,2000,Amb_Fire_Large_01.ogg,1743.98|4648.19|69.63,2,10,1,
239,2000,Amb_Fire_Large_01.ogg,1739.44|4651.67|69.68,2,10,1,
240,2000,Amb_Fire_Large_01.ogg,1740.02|4633.61|69.91,2,10,1,
241,2000,Amb_Fire_Large_01.ogg,1748.01|4629.23|70.27,2,10,1,
242,2000,Amb_Fire_Large_01.ogg,1724.80|4640.06|70.13,2,10,1,
243,2000,Amb_Fire_Large_01.ogg,1867.15|4650.11|66.64,2,10,1,
244,2000,Amb_Fire_Large_01.ogg,1929.65|4649.85|69.73,2,10,1,
245,2000,Amb_Fire_Large_01.ogg,1626.93|4656.17|73.01,2,10,1,
246,2000,Amb_Fire_Large_01.ogg,1648.97|4668.58|70.86,2,10,1,
247,2000,Amb_Fire_Large_01.ogg,1559.39|4652.98|88.80,2,10,1,
248,2000,Amb_Fire_Large_01.ogg,1782.03|5301.94|73.15,2,10,1,
249,2000,Amb_Fire_Large_01.ogg,1764.41|5284.32|70.20,2,10,1,
250,2000,Amb_Fire_Large_01.ogg,1771.69|5281.37|70.24,2,10,1,
251,2000,Amb_Fire_Large_01.ogg,1777.48|5286.77|70.51,2,10,1,
252,2000,Amb_Fire_Large_01.ogg,1746.17|5277.23|70.51,2,10,1,
253,2000,Amb_Fire_Large_01.ogg,1748.15|5309.20|73.43,2,10,1,
254,2000,Amb_Fire_Large_01.ogg,1777.72|5319.33|73.20,2,10,1,
255,2000,Amb_Fire_Large_01.ogg,1882.84|5287.35|69.15,2,10,1,
256,2000,Amb_Fire_Large_01.ogg,1905.75|5284.98|69.11,2,10,1,
257,2000,Amb_Fire_Large_01.ogg,1700.60|5380.65|84.16,2,10,1,
258,2000,Amb_Fire_Large_01.ogg,1707.18|5365.18|85.10,2,10,1,
259,2000,Amb_Fire_Large_01.ogg,1636.62|5363.27|87.58,2,10,1,
260,2000,Amb_Fire_Large_01.ogg,1637.91|5354.89|88.15,2,10,1,
261,2000,Amb_Fire_Large_01.ogg,1631.36|5341.96|87.95,2,10,1,
262,2000,Amb_Fire_Large_01.ogg,1616.76|5340.00|87.67,2,10,1,
263,2000,Amb_Fire_Large_01.ogg,1619.31|5354.79|88.25,2,10,1,
264,2000,Amb_Fire_Large_01.ogg,1615.30|5376.19|90.49,2,10,1,
265,2000,Amb_Fire_Large_01.ogg,1629.72|5378.77|90.02,2,10,1,
266,2000,Amb_Fire_Large_01.ogg,1869.38|5489.13|74.23,2,10,1,
267,2000,Amb_Fire_Large_01.ogg,1866.96|5517.37|74.23,2,10,1,
268,2000,Amb_Fire_Large_01.ogg,1851.22|5541.79|74.57,2,10,1,
269,2000,Amb_Fire_Large_01.ogg,1903.43|5532.78|78.08,2,10,1,
270,2000,Amb_Fire_Large_01.ogg,1924.88|5567.34|82.96,2,10,1,
271,2000,Amb_Fire_Large_01.ogg,1900.58|5474.25|73.67,2,10,1,
272,2000,Amb_Fire_Large_01.ogg,1925.62|5494.22|77.79,2,10,1,
273,2000,Amb_Fire_Large_01.ogg,1954.74|5510.23|80.07,2,10,1,
274,2000,Amb_Fire_Large_01.ogg,1983.08|5502.26|81.89,2,10,1,
275,2000,Amb_Fire_Large_01.ogg,1964.35|5551.09|86.23,2,10,1,
276,2000,Amb_Fire_Large_01.ogg,1985.62|5541.76|86.61,2,10,1,
277,2000,Amb_Fire_Large_01.ogg,1975.29|5456.59|78.29,2,10,1,
278,2000,Amb_Fire_Large_01.ogg,1932.82|5434.84|74.43,2,10,1,
279,2000,Amb_Fire_Large_01.ogg,1913.99|5450.19|74.26,2,10,1,
280,2000,Amb_Fire_Large_01.ogg,1711.19|5456.11|68.72,2,10,1,
281,2000,Amb_Fire_Large_01.ogg,1740.66|5577.39|73.02,2,10,1,
282,2000,Amb_Fire_Large_01.ogg,1739.19|5570.04|73.30,2,10,1,
283,2000,Amb_Fire_Large_01.ogg,1728.46|5564.37|73.16,2,10,1,
284,2000,Amb_Fire_Large_01.ogg,1717.81|5564.53|73.40,2,10,1,
285,2000,Amb_Fire_Large_01.ogg,1707.81|5573.72|73.23,2,10,1,
286,2000,Amb_Fire_Large_01.ogg,1704.77|5564.90|73.00,2,10,1,
287,2000,Amb_Fire_Large_01.ogg,1695.27|5569.32|73.07,2,10,1,
288,2000,Amb_Fire_Large_01.ogg,1691.97|5580.66|72.85,2,10,1,
289,2000,Amb_Fire_Large_01.ogg,1983.92|5489.92|79.43,11.25,22.5,1,
290,2000,Amb_Fire_Large_01.ogg,1985.62|5472.60|81.06,11.25,22.5,1,
291,2000,Amb_Fire_Large_01.ogg,1953.05|5364.39|61.36,2,10,1,
292,2000,Amb_Fire_Large_01.ogg,1905.95|5497.91|78.65,11.25,22.5,1,
293,2000,Amb_Fire_Large_01.ogg,1922.58|5511.68|81.70,11.25,22.5,1,
294,2000,Amb_Fire_Large_01.ogg,1610.92|5305.12|68.47,7.5,15,1,
295,2000,Amb_Fire_Large_01.ogg,1589.37|5297.31|63.94,7.5,15,1,
296,2000,Amb_Fire_Large_01.ogg,1619.93|5255.05|67.89,7.5,15,1,
297,2000,Amb_Fire_Large_01.ogg,1598.72|5246.89|75.01,7.5,15,1,
298,2000,Amb_Fire_Large_01.ogg,1589.52|5277.68|64.65,2,10,1,
299,2000,Amb_Fire_Large_01.ogg,1594.29|5214.22|81.64,2,10,1,
300,2000,Amb_Fire_Large_01.ogg,1616.75|5206.73|82.18,2,10,1,
301,2000,Amb_Fire_Large_01.ogg,1582.07|5435.56|67.00,2,10,1,
302,2000,Amb_Fire_Large_01.ogg,1379.60|4685.79|58.97,2,10,1,
303,2000,Amb_Fire_Large_01.ogg,1384.58|4695.32|58.54,2,10,1,
304,2000,Amb_Fire_Large_01.ogg,1394.97|4690.13|58.43,2,10,1,
305,2000,Amb_Fire_Large_01.ogg,1386.51|4681.83|58.92,2,10,1,
306,2000,Amb_Fire_Large_01.ogg,1198.78|4920.16|71.26,7.5,15,1,
307,2000,Amb_Fire_Large_01.ogg,1181.15|4909.70|70.55,7.5,15,1,
308,2000,Amb_Fire_Large_01.ogg,1181.27|4934.07|70.62,7.5,15,1,
309,2000,Amb_Fire_Large_01.ogg,1182.89|4957.92|70.44,7.5,15,1,
310,2000,Amb_Fire_Large_01.ogg,1181.58|4978.77|70.15,7.5,15,1,
