TID,Comment,WeaponType,SkillTID,DX2,DY2,NextTID
111,被污染的箭（1阶段）,4,9061,291,22,
112,碎片陷阱（1阶段）,4,9111,381,22,
113,慎重的箭（1阶段）,4,9151,471,22,
114,精神打击（1阶段）,4,9041,561,22,
115,安全距离（1阶段）,4,9101,651,22,
116,目标预测（1阶段）,4,9051,21,22,
117,箭头的破坏（1阶段）,4,9141,291,202,
118,猎人的陷阱（1阶段）,4,9181,381,202,
119,掩人耳目的箭（1阶段）,4,9171,561,202,
120,敏捷的行动（1阶段）,4,9091,21,112,
121,致命的箭（1阶段）,4,9411,111,292,
122,陷阱毒液（1阶段）,4,9501,291,292,
123,精确的箭（1阶段）,4,9471,381,292,
124,箭耗尽（1阶段）,4,9231,471,292,
125,睡眠箭（1阶段）,4,9081,561,292,
126,祝福破坏（1阶段）,4,9221,651,292,
127,劣势采集（1阶段）,4,9131,21,202,
128,毒箭（1阶段）,4,9421,111,382,
129,快速手部动作（1阶段）,4,9201,201,382,
130,刺客的陷阱（1阶段）,4,9531,291,382,
131,公司承诺（1阶段）,4,9271,561,382,
132,路径预测（1阶段）,4,9391,21,472,
133,箭头之死（1阶段）,4,9451,111,472,
134,精准箭（1阶段）,4,9291,201,472,
135,陷阱枷锁（1阶段）,4,9241,291,472,
136,睡眠的陷阱（1阶段）,4,9311,381,472,
137,护甲穿透（1阶段）,4,9331,471,472,
138,分裂箭（1阶段）,4,9561,561,472,
139,非常准备（1阶段）,4,9341,651,472,
140,敏捷的动作（1阶段）,4,9401,21,562,
141,痛苦的箭 (1阶段),4,9361,201,562,
142,箭费 (1阶段),4,9371,381,562,
143,魔力交换 (1阶段),4,9381,651,562,
144,解除以上状态 (1阶段),4,9571,21,382,
145,基础攻击,8,12011,111,22,
146,黑暗气息（1阶段）,8,12041,201,22,
147,诅咒的火焰（1阶段）,8,12071,291,22,
148,淡淡的痛（1阶段）,8,12031,381,22,
149,缓慢的诅咒（1阶段）,8,12061,561,22,
150,湮灭（1阶段）,8,12101,651,22,
151,认真考虑（1阶段）,8,12051,21,22,
152,清醒的眼睛（1阶段）,8,12091,21,112,
153,法力之触（1阶段）,8,12131,21,202,
154,魔鬼燃烧（1阶段）,8,12111,201,202,
155,灵魂冲击（1阶段）,8,12161,291,202,
156,彻底解放（1阶段）,8,12181,471,202,
157,移动层次（1阶段）,8,12221,651,202,
158,黑暗吐息（1阶段）,8,12421,111,292,
159,火圈（1阶段）,8,12191,201,292,
160,穿透痛（1阶段,8,12491,381,292,
161,魔力循环（1阶段）,8,12141,561,292,
162,堕落的燃烧（1阶段）,8,12441,111,382,
163,地狱燃烧（1阶段）,8,12501,201,382,
164,黑暗的雨（1阶段）的比率,8,12251,291,382,
165,湍流的魔力（1阶段）,8,12231,381,292,
166,打击（1阶段）,8,12201,561,382,
167,时间的折射（1阶段）,8,12261,651,382,
168,精密的考察,8,12401,21,472,
169,灵魂分裂（1阶段）,8,12471,111,472,
170,环熔岩（1阶段）,8,12521,201,472,
171,魔术呼吸（1阶段）,8,12291,381,472,
172,法力冲击（1阶段）,8,12321,471,472,
173,贤者（1阶段）,8,12271,561,472,
174,快速的智慧（1阶段）,8,12311,651,472,
175,清醒的眼睛（1阶段）,8,12411,21,562,
176,灾难的雨（1阶段）,8,12541,291,562,
177,混沌力（1阶段）,8,12341,381,562,
178,疾风（1阶段）,8,12361,561,562,
179,内心世界（1阶段）,8,12381,651,562,
180,解除以上状态（1阶段）,8,12561,21,382,
181,马坦枪基本攻击,9,24011,111,22,
182,快速射击（1阶段）,9,24041,201,22,
183,锐利射击（1阶段）,9,24071,291,22,
184,碎片射击（1阶段）,9,24031,381,22,
185,套索子弹（1阶段）,9,24061,561,22,
186,记住操作（1阶段）,9,24101,651,22,
187,智力训练（1阶段）,9,24051,21,22,
188,清醒的判断（1阶段）,9,24091,21,112,
189,法力爆发（1阶段）,9,24131,21,202,
190,破坏性穿透射击（1阶段）,9,24111,201,202,
191,冲击马坦（1阶段）,9,24161,291,202,
192,生存子弹（1阶段）,9,24181,471,202,
193,瞬间移动（1阶段）,9,24221,651,202,
194,快速射击（1阶段）,9,24421,111,292,
195,旋转弹幕（1阶段）,9,24191,201,292,
196,破裂射击1阶段）,9,24491,381,292,
197,魔力循环子弹（1阶段）,9,24141,561,292,
198,无情大火（1阶段）,9,24441,111,382,
199,穿透连拍（1阶段）,9,24501,201,382,
200,马坦枪风暴（1阶段）,9,24251,291,382,
201,灵巧的射击（1阶段）,9,24231,381,292,
202,子弹罢工（1阶段）,9,24201,561,382,
203,初始化（1阶段）,9,24261,651,382,
204,精神修炼（1阶段）,9,24401,21,472,
205,马坦晕厥（1阶段）,9,24471,111,472,
206,螺旋弹幕（1阶段）,9,24521,201,472,
207,精准射击（1阶段）,9,24291,381,472,
208,震弹（1阶段）,9,24321,471,472,
209,子弹圣人（1阶段）,9,24271,561,472,
210,加速链条（1阶段）,9,24311,651,472,
211,清醒的判断（1阶段）,9,24411,21,562,
212,马坦飓风（1阶段）,9,24541,291,562,
213,速射马坦（1阶段）,9,24341,381,562,
214,子弹乱舞（1阶段）,9,24361,561,562,
215,加强体（1阶段）,9,24381,651,562,
216,解除以上状态（1阶段）,9,24561,21,382,
217,单手剑基本攻击,10,27011,111,22,
218,可能斜杠（1阶段）,10,27031,201,22,
219,肌腱切断（1阶段）,10,27071,291,22,
220,愤怒的打击（1阶段）,10,27041,381,22,
221,挑衅呐喊（1阶段）,10,27131,471,22,
222,桥式切（1阶段）,10,27061,561,22,
223,投船缆（1阶段）,10,27101,651,22,
224,强大的体能（1阶段）,10,27051,21,22,
225,顺劈斩（1阶段）,10,27141,291,202,
226,愤怒的呐喊（1阶段）,10,27181,381,202,
227,铁壁盾牌（1阶段）,10,27191,561,202,
228,再生灯（1阶段）,10,27261,651,202,
229,狠狠的防卫（1阶段）,10,27091,21,112,
230,破甲战（1阶段）,10,27441,111,292,
231,愤怒的罢工（1阶段）,10,27411,291,292,
232,十字斩（1阶段）,10,27161,381,292,
233,希尔兹行程（1阶段）,10,27201,471,292,
234,牺牲精神（1阶段）,10,27311,561,292,
235,呼叫守卫（1阶段）,10,27151,21,202,
236,破甲筋（1阶段）,10,27461,111,382,
237,盾击（1阶段）,10,27221,201,382,
238,邪恶的吸收（1阶段）,10,27281,291,382,
239,挥舞盾牌（1阶段）,10,27211,471,382,
240,固体耐力（1阶段）,10,27391,21,472,
241,破甲旋转（1阶段）,10,27481,111,472,
242,交加的刀片（1阶段）,10,27251,201,472,
243,切断十字（1阶段）,10,27421,381,472,
244,刀片的枷锁（1阶段）,10,27321,471,472,
245,天佑（1阶段）,10,27241,561,472,
246,最后一道防线（1阶段）,10,27331,651,472,
247,稳固的防守（1阶段）,10,27401,21,562,
248,强攻斜线（1阶段）,10,27301,201,562,
249,爆炸英雄（1阶段）,10,27341,291,562,
250,音波冲击（1阶段）,10,27361,471,562,
251,阴影捕获（1阶段）,10,27371,651,562,
252,解除以上状态（1阶段）,10,27501,21,382,
253,双手剑基础攻击,11,30011,111,22,
254,中心切口（1阶段）,11,30031,201,22,
255,斩伤（1阶段）,11,30081,291,22,
256,疾风侵入（1阶段）,11,30071,381,22,
257,威胁一击（1阶段）,11,30041,471,22,
258,破折号（1阶段）,11,30111,651,22,
259,力量训练（1阶段）,11,30061,21,22,
260,灵魂吸取（1阶段）,11,30171,291,202,
261,刀风切（1阶段）,11,30151,381,202,
262,破坏脚后跟（1阶段）,11,30191,561,202,
263,风速（1阶段）,11,30181,651,202,
264,野蛮执法（1阶段）,11,30101,21,112,
265,破甲中心（1阶段）,11,30391,111,292,
266,爆炸斜杠（1阶段）,11,30201,381,292,
267,乱舞破甲（1阶段）,11,30481,291,292,
268,威胁的判断（1阶段）,11,30461,471,292,
269,抗冲击能力强（1阶段）,11,30131,561,292,
270,坚强的意志（1阶段）,11,30211,651,292,
271,力量呼吁（1阶段）,11,30141,21,202,
272,伤口破甲（1阶段）,11,30411,111,382,
273,承诺打击（1阶段）,11,30231,201,382,
274,真空顺劈斩（1阶段）,11,30251,381,382,
275,风刀破甲（1阶段）,11,30501,291,382,
276,地面冲击（1阶段）,11,30271,471,382,
277,水龙卷斩（1阶段）,11,30241,561,382,
278,健身（1阶段）,11,30371,21,472,
279,灵魂破甲（1阶段）,11,30441,111,472,
280,干扰攻击（1阶段）,11,30281,201,472,
281,爆炸破甲（1阶段）,11,30521,291,472,
282,死亡剑器（1阶段）,11,30291,561,472,
283,能量吸收（1阶段）,11,30301,651,472,
284,严重的实施者（1阶段）,11,30381,21,562,
285,心脏打击（1阶段）,11,30321,201,562,
286,回转（1阶段）,11,30311,291,562,
287,血性狂暴（1阶段）,11,30341,651,562,
288,解除以上状态（1阶段）,11,30541,21,382,
289,石弓的基本攻击,12,33011,111,22,
290,利箭（1阶段）,12,33031,201,22,
291,破坏箭（1阶段）,12,33061,291,22,
292,陷阱伤口（1阶段）,12,33111,381,22,
293,仔细瞄准（1阶段）,12,33151,471,22,
294,断筋（1阶段）,12,33041,561,22,
295,拉开距离（1阶段）,12,33101,651,22,
296,对焦对焦（1阶段）,12,33051,21,22,
297,致命的箭（1阶段）,12,33141,291,202,
298,刀片陷阱（1阶段）,12,33181,381,202,
299,招数箭（1阶段）,12,33171,561,202,
300,灵巧的动作（1阶段）,12,33091,21,112,
301,锋利的箭（1阶段）,12,33411,111,292,
302,陷阱出血（1阶段）,12,33501,291,292,
303,精确瞄准（1阶段）,12,33471,381,292,
304,法力破坏（1阶段）,12,33231,471,292,
305,梦想箭（1阶段）,12,33081,561,292,
306,破坏庇佑（1阶段）,12,33221,651,292,
307,愤怒的喊声（1阶段）,12,33131,21,202,
308,强破坏箭（1阶段）,12,33421,111,382,
309,螺旋箭（1阶段）,12,33201,201,382,
310,死亡陷阱（1阶段）,12,33531,291,382,
311,灵魂的眼睛（1阶段）,12,33271,561,382,
312,集中目标（1阶段）,12,33391,21,472,
313,湮灭的箭（1阶段）,12,33451,111,472,
314,钩箭（1阶段）,12,33291,201,472,
315,混乱的陷阱（1阶段）,12,33241,291,472,
316,陷阱诅咒（1阶段）,12,33311,381,472,
317,穿刺箭（1阶段）,12,33331,471,472,
318,血蒸发（1阶段）,12,33561,561,472,
319,瞄准准备准备（1阶段）,12,33341,651,472,
320,快速行动（1阶段）,12,33401,21,562,
321,疾风箭（1阶段）,12,33361,201,562,
322,乱射箭（1阶段）,12,33371,381,562,
323,知识交流（1阶段）,12,33381,651,562,
324,解除以上状态（1阶段）,12,33571,21,382,
325,靶箭基本攻击,13,36011,111,22,
326,冰碎块 （1阶段）,13,36031,201,22,
327,冰霜冲击（1阶段）,13,36061,291,22,
328,复苏之触（1阶段）,13,36041,381,22,
329,治疗之触（1阶段）,13,36081,471,22,
330,赎罪（1阶段）,13,36101,651,22,
331,内对焦（1阶段）,13,36051,21,22,
332,邪恶的寒气（1阶段）,13,36171,111,202,
333,刻骨个寒气（1阶段）,13,36131,291,202,
334,快速恢复（1阶段）,13,36111,471,202,
335,苦恼（1阶段）,13,36151,561,202,
336,心理训练（1阶段）,13,36091,21,112,
337,刺骨的寒冷（1阶段）,13,36421,111,292,
338,回收的救赎（1阶段）,13,36141,291,292,
339,复苏之触（1阶段）,13,36481,381,292,
340,赞歌疗伤（1阶段,13,36161,471,292,
341,重生之光 (1阶段),13,36521,561,292,
342,不死（1阶段）,13,36191,651,292,
343,生活愿望（1阶段）,13,36121,21,202,
344,寒气碎片（1阶段）,13,36441,111,382,
345,天工触摸（1阶段）,13,36501,291,382,
346,恢复增强（1阶段）,13,36351,561,382,
347,危机救援（1阶段）,13,36251,651,382,
348,灵魂的浓度（1阶段）,13,36391,21,472,
349,结冰之霜（1阶段）,13,36461,111,472,
350,火焰幽怨（1阶段）,13,36281,201,472,
351,拯救治疗（1阶段）,13,36221,381,472,
352,救援赞歌（1阶段）,13,36231,471,472,
353,复活（1阶段）,13,36411,561,472,
354,火焰风暴（1阶段）,13,36261,651,472,
355,冥想训练（1阶段）,13,36401,21,562,
356,混沌火焰（1阶段）,13,36331,201,562,
357,救赎之光（1阶段）,13,36311,291,562,
358,精神错乱（1阶段）,13,36301,381,562,
359,魔法治疗（1阶段）,13,36361,561,562,
360,解除以上状态（1阶段）,13,36541,21,382,
