TID,Comment,Group,CashRate,GhelldRate,Quality,STR,CON,WIS,MEN,AGI,HPFixed,HPR,HPRBuff,MPFixed,MPR,MPRBuff,POPMin,POPMax,MOPMin,MOPMax,PD,MD,AP,DP,BP,CP,IGN_AT,PvP_AT,PvP_DF,AS,RS,CS
20,一般_分身_盔甲_交易10,2,10000,10000,2,4,0,0,0,0,0,0,6,0,12,0,0,0,0,0,257,0,0,0,0,0,0,0,0,0,0,0
21,一般_分身_手套_交易1,3,1500,1584,0,0,0,0,0,0,0,0,0,75,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,一般_分身_手套_交易2,3,3000,3168,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0
23,一般_分身_手套_交易3,3,4500,4752,0,0,4,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,一般_分身_手套_交易4,3,6000,6336,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0
25,一般_分身_手套_交易5,3,7500,7920,0,0,4,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,一般_分身_手套_交易6,3,8800,9504,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0
27,一般_分身_手套_交易7,3,9200,9668,1,0,0,0,0,0,0,0,0,75,13,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0
28,一般_分身_手套_交易8,3,9600,9832,1,0,4,0,0,0,0,0,0,75,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,一般_分身_手套_交易9,3,9950,9996,1,0,4,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0
30,一般_分身_手套_交易10,3,10000,10000,2,0,4,0,0,0,0,0,0,75,13,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0
31,一般_分身_腰带_交易1,4,1500,1584,0,0,0,0,0,0,131,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,一般_分身_腰带_交易2,4,3000,3168,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
33,一般_分身_腰带_交易3,4,4500,4752,0,0,0,0,0,4,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,一般_分身_腰带_交易4,4,6000,6336,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
35,一般_分身_腰带_交易5,4,7500,7920,0,0,0,0,0,4,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,一般_分身_腰带_交易6,4,8800,9504,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
37,一般_分身_腰带_交易7,4,9200,9668,1,0,0,0,0,0,131,0,0,75,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
38,一般_分身_腰带_交易8,4,9600,9832,1,0,0,0,0,4,131,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,一般_分身_腰带_交易9,4,9950,9996,1,0,0,0,0,4,131,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
40,一般_分身_腰带_交易10,4,10000,10000,2,0,0,0,0,4,131,0,0,75,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
41,一般_分身_鞋子_交易1,5,1500,1584,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0
42,一般_分身_鞋子_交易2,5,3000,3168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,11,0,0,0,0,0,0,0,0,0
43,一般_分身_鞋子_交易3,5,4500,4752,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,90,,0,0,0,0,0,0,0,0,0
44,一般_分身_鞋子_交易4,5,6000,6336,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
45,一般_分身_鞋子_交易5,5,7500,7920,0,0,0,4,0,0,0,16,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
46,一般_分身_鞋子_交易6,5,8800,9504,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
47,一般_分身_鞋子_交易7,5,9200,9668,1,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,90,11,0,0,0,0,0,0,0,0,0
48,一般_分身_鞋子_交易8,5,9600,9832,1,0,0,4,0,0,0,16,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0
49,一般_分身_鞋子_交易9,5,9950,9996,1,0,0,4,0,0,0,16,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
50,一般_分身_鞋子_交易10,5,10000,10000,2,0,0,4,0,0,0,16,0,0,0,0,0,0,0,0,0,90,11,0,0,0,0,0,0,0,0,0
51,一般_分身_披风_交易1,6,1500,1584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,13,0,0,0,0,0,0,0,0,0
52,一般_分身_披风_交易2,6,3000,3168,0,0,0,0,0,0,0,0,0,0,0,0,22,24,0,0,0,90,0,0,0,0,0,0,0,0,0,0
53,一般_分身_披风_交易3,6,4500,4752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,6,0,0,0,0,0,0,0
54,一般_分身_披风_交易4,6,6000,6336,0,0,0,0,0,0,0,0,0,0,0,0,22,24,0,0,0,0,13,0,0,0,0,0,0,0,0,0
55,一般_分身_披风_交易5,6,7500,7920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,6,0,0,0,0,0,0,0
56,一般_分身_披风_交易6,6,8800,9504,0,0,0,0,0,0,0,0,0,0,0,0,22,24,0,0,0,0,,0,6,0,0,0,0,0,0,0
57,一般_分身_披风_交易7,6,9200,9668,1,0,0,0,0,0,0,0,0,0,0,0,22,24,0,0,0,90,13,0,0,0,0,0,0,0,0,0
58,一般_分身_披风_交易8,6,9600,9832,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,13,0,6,0,0,0,0,0,0,0
59,一般_分身_披风_交易9,6,9950,9996,1,0,0,0,0,0,0,0,0,0,0,0,22,24,0,0,0,0,13,0,6,0,0,0,0,0,0,0
60,一般_分身_披风_交易10,6,10000,10000,2,0,0,0,0,0,0,0,0,0,0,0,22,24,0,0,0,90,13,0,6,0,0,0,0,0,0,0
61,高级_分身_头盔_交易1,7,1500,1584,0,0,0,0,0,0,197,0,0,0,0,0,0,0,0,0,439,0,0,0,0,0,0,0,0,0,0,0
62,高级_分身_头盔_交易2,7,3000,3168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,31,439,0,0,0,0,0,0,0,0,0,0,0
63,高级_分身_头盔_交易3,7,4500,4752,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,439,0,0,0,0,0,0,0,0,0,0,0
64,高级_分身_头盔_交易4,7,6000,6336,0,0,0,0,0,0,197,0,0,0,0,0,0,0,28,31,0,0,0,0,0,0,0,0,0,0,0,0
65,高级_分身_头盔_交易5,7,7500,7920,0,0,0,0,8,0,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,高级_分身_头盔_交易6,7,8800,9504,0,0,0,0,8,0,0,0,0,0,0,0,0,0,28,31,0,0,0,0,0,0,0,0,0,0,0,0
67,高级_分身_头盔_交易7,7,9200,9668,1,0,0,0,0,0,197,0,0,0,0,0,0,0,28,31,439,0,0,0,0,0,0,0,0,0,0,0
68,高级_分身_头盔_交易8,7,9600,9832,1,0,0,0,8,0,197,0,0,0,0,0,0,0,0,0,439,0,0,0,0,0,0,0,0,0,0,0
69,高级_分身_头盔_交易9,7,9950,9996,1,0,0,0,8,0,197,0,0,0,0,0,0,0,28,31,0,0,0,0,0,0,0,0,0,0,0,0
70,高级_分身_头盔_交易10,7,10000,10000,2,0,0,0,8,0,197,0,0,0,0,0,0,0,28,31,439,0,0,0,0,0,0,0,0,0,0,0
71,高级_分身_盔甲_交易1,8,1500,1584,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,482,0,0,0,0,0,0,0,0,0,0,0
72,高级_分身_盔甲_交易2,8,3000,3168,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,482,0,0,0,0,0,0,0,0,0,0,0
73,高级_分身_盔甲_交易3,8,4500,4752,0,8,0,0,0,0,0,0,0,0,,0,0,0,0,0,482,0,0,0,0,0,0,0,0,0,0,0
74,高级_分身_盔甲_交易4,8,6000,6336,0,0,0,0,0,0,0,0,12,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,高级_分身_盔甲_交易5,8,7500,7920,0,8,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,高级_分身_盔甲_交易6,8,8800,9504,0,8,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,高级_分身_盔甲_交易7,8,9200,9668,1,0,0,0,0,0,0,0,12,0,22,0,0,0,0,0,482,0,0,0,0,0,0,0,0,0,0,0
78,高级_分身_盔甲_交易8,8,9600,9832,1,8,0,0,0,0,0,0,0,0,22,0,0,0,0,0,482,0,0,0,0,0,0,0,0,0,0,0
79,高级_分身_盔甲_交易9,8,9950,9996,1,8,0,0,0,0,0,0,12,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,高级_分身_盔甲_交易10,8,10000,10000,2,8,0,0,0,0,0,0,12,0,22,0,0,0,0,0,482,0,0,0,0,0,0,0,0,0,0,0
81,高级_分身_手套_交易1,9,1500,1584,0,0,0,0,0,0,0,0,0,141,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,高级_分身_手套_交易2,9,3000,3168,0,0,0,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0
83,高级_分身_手套_交易3,9,4500,4752,0,0,8,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,高级_分身_手套_交易4,9,6000,6336,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0
85,高级_分身_手套_交易5,9,7500,7920,0,0,8,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,高级_分身_手套_交易6,9,8800,9504,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0
87,高级_分身_手套_交易7,9,9200,9668,1,0,0,0,0,0,0,0,0,141,24,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0
88,高级_分身_手套_交易8,9,9600,9832,1,0,8,0,0,0,0,0,0,141,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,高级_分身_手套_交易9,9,9950,9996,1,0,8,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0
90,高级_分身_手套_交易10,9,10000,10000,2,0,8,0,0,0,0,0,0,141,24,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0
91,高级_分身_腰带_交易1,10,1500,1584,0,0,0,0,0,0,246,0,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,高级_分身_腰带_交易2,10,3000,3168,0,0,0,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0
93,高级_分身_腰带_交易3,10,4500,4752,0,0,0,0,0,8,0,0,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,高级_分身_腰带_交易4,10,6000,6336,0,0,0,0,0,0,246,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0
95,高级_分身_腰带_交易5,10,7500,7920,0,0,0,0,0,8,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,高级_分身_腰带_交易6,10,8800,9504,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0
97,高级_分身_腰带_交易7,10,9200,9668,1,0,0,0,0,0,246,0,0,141,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0
98,高级_分身_腰带_交易8,10,9600,9832,1,0,0,0,0,8,246,0,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,高级_分身_腰带_交易9,10,9950,9996,1,0,0,0,0,8,246,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0
100,高级_分身_腰带_交易10,10,10000,10000,2,0,0,0,0,8,246,0,0,141,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0
101,高级_分身_鞋子_交易1,11,1500,1584,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0
102,高级_分身_鞋子_交易2,11,3000,3168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,20,0,0,0,0,0,0,0,0,0
103,高级_分身_鞋子_交易3,11,4500,4752,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,168,,0,0,0,0,0,0,0,0,0
104,高级_分身_鞋子_交易4,11,6000,6336,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0
105,高级_分身_鞋子_交易5,11,7500,7920,0,0,0,8,0,0,0,30,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
106,高级_分身_鞋子_交易6,11,8800,9504,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0
107,高级_分身_鞋子_交易7,11,9200,9668,1,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,168,20,0,0,0,0,0,0,0,0,0
108,高级_分身_鞋子_交易8,11,9600,9832,1,0,0,8,0,0,0,30,0,0,0,0,0,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0
109,高级_分身_鞋子_交易9,11,9950,9996,1,0,0,8,0,0,0,30,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0
110,高级_分身_鞋子_交易10,11,10000,10000,2,0,0,8,0,0,0,30,0,0,0,0,0,0,0,0,0,168,20,0,0,0,0,0,0,0,0,0
111,高级_分身_披风_交易1,12,1500,1584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,24,0,0,0,0,0,0,0,0,0
112,高级_分身_披风_交易2,12,3000,3168,0,0,0,0,0,0,0,0,0,0,0,0,28,31,0,0,0,168,0,0,0,0,0,0,0,0,0,0
113,高级_分身_披风_交易3,12,4500,4752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,0,0,12,0,0,0,0,0,0,0
114,高级_分身_披风_交易4,12,6000,6336,0,0,0,0,0,0,0,0,0,0,0,0,28,31,0,0,0,0,24,0,0,0,0,0,0,0,0,0
115,高级_分身_披风_交易5,12,7500,7920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,12,0,0,0,0,0,0,0
116,高级_分身_披风_交易6,12,8800,9504,0,0,0,0,0,0,0,0,0,0,0,0,28,31,0,0,0,0,,0,12,0,0,0,0,0,0,0
117,高级_分身_披风_交易7,12,9200,9668,1,0,0,0,0,0,0,0,0,0,0,0,28,31,0,0,0,168,24,0,0,0,0,0,0,0,0,0
118,高级_分身_披风_交易8,12,9600,9832,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,24,0,12,0,0,0,0,0,0,0
119,高级_分身_披风_交易9,12,9950,9996,1,0,0,0,0,0,0,0,0,0,0,0,28,31,0,0,0,0,24,0,12,0,0,0,0,0,0,0
120,高级_分身_披风_交易10,12,10000,10000,2,0,0,0,0,0,0,0,0,0,0,0,28,31,0,0,0,168,24,0,12,0,0,0,0,0,0,0
121,特别_分身_头盔_交易1,13,1500,1584,0,0,0,0,0,0,236,0,0,0,0,0,0,0,0,0,526,0,0,0,0,0,0,0,0,0,0,0
122,特别_分身_头盔_交易2,13,3000,3168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,34,526,0,0,0,0,0,0,0,0,0,0,0
123,特别_分身_头盔_交易3,13,4500,4752,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,526,0,0,0,0,0,0,0,0,0,0,0
124,特别_分身_头盔_交易4,13,6000,6336,0,0,0,0,0,0,236,0,0,0,0,0,0,0,31,34,0,0,0,0,0,0,0,0,0,0,0,0
125,特别_分身_头盔_交易5,13,7500,7920,0,0,0,0,10,0,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,特别_分身_头盔_交易6,13,8800,9504,0,0,0,0,10,0,0,0,0,0,0,0,0,0,31,34,0,0,0,0,0,0,0,0,0,0,0,0
127,特别_分身_头盔_交易7,13,9200,9668,1,0,0,0,0,0,236,0,0,0,0,0,0,0,31,34,526,0,0,0,0,0,0,0,0,0,0,0
128,特别_分身_头盔_交易8,13,9600,9832,1,0,0,0,10,0,236,0,0,0,0,0,0,0,0,0,526,0,0,0,0,0,0,0,0,0,0,0
129,特别_分身_头盔_交易9,13,9950,9996,1,0,0,0,10,0,236,0,0,0,0,0,0,0,31,34,0,0,0,0,0,0,0,0,0,0,0,0
130,特别_分身_头盔_交易10,13,10000,10000,2,0,0,0,10,0,236,0,0,0,0,0,0,0,31,34,526,0,0,0,0,0,0,0,0,0,0,0
131,特别_分身_盔甲_交易1,14,1500,1584,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,579,0,0,0,0,0,0,0,0,0,0,0
132,特别_分身_盔甲_交易2,14,3000,3168,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,579,0,0,0,0,0,0,0,0,0,0,0
133,特别_分身_盔甲_交易3,14,4500,4752,0,10,0,0,0,0,0,0,0,0,,0,0,0,0,0,579,0,0,0,0,0,0,0,0,0,0,0
134,特别_分身_盔甲_交易4,14,6000,6336,0,0,0,0,0,0,0,0,14,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,特别_分身_盔甲_交易5,14,7500,7920,0,10,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,特别_分身_盔甲_交易6,14,8800,9504,0,10,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,特别_分身_盔甲_交易7,14,9200,9668,1,0,0,0,0,0,0,0,14,0,24,0,0,0,0,0,579,0,0,0,0,0,0,0,0,0,0,0
138,特别_分身_盔甲_交易8,14,9600,9832,1,10,0,0,0,0,0,0,0,0,24,0,0,0,0,0,579,0,0,0,0,0,0,0,0,0,0,0
139,特别_分身_盔甲_交易9,14,9950,9996,1,10,0,0,0,0,0,0,14,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,特别_分身_盔甲_交易10,14,10000,10000,2,10,0,0,0,0,0,0,14,0,24,0,0,0,0,0,579,0,0,0,0,0,0,0,0,0,0,0
141,特别_分身_手套_交易1,15,1500,1584,0,0,0,0,0,0,0,0,0,169,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,特别_分身_手套_交易2,15,3000,3168,0,0,0,0,0,0,0,0,0,169,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0
143,特别_分身_手套_交易3,15,4500,4752,0,0,10,0,0,0,0,0,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,特别_分身_手套_交易4,15,6000,6336,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0
145,特别_分身_手套_交易5,15,7500,7920,0,0,10,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,特别_分身_手套_交易6,15,8800,9504,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0
147,特别_分身_手套_交易7,15,9200,9668,1,0,0,0,0,0,0,0,0,169,27,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0
148,特别_分身_手套_交易8,15,9600,9832,1,0,10,0,0,0,0,0,0,169,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,特别_分身_手套_交易9,15,9950,9996,1,0,10,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0
150,特别_分身_手套_交易10,15,10000,10000,2,0,10,0,0,0,0,0,0,169,27,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0
151,特别_分身_腰带_交易1,16,1500,1584,0,0,0,0,0,0,295,0,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,特别_分身_腰带_交易2,16,3000,3168,0,0,0,0,0,0,0,0,0,169,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0
153,特别_分身_腰带_交易3,16,4500,4752,0,0,0,0,0,10,0,0,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,特别_分身_腰带_交易4,16,6000,6336,0,0,0,0,0,0,295,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0
155,特别_分身_腰带_交易5,16,7500,7920,0,0,0,0,0,10,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,特别_分身_腰带_交易6,16,8800,9504,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0
157,特别_分身_腰带_交易7,16,9200,9668,1,0,0,0,0,0,295,0,0,169,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0
158,特别_分身_腰带_交易8,16,9600,9832,1,0,0,0,0,10,295,0,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,特别_分身_腰带_交易9,16,9950,9996,1,0,0,0,0,10,295,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0
160,特别_分身_腰带_交易10,16,10000,10000,2,0,0,0,0,10,295,0,0,169,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0
161,特别_分身_鞋子_交易1,17,1500,1584,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,202,0,0,0,0,0,0,0,0,0,0
162,特别_分身_鞋子_交易2,17,3000,3168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,24,0,0,0,0,0,0,0,0,0
163,特别_分身_鞋子_交易3,17,4500,4752,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,202,,0,0,0,0,0,0,0,0,0
164,特别_分身_鞋子_交易4,17,6000,6336,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0
165,特别_分身_鞋子_交易5,17,7500,7920,0,0,0,10,0,0,0,36,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
166,特别_分身_鞋子_交易6,17,8800,9504,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0
167,特别_分身_鞋子_交易7,17,9200,9668,1,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,202,24,0,0,0,0,0,0,0,0,0
