TID,Type,Kind,Property,SpecialValue,Race,Grade,WeaponType,ShapeID,Comment,EngTitle,EngName,LocalTitle,LocalName,UseIconType,WorldMapIcon,Level,HP,MP,HPR,MPR,POPMin,POPMax,MOPMin,MOPMax,PD,MD,FD,WD,AD,LD,DP,BP,AP,CP,IGN_AT,AS,Ws,WsAni,RS,RsAni,CS,Exp,ItemDropTID,MapDropTID,SaleTID,Motion,EventRange,Color,Width,Height,Scale,NpcBrain,RegenR,RegenTimeMin,RegenTimeMax,Greeting,Eventlist,Gossip,GreetVoice,GoodbyeVoice
300013,4,0,0,0,0,1,0,20000,  ,NPT_Title_000008,NPT_Name_000008,Lv.3,刀刃陷阱,0,0,1,10000,100,100,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,0.5,2.1,1,20013,0,0,0,0,0,0,,
300014,4,0,0,0,0,1,0,20000,  ,NPT_Title_000009,NPT_Name_000009,Lv.4,刀刃陷阱,0,0,1,10000,100,100,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,0.5,2.1,1,20014,0,0,0,0,0,0,,
300015,4,0,0,0,0,1,0,20000,  ,NPT_Title_000010,NPT_Name_000010,Lv.5,刀刃陷阱,0,0,1,10000,100,100,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,0.5,2.1,1,20015,0,0,0,0,0,0,,
300021,4,0,0,0,0,1,0,20000,  ,NPT_Title_000011,NPT_Name_000011,Lv.1,混沌陷阱,0,0,1,10000,100,100,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,0.5,2.1,1,20021,0,0,0,0,0,0,,
300022,4,0,0,0,0,1,0,20000,  ,NPT_Title_000012,NPT_Name_000012,Lv.2,混沌陷阱,0,0,1,10000,100,100,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,0.5,2.1,1,20022,0,0,0,0,0,0,,
300023,4,0,0,0,0,1,0,20000,  ,NPT_Title_000013,NPT_Name_000013,Lv.3,混沌陷阱,0,0,1,10000,100,100,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,0.5,2.1,1,20023,0,0,0,0,0,0,,
300024,4,0,0,0,0,1,0,20000,  ,NPT_Title_000014,NPT_Name_000014,Lv.4,混沌陷阱,0,0,1,10000,100,100,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,0.5,2.1,1,20024,0,0,0,0,0,0,,
300025,4,0,0,0,0,1,0,20000,  ,NPT_Title_000015,NPT_Name_000015,Lv.5,混沌陷阱,0,0,1,10000,100,100,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,0.5,2.1,1,20025,0,0,0,0,0,0,,
300031,4,0,0,0,0,1,0,20000,  ,NPT_Title_000016,NPT_Name_000016,Lv.1,诅咒陷阱,0,0,1,10000,100,100,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,0.5,2.1,1,20031,0,0,0,0,0,0,,
300032,4,0,0,0,0,1,0,20000,  ,NPT_Title_000017,NPT_Name_000017,Lv.2,诅咒陷阱,0,0,1,10000,100,100,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,0.5,2.1,1,20032,0,0,0,0,0,0,,
300033,4,0,0,0,0,1,0,20000,  ,NPT_Title_000018,NPT_Name_000018,Lv.3,诅咒陷阱,0,0,1,10000,100,100,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,0.5,2.1,1,20033,0,0,0,0,0,0,,
300034,4,0,0,0,0,1,0,20000,  ,NPT_Title_000019,NPT_Name_000019,Lv.4,诅咒陷阱,0,0,1,10000,100,100,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,0.5,2.1,1,20034,0,0,0,0,0,0,,
300035,4,0,0,0,0,1,0,20000,  ,NPT_Title_000020,NPT_Name_000020,Lv.5,诅咒陷阱,0,0,1,10000,100,100,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,0.5,2.1,1,20035,0,0,0,0,0,0,,
300041,4,0,0,0,0,1,0,20000,  ,NPT_Title_000021,NPT_Name_000021,Lv.1,流血陷阱,0,0,1,10000,100,100,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,0.5,2.1,1,20041,0,0,0,0,0,0,,
300042,4,0,0,0,0,1,0,20000,  ,NPT_Title_000022,NPT_Name_000022,Lv.2,流血陷阱,0,0,1,10000,100,100,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,0.5,2.1,1,20042,0,0,0,0,0,0,,
300043,4,0,0,0,0,1,0,20000,  ,NPT_Title_000023,NPT_Name_000023,Lv.3,流血陷阱,0,0,1,10000,100,100,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,0.5,2.1,1,20043,0,0,0,0,0,0,,
300044,4,0,0,0,0,1,0,20000,  ,NPT_Title_000024,NPT_Name_000024,Lv.4,流血陷阱,0,0,1,10000,100,100,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,0.5,2.1,1,20044,0,0,0,0,0,0,,
300045,4,0,0,0,0,1,0,20000,  ,NPT_Title_000025,NPT_Name_000025,Lv.5,流血陷阱,0,0,1,10000,100,100,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,0.5,2.1,1,20045,0,0,0,0,0,0,,
300051,4,0,0,0,0,1,0,20000,  ,NPT_Title_000026,NPT_Name_000026,Lv.1,死亡陷阱,0,0,1,10000,100,100,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,0.5,2.1,1,20051,0,0,0,0,0,0,,
300052,4,0,0,0,0,1,0,20000,  ,NPT_Title_000027,NPT_Name_000027,Lv.2,死亡陷阱,0,0,1,10000,100,100,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,0.5,2.1,1,20052,0,0,0,0,0,0,,
300053,4,0,0,0,0,1,0,20000,  ,NPT_Title_000028,NPT_Name_000028,Lv.3,死亡陷阱,0,0,1,10000,100,100,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,0.5,2.1,1,20053,0,0,0,0,0,0,,
300054,4,0,0,0,0,1,0,20000,  ,NPT_Title_000029,NPT_Name_000029,Lv.4,死亡陷阱,0,0,1,10000,100,100,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,0.5,2.1,1,20054,0,0,0,0,0,0,,
300055,4,0,0,0,0,1,0,20000,  ,NPT_Title_000030,NPT_Name_000030,Lv.5,死亡陷阱,0,0,1,10000,100,100,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,0.5,2.1,1,20055,0,0,0,0,0,0,,
300251,4,0,0,0,0,1,0,20000,  ,NPT_Title_000031,NPT_Name_000031,Lv.1,碎片陷阱,0,0,1,10000,100,100,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,0.5,2.1,1,20251,0,0,0,0,0,0,,
300252,4,0,0,0,0,1,0,20000,  ,NPT_Title_000032,NPT_Name_000032,Lv.2,碎片陷阱,0,0,1,10000,100,100,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,0.5,2.1,1,20252,0,0,0,0,0,0,,
300253,4,0,0,0,0,1,0,20000,  ,NPT_Title_000033,NPT_Name_000033,Lv.3,碎片陷阱,0,0,1,10000,100,100,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,0.5,2.1,1,20253,0,0,0,0,0,0,,
300254,4,0,0,0,0,1,0,20000,  ,NPT_Title_000034,NPT_Name_000034,Lv.4,碎片陷阱,0,0,1,10000,100,100,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,0.5,2.1,1,20254,0,0,0,0,0,0,,
300255,4,0,0,0,0,1,0,20000,  ,NPT_Title_000035,NPT_Name_000035,Lv.5,碎片陷阱,0,0,1,10000,100,100,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,0.5,2.1,1,20255,0,0,0,0,0,0,,
300261,4,0,0,0,0,1,0,20000,  ,NPT_Title_000036,NPT_Name_000036,Lv.1,猎人陷阱,0,0,1,10000,100,100,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,0.5,2.1,1,20261,0,0,0,0,0,0,,
300262,4,0,0,0,0,1,0,20000,  ,NPT_Title_000037,NPT_Name_000037,Lv.2,猎人陷阱,0,0,1,10000,100,100,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,0.5,2.1,1,20262,0,0,0,0,0,0,,
300263,4,0,0,0,0,1,0,20000,  ,NPT_Title_000038,NPT_Name_000038,Lv.3,猎人陷阱,0,0,1,10000,100,100,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,0.5,2.1,1,20263,0,0,0,0,0,0,,
300264,4,0,0,0,0,1,0,20000,  ,NPT_Title_000039,NPT_Name_000039,Lv.4,猎人陷阱,0,0,1,10000,100,100,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,0.5,2.1,1,20264,0,0,0,0,0,0,,
300265,4,0,0,0,0,1,0,20000,  ,NPT_Title_000040,NPT_Name_000040,Lv.5,猎人陷阱,0,0,1,10000,100,100,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,0.5,2.1,1,20265,0,0,0,0,0,0,,
300271,4,0,0,0,0,1,0,20000,  ,NPT_Title_000041,NPT_Name_000041,Lv.1,枷锁陷阱,0,0,1,10000,100,100,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,0.5,2.1,1,20271,0,0,0,0,0,0,,
300272,4,0,0,0,0,1,0,20000,  ,NPT_Title_000042,NPT_Name_000042,Lv.2,枷锁陷阱,0,0,1,10000,100,100,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,0.5,2.1,1,20272,0,0,0,0,0,0,,
300273,4,0,0,0,0,1,0,20000,  ,NPT_Title_000043,NPT_Name_000043,Lv.3,枷锁陷阱,0,0,1,10000,100,100,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,0.5,2.1,1,20273,0,0,0,0,0,0,,
300274,4,0,0,0,0,1,0,20000,  ,NPT_Title_000044,NPT_Name_000044,Lv.4,枷锁陷阱,0,0,1,10000,100,100,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,0.5,2.1,1,20274,0,0,0,0,0,0,,
300275,4,0,0,0,0,1,0,20000,  ,NPT_Title_000045,NPT_Name_000045,Lv.5,枷锁陷阱,0,0,1,10000,100,100,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,0.5,2.1,1,20275,0,0,0,0,0,0,,
300281,4,0,0,0,0,1,0,20000,  ,NPT_Title_000046,NPT_Name_000046,Lv.1,睡眠陷阱,0,0,1,10000,100,100,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,0.5,2.1,1,20281,0,0,0,0,0,0,,
300282,4,0,0,0,0,1,0,20000,  ,NPT_Title_000047,NPT_Name_000047,Lv.2,睡眠陷阱,0,0,1,10000,100,100,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,0.5,2.1,1,20282,0,0,0,0,0,0,,
300283,4,0,0,0,0,1,0,20000,  ,NPT_Title_000048,NPT_Name_000048,Lv.3,睡眠陷阱,0,0,1,10000,100,100,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,0.5,2.1,1,20283,0,0,0,0,0,0,,
300284,4,0,0,0,0,1,0,20000,  ,NPT_Title_000049,NPT_Name_000049,Lv.4,睡眠陷阱,0,0,1,10000,100,100,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,0.5,2.1,1,20284,0,0,0,0,0,0,,
300285,4,0,0,0,0,1,0,20000,  ,NPT_Title_000050,NPT_Name_000050,Lv.5,睡眠陷阱,0,0,1,10000,100,100,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,0.5,2.1,1,20285,0,0,0,0,0,0,,
300291,4,0,0,0,0,1,0,20000,  ,NPT_Title_000051,NPT_Name_000051,Lv.1,剧毒陷阱,0,0,1,10000,100,100,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,0.5,2.1,1,20291,0,0,0,0,0,0,,
300292,4,0,0,0,0,1,0,20000,  ,NPT_Title_000052,NPT_Name_000052,Lv.2,剧毒陷阱,0,0,1,10000,100,100,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,0.5,2.1,1,20292,0,0,0,0,0,0,,
300293,4,0,0,0,0,1,0,20000,  ,NPT_Title_000053,NPT_Name_000053,Lv.3,剧毒陷阱,0,0,1,10000,100,100,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,0.5,2.1,1,20293,0,0,0,0,0,0,,
300294,4,0,0,0,0,1,0,20000,  ,NPT_Title_000054,NPT_Name_000054,Lv.4,剧毒陷阱,0,0,1,10000,100,100,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,0.5,2.1,1,20294,0,0,0,0,0,0,,
300295,4,0,0,0,0,1,0,20000,  ,NPT_Title_000055,NPT_Name_000055,Lv.5,剧毒陷阱,0,0,1,10000,100,100,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,0.5,2.1,1,20295,0,0,0,0,0,0,,
300301,4,0,0,0,0,1,0,20000,  ,NPT_Title_000056,NPT_Name_000056,Lv.1,暗杀者的陷阱,0,0,1,10000,100,100,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,0.5,2.1,1,20301,0,0,0,0,0,0,,
300302,4,0,0,0,0,1,0,20000,  ,NPT_Title_000057,NPT_Name_000057,Lv.2,暗杀者的陷阱,0,0,1,10000,100,100,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,0.5,2.1,1,20302,0,0,0,0,0,0,,
300303,4,0,0,0,0,1,0,20000,  ,NPT_Title_000058,NPT_Name_000058,Lv.3,暗杀者的陷阱,0,0,1,10000,100,100,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,0.5,2.1,1,20303,0,0,0,0,0,0,,
300304,4,0,0,0,0,1,0,20000,  ,NPT_Title_000059,NPT_Name_000059,Lv.4,暗杀者的陷阱,0,0,1,10000,100,100,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,0.5,2.1,1,20304,0,0,0,0,0,0,,
300305,4,0,0,0,0,1,0,20000,  ,NPT_Title_000060,NPT_Name_000060,Lv.5,暗杀者的陷阱,0,0,1,10000,100,100,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,0.5,2.1,1,20305,0,0,0,0,0,0,,
300501,4,0,0,0,0,1,0,20100,  ,NPT_Title_000061,NPT_Name_000061,Lv.1,魔法恢复液,0,0,1,10000,100,100,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,0.5,2.1,1,20501,0,0,0,0,0,0,,
300502,4,0,0,0,0,1,0,20100,  ,NPT_Title_000062,NPT_Name_000062,Lv.2,魔法恢复液,0,0,1,10000,100,100,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,0.5,2.1,1,20502,0,0,0,0,0,0,,
300503,4,0,0,0,0,1,0,20100,  ,NPT_Title_000063,NPT_Name_000063,Lv.3,魔法恢复液,0,0,1,10000,100,100,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,0.5,2.1,1,20503,0,0,0,0,0,0,,
300504,4,0,0,0,0,1,0,20100,  ,NPT_Title_000064,NPT_Name_000064,Lv.4,魔法恢复液,0,0,1,10000,100,100,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,0.5,2.1,1,20504,0,0,0,0,0,0,,
300505,4,0,0,0,0,1,0,20100,  ,NPT_Title_000065,NPT_Name_000065,Lv.5,魔法恢复液,0,0,1,10000,100,100,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,0.5,2.1,1,20505,0,0,0,0,0,0,,
300511,4,0,0,0,0,1,0,20101,  ,NPT_Title_000066,NPT_Name_000066,Lv.1,魔力循环弹丸,0,0,1,10000,100,100,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,0.5,2.1,1,20511,0,0,0,0,0,0,,
300512,4,0,0,0,0,1,0,20101,  ,NPT_Title_000067,NPT_Name_000067,Lv.2,魔力循环弹丸,0,0,1,10000,100,100,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,0.5,2.1,1,20512,0,0,0,0,0,0,,
300513,4,0,0,0,0,1,0,20101,  ,NPT_Title_000068,NPT_Name_000068,Lv.3,魔力循环弹丸,0,0,1,10000,100,100,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,0.5,2.1,1,20513,0,0,0,0,0,0,,
300514,4,0,0,0,0,1,0,20101,  ,NPT_Title_000069,NPT_Name_000069,Lv.4,魔力循环弹丸,0,0,1,10000,100,100,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,0.5,2.1,1,20514,0,0,0,0,0,0,,
300515,4,0,0,0,0,1,0,20101,  ,NPT_Title_000070,NPT_Name_000070,Lv.5,魔力循环弹丸,0,0,1,10000,100,100,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,0.5,2.1,1,20515,0,0,0,0,0,0,,
300521,4,0,0,0,0,1,0,20102,  ,NPT_Title_000071,NPT_Name_000071,Lv.1,打击之弹,0,0,1,10000,100,100,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,0.5,2.1,1,20521,0,0,0,0,0,0,,
300522,4,0,0,0,0,1,0,20102,  ,NPT_Title_000072,NPT_Name_000072,Lv.2,打击之弹,0,0,1,10000,100,100,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,0.5,2.1,1,20522,0,0,0,0,0,0,,
300523,4,0,0,0,0,1,0,20102,  ,NPT_Title_000073,NPT_Name_000073,Lv.3,打击之弹,0,0,1,10000,100,100,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,0.5,2.1,1,20523,0,0,0,0,0,0,,
300524,4,0,0,0,0,1,0,20102,  ,NPT_Title_000074,NPT_Name_000074,Lv.4,打击之弹,0,0,1,10000,100,100,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,0.5,2.1,1,20524,0,0,0,0,0,0,,
300525,4,0,0,0,0,1,0,20102,  ,NPT_Title_000075,NPT_Name_000075,Lv.5,打击之弹,0,0,1,10000,100,100,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,0.5,2.1,1,20525,0,0,0,0,0,0,,
300531,4,0,0,0,0,1,0,20103,  ,NPT_Title_000076,NPT_Name_000076,Lv.1,贤者之弹,0,0,1,10000,100,100,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,0.5,2.1,1,20531,0,0,0,0,0,0,,
300532,4,0,0,0,0,1,0,20103,  ,NPT_Title_000077,NPT_Name_000077,Lv.2,贤者之弹,0,0,1,10000,100,100,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,0.5,2.1,1,20532,0,0,0,0,0,0,,
300533,4,0,0,0,0,1,0,20103,  ,NPT_Title_000078,NPT_Name_000078,Lv.3,贤者之弹,0,0,1,10000,100,100,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,0.5,2.1,1,20533,0,0,0,0,0,0,,
300534,4,0,0,0,0,1,0,20103,  ,NPT_Title_000079,NPT_Name_000079,Lv.4,贤者之弹,0,0,1,10000,100,100,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,0.5,2.1,1,20534,0,0,0,0,0,0,,
300535,4,0,0,0,0,1,0,20103,  ,NPT_Title_000080,NPT_Name_000080,Lv.5,贤者之弹,0,0,1,10000,100,100,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,0.5,2.1,1,20535,0,0,0,0,0,0,,
300541,4,0,0,0,0,1,0,20104,  ,NPT_Title_000081,NPT_Name_000081,Lv.1,疾风炮弹,0,0,1,10000,100,100,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,0.5,2.1,1,20541,0,0,0,0,0,0,,
300542,4,0,0,0,0,1,0,20104,  ,NPT_Title_000082,NPT_Name_000082,Lv.2,疾风炮弹,0,0,1,10000,100,100,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,0.5,2.1,1,20542,0,0,0,0,0,0,,
