TID,Type,Kind,WeatherUse,WorldTID,GroupNum,D_X,D_Y,D_Z,Radius,AimRebirthPos,DemolRebirthPos,Comment,EngName,EngSubName,LocalName,LocalSubName,BgmName,BgmLoop,Weather0,Weather1,Weather2,Weather3
15,1,0,1,2000,0,7424.27,7332.56,78.21,256,,,,ART_Name_000012,ART_Subname_000012,绿色海洋森林：,神圣的盆地,Sound/BGM/BGM_08.ogg|Sound/BGM/BGM_09.ogg,1,4017|1010|3034|,4010|3039|,4018|3010|,4021|3011|
16,1,0,1,2000,0,6399.91,7423.89,119.13,256,,,,ART_Name_000013,ART_Subname_000013,冰冻的乐园:,冰冻的江,Sound/BGM/BGM_15.ogg|Sound/BGM/BGM_21.ogg,1,3015|4017|2004|,3016|4016|,3017|4014|,3018|4015|
17,1,0,1,2000,0,6912,7424,132.32,256,,,,ART_Name_000014,ART_Subname_000014,冰冻的乐园:,刀锋平原,Sound/BGM/BGM_15.ogg|Sound/BGM/BGM_21.ogg,1,3015|4017|2004|,4016|3016|,4014|3017|,3018|4015|
18,1,0,1,2000,0,6912,6912,103.12,256,,,,ART_Name_000015,ART_Subname_000015,冰冻的乐园:,寒霜之湖,Sound/BGM/BGM_15.ogg|Sound/BGM/BGM_21.ogg,1,3015|4017|2005|,3016|4016|,4014|3017|,3018|4015|2004|
19,1,0,1,2000,0,7424,6912,133.4,256,,,,ART_Name_000016,ART_Subname_000016,冰冻的乐园:,冰封峡谷,Sound/BGM/BGM_15.ogg|Sound/BGM/BGM_21.ogg,1,3015|4017|2005|,2004|3016|4016|,3017|4014|,3018|2004|4015|
20,1,0,1,2000,0,7424,6400,208.01,256,,,,ART_Name_000017,ART_Subname_000017,冰冻的乐园:,严寒之城,Sound/BGM/BGM_15.ogg|Sound/BGM/BGM_21.ogg,1,3015|2005|4015|,3016|4015|2004|,3017|4015|,3018|4015|2004|
21,1,0,1,2000,0,5887.84,7423.8,89.67,256,,,,ART_Name_000018,ART_Subname_000018,没落的月光平原:,摧毁的城市,Sound/BGM/BGM_13.ogg|Sound/BGM/BGM_14.ogg,1,3034|4017|,3039|4010|1010|,3028|4019|,3011|4020|
22,1,0,1,2000,0,5888,6912,90.63,256,,,,ART_Name_000019,ART_Subname_000019,没落的月光平原:,恶臭的江,Sound/BGM/BGM_13.ogg|Sound/BGM/BGM_14.ogg,1,3034|4017|,3039|4010|1010|,3028|4019|,3011|4020|
23,1,0,1,2000,0,6400,6912,75.82,256,,,,ART_Name_000020,ART_Subname_000020,没落的月光平原:,腐败的农场,Sound/BGM/BGM_13.ogg|Sound/BGM/BGM_14.ogg,1,3034|4017|,3039|4010|1010|,3028|4019|,3011|4020|
24,1,0,1,2000,0,6400,6400,78,256,,,,ART_Name_000021,ART_Subname_000021,没落的月光平原:,影子坟墓,Sound/BGM/BGM_25.ogg|Sound/BGM/BGM_21.ogg,1,3034|4017|,3039|4010|1010|,3028|4019|,3011|4020|
25,1,0,1,2000,0,5888,6400,82.24,256,,,,ART_Name_000022,ART_Subname_000022,没落的月光平原:,暴风古城,Sound/BGM/BGM_25.ogg|Sound/BGM/BGM_21.ogg,1,3034|4013|,3039|4022|2004|,3010|4024|2005|,3011|4012|2004|
51,1,0,1,2000,0,1792,4864,86.69,256,,,,ART_Name_000023,ART_Subname_000023,圆滚滚的丘陵地地:,绿色草原,Sound/BGM/BGM_24.ogg|Sound/BGM/BGM_28.ogg,1,,,,
52,1,0,1,2000,0,1818.75,5380.54,69.43,300,,,,ART_Name_000024,ART_Subname_000024,圆滚滚的丘陵地地:,和风谷,Sound/BGM/BGM_24.ogg|Sound/BGM/BGM_28.ogg,1,,,,
53,1,0,1,2000,0,1280,5376,70.65,256,,,,ART_Name_000025,ART_Subname_000025,圆滚滚的丘陵地地:,棕色峡谷,Sound/BGM/BGM_24.ogg|Sound/BGM/BGM_28.ogg,1,,,,
54,1,0,1,2000,0,1280,4863.91,56.94,256,,,,ART_Name_000026,ART_Subname_000026,圆滚滚的丘陵地地:,污浊之地,Sound/BGM/BGM_06.ogg|Sound/BGM/BGM_07.ogg,1,4017|1010|3034|,4001|3039|,4019|3010|,4020|3011|
55,1,0,1,2000,0,1280,4352,75.33,256,,,,ART_Name_000027,ART_Subname_000027,圆滚滚的丘陵地地:,被被遗忘的大地,Sound/BGM/BGM_06.ogg|Sound/BGM/BGM_07.ogg,1,4017|1010|3034|,4010|3039|,4018|1010|3010|,3011|4021|
56,1,0,1,2000,0,1792,4352,105.55,256,,,,ART_Name_000028,ART_Subname_000028,红岩荒芜地:,贫瘠的荒原,Sound/BGM/BGM_14.ogg|Sound/BGM/BGM_08.ogg,1,3030|4026|,3031|4027|,3032|4028|,3033|4029|
57,1,0,1,2000,0,1792,3840,102.06,256,,,,ART_Name_000029,ART_Subname_000029,红岩荒芜地:,红风之溪谷,Sound/BGM/BGM_14.ogg|Sound/BGM/BGM_08.ogg,1,4026|3030|,3031|4027|,3032|4028|,3033|4029|
58,1,0,1,2000,0,1280,3840,100.42,256,,,,ART_Name_000030,ART_Subname_000030,红岩荒芜地:,旋风盆地,Sound/BGM/BGM_14.ogg|Sound/BGM/BGM_08.ogg,1,3030|4026|,4027|3031|,4028|3032|2003|,3033|4029|
59,1,0,1,2000,0,1792,3328,144.65,256,,,,ART_Name_000031,ART_Subname_000031,红岩荒芜地:,烈士峡谷,Sound/BGM/BGM_14.ogg|Sound/BGM/BGM_08.ogg,1,3034|4017|,4010|3039|,3010|4018|,3011|4021|
60,1,0,1,2000,0,2304,4352,149.39,256,,,,ART_Name_000032,ART_Subname_000032,被遗忘的大地:,富饶之原,Sound/BGM/BGM_11.ogg|Sound/BGM/BGM_12.ogg,1,3020|4000|,3021|4001|,3022|4002|,3023|4003|
61,1,0,1,2000,0,2304,3840,65.95,256,,,,ART_Name_000033,ART_Subname_000033,被遗忘的大地:,伯尔尼哈特高原,Sound/BGM/BGM_11.ogg|Sound/BGM/BGM_12.ogg,1,3020|,3021|,3022|,3023|
62,1,0,1,2000,0,2303.99,3328.01,38.26,256,,,,ART_Name_000034,ART_Subname_000034,被遗忘的大地:,古老的丛林,Sound/BGM/BGM_11.ogg|Sound/BGM/BGM_12.ogg,1,3020|4017|1011|,3021|4010|1010|,3022|,3023|1010|4020|
63,1,0,1,2000,0,2816,3840,2.72,256,,,,ART_Name_000035,ART_Subname_000035,被遗忘的大地:,葛莱特高原,Sound/BGM/BGM_25.ogg|Sound/BGM/BGM_21.ogg,1,3034|4017|1010|,3039|4010|,3028|4019|,3011|4020|
64,1,0,1,2000,0,2816,3328,59.34,256,,,,ART_Name_000036,ART_Subname_000036,被遗忘的大地:,隐退者峡谷,Sound/BGM/BGM_25.ogg|Sound/BGM/BGM_21.ogg,1,3034|4030|,3039|4031|,3028|4032|,3011|4033|1010|
101,1,0,1,2001,0,256,256,0,256,134.22|345.30|-1.54,374.94|194.75|-1.43,,ART_Name_000037,ART_Subname_000037,舞风峡谷:,决战地,Sound/BGM/BGM_26.ogg|Sound/BGM/BGM_18.ogg,1,4019|3027|,4019|3027|,3027|4019|,3027|4019|
102,1,0,1,2002,0,256,256,-9.63,256,250.85|108.43|32.96,263.96|407.56|34.93,,ART_Name_000038,ART_Subname_000038,光芒普照的盆地:,决战地,Sound/BGM/BGM_26.ogg|Sound/BGM/BGM_19.ogg,1,3027|4032|,3027|4032|,3027|4032|,3027|4032|
103,1,0,1,2003,0,256,256,0,256,134.22|345.30|-1.54,374.94|194.75|-1.43,,ART_Name_000039,ART_Subname_000039,满是伤痕的大地:,决战地,Sound/BGM/BGM_26.ogg|Sound/BGM/BGM_20.ogg,1,4019|3027|,4019|3027|,3027|4019|,3027|4019|
1001,1,0,0,2000,0,1762.8,4780.46,68.47,55,1767.00|4767.00|68.00,,,ART_Name_000040,ART_Subname_000040,圆滚滚的丘陵地:,尖塔村庄,,1,,,,
1002,0,0,0,2000,0,1889.98,4687.12,66.69,70,,,,ART_Name_000041,ART_Subname_000041,圆滚滚的丘陵地:,哥布林山地营地,,1,,,,
1003,0,0,0,2000,0,1598.46,4650.19,70.58,80,,,,ART_Name_000042,ART_Subname_000042,圆滚滚的丘陵地:,哥布林池塘营地,,1,,,,
1004,0,0,0,2000,0,1891.45,4992.63,106.49,140,,,,ART_Name_000043,ART_Subname_000043,圆滚滚的丘陵地:,贝斯帕德丛林,,1,,,,
1005,1,0,0,2000,0,1599.22,5060.74,70.15,60,,,,ART_Name_000044,ART_Subname_000044,圆滚滚的丘陵地:,哥布林江边营地,,1,,,,
1006,0,0,1,2000,0,1898.25,4600.19,83.28,90,,,,ART_Name_000045,ART_Subname_000045,圆滚滚的丘陵地:,绿色草原,,1,,,,
1007,0,0,1,2000,0,1927.03,5530.03,78.61,120,,,,ART_Name_000046,ART_Subname_000046,和风谷:,刀刃占领地,Sound/BGM/BGM_25.ogg|Sound/BGM/BGM_21.ogg,1,3034|,3039|,3028|,3011|
1008,0,0,1,2000,0,1716.42,5432.79,67.38,80,,,,ART_Name_000047,ART_Subname_000047,和风谷:,盗贼团聚集地,Sound/BGM/BGM_25.ogg|Sound/BGM/BGM_21.ogg,1,3034|,3039|,3010|,3011|
1009,0,0,0,2000,0,1600.42,5271.36,63.24,50,,,,ART_Name_000048,ART_Subname_000048,和风谷:,灰肤部落,Sound/BGM/BGM_25.ogg|Sound/BGM/BGM_21.ogg,1,,,,
1010,0,0,0,2000,0,1758.49,5299.18,72.03,40,1755.00|5306.00|72.00,,,ART_Name_000049,ART_Subname_000049,和风谷:,难民营,,1,,,,
1011,1,0,0,2000,0,1715.43,5585.11,72.01,30,,,,ART_Name_000050,ART_Subname_000050,和风谷:,第一侦察队野营地,,1,,,,
1012,0,0,1,2000,0,1386.4,5639.98,63.19,200,,,,ART_Name_000051,ART_Subname_000051,棕色峡谷:,盗贼团要塞,Sound/BGM/BGM_25.ogg|Sound/BGM/BGM_21.ogg,1,3034|,3039|,3028|,3011|
1013,0,0,0,2000,0,1163.27,5473.22,60.75,100,1200.00|5516.00|68.00,,,ART_Name_000052,ART_Subname_000052,棕色峡谷:,瀑布村,,1,,,,
1014,0,0,0,2000,0,1302.58,5207.52,67.31,20,,,,ART_Name_000053,ART_Subname_000053,棕色峡谷:,第二侦察队野营地,,1,,,,
1015,0,0,1,2000,0,1444.1,5233.07,53.14,150,,,,ART_Name_000054,ART_Subname_000054,棕色峡谷:,绿荫森林,,1,3034|,3039|,3010|,3011|
1016,0,0,1,2000,0,1144.47,5262.86,61.03,100,,,,ART_Name_000055,ART_Subname_000055,棕色峡谷:,砂轮王国,Sound/BGM/BGM_25.ogg|Sound/BGM/BGM_21.ogg,1,3034|,3039|,3010|,3011|
1017,1,0,0,2000,0,1167.39,5070.5,56.39,15,,,,ART_Name_000056,ART_Subname_000056,污浊之地:,第三侦察队野营地,,1,,,,
1018,1,0,0,2000,0,1417.24,5033.88,97.13,70,,,,ART_Name_000057,ART_Subname_000057,污浊之地:,雾之丘,,1,,,,
1019,1,0,0,2000,0,1109.38,4936.25,72.46,60,1151.00|4917.00|73.00,,,ART_Name_000058,ART_Subname_000058,污浊之地:,柱子之村,,1,,,,
1020,0,0,0,2000,0,1386.54,4851.52,29.78,100,,,,ART_Name_000059,ART_Subname_000059,污浊之地:,尸穴,,1,,,,
1021,0,0,0,2000,0,1191.83,4712.52,36.73,120,,,,ART_Name_000060,ART_Subname_000060,污浊之地:,蜘蛛巢穴,,1,,,,
1022,0,0,0,2000,0,1387.73,4690.29,57.39,20,,,,ART_Name_000061,ART_Subname_000061,污浊之地:,第四侦察队野营地,,1,,,,
1023,0,0,0,2000,0,1440.67,4375.83,76,70,1408.00|4367.00|75.00,,,ART_Name_000062,ART_Subname_000062,被遗忘之地:,草绿军驻扎地,,1,,,,
1024,1,0,0,2000,0,1162.77,4257.55,92.34,120,,,,ART_Name_000063,ART_Subname_000063,被遗忘之地:,古代门,,1,,,,
1025,1,0,0,2000,0,1460.14,4527.9,53.55,80,,,,ART_Name_000064,ART_Subname_000064,被遗忘之地:,贝斯帕德洼地,,1,,,,
1026,1,0,0,2000,0,1385.02,4175.16,72.66,80,,,,ART_Name_000065,ART_Subname_000065,被遗忘之地:,被遗忘者墓地,Sound/BGM/BGM_25.ogg|Sound/BGM/BGM_21.ogg,1,,,,
1027,1,0,0,2000,0,1172.04,4486.65,56.4,100,,,,ART_Name_000066,ART_Subname_000066,被遗忘之地:,莱索特墓地,Sound/BGM/BGM_25.ogg|Sound/BGM/BGM_21.ogg,1,,,,
1028,0,0,0,2000,0,1947.53,4440.51,86.5,70,,,,ART_Name_000067,ART_Subname_000067,红岩平原:,雷兰特冶炼厂,,1,,,,
1029,0,0,0,2000,0,1589.99,4490.97,94.54,50,,,,ART_Name_000068,ART_Subname_000068,红岩平原:,内特采石场,,1,,,,
1030,0,0,0,2000,0,1610.84,4149.75,107.35,70,,,,ART_Name_000069,ART_Subname_000069,红岩平原:,布朗汉挖掘场,,1,,,,
1031,0,0,0,2000,0,1813.2,4148.45,116.93,20,1814.00|4147.00|116.00,,,ART_Name_000070,ART_Subname_000070,红岩平原:,第二侦察队,,1,,,,
1032,0,0,0,2000,0,1787.72,4380.5,106.3,20,,,,ART_Name_000071,ART_Subname_000071,红岩平原:,第一侦察队,,1,,,,
1033,0,0,0,2000,0,1907.11,4240.16,108.83,100,,,,ART_Name_000072,ART_Subname_000072,红岩平原:,卢安克巢穴,,1,,,,
1034,0,0,0,2000,0,1608.07,3910.03,147.26,90,1606.00|3923.00|146.00,,,ART_Name_000073,ART_Subname_000073,红岩平原:,克里特矿山村,,1,,,,
1035,0,0,0,2000,0,1965.73,3942.07,152.67,90,,,,ART_Name_000074,ART_Subname_000074,红岩平原:,红蝎子盗贼团藏身处,,1,,,,
1036,0,0,0,2000,0,1718.92,4025.1,141.94,80,,,,ART_Name_000075,ART_Subname_000075,红岩平原:,克里特山丘,,1,,,,
1037,1,0,0,2000,0,1714.66,3712.94,124.85,150,,,,ART_Name_000076,ART_Subname_000076,红岩平原:,凯伦荒芜地,,1,,,,
1038,0,0,0,2000,0,1558.31,3692.81,139.31,20,,,,ART_Name_000077,ART_Subname_000077,红岩平原:,勘探队,,1,,,,
1039,1,0,0,2000,0,1413.57,3758.26,130.47,150,,,,ART_Name_000078,ART_Subname_000078,红岩平原:,凯伦荒芜地,,1,,,,
1040,1,0,0,2000,0,1194.89,3706.08,137.28,90,,,,ART_Name_000079,ART_Subname_000079,红岩平原:,加仑废矿,,1,,,,
1041,0,0,0,2000,0,1074.86,3893.19,132.13,80,1080.00|3898.00|132.00,,,ART_Name_000080,ART_Subname_000080,红岩平原:,红岩军团临时要塞,,1,,,,
1042,0,0,0,2000,0,1190.42,4025.87,134.59,100,,,,ART_Name_000081,ART_Subname_000081,红岩荒芜地:,红蝎子盗贼团要塞,,1,,,,
1043,0,0,0,2000,0,1402.73,3942.59,129.88,40,,,,ART_Name_000082,ART_Subname_000082,红岩荒芜地:,内勒克洞穴,,1,,,,
1044,0,0,0,2000,0,1306.43,3648.43,136.53,30,,,,ART_Name_000083,ART_Subname_000083,红岩荒芜地:,无名废矿,,1,,,,
1045,0,0,0,2000,0,1746.23,3608.92,136.28,20,,,,ART_Name_000084,ART_Subname_000084,红岩荒芜地:,孵化场,,1,,,,
1046,0,0,0,2000,0,1854.29,3388.62,153.15,75,1832.00|3394.00|153.00,,,ART_Name_000085,ART_Subname_000085,红岩遗迹:,红岩军队要塞,,1,,,,
1047,0,0,0,2000,0,1918.06,3150.81,151.27,140,,,,ART_Name_000086,ART_Subname_000086,红岩遗迹:,前哨战洞穴,,1,,,,
1048,0,0,1,2000,0,1959.81,3591.96,133.28,130,,,,ART_Name_000087,ART_Subname_000087,红岩遗迹:,怪兽之丘,,1,3034|4017|,3039|4010|,3010|4018|,3011|4021|
1049,1,0,0,2000,0,1636.01,3481.5,153.04,100,,,,ART_Name_000088,ART_Subname_000088,红岩遗迹:,布朗汉废墟,,1,,,,
1050,0,0,0,2000,0,1660.24,3244.34,132.07,130,,,,ART_Name_000089,ART_Subname_000089,红岩遗迹:,火焰封印,,1,,,,
1051,0,0,0,2000,0,2017.15,3131.02,145.39,60,,,,ART_Name_000090,ART_Subname_000090,红岩遗迹:,前哨战的遗迹,,1,,,,
2001,1,0,0,2000,0,7033.76,7830.99,88.31,80,,7008.00|7843.00|82.00,,ART_Name_000091,ART_Subname_000091,绿色海洋森林：,树林村庄,,1,,,,
2002,0,0,0,2000,0,7006.77,8001.28,94.84,70,,,,ART_Name_000092,ART_Subname_000092,绿色海洋森林：,老树哥布林野营地,,1,,,,
2003,1,0,0,2000,0,6892.26,8156.86,135.87,50,,,,ART_Name_000093,ART_Subname_000093,绿色海洋森林：,树种子孵坊,,1,,,,
2004,0,0,1,2000,0,6833.72,8463.45,106.48,100,,,,ART_Name_000094,ART_Subname_000094,藤蔓丛：,沉默的森林,,1,3020|,3021|,3022|,3023|
2005,0,0,0,2000,0,6931.84,8313.54,129.16,15,,,,ART_Name_000095,ART_Subname_000095,藤蔓丛：,警备哨所,,1,,,,
2006,0,0,1,2000,0,7036.35,8403.9,130.52,40,,,,ART_Name_000096,ART_Subname_000096,藤蔓丛：,四岁大的栖息地,,1,3034|,3039|,3010|,3011|
2007,1,0,0,2000,0,6965.89,8528.14,111.2,30,,6971.00|8531.00|111.00,,ART_Name_000097,ART_Subname_000097,藤蔓丛：,藤蔓研究所,,1,,,,
2008,0,0,0,2000,0,7177.63,8568.46,138.77,50,,,,ART_Name_000098,ART_Subname_000098,藤蔓丛：,普利德米尔饲养场,,1,,,,
2009,0,0,1,2000,0,7561.67,8616.67,230.96,120,,,,ART_Name_000099,ART_Subname_000099,悲伤沼泽：,雾崖,Sound/BGM/BGM_25.ogg|Sound/BGM/BGM_21.ogg,1,3034|,3039|,3010|,3011|
2010,0,0,0,2000,0,7332.15,8612.83,163.59,100,,,,ART_Name_000100,ART_Subname_000100,悲伤沼泽：,有去无回的溪谷,Sound/BGM/BGM_25.ogg|Sound/BGM/BGM_21.ogg,1,,,,
2011,0,0,0,2000,0,7221.39,8389.63,155.7,40,,7222.00|8385.00|155.00,,ART_Name_000101,ART_Subname_000101,悲伤沼泽：,沼泽野营地,,1,,,,
2012,1,0,0,2000,0,7257.56,8272.27,138.9,80,,,,ART_Name_000102,ART_Subname_000102,悲伤沼泽：,出血草原,,1,,,,
2013,1,0,0,2000,0,7530.24,8298.31,139.51,100,,,,ART_Name_000103,ART_Subname_000103,悲伤沼泽：,被唤醒的森林,,1,,,,
2014,0,0,0,2000,0,7298.32,8034.96,99.01,40,,7299.00|8032.00|98.00,,ART_Name_000104,ART_Subname_000104,深渊的湖水：,天浪基地,,1,,,,
2015,0,0,1,2000,0,7404.61,8082.72,109.25,80,,,,ART_Name_000105,ART_Subname_000105,深渊的湖水：,蜘蛛网巢穴,Sound/BGM/BGM_25.ogg|Sound/BGM/BGM_21.ogg,1,3034|,3039|,3010|,3011|
2016,0,0,1,2000,0,7531.64,7878.28,119.96,100,,,,ART_Name_000106,ART_Subname_000106,深渊的湖水：,诅咒的沼泽,Sound/BGM/BGM_25.ogg|Sound/BGM/BGM_21.ogg,1,3034|,3039|,3010|,3011|
2017,1,0,0,2000,0,7606.17,7636.42,94.19,60,,,,ART_Name_000107,ART_Subname_000107,深渊的湖水：,守护者山谷,,1,,,,
2018,0,0,0,2000,0,7343.59,7842.4,95.07,30,,,,ART_Name_000108,ART_Subname_000108,深渊的湖水：,湖畔联络所,,1,,,,
2019,1,0,0,2000,0,7245.72,7509.21,69.15,30,,7245.00|7506.00|69.00,,ART_Name_000109,ART_Subname_000109,神圣的盆地：,勘探队驻地,,1,,,,
2020,0,0,0,2000,0,7415.5,7407.06,78.49,80,,,,ART_Name_000110,ART_Subname_000110,神圣的盆地：,血色迷雾之丘,,1,,,,
2021,0,0,0,2000,0,7558.07,7384.31,104.91,45,,,,ART_Name_000111,ART_Subname_000111,神圣的盆地：,你又低。,Sound/BGM/BGM_25.ogg|Sound/BGM/BGM_21.ogg,1,,,,
2022,1,0,0,2000,0,7524.28,7208.98,110.93,60,,,,ART_Name_000112,ART_Subname_000112,神圣的盆地：,迷雾森林,Sound/BGM/BGM_25.ogg|Sound/BGM/BGM_21.ogg,1,,,,
2023,0,0,0,2000,0,7462.07,7306.29,81.81,20,,,,ART_Name_000113,ART_Subname_000113,神圣的盆地：,盆地侦察所,,1,,,,
2024,0,0,0,2000,0,7251.9,7251.37,108.52,80,,7245.00|7506.00|69.00,,ART_Name_000114,ART_Subname_000114,神圣的盆地：,毒蛇之穴,Sound/BGM/BGM_25.ogg|Sound/BGM/BGM_21.ogg,1,,,,
2025,0,0,0,2000,0,6503.76,7526.51,118.22,50,,,,ART_Name_000115,ART_Subname_000115,冰冻的江：,满是伤痕的大地,,1,,,,
2026,0,0,0,2000,0,6194.83,7413.75,116.77,30,,,,ART_Name_000116,ART_Subname_000116,冰冻的江：,冰冻研究所,,1,,,,
2027,0,0,0,2000,0,6496.93,7346.92,105.74,80,,,,ART_Name_000117,ART_Subname_000117,冰冻的江：,天空丘陵地,,1,,,,
2028,0,0,0,2000,0,6574.61,7439.73,125.36,30,,,,ART_Name_000118,ART_Subname_000118,冰冻的江：,马鬃野营地,,1,,,,
2029,0,0,0,2000,0,6509.65,7219.55,99.69,50,,,,ART_Name_000119,ART_Subname_000119,冰冻的江：,蓝钻平原,,1,,,,
2030,0,0,0,2000,0,6235.95,7250.59,103,40,,6253.00|7254.00|102.00,,ART_Name_000120,ART_Subname_000120,冰冻的江：,奥金尼村庄,,1,,,,
2031,0,0,0,2000,0,6811.17,7609.75,142.29,40,,6810.00|7607.00|142.00,,ART_Name_000121,ART_Subname_000121,寒风平原：,寒风村庄,,1,,,,
2032,0,0,0,2000,0,6774.44,7471.19,132,80,,,,ART_Name_000122,ART_Subname_000122,寒风平原：,冰部队占领地,,1,,,,
2033,0,0,0,2000,0,6921.54,7442.85,133.24,20,,,,ART_Name_000123,ART_Subname_000123,寒风平原：,冰珠野营地,,1,,,,
2034,1,0,0,2000,0,7050.53,7526.29,151.46,80,,,,ART_Name_000124,ART_Subname_000124,寒风平原：,大峡谷,,1,,,,
2035,1,0,0,2000,0,7046.58,7298.88,135.6,100,,,,ART_Name_000125,ART_Subname_000125,寒风平原：,雪花平原,,1,,,,
2036,0,0,0,2000,0,6881.2,7228.04,127.58,25,,,,ART_Name_000126,ART_Subname_000126,寒风平原：,刀锋哨所,,1,,,,
2037,0,0,0,2000,0,6754.35,7287.31,117.56,100,,,,ART_Name_000127,ART_Subname_000127,寒风平原：,冰河之路平原,,1,,,,
2038,0,0,0,2000,0,6807.55,7035.55,102.49,50,,6829.00|7053.00|102.00,,ART_Name_000128,ART_Subname_000128,寒霜之湖:,冷镜子村庄,,1,,,,
2039,0,0,0,2000,0,6996.67,7071.46,96.88,60,,,,ART_Name_000129,ART_Subname_000129,寒霜之湖:,寒风之地,,1,,,,
2040,0,0,0,2000,0,7120.69,6954.73,100,60,,,,ART_Name_000130,ART_Subname_000130,寒霜之湖:,钉耙山谷,,1,,,,
2041,0,0,0,2000,0,7102.83,6876.11,98.56,20,,,,ART_Name_000131,ART_Subname_000131,寒霜之湖:,钉耙野营地,,1,,,,
2042,0,0,0,2000,0,6907.4,6909.3,96.64,25,,,,ART_Name_000132,ART_Subname_000132,寒霜之湖:,嫌隙哨所,,1,,,,
2043,0,0,0,2000,0,6736.73,6853.51,97.72,60,,,,ART_Name_000133,ART_Subname_000133,寒霜之湖:,蓝麟大地,,1,,,,
2044,0,0,0,2000,0,6720.89,6725.09,111.55,60,,,,ART_Name_000134,ART_Subname_000134,寒霜之湖:,天空坠落山谷,,1,,,,
2045,0,0,0,2000,0,7474.39,6790.27,107.92,95,,,,ART_Name_000135,ART_Subname_000135,冰封峡谷:,锥之谷,,1,,,,
2046,0,0,0,2000,0,7594,6695.79,108.17,80,,,,ART_Name_000136,ART_Subname_000136,冰封峡谷:,冰爪峡谷,,1,,,,
2047,0,0,0,2000,0,7643.29,6901.7,106.99,30,,,,ART_Name_000137,ART_Subname_000137,冰封峡谷:,雷电之眼野营地,,1,,,,
2048,0,0,0,2000,0,7552.67,6982.01,108.21,60,,,,ART_Name_000138,ART_Subname_000138,冰封峡谷:,冷刃峡谷,,1,,,,
2049,0,0,0,2000,0,7378.01,7085.1,110.1,65,,,,ART_Name_000139,ART_Subname_000139,冰封峡谷:,冰部队哨所,,1,,,,
2050,0,0,0,2000,0,7411.32,6990.38,107.57,15,,,,ART_Name_000140,ART_Subname_000140,冰封峡谷:,海洋之光哨所,,1,,,,
2051,0,0,0,2000,0,7276.78,6731.1,108.37,30,,7275.00|6734.00|108.00,,ART_Name_000141,ART_Subname_000141,冰封峡谷:,冰谷之村,,1,,,,
