ID,MediaPath,Bone,MPartsFace,MPartsEyeball,MPartsHair,MPartsHelm,MPartsBody,MPartsHand,MPartsLegs,MPartsFoot,MPartsCape,LHandWeapon,RHandWeapon,ItemMeshScale,StepLOD_01,StepLOD_02,StepLOD_03,StepLOD_04,StepLOD_05,EffectCreate,HitEffectKind,FourFoot
10,Model,00006.kfm,p_o_m_face_0102_lod.bif,p_o_m_eyes_0003_lod.bif,p_o_m_hair_0000_lod.nif,p_o_06_c_m_helm_lod.nif,p_o_06_c_m_body_lod.nif,p_o_06_c_m_hand_lod.nif,,p_o_06_c_m_foot_lod.nif,p_o_05_a_m_cape_lod.bif,,,,1000.0f,2000.0f,3000.0f,4000.0f,6000.0f,,0,0
11,Model,00006.kfm,p_o_m_face_0402_lod.bif,p_o_m_eyes_0004_lod.bif,p_o_m_hair_0000_lod.nif,p_o_06_f_m_helm_lod.nif,p_o_06_f_m_body_lod.nif,p_o_06_f_m_hand_lod.nif,,p_o_06_f_m_foot_lod.nif,p_o_05_b_m_cape_lod.bif,,,,1000.0f,2000.0f,3000.0f,4000.0f,6000.0f,,0,0
12,Model,00006.kfm,p_o_m_face_0302_lod.bif,p_o_m_eyes_0005_lod.bif,p_o_m_hair_0000_lod.nif,p_o_06_i_m_helm_lod.nif,p_o_06_i_m_body_lod.nif,p_o_06_i_m_hand_lod.nif,,p_o_06_i_m_foot_lod.nif,p_o_05_c_m_cape_lod.bif,,,,1000.0f,2000.0f,3000.0f,4000.0f,6000.0f,,0,0
13,Model,00007.kfm,p_o_f_face_0002_lod.bif,p_o_f_eyes_0003_lod.bif,p_o_f_hair_0000_lod.nif,p_o_06_c_f_helm_lod.nif,p_o_06_c_f_body_lod.nif,p_o_06_c_f_hand_lod.nif,,p_o_06_c_f_foot_lod.nif,p_o_05_a_f_cape_lod.bif,,,,1000.0f,2000.0f,3000.0f,4000.0f,6000.0f,,0,0
14,Model,00007.kfm,p_o_f_face_0402_lod.bif,p_o_f_eyes_0004_lod.bif,p_o_f_hair_0000_lod.nif,p_o_06_f_f_helm_lod.nif,p_o_06_f_f_body_lod.nif,p_o_06_f_f_hand_lod.nif,,p_o_06_f_f_foot_lod.nif,p_o_05_b_f_cape_lod.bif,,,,1000.0f,2000.0f,3000.0f,4000.0f,6000.0f,,0,0
15,Model,00007.kfm,p_o_f_face_0302_lod.bif,p_o_f_eyes_0005_lod.bif,p_o_f_hair_0000_lod.nif,p_o_06_i_f_helm_lod.nif,p_o_06_i_f_body_lod.nif,p_o_06_i_f_hand_lod.nif,,p_o_06_i_f_foot_lod.nif,p_o_05_c_f_cape_lod.bif,,,,1000.0f,2000.0f,3000.0f,4000.0f,6000.0f,,0,0
50,Model,00000.kfm,p_h_m_face_0000_lod.nif,p_h_m_eyes_0000_lod.nif,p_h_m_hair_0000_lod.nif,p_h_06_c_m_helm_lod.nif,p_h_06_c_m_body_lod.nif,p_h_06_c_m_hand_lod.nif,,p_h_06_c_m_foot_lod.nif,p_h_05_a_m_cape_lod.bif,,,,1000.0f,2000.0f,3000.0f,4000.0f,6000.0f,,0,0
51,Model,00000.kfm,p_h_m_face_0000_lod.nif,p_h_m_eyes_0000_lod.nif,p_h_m_hair_0000_lod.nif,p_h_06_f_m_helm_lod.nif,p_h_06_f_m_body_lod.nif,p_h_06_f_m_hand_lod.nif,,p_h_06_f_m_foot_lod.nif,p_h_05_b_m_cape_lod.bif,,,,1000.0f,2000.0f,3000.0f,4000.0f,6000.0f,,0,0
52,Model,00000.kfm,p_h_m_face_0000_lod.nif,p_h_m_eyes_0000_lod.nif,p_h_m_hair_0000_lod.nif,p_h_06_i_m_helm_lod.nif,p_h_06_i_m_body_lod.nif,p_h_06_i_m_hand_lod.nif,,p_h_06_i_m_foot_lod.nif,p_h_05_c_m_cape_lod.bif,,,,1000.0f,2000.0f,3000.0f,4000.0f,6000.0f,,0,0
55,Model,00001.kfm,p_h_f_face_0000_lod.nif,p_h_f_eyes_0000_lod.nif,p_h_f_hair_0000_lod.nif,p_h_06_c_f_helm_lod.nif,p_h_06_c_f_body_lod.nif,p_h_06_c_f_hand_lod.nif,,p_h_06_c_f_foot_lod.nif,p_h_05_a_f_cape_lod.bif,,,,1000.0f,2000.0f,3000.0f,4000.0f,6000.0f,,0,0
56,Model,00001.kfm,p_h_f_face_0000_lod.nif,p_h_f_eyes_0000_lod.nif,p_h_f_hair_0000_lod.nif,p_h_06_f_f_helm_lod.nif,p_h_06_f_f_body_lod.nif,p_h_06_f_f_hand_lod.nif,,p_h_06_f_f_foot_lod.nif,p_h_05_b_f_cape_lod.bif,,,,1000.0f,2000.0f,3000.0f,4000.0f,6000.0f,,0,0
57,Model,00001.kfm,p_h_f_face_0000_lod.nif,p_h_f_eyes_0000_lod.nif,p_h_f_hair_0000_lod.nif,p_h_06_i_f_helm_lod.nif,p_h_06_i_f_body_lod.nif,p_h_06_i_f_hand_lod.nif,,p_h_06_i_f_foot_lod.nif,p_h_05_c_f_cape_lod.bif,,,,1000.0f,2000.0f,3000.0f,4000.0f,6000.0f,,0,0
60,Model,00006.kfm,p_o_m_face_0102_lod.bif,p_o_m_eyes_0003_lod.bif,p_o_m_hair_0000_lod.nif,p_o_06_c_m_helm_lod.nif,p_o_06_c_m_body_lod.nif,p_o_06_c_m_hand_lod.nif,,p_o_06_c_m_foot_lod.nif,p_o_05_a_m_cape_lod.bif,,,,1000.0f,2000.0f,3000.0f,4000.0f,6000.0f,,0,0
61,Model,00006.kfm,p_o_m_face_0402_lod.bif,p_o_m_eyes_0004_lod.bif,p_o_m_hair_0000_lod.nif,p_o_06_f_m_helm_lod.nif,p_o_06_f_m_body_lod.nif,p_o_06_f_m_hand_lod.nif,,p_o_06_f_m_foot_lod.nif,p_o_05_b_m_cape_lod.bif,,,,1000.0f,2000.0f,3000.0f,4000.0f,6000.0f,,0,0
62,Model,00006.kfm,p_o_m_face_0302_lod.bif,p_o_m_eyes_0005_lod.bif,p_o_m_hair_0000_lod.nif,p_o_06_i_m_helm_lod.nif,p_o_06_i_m_body_lod.nif,p_o_06_i_m_hand_lod.nif,,p_o_06_i_m_foot_lod.nif,p_o_05_c_m_cape_lod.bif,,,,1000.0f,2000.0f,3000.0f,4000.0f,6000.0f,,0,0
65,Model,00007.kfm,p_o_f_face_0002_lod.bif,p_o_f_eyes_0003_lod.bif,p_o_f_hair_0000_lod.nif,p_o_06_c_f_helm_lod.nif,p_o_06_c_f_body_lod.nif,p_o_06_c_f_hand_lod.nif,,p_o_06_c_f_foot_lod.nif,p_o_05_a_f_cape_lod.bif,,,,1000.0f,2000.0f,3000.0f,4000.0f,6000.0f,,0,0
66,Model,00007.kfm,p_o_f_face_0402_lod.bif,p_o_f_eyes_0004_lod.bif,p_o_f_hair_0000_lod.nif,p_o_06_f_f_helm_lod.nif,p_o_06_f_f_body_lod.nif,p_o_06_f_f_hand_lod.nif,,p_o_06_f_f_foot_lod.nif,p_o_05_b_f_cape_lod.bif,,,,1000.0f,2000.0f,3000.0f,4000.0f,6000.0f,,0,0
67,Model,00007.kfm,p_o_f_face_0302_lod.bif,p_o_f_eyes_0005_lod.bif,p_o_f_hair_0000_lod.nif,p_o_06_i_f_helm_lod.nif,p_o_06_i_f_body_lod.nif,p_o_06_i_f_hand_lod.nif,,p_o_06_i_f_foot_lod.nif,p_o_05_c_f_cape_lod.bif,,,,1000.0f,2000.0f,3000.0f,4000.0f,6000.0f,,0,0
100,Npc,00100.kfm,,,,,n_hnpa_a_lows_none_none_lod.nif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
101,Npc,00101.kfm,,,,,n_hnpb_a_lows_none_none_lod.nif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
102,Npc,00102.kfm,,,,,n_hnpa_b_lows_none_none_lod.nif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
103,Npc,00103.kfm,,,,,n_hnpa_c_lows_none_none_lod.nif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
104,Npc,00104.kfm,,,,,n_hnpb_b_lows_none_none_lod.nif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
105,Npc,00105.kfm,,,,,n_hnpb_c_lows_none_none_lod.nif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
106,Npc,00106.kfm,,,,,n_nhum_a_lows_none_none_lod.nif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
107,Npc,00107.kfm,,,,,n_nhum_b_lows_none_none_lod.nif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
108,Npc,00108.kfm,,,,,n_nhum_c_lows_none_none_lod.nif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
300,Npc,00300.kfm,,,,,n_mnpb_a_lows_none_none_lod.nif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
301,Npc,00301.kfm,,,,,n_mnpb_b_lows_none_none_lod.nif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
302,Npc,00302.kfm,,,,,n_mnpb_c_lows_none_none_lod.nif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
303,Npc,00303.kfm,,,,,n_mnpa_a_lows_none_none_lod.nif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
304,Npc,00304.kfm,,,,,n_mnpa_b_lows_none_none_lod.nif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
305,Npc,00305.kfm,,,,,n_mnpa_c_lows_none_none_lod.nif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
306,Npc,00306.kfm,,,,,n_mnpc_a_lows_none_none_lod.nif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
307,Npc,00307.kfm,,,,,n_mnpc_b_lows_none_none_lod.nif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
308,Npc,00308.kfm,,,,,n_mnpc_c_lows_none_none_lod.nif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
500,Npc,00500.kfm,,,,,n_dnga_a_lows_none_none_lod.nif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
501,Npc,00501.kfm,,,,,n_dnga_b_lows_none_none_lod.nif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
502,Npc,00502.kfm,,,,,n_dnga_c_lows_none_none_lod.nif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
503,Npc,00503.kfm,,,,,n_dnpa_a_lows_none_none_lod.nif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
504,Npc,00504.kfm,,,,,n_dnpa_b_lows_none_none_lod.nif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
505,Npc,00505.kfm,,,,,n_dnpa_c_lows_none_none_lod.nif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
506,Npc,00506.kfm,,,,,n_dnpb_a_lows_none_none_lod.nif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
507,Npc,00507.kfm,,,,,n_dnpb_b_lows_none_none_lod.nif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
508,Npc,00508.kfm,,,,,n_dnpb_c_lows_none_none_lod.nif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
700,Npc,00700.kfm,,,,,n_onga_a_lows_none_none_lod.nif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
701,Npc,00701.kfm,,,,,n_onga_b_lows_none_none_lod.nif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
702,Npc,00702.kfm,,,,,n_onga_c_lows_none_none_lod.nif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
718,Npc,00718.kfm,,,,,n_onpa_a_lows_none_none_lod.nif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
719,Npc,00719.kfm,,,,,n_onpa_b_lows_none_none_lod.nif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
720,Npc,00720.kfm,,,,,n_onpa_c_lows_none_none_lod.nif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
721,Npc,00721.kfm,,,,,n_onpb_a_lows_none_none_lod.nif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
722,Npc,00722.kfm,,,,,n_onpb_b_lows_none_none_lod.nif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
723,Npc,00723.kfm,,,,,n_onpb_c_lows_none_none_lod.nif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
900,Npc,00900.kfm,,,,,n_ebsa_z_boss_mage_none_lod.nif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,900_000,0,0
901,Npc,00901.kfm,,,,,n_dbsa_z_boss_mage_none_lod.nif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,901_000,0,0
903,Npc,00903.kfm,,,,,n_adra_z_boss_mage_none_lod.nif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,903_000,0,0
904,Npc,00904.kfm,,,,,n_goli_z_boss_warr_none_lod.nif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
1000,Npc,01000.kfm,,,,,m_kkni_a_lows_none_none_lod.nif,,,,,0|m_kkni_w_shld_lft_a_lod.nif,1|m_kkni_w_lanc_rgt_a_lod.nif,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
1001,Npc,01000.kfm,,,,,m_kkni_b_lows_none_none_lod.bif,,,,,0|m_kkni_w_shld_lft_b_lod.bif,1|m_kkni_w_lanc_rgt_b_lod.bif,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
1002,Npc,01000.kfm,,,,,m_kkni_c_lows_none_none_lod.nif,,,,,0|m_kkni_w_shld_lft_c_lod.nif,1|m_kkni_w_lanc_rgt_c_lod.nif,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
1003,Npc,01003.kfm,,,,,m_dswe_a_lows_none_none_lod.nif,,,,,2|m_dswe_w_tstf_rgt_a_lod.nif,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
1004,Npc,01003.kfm,,,,,m_dswe_b_lows_none_none_lod.bif,,,,,2|m_dswe_w_tstf_rgt_b_lod.bif,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
1005,Npc,01003.kfm,,,,,m_dswe_c_lows_none_none_lod.nif,,,,,2|m_dswe_w_tstf_rgt_c_lod.nif,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
1006,Npc,01006.kfm,,,,,m_pisa_a_lows_none_none_lod.nif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
1007,Npc,01006.kfm,,,,,m_pisa_b_lows_none_none_lod.bif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
1008,Npc,01006.kfm,,,,,m_pisa_c_lows_none_none_lod.nif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
1009,Npc,01009.kfm,,,,,m_cbri_a_lows_none_none_lod.nif,,,,,,7|m_cbri_w_oblt_rgt_a_lod.nif,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
1010,Npc,01009.kfm,,,,,m_cbri_b_lows_none_none_lod.bif,,,,,,7|m_cbri_w_oblt_rgt_b_lod.bif,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
1011,Npc,01009.kfm,,,,,m_cbri_c_lows_none_none_lod.nif,,,,,,7|m_cbri_w_oblt_rgt_c_lod.nif,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
1012,Npc,01012.kfm,,,,,m_bsum_a_lows_none_none_lod.nif,,,,,,6|m_bsum_w_tcan_all_a_lod.nif,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
1013,Npc,01012.kfm,,,,,m_bsum_b_lows_none_none_lod.bif,,,,,,6|m_bsum_w_tcan_all_b_lod.bif,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
1014,Npc,01012.kfm,,,,,m_bsum_c_lows_none_none_lod.nif,,,,,,6|m_bsum_w_tcan_all_c_lod.nif,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
1015,Npc,01017.kfm,,,,,m_rvil_a_lows_none_none_lod.nif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
1016,Npc,01017.kfm,,,,,m_rvil_b_lows_none_none_lod.bif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
1017,Npc,01017.kfm,,,,,m_rvil_c_lows_none_none_lod.nif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
1018,Npc,01018.kfm,,,,,m_curi_a_lows_none_none_lod.nif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,1,1
1019,Npc,01018.kfm,,,,,m_curi_b_lows_none_none_lod.bif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,1,1
1020,Npc,01018.kfm,,,,,m_curi_c_lows_none_none_lod.nif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,1,1
1021,Npc,01021.kfm,,,,,m_gend_a_lows_none_none_lod.nif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
1022,Npc,01021.kfm,,,,,m_gend_b_lows_none_none_lod.bif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
1023,Npc,01021.kfm,,,,,m_gend_c_lows_none_none_lod.nif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
1024,Npc,01024.kfm,,,,,m_egat_a_lows_none_none_lod.nif,,,,,,2|m_egat_w_tstf_rgt_a_lod.nif,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
1025,Npc,01024.kfm,,,,,m_egat_b_lows_none_none_lod.bif,,,,,,2|m_egat_w_tstf_rgt_b_lod.bif,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
1026,Npc,01024.kfm,,,,,m_egat_c_lows_none_none_lod.nif,,,,,,2|m_egat_w_tstf_rgt_c_lod.nif,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
1027,Npc,01027.kfm,,,,,m_zoff_a_lows_none_none_lod.nif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
1028,Npc,01027.kfm,,,,,m_zoff_b_lows_none_none_lod.bif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
1029,Npc,01027.kfm,,,,,m_zoff_c_lows_none_none_lod.nif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
1030,Npc,01030.kfm,,,,,m_blin_a_lows_none_none_lod.nif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,1
1031,Npc,01030.kfm,,,,,m_blin_b_lows_none_none_lod.bif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,1
1032,Npc,01030.kfm,,,,,m_blin_c_lows_none_none_lod.nif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,1
1033,Npc,01033.kfm,,,,,m_fkpa_a_boss_none_none_lod.nif,,,,,0|m_fkpa_w_shld_lft_a_lod.nif,10|m_fkpa_w_oswd_rgt_a_lod.nif,,4000.0f,5000.0f,6000.0f,7000.0f,10000.0f,,0,0
1034,Npc,01034.kfm,,,,,m_thoa_a_boss_none_none_lod.nif,,,,,,,,4000.0f,5000.0f,6000.0f,7000.0f,10000.0f,,0,0
1035,Npc,01035.kfm,,,,,m_rwia_a_boss_none_none_lod.nif,,,,,13|m_rwib_w_twan_all_a_lod.nif,3|m_rwia_w_taxe_all_a_lod.nif,,4000.0f,5000.0f,6000.0f,7000.0f,10000.0f,,0,0
1036,Npc,01036.kfm,,,,,m_kara_a_boss_none_none_lod.nif,,,,,,,,4000.0f,5000.0f,6000.0f,7000.0f,10000.0f,1036_000,0,1
1037,Npc,01037.kfm,,,,,m_diva_a_boss_none_none_lod.nif,,,,,3|m_diva_w_taxe_all_a_lod.nif,,,4000.0f,5000.0f,6000.0f,7000.0f,10000.0f,,0,0
1038,Npc,01038.kfm,,,,,m_icea_a_boss_none_none_lod.nif,,,,,,,,4000.0f,5000.0f,6000.0f,7000.0f,10000.0f,1038_000,0,0
1039,Npc,01039.kfm,,,,,m_desa_a_boss_none_none_lod.nif,,,,,,,,4000.0f,5000.0f,6000.0f,7000.0f,10000.0f,,1,0
1040,Npc,01040.kfm,,,,,m_tofa_a_boss_none_none_lod.nif,,,,,,1|m_tofa_w_pike_all_a_lod.nif,,4000.0f,5000.0f,6000.0f,7000.0f,10000.0f,,0,0
1041,Npc,01041.kfm,,,,,m_agra_a_boss_none_none_lod.nif,,,,,,,,4000.0f,5000.0f,6000.0f,7000.0f,10000.0f,1041_000,1,1
1042,Npc,01042.kfm,,,,,m_dsop_boss_none_none_lod.nif,,,,,,,,4000.0f,5000.0f,6000.0f,7000.0f,10000.0f,1042_000,0,0
1043,Npc,01043.kfm,,,,,m_pain_a_boss_none_none_lod.nif,,,,,,,,4000.0f,5000.0f,6000.0f,7000.0f,10000.0f,1043_000,0,0
1044,Npc,01044.kfm,,,,,m_roka_a_boss_none_none_lod.nif,,,,,13|m_roka_w_wand_rgt_a_lod.nif,13|m_roka_w_wand_rgt_a_lod.nif,,4000.0f,5000.0f,6000.0f,7000.0f,10000.0f,,0,0
1045,Npc,01045.kfm,,,,,m_papa_a_boss_none_none_lod.nif,,,,,,,,4000.0f,5000.0f,6000.0f,7000.0f,10000.0f,1045_000,0,1
1046,Npc,01046.kfm,,,,,m_dpgr_a_boss_none_none_lod.nif,,,,,,,,4000.0f,5000.0f,6000.0f,7000.0f,10000.0f,1046_000,0,0
1047,Npc,01047.kfm,,,,,m_gsfm_a_boss_none_none_lod.nif,,,,,,,,4000.0f,5000.0f,6000.0f,7000.0f,10000.0f,1047_000,0,1
1048,Npc,01048.kfm,,,,,m_pudr_a_boss_none_none_lod.nif,,,,,,13|m_pudr_w_wand_rgt_a_lod.nif,,4000.0f,5000.0f,6000.0f,7000.0f,10000.0f,1048_000,0,0
1049,Npc,01049.kfm,,,,,m_grda_a_boss_none_none_lod.nif,,,,,,3|m_grda_w_taxe_all_a_lod.nif,,4000.0f,5000.0f,6000.0f,7000.0f,10000.0f,1049_000,0,0
1050,Npc,01050.kfm,,,,,m_hypt_a_boss_none_none_lod.nif,,,,,,,,4000.0f,5000.0f,6000.0f,7000.0f,10000.0f,1050_000,0,1
1051,Npc,01051.kfm,,,,,m_jarn_a_boss_none_none_lod.nif,,,,,,3|m_jarn_w_taxe_all_a_lod.nif,,4000.0f,5000.0f,6000.0f,7000.0f,10000.0f,1051_000_INT,0,1
1052,Npc,01052.kfm,,,,,m_skka_a_boss_none_none_lod.nif,,,,,3|m_skka_w_taxe_rgt_a_lod.nif,,,4000.0f,5000.0f,6000.0f,7000.0f,10000.0f,1052_000,0,0
1053,Npc,01053.kfm,,,,,m_stan_a_boss_none_none_lod.nif,,,,,,,,4000.0f,5000.0f,6000.0f,7000.0f,10000.0f,1053_000_int,0,1
1055,Npc,01055.kfm,,,,,m_kdaa_a_boss_none_none_lod.nif,,,,,,,,4000.0f,5000.0f,6000.0f,7000.0f,10000.0f,1053_000_int,0,1
