TID,RewardTID,Comment,BoxColor,RewardItem01,RewardItemStack01,RewardRate01,RewardItem02,RewardItemStack02,RewardRate02,RewardItem03,RewardItemStack03,RewardRate03,RewardItem04,RewardItemStack04,RewardRate04,RewardItem05,RewardItemStack05,RewardRate05,RewardItem06,RewardItemStack06,RewardRate06,RewardItem07,RewardItemStack07,RewardRate07,RewardItem08,RewardItemStack08,RewardRate08,RewardItem09,RewardItemStack09,RewardRate09,RewardItem10,RewardItemStack10,RewardRate10
1210,4002,"洛坎的实验室 (人类, 极困难)-SSS 奖励",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1211,4002,"洛坎的实验室 (人类, 极困难)-SS 奖励",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1212,4002,"洛坎的实验室 (人类, 极困难)-S 奖励",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1213,4002,"洛坎的实验室 (人类, 极困难)-A 奖励",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1214,4002,"洛坎的实验室 (人类, 极困难)-B 奖励",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1215,4002,"洛坎的实验室 (人类, 极困难)-F 奖励",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1240,4002,"洛坎的实验室 (兽族, 极困难)-SSS 奖励",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1241,4002,"洛坎的实验室 (兽族, 极困难)-SS 奖励",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1242,4002,"洛坎的实验室 (兽族, 极困难)-S 奖励",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1243,4002,"洛坎的实验室 (兽族, 极困难)-A 奖励",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1244,4002,"洛坎的实验室 (兽族, 极困难)-B 奖励",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1245,4002,"洛坎的实验室 (兽族, 极困难)-F 奖励",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1310,4003,"洛坎的实验室 (人类, 炼狱)-SSS 奖励",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1311,4003,"洛坎的实验室 (人类, 炼狱)-SS 奖励",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1312,4003,"洛坎的实验室 (人类, 炼狱)-S 奖励",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1313,4003,"洛坎的实验室 (人类, 炼狱)-A 奖励",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1314,4003,"洛坎的实验室 (人类, 炼狱)-B 奖励",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1315,4003,"洛坎的实验室 (人类, 炼狱)-F 奖励",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1340,4003,"洛坎的实验室 (兽族, 炼狱)-SSS 奖励",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1341,4003,"洛坎的实验室 (兽族, 炼狱)-SS 奖励",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1342,4003,"洛坎的实验室 (兽族, 炼狱)-S 奖励",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1343,4003,"洛坎的实验室 (兽族, 炼狱)-A 奖励",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1344,4003,"洛坎的实验室 (兽族, 炼狱)-B 奖励",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1345,4003,"洛坎的实验室 (兽族, 炼狱)-F 奖励",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,4010,"深渊神殿 (人类, 普通)-SSS 奖励",5,81006,1,925,81007,1,4625,81008,1,9250,2080111,1,9288,2080112,1,9326,2080121,1,9476,2080122,1,9626,2080131,1,9814,2080132,1,10000,,,
2011,4010,"深渊神殿 (人类, 普通)-SS 奖励",5,81006,1,925,81007,1,5550,81008,1,9250,2080111,1,9326,2080112,1,9514,2080121,1,9702,2080122,1,9702,2080131,1,9852,2080132,1,10000,,,
2012,4010,"深渊神殿 (人类, 普通)-S 奖励",4,81006,1,4625,81007,1,7400,81008,1,9250,2080111,1,9626,2080112,1,9739,2080121,1,9852,2080122,1,9852,2080131,1,9927,2080132,1,10000,,,
2013,4010,"深渊神殿 (人类, 普通)-A 奖励",3,81006,1,2000,10008,20,4400,10108,20,6100,10009,20,8300,10109,20,10000,,,,,,,,,,,,,,,
2014,4010,"深渊神殿 (人类, 普通)-B 奖励",3,81006,1,500,10008,10,3100,10108,10,5300,10009,10,7800,10109,10,10000,,,,,,,,,,,,,,,
2015,4010,"深渊神殿 (人类, 普通)-F 奖励",2,10008,1,3000,10108,1,5000,10009,1,8000,10109,1,10000,,,,,,,,,,,,,,,,,,
2040,4010,"深渊神殿 (兽族, 普通)-SSS 奖励",5,81106,1,925,81107,1,4625,81108,1,9250,2080111,1,9288,2080112,1,9326,2080121,1,9476,2080122,1,9626,2080131,1,9814,2080132,1,10000,,,
2041,4010,"深渊神殿 (兽族, 普通)-SS 奖励",5,81106,1,925,81107,1,5550,81108,1,9288,2080111,1,9326,2080112,1,9514,2080121,1,9702,2080122,1,9702,2080131,1,9852,2080132,1,10000,,,
2042,4010,"深渊神殿 (兽族, 普通)-S 奖励",4,81106,1,4625,81107,1,7400,81108,1,9438,2080111,1,9626,2080112,1,9739,2080121,1,9852,2080122,1,9852,2080131,1,9927,2080132,1,10000,,,
2043,4010,"深渊神殿 (兽族, 普通)-A 奖励",3,81106,1,2000,10008,20,4400,10108,20,6100,10009,20,8300,10109,20,10000,,,,,,,,,,,,,,,
2044,4010,"深渊神殿 (兽族, 普通)-B 奖励",3,81106,1,500,10008,10,3100,10108,10,5300,10009,10,7800,10109,10,10000,,,,,,,,,,,,,,,
2045,4010,"深渊神殿 (兽族, 普通)-F 奖励",2,10008,1,3000,10108,1,5000,10009,1,8000,10109,1,10000,,,,,,,,,,,,,,,,,,
2110,4011,"深渊神殿 (人类, 困难)-SSS 奖励",5,81007,1,1850,81008,1,8325,2080121,1,8400,2080122,1,8475,2080131,1,8738,2080132,1,9001,115100,1,9501,115101,1,10000,,,,,,
2111,4011,"深渊神殿 (人类, 困难)-SS 奖励",5,81007,1,4625,81008,1,9250,2080121,1,9438,2080122,1,9626,2080131,1,9814,2080132,1,10000,,,,,,,,,,,,
2112,4011,"深渊神殿 (人类, 困难)-S 奖励",4,81007,1,6475,81008,1,9250,2080121,1,9513,2080122,1,9776,2080131,1,9889,2080132,1,10000,,,,,,,,,,,,
2113,4011,"深渊神殿 (人类, 困难)-A 奖励",3,81006,1,3000,10008,30,4800,10108,30,6500,10009,30,8300,10109,30,10000,,,,,,,,,,,,,,,
2114,4011,"深渊神殿 (人类, 困难)-B 奖励",3,81006,1,1000,10008,15,3300,10108,15,5500,10009,15,7800,10109,15,10000,,,,,,,,,,,,,,,
2115,4011,"深渊神殿 (人类, 困难)-F 奖励",2,10008,1,2500,10108,1,5000,10009,1,7500,10109,1,10000,,,,,,,,,,,,,,,,,,
2140,4011,"深渊神殿 (兽族, 困难)-SSS 奖励",5,81107,1,1850,81108,1,8325,2080121,1,8400,2080122,1,8475,2080131,1,8738,2080132,1,9001,115100,1,9501,115101,1,10000,,,,,,
2141,4011,"深渊神殿 (兽族, 困难)-SS 奖励",5,81107,1,4625,81108,1,9250,2080121,1,9438,2080122,1,9626,2080131,1,9814,2080132,1,10000,,,,,,,,,,,,
2142,4011,"深渊神殿 (兽族, 困难)-S 奖励",4,81107,1,6475,81108,1,9250,2080121,1,9513,2080122,1,9776,2080131,1,9889,2080132,1,10000,,,,,,,,,,,,
2143,4011,"深渊神殿 (兽族, 困难)-A 奖励",3,81106,1,3000,10008,30,4800,10108,30,6500,10009,30,8300,10109,30,10000,,,,,,,,,,,,,,,
2144,4011,"深渊神殿 (兽族, 困难)-B 奖励",3,81106,1,1000,10008,15,3300,10108,15,5500,10009,15,7800,10109,15,10000,,,,,,,,,,,,,,,
2145,4011,"深渊神殿 (兽族, 困难)-F 奖励",2,10008,1,2500,10108,1,5000,10009,1,7500,10109,1,10000,,,,,,,,,,,,,,,,,,
2210,4012,"深渊神殿 (人类, 极困难)-SSS 奖励",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2211,4012,"深渊神殿 (人类, 极困难)-SS 奖励",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2212,4012,"深渊神殿 (人类, 极困难)-S 奖励",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2213,4012,"深渊神殿 (人类, 极困难)-A 奖励",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2214,4012,"深渊神殿 (人类, 极困难)-B 奖励",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2215,4012,"深渊神殿 (人类, 极困难)-F 奖励",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2240,4012,"深渊神殿 (兽族, 极困难)-SSS 奖励",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2241,4012,"深渊神殿 (兽族, 极困难)-SS 奖励",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2242,4012,"深渊神殿 (兽族, 极困难)-S 奖励",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2243,4012,"深渊神殿 (兽族, 极困难)-A 奖励",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2244,4012,"深渊神殿 (兽族, 极困难)-B 奖励",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2245,4012,"深渊神殿 (兽族, 极困难)-F 奖励",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2310,4013,"深渊神殿 (人类, 炼狱)-SSS 奖励",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2311,4013,"深渊神殿 (人类, 炼狱)-SS 奖励",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2312,4013,"深渊神殿 (人类, 炼狱)-S 奖励",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2313,4013,"深渊神殿 (人类, 炼狱)-A 奖励",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2314,4013,"深渊神殿 (人类, 炼狱)-B 奖励",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2315,4013,"深渊神殿 (人类, 炼狱)-F 奖励",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2340,4013,"深渊神殿 (兽族, 炼狱)-SSS 奖励",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2341,4013,"深渊神殿 (兽族, 炼狱)-SS 奖励",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2342,4013,"深渊神殿 (兽族, 炼狱)-S 奖励",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2343,4013,"深渊神殿 (兽族, 炼狱)-A 奖励",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2344,4013,"深渊神殿 (兽族, 炼狱)-B 奖励",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2345,4013,"深渊神殿 (兽族, 炼狱)-F 奖励",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3010,4020,"奎里奥德矿山 (人类, 普通)-SSS 奖励",5,81009,1,925,81010,1,4625,81011,1,9250,2080211,1,9288,2080212,1,9326,2080221,1,9476,2080222,1,9626,2080231,1,9814,2080232,1,10000,,,
3011,4020,"奎里奥德矿山 (人类, 普通)-SS 奖励",5,81009,1,925,81010,1,5550,81011,1,9250,2080211,1,9326,2080212,1,9514,2080221,1,9702,2080222,1,9702,2080231,1,9852,2080232,1,10000,,,
3012,4020,"奎里奥德矿山 (人类, 普通)-S 奖励",4,81009,1,4625,81010,1,7400,81011,1,9250,2080211,1,9626,2080212,1,9739,2080221,1,9852,2080222,1,9852,2080231,1,9927,2080232,1,10000,,,
3013,4020,"奎里奥德矿山 (人类, 普通)-A 奖励",3,81009,1,2000,10008,20,4400,10108,20,6100,10009,20,8300,10109,20,10000,,,,,,,,,,,,,,,
3014,4020,"奎里奥德矿山 (人类, 普通)-B 奖励",3,81009,1,500,10008,10,3100,10108,10,5300,10009,10,7800,10109,10,10000,,,,,,,,,,,,,,,
3015,4020,"奎里奥德矿山 (人类, 普通)-F 奖励",2,10008,1,3000,10108,1,5000,10009,1,8000,10109,1,10000,,,,,,,,,,,,,,,,,,
3040,4020,"奎里奥德矿山 (兽族, 普通)-SSS 奖励",5,81109,1,925,81110,1,4625,81111,1,9250,2080211,1,9288,2080212,1,9326,2080221,1,9476,2080222,1,9626,2080231,1,9814,2080232,1,10000,,,
3041,4020,"奎里奥德矿山 (兽族, 普通)-SS 奖励",5,81109,1,925,81110,1,5550,81111,1,9288,2080211,1,9326,2080212,1,9514,2080221,1,9702,2080222,1,9702,2080231,1,9852,2080232,1,10000,,,
3042,4020,"奎里奥德矿山 (兽族, 普通)-S 奖励",4,81109,1,4625,81110,1,7400,81111,1,9438,2080211,1,9626,2080212,1,9739,2080221,1,9852,2080222,1,9852,2080231,1,9927,2080232,1,10000,,,
3043,4020,"奎里奥德矿山 (兽族, 普通)-A 奖励",3,81109,1,2000,10008,20,4400,10108,20,6100,10009,20,8300,10109,20,10000,,,,,,,,,,,,,,,
3044,4020,"奎里奥德矿山 (兽族, 普通)-B 奖励",3,81109,1,500,10008,10,3100,10108,10,5300,10009,10,7800,10109,10,10000,,,,,,,,,,,,,,,
3045,4020,"奎里奥德矿山 (兽族, 普通)-F 奖励",2,10008,1,3000,10108,1,5000,10009,1,8000,10109,1,10000,,,,,,,,,,,,,,,,,,
3110,4021,"奎里奥德矿山 (人类, 困难)-SSS 奖励",5,81010,1,1850,81011,1,8325,2080221,1,8400,2080222,1,8475,2080231,1,8738,2080232,1,9001,115200,1,9501,115201,1,10000,,,,,,
3111,4021,"奎里奥德矿山 (人类, 困难)-SS 奖励",5,81010,1,4625,81011,1,9250,2080221,1,9438,2080222,1,9626,2080231,1,9814,2080232,1,10000,,,,,,,,,,,,
3112,4021,"奎里奥德矿山 (人类, 困难)-S 奖励",4,81010,1,6475,81011,1,9250,2080221,1,9513,2080222,1,9776,2080231,1,9889,2080232,1,10000,,,,,,,,,,,,
3113,4021,"奎里奥德矿山 (人类, 困难)-A 奖励",3,81009,1,3000,10008,30,4800,10108,30,6500,10009,30,8300,10109,30,10000,,,,,,,,,,,,,,,
3114,4021,"奎里奥德矿山 (人类, 困难)-B 奖励",3,81009,1,1000,10008,15,3300,10108,15,5500,10009,15,7800,10109,15,10000,,,,,,,,,,,,,,,
3115,4021,"奎里奥德矿山 (人类, 困难)-F 奖励",2,10008,1,2500,10108,1,5000,10009,1,7500,10109,1,10000,,,,,,,,,,,,,,,,,,
3140,4021,"奎里奥德矿山 (兽族, 困难)-SSS 奖励",5,81110,1,1850,81111,1,8325,2080221,1,8400,2080222,1,8475,2080231,1,8738,2080232,1,9001,115200,1,9501,115201,1,10000,,,,,,
3141,4021,"奎里奥德矿山 (兽族, 困难)-SS 奖励",5,81110,1,4625,81111,1,9250,2080221,1,9438,2080222,1,9626,2080231,1,9814,2080232,1,10000,,,,,,,,,,,,
3142,4021,"奎里奥德矿山 (兽族, 困难)-S 奖励",4,81110,1,6475,81111,1,9250,2080221,1,9513,2080222,1,9776,2080231,1,9889,2080232,1,10000,,,,,,,,,,,,
3143,4021,"奎里奥德矿山 (兽族, 困难)-A 奖励",3,81109,1,3000,10008,30,4800,10108,30,6500,10009,30,8300,10109,30,10000,,,,,,,,,,,,,,,
3144,4021,"奎里奥德矿山 (兽族, 困难)-B 奖励",3,81109,1,1000,10008,15,3300,10108,15,5500,10009,15,7800,10109,15,10000,,,,,,,,,,,,,,,
3145,4021,"奎里奥德矿山 (兽族, 困难)-F 奖励",2,10008,1,2500,10108,1,5000,10009,1,7500,10109,1,10000,,,,,,,,,,,,,,,,,,
3210,4022,"奎里奥德矿山 (人类, 极困难)-SSS 奖励",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3211,4022,"奎里奥德矿山 (人类, 极困难)-SS 奖励",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3212,4022,"奎里奥德矿山 (人类, 极困难)-S 奖励",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3213,4022,"奎里奥德矿山 (人类, 极困难)-A 奖励",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3214,4022,"奎里奥德矿山 (人类, 极困难)-B 奖励",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3215,4022,"奎里奥德矿山 (人类, 极困难)-F 奖励",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3240,4022,"奎里奥德矿山 (兽族, 极困难)-SSS 奖励",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3241,4022,"奎里奥德矿山 (兽族, 极困难)-SS 奖励",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3242,4022,"奎里奥德矿山 (兽族, 极困难)-S 奖励",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3243,4022,"奎里奥德矿山 (兽族, 极困难)-A 奖励",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3244,4022,"奎里奥德矿山 (兽族, 极困难)-B 奖励",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3245,4022,"奎里奥德矿山 (兽族, 极困难)-F 奖励",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3310,4023,"奎里奥德矿山 (人类, 炼狱)-SSS 奖励",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3311,4023,"奎里奥德矿山 (人类, 炼狱)-SS 奖励",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3312,4023,"奎里奥德矿山 (人类, 炼狱)-S 奖励",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
