TID,Type,Kind,Race,Gen,MainWeapon,ShapeID,Comment,Level,STR,CON,WIS,MEN,AGI,HP,MP,HPR,MPR,HPRBuff,MPRBuff,POPMin,POPMax,MOPMin,MOPMax,PD,MD,FD,WD,AD,LD,DP,BP,AP,CP,IGN_AT,PvP_AT,PvP_DF,AS,RS,CS,Motion,Width,Height,Scale
118,1,5,3,1,9,5,龙之复仇者男,1,1,2,10,4,1,550,450,15,35,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,8,0,0,0,1000,5000,1000,1,0.5,2,1
119,1,5,3,1,12,5,龙之复仇者男,1,4,2,1,1,10,650,350,30,20,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,8,0,0,0,1000,5000,1000,1,0.5,2,1
120,1,5,3,1,2,5,龙之复仇者男,1,1,2,4,10,1,550,450,15,35,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,8,0,0,0,1000,5000,1000,1,0.5,2,1
121,1,6,3,2,10,6,龙之复仇者女,1,4,10,1,1,2,800,200,40,10,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,8,0,0,0,1000,5000,1000,1,0.5,2,1
122,1,6,3,2,9,6,龙之复仇者女,1,1,2,10,4,1,550,450,15,35,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,8,0,0,0,1000,5000,1000,1,0.5,2,1
123,1,6,3,2,12,6,龙之复仇者女,1,4,2,1,1,10,650,350,30,20,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,8,0,0,0,1000,5000,1000,1,0.5,2,1
124,1,6,3,2,2,6,龙之复仇者女,1,1,2,4,10,1,550,450,15,35,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,8,0,0,0,1000,5000,1000,1,0.5,2,1
125,1,7,4,1,1,7,兽人男,1,4,10,1,1,2,800,200,40,10,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,8,0,0,0,1000,5000,1000,1,0.5,3,1
126,1,7,4,1,3,7,兽人男,1,10,2,1,1,4,750,250,35,15,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,8,0,0,0,1000,5000,1000,1,0.5,3,1
127,1,7,4,1,4,7,兽人男,1,4,2,1,1,10,650,350,30,20,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,8,0,0,0,1000,5000,1000,1,0.5,3,1
128,1,7,4,1,13,7,兽人男,1,1,2,4,10,1,550,450,15,35,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,8,0,0,0,1000,5000,1000,1,0.5,3,1
129,1,8,4,2,1,8,兽人女,1,4,10,1,1,2,800,200,40,10,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,8,0,0,0,1000,5000,1000,1,0.5,3,1
130,1,8,4,2,3,8,兽人女,1,10,2,1,1,4,750,250,35,15,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,8,0,0,0,1000,5000,1000,1,0.5,3,1
131,1,8,4,2,4,8,兽人女,1,4,2,1,1,10,650,350,30,20,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,8,0,0,0,1000,5000,1000,1,0.5,3,1
132,1,8,4,2,13,8,兽人女,1,1,2,4,10,1,550,450,15,35,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,8,0,0,0,1000,5000,1000,1,0.5,3,1
9999,1,1,1,1,0,40000,英文,1,0,0,0,0,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,0,0,0,0,1000,20000,1000,1,0.5,2,1
