TID,Comment,ReqTotal,STR,CON,WIS,MEN,AGI,HPFixed,HPR,HPRBuff,MPFixed,MPR,MPRBuff,POPMin,POPMax,MOPMin,MOPMax,PD,MD,FD,WD,AD,LD,AP,DP,BP,CP,IGN_AT,PvP_AT,PvP_DF,AS,RS,CS,EngDesc,LocalDesc
19,高级-2奉献的颈甲套装(Lv.10),5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,0,0,0,0,5,0,0,5,0,0,0,0,0,0,,5套装：+26护甲的物理，魔法护甲+26
20,高级-2奉献的颈甲套装(Lv.10),6,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,26,26,0,0,0,0,5,0,0,5,0,0,0,0,0,0,,6.套装：+3力量，敏捷+6
21,高级-1奉献的中等套装(Lv.10),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2套装：无
22,高级-1奉献的中等套装(Lv.10),3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,,3套装：+2回避甚至
23,高级-1奉献的中等套装(Lv.10),4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,,4套装：还+7伤害减免
24,高级-1奉献的中等套装(Lv.10),5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,21,0,0,0,0,0,2,7,0,0,0,0,0,0,0,,套装5：物理护甲+32，+21魔甲术
25,高级-1奉献的中等套装(Lv.10),6,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,32,21,0,0,0,0,0,2,7,0,0,0,0,0,0,0,,6.套装：+3力量，耐力+6
26,高级-2奉献的中等套装(Lv.10),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2套装：无
27,高级-2奉献的中等套装(Lv.10),3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,,3套装：+5等级
28,高级-2奉献的中等套装(Lv.10),4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,,4套装：致命一击+4
29,高级-2奉献的中等套装(Lv.10),5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,21,0,0,0,0,5,0,0,4,0,0,0,0,0,0,,套装5：物理护甲+32，+21魔甲术
30,高级-2奉献的中等套装(Lv.10),6,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,32,21,0,0,0,0,5,0,0,4,0,0,0,0,0,0,,6.套装：力量+5耐力+4
31,高级-1传说之洛夫套装(Lv.20),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2套装：无
32,高级-1传说之洛夫套装(Lv.20),3,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3套装：+33魔法值
33,高级-1传说之洛夫套装(Lv.20),4,0,0,0,0,0,0,0,40,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4组：治疗+ 40
34,高级-1传说之洛夫套装(Lv.20),5,0,0,0,0,0,0,0,40,0,33,0,0,0,0,0,42,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5套装：+42护甲的物理，魔法护甲+63
35,高级-1传说之洛夫套装(Lv.20),6,0,8,0,10,0,0,0,40,0,33,0,0,0,0,0,42,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,6.套装：+8耐力，+10精神
36,高级-2传说之洛夫套装(Lv.20),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2套装：无
37,高级-2传说之洛夫套装(Lv.20),3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,,3套装：+10命中度
38,高级-2传说之洛夫套装(Lv.20),4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,6,0,0,0,0,0,0,,4套装：致命一击+6
39,高级-2传说之洛夫套装(Lv.20),5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,63,0,0,0,0,10,0,0,6,0,0,0,0,0,0,,5套装：+42护甲的物理，魔法护甲+63
40,高级-2传说之洛夫套装(Lv.20),6,0,0,10,8,0,0,0,0,0,0,0,0,0,0,0,42,63,0,0,0,0,10,0,0,6,0,0,0,0,0,0,,6.套装：+10智力，精神+8。
41,高级-1传说之颈甲套装(Lv.20),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2套装：无
42,高级-1传说之颈甲套装(Lv.20),3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,,3套装：+6闪避
43,高级-1传说之颈甲套装(Lv.20),4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,40,0,0,,4套装：攻击速度+ 4％
44,高级-1传说之颈甲套装(Lv.20),5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,53,0,0,0,0,0,6,0,0,0,0,0,40,0,0,,5套装：+53护甲的物理，魔法护甲+53
45,高级-1传说之颈甲套装(Lv.20),6,8,0,0,0,10,0,0,0,0,0,0,0,0,0,0,53,53,0,0,0,0,0,6,0,0,0,0,0,40,0,0,,6.套装：+8力量，+10敏捷
46,高级-2传说之颈甲套装(Lv.20),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2套装：无
47,高级-2传说之颈甲套装(Lv.20),3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,,3套装：+10命中度
48,高级-2传说之颈甲套装(Lv.20),4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,9,0,0,0,0,0,0,,4套装：致命一击+9
49,高级-2传说之颈甲套装(Lv.20),5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,53,0,0,0,0,10,0,0,9,0,0,0,0,0,0,,5套装：+53护甲的物理，魔法护甲+53
50,高级-2传说之颈甲套装(Lv.20),6,6,0,0,0,12,0,0,0,0,0,0,0,0,0,0,53,53,0,0,0,0,10,0,0,9,0,0,0,0,0,0,,6.套装：+6力量，+12敏捷
51,高级-1传说之中等套装(Lv.20),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2套装：无
52,高级-1传说之中等套装(Lv.20),3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,,3套装：+4躲闪
53,高级-1传说之中等套装(Lv.20),4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,0,0,0,0,0,0,0,,4套装：+13减少伤害
54,高级-1传说之中等套装(Lv.20),5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,42,0,0,0,0,0,4,13,0,0,0,0,0,0,0,,5套装：+63护甲的物理，魔法护甲+42
55,高级-1传说之中等套装(Lv.20),6,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,63,42,0,0,0,0,0,4,13,0,0,0,0,0,0,0,,6.套装：+6力量，耐力+12
56,高级-2传说之中等套装(Lv.20),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2套装：无
57,高级-2传说之中等套装(Lv.20),3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,,3套装：+10命中度
58,高级-2传说之中等套装(Lv.20),4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,8,0,0,0,0,0,0,,4套装：+8致命一击
59,高级-2传说之中等套装(Lv.20),5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,42,0,0,0,0,10,0,0,8,0,0,0,0,0,0,,5套装：+63护甲的物理，魔法护甲+42
60,高级-2传说之中等套装(Lv.20),6,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,63,42,0,0,0,0,10,0,0,8,0,0,0,0,0,0,,6.套装：力量+10，+8耐力
61,高级-1怒之洛夫套装(Lv.25),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2套装：无
62,高级-1怒之洛夫套装(Lv.25),3,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3套装：+42魔法值
63,高级-1怒之洛夫套装(Lv.25),4,0,0,0,0,0,0,0,50,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4组：治疗+50
64,高级-1怒之洛夫套装(Lv.25),5,0,0,0,0,0,0,0,50,0,42,0,0,0,0,0,53,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5套装：+53护甲的物理，魔法护甲+79
65,高级-1怒之洛夫套装(Lv.25),6,0,10,0,13,0,0,0,50,0,42,0,0,0,0,0,53,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,6.套装：+10耐力，+13精神
66,高级-2怒之洛夫套装(Lv.25),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2套装：无
67,高级-2怒之洛夫套装(Lv.25),3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,,3套装：+15命中度
68,高级-2怒之洛夫套装(Lv.25),4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,8,0,0,0,0,0,0,,4套装：+8致命一击
69,高级-2怒之洛夫套装(Lv.25),5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,79,0,0,0,0,15,0,0,8,0,0,0,0,0,0,,5套装：+53护甲的物理，魔法护甲+79
70,高级-2怒之洛夫套装(Lv.25),6,0,0,13,10,0,0,0,0,0,0,0,0,0,0,0,53,79,0,0,0,0,15,0,0,8,0,0,0,0,0,0,,6.套装：+13智力，精神+10
71,高级-1怒之颈甲套装(Lv.25),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2套装：无
72,高级-1怒之颈甲套装(Lv.25),3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,,3套装：+8闪避
73,高级-1怒之颈甲套装(Lv.25),4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,50,0,0,,4套装：攻击速度+ 5％
74,高级-1怒之颈甲套装(Lv.25),5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,66,0,0,0,0,0,8,0,0,0,0,0,50,0,0,,5套装：+66护甲的物理，魔法护甲+66
75,高级-1怒之颈甲套装(Lv.25),6,10,0,0,0,13,0,0,0,0,0,0,0,0,0,0,66,66,0,0,0,0,0,8,0,0,0,0,0,50,0,0,,6.套装：力量+10，敏捷+13
76,高级-2怒之颈甲套装(Lv.25),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2套装：无
77,高级-2怒之颈甲套装(Lv.25),3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,,3套装：+15命中度
78,高级-2怒之颈甲套装(Lv.25),4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,12,0,0,0,0,0,0,,4套装：+12致命一击
79,高级-2怒之颈甲套装(Lv.25),5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,66,0,0,0,0,15,0,0,12,0,0,0,0,0,0,,5套装：+66护甲的物理，魔法护甲+66
80,高级-2怒之颈甲套装(Lv.25),6,8,0,0,0,15,0,0,0,0,0,0,0,0,0,0,66,66,0,0,0,0,15,0,0,12,0,0,0,0,0,0,,6.套装：+8力量，+15敏捷
81,高级-1怒之中等套装(Lv.25),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2套装：无
82,高级-1怒之中等套装(Lv.25),3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,,3套装：+6闪避
83,高级-1怒之中等套装(Lv.25),4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,17,0,0,0,0,0,0,0,,4套装：+17减少伤害
84,高级-1怒之中等套装(Lv.25),5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,53,0,0,0,0,0,6,17,0,0,0,0,0,0,0,,5套装：+79护甲的物理，魔法护甲+53
85,高级-1怒之中等套装(Lv.25),6,8,15,0,0,0,0,0,0,0,0,0,0,0,0,0,79,53,0,0,0,0,0,6,17,0,0,0,0,0,0,0,,6.套装：+8力量，耐力+15
86,高级-2怒之中等套装(Lv.25),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2套装：无
87,高级-2怒之中等套装(Lv.25),3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,,3套装：+15命中度
88,高级-2怒之中等套装(Lv.25),4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,10,0,0,0,0,0,0,,4套装：+10致命一击
89,高级-2怒之中等套装(Lv.25),5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,53,0,0,0,0,15,0,0,10,0,0,0,0,0,0,,5套装：+79护甲的物理，魔法护甲+53
90,高级-2怒之中等套装(Lv.25),6,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,79,53,0,0,0,0,15,0,0,10,0,0,0,0,0,0,,6件：+13力量，+10耐力
91,高级-1破灭之洛夫套装(Lv.30),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2套装：无
92,高级-1破灭之洛夫套装(Lv.30),3,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3套装：+50魔法值
93,高级-1破灭之洛夫套装(Lv.30),4,0,0,0,0,0,0,0,60,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4组：治疗+60
94,高级-1破灭之洛夫套装(Lv.30),5,0,0,0,0,0,0,0,60,0,50,0,0,0,0,0,63,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5套装：+63护甲的物理，魔法护甲+95
95,高级-1破灭之洛夫套装(Lv.30),6,0,12,0,15,0,0,0,60,0,50,0,0,0,0,0,63,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,6.套装：+12耐力+15精神
96,高级-2破灭之洛夫套装(Lv.30),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2套装：无
97,高级-2破灭之洛夫套装(Lv.30),3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,,3套装：+20命中度
98,高级-2破灭之洛夫套装(Lv.30),4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,9,0,0,0,0,0,0,,4套装：致命一击+9
99,高级-2破灭之洛夫套装(Lv.30),5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,95,0,0,0,0,20,0,0,9,0,0,0,0,0,0,,5套装：+63护甲的物理，魔法护甲+95
100,高级-2破灭之洛夫套装(Lv.30),6,0,0,15,12,0,0,0,0,0,0,0,0,0,0,0,63,95,0,0,0,0,20,0,0,9,0,0,0,0,0,0,,6.套装：+15智力，精神+12
101,高级-1破灭之颈甲套装(Lv.30),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2套装：无
102,高级-1破灭之颈甲套装(Lv.30),3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,,3套装：+13闪避
103,高级-1破灭之颈甲套装(Lv.30),4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,60,0,0,,4套装：攻击速度+ 6％
104,高级-1破灭之颈甲套装(Lv.30),5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,79,0,0,0,0,0,13,0,0,0,0,0,60,0,0,,5套装：+79护甲的物理，魔法护甲+79
105,高级-1破灭之颈甲套装(Lv.30),6,12,0,0,0,15,0,0,0,0,0,0,0,0,0,0,79,79,0,0,0,0,0,13,0,0,0,0,0,60,0,0,,6件：+12力量，+15敏捷
106,高级-2破灭之颈甲套装(Lv.30),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2套装：无
107,高级-2破灭之颈甲套装(Lv.30),3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,,3套装：+20命中度
108,高级-2破灭之颈甲套装(Lv.30),4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,14,0,0,0,0,0,0,,4套装：+14致命一击
109,高级-2破灭之颈甲套装(Lv.30),5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,79,0,0,0,0,20,0,0,14,0,0,0,0,0,0,,5套装：+79护甲的物理，魔法护甲+79
110,高级-2破灭之颈甲套装(Lv.30),6,9,0,0,0,18,0,0,0,0,0,0,0,0,0,0,79,79,0,0,0,0,20,0,0,14,0,0,0,0,0,0,,6.套装：力量+9，+18敏捷
111,高级-1破灭之中等套装(Lv.30),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2套装：无
112,高级-1破灭之中等套装(Lv.30),3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,,3套装：+11闪避
113,高级-1破灭之中等套装(Lv.30),4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,20,0,0,0,0,0,0,0,,4套装：伤害降低到+20度
114,高级-1破灭之中等套装(Lv.30),5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,63,0,0,0,0,0,11,20,0,0,0,0,0,0,0,,5套装：+95护甲的物理，魔法护甲+63
115,高级-1破灭之中等套装(Lv.30),6,9,0,0,0,18,0,0,0,0,0,0,0,0,0,0,95,63,0,0,0,0,0,11,20,0,0,0,0,0,0,0,,6.套装：力量+9，+18敏捷
116,高级-2破灭之中等套装(Lv.30),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2套装：无
117,高级-2破灭之中等套装(Lv.30),3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,,3套装：+20命中度
118,高级-2破灭之中等套装(Lv.30),4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,12,0,0,0,0,0,0,,4套装：+12致命一击
119,高级-2破灭之中等套装(Lv.30),5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,63,0,0,0,0,20,0,0,12,0,0,0,0,0,0,,5套装：+95护甲的物理，魔法护甲+63
120,高级-2破灭之中等套装(Lv.30),6,15,12,0,0,0,0,0,0,0,0,0,0,0,0,0,95,63,0,0,0,0,20,0,0,12,0,0,0,0,0,0,,6件：+15力量，+12耐力
121,高级-1憎恶之洛夫套装(Lv.35),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2套装：无
122,高级-1憎恶之洛夫套装(Lv.35),3,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3套装：+59魔法值
123,高级-1憎恶之洛夫套装(Lv.35),4,0,0,0,0,0,0,0,70,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4组：治疗+ 70
124,高级-1憎恶之洛夫套装(Lv.35),5,0,0,0,0,0,0,0,70,0,59,0,0,0,0,0,74,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5套装：+74护甲的物理，魔法护甲+110
125,高级-1憎恶之洛夫套装(Lv.35),6,0,14,0,18,0,0,0,70,0,59,0,0,0,0,0,74,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,6.套装：+14耐力，+18精神
126,高级-2憎恶之洛夫套装(Lv.35),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2套装：无
127,高级-2憎恶之洛夫套装(Lv.35),3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,,3套装：+25命中度
128,高级-2憎恶之洛夫套装(Lv.35),4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,11,0,0,0,0,0,0,,4套装：+11致命一击
129,高级-2憎恶之洛夫套装(Lv.35),5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,110,0,0,0,0,25,0,0,11,0,0,0,0,0,0,,5套装：+74护甲的物理，魔法护甲+110
130,高级-2憎恶之洛夫套装(Lv.35),6,0,0,18,14,0,0,0,0,0,0,0,0,0,0,0,74,110,0,0,0,0,25,0,0,11,0,0,0,0,0,0,,6.套装：+18智力，精神+14
131,高级-1憎恶之颈甲套装(Lv.35),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2套装：无
132,高级-1憎恶之颈甲套装(Lv.35),3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,,3套装：+15闪避
133,高级-1憎恶之颈甲套装(Lv.35),4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,70,0,0,,4套装：攻击速度+ 7％
