TID,Type,EngDesc,LocalDesc
115,2,TPT_Desc_000060,<TC'255:255:0' Text'帮助语 :'/>时限内杀人数优先达标的阵营获胜。
121,2,TPT_Desc_000061,<TC'255:255:0' Text'帮助语 :'/>时限内必须杀死所有的敌对阵营守护NPC。
122,2,TPT_Desc_000062,<TC'255:255:0' Text'帮助语 :'/>您可以通过逃脱技能迅速移动到不同的位置。
123,2,TPT_Desc_000063,<TC'255:255:0' Text'帮助语 :'/>守护NPC不会停留在一个地方。
124,2,TPT_Desc_000064,<TC'255:255:0' Text'帮助语 :'/>时限内没有杀死所有的敌对阵营NPC视为平局。
131,2,TPT_Desc_000065,<TC'255:255:0' Text'帮助语 :'/>必须在时限内摧毁所有的敌对阵营圣物。
132,2,TPT_Desc_000066,<TC'255:255:0' Text'帮助语 :'/>您可以通过逃脱技能进入到有圣物的建筑里。
133,2,TPT_Desc_000067,<TC'255:255:0' Text'帮助语 :'/>时限内没有破坏敌对阵营的所有圣物视为平局。
134,2,TPT_Desc_000068,<TC'255:255:0' Text'帮助语 :'/圣物的耐久度低于一定值，圣物守护怪兽将会登场。
141,2,TPT_Desc_000069,<TC'255:255:0' Text'帮助语 :'/>攻城阵营在时限内必须杀死敌对大都市的代表NPC。
142,2,TPT_Desc_000070,<TC'255:255:1' Text'帮助语 :'/>守城阵营在时限内必须保护己方大都市的代表NPC。
143,2,TPT_Desc_000071,<TC'255:255:0' Text'帮助语 :'/>时限内代表NPC可以瞬间移动到都市内的任何位置。
151,2,TPT_Desc_000072,<TC'255:255:0' Text'帮助语 :'/>时限内优先达到目标分数的阵营获胜。
152,2,TPT_Desc_000073,<TC'255:255:0' Text'帮助语 :'/>每杀死一个敌对角色或NPC分数就会增加。
153,2,TPT_Desc_000074,<TC'255:255:0' Text'帮助语 :'/>NPC的等级越高，杀死他获得的分数越高。
161,2,TPT_Desc_000075,<TC'255:255:0' Text'帮助语 :'/>存活到最后的一个人就是霸王。
162,2,TPT_Desc_000076,<TC'255:255:0' Text'帮助语 :'/>杀死所有的敌人，能到达市中心。
163,2,TPT_Desc_000077,<TC'255:255:0' Text'帮助语 :'/>达成以上的条件就可以成为荣耀的象征霸王。
201,2,TPT_Desc_000078,<TC'255:255:0' Text'帮助语 :'/>时限内摧毁敌对阵营的哨兵塔的阵营获胜。
202,2,TPT_Desc_000079,<TC'255:255:0' Text'帮助语 :'/>召唤门可以定期召唤友好的NPC。
203,2,TPT_Desc_000080,<TC'255:255:0' Text'帮助语 :'/>可以摧毁召唤门，来阻止敌对NPC的召唤。
204,2,TPT_Desc_000081,<TC'255:255:0' Text'帮助语 :'/>当你杀死NPC时有一定几率产生魔法阵。
211,2,TPT_Desc_000082,<TC'255:255:0' Text'帮助语 :'/>占领圣物一定时间占领分数就会增加。
212,2,TPT_Desc_000083,<TC'255:255:0' Text'帮助语 :'/>限制时间内优先达到目标分数的阵营获胜。
213,2,TPT_Desc_000084,<TC'255:255:0' Text'帮助语 :'/>魔法阵会定期产生一个buff。
214,2,TPT_Desc_000085,<TC'255:255:0' Text'帮助语 :'/>占领圣物期间受到攻击的话占领失败。
221,2,TPT_Desc_000086,<TC'255:255:0' Text'帮助语 :'/>每杀死一个敌人杀人数就会增加。
222,2,TPT_Desc_000087,<TC'255:255:0' Text'帮助语 :'/>时限内优先达到目标杀人数的阵营获胜。
231,2,,<TC'255:255:0' Text'帮助语 :'/>缴获敌方阵营的旗帜，运到我方阵营旗帜下。
232,2,,<TC'255:255:0' Text'帮助语 :'/>我方阵营旗帜被劫时，不能获得分数。
233,2,,<TC'255:255:0' Text'帮助语 :'/>时限内优先达到目标分数的阵营获胜。
301,2,TPT_Desc_000088,<TC'255:255:0' Text'帮助语 :'/>5到8级用户可以参加小型战场。
302,2,TPT_Desc_000089,<TC'255:255:0' Text'帮助语 :'/>15至18级的用户就可以参加小规模的激战。
303,2,TPT_Desc_000090,<TC'255:255:0' Text'帮助语 :'/>25至28级别的用户就可以参加小规模的激战。
304,2,TPT_Desc_000091,<TC'255:255:0' Text'帮助语 :'/>战场很可能被敌对阵营的攻击。
1001,2,TPT_Desc_000092,<TC'255:255:0' Text'帮助语 :'/>普通难度下，可以单独完成任务。
1002,2,TPT_Desc_000093,<TC'255:255:0' Text'帮助语 :'/>普通难度下，最多2个人可以参加。
1003,2,TPT_Desc_000094,<TC'255:255:0' Text'帮助语 :'/>困难难度下，推荐2~3名队员参加。
1004,2,TPT_Desc_000095,<TC'255:255:0' Text'帮助语 :'/>困难难度下，最多3个人参加。
1005,2,TPT_Desc_000096,<TC'255:255:0' Text'帮助语 :'/>非常困难难度下，推荐最多的人员参加。
1006,2,TPT_Desc_000097,<TC'255:255:0' Text'帮助语 :'/>非常困难难度下，最多5人参加。
1007,2,TPT_Desc_000098,<TC'255:255:0' Text'帮助语 :'/>较高难度的地下城，可以得到较好的奖励。
1008,2,TPT_Desc_000099,<TC'255:255:0' Text'帮助语 :'/>奖励随于地下城难度的增加而增加。
