TID,Comment,QuestTID,NpcTID,ItemTID,DropRate,DropStack,DropAll
10102,,10111,562,20039,9000,1,1
10103,,10111,563,20039,9000,1,1
10111,,10112,561,20040,9000,1,1
10112,,10112,562,20040,9000,1,1
10113,,10112,563,20040,9000,1,1
10121,,10132,572,20055,10000,1,1
10125,,10134,573,20052,10000,1,1
10127,,10135,571,20054,9000,1,1
10129,,10142,581,20181,9000,1,1
10130,,10142,582,20181,9000,1,1
10132,,10148,581,20057,9000,1,1
10133,,10148,582,20057,9000,1,1
10135,,10154,591,20191,9000,1,1
10136,,10154,592,20191,9000,1,1
10138,,10155,594,20060,10000,1,1
10140,,10158,591,20053,9000,1,1
10141,,10158,592,20053,9000,1,1
10143,,10165,601,20064,9000,1,1
10144,,10165,602,20064,9000,1,1
10147,,10180,614,20153,10000,1,1
10151,,10206,632,20200,9000,1,1
10155,,10306,642,20204,9000,1,1
10156,,10306,643,20204,9000,1,1
10158,,10315,651,20197,9000,1,1
10159,,10315,652,20197,9000,1,1
10161,,10326,661,20192,9000,1,1
10162,,10326,662,20192,9000,1,1
10164,,10356,683,20196,9000,1,1
10165,,10356,684,20196,9000,1,1
10307,,10313,651,20164,9000,1,1
10308,,10313,652,20164,9000,1,1
11007,,11007,1501,20304,9000,1,1
11008,,11007,1502,20304,9000,1,1
11021,,11021,1511,20306,9000,1,1
11022,,11021,1512,20306,9000,1,1
11026,,11026,1513,20310,9000,1,1
11031,,11031,1521,20311,9000,1,1
11032,,11031,1522,20311,9000,1,1
11033,,11033,1523,20313,10000,1,1
11043,,11043,1531,20318,9000,1,1
11052,,11052,1541,20320,9000,1,1
11060,,11052,1542,20320,9000,1,1
11059,,11059,1543,20325,10000,1,1
11073,,11073,1554,20332,10000,1,1
11076,,11076,1551,20333,9000,1,1
11082,,11082,1559,20337,10000,1,1
11093,,11093,1561,20345,9000,1,1
11094,,11093,1562,20345,9000,1,1
11095,,11093,1571,20346,9000,1,1
11096,,11093,1572,20346,9000,1,1
11103,,11103,1582,20354,9000,1,1
11125,,11125,1591,20361,9000,1,1
11127,,11127,1594,20402,10000,1,1
11131,,11131,1592,20366,9000,1,1
11132,,11131,1593,20366,9000,1,1
11148,,11148,1604,20378,10000,1,1
11152,,11152,1601,20381,9000,1,1
11158,,11158,1607,20384,9000,1,1
11162,,11162,1611,20386,9000,1,1
11163,,11162,1612,20386,9000,1,1
11196,,11196,1641,20401,9000,1,1
11197,,11196,1642,20401,9000,1,1
12001,,12001,2501,20600,9000,1,1
12000,,12001,2502,20601,9000,1,1
12002,,12002,2503,20602,10000,1,1
12031,,12031,2501,20605,9000,1,1
12032,,12032,2506,20606,9000,1,1
12051,,12051,2506,20607,9000,1,1
12061,,12061,2505,20608,9000,1,1
12201,,12201,2521,20624,9000,1,1
12204,,12202,2522,20625,9000,1,1
12213,,12213,2531,20628,9000,1,1
12232,,12231,2531,20632,9000,1,1
12261,,12261,2541,20640,9000,1,1
12262,,12261,2542,20640,9000,1,1
12271,,12271,2551,20640,9000,1,1
12274,,12274,2552,20641,10000,1,1
12281,,12281,2551,20642,9000,1,1
12401,,12401,2571,20651,9000,1,1
12402,,12401,2574,20650,9000,1,1
12422,,12422,2581,20654,9000,1,1
12441,,12441,2581,20655,9000,1,1
12481,,12481,2595,20662,9000,1,1
12482,,12482,2596,20663,10000,1,1
12501,,12501,2591,20665,9000,1,1
12541,,12541,2601,20669,9000,1,1
12543,,12541,2602,20670,9000,1,1
12542,,12542,2601,20671,9000,1,1
12544,,12542,2602,20672,9000,1,1
12552,,12552,2603,20674,10000,1,1
12582,,12582,2611,20677,9000,1,1
12583,,12582,2612,20677,9000,1,1
12601,,12601,2625,20681,9000,1,1
12602,,12601,2626,20682,9000,1,1
12623,,12623,2631,20684,9000,1,1
12624,,12623,2632,20684,9000,1,1
12651,,12651,350229,20688,9000,1,1
12673,,12673,2651,20693,9000,1,1
12681,,12681,2641,20694,9000,1,1
12683,,12681,2642,20694,9000,1,1
12682,,12682,2652,20695,9000,1,1
13002,,13002,3501,20902,10000,1,1
13004,,13004,3502,20904,10000,1,1
13007,,13007,3501,20905,10000,1,1
13008,,13007,3503,20905,10000,1,1
13009,,13009,3504,20907,10000,1,1
13052,,13052,3511,20908,10000,1,1
13055,,13055,3512,20910,10000,1,1
13104,,13103,3521,20919,10000,1,1
13105,,13103,3522,20919,10000,1,1
13107,,13106,3521,20921,10000,1,1
13108,,13106,3522,20921,10000,1,1
13110,,13105,3521,20920,10000,1,1
13111,,13105,3522,20920,10000,1,1
13156,,13155,3531,20927,10000,1,1
13157,,13155,3532,20927,10000,1,1
13159,,13158,3533,20929,10000,1,1
13258,,13257,3571,20939,10000,1,1
13263,,13262,3572,20942,10000,1,1
13303,,13303,3581,20943,10000,1,1
13306,,13306,3584,20946,10000,1,1
13360,,13359,3603,20952,10000,1,1
13403,,13402,3611,20955,10000,1,1
13404,,13402,3612,20956,10000,1,1
13406,,13404,3613,20957,10000,1,1
13408,,13406,3621,20958,10000,1,1
13409,,13406,3622,20959,10000,1,1
13453,,13453,3631,20966,10000,1,1
13454,,13453,3632,20966,10000,1,1
13460,,13459,3642,20969,10000,1,1
13504,,13504,3651,20974,10000,1,1
13505,,13505,3652,20975,10000,1,1
13510,,13509,3661,20977,10000,1,1
13511,,13509,3662,20977,10000,1,1
13512,,13509,3663,20977,10000,1,1
13556,,13555,3671,20984,10000,1,1
13557,,13555,3672,20984,10000,1,1
13560,,13559,3671,20986,10000,1,1
13561,,13559,3672,20986,10000,1,1
13562,,13560,3673,20987,10000,1,1
13566,,13564,3681,20989,10000,1,1
13567,,13564,3682,20989,10000,1,1
13570,,13568,3683,20991,10000,1,1
13659,,13658,3721,21002,10000,1,1
13660,,13658,3722,21002,10000,1,1
14011,,14011,4503,21105,10000,1,1
14022,,14022,4509,21108,10000,1,1
14023,,14023,4507,21109,10000,1,1
14024,,14023,4508,21109,10000,1,1
14031,,14031,4512,21110,10000,1,1
14061,,14061,4521,21115,10000,1,1
14065,,14065,4522,21117,10000,1,1
14083,,14083,4531,21122,10000,1,1
14084,,14083,4532,21122,10000,1,1
14091,,14091,4534,21124,10000,1,1
14092,,14092,350403,21125,10000,1,1
14111,,14111,4535,21127,10000,1,1
14112,,14112,4535,21128,10000,1,1
14152,,14152,4541,21134,10000,1,1
14153,,14152,4542,21134,10000,1,1
14163,,14163,350405,21138,10000,1,1
14172,,14172,4544,21139,10000,1,1
14173,,14173,4545,21140,10000,1,1
14181,,14181,4545,21141,10000,1,1
14202,,14202,4563,21146,10000,1,1
14205,,14202,4564,21147,10000,1,1
14203,,14203,4561,21148,10000,1,1
14232,,14232,4546,21151,10000,1,1
14235,,14232,4547,21151,10000,1,1
14233,,14233,4546,21152,10000,1,1
14237,,14233,4547,21152,10000,1,1
14241,,14241,4548,21153,10000,1,1
14255,,14255,4574,21156,10000,1,1
14283,,14283,4551,21162,10000,1,1
14285,,14283,4552,21162,10000,1,1
14291,,14291,4551,21163,10000,1,1
14292,,14291,4552,21163,10000,1,1
14313,,14313,4581,21171,10000,1,1
14317,,14313,4582,21171,10000,1,1
14314,,14314,4583,21172,10000,1,1
14315,,14315,4581,21173,10000,1,1
14316,,14316,4582,21174,10000,1,1
14331,,14331,4591,21177,10000,1,1
14371,,14371,4601,21183,10000,1,1
14372,,14371,4602,21183,10000,1,1
14382,,14382,4603,21187,10000,1,1
14412,,14412,4584,21190,10000,1,1
14413,,14412,4585,21190,10000,1,1
14422,,14422,4587,21192,10000,1,1
14471,,14471,4613,21199,10000,1,1
14473,,14471,4614,21200,10000,1,1
14511,,14511,4622,21209,10000,1,1
14521,,14521,4633,21214,10000,1,1
14542,,14542,350419,21220,10000,1,1
14551,,14551,4644,21222,10000,1,1
14553,,14551,4645,21223,10000,1,1
14552,,14552,4646,21224,10000,1,1
14557,,14557,4647,21227,10000,1,1
14558,,14558,4644,21228,10000,1,1
14559,,14558,4645,21229,10000,1,1
14564,,14564,4664,21235,10000,1,1
14582,,14582,4671,21242,10000,1,1
14583,,14582,4672,21242,10000,1,1
14585,,14585,4671,21245,10000,1,1
14586,,14585,4672,21245,10000,1,1
14592,,14592,4671,21247,10000,1,1
14593,,14592,4672,21247,10000,1,1
14596,,14596,4674,21250,10000,1,1
14622,,14622,4681,21253,10000,1,1
14623,,14622,4682,21253,10000,1,1
14624,,14622,4683,21253,10000,1,1
14627,,14627,4681,21255,10000,1,1
14628,,14627,4682,21255,10000,1,1
14629,,14627,4683,21255,10000,1,1
14631,,14631,4695,21256,10000,1,1
14632,,14632,4696,21257,10000,1,1
14633,,14633,4697,21258,10000,1,1
14634,,14634,4698,21259,10000,1,1
14652,,14652,4714,21263,10000,1,1
14653,,14653,4711,21264,10000,1,1
14654,,14653,4712,21264,10000,1,1
14655,,14653,4713,21264,10000,1,1
14661,,14661,4715,21265,10000,1,1
14662,,14662,4716,21266,10000,1,1
14663,,14663,4717,21267,10000,1,1
15012,,15012,5502,21402,10000,1,1
15013,,15012,5503,21403,10000,1,1
15016,,15016,5502,21416,10000,1,1
15017,,15016,5503,21416,10000,1,1
15022,,15022,5504,21405,10000,1,1
15061,,15061,5513,21411,10000,1,1
15071,,15071,5512,21419,10000,1,1
15092,,15092,5523,21421,10000,1,1
15093,,15092,5524,21422,10000,1,1
15103,,15103,5525,21424,10000,1,1
15104,,15104,5522,21425,10000,1,1
15132,,15132,5532,21430,10000,1,1
15133,,15133,5535,21431,10000,1,1
15152,,15152,5538,21435,10000,1,1
15184,,15184,5542,21440,10000,1,1
15221,,15221,5555,21446,10000,1,1
15222,,15222,5555,21482,10000,1,1
15224,,15224,5557,21448,10000,1,1
15244,,15244,5554,21450,10000,1,1
15245,,15244,5555,21451,10000,1,1
15251,,15251,5564,21452,10000,1,1
15264,,15264,5564,21457,10000,1,1
15303,,15303,5572,21459,10000,1,1
15313,,15313,5573,21463,10000,1,1
15324,,15324,5574,21467,10000,1,1
15325,,15325,5576,21468,10000,1,1
15326,,15325,5577,21469,10000,1,1
15327,,15325,5578,21470,10000,1,1
15343,,15343,5585,21472,10000,1,1
15362,,15362,5584,21479,10000,1,1
15391,,15391,5591,21485,10000,1,1
15395,,15391,5592,21485,10000,1,1
15396,,15391,5593,21485,10000,1,1
15392,,15392,5594,21488,10000,1,1
15401,,15401,5591,21486,10000,1,1
15405,,15401,5592,21486,10000,1,1
15406,,15401,5593,21486,10000,1,1
15402,,15402,5591,21489,10000,1,1
15407,,15402,5592,21489,10000,1,1
15408,,15402,5593,21489,10000,1,1
15415,,15415,5602,21490,10000,1,1
15418,,15415,5601,21491,10000,1,1
15422,,15422,5605,21495,10000,1,1
15441,,15441,5611,21498,10000,1,1
15445,,15441,5612,21498,10000,1,1
15446,,15441,5613,21498,10000,1,1
15442,,15442,5612,21501,10000,1,1
15447,,15442,5611,21500,10000,1,1
15491,,15491,5621,21503,10000,1,1
15495,,15491,5622,21503,10000,1,1
15496,,15491,5623,21503,10000,1,1
15492,,15492,5621,21506,10000,1,1
15497,,15492,5622,21506,10000,1,1
15498,,15492,5623,21506,10000,1,1
15502,,15502,5625,21507,10000,1,1
15541,,15541,5637,21513,10000,1,1
15542,,15542,5638,21514,10000,1,1
16012,,16012,1701,20268,10000,1,1
16015,,16015,701,20229,10000,1,1
16016,,16016,1703,20269,10000,1,1
16023,,16023,1704,20270,10000,1,1
16024,,16024,1705,20271,10000,1,1
16032,,16032,712,20230,10000,1,1
16035,,16035,713,20232,10000,1,1
16052,,16052,1708,20251,10000,1,1
16053,,16053,1708,20252,10000,1,1
16056,,16056,1709,20255,10000,1,1
16057,,16057,1708,20256,10000,1,1
16062,,16062,1712,20259,10000,1,1
16063,,16063,1711,20260,10000,1,1
16065,,16065,1711,20261,10000,1,1
16072,,16072,1715,20273,10000,1,1
16076,,16076,1714,20275,10000,1,1
16085,,16085,1717,20277,10000,1,1
30003,,30003,2506,20607,10000,1,1
30013,,30013,2511,20617,10000,1,1
30014,,30013,2512,20617,10000,1,1
30015,,30013,2513,20617,10000,1,1
30023,,30023,2521,20624,10000,1,1
30033,,30033,2551,20642,10000,1,1
30043,,30043,2574,20650,10000,1,1
30044,,30043,2571,20651,10000,1,1
30053,,30053,2581,20655,10000,1,1
30062,,30062,2591,20710,10000,1,1
30065,,30062,2592,20710,10000,1,1
30063,,30063,2595,20662,10000,1,1
30073,,30073,2611,20677,10000,1,1
30075,,30073,2612,20677,10000,1,1
30083,,30083,2625,20681,10000,1,1
30085,,30083,2626,20682,10000,1,1
30093,,30093,2651,20693,10000,1,1
30103,,30103,3521,20921,10000,1,1
30105,,30103,3522,20921,10000,1,1
30113,,30113,3572,20939,10000,1,1
30115,,30113,3571,20939,10000,1,1
30123,,30123,3611,20955,10000,1,1
30125,,30123,3612,20956,10000,1,1
30133,,30133,3661,20977,10000,1,1
30135,,30133,3662,20977,10000,1,1
30136,,30133,3663,20977,10000,1,1
30143,,30143,3721,21002,10000,1,1
30145,,30143,3722,21002,10000,1,1
30152,,30152,4521,21115,10000,1,1
30154,,30154,4531,21122,10000,1,1
30155,,30154,4532,21122,10000,1,1
30164,,30164,4551,21162,10000,1,1
30165,,30164,4552,21162,10000,1,1
30172,,30172,4601,21183,10000,1,1
30175,,30172,4602,21183,10000,1,1
30174,,30174,4591,21177,10000,1,1
30182,,30182,4622,21209,10000,1,1
30184,,30184,4644,21228,10000,1,1
30185,,30184,4645,21229,10000,1,1
30186,,30184,4646,21230,10000,1,1
30194,,30194,4711,21264,10000,1,1
30195,,30194,4712,21264,10000,1,1
30196,,30194,4713,21264,10000,1,1
40001,,40001,150001,20206,10000,1,1
40002,,40001,150002,20206,10000,1,1
40003,,40003,150023,20207,10000,1,1
40004,,40003,150029,20207,10000,1,1
40013,,40013,150123,20210,10000,1,1
40017,,40017,150148,20211,10000,1,1
40031,,40034,150205,20403,10000,1,1
40032,,40035,150224,20405,10000,1,1
40033,,40034,150206,20404,10000,1,1
40034,,40035,150227,20406,10000,1,1
40053,,40053,150348,20409,10000,1,1
40103,,40103,150414,21272,10000,1,1
40106,,40106,150435,21274,10000,1,1
40109,,40109,150457,21276,10000,1,1
40206,,40206,150524,21278,10000,1,1
40207,,40206,150525,21278,10000,1,1
40302,,40302,150610,21006,10000,1,1
40402,,40402,150709,21009,10000,1,1
49013,,49013,105204,20217,10000,1,1
49023,,49023,105404,20220,10000,1,1
40502,,40502,150802,21279,10000,1,1
40601,,40601,150901,21281,10000,1,1
40605,,40601,150902,21281,10000,1,1
49037,,49035,105605,21017,10000,1,1
49044,,49044,105803,21284,10000,1,1
49053,,49053,110013,21519,10000,1,1
49055,,49053,110014,21519,10000,1,1
49054,,49054,110015,21520,10000,1,1
49063,,49063,110010,21521,10000,1,1
49065,,49063,110011,21521,10000,1,1
49064,,49064,110012,21522,10000,1,1
49073,,49073,110007,21523,10000,1,1
49075,,49073,110008,21523,10000,1,1
49074,,49074,110009,21524,10000,1,1
49083,,49083,110004,21525,10000,1,1
49085,,49083,110005,21525,10000,1,1
49084,,49084,110006,21526,10000,1,1
49093,,49093,110001,21527,10000,1,1
49095,,49093,110002,21527,10000,1,1
49094,,49094,110003,21528,10000,1,1
500001,,50001,50501,25000,9000,1,1
500002,,50004,50521,25002,9000,1,1
500003,,50004,50522,25002,9000,1,1
500004,,50005,50531,25004,10000,1,1
500005,,50007,50542,25005,9000,1,1
500006,,50010,50601,25006,9000,1,1
500007,,50011,50612,25094,9000,1,1
500008,,50012,50621,25095,9000,1,1
500009,,50014,50642,25096,9000,1,1
500010,,50018,50661,25099,9000,1,1
500011,,50018,50662,25100,9000,1,1
500012,,50019,50676,25101,10000,1,1
500013,,50022,50502,25007,9000,1,1
500014,,50028,50512,25011,9000,1,1
500015,,50028,50512,25012,9000,1,1
500016,,50040,50543,25015,10000,1,1
500017,,50041,50542,25016,9000,1,1
500018,,50042,50541,25017,9000,1,1
500019,,50044,50552,25019,9000,1,1
500020,,50048,50552,25020,9000,1,1
500021,,50049,50561,25021,9000,1,1
500022,,50060,50582,25025,9000,1,1
500023,,50061,50602,25026,9000,1,1
500024,,50064,50603,25029,10000,1,1
500025,,50065,360001,25031,10000,1,1
500026,,50067,50611,25033,9000,1,1
500027,,50073,50614,25039,10000,1,1
500028,,50075,50622,25041,9000,1,1
500029,,50080,50621,25043,9000,1,1
500030,,50082,50622,25045,9000,1,1
500031,,50087,50633,25049,10000,1,1
500032,,50090,50632,25052,9000,1,1
500033,,50094,50641,25055,10000,1,1
500034,,50094,50641,25056,10000,1,1
500035,,50094,50641,25057,10000,1,1
500036,,50102,50642,25063,9000,1,1
500037,,50105,50642,25065,10000,1,1
500038,,50108,50651,25067,9000,1,1
500039,,50119,50662,25074,9000,1,1
500040,,50125,50682,25078,9000,1,1
500041,,50128,50676,25080,10000,1,1
500042,,50135,50674,25083,9000,1,1
500043,,50137,50675,25084,9000,1,1
500044,,50143,50672,25088,9000,1,1
500045,,51003,51513,25188,10000,1,1
500046,,51021,51501,25102,9000,1,1
500047,,51026,51502,25107,9000,1,1
500048,,51034,51511,25112,9000,1,1
500049,,51034,51511,25113,9000,1,1
500050,,51041,51521,25117,9000,1,1
500051,,51047,51532,25120,9000,1,1
500052,,51050,51532,25122,9000,1,1
500053,,51055,51542,25125,9000,1,1
500054,,51061,51542,25127,9000,1,1
500055,,51069,51552,25134,9000,1,1
500056,,51070,51554,25133,9000,1,1
500057,,51073,51553,25137,10000,1,1
500058,,51075,51556,25138,10000,1,1
500059,,51083,51563,25142,10000,1,1
500060,,51085,51562,25144,9000,1,1
500061,,51093,51564,25146,9000,1,1
500062,,51098,51575,25198,9000,1,1
500063,,51100,51571,25148,9000,1,1
500064,,51104,51572,25152,9000,1,1
500065,,51107,51573,25155,10000,1,1
500066,,51129,51591,25170,9000,1,1
500067,,51132,51601,25173,9000,1,1
500068,,51139,51602,25176,9000,1,1
500069,,51142,51638,25182,10000,1,1
500070,,50179,50691,25218,10000,1,1
500071,,50180,50692,25219,10000,1,1
500072,,50182,50704,25221,10000,1,1
500073,,50188,50693,25223,10000,1,1
500074,,50192,50703,25225,10000,1,1
500075,,50199,50720,25227,10000,1,1
500076,,50206,50720,25228,10000,1,1
500077,,50207,50721,25229,10000,1,1
500078,,50209,50725,25230,10000,1,1
500079,,50213,50730,25232,10000,1,1
500080,,50218,50729,25233,10000,1,1
530001,,53007,52545,25329,9000,1,1
530002,,53024,52502,25301,9000,1,1
530003,,53027,52503,25303,9000,1,1
530004,,53030,52504,25305,9000,1,1
530005,,53031,52503,25306,9000,1,1
530006,,53036,52513,25310,9000,1,1
530007,,53039,52511,25311,9000,1,1
530008,,53040,52514,25312,9000,1,1
530009,,53053,52534,25319,9000,1,1
530010,,53060,52531,25322,9000,1,1
530011,,53061,52532,25323,9000,1,1
530012,,53063,52533,25327,9000,1,1
530013,,53065,52534,25426,9000,1,1
530014,,53067,52542,25334,9000,1,1
530015,,53071,52541,25338,9000,1,1
530016,,53071,52542,25339,9000,1,1
530017,,53075,52545,25340,9000,1,1
530018,,53076,52541,25341,9000,1,1
530019,,53078,52544,25343,9000,1,1
530020,,53082,360105,25353,10000,1,1
530021,,53089,52552,25351,9000,1,1
530022,,53091,52554,25372,9000,1,1
530023,,53100,52553,25359,9000,1,1
530024,,53107,170403,25361,10000,1,1
530025,,53110,52555,25387,9000,1,1
530026,,53112,52556,25365,9000,1,1
530027,,53116,52555,25367,9000,1,1
530028,,53118,52561,25369,9000,1,1
530029,,53126,52562,25373,9000,1,1
530030,,53131,52578,25380,9000,1,1
530031,,53136,52574,25383,9000,1,1
530032,,53136,52575,25384,9000,1,1
530033,,53139,52581,25386,9000,1,1
530034,,53140,52582,25418,9000,1,1
530035,,53144,52591,25388,9000,1,1
530036,,53145,52593,25391,10000,1,1
530037,,53147,52581,25393,9000,1,1
530038,,53149,52592,25394,9000,1,1
530039,,53152,52572,25420,9000,1,1
530040,,53161,52602,25400,9000,1,1
530041,,53163,52604,25402,9000,1,1
530042,,53165,52602,25424,9000,1,1
530043,,53168,52604,25405,9000,1,1
530044,,53186,170505,25408,10000,1,1
530045,,53192,52607,25410,9000,1,1
530046,,53195,52607,25425,9000,1,1
530047,,53198,360104,25414,10000,1,1
530048,,53053,52533,25319,9000,1,1
530049,,53007,52537,25329,9000,1,1
530050,,53080,52537,25345,9000,1,1
530061,,53087,52551,25349,9000,1,1
530062,,53101,52553,25360,9000,1,1
530063,,53160,52601,25399,9000,1,1
530064,,53195,52607,25410,9000,1,1
530065,,53129,52575,25432,9000,1,1
530066,,53163,52605,25433,9000,1,1
530067,,53115,360107,25368,10000,1,1
530068,,53162,52604,25402,9000,1,1
540001,,54001,53503,25600,10000,1,1
540005,,54005,53581,25629,10000,1,1
540010,,54010,53661,25672,10000,1,1
540013,,54013,53711,25713,10000,1,1
541014,,54014,360405,25684,10000,1,1
540016,,54016,53731,25685,10000,1,1
540018,,54018,53746,25887,10000,1,1
540022,,54022,53501,25601,10000,1,1
540030,,54030,53513,25603,10000,1,1
540032,,54032,53512,25605,10000,1,1
540035,,54035,53511,25608,10000,1,1
540037,,54037,53501,25610,10000,1,1
540038,,54038,53511,25611,10000,1,1
540042,,54042,53521,25614,10000,1,1
540045,,54045,53522,25620,10000,1,1
540049,,54049,53522,25619,10000,1,1
540052,,54052,53533,25618,10000,1,1
540055,,54055,53533,25623,10000,1,1
540059,,54059,53531,25626,10000,1,1
540069,,54069,53562,25630,10000,1,1
540075,,54075,53573,25633,10000,1,1
540077,,54077,53551,25634,10000,1,1
540082,,54082,53552,25637,10000,1,1
540091,,54091,170611,25640,10000,1,1
540093,,54093,53601,25641,10000,1,1
540099,,54099,53593,25645,10000,1,1
540106,,54106,53592,25648,10000,1,1
540107,,54107,53593,25649,10000,1,1
540109,,54109,53611,25650,10000,1,1
540114,,54114,53603,25653,10000,1,1
540117,,54117,53642,25655,10000,1,1
540118,,54118,53651,25656,10000,1,1
540123,,54123,53642,25660,10000,1,1
540128,,54128,53622,25663,10000,1,1
540132,,54132,53633,25665,10000,1,1
540139,,54139,53622,25669,10000,1,1
540143,,54143,53681,25675,10000,1,1
540149,,54149,53671,25677,10000,1,1
540155,,54155,53661,25681,10000,1,1
540158,,54158,53681,25682,10000,1,1
540168,,54168,53711,25690,10000,1,1
540171,,54171,53692,25691,10000,1,1
540174,,54174,53713,25693,10000,1,1
540178,,54178,53713,25696,10000,1,1
541179,,54179,360406,25698,10000,1,1
540186,,54186,53721,25701,10000,1,1
540187,,54187,53722,25702,10000,1,1
540192,,54192,53732,25704,10000,1,1
540197,,54197,53732,25707,10000,1,1
540200,,54200,53743,25710,10000,1,1
540202,,54202,170733,25711,10000,1,1
540204,,54204,170701,25712,10000,1,1
550001,,55004,54534,25868,10000,1,1
550002,,55006,54541,25714,10000,1,1
550003,,55007,54544,25715,10000,1,1
550004,,55010,54572,25717,10000,1,1
550005,,55099,54573,25765,10000,1,1
550006,,55023,54675,25721,10000,1,1
550007,,55031,54501,25723,10000,1,1
550008,,55035,54522,25727,10000,1,1
550009,,55039,54523,25731,10000,1,1
550010,,55050,54531,25737,10000,1,1
550011,,55053,54512,25869,10000,1,1
550012,,55068,54542,25745,10000,1,1
550013,,55070,54552,25747,10000,1,1
550014,,55077,54553,25751,10000,1,1
550015,,55089,54562,25756,10000,1,1
550016,,55105,54581,25770,10000,1,1
550017,,55115,360409,25877,10000,1,1
550018,,55123,54592,25783,10000,1,1
550019,,55142,54613,25795,10000,1,1
550020,,55148,54621,25798,10000,1,1
550021,,55151,54622,25799,10000,1,1
550022,,55156,54623,25803,10000,1,1
550023,,55163,54634,25807,10000,1,1
550024,,55180,54643,25818,10000,1,1
550025,,55190,54654,25826,10000,1,1
550026,,55205,54662,25873,10000,1,1
550027,,55208,54663,25874,10000,1,1
550028,,55211,54672,25836,10000,1,1
550029,,55214,54761,25838,10000,1,1
550030,,55220,54681,25843,10000,1,1
550031,,55231,54694,25875,10000,1,1
550032,,55236,54691,25852,10000,1,1
550033,,55240,54716,25876,10000,1,1
550034,,55243,54711,25857,10000,1,1
550035,,55249,54712,25859,10000,1,1
550036,,55253,170823,25861,10000,1,1
550037,,55256,170810,25862,10000,1,1
550038,,55256,170811,25863,10000,1,1
550039,,55257,170833,25864,10000,1,1
550040,,55263,170909,25867,10000,1,1
550041,,55102,54582,25767,10000,1,1
550042,,55189,54653,25825,10000,1,1
550043,,55222,54671,25845,10000,1,1
550044,,55212,54674,25839,10000,1,1
550045,,55025,54715,25722,10000,1,1
550046,,55040,54521,25732,10000,1,1
550047,,55072,54551,25749,10000,1,1
550048,,55069,54543,25746,10000,1,1
550049,,55080,54554,25752,10000,1,1
550050,,55083,54571,25753,10000,1,1
550051,,55090,54572,25757,10000,1,1
550052,,55093,54561,25759,10000,1,1
550053,,55096,54563,25762,10000,1,1
550054,,55088,54573,25755,10000,1,1
550055,,55098,54572,25764,10000,1,1
550056,,55012,54592,25718,10000,1,1
550057,,55106,54593,25771,10000,1,1
550058,,55103,54583,25768,10000,1,1
550059,,55107,54581,25772,10000,1,1
550060,,55120,54593,25780,10000,1,1
550061,,55121,54591,25781,10000,1,1
