TID,ProductType,ProductKind,Comment,ItemTID,ProductLevel,RecipeExp,CostGhelld,CompleteItemTID,SourceItem01,Value01,SourceItem02,Value02,SourceItem03,Value03,SourceItem04,Value04,SourceItem05,Value05,SourceItem06,Value06,SourceItem07,Value07,SourceItem08,Value08
1027,1,1,模式：普通豹矛,60026,35,2450,16170,1011452,37107,10,42003,1,,,,,,,,,,,,
1028,1,1,模式：奢华的豹纹矛,60027,35,3451,22050,1011453,37107,11,42003,2,42005,9,,,,,,,,,,
1029,1,1,模式：罕见的豹子,60028,35,14581,29400,1011454,37107,12,42207,4,42005,12,39102,1,,,,,,,,
1030,1,1,模式：豹子专用枪,60029,35,22713,44100,1011455,37107,15,43011,4,42005,18,39102,2,,,,,,,,
1031,1,1,模式：不起眼的冠军矛,60030,40,1840,19200,1011651,37108,10,,,,,,,,,,,,,,
1032,1,1,模式：冠军的普通枪,60031,40,2800,21120,1011652,37108,10,42003,1,,,,,,,,,,,,
1033,1,1,模式：奢华的冠军矛,60032,40,4904,28800,1011653,37108,11,42003,3,42005,12,,,,,,,,,,
1034,1,1,模式：矛难得的战士,60033,40,13244,38400,1011654,37108,12,42208,3,42005,16,39102,2,,,,,,,,
1035,1,1,模式：冠军的特殊喷枪,60034,40,26589,57600,1011655,37108,15,43012,4,42005,24,39102,3,,,,,,,,
1036,1,1,模式：冠军的矛寒酸,60035,45,2070,24300,1011851,37109,10,,,,,,,,,,,,,,
1037,1,1,模式：普通老兵矛,60036,45,3330,26730,1011852,37109,10,42004,1,,,,,,,,,,,,
1038,1,1,模式：高级的强大的枪,60037,45,4797,36450,1011853,37109,11,42004,2,42005,15,,,,,,,,,,
1039,1,1,模式：矛一个难得的勇士,60038,45,17060,48600,1011854,37109,12,42208,3,42005,20,39102,2,,,,,,,,
1040,1,1,模式：特殊喷枪的老兵,60039,45,34942,72900,1011855,37109,15,43013,4,42005,30,39102,4,,,,,,,,
1041,1,1,模式：主权寒酸矛,60040,50,2300,30000,1012051,37110,10,,,,,,,,,,,,,,
1042,1,1,模式：主权普通枪,60041,50,3700,33000,1012052,37110,10,42004,1,,,,,,,,,,,,
1043,1,1,模式：奢华的君主矛,60042,50,6730,45000,1012053,37110,11,42004,3,42005,18,,,,,,,,,,
1044,1,1,模式：矛难得的君主,60043,50,19481,60000,1012054,37110,12,42209,3,42005,25,39102,3,,,,,,,,
1045,1,1,模式：主权的特殊喷枪,60044,50,38824,90000,1012055,37110,15,43014,4,42005,37,39102,4,,,,,,,,
1046,1,1,模式：破旧的霸王长矛,60045,52,2392,32448,1010251,37110,11,,,,,,,,,,,,,,
1047,1,1,模式：普通的霸王长矛,60046,52,4056,35694,1010251,37110,11,42006,1,,,,,,,,,,,,
1048,1,1,模式：高级的的霸王长矛,60047,52,7623,48672,1010251,37110,12,42006,2,42005,20,,,,,,,,,,
1049,1,1,模式：罕见的霸王长矛,60048,52,22756,64896,1010251,37110,13,42209,5,42005,27,39102,3,,,,,,,,
1050,1,1,模式：特殊的霸王长矛,60049,52,45369,97344,1010251,37110,16,43014,6,42005,40,39102,5,,,,,,,,
1051,1,1,模式：不起眼的最强的矛,60050,55,2530,36300,1012251,37111,10,,,,,,,,,,,,,,
1052,1,1,模式：普通的终极矛,60051,55,4290,39930,1012252,37111,10,42006,1,,,,,,,,,,,,
1053,1,1,模式：极致奢华的长矛,60052,55,8063,54450,1012253,37111,11,42006,2,42005,22,,,,,,,,,,
1054,1,1,模式：罕见的终极矛,60053,55,24069,72600,1012254,37111,12,42209,7,42005,30,39103,2,,,,,,,,
1055,1,1,模式：特殊的最好的枪,60054,55,47987,108900,1012255,37111,15,43014,8,42005,45,39103,3,,,,,,,,
1101,1,2,模式：一个谦虚的人,60100,1,230,300,1030251,37100,9,,,,,,,,,,,,,,
1102,1,2,模式：普通技术手杖,60101,1,290,330,1030252,37100,9,42000,1,,,,,,,,,,,,
1103,1,2,模式：高级的,60102,5,313,450,1030253,37100,10,42000,1,42005,1,,,,,,,,,,
1104,1,2,模式：一种罕见的在,60103,5,403,600,1030254,37100,11,42205,1,42005,1,39100,1,,,,,,,,
1105,1,2,模式：不起眼的试验,60104,10,460,1200,1030451,37102,10,,,,,,,,,,,,,,
1106,1,2,模式：普通试验,60105,10,580,1320,1030452,37102,10,42000,1,,,,,,,,,,,,
1107,1,2,模式：坚持高级的试验,60106,10,866,1800,1030453,37102,11,42000,3,42005,1,,,,,,,,,,
1108,1,2,模式：员工罕见试验,60107,10,2292,2400,1030454,37102,12,42205,3,42005,1,39100,5,,,,,,,,
1109,1,2,模式：寒酸疼痛,60108,15,690,2700,1030651,37103,10,,,,,,,,,,,,,,
1110,1,2,模式：普通的痛,60109,15,930,2970,1030652,37103,10,42001,1,,,,,,,,,,,,
1111,1,2,模式：藤高级的痛苦,60110,15,1240,4050,1030653,37103,11,42001,2,42005,2,,,,,,,,,,
1112,1,2,模式：魔杖最稀有的痛,60111,15,6249,5400,1030654,37103,12,42205,6,42005,2,39101,1,,,,,,,,
1113,1,2,模式：不起眼的恐惧魔杖,60112,20,920,4800,1030851,37104,10,,,,,,,,,,,,,,
1114,1,2,模式：棒的平原恐惧,60113,20,1240,5280,1030852,37104,10,42001,1,,,,,,,,,,,,
1115,1,2,模式：高级的恐惧魔杖,60114,20,1972,7200,1030853,37104,11,42001,3,42005,3,,,,,,,,,,
1116,1,2,模式：员工罕见的恐怖,60115,20,4912,9600,1030854,37104,12,42206,3,42005,4,39101,3,,,,,,,,
1117,1,2,模式：破旧的愤怒棒,60116,25,1150,7500,1031051,37105,10,,,,,,,,,,,,,,
1118,1,2,模式：巫妖王之怒的普通,60117,25,1650,8250,1031052,37105,10,42002,1,,,,,,,,,,,,
1119,1,2,模式：奢华之怒魔杖,60118,25,2265,11250,1031053,37105,11,42002,2,42005,5,,,,,,,,,,
1120,1,2,模式：一种罕见的暴怒棒,60119,25,9603,15000,1031054,37105,12,42206,4,42005,6,39101,4,,,,,,,,
1121,1,2,模式：不起眼的疯狂棒,60120,30,1380,10800,1031251,37106,10,,,,,,,,,,,,,,
1122,1,2,模式：普通疯狂棒,60121,30,1980,11880,1031252,37106,10,42002,1,,,,,,,,,,,,
1123,1,2,模式：高级的疯狂棒,60122,30,3318,16200,1031253,37106,11,42002,3,42005,7,,,,,,,,,,
1124,1,2,模式：魔杖稀有疯狂,60123,30,9755,21600,1031254,37106,12,42207,3,42005,9,39101,6,,,,,,,,
1125,1,2,模式：特棒疯狂,60124,30,19900,32400,1031255,37106,15,43010,4,42005,13,39101,9,,,,,,,,
1126,1,2,模式：不起眼的豹棒,60125,35,1610,14700,1031451,37107,10,,,,,,,,,,,,,,
1127,1,2,模式：豹普通,60126,35,2450,16170,1031452,37107,10,42003,1,,,,,,,,,,,,
1128,1,2,模式：员工奢华豹纹,60127,35,3451,22050,1031453,37107,11,42003,2,42005,9,,,,,,,,,,
1129,1,2,模式：罕见的豹子,60128,35,14581,29400,1031454,37107,12,42207,4,42005,12,39102,1,,,,,,,,
1130,1,2,模式：工作人员的特殊密封件,60129,35,22713,44100,1031455,37107,15,43011,4,42005,18,39102,2,,,,,,,,
1131,1,2,模式：不起眼的武士棒,60130,40,1840,19200,1031651,37108,10,,,,,,,,,,,,,,
1132,1,2,模式：冠军的普通,60131,40,2800,21120,1031652,37108,10,42003,1,,,,,,,,,,,,
1133,1,2,模式：冠军高级的棒,60132,40,4904,28800,1031653,37108,11,42003,3,42005,12,,,,,,,,,,
1134,1,2,模式：棒的罕见冠军,60133,40,13244,38400,1031654,37108,12,42208,3,42005,16,39102,2,,,,,,,,
1135,1,2,模式：冠军的特殊魔杖,60134,40,26589,57600,1031655,37108,15,43012,4,42005,24,39102,3,,,,,,,,
1136,1,2,模式：破旧的强大魔杖,60135,45,2070,24300,1031851,37109,10,,,,,,,,,,,,,,
1137,1,2,模式：普通战士棒,60136,45,3330,26730,1031852,37109,10,42004,1,,,,,,,,,,,,
1138,1,2,模式：高级的强大的魔杖,60137,45,4797,36450,1031853,37109,11,42004,2,42005,15,,,,,,,,,,
1139,1,2,模式：冠军的魔杖稀有,60138,45,17060,48600,1031854,37109,12,42208,3,42005,20,39102,2,,,,,,,,
1140,1,2,模式：特别棒的退伍军人,60139,45,34942,72900,1031855,37109,15,43013,4,42005,30,39102,4,,,,,,,,
1141,1,2,模式：主权破旧的魔杖,60140,50,2300,30000,1032051,37110,10,,,,,,,,,,,,,,
1142,1,2,模式：主权普通,60141,50,3700,33000,1032052,37110,10,42004,1,,,,,,,,,,,,
1143,1,2,模式：高级的的君枝,60142,50,6730,45000,1032053,37110,11,42004,3,42005,18,,,,,,,,,,
1144,1,2,模式：员工罕见的君主,60143,50,19481,60000,1032054,37110,12,42209,3,42005,25,39102,3,,,,,,,,
1145,1,2,模式：君主专用法杖,60144,50,38824,90000,1032055,37110,15,43014,4,42005,37,39102,4,,,,,,,,
1146,1,2,模式：破旧的霸王之棒,60145,52,2392,32448,1010251,37110,11,,,,,,,,,,,,,,
1147,1,2,模式：普通霸王之棒,60146,52,4056,35694,1010251,37110,11,42006,1,,,,,,,,,,,,
1148,1,2,模式：高级的霸王之的棒,60147,52,7623,48672,1010251,37110,12,42006,2,42005,20,,,,,,,,,,
1149,1,2,模式：罕见霸王之棒,60148,52,22756,64896,1010251,37110,13,42209,5,42005,27,39102,3,,,,,,,,
1150,1,2,模式：特殊霸王之棒,60149,52,45369,97344,1010251,37110,16,43014,6,42005,40,39102,5,,,,,,,,
1151,1,2,模式：最强工作人员,60150,55,2530,36300,1032251,37111,10,,,,,,,,,,,,,,
1152,1,2,模式：普通最强手杖,60151,55,4290,39930,1032252,37111,10,42006,1,,,,,,,,,,,,
1153,1,2,模式：极致奢华,60152,55,8063,54450,1032253,37111,11,42006,2,42005,22,,,,,,,,,,
1154,1,2,模式：罕见的最强队伍,60153,55,24069,72600,1032254,37111,12,42209,7,42005,30,39103,2,,,,,,,,
1155,1,2,模式：员工最强的特,60154,55,47987,108900,1032255,37111,15,43014,8,42005,45,39103,3,,,,,,,,
1201,1,3,模式：一个谦虚的人精通,60200,1,230,300,1040251,37100,9,,,,,,,,,,,,,,
1202,1,3,模式：普通的,60201,1,290,330,1040252,37100,9,42000,1,,,,,,,,,,,,
1203,1,3,模式：高级的,60202,5,313,450,1040253,37100,10,42000,1,42005,1,,,,,,,,,,
1204,1,3,模式：罕见的专家,60203,5,403,600,1040254,37100,11,42205,1,42005,1,39100,1,,,,,,,,
1205,1,3,模式：破旧的审判,60204,10,460,1200,1040451,37102,10,,,,,,,,,,,,,,
1206,1,3,模式：普通试验,60205,10,580,1320,1040452,37102,10,42000,1,,,,,,,,,,,,
1207,1,3,模式：高级的试验,60206,10,866,1800,1040453,37102,11,42000,3,42005,1,,,,,,,,,,
1208,1,3,模式：罕见的审判,60207,10,2292,2400,1040454,37102,12,42205,3,42005,1,39100,5,,,,,,,,
1209,1,3,模式：破旧的痛,60208,15,690,2700,1040651,37103,10,,,,,,,,,,,,,,
1210,1,3,模式：普通疼痛,60209,15,930,2970,1040652,37103,10,42001,1,,,,,,,,,,,,
1211,1,3,模式：高级的疼痛,60210,15,1240,4050,1040653,37103,11,42001,2,42005,2,,,,,,,,,,
1212,1,3,模式：罕见的疼痛,60211,15,6249,5400,1040654,37103,12,42205,6,42005,2,39101,1,,,,,,,,
1213,1,3,模式：简陋的恐怖,60212,20,920,4800,1040851,37104,10,,,,,,,,,,,,,,
1214,1,3,模式：平庸的恐怖,60213,20,1240,5280,1040852,37104,10,42001,1,,,,,,,,,,,,
1215,1,3,模式：高级的恐惧,60214,20,1972,7200,1040853,37104,11,42001,3,42005,3,,,,,,,,,,
1216,1,3,模式：罕见的恐怖,60215,20,4912,9600,1040854,37104,12,42206,3,42005,4,39101,3,,,,,,,,
1217,1,3,模式：怒寒酸,60216,25,1150,7500,1041051,37105,10,,,,,,,,,,,,,,
1218,1,3,模式：巫妖王之怒普通,60217,25,1650,8250,1041052,37105,10,42002,1,,,,,,,,,,,,
1219,1,3,模式：奢华之怒,60218,25,2265,11250,1041053,37105,11,42002,2,42005,5,,,,,,,,,,
1220,1,3,模式：一种罕见的暴怒,60219,25,9603,15000,1041054,37105,12,42206,4,42005,6,39101,4,,,,,,,,
1221,1,3,模式：寒酸疯狂,60220,30,1380,10800,1041251,37106,10,,,,,,,,,,,,,,
1222,1,3,模式：普通疯狂,60221,30,1980,11880,1041252,37106,10,42002,1,,,,,,,,,,,,
1223,1,3,模式：高级的的疯狂,60222,30,3318,16200,1041253,37106,11,42002,3,42005,7,,,,,,,,,,
1224,1,3,模式：罕见的疯狂,60223,30,9755,21600,1041254,37106,12,42207,3,42005,9,39101,6,,,,,,,,
1225,1,3,模式：特别疯狂,60224,30,19900,32400,1041255,37106,15,43010,4,42005,13,39101,9,,,,,,,,
1226,1,3,模式：寒酸豹,60225,35,1610,14700,1041451,37107,10,,,,,,,,,,,,,,
1227,1,3,模式：普通豹,60226,35,2450,16170,1041452,37107,10,42003,1,,,,,,,,,,,,
1228,1,3,模式：高级的豹,60227,35,3451,22050,1041453,37107,11,42003,2,42005,9,,,,,,,,,,
1229,1,3,模式：罕见的豹子,60228,35,14581,29400,1041454,37107,12,42207,4,42005,12,39102,1,,,,,,,,
1230,1,3,模式：的特殊密封件,60229,35,22713,44100,1041455,37107,15,43011,4,42005,18,39102,2,,,,,,,,
1231,1,3,模式：不起眼的战士,60230,40,1840,19200,1041651,37108,10,,,,,,,,,,,,,,
1232,1,3,模式：冠军的普通,60231,40,2800,21120,1041652,37108,10,42003,1,,,,,,,,,,,,
1233,1,3,模式：高级的战士,60232,40,4904,28800,1041653,37108,11,42003,3,42005,12,,,,,,,,,,
1234,1,3,模式：罕见的战士,60233,40,13244,38400,1041654,37108,12,42208,3,42005,16,39102,2,,,,,,,,
1235,1,3,模式：特殊战士的头,60234,40,26589,57600,1041655,37108,15,43012,4,42005,24,39102,3,,,,,,,,
1236,1,3,模式：一个不起眼的战士,60235,45,2070,24300,1041851,37109,10,,,,,,,,,,,,,,
1237,1,3,模式：一个普通的战士,60236,45,3330,26730,1041852,37109,10,42004,1,,,,,,,,,,,,
1238,1,3,模式：高级的威猛,60237,45,4797,36450,1041853,37109,11,42004,2,42005,15,,,,,,,,,,
1239,1,3,模式：罕见的武士,60238,45,17060,48600,1041854,37109,12,42208,3,42005,20,39102,2,,,,,,,,
1240,1,3,模式：特殊的退伍军人,60239,45,34942,72900,1041855,37109,15,43013,4,42005,30,39102,4,,,,,,,,
1241,1,3,模式：破旧的君主,60240,50,2300,30000,1042051,37110,10,,,,,,,,,,,,,,
1242,1,3,模式：主权普通,60241,50,3700,33000,1042052,37110,10,42004,1,,,,,,,,,,,,
1243,1,3,模式：奢华的君主,60242,50,6730,45000,1042053,37110,11,42004,3,42005,18,,,,,,,,,,
1244,1,3,模式：罕见的君主,60243,50,19481,60000,1042054,37110,12,42209,3,42005,25,39102,3,,,,,,,,
1245,1,3,模式：主权的特殊,60244,50,38824,90000,1042055,37110,15,43014,4,42005,37,39102,4,,,,,,,,
1246,1,3,模式：寒酸霸王之的,60245,52,2392,32448,1010251,37110,11,,,,,,,,,,,,,,
1247,1,3,模式：普通霸王之,60246,52,4056,35694,1010251,37110,11,42006,1,,,,,,,,,,,,
1248,1,3,模式：高级的霸王之的,60247,52,7623,48672,1010251,37110,12,42006,2,42005,20,,,,,,,,,,
1249,1,3,模式：罕见霸王之的,60248,52,22756,64896,1010251,37110,13,42209,5,42005,27,39102,3,,,,,,,,
1250,1,3,模式：特殊霸王之,60249,52,45369,97344,1010251,37110,16,43014,6,42005,40,39102,5,,,,,,,,
1251,1,3,模式：最强,60250,55,2530,36300,1042251,37111,10,,,,,,,,,,,,,,
1252,1,3,模式：普通最强,60251,55,4290,39930,1042252,37111,10,42006,1,,,,,,,,,,,,
1253,1,3,模式：极致奢华,60252,55,8063,54450,1042253,37111,11,42006,2,42005,22,,,,,,,,,,
1254,1,3,模式：罕见的最强,60253,55,24069,72600,1042254,37111,12,42209,7,42005,30,39103,2,,,,,,,,
1255,1,3,模式：特殊最强,60254,55,47987,108900,1042255,37111,15,43014,8,42005,45,39103,3,,,,,,,,
1301,1,4,模式：简陋的弓,60300,1,230,300,1050251,37100,9,,,,,,,,,,,,,,
1302,1,4,模式：普通的弓,60301,1,290,330,1050252,37100,9,42000,1,,,,,,,,,,,,
1303,1,4,模式：高级的弓,60302,5,313,450,1050253,37100,10,42000,1,42005,1,,,,,,,,,,
1304,1,4,模式：弓罕见,60303,5,403,600,1050254,37100,11,42205,1,42005,1,39100,1,,,,,,,,
1305,1,4,模式：弓破旧试验,60304,10,460,1200,1050451,37102,10,,,,,,,,,,,,,,
1306,1,4,模式：弓普通试验,60305,10,580,1320,1050452,37102,10,42000,1,,,,,,,,,,,,
1307,1,4,模式：弓高级的试验,60306,10,866,1800,1050453,37102,11,42000,3,42005,1,,,,,,,,,,
1308,1,4,模式：弓罕见试验,60307,10,2292,2400,1050454,37102,12,42205,3,42005,1,39100,5,,,,,,,,
1309,1,4,模式：一个破旧的痛苦弓,60308,15,690,2700,1050651,37103,10,,,,,,,,,,,,,,
1310,1,4,模式：普通疼痛弓,60309,15,930,2970,1050652,37103,10,42001,1,,,,,,,,,,,,
1311,1,4,模式：弓高级的疼痛,60310,15,1240,4050,1050653,37103,11,42001,2,42005,2,,,,,,,,,,
1312,1,4,模式：弓罕见疼痛,60311,15,6249,5400,1050654,37103,12,42205,6,42005,2,39101,1,,,,,,,,
1313,1,4,模式：一个不起眼的恐惧之弓,60312,20,920,4800,1050851,37104,10,,,,,,,,,,,,,,
1314,1,4,模式：平庸的恐怖之弓,60313,20,1240,5280,1050852,37104,10,42001,1,,,,,,,,,,,,
1315,1,4,模式：弓高级的恐惧,60314,20,1972,7200,1050853,37104,11,42001,3,42005,3,,,,,,,,,,
1316,1,4,模式：罕见的恐怖之弓,60315,20,4912,9600,1050854,37104,12,42206,3,42005,4,39101,3,,,,,,,,
1317,1,4,模式：愤怒破旧的弓,60316,25,1150,7500,1051051,37105,10,,,,,,,,,,,,,,
1318,1,4,模式：巫妖王之怒普通弓,60317,25,1650,8250,1051052,37105,10,42002,1,,,,,,,,,,,,
1319,1,4,模式：高级的弓,60318,25,2265,11250,1051053,37105,11,42002,2,42005,5,,,,,,,,,,
1320,1,4,模式：活动难得一见的愤怒,60319,25,9603,15000,1051054,37105,12,42206,4,42005,6,39101,4,,,,,,,,
1321,1,4,模式：一个破旧的疯狂之弓,60320,30,1380,10800,1051251,37106,10,,,,,,,,,,,,,,
1322,1,4,模式：普通疯狂弓,60321,30,1980,11880,1051252,37106,10,42002,1,,,,,,,,,,,,
1323,1,4,模式：弓高级的的疯狂,60322,30,3318,16200,1051253,37106,11,42002,3,42005,7,,,,,,,,,,
1324,1,4,模式：弓罕见的疯狂,60323,30,9755,21600,1051254,37106,12,42207,3,42005,9,39101,6,,,,,,,,
1325,1,4,模式：一种特殊的疯狂弓,60324,30,19900,32400,1051255,37106,15,43010,4,42005,13,39101,9,,,,,,,,
1326,1,4,模式：一个破旧的豹纹蝴蝶结,60325,35,1610,14700,1051451,37107,10,,,,,,,,,,,,,,
1327,1,4,模式：普通豹纹蝴蝶结,60326,35,2450,16170,1051452,37107,10,42003,1,,,,,,,,,,,,
1328,1,4,模式：弓高级的豹,60327,35,3451,22050,1051453,37107,11,42003,2,42005,9,,,,,,,,,,
1329,1,4,模式：一种罕见的豹纹蝴蝶结,60328,35,14581,29400,1051454,37107,12,42207,4,42005,12,39102,1,,,,,,,,
1330,1,4,模式：弓的特殊密封件,60329,35,22713,44100,1051455,37107,15,43011,4,42005,18,39102,2,,,,,,,,
1331,1,4,模式：一个不起眼的武士弓,60330,40,1840,19200,1051651,37108,10,,,,,,,,,,,,,,
1332,1,4,模式：一个普通战士的弓,60331,40,2800,21120,1051652,37108,10,42003,1,,,,,,,,,,,,
1333,1,4,模式：弓高级的战士,60332,40,4904,28800,1051653,37108,11,42003,3,42005,12,,,,,,,,,,
1334,1,4,模式：弓的罕见勇士,60333,40,13244,38400,1051654,37108,12,42208,3,42005,16,39102,2,,,,,,,,
1335,1,4,模式：一种特殊的武士弓,60334,40,26589,57600,1051655,37108,15,43012,4,42005,24,39102,3,,,,,,,,
1336,1,4,模式：强大的简陋的弓,60335,45,2070,24300,1051851,37109,10,,,,,,,,,,,,,,
1337,1,4,模式：一个普通战士的弓,60336,45,3330,26730,1051852,37109,10,42004,1,,,,,,,,,,,,
1338,1,4,模式：弓高级的老兵,60337,45,4797,36450,1051853,37109,11,42004,2,42005,15,,,,,,,,,,
1339,1,4,模式：弓罕见老兵,60338,45,17060,48600,1051854,37109,12,42208,3,42005,20,39102,2,,,,,,,,
1340,1,4,模式：一种特殊的武士弓,60339,45,34942,72900,1051855,37109,15,43013,4,42005,30,39102,4,,,,,,,,
1341,1,4,模式：一个破旧的君主之弓,60340,50,2300,30000,1052051,37110,10,,,,,,,,,,,,,,
1342,1,4,模式：一个平庸的君主之弓,60341,50,3700,33000,1052052,37110,10,42004,1,,,,,,,,,,,,
1343,1,4,模式：弓奢华的君主,60342,50,6730,45000,1052053,37110,11,42004,3,42005,18,,,,,,,,,,
1344,1,4,模式：罕见的君主之弓,60343,50,19481,60000,1052054,37110,12,42209,3,42005,25,39102,3,,,,,,,,
1345,1,4,模式：一个特定的君主之弓,60344,50,38824,90000,1052055,37110,15,43014,4,42005,37,39102,4,,,,,,,,
1346,1,4,模式：一个破旧霸王之的弓,60345,52,2392,32448,1010251,37110,11,,,,,,,,,,,,,,
1347,1,4,模式：普通霸王之弓,60346,52,4056,35694,1010251,37110,11,42006,1,,,,,,,,,,,,
1348,1,4,模式：弓高级的霸王之的,60347,52,7623,48672,1010251,37110,12,42006,2,42005,20,,,,,,,,,,
1349,1,4,模式：弓罕见霸王之的,60348,52,22756,64896,1010251,37110,13,42209,5,42005,27,39102,3,,,,,,,,
1350,1,4,模式：一种特殊的霸王之的弓,60349,52,45369,97344,1010251,37110,16,43014,6,42005,40,39102,5,,,,,,,,
1351,1,4,模式：最强弓,60350,55,2530,36300,1052251,37111,10,,,,,,,,,,,,,,
1352,1,4,模式：普通最强弓,60351,55,4290,39930,1052252,37111,10,42006,1,,,,,,,,,,,,
1353,1,4,模式：极致奢华之弓,60352,55,8063,54450,1052253,37111,11,42006,2,42005,22,,,,,,,,,,
1354,1,4,模式：弓罕见最强,60353,55,24069,72600,1052254,37111,12,42209,7,42005,30,39103,2,,,,,,,,
1355,1,4,模式：一种特殊的最强弓,60354,55,47987,108900,1052255,37111,15,43014,8,42005,45,39103,3,,,,,,,,
1401,1,5,模式：一个谦虚的人查克兰姆,60400,1,230,300,1060251,37100,9,,,,,,,,,,,,,,
1402,1,5,模式：普通的查克兰姆,60401,1,290,330,1060252,37100,9,42000,1,,,,,,,,,,,,
1403,1,5,模式：高级的查克兰姆,60402,5,313,450,1060253,37100,10,42000,1,42005,1,,,,,,,,,,
1404,1,5,模式：查克兰姆稀有,60403,5,403,600,1060254,37100,11,42205,1,42005,1,39100,1,,,,,,,,
1405,1,5,模式：不起眼的试验查克兰姆,60404,10,460,1200,1060451,37102,10,,,,,,,,,,,,,,
1406,1,5,模式：查克兰姆普通试验,60405,10,580,1320,1060452,37102,10,42000,1,,,,,,,,,,,,
1407,1,5,模式：查克兰姆高级的试验,60406,10,866,1800,1060453,37102,11,42000,3,42005,1,,,,,,,,,,
1408,1,5,模式：罕见的审判查克兰姆,60407,10,2292,2400,1060454,37102,12,42205,3,42005,1,39100,5,,,,,,,,
1409,1,5,模式：寒酸查克兰姆疼痛,60408,15,690,2700,1060651,37103,10,,,,,,,,,,,,,,
1410,1,5,模式：查克兰姆患普通,60409,15,930,2970,1060652,37103,10,42001,1,,,,,,,,,,,,
1411,1,5,模式：痛苦查克兰姆高级的,60410,15,1240,4050,1060653,37103,11,42001,2,42005,2,,,,,,,,,,
