TID,Comment,ItemTID,SetAbilityTID
61,高级 - 罗布套装永恒之（Lv.47）,101200|101201|101202|101203|101204|101205,151|152|153|154|155
62,高级 - 罗布毁灭套装（Lv.47）,101210|101211|101212|101213|101214|101215,156|157|158|159|160
63,高级 - 颈甲灯罩套装（Lv.47）,101230|101231|101232|101233|101234|101235,161|162|163|164|165
64,高级 - 颈甲套装帐幕（Lv.47）,101240|101241|101242|101243|101244|101245,166|167|168|169|170
65,高级 - 英雄中级套装（Lv.47）,101260|101261|101262|101263|101264|101265,171|172|173|174|175
66,高级 - 中级套装斗争（Lv.47）,101270|101271|101272|101273|101274|101275,176|177|178|179|180
67,高级 - 罗布套装一初始（Lv.47）,101300|101301|101302|101303|101304|101305,151|152|153|154|155
68,高级 - 初始罗布套装（Lv.47）,101310|101311|101312|101313|101314|101315,156|157|158|159|160
69,高级 - 颈甲套装欢迎（Lv.47）,101330|101331|101332|101333|101334|101335,161|162|163|164|165
70,高级 - 颈甲的假象套装（Lv.47,101340|101341|101342|101343|101344|101345,166|167|168|169|170
71,高级 - 中级套装不朽（Lv.47）,101360|101361|101362|101363|101364|101365,171|172|173|174|175
72,高级 - 凡人中级套装（Lv.47）,101370|101371|101372|101373|101374|101375,176|177|178|179|180
73,高级 - 罗布套装永恒之（Lv.50）,101400|101401|101402|101403|101404|101405,181|182|183|184|185
74,高级 - 罗布毁灭套装（Lv.50）,101410|101411|101412|101413|101414|101415,186|187|188|189|190
75,高级 - 颈甲灯罩套装（Lv.50）,101430|101431|101432|101433|101434|101435,191|192|193|194|195
76,高级 - 颈甲套装帐幕（Lv.50）,101440|101441|101442|101443|101444|101445,196|197|198|199|200
77,高级 - 英雄中级套装（Lv.50）,101460|101461|101462|101463|101464|101465,201|202|203|204|205
78,高级 - 中级套装斗争（Lv.50）,101470|101471|101472|101473|101474|101475,206|207|208|209|210
79,高级 - 罗布套装一初始（Lv.50）,101500|101501|101502|101503|101504|101505,181|182|183|184|185
80,高级 - 初始罗布套装（Lv.50）,101510|101511|101512|101513|101514|101515,186|187|188|189|190
81,高级 - 颈甲套装欢迎（Lv.50）,101530|101531|101532|101533|101534|101535,191|192|193|194|195
82,高级 - 颈甲的假象套装（Lv.50）,101540|101541|101542|101543|101544|101545,196|197|198|199|200
83,高级 - 中级不朽套装（Lv.50）,101560|101561|101562|101563|101564|101565,201|202|203|204|205
84,高级 - 凡人中级套装（Lv.50）,101570|101571|101572|101573|101574|101575,206|207|208|209|210
85,高级 - 永恒之罗布套装（Lv.52）,101600|101601|101602|101603|101604|101605,211|212|213|214|215
86,高级 - 罗布毁灭套装（Lv.52）,101610|101611|101612|101613|101614|101615,216|217|218|219|220
87,高级 - 颈甲灯罩套装（Lv.52）,101630|101631|101632|101633|101634|101635,221|222|223|224|225
88,高级 - 颈甲套装帐幕（Lv.52）,101640|101641|101642|101643|101644|101645,226|227|228|229|230
89,高级 - 英雄中级套装（Lv.52）,101660|101661|101662|101663|101664|101665,231|232|233|234|235
90,高级 - 中级套装斗争（Lv.52）,101670|101671|101672|101673|101674|101675,236|237|238|239|240
91,高级 - 罗布套装一初始（Lv.52）,101700|101701|101702|101703|101704|101705,211|212|213|214|215
92,高级 - 初始罗布套装（Lv.52）,101710|101711|101712|101713|101714|101715,216|217|218|219|220
93,高级 - 颈甲套装欢迎（Lv.52）,101730|101731|101732|101733|101734|101735,221|222|223|224|225
94,高级 - 颈甲的假象套装（Lv.52）,101740|101741|101742|101743|101744|101745,226|227|228|229|230
95,高级 - 中级套装不朽（Lv.52）,101760|101761|101762|101763|101764|101765,231|232|233|234|235
96,高级 - 凡人中级套装（Lv.52）,101770|101771|101772|101773|101774|101775,236|237|238|239|240
97,高级 - 罗布套装永恒之（Lv.55）,101800|101801|101802|101803|101804|101805,241|242|243|244|245
98,高级 - 罗布毁灭套装（Lv.55）,101810|101811|101812|101813|101814|101815,246|247|248|249|250
99,高级 - 颈甲灯罩套装（Lv.55）,101830|101831|101832|101833|101834|101835,251|252|253|254|255
100,高级 - 颈甲套装帐幕（Lv.55）,101840|101841|101842|101843|101844|101845,256|257|258|259|260
101,高级 - 英雄中级套装（Lv.55）,101860|101861|101862|101863|101864|101865,261|262|263|264|265
102,高级 - 中级套装斗争（Lv.55）,101870|101871|101872|101873|101874|101875,266|267|268|269|270
103,高级 - 罗布套装一初始（Lv.55）,101900|101901|101902|101903|101904|101905,241|242|243|244|245
104,高级 - 初始罗布套装（Lv.55）,101910|101911|101912|101913|101914|101915,246|247|248|249|250
105,高级 - 颈甲套装欢迎（Lv.55）,101930|101931|101932|101933|101934|101935,251|252|253|254|255
106,高级 - 颈甲的假象套装（Lv.55）,101940|101941|101942|101943|101944|101945,256|257|258|259|260
107,高级 - 中级套装不朽（Lv.55）,101960|101961|101962|101963|101964|101965,261|262|263|264|265
108,高级 - 凡人中级套装（Lv.55）,101970|101971|101972|101973|101974|101975,266|267|268|269|270
109,高级 - 罗布套装永恒之（Lv.57）,102000|102001|102002|102003|102004|102005,271|272|273|274|275
110,高级 - 罗布毁灭套装（Lv.57）,102010|102011|102012|102013|102014|102015,276|277|278|279|280
111,高级 - 颈甲灯罩套装（Lv.57）,102030|102031|102032|102033|102034|102035,281|282|283|284|285
112,高级 - 颈甲套装帐幕（Lv.57）,102040|102041|102042|102043|102044|102045,286|287|288|289|290
113,高级 - 英雄中级套装（Lv.57）,102060|102061|102062|102063|102064|102065,291|292|293|294|295
114,高级 - 中级套装斗争（Lv.57）,102070|102071|102072|102073|102074|102075,296|297|298|299|300
115,高级 - 罗布套装一初始（Lv.57）,102100|102101|102102|102103|102104|102105,271|272|273|274|275
116,高级 - 初始罗布套装（Lv.57）,102110|102111|102112|102113|102114|102115,276|277|278|279|280
117,高级 - 颈甲套装欢迎（Lv.57）,102130|102131|102132|102133|102134|102135,281|282|283|284|285
118,高级 - 颈甲的假象套装（Lv.57）,102140|102141|102142|102143|102144|102145,286|287|288|289|290
119,高级 - 中级套装不朽（Lv.57）,102160|102161|102162|102163|102164|102165,291|292|293|294|295
120,高级 - 凡人中级套装（Lv.57）,102170|102171|102172|102173|102174|102175,296|297|298|299|300
121,高级 - 罗布套装永恒之（Lv.58）,102200|102201|102202|102203|102204|102205,301|302|303|304|305
122,高级 - 罗布毁灭套装（Lv.58）,102210|102211|102212|102213|102214|102215,306|307|308|309|310
123,高级 - 颈甲灯罩套装（Lv.58）,102230|102231|102232|102233|102234|102235,311|312|313|314|315
124,高级 - 颈甲套装帐幕（Lv.58）,102240|102241|102242|102243|102244|102245,316|317|318|319|320
125,高级 - 英雄中级套装（Lv.58）,102260|102261|102262|102263|102264|102265,321|322|323|324|325
126,高级 - 中级套装斗争（Lv.58）,102270|102271|102272|102273|102274|102275,326|327|328|329|330
127,高级 - 罗布套装一初始（Lv.58）,102300|102301|102302|102303|102304|102305,301|302|303|304|305
128,高级 - 初始罗布套装（Lv.58）,102310|102311|102312|102313|102314|102315,306|307|308|309|310
129,高级 - 颈甲套装欢迎（Lv.58）,102330|102331|102332|102333|102334|102335,311|312|313|314|315
130,高级 - 颈甲的假象套装（Lv.58）,102340|102341|102342|102343|102344|102345,316|317|318|319|320
131,高级 - 中级套装不朽（Lv.58）,102360|102361|102362|102363|102364|102365,321|322|323|324|325
132,高级 - 凡人中级套装（Lv.58）,102370|102371|102372|102373|102374|102375,326|327|328|329|330
133,高级 - 罗布套装永恒之（Lv.59）,102400|102401|102402|102403|102404|102405,331|332|333|334|335
134,高级 - 罗布毁灭套装（Lv.59）,102410|102411|102412|102413|102414|102415,336|337|338|339|340
135,高级 - 颈甲灯罩套装（Lv.59）,102430|102431|102432|102433|102434|102435,341|342|343|344|345
136,高级 - 颈甲套装帐幕（Lv.59）,102440|102441|102442|102443|102444|102445,346|347|348|349|350
137,高级 - 英雄中级套装（Lv.59）,102460|102461|102462|102463|102464|102465,351|352|353|354|355
138,高级 - 中级套装斗争（Lv.59）,102470|102471|102472|102473|102474|102475,356|357|358|359|360
139,高级 - 罗布套装一初始（Lv.59）,102500|102501|102502|102503|102504|102505,331|332|333|334|335
140,高级 - 初始罗布套装（Lv.59）,102510|102511|102512|102513|102514|102515,336|337|338|339|340
141,高级 - 颈甲套装欢迎（Lv.59）,102530|102531|102532|102533|102534|102535,341|342|343|344|345
142,高级 - 颈甲的假象套装（Lv.59）,102540|102541|102542|102543|102544|102545,346|347|348|349|350
143,高级 - 中级套装不朽（Lv.59）,102560|102561|102562|102563|102564|102565,351|352|353|354|355
144,高级 - 凡人中级套装（Lv.59）,102570|102571|102572|102573|102574|102575,356|357|358|359|360
145,高级 - 罗布套装永恒之（Lv.60）,102600|102601|102602|102603|102604|102605,331|332|333|334|335
146,高级 - 罗布毁灭套装（Lv.60）,102610|102611|102612|102613|102614|102615,336|337|338|339|340
147,高级 - 颈甲灯罩套装（Lv.60）,102630|102631|102632|102633|102634|102635,341|342|343|344|345
148,高级 - 颈甲套装帐幕（Lv.60）,102640|102641|102642|102643|102644|102645,346|347|348|349|350
149,高级 - 英雄中级套装（Lv.60）,102660|102661|102662|102663|102664|102665,351|352|353|354|355
150,高级 - 中级套装斗争（Lv.60）,102670|102671|102672|102673|102674|102675,356|357|358|359|360
151,高级 - 罗布套装一初始（Lv.60）,102700|102701|102702|102703|102704|102705,331|332|333|334|335
152,高级 - 初始罗布套装（Lv.60）,102710|102711|102712|102713|102714|102715,336|337|338|339|340
153,高级 - 颈甲套装欢迎（Lv.60）,102730|102731|102732|102733|102734|102735,341|342|343|344|345
154,高级 - 颈甲的假象套装（Lv.60）,102740|102741|102742|102743|102744|102745,346|347|348|349|350
155,高级 - 中级套装不朽（Lv.60）,102760|102761|102762|102763|102764|102765,351|352|353|354|355
156,高级 - 凡人中级套装（Lv.60）,102770|102771|102772|102773|102774|102775,356|357|358|359|360
300,高级-普通光的头像集（第一次）,201011|201012|201013|201014|201015|201016,361|362|363|364|365
301,高级-高级的光的头像集（第一次）,201021|201022|201023|201024|201025|201026,366|367|368|369|370
302,高级-稀有的道具组（一次）,201031|201032|201033|201034|201035|201036,371|372|373|374|375
303,高级-普通的火的头像（2次）,201041|201042|201043|201044|201045|201046,376|377|378|379|380
304,高级-时髦的火的头像集（2次）,201051|201052|201053|201054|201055|201056,381|382|383|384|385
305,高级-罕见的火的头像（2次）,201061|201062|201063|201064|201065|201066,386|387|388|389|390
306,高级-高级的光的头像集（活动）,201071|201072|201073|201074|201075|201076,391|392|393|394|395
501,破坏-服务之罗布套装(Lv.30),105000|105001|105002|105003|105004|105005,5001|5002|5003|5004|5005
502,破坏-魔术师的罗布套装(Lv.30),105010|105011|105012|105013|105014|105015,5006|5007|5008|5009|5010
503,破坏-技巧的颈甲套装(Lv.30),105030|105031|105032|105033|105034|105035,5011|5012|5013|5014|5015
504,破坏-集中的颈甲套装(Lv.30),105040|105041|105042|105043|105044|105045,5016|5017|5018|5019|5020
505,破坏-保护之中级套装(Lv.30),105060|105061|105062|105063|105064|105065,5021|5022|5023|5024|5025
506,破坏-攻击之中级套装(Lv.30),105070|105071|105072|105073|105074|105075,5026|5027|5028|5029|5030
507,破坏-和谐之 罗布套装(Lv.32),105200|105201|105202|105203|105204|105205,5001|5002|5003|5004|5005
508,破坏-智慧的罗布套装(Lv.32),105210|105211|105212|105213|105214|105215,5006|5007|5008|5009|5010
509,破坏-风之颈甲套装(Lv.32),105230|105231|105232|105233|105234|105235,5011|5012|5013|5014|5015
510,破坏-幸运的颈甲套装(Lv.32),105240|105241|105242|105243|105244|105245,5016|5017|5018|5019|5020
511,破坏-警戒之中级套装(Lv.32),105260|105261|105262|105263|105264|105265,5021|5022|5023|5024|5025
512,破坏-无用的中级套装(Lv.32),105270|105271|105272|105273|105274|105275,5026|5027|5028|5029|5030
513,破坏-繁荣的罗布套装(Lv.35),105400|105401|105402|105403|105404|105405,5031|5032|5033|5034|5035
514,破坏-变化的罗布套装(Lv.35),105410|105411|105412|105413|105414|105415,5036|5037|5038|5039|5040
515,破坏-野生的颈甲套装(Lv.35),105430|105431|105432|105433|105434|105435,5041|5042|5043|5044|5045
516,破坏-野性的颈甲套装(Lv.35),105440|105441|105442|105443|105444|105445,5046|5047|5048|5049|5050
517,破坏-护卫之中级套装(Lv.35),105460|105461|105462|105463|105464|105465,5051|5052|5053|5054|5055
518,破坏-欺诈之中级套装(Lv.35),105470|105471|105472|105473|105474|105475,5056|5057|5058|5059|5060
519,破坏-谅解之罗布套装(Lv.35),105500|105501|105502|105503|105504|105505,5031|5032|5033|5034|5035
520,破坏-探索之罗布套装(Lv.35),105510|105511|105512|105513|105514|105515,5036|5037|5038|5039|5040
521,破坏-匠人之颈甲套装(Lv.35),105530|105531|105532|105533|105534|105535,5041|5042|5043|5044|5045
522,破坏-行家之颈甲套装(Lv.35),105540|105541|105542|105543|105544|105545,5046|5047|5048|5049|5050
523,破坏-分解之中级套装(Lv.35),105560|105561|105562|105563|105564|105565,5051|5052|5053|5054|5055
524,破坏-无畏之中级套装(Lv.35),105570|105571|105572|105573|105574|105575,5056|5057|5058|5059|5060
525,破坏-牧师之罗布套装(Lv.40),105600|105601|105602|105603|105604|105605,5061|5062|5063|5064|5065
526,破坏-萨满的罗布套装(Lv.40),105610|105611|105612|105613|105614|105615,5066|5067|5068|5069|5070
527,破坏-斥候之颈甲套装(Lv.40),105630|105631|105632|105633|105634|105635,5071|5072|5073|5074|5075
528,破坏-搜查小组的颈甲套装(Lv.40),105640|105641|105642|105643|105644|105645,5076|5077|5078|5079|5080
529,破坏-保护装置的中级套装(Lv.40),105660|105661|105662|105663|105664|105665,5081|5082|5083|5084|5085
530,破坏-征服者的中级套装(Lv.40),105670|105671|105672|105673|105674|105675,5086|5087|5088|5089|5090
531,破坏-大牧师之罗布套装(Lv.40),105700|105701|105702|105703|105704|105705,5061|5062|5063|5064|5065
532,破坏-奥术师的罗布套装(Lv.40),105710|105711|105712|105713|105714|105715,5066|5067|5068|5069|5070
533,破坏-强盗的颈甲套装(Lv.40),105730|105731|105732|105733|105734|105735,5071|5072|5073|5074|5075
534,破坏-侵略者的颈甲套装(Lv.40),105740|105741|105742|105743|105744|105745,5076|5077|5078|5079|5080
535,破坏-领导力之中级套装(Lv.40),105760|105761|105762|105763|105764|105765,5081|5082|5083|5084|5085
536,破坏-愤怒的中级套装(Lv.40),105770|105771|105772|105773|105774|105775,5086|5087|5088|5089|5090
537,破坏-奉献的罗布套装(Lv.42),105800|105801|105802|105803|105804|105805,5091|5092|5093|5094|5095
538,破坏-秘密的罗布套装(Lv.42),105810|105811|105812|105813|105814|105815,5096|5097|5098|5099|5100
539,破坏-突然袭击的颈甲套装(Lv.42),105830|105831|105832|105833|105834|105835,5101|5102|5103|5104|5105
540,破坏-伏兵的颈甲套装(Lv.42),105840|105841|105842|105843|105844|105845,5106|5107|5108|5109|5110
541,破坏 - 中级套装的凡城（Lv.42）,105860|105861|105862|105863|105864|105865,5111|5112|5113|5114|5115
542,破坏 - 中级恼怒套装（Lv.42）,105870|105871|105872|105873|105874|105875,5116|5117|5118|5119|5120
543,破坏 - 罗布套装赎罪（Lv.42）,105900|105901|105902|105903|105904|105905,5091|5092|5093|5094|5095
544,破坏 - 罗布痛苦的套装（Lv.42）,105910|105911|105912|105913|105914|105915,5096|5097|5098|5099|5100
545,破坏 - 颈甲复仇套装（Lv.42）,105930|105931|105932|105933|105934|105935,5101|5102|5103|5104|5105
546,破坏 - 多颈甲套装（Lv.42）,105940|105941|105942|105943|105944|105945,5106|5107|5108|5109|5110
547,破坏 - 中级项套装（一）（Lv.42）,105960|105961|105962|105963|105964|105965,5111|5112|5113|5114|5115
548,破坏 - 中级套装司法部（Lv.42）,105970|105971|105972|105973|105974|105975,5116|5117|5118|5119|5120
549,破坏 - 罗布套装贤者（Lv.45）,106000|106001|106002|106003|106004|106005,5121|5122|5123|5124|5125
550,破坏 - 大罗布的精灵套装（Lv.45）,106010|106011|106012|106013|106014|106015,5126|5127|5128|5129|5130
551,破坏 - 颈甲套装想（Lv.45）,106030|106031|106032|106033|106034|106035,5131|5132|5133|5134|5135
552,破坏 - 仇恨颈甲套装（Lv.45）,106040|106041|106042|106043|106044|106045,5136|5137|5138|5139|5140
553,破坏 - 不屈不挠中级套装（Lv.45）,106060|106061|106062|106063|106064|106065,5141|5142|5143|5144|5145
554,破坏 - 狂怒中级套装（Lv.45）,106070|106071|106072|106073|106074|106075,5146|5147|5148|5149|5150
555,破坏 - 罗布的命运套装（Lv.45）,106100|106101|106102|106103|106104|106105,5121|5122|5123|5124|5125
556,破坏 - 罗布灭绝套装（Lv.45）,106110|106111|106112|106113|106114|106115,5126|5127|5128|5129|5130
557,破坏 - 阴影颈甲套装（Lv.45）,106130|106131|106132|106133|106134|106135,5131|5132|5133|5134|5135
558,破坏 - 颈投影甲套装（Lv.45）,106140|106141|106142|106143|106144|106145,5136|5137|5138|5139|5140
559,破坏 - 无敌中级套装（Lv.45）,106160|106161|106162|106163|106164|106165,5141|5142|5143|5144|5145
560,破坏 - 中级套装勇士（Lv.45）,106170|106171|106172|106173|106174|106175,5146|5147|5148|5149|5150
561,破坏 - 罗布套装永恒之（Lv.47）,106200|106201|106202|106203|106204|106205,5151|5152|5153|5154|5155
562,破坏 - 罗布毁灭套装（Lv.47）,106210|106211|106212|106213|106214|106215,5156|5157|5158|5159|5160
563,破坏 - 颈甲灯罩套装（Lv.47）,106230|106231|106232|106233|106234|106235,5161|5162|5163|5164|5165
564,破坏 - 颈甲套装帐幕（Lv.47）,106240|106241|106242|106243|106244|106245,5166|5167|5168|5169|5170
565,破坏 - 英雄中级套装（Lv.47）,106260|106261|106262|106263|106264|106265,5171|5172|5173|5174|5175
566,破坏 - 中级套装斗争（Lv.47）,106270|106271|106272|106273|106274|106275,5176|5177|5178|5179|5180
567,破坏 - 罗布套装一初始（Lv.47）,106300|106301|106302|106303|106304|106305,5151|5152|5153|5154|5155
568,破坏 - 初始罗布套装（Lv.47）,106310|106311|106312|106313|106314|106315,5156|5157|5158|5159|5160
569,破坏 - 颈甲套装欢迎（Lv.47）,106330|106331|106332|106333|106334|106335,5161|5162|5163|5164|5165
570,破坏 - 颈甲的假象套装（Lv.47）,106340|106341|106342|106343|106344|106345,5166|5167|5168|5169|5170
571,破坏 - 中级套装不朽（Lv.47）,106360|106361|106362|106363|106364|106365,5171|5172|5173|5174|5175
572,破坏 - 凡人中级套装（Lv.47）,106370|106371|106372|106373|106374|106375,5176|5177|5178|5179|5180
573,破坏 - 罗布套装永恒之（Lv.50）,106400|106401|106402|106403|106404|106405,5181|5182|5183|5184|5185
574,破坏 - 罗布毁灭套装（Lv.50）,106410|106411|106412|106413|106414|106415,5186|5187|5188|5189|5190
575,破坏 - 颈甲灯罩套装（Lv.50）,106430|106431|106432|106433|106434|106435,5191|5192|5193|5194|5195
576,破坏 - 颈甲套装帐幕（Lv.50）,106440|106441|106442|106443|106444|106445,5196|5197|5198|5199|5200
577,破坏 - 英雄中级套装（Lv.50）,106460|106461|106462|106463|106464|106465,5201|5202|5203|5204|5205
578,破坏 - 中级套装斗争（Lv.50）,106470|106471|106472|106473|106474|106475,5206|5207|5208|5209|5210
579,破坏 - 罗布套装一初始（Lv.50）,106500|106501|106502|106503|106504|106505,5181|5182|5183|5184|5185
580,破坏 - 初始罗布套装（Lv.50）,106510|106511|106512|106513|106514|106515,5186|5187|5188|5189|5190
581,破坏 - 颈甲套装欢迎（Lv.50）,106530|106531|106532|106533|106534|106535,5191|5192|5193|5194|5195
582,破坏 - 颈甲的假象套装（Lv.50）,106540|106541|106542|106543|106544|106545,5196|5197|5198|5199|5200
583,破坏 - 中级套装不朽（Lv.50）,106560|106561|106562|106563|106564|106565,5201|5202|5203|5204|5205
584,破坏 - 凡人中级套装（Lv.50）,106570|106571|106572|106573|106574|106575,5206|5207|5208|5209|5210
585,破坏 - 罗布套装永恒之（Lv.52）,106600|106601|106602|106603|106604|106605,5211|5212|5213|5214|5215
586,破坏 - 罗布毁灭套装（Lv.52）,106610|106611|106612|106613|106614|106615,5216|5217|5218|5219|5220
587,破坏 - 颈甲灯罩套装（Lv.52）,106630|106631|106632|106633|106634|106635,5221|5222|5223|5224|5225
588,破坏 - 颈甲套装帐幕（Lv.52）,106640|106641|106642|106643|106644|106645,5226|5227|5228|5229|5230
589,破坏 - 英雄中级套装（Lv.52）,106660|106661|106662|106663|106664|106665,5231|5232|5233|5234|5235
590,破坏 - 中级套装斗争（Lv.52）,106670|106671|106672|106673|106674|106675,5236|5237|5238|5239|5240
591,破坏 - 罗布套装一初始（Lv.52）,106700|106701|106702|106703|106704|106705,5211|5212|5213|5214|5215
592,破坏 - 初始罗布套装（Lv.52）,106710|106711|106712|106713|106714|106715,5216|5217|5218|5219|5220
593,破坏 - 颈甲套装欢迎（Lv.52）,106730|106731|106732|106733|106734|106735,5221|5222|5223|5224|5225
594,破坏 - 颈甲的假象套装（Lv.52）,106740|106741|106742|106743|106744|106745,5226|5227|5228|5229|5230
595,破坏 - 中级套装不朽（Lv.52）,106760|106761|106762|106763|106764|106765,5231|5232|5233|5234|5235
596,破坏 - 凡人中级套装（Lv.52）,106770|106771|106772|106773|106774|106775,5236|5237|5238|5239|5240
597,破坏 - 罗布套装永恒之（Lv.55）,106800|106801|106802|106803|106804|106805,5241|5242|5243|5244|5245
598,破坏 - 罗布毁灭套装（Lv.55）,106810|106811|106812|106813|106814|106815,5246|5247|5248|5249|5250
599,破坏 - 颈甲灯罩套装（Lv.55）,106830|106831|106832|106833|106834|106835,5251|5252|5253|5254|5255
600,破坏 - 颈甲套装帐幕（Lv.55）,106840|106841|106842|106843|106844|106845,5256|5257|5258|5259|5260
