TID,Comment,EngName,LocalName,Type,WorldTID,ParentTID,Map,LoadingMap,TipTID,RoadMap,StartX,StartY,EndX,EndY,C1StartX,C1StartY,C1EndX,C1EndY,C2StartX,C2StartY,C2EndX,C2EndY,C3StartX,C3StartY,C3EndX,C3EndY
1202,毁坏场地,WMT_Name_000012,绿色海洋森林,3,2000,1200,Demolition_Sticks.png,,,13_15|13_16|14_14|14_15|14_16,5964,8768,8428,7116,6627,8704,7680,7680,7168,7680,7680,7168,0,0,0,0
1203,毁坏场地,WMT_Name_000013,冰冻的乐园,3,2000,1200,Demolition_Frozen.png,,,12_14|13_13|13_14|14_13,6090,7718,7742,6609,6144,7715,7168,7168,6656,7168,7680,6656,0,0,0,0
1204,毁坏场地,WMT_Name_000014,没落的月光平原,3,2000,1200,Demolition_Devaran.png,,,11_12|11_13|11_14|12_12|12_13,5008,7735,7472,6083,5632,7680,6144,7168,5632,7168,6656,6144,0,0,0,0
1205,毁坏场地,WMT_Name_000015,战士们的土地,3,2000,1200,Demolition_LandOfWarriors.png,,,9_16|10_15|10_16|11_15,4549,8754,6201,7645,4608,8704,5632,8192,5120,8192,6144,7680,0,0,0,0
1206,毁坏场地,WMT_Name_000016,银光庭院,3,2000,1200,Demolition_CrewSource.png,,,9_15|9_14|10_14|10_13|9_13,3851,8283,6413,6565,4608,8192,5120,7680,4608,7680,5632,6656,0,0,0,0
1207,毁坏场地,WMT_Name_000017,月光森林,3,2000,1200,Demolition_Moonlight Bunch Forest.png,,,12_16|12_17,5655,9267,7341,8137,6144,9216,6656,8192,0,0,0,0,0,0,0,0
1600,赛场,WMT_Name_000018,彩虹平原,3,2000,1200,Demolition_Frozen.png,,,7_10|8_10|8_11|7_11|9_12|8_12,2868,6755,5456,5021,4094,6656,5120,6144,3584,6144,4608,5120,0,0,0,0
2000,大规模战场 ,WMT_Name_000019,霸王之决,3,1004,0,1004.png,1004,161|162|163,0_0,-100,531,641,35,0,512,512,0,0,0,0,0,0,0,0,0
2001,大规模战场 ,WMT_Name_000020,进攻斯蒂尔普瑞斯,3,1005,0,1005.png,1005,141|142|143,0_0,-177,554,703,-36,0,512,512,0,0,0,0,0,0,0,0,0
2002,大规模战场 ,WMT_Name_000021,进攻班迪路娜 ,3,1006,0,1006.png,1006,141|142|143,0_0,-97,551,783,-39,0,512,512,0,0,0,0,0,0,0,0,0
2003,大规模战场 ,WMT_Name_000022,英雄战,3,1007,0,1007.png,1007,111|112|113|114|115,0_0,-186,550,694,-40,0,512,512,0,,,,,,,,
2004,大规模战场 ,WMT_Name_000023,圣物争夺战,3,1008,0,1008.png,1008,101|102|103|104|105,0_0,-186,550,694,-40,0,512,512,0,,,,,,,,
2005,大规模战场 ,WMT_Name_000024,暗杀战,3,1009,0,1009.png,1009,121|122|123|124,0_0,-186,550,694,-40,0,512,512,0,,,,,,,,
2006,大规模战场 ,WMT_Name_000025,圣物破坏战,3,1010,0,1010.png,1010,131|132|133|134,0_0,-186,550,694,-40,0,512,512,0,,,,,,,,
2007,大规模战场 ,WMT_Name_000026,全面战争,3,1011,0,1011.png,1011,151|152|153,0_0,-186,550,694,-40,0,512,512,0,,,,,,,,
2008,大规模战场 ,WMT_Name_000027,暗杀战,3,1012,0,1012.png,1012,151|152|153,0_0,-186,550,694,-40,0,512,512,0,,,,,,,,
2500,小规模战场(Lv.30~40),WMT_Name_000028,黑色马鬃高低,3,1100,0,1100.png,1100,231|232|233,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
2501,小规模战场(Lv.41~45),WMT_Name_000029,黑色马鬃高低,3,1101,0,1100.png,1100,231|232|233,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
2502,小规模战场(Lv.46~50),WMT_Name_000030,黑色马鬃高低,3,1102,0,1100.png,1100,231|232|233,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
2503,小规模战场(Lv.41~45),WMT_Name_000031,黑色马鬃高低,3,1103,0,1100.png,1100,231|232|233,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
2510,小规模战场(Lv.30~40),WMT_Name_000032,泪光火石般的大地,3,1110,0,1110.png,1110,201|202|203|204,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
2511,小规模战场(Lv.41~45),WMT_Name_000033,泪光火石般的大地,3,1111,0,1110.png,1110,201|202|203|204,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
2512,小规模战场(Lv.46~50),WMT_Name_000034,泪光火石般的大地,3,1112,0,1110.png,1110,201|202|203|204,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
2513,小规模战场(Lv.41~45),WMT_Name_000035,泪光火石般的大地,3,1113,0,1110.png,1110,201|202|203|204,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
2520,小规模战场(Lv.30~40),WMT_Name_000036,叹息的山谷,3,1120,0,1120.png,1120,211|212|213|214,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
2521,小规模战场(Lv.41~45),WMT_Name_000037,叹息的山谷,3,1121,0,1120.png,1120,211|212|213|214,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
2522,小规模战场(Lv.46~50),WMT_Name_000038,叹息的山谷,3,1122,0,1120.png,1120,211|212|213|214,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
2523,小规模战场(Lv.41~45),WMT_Name_000039,叹息的山谷,3,1123,0,1120.png,1120,211|212|213|214,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
2530,小规模战场(Lv.30~40),WMT_Name_000040,阿修罗剑道场,3,1130,0,1130.png,1130,221|222,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
2531,小规模战场(Lv.41~45),WMT_Name_000041,阿修罗剑道场,3,1131,0,1130.png,1130,221|222,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
2532,小规模战场(Lv.46~50),WMT_Name_000042,阿修罗剑道场,3,1132,0,1130.png,1130,221|222,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
2533,小规模战场(Lv.41~45),WMT_Name_000043,阿修罗剑道场,3,1133,0,1130.png,1130,221|222,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
2534,小规模战场(Lv.46~50),WMT_Name_000044,CTF,3,1140,0,1130.png,1130,221|222,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
2535,小规模战场(Lv.41~45),WMT_Name_000045,CTF,3,1141,0,1130.png,1130,221|222,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
1300,巴特尔格朗德(5Lv),WMT_Name_000046,舞风峡谷,3,2001,0,2001.png,2001,304,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
1301,巴特尔格朗德(15Lv),WMT_Name_000047,光芒普照的盆地,3,2002,0,2002.png,2002,304,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
1302,巴特尔格朗德(25Lv),WMT_Name_000048,满是伤痕的大地,3,2003,0,2003.png,2003,304,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
1303,巴特尔格朗德(35Lv),WMT_Name_000049,圆滚滚的丘陵地,3,2004,0,2004.png,2004,304,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
1304,巴特尔格朗德(45Lv),WMT_Name_000050,凌晨的露水沙漠,3,2005,0,2005.png,2005,304,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
1305,巴特尔格朗德(50Lv),WMT_Name_000051,星屑大地,3,2006,0,2006.png,2006,304,0_0|1_0,94,585,974,-5,0,512,1024,0,,,,,,,,
1401,,WMT_Name_000052,洛坎的实验室 (普通),3,4000,0,4000.png,4000,1001|1002|1007|1008,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
1402,,WMT_Name_000053,洛坎的实验室 (困难),3,4001,0,4000.png,4000,1003|1004|1007|1008,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
1403,,WMT_Name_000054,洛坎的实验室 (非常 困难),3,4002,0,4000.png,4000,1005|1006|1007|1008,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
1404,,WMT_Name_000055,洛坎的实验室 (恐怖),3,4003,0,4000.png,,,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
1405,,WMT_Name_000056,深渊神殿 (普通),3,4010,0,4010.png,4010,1001|1002|1007|1008,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
1406,,WMT_Name_000057,深渊神殿 (困难),3,4011,0,4010.png,4010,1003|1004|1007|1008,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
1407,,WMT_Name_000058,深渊神殿 (非常 困难),3,4012,0,4010.png,4010,1005|1006|1007|1008,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
1408,,WMT_Name_000059,深渊神殿 (恐怖),3,4013,0,4010.png,,,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
1409,,WMT_Name_000060,奎里奥德矿山(普通),3,4020,0,4020.png,4020,1001|1002|1007|1008,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
1410,,WMT_Name_000061,奎里奥德矿山(困难),3,4021,0,4020.png,4020,1003|1004|1007|1008,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
1411,,WMT_Name_000062,奎里奥德矿山(非常 困难),3,4022,0,4020.png,4020,1005|1006|1007|1008,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
1412,,WMT_Name_000063,奎里奥德矿山(恐怖),3,4023,0,4020.png,,,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
1413,,WMT_Name_000064,火焰祭坛(普通),3,4030,0,4030.png,4030,1001|1002|1007|1008,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
1414,,WMT_Name_000065,火焰祭坛(困难),3,4031,0,4030.png,4030,1003|1004|1007|1008,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
1415,,WMT_Name_000066,火焰祭坛(非常 困难),3,4032,0,4030.png,4030,1005|1006|1007|1008,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
1416,,WMT_Name_000067,火焰祭坛(恐怖),3,4033,0,4030.png,,,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
1417,,WMT_Name_000068,死亡寺院(普通),3,4040,0,4040.png,4040,1001|1002|1007|1008,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
1418,,WMT_Name_000069,死亡寺院(困难),3,4041,0,4040.png,4040,1003|1004|1007|1008,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
1419,,WMT_Name_000070,死亡寺院(非常 困难),3,4042,0,4040.png,4040,1005|1006|1007|1008,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
1420,,WMT_Name_000071,死亡寺院(恐怖),3,4043,0,4040.png,,,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
1421,,WMT_Name_000072,阿罗汉浮游城(普通),3,4050,0,4050.png,4050,1001|1002|1007|1008,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
1422,,WMT_Name_000073,阿罗汉浮游城(困难),3,4051,0,4050.png,4050,1003|1004|1007|1008,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
1423,,WMT_Name_000074,阿罗汉浮游城(非常 困难),3,4052,0,4050.png,4050,1005|1006|1007|1008,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
1424,,WMT_Name_000075,阿罗汉浮游城(恐怖),3,4053,0,4050.png,,,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
1425,,WMT_Name_000076,克拉伍德活体实验室(普通),3,4060,0,4060.png,4060,1001|1002|1007|1008,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
1426,,WMT_Name_000077,克拉伍德活体实验室(困难),3,4061,0,4060.png,4060,1003|1004|1007|1008,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
1427,,WMT_Name_000078,克拉伍德活体实验室(非常 困难),3,4062,0,4060.png,4060,1005|1006|1007|1008,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
1428,,WMT_Name_000079,克拉伍德活体实验室(恐怖),3,4063,0,4060.png,,,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
1429,,WMT_Name_000080,火龙巢穴(普通),3,4070,0,4070.png,4070,1001|1002|1007|1008,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
1430,,WMT_Name_000081,火龙巢穴(困难),3,4071,0,4070.png,4070,1003|1004|1007|1008,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
1431,,WMT_Name_000082,火龙巢穴(非常 困难),3,4072,0,4070.png,4070,1005|1006|1007|1008,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
1432,,WMT_Name_000083,火龙巢穴(恐怖),3,4073,0,4070.png,,,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
1433,,WMT_Name_000084,恶鬼峡谷(普通),3,4080,0,4080.png,4080,1001|1002|1007|1008,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
1434,,WMT_Name_000085,恶鬼峡谷(困难),3,4081,0,4080.png,4080,1003|1004|1007|1008,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
1435,,WMT_Name_000086,恶鬼峡谷(非常 困难),3,4082,0,4080.png,4080,1005|1006|1007|1008,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
1436,,WMT_Name_000087,恶鬼峡谷(恐怖),3,4083,0,4080.png,,,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
1437,,WMT_Name_000088,黑暗要塞(普通),3,4090,0,4090.png,4090,1001|1002|1007|1008,0_0,-93,483,647,-13,0,512,512,0,,,,,,,,
1438,,WMT_Name_000089,黑暗要塞(困难),3,4091,0,4090.png,4090,1003|1004|1007|1008,0_0,-93,483,647,-13,0,512,512,0,,,,,,,,
1439,,WMT_Name_000090,黑暗要塞(非常 困难),3,4092,0,4090.png,4090,1005|1006|1007|1008,0_0,-93,483,647,-13,0,512,512,0,,,,,,,,
1440,,WMT_Name_000091,黑暗要塞(恐怖),3,4093,0,4090.png,,,0_0,-93,483,647,-13,0,512,512,0,,,,,,,,
1441,,WMT_Name_000092,普利德米尔饲养场 (普通),3,4400,0,4400.png,4400,1001|1002|1007|1008,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
1442,,WMT_Name_000093,普利德米尔饲养场 (困难),3,4401,0,4400.png,4400,1003|1004|1007|1008,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
1443,,WMT_Name_000094,普利德米尔饲养场 (非常 困难),3,4402,0,4400.png,4400,1005|1006|1007|1008,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
1444,,WMT_Name_000095,普利德米尔饲养场 (恐怖),3,4403,0,4400.png,,,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
1445,,WMT_Name_000096,恩蒂温圣所 (普通),3,4410,0,4410.png,4410,1001|1002|1007|1008,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
1446,,WMT_Name_000097,恩蒂温圣所 (困难),3,4411,0,4410.png,4410,1003|1004|1007|1008,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
1447,,WMT_Name_000098,恩蒂温圣所 (非常 困难),3,4412,0,4410.png,4410,1005|1006|1007|1008,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
1448,,WMT_Name_000099,恩蒂温圣所 (恐怖),3,4413,0,4410.png,,,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
1449,,WMT_Name_000100,冰冷的洞穴 (普通),3,4420,0,4420.png,4420,1001|1002|1007|1008,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
1450,,WMT_Name_000101,冰冷的洞穴 (困难),3,4421,0,4420.png,4420,1003|1004|1007|1008,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
1451,,WMT_Name_000102,冰冷的洞穴 (非常 困难),3,4422,0,4420.png,4420,1005|1006|1007|1008,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
1452,,WMT_Name_000103,冰冷的洞穴 (恐怖),3,4423,0,4420.png,,,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
1453,,WMT_Name_000104,冰封的狼城(普通),3,4430,0,4430.png,4430,1001|1002|1007|1008,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
1454,,WMT_Name_000105,冰封的狼城(困难),3,4431,0,4430.png,4430,1003|1004|1007|1008,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
1455,,WMT_Name_000106,冰封的狼城(非常 困难),3,4432,0,4430.png,4430,1005|1006|1007|1008,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
1456,,WMT_Name_000107,冰封的狼城(恐怖),3,4433,0,4430.png,,,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
1457,,WMT_Name_000108,哈比人的乐园 (普通),3,4440,0,4440.png,4440,1001|1002|1007|1008,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
1458,,WMT_Name_000109,哈比人的乐园 (困难),3,4441,0,4440.png,4440,1003|1004|1007|1008,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
1459,,WMT_Name_000110,哈比人的乐园 (非常 困难),3,4442,0,4440.png,4440,1005|1006|1007|1008,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
1460,,WMT_Name_000111,哈比人的乐园 (恐怖),3,4443,0,4440.png,,,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
1461,,WMT_Name_000112,暴风古城 (普通),3,4450,0,4450.png,4450,1001|1002|1007|1008,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
1462,,WMT_Name_000113,暴风古城 (困难),3,4451,0,4450.png,4450,1003|1004|1007|1008,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
1463,,WMT_Name_000114,暴风古城 (非常 困难),3,4452,0,4450.png,4450,1005|1006|1007|1008,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
1464,,WMT_Name_000115,暴风古城 (恐怖),3,4453,0,4450.png,,,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
1465,,WMT_Name_000116,战士们的圣地 (普通),3,4460,0,4460.png,4460,1001|1002|1007|1008,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
1466,,WMT_Name_000117,战士们的圣地 (困难),3,4461,0,4460.png,4460,1003|1004|1007|1008,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
1467,,WMT_Name_000118,战士们的圣地 (非常 困难),3,4462,0,4460.png,4460,1005|1006|1007|1008,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
1468,,WMT_Name_000119,战士们的圣地 (恐怖),3,4463,0,4460.png,,,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
1469,,WMT_Name_000120,红顶火山洞穴 (普通),3,4470,0,4470.png,4470,1001|1002|1007|1008,0_0,-186,550,694,-40,0,512,512,0,,,,,,,,
1470,,WMT_Name_000121,红顶火山洞穴 (困难),3,4471,0,4470.png,4470,1003|1004|1007|1008,0_0,-186,550,694,-40,0,512,512,0,,,,,,,,
1471,,WMT_Name_000122,红顶火山洞穴 (非常 困难),3,4472,0,4470.png,4470,1005|1006|1007|1008,0_0,-186,550,694,-40,0,512,512,0,,,,,,,,
1472,,WMT_Name_000123,红顶火山洞穴 (恐怖),3,4473,0,4470.png,,,0_0,-186,550,694,-40,0,512,512,0,,,,,,,,
1473,,WMT_Name_000124,灰色半兽人村庄 (普通),3,4480,0,4480.png,4480,1001|1002|1007|1008,0_0,-186,550,694,-40,0,512,512,0,,,,,,,,
1474,,WMT_Name_000125,灰色半兽人村庄 (困难),3,4481,0,4480.png,4480,1003|1004|1007|1008,0_0,-186,550,694,-40,0,512,512,0,,,,,,,,
1475,,WMT_Name_000126,灰色半兽人村庄 (非常 困难),3,4482,0,4480.png,4480,1005|1006|1007|1008,0_0,-186,550,694,-40,0,512,512,0,,,,,,,,
1476,,WMT_Name_000127,灰色半兽人村庄 (恐怖),3,4483,0,4480.png,,,0_0,-186,550,694,-40,0,512,512,0,,,,,,,,
1477,,WMT_Name_000128,光之地下庭院 (普通),3,4490,0,4490.png,4490,1001|1002|1007|1008,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
1478,,WMT_Name_000129,光之地下庭院 (困难),3,4491,0,4490.png,4490,1003|1004|1007|1008,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
1479,,WMT_Name_000130,光之地下庭院 (非常 困难),3,4492,0,4490.png,4490,1005|1006|1007|1008,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
1480,,WMT_Name_000131,光之地下庭院 (恐怖),3,4493,0,4490.png,,,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
1501,,WMT_Name_000132,Lv.5[组队]扭曲的时光洞窟 (普通),3,4800,0,4800.png,,,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
1502,,WMT_Name_000133,Lv.5[组队]扭曲的时光洞窟 (困难),3,4801,0,4800.png,,,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
1503,,WMT_Name_000134,Lv.5[组队]扭曲的时光洞窟 (非常 困难),3,4802,0,4800.png,,,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
1504,,WMT_Name_000135,Lv.5[组队]扭曲的时光洞窟 (恐怖),3,4803,0,4800.png,,,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
1505,,WMT_Name_000136,Lv.10[组队]扭曲的时光花园 (普通),3,4810,0,4810.png,,,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
1506,,WMT_Name_000137,Lv.10[组队]扭曲的时光花园 (困难),3,4811,0,4810.png,,,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
1507,,WMT_Name_000138,Lv.10[组队]扭曲的时光花园 (非常 困难),3,4812,0,4810.png,,,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
1508,,WMT_Name_000139,Lv.10[组队]扭曲的时光花园 (恐怖),3,4813,0,4810.png,,,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
1509,,WMT_Name_000140,Lv.15[组队]扭曲的时光洞窟 (普通),3,4820,0,4820.png,,,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
1510,,WMT_Name_000141,Lv.15[组队]扭曲的时光洞窟 (困难),3,4821,0,4820.png,,,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
1511,,WMT_Name_000142,Lv.15[组队]扭曲的时光洞窟 (非常 困难),3,4822,0,4820.png,,,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
1512,,WMT_Name_000143,Lv.15[组队]扭曲的时光洞窟 (恐怖),3,4823,0,4820.png,,,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
1513,,WMT_Name_000144,Lv.20[组队]扭曲的时光花园 (普通),3,4830,0,4830.png,,,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
1514,,WMT_Name_000145,Lv.20[组队]扭曲的时光花园 (困难),3,4831,0,4830.png,,,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
1515,,WMT_Name_000146,Lv.20[组队]扭曲的时光花园 (非常 困难),3,4832,0,4830.png,,,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
1516,,WMT_Name_000147,Lv.20[组队]扭曲的时光花园 (恐怖),3,4833,0,4830.png,,,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
1517,,WMT_Name_000148,Lv.25[组队]扭曲的时光洞窟 (普通),3,4840,0,4840.png,,,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
1518,,WMT_Name_000149,Lv.25[组队]扭曲的时光洞窟 (困难),3,4841,0,4840.png,,,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
1519,,WMT_Name_000150,Lv.25[组队]扭曲的时光洞窟 (非常 困难),3,4842,0,4840.png,,,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
1520,,WMT_Name_000151,Lv.25[组队]扭曲的时光洞窟 (恐怖),3,4843,0,4840.png,,,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
1521,,WMT_Name_000152,Lv.30[组队]扭曲的时光花园 (普通),3,4850,0,4850.png,,,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
1522,,WMT_Name_000153,Lv.30[组队]扭曲的时光花园 (困难),3,4851,0,4850.png,,,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
1523,,WMT_Name_000154,Lv.30[组队]扭曲的时光花园 (非常 困难),3,4852,0,4850.png,,,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
1524,,WMT_Name_000155,Lv.30[组队]扭曲的时光花园 (恐怖),3,4853,0,4850.png,,,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
1525,,WMT_Name_000156,克罗西亚竞技场,3,4900,0,4900.png,,,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
10003,,,GM 地图(阿修罗剑道场),3,10003,0,10003.png,,,0_0,-93,504,647,8,0,512,512,0,,,,,,,,
