TID,Comment,EngName,LocalName,SrcEntityTID,DstEntityTID,DstWorldPlaceTID,Radius,reqRace,reqMinLV,reqMaxLV,reqQuest,reqMoney,reqItem,reqItemCount,reqHaveItem,reqHaveItemCount
32,瀑布村 逃脱,PTT_Name_000018,尖塔村庄 逃脱,101003,101001,3086,1,5,1,99,0,180,0,0,0,0
33,瀑布村 逃脱,PTT_Name_000019,难民营 逃脱,101003,101002,3087,1,5,1,99,0,90,0,0,0,0
34,瀑布村 逃脱,PTT_Name_000020,柱子之村 逃脱,101003,101004,3634,1,5,1,99,0,90,0,0,0,0
35,瀑布村 逃脱,PTT_Name_000021,绿草军团驻扎地 逃脱,101003,101005,3833,1,5,1,99,0,180,0,0,0,0
41,柱子之村 逃脱,PTT_Name_000022,斯蒂尔普瑞斯 逃脱,101004,101000,4140,1,5,1,99,0,360,0,0,0,0
42,柱子之村 逃脱,PTT_Name_000023,尖塔村庄 逃脱,101004,101001,3086,1,5,1,99,0,270,0,0,0,0
43,柱子之村 逃脱,PTT_Name_000024,难民营 逃脱,101004,101002,3087,1,5,1,99,0,180,0,0,0,0
44,柱子之村 逃脱,PTT_Name_000025,瀑布村 逃脱,101004,101003,3147,1,5,1,99,0,90,0,0,0,0
45,柱子之村 逃脱,PTT_Name_000026,绿草军团驻扎地 逃脱,101004,101005,3833,1,5,1,99,0,90,0,0,0,0
51,绿草军团驻扎地 逃脱,PTT_Name_000027,斯蒂尔普瑞斯 逃脱,101005,101000,4140,1,5,1,99,0,450,0,0,0,0
52,绿草军团驻扎地 逃脱,PTT_Name_000028,尖塔村庄 逃脱,101005,101001,3086,1,5,1,99,0,360,0,0,0,0
53,绿草军团驻扎地 逃脱,PTT_Name_000029,难民营 逃脱,101005,101002,3087,1,5,1,99,0,270,0,0,0,0
54,绿草军团驻扎地 逃脱,PTT_Name_000030,瀑布村 逃脱,101005,101003,3147,1,5,1,99,0,180,0,0,0,0
55,绿草军团驻扎地 逃脱,PTT_Name_000031,柱子之村 逃脱,101005,101004,3634,1,5,1,99,0,90,0,0,0,0
61,红岩军团第二侦察队 逃脱,PTT_Name_000032,斯蒂尔普瑞斯 逃脱,101006,101000,4140,1,5,1,99,0,450,0,0,0,0
62,红岩军团第二侦察队 逃脱,PTT_Name_000033,矿山克里特村 逃脱,101006,101007,17602,1,5,1,99,0,450,0,0,0,0
63,红岩军团第二侦察队 逃脱,PTT_Name_000034,红岩军团临时要塞 逃脱,101006,101008,18603,1,5,1,99,0,900,0,0,0,0
64,红岩军团第二侦察队 逃脱,PTT_Name_000035,红岩军团要塞 逃脱,101006,101009,17612,1,5,1,99,0,1350,0,0,0,0
65,红岩军团第二侦察队 逃脱,PTT_Name_000036,尖塔村庄 逃脱,101006,101001,3086,1,5,1,99,0,1800,0,0,0,0
71,矿山克里特村 逃脱,PTT_Name_000037,斯蒂尔普瑞斯 逃脱,101007,101000,4140,1,5,1,99,0,900,0,0,0,0
72,矿山克里特村 逃脱,PTT_Name_000038,红岩军团第二侦察队 逃脱,101007,101006,18602,1,5,1,99,0,450,0,0,0,0
73,矿山克里特村 逃脱,PTT_Name_000039,红岩军团临时要塞 逃脱,101007,101008,18603,1,5,1,99,0,450,0,0,0,0
74,矿山克里特村 逃脱,PTT_Name_000040,红岩军团要塞 逃脱,101007,101009,17612,1,5,1,99,0,900,0,0,0,0
81,红岩军团临时要塞 逃脱,PTT_Name_000041,斯蒂尔普瑞斯 逃脱,101008,101000,4140,1,5,1,99,0,1350,0,0,0,0
82,红岩军团临时要塞 逃脱,PTT_Name_000042,红岩军团第二侦察队 逃脱,101008,101006,18602,1,5,1,99,0,900,0,0,0,0
83,红岩军团临时要塞 逃脱,PTT_Name_000043,矿山克里特村 逃脱,101008,101007,17602,1,5,1,99,0,450,0,0,0,0
84,红岩军团临时要塞 逃脱,PTT_Name_000044,红岩军团要塞 逃脱,101008,101009,17612,1,5,1,99,0,450,0,0,0,0
91,红岩军团要塞 逃脱,PTT_Name_000045,斯蒂尔普瑞斯 逃脱,101009,101000,4140,1,5,1,99,0,1800,0,0,0,0
92,红岩军团要塞 逃脱,PTT_Name_000046,红岩军团第二侦察队 逃脱,101009,101006,18602,1,5,1,99,0,1350,0,0,0,0
93,红岩军团要塞 逃脱,PTT_Name_000047,矿山克里特村 逃脱,101009,101007,17602,1,5,1,99,0,900,0,0,0,0
94,红岩军团要塞 逃脱,PTT_Name_000048,红岩军团临时要塞 逃脱,101009,101008,18603,1,5,1,99,0,450,0,0,0,0
101,被遗忘的村庄 逃脱,PTT_Name_000049,斯蒂尔普瑞斯 逃脱,101014,101000,4140,1,5,1,99,0,2250,0,0,0,0
102,被遗忘的村庄 逃脱,PTT_Name_000050,莫斯罗姆野营地 逃脱,101014,101015,20661,1,5,1,99,0,2250,0,0,0,0
103,被遗忘的村庄 逃脱,PTT_Name_000051,霍乱村庄逃脱,101014,101016,50233,1,5,1,99,0,4500,0,0,0,0
104,被遗忘的村庄 逃脱,PTT_Name_000052,伦蒂亚野营地 逃脱,101014,101017,20681,1,5,1,99,0,6750,0,0,0,0
105,被遗忘的村庄 逃脱,PTT_Name_000053,隐退者之村 逃脱,101014,101018,22603,1,5,1,99,0,9000,0,0,0,0
111,莫斯罗姆野营地 逃脱,PTT_Name_000054,斯蒂尔普瑞斯 逃脱,101015,101000,4140,1,5,1,99,0,4500,0,0,0,0
112,莫斯罗姆野营地 逃脱,PTT_Name_000055,被遗忘的村庄 逃脱,101015,101014,20656,1,5,1,99,0,2250,0,0,0,0
113,莫斯罗姆野营地 逃脱,PTT_Name_000056,霍乱村庄逃脱,101015,101016,50233,1,5,1,99,0,2250,0,0,0,0
114,莫斯罗姆野营地 逃脱,PTT_Name_000057,伦蒂亚野营地 逃脱,101015,101017,20681,1,5,1,99,0,4500,0,0,0,0
115,莫斯罗姆野营地 逃脱,PTT_Name_000058,隐退者之村 逃脱,101015,101018,22603,1,5,1,99,0,6750,0,0,0,0
121,霍乱村庄逃脱,PTT_Name_000059,斯蒂尔普瑞斯 逃脱,101016,101000,4140,1,5,1,99,0,6750,0,0,0,0
122,霍乱村庄逃脱,PTT_Name_000060,被遗忘的村庄 逃脱,101016,101014,20656,1,5,1,99,0,4500,0,0,0,0
123,霍乱村庄逃脱,PTT_Name_000061,莫斯罗姆野营地 逃脱,101016,101015,20661,1,5,1,99,0,2250,0,0,0,0
124,霍乱村庄逃脱,PTT_Name_000062,伦蒂亚野营地 逃脱,101016,101017,20681,1,5,1,99,0,2250,0,0,0,0
125,霍乱村庄逃脱,PTT_Name_000063,隐退者之村 逃脱,101016,101018,22603,1,5,1,99,0,4500,0,0,0,0
131,伦蒂亚野营地 逃脱,PTT_Name_000064,斯蒂尔普瑞斯 逃脱,101017,101000,4140,1,5,1,99,0,9000,0,0,0,0
132,伦蒂亚野营地 逃脱,PTT_Name_000065,被遗忘的村庄 逃脱,101017,101014,20656,1,5,1,99,0,6750,0,0,0,0
133,伦蒂亚野营地 逃脱,PTT_Name_000066,莫斯罗姆野营地 逃脱,101017,101015,20661,1,5,1,99,0,4500,0,0,0,0
134,伦蒂亚野营地 逃脱,PTT_Name_000067,霍乱村庄逃脱,101017,101016,50233,1,5,1,99,0,2250,0,0,0,0
135,伦蒂亚野营地 逃脱,PTT_Name_000068,隐退者之村 逃脱,101017,101018,22603,1,5,1,99,0,2250,0,0,0,0
141,隐退者之村 逃脱,PTT_Name_000069,斯蒂尔普瑞斯 逃脱,101018,101000,4140,1,5,1,99,0,11250,0,0,0,0
142,隐退者之村 逃脱,PTT_Name_000070,被遗忘的村庄 逃脱,101018,101014,20656,1,5,1,99,0,9000,0,0,0,0
143,隐退者之村 逃脱,PTT_Name_000071,莫斯罗姆野营地 逃脱,101018,101015,20661,1,5,1,99,0,6750,0,0,0,0
144,隐退者之村 逃脱,PTT_Name_000072,霍乱村庄逃脱,101018,101016,50233,1,5,1,99,0,4500,0,0,0,0
145,隐退者之村 逃脱,PTT_Name_000073,伦蒂亚野营地 逃脱,101018,101017,20681,1,5,1,99,0,2250,0,0,0,0
151,风之溪谷交易所 逃脱,PTT_Name_000074,斯蒂尔普瑞斯 逃脱,101019,101000,4140,1,5,1,99,0,4500,0,0,0,0
152,风之溪谷交易所 逃脱,PTT_Name_000075,山脉商人营地 逃脱,101019,101020,28419,1,5,1,99,0,4500,0,0,0,0
153,风之溪谷交易所 逃脱,PTT_Name_000076,术士软禁村逃脱,101019,101021,28425,1,5,1,99,0,9000,0,0,0,0
154,风之溪谷交易所 逃脱,PTT_Name_000077,山脉勘探队禁地 逃脱,101019,101022,28434,1,5,1,99,0,13500,0,0,0,0
161,山脉商人营地 逃脱,PTT_Name_000078,斯蒂尔普瑞斯 逃脱,101020,101000,4140,1,5,1,99,0,9000,0,0,0,0
162,山脉商人营地 逃脱,PTT_Name_000079,风之溪谷交易所 逃脱,101020,101019,28406,1,5,1,99,0,4500,0,0,0,0
163,山脉商人营地 逃脱,PTT_Name_000080,术士软禁村逃脱,101020,101021,28425,1,5,1,99,0,4500,0,0,0,0
164,山脉商人营地 逃脱,PTT_Name_000081,山脉勘探队禁地 逃脱,101020,101022,28434,1,5,1,99,0,9000,0,0,0,0
171,术士软禁村逃脱,PTT_Name_000082,斯蒂尔普瑞斯 逃脱,101021,101000,4140,1,5,1,99,0,4500,0,0,0,0
172,术士软禁村逃脱,PTT_Name_000083,风之溪谷交易所 逃脱,101021,101019,28406,1,5,1,99,0,4500,0,0,0,0
173,术士软禁村逃脱,PTT_Name_000084,山脉商人营地 逃脱,101021,101020,28419,1,5,1,99,0,9000,0,0,0,0
174,术士软禁村逃脱,PTT_Name_000085,山脉勘探队禁地 逃脱,101021,101022,28434,1,5,1,99,0,13500,0,0,0,0
181,山脉勘探队禁地 逃脱,PTT_Name_000086,斯蒂尔普瑞斯 逃脱,101022,101000,4140,1,5,1,99,0,4500,0,0,0,0
182,山脉勘探队禁地 逃脱,PTT_Name_000087,风之溪谷交易所 逃脱,101022,101019,28406,1,5,1,99,0,4500,0,0,0,0
183,山脉勘探队禁地 逃脱,PTT_Name_000088,山脉商人营地 逃脱,101022,101020,28419,1,5,1,99,0,9000,0,0,0,0
184,山脉勘探队禁地 逃脱,PTT_Name_000089,术士软禁村逃脱,101022,101021,28425,1,5,1,99,0,13500,0,0,0,0
191,莱奥恩哈特要塞 逃脱,PTT_Name_000090,斯蒂尔普瑞斯 逃脱,101023,101000,4140,1,5,1,99,0,4500,0,0,0,0
192,莱奥恩哈特要塞 逃脱,PTT_Name_000091,纳斯汀野营地 逃脱,101023,101024,38813,1,5,1,99,0,4500,0,0,0,0
193,莱奥恩哈特要塞 逃脱,PTT_Name_000092,真实之光寺院 逃脱,101023,101025,38839,1,5,1,99,0,9000,0,0,0,0
194,莱奥恩哈特要塞 逃脱,PTT_Name_000093,莱纳的野营地 逃脱,101023,101026,38817,1,5,1,99,0,13500,0,0,0,0
195,莱奥恩哈特要塞 逃脱,PTT_Name_000094,希望之光要塞 逃脱,101023,101027,38829,1,5,1,99,0,18000,0,0,0,0
201,纳斯汀野营地 逃脱,PTT_Name_000095,斯蒂尔普瑞斯 逃脱,101024,101000,4140,1,5,1,99,0,4500,0,0,0,0
202,纳斯汀野营地 逃脱,PTT_Name_000096,莱奥恩哈特要塞 逃脱,101024,101023,38806,1,5,1,99,0,4500,0,0,0,0
203,纳斯汀野营地 逃脱,PTT_Name_000097,真实之光寺院 逃脱,101024,101025,38839,1,5,1,99,0,9000,0,0,0,0
204,纳斯汀野营地 逃脱,PTT_Name_000098,莱纳的野营地 逃脱,101024,101026,38817,1,5,1,99,0,13500,0,0,0,0
205,纳斯汀野营地 逃脱,PTT_Name_000099,希望之光要塞 逃脱,101024,101027,38829,1,5,1,99,0,18000,0,0,0,0
211,真实之光寺院 逃脱,PTT_Name_000100,斯蒂尔普瑞斯 逃脱,101025,101000,4140,1,5,1,99,0,9000,0,0,0,0
212,真实之光寺院 逃脱,PTT_Name_000101,莱奥恩哈特要塞 逃脱,101025,101023,38806,1,5,1,99,0,9000,0,0,0,0
213,真实之光寺院 逃脱,PTT_Name_000102,纳斯汀野营地 逃脱,101025,101024,38813,1,5,1,99,0,18000,0,0,0,0
214,真实之光寺院 逃脱,PTT_Name_000103,莱纳的野营地 逃脱,101025,101026,38817,1,5,1,99,0,27000,0,0,0,0
215,真实之光寺院 逃脱,PTT_Name_000104,希望之光要塞 逃脱,101025,101027,38829,1,5,1,99,0,36000,0,0,0,0
221,莱纳的野营地 逃脱,PTT_Name_000105,斯蒂尔普瑞斯 逃脱,101026,101000,4140,1,5,1,99,0,9000,0,0,0,0
222,莱纳的野营地 逃脱,PTT_Name_000106,莱奥恩哈特要塞 逃脱,101026,101023,38806,1,5,1,99,0,9000,0,0,0,0
223,莱纳的野营地 逃脱,PTT_Name_000107,纳斯汀野营地 逃脱,101026,101024,38813,1,5,1,99,0,18000,0,0,0,0
224,莱纳的野营地 逃脱,PTT_Name_000108,真实之光寺院 逃脱,101026,101025,38839,1,5,1,99,0,27000,0,0,0,0
225,莱纳的野营地 逃脱,PTT_Name_000109,希望之光要塞 逃脱,101026,101027,38829,1,5,1,99,0,36000,0,0,0,0
231,希望之光要塞 逃脱,PTT_Name_000110,斯蒂尔普瑞斯 逃脱,101027,101000,4140,1,5,1,99,0,9000,0,0,0,0
232,希望之光要塞 逃脱,PTT_Name_000111,莱奥恩哈特要塞 逃脱,101027,101023,38806,1,5,1,99,0,9000,0,0,0,0
233,希望之光要塞 逃脱,PTT_Name_000112,纳斯汀野营地 逃脱,101027,101024,38813,1,5,1,99,0,18000,0,0,0,0
234,希望之光要塞 逃脱,PTT_Name_000113,真实之光寺院 逃脱,101027,101025,38839,1,5,1,99,0,27000,0,0,0,0
235,希望之光要塞 逃脱,PTT_Name_000114,莱纳的野营地 逃脱,101027,101026,38817,1,5,1,99,0,36000,0,0,0,0
241,安息的村庄 逃脱,PTT_Name_000115,斯蒂尔普瑞斯 逃脱,101030,101000,4140,1,5,1,99,0,180,0,0,0,0
242,安息的村庄 逃脱,PTT_Name_000116,沉默的村庄逃脱,101030,101033,54694,1,5,1,99,0,90,0,0,0,0
251,沉默的村庄 逃脱,PTT_Name_000117,斯蒂尔普瑞斯 逃脱,101033,101000,4140,1,5,1,99,0,90,0,0,0,0
252,沉默的村庄 逃脱,PTT_Name_000118,安息的村庄逃脱,101033,101030,54614,1,5,1,99,0,180,0,0,0,0
253,沉默的村庄 逃脱,PTT_Name_000118,难民营 逃脱,101033,101002,3087,1,5,1,99,0,180,0,0,0,0
1001,班迪路娜 逃脱,PTT_Name_000119,树林村庄 逃脱,101100,101101,3103,1,10,1,99,0,90,0,0,0,0
1002,班迪路娜 逃脱,PTT_Name_000120,塔莱村逃脱,101100,101134,55504,1,10,1,99,0,90,0,0,0,0
1003,班迪路娜 逃脱,PTT_Name_000121,奥金尼村庄 逃脱,101100,101106,18606,1,10,1,99,0,450,0,0,0,0
1004,班迪路娜 逃脱,PTT_Name_000122,月光村庄 逃脱,101100,101114,20700,1,10,1,99,0,2250,0,0,0,0
1005,班迪路娜 逃脱,PTT_Name_000123,首相之村 逃脱,101100,101119,28389,1,10,1,99,0,4500,0,0,0,0
1011,树林村庄 逃脱,PTT_Name_000124,班迪路娜 逃脱,101101,101100,4137,1,10,1,99,0,90,0,0,0,0
1012,树林村庄 逃脱,PTT_Name_000125,藤蔓研究所 逃脱,101101,101102,3104,1,10,1,99,0,90,0,0,0,0
1013,树林村庄 逃脱,PTT_Name_000126,沼泽野营地 逃脱,101101,101103,3105,1,10,1,99,0,180,0,0,0,0
1014,树林村庄 逃脱,PTT_Name_000127,天浪基地 逃脱,101101,101104,3106,1,10,1,99,0,270,0,0,0,0
1015,树林村庄 逃脱,PTT_Name_000128,勘探队驻扎地 逃脱,101101,101105,3107,1,10,1,99,0,360,0,0,0,0
1021,藤蔓研究所 逃脱,PTT_Name_000129,班迪路娜 逃脱,101102,101100,4137,1,10,1,99,0,180,0,0,0,0
1022,藤蔓研究所 逃脱,PTT_Name_000130,树林村庄 逃脱,101102,101101,3103,1,10,1,99,0,90,0,0,0,0
1023,藤蔓研究所 逃脱,PTT_Name_000131,沼泽野营地 逃脱,101102,101103,3105,1,10,1,99,0,90,0,0,0,0
1024,藤蔓研究所 逃脱,PTT_Name_000132,天浪基地 逃脱,101102,101104,3106,1,10,1,99,0,180,0,0,0,0
1025,藤蔓研究所 逃脱,PTT_Name_000133,勘探队驻扎地 逃脱,101102,101105,3107,1,10,1,99,0,270,0,0,0,0
1026,藤蔓研究所 逃脱,PTT_Name_000133,银河村庄 逃脱,101102,101137,55328,1,10,1,99,0,270,0,0,0,0
1031,沼泽野营地 逃脱,PTT_Name_000134,班迪路娜 逃脱,101103,101100,4137,1,10,1,99,0,270,0,0,0,0
1032,沼泽野营地 逃脱,PTT_Name_000135,树林村庄 逃脱,101103,101101,3103,1,10,1,99,0,180,0,0,0,0
1033,沼泽野营地 逃脱,PTT_Name_000136,藤蔓研究所 逃脱,101103,101102,3104,1,10,1,99,0,90,0,0,0,0
1034,沼泽野营地 逃脱,PTT_Name_000137,天浪基地 逃脱,101103,101104,3106,1,10,1,99,0,90,0,0,0,0
1035,沼泽野营地 逃脱,PTT_Name_000138,勘探队驻扎地 逃脱,101103,101105,3107,1,10,1,99,0,180,0,0,0,0
1041,天浪基地 逃脱,PTT_Name_000139,班迪路娜 逃脱,101104,101100,4137,1,10,1,99,0,360,0,0,0,0
1042,天浪基地 逃脱,PTT_Name_000140,树林村庄 逃脱,101104,101101,3103,1,10,1,99,0,270,0,0,0,0
1043,天浪基地 逃脱,PTT_Name_000141,藤蔓研究所 逃脱,101104,101102,3104,1,10,1,99,0,180,0,0,0,0
1044,天浪基地 逃脱,PTT_Name_000142,沼泽野营地 逃脱,101104,101103,3105,1,10,1,99,0,90,0,0,0,0
1045,天浪基地 逃脱,PTT_Name_000143,勘探队驻扎地 逃脱,101104,101105,3107,1,10,1,99,0,90,0,0,0,0
1051,勘探队驻扎地 逃脱,PTT_Name_000144,班迪路娜 逃脱,101105,101100,4137,1,10,1,99,0,450,0,0,0,0
1052,勘探队驻扎地 逃脱,PTT_Name_000145,树林村庄 逃脱,101105,101101,3103,1,10,1,99,0,360,0,0,0,0
1053,勘探队驻扎地 逃脱,PTT_Name_000146,藤蔓研究所 逃脱,101105,101102,3104,1,10,1,99,0,270,0,0,0,0
1054,勘探队驻扎地 逃脱,PTT_Name_000147,沼泽野营地 逃脱,101105,101103,3105,1,10,1,99,0,180,0,0,0,0
1055,勘探队驻扎地 逃脱,PTT_Name_000148,天浪基地 逃脱,101105,101104,3106,1,10,1,99,0,90,0,0,0,0
1061,奥金尼村庄 逃脱,PTT_Name_000149,班迪路娜 逃脱,101106,101100,4137,1,10,1,99,0,450,0,0,0,0
1062,奥金尼村庄 逃脱,PTT_Name_000150,寒风村庄 逃脱,101106,101107,17636,1,10,1,99,0,450,0,0,0,0
1063,奥金尼村庄 逃脱,PTT_Name_000151,冷镜子村庄 逃脱,101106,101108,18610,1,10,1,99,0,450,0,0,0,0
1064,奥金尼村庄 逃脱,PTT_Name_000152,冰谷之村 逃脱,101106,101109,17617,1,10,1,99,0,900,0,0,0,0
1065,奥金尼村庄 逃脱,PTT_Name_000153,月光村庄 逃脱,101106,101114,20700,1,10,1,99,0,1350,0,0,0,0
1071,寒风村庄 逃脱,PTT_Name_000154,班迪路娜 逃脱,101107,101100,4137,1,10,1,99,0,900,0,0,0,0
1072,寒风村庄 逃脱,PTT_Name_000155,奥金尼村庄 逃脱,101107,101106,18606,1,10,1,99,0,450,0,0,0,0
1073,寒风村庄 逃脱,PTT_Name_000156,冷镜子村庄 逃脱,101107,101108,18610,1,10,1,99,0,450,0,0,0,0
1074,寒风村庄 逃脱,PTT_Name_000157,冰谷之村 逃脱,101107,101109,17617,1,10,1,99,0,900,0,0,0,0
1081,冷镜子村庄 逃脱,PTT_Name_000158,班迪路娜 逃脱,101108,101100,4137,1,10,1,99,0,1350,0,0,0,0
1082,冷镜子村庄 逃脱,PTT_Name_000159,奥金尼村庄 逃脱,101108,101106,18606,1,10,1,99,0,450,0,0,0,0
1083,冷镜子村庄 逃脱,PTT_Name_000160,寒风村庄 逃脱,101108,101107,17636,1,10,1,99,0,450,0,0,0,0
1084,冷镜子村庄 逃脱,PTT_Name_000161,冰谷之村 逃脱,101108,101109,17617,1,10,1,99,0,900,0,0,0,0
1091,冰谷之村 逃脱,PTT_Name_000162,班迪路娜 逃脱,101109,101100,4137,1,10,1,99,0,1350,0,0,0,0
1092,冰谷之村 逃脱,PTT_Name_000163,奥金尼村庄 逃脱,101109,101106,18606,1,10,1,99,0,900,0,0,0,0
1093,冰谷之村 逃脱,PTT_Name_000164,寒风村庄 逃脱,101109,101107,17636,1,10,1,99,0,450,0,0,0,0
1094,冰谷之村 逃脱,PTT_Name_000165,冷镜子村庄 逃脱,101109,101108,18610,1,10,1,99,0,450,0,0,0,0
1101,月光村庄 逃脱,PTT_Name_000166,班迪路娜 逃脱,101114,101100,4137,1,10,1,99,0,2250,0,0,0,0
1102,月光村庄 逃脱,PTT_Name_000167,派遣兵临时营地 逃脱,101114,101115,20706,1,10,1,99,0,2250,0,0,0,0
1103,月光村庄 逃脱,PTT_Name_000168,农场村庄 逃脱,101114,101116,20717,1,10,1,99,0,2250,0,0,0,0
1104,月光村庄 逃脱,PTT_Name_000169,派遣部队临时基地 逃脱,101114,101117,20722,1,10,1,99,0,4500,0,0,0,0
1105,月光村庄 逃脱,PTT_Name_000170,派遣部队指挥部 逃脱,101114,101118,20732,1,10,1,99,0,6750,0,0,0,0
1106,月光村庄 逃脱,PTT_Name_000171,奥金尼村庄 逃脱,101114,101106,18606,1,10,1,99,0,9000,0,0,0,0
1111,派遣兵临时营地 逃脱,PTT_Name_000172,班迪路娜 逃脱,101115,101100,4137,1,10,1,99,0,4500,0,0,0,0
1112,派遣兵临时营地 逃脱,PTT_Name_000173,月光村庄 逃脱,101115,101114,20700,1,10,1,99,0,2250,0,0,0,0
1113,派遣兵临时营地 逃脱,PTT_Name_000174,农场村庄 逃脱,101115,101116,20717,1,10,1,99,0,2250,0,0,0,0
1114,派遣兵临时营地 逃脱,PTT_Name_000175,派遣部队临时基地 逃脱,101115,101117,20722,1,10,1,99,0,4500,0,0,0,0
1115,派遣兵临时营地 逃脱,PTT_Name_000176,派遣部队指挥部 逃脱,101115,101118,20732,1,10,1,99,0,6750,0,0,0,0
1121,农场村庄 逃脱,PTT_Name_000177,班迪路娜 逃脱,101116,101100,4137,1,10,1,99,0,6750,0,0,0,0
1122,农场村庄 逃脱,PTT_Name_000178,月光村庄 逃脱,101116,101114,20700,1,10,1,99,0,4500,0,0,0,0
1123,农场村庄 逃脱,PTT_Name_000179,派遣兵临时营地 逃脱,101116,101115,20706,1,10,1,99,0,2250,0,0,0,0
1124,农场村庄 逃脱,PTT_Name_000180,派遣部队临时基地 逃脱,101116,101117,20722,1,10,1,99,0,2250,0,0,0,0
1125,农场村庄 逃脱,PTT_Name_000181,派遣部队指挥部 逃脱,101116,101118,20732,1,10,1,99,0,4500,0,0,0,0
1131,派遣部队临时基地 逃脱,PTT_Name_000182,班迪路娜 逃脱,101117,101100,4137,1,10,1,99,0,9000,0,0,0,0
1132,派遣部队临时基地 逃脱,PTT_Name_000183,月光村庄 逃脱,101117,101114,20700,1,10,1,99,0,4500,0,0,0,0
1133,派遣部队临时基地 逃脱,PTT_Name_000184,派遣兵临时营地 逃脱,101117,101115,20706,1,10,1,99,0,2250,0,0,0,0
1134,派遣部队临时基地 逃脱,PTT_Name_000185,农场村庄 逃脱,101117,101116,20717,1,10,1,99,0,2250,0,0,0,0
1135,派遣部队临时基地 逃脱,PTT_Name_000186,派遣部队指挥部 逃脱,101117,101118,20732,1,10,1,99,0,4500,0,0,0,0
1141,派遣部队指挥部 逃脱,PTT_Name_000187,班迪路娜 逃脱,101118,101100,4137,1,10,1,99,0,11250,0,0,0,0
1142,派遣部队指挥部 逃脱,PTT_Name_000188,月光村庄 逃脱,101118,101114,20700,1,10,1,99,0,6750,0,0,0,0
1143,派遣部队指挥部 逃脱,PTT_Name_000189,派遣兵临时营地 逃脱,101118,101115,20706,1,10,1,99,0,4500,0,0,0,0
1144,派遣部队指挥部 逃脱,PTT_Name_000190,农场村庄 逃脱,101118,101116,20717,1,10,1,99,0,2250,0,0,0,0
1145,派遣部队指挥部 逃脱,PTT_Name_000191,派遣部队临时基地 逃脱,101118,101117,20722,1,10,1,99,0,2250,0,0,0,0
