TID,Comment,NPCTID,AiTID,GoalTID,Time,AreaTID,AS,RS
1010,使用泉水守护者保勒米多（1047）未显示“召唤看门人拉蓬提普”,170602,,,60000,0,,
1011,采用岩翼思尔雷斯特（9003）“召唤熔岩山脉一族的飞龙”。,150704,,,60000,0,,
1012,灼热的傀儡（7001）卡莉多斯主持者使用（7001）“燃烧的愤怒的考雷传唤”,170706,,,60000,0,,
1013,使用黑暗诺斯夸存储体（12 027）“黑暗诺斯夸”（5005）召唤,150647,,,60000,0,,
1014,火龙的蛋（12 070）“小龙”（9004）召唤,150755,,,60000,0,,
1015,泰特拉的祭品（3024）“泰特拉的雕塑（5064）”召唤,150803,,,60000,,,
1016,红色智慧门最好的魔法师梅斯（1026）“地狱凯尔布鲁斯（5029）”召唤,170806,,,60000,,,
1017,诺斯夸存储体（12089）“黑暗的诺斯夸 5005”召唤,150908,,,60000,,,
1018,[困难]灰光肯塔乌鲁斯巡逻兵（7028）凯尔贝鲁斯的噩梦（5027）召唤,170825,,,60000,,,
1019,[非常困难]灰光肯塔乌鲁斯巡逻兵（7028）凯尔贝鲁斯的噩梦（5027）召唤,170845,,,60000,,,
1020,[地狱]灰光肯塔乌鲁斯巡逻兵（7028）凯尔贝鲁斯的噩梦（5027）召唤,170865,,,60000,,,
1021,法师的魔法饮料明镜清扫机（命名）（1005）召唤黑暗魔器（12014）,170855,,,20000,,,
10001,艾林河物品召唤,350001,,,60000,0,,
10002,,350002,,,60000,0,,
10003,,350003,,,60000,0,,
10004,,350004,,,60000,0,,
10005,,350005,,,60000,0,,
10006,,350006,,,60000,0,,
10007,要求申请转换5秒不完整空虚的邪念,350007,,,5000,0,,
10008,,350008,,,20000,0,,
10009,,350011,,,60000,0,,
10010,,350010,,,25000,0,,
10011,,1075,,,15000,0,,
10012,,350012,,,15000,0,,
10013,,350013,,,60000,0,,
10014,,350014,,,10000,0,,
10015,,350016,,,10000,0,,
10016,,350017,,,60000,0,,
10017,,350009,,,60000,0,,
10018,,350102,,,8000,0,,
10019,,350103,,,60000,0,,
10020,,350104,,,60000,0,,
10021,,350109,,,25000,0,,
10022,,350106,,,20000,0,,
10023,,350107,,,20000,0,,
10024,,350108,,,20000,0,,
10025,,350113,,,20000,0,,
10026,,350111,,,60000,0,,
10027,,350112,,,25000,0,,
10028,,350110,,,60000,0,,
10029,,350114,,,20000,0,,
10030,,350115,,,60000,0,,
10031,,350119,,,35000,0,,
10032,,350116,,,50000,0,,
10033,,350120,,,35000,0,,
10034,,350118,,,60000,0,,
10035,,350117,,,60000,0,,
10036,,350121,,,25000,0,,
10037,,350126,,,60000,0,,
10038,,350127,,,25000,0,,
10040,,350123,,,25000,0,,
10041,,350124,,,25000,0,,
10042,,350128,,,25000,0,,
10043,,350131,,,25000,0,,
10044,,350129,,,20000,0,,
10045,,350130,,,25000,0,,
10046,,350132,,,60000,0,,
10047,,350143,,,20000,0,,
10048,,350135,,,25000,0,,
10049,,350142,,,25000,0,,
10050,,350140,,,20000,0,,
10051,,350105,,,20000,0,,
10054,,350145,,,25000,0,,
10055,,350146,,,25000,0,,
10058,,350137,,,20000,0,,
10059,,350136,,,20000,0,,
10060,,1542,,,25000,0,,
10061,,350018,,,35000,0,,
10062,,350201,,,15000,0,,
10063,,350203,,,20000,0,,
10065,,350205,,,10000,0,,
10066,,350206,,,15000,0,,
10067,,350207,,,10000,0,,
10068,,350212,,,15000,0,,
10069,,350213,,,20000,0,,
10070,,350215,,,20000,0,,
10071,,350216,,,15000,0,,
10072,,350247,,,20000,0,,
10073,,350223,,,6000,0,,
10074,,350222,,,20000,0,,
10075,,350224,,,15000,0,,
10076,,350230,,,15000,0,,
10077,,350233,,,20000,0,,
10078,,350232,,,30000,0,,
10079,,350204,,,15000,0,,
10080,,350237,,,16000,0,,
10084,,350210,,,10000,0,,
10085,,350218,,,20000,0,,
10086,,350221,,,20000,0,,
10087,,350235,,,15000,0,,
10088,,350225,,,6000,0,,
10089,NPC死之召唤,350238,,,30000,0,,
10090,,350239,,,30000,0,,
10091,,350240,,,15000,0,,
10092,,350242,,,60000,0,,
10093,,350245,,,20000,0,,
10094,,350214,,,20000,0,,
10095,,350217,,,20000,0,,
10096,,350226,,,25000,0,,
10097,,350227,,,15000,0,,
10098,,350228,,,20000,0,,
10099,,350229,,,15000,0,,
10100,,350231,,,60000,0,,
10101,,350246,,,30000,0,,
10102,,350236,,,30000,0,,
10103,,350234,,,20000,0,,
10104,,350219,,,6000,0,,
10105,,350301,,,60000,0,,
10106,,350302,,,60000,0,,
10107,,350303,,,25000,0,,
10108,,350304,,,60000,0,,
10109,,350305,,,60000,0,,
10110,,350306,,,60000,0,,
10111,,350307,,,60000,0,,
10112,,350308,,,60000,0,,
10113,,350309,,,25000,0,,
10114,,350310,,,60000,0,,
10115,,350311,,,60000,0,,
10116,,3591,,,60000,0,,
10117,,350147,,,20000,0,,
10118,,350401,,,60000,0,,
10119,,350402,,,6000,0,,
10120,,350403,,,60000,0,,
10121,,350404,,,20000,0,,
10122,,350405,,,60000,0,,
10123,,350406,,,60000,0,,
10124,,350407,,,60000,0,,
10125,,350408,,,60000,0,,
10126,,350409,,,15000,0,,
10127,,350410,,,60000,0,,
10128,,350411,,,60000,0,,
10129,,350412,,,60000,0,,
10130,,350413,,,15000,0,,
10131,,350414,,,6000,0,,
10132,,350415,,,60000,0,,
10133,,350416,,,20000,0,,
10134,,350417,,,20000,0,,
10135,,350418,,,60000,0,,
10136,,350419,,,60000,0,,
10137,,350420,,,60000,0,,
10138,,350421,,,60000,0,,
10139,,350422,,,6000,0,,
10140,,350423,,,60000,0,,
10141,,350424,,,60000,0,,
10142,,350425,,,20000,0,,
10143,,350426,,,60000,0,,
10144,,350427,,,60000,0,,
10145,,350428,,,20000,0,,
10146,,350429,,,20000,0,,
10147,,350430,,,20000,0,,
10148,,350431,,,60000,0,,
10149,,350432,,,60000,0,,
10150,,350433,,,20000,0,,
10151,,350434,,,20000,0,,
10152,,350435,,,6000,0,,
10153,,350501,,,15000,0,,
10154,,350502,,,15000,0,,
10155,,350503,,,15000,0,,
10156,,350504,,,15000,0,,
10157,,350505,,,15000,0,,
10158,,350507,,,15000,0,,
10159,,350508,,,15000,0,,
10160,,350509,,,15000,0,,
10161,,350510,,,15000,0,,
10162,,350511,,,15000,0,,
10163,,350512,,,6000,0,,
10164,,350513,,,15000,0,,
10165,,350514,,,15000,0,,
10166,,350516,,,60000,0,,
10167,,350517,,,15000,0,,
10168,,350518,,,12000,0,,
10169,,350519,,,9000,0,,
10170,,350520,,,6000,0,,
10171,,350521,,,15000,0,,
10172,,350522,,,15000,0,,
10173,,350523,,,15000,0,,
10174,,350524,,,15000,0,,
10175,,350525,,,15000,0,,
10176,,350526,,,15000,0,,
10177,,150510,,,35000,0,,
10178,,150530,,,35000,0,,
10179,,150550,,,35000,0,,
10180,,150570,,,35000,0,,
10181,,150511,,,35000,0,,
10182,,150531,,,35000,0,,
10183,,150551,,,35000,0,,
10184,,150571,,,35000,0,,
10185,,350527,,,15000,0,,
10186,,350528,,,15000,0,,
10187,,350529,,,15000,0,,
10188,,350530,,,15000,0,,
10189,,350531,,,15000,0,,
10190,,350015,,,7000,0,,
10191,,360505,,,0,0,,
10192,,350019,,,30000,0,,
11001,召唤戴穆里申物品,360001,,,35000,0,,
11002,,360002,,,20000,0,,
11003,,360003,,,10000,0,,
11004,,360004,,,10000,0,,
11005,,360101,,,60000,0,,
11006,,360102,,,60000,0,,
11007,,360103,,,60000,0,,
11008,,360104,,,60000,0,,
11009,,360005,,,20000,0,,
11010,,52033,,,20000,0,,
11011,,360006,,,10000,0,,
11012,,360408,,,60000,0,,
11013,,360409,,,60000,0,,
11014,,360410,,,0,0,,
11015,,170750,,,60000,0,,
11016,,360105,,,60000,0,,
11017,,360106,,,60000,0,,
11018,,360408,,,20000,0,,
11019,,360409,,,15000,0,,
11020,,54674,,,30000,0,,
11021,,55091,,,30000,0,,
11022,,360202,,,15000,0,,
11023,,360201,,,15000,0,,
11024,,360107,,,60000,0,,
11025,,360108,,,90000,0,,
11026,,360109,,,90000,0,,
11027,,360213,,,5000,0,,
11028,,360411,,,30000,0,,
11029,,360412,,,30000,0,,
11030,,360413,,,30000,0,,
11031,,360414,,,30000,0,,
11032,,360415,,,30000,0,,
11033,,360401,,,30000,0,,
11034,,360403,,,30000,0,,
11035,,360404,,,30000,0,,
11036,,360406,,,30000,0,,
11037,,360407,,,30000,0,,
11038,,360405,,,30000,0,,
11039,,360204,,,30000,0,,
11040,,360205,,,30000,0,,
11041,,360501,,,30000,0,,
11042,,360206,,,30000,0,,
11043,,360504,,,30000,0,,
11044,,360502,,,30000,0,,
11045,,360207,,,30000,0,,
11046,,360503,,,30000,0,,
11047,,360208,,,30000,0,,
11048,,360203,,,30000,0,,
11049,,360110,,,30000,0,,
11050,,360111,,,30000,0,,
11051,,360112,,,30000,0,,
11052,,360113,,,30000,0,,
11053,,360209,,,30000,0,,
11054,,360210,,,30000,0,,
11055,,360211,,,30000,0,,
11056,,360212,,,30000,0,,
11058,,360114,,,30000,0,,
11059,,360115,,,30000,0,,
11060,,360116,,,30000,0,,
11061,,360117,,,30000,0,,
11062,,360417,,,30000,0,,
11063,,360418,,,30000,0,,
11064,,360419,,,30000,0,,
11065,,360420,,,30000,0,,
11066,,360402,,,30000,0,,
11067,,350532,,,0,0,,
11068,,360214,,,5000,0,,
12001,小规模战场(召唤平原) 艾林河 - 虚无的战士,200083,,,0,0,,
12002,小规模战场(召唤平原) 艾林河 - 虚无的弓箭手,200084,,,0,0,,
12003,小规模战场(召唤平原) 艾林河 - 虚无的魔法师,200085,,,0,0,,
13001,小规模战场(召唤平原) 戴穆里申 - 虚无的战士,200093,,,0,0,,
13002,小规模战场(召唤平原) 戴穆里申 - 虚无的弓箭手,200094,,,0,0,,
13003,小规模战场(召唤平原) 戴穆里申 - 虚无的魔法师,200095,,,0,0,,
14001,圣物戴穆里申战(艾林河) - 本龙,200201,,,0,0,,
14002,圣物戴穆里申战(艾林河) - 贝奥哈特,200202,,,0,0,,
14003,圣物戴穆里申战(艾林河) - 士兵雕塑,200203,,,0,0,,
14004,圣物戴穆里申战(艾林河) -滴水怪兽,200204,,,0,0,,
14101,圣物戴穆里申战(戴穆里申) - 本龙,200207,,,0,0,,
14102,圣物戴穆里申战(戴穆里申) - 贝奥哈特,200208,,,0,0,,
14103,圣物戴穆里申战(戴穆里申) - 士兵雕塑,200209,,,0,0,,
14104,圣物戴穆里申战(戴穆里申) -滴水怪兽,200210,,,0,0,,
16001,抛光效果 (攻击力效果),205401,,,0,0,,
16002,抛光效果 (致命一击效果),205402,,,0,0,,
16003,抛光效果 (体力恢复 效果),205403,,,0,0,,
16004,抛光效果 (最大体力增加 效果),205404,,,0,0,,
16005,抛光效果 (移速增加 效果 效果),205411,,,0,0,,
20000,媒介物,500001,,,0,0,,
20001,媒介物,500002,,,0,0,,
20002,媒介物,500003,,,0,0,,
20003,媒介物,500004,,,0,0,,
20004,媒介物,500005,,,0,0,,
20005,媒介物,500006,,,0,0,,
20006,媒介物,500007,,,0,0,,
20007,媒介物,500008,,,0,0,,
20008,媒介物,500009,,,0,0,,
20009,媒介物,500501,,,0,0,,
20010,媒介物,500502,,,0,0,,
20011,媒介物,500503,,,0,0,,
20012,媒介物,500504,,,0,0,,
20013,媒介物,500505,,,0,0,,
20014,媒介物,500506,,,0,0,,
20015,媒介物,500507,,,0,0,,
20016,媒介物,500508,,,0,0,,
20017,媒介物,500509,,,0,0,,
20018,媒介物,501001,,,0,0,,
20019,媒介物,501002,,,0,0,,
20020,媒介物,501501,,,0,0,,
20021,媒介物,501502,,,0,0,,
20022,媒介物,502000,,,0,0,,
20023,媒介物,501003,,,0,0,,
20024,媒介物,501503,,,0,0,,
20025,媒介物,501004,,,0,0,,
20026,媒介物,501504,,,0,0,,
99999,统治者测试,502001,,,60000,0,,
