ID,Content,Type,MaxTime,Data
(S_BG)PC 危险警报效果,1,2,3.333,0.00000|100.00000|0.00000|0.00000|-101.05271|0.00000|0.00000|101.05271|0.00000|0.00000|-28.31018|178.97116|178.97116|-14.81078|-119.31410|-119.31410|0.83325|157.93175|59.65705|59.65705|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-174.61978|-83.55690|-83.55690|116.41319|55.70460|55.70460|1.67023|99.72515|31.80475|31.80475|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|179.37994|-95.41425|-95.41425|-119.58662|63.60950|63.60950|2.49975|159.51846|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-178.55539|0.00000|0.00000|119.03693|0.00000|0.00000|3.33300|100.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|
(S_BG)PC危险警报效果 开始,0,2,3.333,0.00000|97.89481|0.00000|0.00000|0.72704|38.35947|0.00000|0.00000|1.58830|98.64561|0.00000|0.00000|2.49803|39.00037|0.00000|0.00000|3.33300|101.05273|0.00000|0.00000|
(S_BG)黑色画面效果,1,2,3.333,0.00000|-1.05264|0.00000|0.00000|-18.94737|0.00000|0.00000|18.94737|0.00000|0.00000|183.15811|218.94765|221.05261|-136.84225|-154.73703|-156.84209|0.71585|64.21059|64.21062|64.21052|-25.26316|-26.31579|-28.42105|25.26316|26.31579|28.42105|44.21046|45.26292|37.89498|-37.89469|-38.94721|-34.73700|3.33300|95.78951|96.84212|95.78954|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|
(S_BG)黑色画面效果2,1,2,3.333,0.00000|85.26319|85.26318|85.26319|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-204.21063|-196.84189|-204.21063|143.15796|137.89459|143.15796|0.22743|24.21053|26.31589|24.21053|21.05264|20.00000|21.05264|-21.05264|-20.00000|-21.05264|-4.03185|-11.42960|-4.03185|9.70545|14.28640|9.70545|1.03277|8.83149|9.17269|8.83149|0.00001|0.00000|0.00001|-0.00001|0.00000|-0.00001|260.87418|263.00827|260.87418|-173.91612|-175.33885|-173.91612|3.33300|95.78954|96.84212|95.78954|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|
(S_BG)黑色画面效果3,1,2,1,0.00000|85.26318|85.26318|85.26318|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-196.84189|-196.84189|-196.84189|137.89459|137.89459|137.89459|0.25505|26.31589|26.31589|26.31589|20.00000|20.00000|20.00000|-20.00000|-20.00000|-20.00000|43.23865|43.23865|43.23865|-22.15910|-22.15910|-22.15910|0.65730|27.39544|27.39544|27.39544|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|208.34003|208.34003|208.34003|-138.89336|-138.89336|-138.89336|1.00000|96.84212|96.84212|96.84212|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|
(S_BG)黑色画面效果4,1,2,1,0.00000|47.21146|47.21146|47.21146|22.92423|22.92423|22.92423|-22.92423|-22.92423|-22.92423|-2.78406|-2.78406|-2.78406|9.49745|9.49745|9.49745|0.04922|31.00062|31.00062|31.00062|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|218.57712|218.57712|218.57712|-153.78825|-153.78825|-153.78825|1.00000|95.78948|95.78948|95.78948|-24.21052|-24.21052|-24.21052|24.21052|24.21052|24.21052|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|
(S_BG)紫色画面效果,1,2,0.2,0.00000|64.21043|65.26318|177.89485|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-2.83715|44.03573|-0.00005|1.89143|-35.67294|0.00003|0.09285|63.26471|73.62597|177.89484|0.00000|-18.94737|0.00000|0.00000|18.94737|0.00000|347.04810|278.06924|-0.00009|-231.36539|-191.69528|0.00006|0.20000|178.94740|178.94730|177.89481|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|
(S_BG)紫色画面效果01,1,2,0.1,0.00000|70.81934|25.08180|141.65115|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|13.10392|186.32983|28.54353|-8.73595|-124.21989|-19.02902|0.04284|75.18732|87.19175|151.16566|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|260.84225|237.37213|36.36264|-173.89484|-158.24809|-24.24176|0.10000|162.13474|166.31580|163.28654|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|
(S_BG)橙色画面效果,1,2,0.1,0.00000|172.89122|100.00000|100.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|196.09451|90.00000|30.00000|-130.72968|-60.00000|-20.00000|0.04943|238.25606|130.00000|110.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-416.87344|-92.10526|-32.10526|278.61737|62.10526|22.10526|0.10000|100.00000|100.00000|100.00000|2.10526|2.10526|2.10526|-2.10526|-2.10526|-2.10526|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|
(S_BG)橙色画面效果(大),0,2,3.333,0.00000|0.00000|0.00000|0.00000|3.33300|0.00000|0.00000|0.00000|
(S_BG)蓝色画面效果,1,2,0.1,0.00000|100.00000|100.00000|100.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|60.00000|389.99890|1233.16003|-40.00000|-259.99927|-907.36981|0.02539|120.00000|229.99963|425.79025|0.00000|0.00000|-255.78929|0.00000|0.00000|255.78929|-60.00000|-389.99890|-1488.94934|40.00000|259.99927|907.36981|0.10000|100.00000|100.00000|100.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|
(T_L_Horizon)曲线,0,2,3.333,0.00000|0.00000|52.63158|-52.63158|1.60067|-132.36858|-0.87719|0.87719|3.33300|23.15789|-121.05272|121.05272|
(T_L_Horizon)震动,0,2,3.333,0.00000|1.56017|-19.89499|19.89499|0.96938|-6.79287|0.00000|0.00000|1.61067|11.28585|1.05263|-1.05263|2.32652|-9.90587|0.00000|0.00000|2.78884|6.93434|0.00000|0.00000|3.33300|0.00000|0.00000|0.00000|
(T_L_Horizon)震动2,0,2,3.333,0.00000|1.56017|-19.89499|19.89499|0.96938|-6.79287|0.00000|0.00000|1.61067|11.28585|1.05263|-1.05263|2.32652|-9.90587|0.00000|0.00000|2.78884|6.93434|0.00000|0.00000|3.33300|0.00000|0.00000|0.00000|
(T_L_Vertical)曲线,0,2,3.333,0.00000|0.00000|-57.89473|57.89473|1.48763|80.00003|2.10526|-2.10526|3.33300|0.00000|51.57894|-51.57894|
(Tail_O)减少尾巴,0,2,3.333,0.00000|-30.00000|36.84207|-36.84207|1.61812|-80.00000|0.00000|0.00000|3.33300|-49.47367|-15.78946|15.78946|
(Tail_O)减少尾巴2,0,2,3.333,0.00000|-96.64797|25.26315|-25.26315|3.33300|-8.22693|-83.15792|83.15792|
(Tail_O)减少尾巴3,0,2,3.333,0.00000|58.92064|-150.52634|150.52634|3.33300|9.96912|190.18538|-190.18538|
(Translate_O)持续微小振动,1,2,3.333,0.00000|-1.05263|0.00000|2.10526|-2.10526|0.00000|0.00000|2.10526|0.00000|0.00000|10.94959|0.00000|-6.31578|-8.00148|0.00000|4.21052|0.08771|4.00074|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-18.31800|0.00000|6.31578|12.21200|0.00000|-4.21052|0.17542|-2.10526|0.00000|2.10526|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|20.58276|0.00000|-6.31578|-13.72184|0.00000|4.21052|0.26313|4.75566|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-20.58276|0.00000|6.31578|13.72184|0.00000|-4.21052|0.35084|-2.10526|0.00000|2.10526|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|17.74347|0.00000|-6.31578|-11.82898|0.00000|4.21052|0.43855|3.80923|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-20.90139|0.00000|6.31578|13.93426|0.00000|-4.21052|0.52626|-3.15790|0.00000|2.10526|-0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|20.85360|0.00000|-6.31578|-13.90240|0.00000|4.21052|0.61397|3.79330|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-20.85360|0.00000|6.31578|13.90240|0.00000|-4.21052|0.70168|-3.15790|0.00000|2.10526|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|25.03161|0.00000|-3.15789|-16.68774|0.00000|2.10526|0.78939|5.18597|0.00000|1.05263|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-24.89865|0.00000|3.15789|16.59910|0.00000|-2.10526|0.87711|-3.11358|0.00000|2.10526|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|23.37897|0.00000|-6.31578|-15.58598|0.00000|4.21052|0.96482|4.67941|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-26.33838|0.00000|6.31578|17.55892|0.00000|-4.21052|1.05253|-4.10005|0.00000|2.10526|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|21.31914|0.00000|-6.31578|-14.21276|0.00000|4.21052|1.14024|3.00633|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-14.91030|0.00000|6.31578|9.94020|0.00000|-4.21052|1.22795|-1.96377|0.00000|2.10526|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|17.52372|0.00000|-3.15789|-11.68248|0.00000|2.10526|1.31566|3.87747|0.00000|1.05263|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-20.52468|0.00000|3.15789|13.68312|0.00000|-2.10526|1.40337|-2.96409|0.00000|2.10526|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|16.90842|0.00000|-6.31578|-11.27228|0.00000|4.21052|1.49108|2.67205|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-17.48982|0.00000|6.31578|12.71251|0.00000|-4.21052|1.57879|-2.10526|0.00000|2.10526|3.15789|0.00000|0.00000|-3.15789|0.00000|0.00000|25.52370|0.00000|-3.15789|-15.96317|0.00000|2.10526|1.66650|4.29738|0.00000|1.05263|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-19.60197|0.00000|3.15789|13.06798|0.00000|-2.10526|1.75421|-2.23661|0.00000|2.10526|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|13.39101|0.00000|-9.47367|-8.92734|0.00000|6.31578|1.84192|2.22706|0.00000|-1.05263|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-10.33269|0.00000|9.47367|6.88846|0.00000|-6.31578|1.92963|-1.21717|0.00000|2.10526|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|17.84187|0.00000|-6.31578|-11.89458|0.00000|4.21052|2.01734|4.73012|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-23.43357|0.00000|6.31578|15.62238|0.00000|-4.21052|2.10505|-3.08107|0.00000|2.10526|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|19.01874|0.00000|-6.31578|-12.67916|0.00000|4.21052|2.19276|3.25851|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-19.24920|0.00000|6.31578|12.83280|0.00000|-4.21052|2.28047|-3.15789|0.00000|2.10526|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|22.06278|0.00000|-6.31578|-14.70852|0.00000|4.21052|2.36818|4.19637|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-22.06278|0.00000|6.31578|14.70852|0.00000|-4.21052|2.45589|-3.15789|0.00000|2.10526|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|23.72184|0.00000|-6.31578|-15.81456|0.00000|4.21052|2.54361|4.74939|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-20.33838|0.00000|6.31578|13.55892|0.00000|-4.21052|2.63132|-2.03007|0.00000|2.10526|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|13.26807|0.00000|-6.31578|-8.84538|0.00000|4.21052|2.71903|2.39262|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-13.05084|0.00000|6.31578|8.70056|0.00000|-4.21052|2.80674|-1.95766|0.00000|2.10526|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|12.96894|0.00000|-6.31578|-8.64596|0.00000|4.21052|2.89445|2.36532|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-10.25385|0.00000|6.31578|6.83590|0.00000|-4.21052|2.98216|-1.05263|0.00000|2.10526|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|14.76447|0.00000|-6.31578|-9.84298|0.00000|4.21052|3.06987|3.86886|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-14.76447|0.00000|6.31578|9.84298|0.00000|-4.21052|3.15758|-1.05263|0.00000|2.10526|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|16.07889|0.00000|-9.47367|-10.71926|0.00000|6.31578|3.24529|4.30700|0.00000|-1.05263|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-16.07889|0.00000|9.47367|10.71926|0.00000|-6.31578|3.33300|-1.05263|0.00000|2.10526|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|
(Translate_O)持续微小振动增减,1,2,2,0.00000|-0.09557|0.00000|-0.16511|-2.10526|0.00000|-2.10526|2.10526|0.00000|2.10526|-2.84235|0.00000|-2.84232|1.21355|0.00000|1.21353|0.06158|0.38089|0.00000|0.31136|0.06121|0.00000|0.06121|-0.06121|0.00000|-0.06121|-2.24686|0.00000|-2.94223|1.51831|0.00000|1.98189|0.11197|-0.40887|0.00000|-0.71019|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|3.24837|0.00000|5.61261|-2.16558|0.00000|-3.74174|0.15789|0.67392|0.00000|1.16068|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-4.47753|0.00000|-6.98085|2.98502|0.00000|4.65390|0.21948|-0.81859|0.00000|-1.16627|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|4.80999|0.00000|7.52193|-3.20666|0.00000|-5.01462|0.26763|0.78474|0.00000|1.34104|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-5.91525|0.00000|-9.39210|3.94350|0.00000|6.26140|0.32474|-1.18701|0.00000|-1.78966|-0.00000|0.00000|-0.00000|0.00000|0.00000|0.00000|6.80043|0.00000|10.06866|-4.53362|0.00000|-6.71244|0.37066|1.07980|0.00000|1.56656|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-8.51634|0.00000|-11.43690|5.67756|0.00000|7.62460|0.42329|-1.75898|0.00000|-2.24574|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|8.82510|0.00000|12.64962|-5.88340|0.00000|-8.43308|0.46921|1.18272|0.00000|1.97080|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-10.01505|0.00000|-13.90908|6.67670|0.00000|9.27272|0.52632|-2.15563|0.00000|-2.66556|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|11.03646|0.00000|15.27816|-7.35764|0.00000|-10.18544|0.57895|1.52319|0.00000|2.42716|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-11.99226|0.00000|-16.16442|7.99484|0.00000|10.77628|0.63158|-2.47423|0.00000|-2.96098|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|12.98202|0.00000|16.73697|-8.65468|0.00000|-11.15798|0.68868|1.85311|0.00000|2.61801|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-13.86543|0.00000|-17.55087|9.24362|0.00000|11.70058|0.74132|-2.76870|0.00000|-3.23228|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|14.34942|0.00000|17.75673|-9.56628|0.00000|-11.83782|0.79619|2.01444|0.00000|2.68663|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-15.23721|0.00000|-18.50544|10.15814|0.00000|12.33696|0.85105|-3.06463|0.00000|-3.48185|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|15.97011|0.00000|19.23834|-10.64674|0.00000|-12.82556|0.90145|2.25874|0.00000|2.93093|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-14.50820|0.00000|-19.46850|9.65081|0.00000|14.03163|0.95184|-2.59865|0.00000|-2.50594|-0.06397|0.00000|3.15789|0.06397|0.00000|-3.15789|13.30657|0.00000|21.76686|-8.89237|0.00000|-13.45861|1.01566|1.87952|0.00000|2.64442|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-11.89671|0.00000|-14.40003|7.93114|0.00000|9.60002|1.06158|-2.08605|0.00000|-2.15559|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|10.96188|0.00000|13.25661|-7.30792|0.00000|-8.83774|1.10974|1.56791|0.00000|2.26328|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-8.85345|0.00000|-11.63493|5.90230|0.00000|7.75662|1.16908|-1.38324|0.00000|-1.61503|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|7.50141|0.00000|9.44844|-5.00094|0.00000|-6.29896|1.21948|1.11723|0.00000|1.53445|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-5.92230|0.00000|-7.93887|3.81876|0.00000|5.16314|1.27211|-0.98631|0.00000|-1.24128|-0.38832|0.00000|-0.38832|0.38832|0.00000|0.38832|4.75551|0.00000|6.84159|-3.29978|0.00000|-4.69050|1.32698|0.85774|0.00000|1.29813|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-4.60140|0.00000|-6.54840|3.06760|0.00000|4.36560|1.38408|-0.67606|0.00000|-0.88467|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|3.89684|0.00000|5.56571|-2.58149|0.00000|-3.69407|1.43224|0.63929|0.00000|0.98697|0.04921|0.00000|0.04921|-0.04921|0.00000|-0.04921|-3.27511|0.00000|-5.29168|2.19981|0.00000|3.54419|1.48487|-0.48522|0.00000|-0.80973|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|3.05775|0.00000|4.51803|-2.03850|0.00000|-3.01202|1.53526|0.53403|0.00000|0.69628|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-2.65032|0.00000|-3.83244|1.76688|0.00000|2.55496|1.58790|-0.34941|0.00000|-0.58120|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|2.08161|0.00000|3.75051|-1.38774|0.00000|-2.50034|1.64277|0.34446|0.00000|0.66897|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-1.82655|0.00000|-3.00870|1.21770|0.00000|2.00580|1.69316|-0.26439|0.00000|-0.33393|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|1.80267|0.00000|1.80267|-1.20178|0.00000|-1.20178|1.74579|0.33650|0.00000|0.26696|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-1.78548|0.00000|-1.78548|1.19032|0.00000|1.19032|1.79842|-0.25866|0.00000|-0.32820|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|1.34994|0.00000|1.34997|-0.89996|0.00000|-0.89998|1.85105|0.19132|0.00000|0.12179|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-0.90030|0.00000|-0.90030|0.60020|0.00000|0.60020|1.90369|-0.10878|0.00000|-0.17831|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.56601|0.00000|0.56601|-0.37734|0.00000|-0.37734|1.95632|0.07989|0.00000|0.01036|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-0.11634|0.00000|-0.11637|0.07756|0.00000|0.07758|2.00000|0.04111|0.00000|-0.02843|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|
