TID,Type,String
160,3,高丽朴
161,3,赵紫阳
162,3,王丹
163,3,沃尔开西
164,3,李洪志
165,3,李大师
166,3,赖昌星
167,3,马加爵
168,3,班禅
169,3,额尔德尼
170,3,山本五十六
171,3,阿扁
172,3,阿扁万岁
173,3,热那亚
174,3,热比娅
175,3,尖阁列岛
176,3,实际神
177,3,东方闪电
178,3,安倍晋三
179,3,金正恩
180,3,张学良
181,3,卍
182,3,占中
183,3,东土耳其斯坦
184,3,五四运动
185,3,意志不坚的图腾
186,3,乌克兰分离
187,3,穆罕默德
188,3,占领中环
189,3,全能神
190,3,伊斯兰国
191,3,呼喊派
192,3,灵灵教
193,3,观音法门
194,3,主神教
195,3,被立王
196,3,三班仆人派
197,3,灵仙真佛宗
198,3,天父的儿女
199,3,达米宣教会
200,3,世界以利亚福音宣教会
201,3,常受教
202,3,中华大陆行政执事站
203,3,全范围教会
204,3,徒弟会
205,3,新约教会
206,3,同一教
207,3,Free tibet
208,3,西藏自由
209,3,南疆
210,3,北疆
211,3,新疆砍人
212,3,东伊运
213,3,恐怖组织
214,3,买毒品
215,3,卖毒品
216,3,茉莉花
217,3,钓鱼岛
218,3,钓鱼岛不属于中国
219,3,突尼斯
220,3,isis
221,3,ISIL
222,3,gongchandang
223,3,西藏314事件
224,3,新疆7.5事件
225,3,新疆国
226,3,党中央
227,3,新闻管制
228,3,一边一国
229,3,两国论
230,3,分裂中国
231,3,革命
232,3,国内动态详情
233,3,回回
234,3,六四
235,3,六四运动
236,3,美国之音
237,3,密宗
238,3,民国
239,3,民进党
240,3,民运
241,3,民主
242,3,民主潮
243,3,摩门教
244,3,纳粹
245,3,南华早报
246,3,南蛮
247,3,明慧网
248,3,起义
249,3,亲民党
250,3,瘸腿帮
251,3,人民报
252,3,法轮功
253,3,法轮大法
254,3,打倒共产党
255,3,台独万岁
256,3,圣战
257,3,示威
258,3,台独
259,3,台独分子
260,3,台联
261,3,台湾民国
262,3,台湾岛国
263,3,台湾国
264,3,台湾独立
265,3,太子党
266,3,天安门事件
267,3,天安门运动
268,3,屠杀
269,3,新党
270,3,新疆独立
271,3,新疆分裂
272,3,疆独
273,3,西藏独立
274,3,西藏分裂
275,3,西藏国
276,3,藏独
277,3,藏青会
278,3,藏妇会
279,3,学潮
280,3,学运
281,3,一党专政
282,3,一中一台
283,3,两个中国
284,3,一贯道
285,3,游行
286,3,造反
287,3,真善忍
288,3,镇压
289,3,政变
290,3,政治
291,3,政治反对派
292,3,政治犯
293,3,中共
294,3,共产党
295,3,反党
296,3,反共
297,3,政府
298,3,民主党
299,3,中国之春
300,3,转法轮
301,3,自焚
302,3,共党
303,3,共匪
304,3,苏家屯
305,3,基地组织
306,3,塔利班
307,3,东亚病夫
308,3,支那
309,3,高治联
310,3,高自联
311,3,专政
312,3,专制
313,3,世界维吾尔大会
314,3,核工业基地
315,3,核武器
316,3,铀
317,3,原子弹
318,3,氢弹
319,3,导弹
320,3,核潜艇
321,3,大参考
322,3,小参考
323,3,国内动态清样
324,3,活佛
325,3,释迦牟尼
326,3,阿弥陀佛
327,3,多维
328,3,河殇
329,3,耶和华
330,3,耶稣
331,3,伊斯兰
332,3,真主安拉
333,3,白莲教
334,3,天主教
335,3,基督教
336,3,东正教
337,3,大法
338,3,法轮
339,3,真理教
340,3,走向圆满
341,3,黄大仙
342,3,跳大神
343,3,神汉
344,3,神婆
345,3,大卫教
346,3,阎王
347,3,黑白无常
348,3,牛头马面
349,3,高丽棒子
350,3,蒙古鞑子
351,3,老毛子
352,3,回民
353,3,回民吃猪肉
354,3,回民是猪
355,3,回民都是猪
356,3,k粉
357,3,古柯碱
358,3,谋杀
359,3,杀人
360,3,吸毒
361,3,贩毒
362,3,赌博
363,3,拐卖
364,3,走私
365,3,卖淫
366,3,强奸
367,3,轮奸
368,3,抢劫
369,3,先奸后杀
370,3,押大
371,3,押小
372,3,押注
373,3,下注
374,3,抽头
375,3,坐庄
376,3,赌马
377,3,赌球
378,3,筹码
379,3,老虎机
380,3,轮盘赌
381,3,安非他命
382,3,大麻
383,3,可卡因
384,3,海洛因
385,3,冰毒
386,3,摇头丸
387,3,杜冷丁
388,3,鸦片
389,3,罂粟
390,3,迷幻药
391,3,白粉
392,3,嗑药
393,3,冰粉
394,3,强暴幼女
395,3,你奶奶的
396,3,你祖宗
397,3,二奶
398,3,偷窥视频
399,3,偷窥图片
400,3,成人影片
401,3,AV电影下载
402,3,夫妻床上激情自拍
403,3,处女
404,3,房事
405,3,坐台
406,3,猥亵
407,3,猥琐
408,3,肉欲
409,3,肉体
410,3,排泄
411,3,卵子
412,3,搞基
413,3,约炮
414,3,撸管子
415,3,处男
416,3,黄盘
417,3,毛盘
418,3,艾滋病
419,3,性病
420,3,叫春
421,3,牛B
422,3,牛比
423,3,J8
424,3,小姐兼职
425,3,交媾
426,3,毛片
427,3,黄片
428,3,交配
429,3,性事
430,3,偷窥
431,3,马拉戈壁
432,3,AIDS
433,3,DICK
434,3,penis
435,3,sex
436,3,SM
437,3,屙
438,3,爱滋
439,3,淋病
440,3,梅毒
441,3,爱液
442,3,屄
443,3,逼
444,3,臭机八
445,3,臭鸡巴
446,3,吹喇叭
447,3,吹箫
448,3,催情
449,3,催情药
450,3,屌
451,3,肛交
452,3,肛门
453,3,龟头
454,3,黄色
455,3,机八
456,3,机巴
457,3,鸡八
458,3,鸡巴
459,3,机掰
460,3,鸡叭
461,3,鸡鸡
462,3,鸡掰
463,3,鸡奸
464,3,妓女
465,3,奸
466,3,茎
467,3,精液
468,3,精子
469,3,尻
470,3,口交
471,3,滥交
472,3,乱交
473,3,屁眼
474,3,嫖娼
475,3,强奸犯
476,3,情色
477,3,肉棒
478,3,乳房
479,3,乳峰
480,3,乳交
481,3,乳头
482,3,乳晕
483,3,三陪
484,3,色情
485,3,射精
486,3,手淫
487,3,威而钢
488,3,威而柔
489,3,伟哥
490,3,性高潮
491,3,性交
492,3,性虐
493,3,性欲
494,3,穴
495,3,颜射
496,3,阳物
497,3,一夜情
498,3,阴部
499,3,阴唇
500,3,阴道
501,3,阴蒂
502,3,阴核
503,3,阴户
504,3,阴茎
505,3,阴门
506,3,淫
507,3,淫秽
508,3,淫乱
509,3,淫水
510,3,淫娃
511,3,淫液
512,3,淫汁
513,3,淫穴
514,3,淫洞
515,3,援交妹
516,3,做爱
517,3,梦遗
518,3,阳痿
519,3,早泄
520,3,奸淫
521,3,Bitch
522,3,bt
523,3,cao
524,3,FUCK
525,3,kao
526,3,NMD
527,3,NND
528,3,sb
529,3,shit
530,3,SUCK
531,3,tmd
532,3,tnnd
533,3,K他命
534,3,白痴
535,3,笨蛋
536,3,变态
537,3,婊子
538,3,操她妈
539,3,操妳妈
540,3,操你
541,3,操你妈
542,3,操他妈
543,3,草你
544,3,肏
545,3,册那
546,3,侧那
547,3,测拿
548,3,插
549,3,蠢猪
550,3,荡妇
551,3,发骚
552,3,废物
553,3,干她妈
554,3,干妳
555,3,干妳娘
556,3,干你
557,3,干你妈
558,3,干你妈B
559,3,干你妈逼
560,3,干你娘
561,3,干他妈
562,3,狗娘养的
563,3,滚
564,3,贱货
565,3,贱人
566,3,烂人
567,3,老母
568,3,老土
569,3,妈比
570,3,妈的
571,3,马的
572,3,妳老母的
573,3,妳娘的
574,3,你妈逼
575,3,破鞋
576,3,仆街
577,3,去她妈
578,3,去妳的
579,3,去妳妈
580,3,去你的
581,3,去你妈
582,3,去死
583,3,去他妈
584,3,日
585,3,日你
586,3,赛她娘
587,3,赛妳娘
588,3,赛你娘
589,3,赛他娘
590,3,骚货
591,3,傻B
592,3,傻比
593,3,傻子
594,3,上妳
595,3,上你
596,3,神经病
597,3,屎
598,3,屎妳娘
599,3,屎你娘
600,3,他妈的
601,3,王八蛋
602,3,我操
603,3,我日
604,3,乡巴佬
605,3,猪猡
606,3,干
607,3,尿
608,3,掯
609,3,操
610,3,骑你
611,3,湿了
612,3,操他
613,3,操她
614,3,骑他
615,3,骑她
616,3,欠骑
617,3,欠人骑
618,3,来爽我
619,3,来插我
620,3,干他
621,3,干她
622,3,干死
623,3,干爆
624,3,干机
625,3,机叭
626,3,臭鸡
627,3,臭机
628,3,烂鸟
629,3,览叫
630,3,阳具
631,3,肉壶
632,3,奶子
633,3,摸咪咪
634,3,干鸡
635,3,干入
636,3,小穴
637,3,插你
638,3,爽你
639,3,干干
640,3,干X
641,3,他干
642,3,干它
643,3,干牠
644,3,干您
645,3,干汝
646,3,干林
647,3,操林
648,3,干尼
649,3,操尼
650,3,我咧干
651,3,干勒
652,3,干我
653,3,干到
654,3,干啦
655,3,干爽
656,3,欠干
657,3,狗干
658,3,我干
659,3,来干
660,3,轮干
661,3,轮流干
662,3,干一干
663,3,援交
664,3,奸暴
665,3,再奸
666,3,我奸
667,3,奸你
668,3,奸他
669,3,奸她
670,3,奸一奸
671,3,淫湿
672,3,鸡歪
673,3,臭西
674,3,遗精
675,3,烂逼
676,3,大血比
677,3,叼你妈
678,3,靠你妈
679,3,戳你
680,3,逼你老母
681,3,挨球
682,3,我日你
683,3,草拟妈
684,3,卖逼
685,3,狗操卖逼
686,3,日死
687,3,奶娘
688,3,他娘
689,3,她娘
690,3,骚B
691,3,你妈了妹
692,3,逼毛
693,3,插你妈
694,3,叼你
695,3,渣波波
696,3,嫩b
697,3,weelaa
698,3,缔顺
699,3,帝顺
700,3,蒂顺
701,3,系统消息
702,3,午夜
703,3,看下
704,3,草泥马
705,3,法克鱿
706,3,雅蠛蝶
707,3,潜烈蟹
708,3,菊花蚕
709,3,尾申鲸
710,3,吉跋猫
711,3,搞栗棒
712,3,吟稻雁
713,3,达菲鸡
714,3,ML
715,3,3P
716,3,群P
717,3,马勒戈壁
718,3,双飞
719,3,周恩來
720,3,碡 
721,3,籀
722,3,朱駿 
723,3,朱狨基
724,3,朱容基
725,3,朱溶剂
726,3,朱熔基
727,3,邾
728,3,猪操
729,3,猪聋畸
730,3,猪毛
731,3,猪毛1
732,3,舳
733,3,瘃
734,3,躅
735,3,翥
736,3,專政
737,3,颛
738,3,丬
739,3,隹
740,3,窀
741,3,卓伯源
742,3,倬
743,3,斫
744,3,诼
745,3,髭
746,3,鲻
747,3,子宫
748,3,秭
749,3,訾
750,3,自民党
751,3,自慰
752,3,自已的故事
753,3,自由民主论坛
754,3,总理
755,3,偬
756,3,诹
757,3,陬
758,3,鄹
759,3,鲰
760,3,躜
761,3,缵
762,3,作爱
763,3,作秀
764,3,阼
765,3,祚
766,3,阿扁萬歲
767,3,阿萊娜
768,3,啊無卵
769,3,埃裏克蘇特勤
770,3,埃斯萬
771,3,艾麗絲
772,3,愛滋
773,3,愛滋病
774,3,垵
775,3,暗黑法師
776,3,嶴
777,3,奧克拉
778,3,奧拉德
779,3,奧利弗
780,3,奧魯奇
781,3,奧倫
782,3,奧特蘭
783,3,㈧
784,3,巴倫侍從
785,3,巴倫坦
786,3,白立樸
787,3,白夢
788,3,白皮書
789,3,班禪
790,3,寶石商人
791,3,保釣
792,3,鮑戈
793,3,鮑彤
794,3,鮑伊
795,3,暴風亡靈
796,3,暴亂
797,3,暴熱的戰士
798,3,暴躁的城塔野獸
799,3,暴躁的警衛兵靈魂
800,3,暴躁的馬杜克
801,3,北大三角地論壇
802,3,北韓
803,3,北京當局
804,3,北美自由論壇
805,3,貝尤爾
806,3,韝
807,3,逼樣
808,3,比樣
809,3,蹕
810,3,颮
811,3,鑣
812,3,婊子養的 
813,3,賓周
814,3,冰後
815,3,博訊
816,3,不滅帝王
817,3,不爽不要錢
818,3,布萊爾
819,3,布雷爾
820,3,蔡崇國
821,3,蔡啓芳
822,3,黲
823,3,操鶏
824,3,操那嗎B
825,3,操那嗎逼
826,3,操那嗎比
827,3,操你媽
828,3,操你爺爺
829,3,曹長青
830,3,曹剛川
831,3,草
832,3,草你媽
833,3,草擬媽
834,3,册那娘餓比
835,3,插那嗎B
836,3,插那嗎逼
837,3,插那嗎比
838,3,插你媽
839,3,插你爺爺
840,3,覘
841,3,蕆
842,3,囅
843,3,閶
844,3,長官沙塔特
845,3,常勁
846,3,朝鮮
847,3,車侖
848,3,車侖女幹
849,3,沉睡圖騰
850,3,陳炳基
851,3,陳博志
852,3,陳定南
853,3,陳建銘
854,3,陳景俊
855,3,陳菊
856,3,陳軍
857,3,陳良宇
858,3,陳蒙
859,3,陳破空
860,3,陳水扁
861,3,陳唐山
862,3,陳希同
863,3,陳小同
864,3,陳宣良
865,3,陳學聖
866,3,陳一諮
867,3,陳總統
868,3,諶
869,3,齔
870,3,櫬
871,3,讖
872,3,程凱
873,3,程鐵軍
874,3,鴟
875,3,痴鳩
876,3,痴拈
877,3,遲鈍的圖騰
878,3,持不同政見 
879,3,赤色騎士
880,3,赤色戰士
881,3,處女膜
882,3,傳染性病
883,3,吹簫
884,3,春夏自由論壇
885,3,戳那嗎B
886,3,戳那嗎逼
887,3,戳那嗎比
888,3,輳
889,3,鹺
890,3,錯B
891,3,錯逼
892,3,錯比
893,3,錯那嗎B
894,3,錯那嗎逼
895,3,錯那嗎比
896,3,達夫警衛兵
897,3,達夫侍從
898,3,達癩
899,3,打飛機
900,3,大參考
901,3,大東亞
902,3,大東亞共榮
903,3,大鶏巴
904,3,大紀元
905,3,大紀元新聞網
906,3,大紀園
907,3,大家論壇
908,3,大奶媽
909,3,大史記
910,3,大史紀
911,3,大衛教
912,3,大中國論壇
913,3,大中華論壇
914,3,大衆真人真事
915,3,紿
916,3,戴維教
917,3,戴相龍
918,3,彈劾
919,3,氹
920,3,蕩婦
921,3,導師
922,3,盜竊犯
923,3,德維爾
924,3,登輝
925,3,鄧笑貧
926,3,糴
927,3,迪裏夏提
928,3,覿
929,3,地下教會
930,3,帝國主義
931,3,電視流氓
932,3,叼你媽
933,3,釣魚島
934,3,丁關根
935,3,東北獨立
936,3,東部地下水路
937,3,東方紅時空
938,3,東方時空
939,3,東南西北論談
940,3,東社
941,3,東升
942,3,東條
943,3,東條英機
944,3,東突暴動
945,3,東突獨立
946,3,東土耳其斯坦
947,3,東西南北論壇
948,3,東亞
949,3,東院看守
950,3,動亂
951,3,鬥士哈夫拉蘇
952,3,鬥士霍克
953,3,獨裁
954,3,獨裁政治
955,3,獨夫
956,3,獨立臺灣會
957,3,俄國 
958,3,鮞
959,3,㈡
960,3,發楞
961,3,發掄
962,3,發掄功
963,3,發倫
964,3,發倫功
965,3,發輪
966,3,發論
967,3,發論公
968,3,發論功
969,3,發騷
970,3,發正念
971,3,法~倫
972,3,法~淪
973,3,法~綸
974,3,法~輪
975,3,法~論
976,3,法爾卡
977,3,法掄
978,3,法掄功
979,3,法侖
980,3,法淪
981,3,法綸
982,3,法輪大法
983,3,法輪功
984,3,法十輪十功
985,3,法謫
986,3,法謫功
987,3,反封鎖
988,3,反封鎖技術
989,3,反腐敗論壇
990,3,反人類
991,3,反社會
992,3,方勵之
993,3,防衛指揮官
994,3,放蕩
995,3,飛揚論壇
996,3,廢墟守護者
997,3,費鴻泰
998,3,費良勇
999,3,分隊長施蒂文
1000,3,粉飾太平
1001,3,糞便
1002,3,鱝
1003,3,豐饒的果實
1004,3,風雨神州
1005,3,風雨神州論壇
1006,3,封從德
1007,3,封殺
1008,3,封印的靈魂騎士
1009,3,馮東海
1010,3,馮素英
1011,3,紱
1012,3,襆
1013,3,嘸 
1014,3,傅作義
1015,3,幹bi
1016,3,幹逼
1017,3,幹比
1018,3,幹的你
1019,3,幹幹幹
1020,3,幹她
1021,3,幹你
1022,3,幹你老比
1023,3,幹你老母
1024,3,幹你娘
1025,3,幹全家
1026,3,幹死
1027,3,幹死你
1028,3,幹他
1029,3,幹一家
1030,3,趕你娘
1031,3,岡巒
1032,3,剛比
1033,3,剛比樣子
1034,3,崗哨士兵
1035,3,肛門
1036,3,高麗棒子
1037,3,高文謙
1038,3,高薪養廉
1039,3,高自聯
1040,3,膏藥旗
1041,3,戈瑞爾德
1042,3,戈揚
1043,3,鴿派
1044,3,歌功頌德
1045,3,格雷(關卡排名管理者)
1046,3,格魯
1047,3,格魯(城鎮移動)
1048,3,鯁
1049,3,工自聯
1050,3,弓雖
1051,3,共産
1052,3,共産黨
1053,3,共産主義
1054,3,共黨
1055,3,共軍
1056,3,共榮圈
1057,3,緱
1058,3,狗誠
1059,3,狗狼養的
1060,3,狗娘養的
1061,3,狗養
1062,3,狗雜種
1063,3,覯
1064,3,轂
1065,3,古龍祭壇
1066,3,骨獅
1067,3,鯝
1068,3,鴰
1069,3,詿
1070,3,關卓中
1071,3,貫通兩極法
1072,3,廣聞
1073,3,嬀
1074,3,龜兒子
1075,3,龜公
1076,3,龜孫子
1077,3,龜頭
1078,3,龜投
1079,3,劌
1080,3,緄
1081,3,滾那嗎
1082,3,滾那嗎B
1083,3,滾那嗎錯比
1084,3,滾那嗎老比
1085,3,滾那嗎瘟比
1086,3,鯀
1087,3,咼
1088,3,郭俊銘
1089,3,郭羅基
1090,3,郭岩華
1091,3,國家安全
1092,3,國家機密
1093,3,國軍
1094,3,國賊
1095,3,哈爾羅尼
1096,3,頇
1097,3,韓東方
1098,3,韓聯潮
1099,3,韓正
1100,3,漢奸
1101,3,顥
1102,3,灝
1103,3,河殤
1104,3,賀國强
1105,3,賀龍
1106,3,黑社會
1107,3,黑手黨
1108,3,紅燈區
1109,3,紅色恐怖
1110,3,紅炎猛獸
1111,3,洪傳
1112,3,洪興
1113,3,洪哲勝
1114,3,黌
1115,3,鱟
1116,3,胡緊掏
1117,3,胡錦滔
1118,3,胡錦淘
1119,3,胡景濤
1120,3,胡喬木
1121,3,胡總書記
1122,3,湖岸護衛兵
1123,3,湖岸警衛兵
1124,3,湖岸哨兵隊長
1125,3,護法
1126,3,鸌
1127,3,華建敏
1128,3,華通時事論壇
1129,3,華夏文摘
1130,3,華語世界論壇
1131,3,華岳時事論壇
1132,3,懷特
1133,3,鍰
1134,3,皇軍
1135,3,黃伯源
1136,3,黃慈萍
1137,3,黃禍
1138,3,黃劍輝
1139,3,黃金幼龍
1140,3,黃菊
1141,3,黃片
1142,3,黃翔
1143,3,黃義交
1144,3,黃仲生
1145,3,回民暴動
1146,3,噦
1147,3,繢
1148,3,毀滅步兵
1149,3,毀滅騎士
1150,3,毀滅射手
1151,3,昏迷圖騰
1152,3,混亂的圖騰
1153,3,鍃
1154,3,活動 
1155,3,擊倒圖騰
1156,3,擊傷的圖騰
1157,3,鶏8
1158,3,鶏八
1159,3,鶏巴
1160,3,鶏吧
1161,3,鶏鶏
1162,3,鶏奸
1163,3,鶏毛信文匯
1164,3,鶏女
1165,3,鶏院
1166,3,姬勝德
1167,3,積克館
1168,3,賫
1169,3,鱭
1170,3,賈廷安
1171,3,賈育台
1172,3,戔
1173,3,監視塔
1174,3,監視塔哨兵
1175,3,監視塔哨兵隊長
1176,3,鰹
1177,3,韉
1178,3,簡肇棟
1179,3,建國黨
1180,3,賤B
1181,3,賤bi
1182,3,賤逼
1183,3,賤比
1184,3,賤貨
1185,3,賤人
1186,3,賤種
1187,3,江八點
1188,3,江羅
1189,3,江綿恒
1190,3,江戲子
1191,3,江則民
1192,3,江澤慧
1193,3,江賊
1194,3,江賊民
1195,3,薑春雲
1196,3,將則民
1197,3,僵賊
1198,3,僵賊民
1199,3,講法
1200,3,蔣介石
1201,3,蔣中正
1202,3,降低命中的圖騰
1203,3,醬猪媳
1204,3,撟
1205,3,狡猾的達夫
1206,3,矯健的馬努爾
1207,3,嶠
1208,3,教養院
1209,3,癤
1210,3,揭批書
1211,3,訐
1212,3,她媽
1213,3,届中央政治局委員
1214,3,金槍不倒 
1215,3,金堯如
1216,3,金澤辰
1217,3,巹
1218,3,錦濤
1219,3,經文
1220,3,經血
1221,3,莖候佳陰
1222,3,荊棘護衛兵 
1223,3,靖國神社
1224,3,㈨
1225,3,舊斗篷哨兵
1226,3,齟
1227,3,巨槌騎兵
1228,3,巨鐵角哈克
1229,3,鋸齒通道被遺弃的骷髏
1230,3,鋸齒通道骷髏
1231,3,屨
1232,3,棬
1233,3,絕望之地
1234,3,譎
1235,3,軍妓
1236,3,開苞
1237,3,開放雜志
1238,3,凱奧勒尼什
1239,3,凱爾本
1240,3,凱爾雷斯
1241,3,凱特切爾
1242,3,砍翻一條街
1243,3,看中國
1244,3,闞
1245,3,靠你媽
1246,3,柯賜海
1247,3,柯建銘
1248,3,科萊爾
1249,3,克萊恩
1250,3,克萊特
1251,3,克勞森
1252,3,客戶服務
1253,3,緙
1254,3,空氣精靈
1255,3,空虛的伊坤
1256,3,空虛之地
1257,3,恐怖主義
1258,3,瞘
1259,3,嚳
1260,3,鄺錦文
1261,3,貺
1262,3,昆圖
1263,3,拉姆斯菲爾德
1264,3,拉皮條
1265,3,萊特
1266,3,賴士葆
1267,3,蘭迪
1268,3,爛B
1269,3,爛逼
1270,3,爛比
1271,3,爛袋
1272,3,爛貨
1273,3,濫B
1274,3,濫逼
1275,3,濫比
1276,3,濫貨
1277,3,濫交
1278,3,勞動教養所
1279,3,勞改
1280,3,勞教
1281,3,鰳
1282,3,雷尼亞
1283,3,誄
1284,3,李紅痔
1285,3,李洪寬
1286,3,李繼耐
1287,3,李蘭菊
1288,3,李老師
1289,3,李錄
1290,3,李祿
1291,3,李慶安
1292,3,李慶華
1293,3,李淑嫻
1294,3,李鐵映
1295,3,李旺陽
1296,3,李小鵬
1297,3,李月月鳥
1298,3,李志綏
1299,3,李總理
1300,3,李總統
1301,3,裏菲斯
1302,3,鱧
1303,3,轢
1304,3,躒
1305,3,奩
1306,3,連方瑀
1307,3,連惠心
1308,3,連勝德
1309,3,連勝文
1310,3,連戰
1311,3,聯總
1312,3,廉政大論壇
1313,3,煉功
1314,3,兩岸關係
1315,3,兩岸三地論壇
1316,3,兩個中國
1317,3,兩會
1318,3,兩會報道
1319,3,兩會新聞
1320,3,廖錫龍 
1321,3,林保華
1322,3,林長盛
1323,3,林佳龍
1324,3,林信義
1325,3,林正勝
1326,3,林重謨
1327,3,躪
1328,3,淩鋒
1329,3,劉賓深
1330,3,劉賓雁
1331,3,劉剛
1332,3,劉國凱
1333,3,劉華清
1334,3,劉俊國
1335,3,劉凱中
1336,3,劉千石
1337,3,劉青
1338,3,劉山青
1339,3,劉士賢
1340,3,劉文勝
1341,3,劉文雄
1342,3,劉曉波
1343,3,劉曉竹
1344,3,劉永川
1345,3,㈥
1346,3,鷚
1347,3,龍虎豹
1348,3,龍火之心
1349,3,盧卡
1350,3,盧西德
1351,3,陸委會
1352,3,輅
1353,3,呂京花
1354,3,呂秀蓮
1355,3,亂交
1356,3,亂倫
1357,3,亂輪
1358,3,鋝
1359,3,掄功
1360,3,倫功
1361,3,輪大
1362,3,輪功
1363,3,輪奸
1364,3,論壇管理員
1365,3,羅福助
1366,3,羅幹
1367,3,羅禮詩
1368,3,羅文嘉
1369,3,羅志明
1370,3,腡
1371,3,濼
1372,3,洛克菲爾特
1373,3,媽B
1374,3,媽比
1375,3,媽的
1376,3,媽批
1377,3,馬大維
1378,3,馬克思
1379,3,馬良駿
1380,3,馬三家
1381,3,馬時敏
1382,3,馬特斯
1383,3,馬英九
1384,3,馬永成
1385,3,瑪麗亞
1386,3,瑪雅
1387,3,嗎的
1388,3,嗎啡
1389,3,勱
1390,3,麥克斯
1391,3,賣逼
1392,3,賣比
1393,3,賣國
1394,3,賣騷
1395,3,賣淫
1396,3,瞞報
1397,3,毛厠洞
1398,3,毛賊
1399,3,毛賊東
1400,3,美國
1401,3,美國參考
1402,3,美國佬
1403,3,美國之音
1404,3,蒙獨
1405,3,蒙古達子
1406,3,蒙古獨
1407,3,蒙古獨立
1408,3,禰
1409,3,羋
1410,3,綿恒
1411,3,黽
1412,3,民國
1413,3,民進黨
1414,3,民聯
1415,3,民意論壇
1416,3,民陣
1417,3,民主墻
1418,3,緡
1419,3,湣
1420,3,鰵
1421,3,摸你鶏巴
1422,3,莫偉强
1423,3,木子論壇
1424,3,內褲
1425,3,內衣
1426,3,那嗎B
1427,3,那嗎逼
1428,3,那嗎錯比
1429,3,那嗎老比
1430,3,那嗎瘟比
1431,3,那娘錯比
1432,3,納粹
1433,3,奶頭
1434,3,南大自由論壇
1435,3,南蠻子
1436,3,鬧事
1437,3,能樣
1438,3,尼奧夫
1439,3,倪育賢
1440,3,鯢
1441,3,你媽
1442,3,你媽逼
1443,3,你媽比
1444,3,你媽的
1445,3,你媽了妹
1446,3,你說我說論壇
1447,3,你爺 
1448,3,娘餓比
1449,3,捏你鶏巴
1450,3,儂著岡巒
1451,3,儂著卵拋
1452,3,奴隸魔族士兵
1453,3,女幹
1454,3,女主人羅姬馬莉
1455,3,儺
1456,3,諾姆
1457,3,潘國平
1458,3,蹣 
1459,3,龐建國
