TID,Comment,BaseGoal,DetectRadius,WanderRadius,BattleRadius,BattleRestore,AttackSkill,AttackRate,Action01,Action02,Action03,Action04,Action05,Action06,Action07,Action08,Action09,Action10,Talk_01,Talk_02,Talk_03,Talk_04,Talk_05
21,Lv.10布雷斯莱斯护卫兵(5036),wander,0,10,40,1,100201|100202,50|50,MyHP|80|Rate|30|Skill|100203,,,,,,,,,,,,,,
22,Lv.10砂轮(7048),wander,0,10,40,1,100211|100212,50|50,MyHP|80|Rate|30|Skill|100213,,,,,,,,,,,,,,
23,Lv.11砂轮战士(7051),wander,0,10,40,1,100221|100222,50|50,MyHP|80|Rate|30|Skill|100223,,,,,,,,,,,,,,
24,Lv.11黑魔法师召唤师(5027),wander,0,10,40,1,100231|100232,50|50,MyHP|80|Rate|30|Skill|100233,,,,,,,,,,,,,,
25,Lv.12盗贼团战士(5034),wander,0,10,40,1,100241|100242,50|50,MyHP|80|Rate|30|Skill|100243,,,,,,,,,,,,,,
26,Lv.11盗贼团守卫(5037),wander,0,10,40,1,100251|100252,50|50,MyHP|80|Rate|30|Skill|100253,,,,,,,,,,,,,,
27,Lv.13小丛林蜘蛛(9030),wander,0,10,40,1,100261|100262,50|50,MyHP|80|Rate|30|Skill|100263,,,,,,,,,,,,,,
28,Lv.14丛林蜘蛛(9030),wander,0,10,40,1,100271|100272,50|50,MyHP|80|Rate|30|Skill|100273,,,,,,,,,,,,,,
29,Lv.14砂轮战士(7048),wander,0,10,40,1,100281|100282,50|50,MyHP|80|Rate|30|Skill|100283,,,,,,,,,,,,,,
30,Lv.14砂轮猎人(7052),wander,0,10,40,1,100291|100292,50|50,MyHP|80|Rate|30|Skill|100293,,,,,,,,,,,,,,
31,Lv.15砂轮巫师(7053),wander,0,10,40,1,100301|100302,50|50,MyHP|80|Rate|30|Skill|100303,,,,,,,,,,,,,,
32,Lv.15小狼人(9027),wander,0,10,40,1,100311|100312,50|50,MyHP|80|Rate|30|Skill|100313,,,,,,,,,,,,,,
33,Lv.16灰色狼人(9028),wander,0,10,40,1,100321|100322,50|50,MyHP|80|Rate|30|Skill|100323,,,,,,,,,,,,,,
34,Lv.16复活的尸体(7009),wander,0,10,40,1,100331|100332,50|50,MyHP|80|Rate|30|Skill|100333,,,,,,,,,,,,,,
35,Lv.17腐烂的尸体(7009),wander,0,10,40,1,100341|100342,50|50,MyHP|80|Rate|30|Skill|100343,,,,,,,,,,,,,,
36,Lv.18空虚的邪念(5003),wander,0,10,40,1,100351|100352,50|50,MyHP|80|Rate|30|Skill|100353,,,,,,,,,,,,,,
37,Lv.16大蜘蛛(9030),wander,0,10,40,1,100361|100362,50|50,MyHP|80|Rate|30|Skill|100363,,,,,,,,,,,,,,
38,Lv.17巨大的蜘蛛战士(9032),wander,0,10,40,1,100371|100372,50|50,MyHP|80|Rate|30|Skill|100373,,,,,,,,,,,,,,
39,Lv.17黑魔法师召唤师(5027),wander,0,10,40,1,100381|100382,50|50,MyHP|80|Rate|30|Skill|100383,,,,,,,,,,,,,,
40,Lv.17小斯皮克艾尔(9001)-无攻击技能,wander,0,10,40,1,100391|100392,50|50,,,,,,,,,,,,,,,
41,Lv.17斯皮克艾尔(9002)-无攻击技能,wander,0,10,40,1,100401|100402,50|50,,,,,,,,,,,,,,,
42,Lv.19被遗忘的尸体(7010),wander,0,10,40,1,100411|100412,50|50,MyHP|80|Rate|30|Skill|100413,,,,,,,,,,,,,,
43,Lv.20扭曲的尸体(7011),wander,0,10,40,1,100421|100422,50|50,MyHP|80|Rate|30|Skill|100423,,,,,,,,,,,,,,
44,Lv.17复活的骑士(1000),wander,0,10,40,1,100431|100432,50|50,MyHP|80|Rate|30|Skill|100433,,,,,,,,,,,,,,
45,Lv.18幽灵骑士(7063),wander,0,10,40,1,100441|100442,50|50,MyHP|80|Rate|30|Skill|100443,,,,,,,,,,,,,,
46,Lv.19堕落的护卫兵(1001),wander,0,10,40,1,100451|100452,50|50,MyHP|80|Rate|30|Skill|100453,,,,,,,,,,,,,,
47,Lv.20堕落的护卫骑士(1002),wander,0,10,40,1,100461|100462,50|50,MyHP|80|Rate|30|Skill|100463,,,,,,,,,,,,,,
48,Lv.19戴穆里申巡逻兵(700),wander,0,10,40,1,100471|100472,50|50,MyHP|80|Rate|30|Skill|100473,,,,,,,,,,,,,,
49,Lv.19戴穆里申巡逻兵(701),wander,0,10,40,1,100481|100482,50|50,MyHP|80|Rate|30|Skill|100483,,,,,,,,,,,,,,
50,Lv.19堕落的强攻兵(700),wander,0,10,40,1,100491|100492,50|50,MyHP|80|Rate|30|Skill|100493,,,,,,,,,,,,,,
51,Lv.18地狱猎犬(5027),wander,0,10,40,1,100501|100502,50|50,MyHP|80|Rate|30|Skill|100503,,,,,,,,,,,,,,
52,Lv.19空虚的邪念(1000),wander,0,10,40,1,100511|100512,50|50,MyHP|80|Rate|30|Skill|100513,,,,,,,,,,,,,,
53,Lv.20空虚的邪念(1000),wander,0,10,40,1,100521|100522,50|50,MyHP|80|Rate|30|Skill|100523,,,,,,,,,,,,,,
54,Lv.21恶梦的引导者(1006),wander,0,10,40,1,100531|100532,50|50,MyHP|80|Rate|30|Skill|100533,,,,,,,,,,,,,,
55,Lv.21恶梦的刽子手(1007),wander,0,10,40,1,100541|100542,50|50,MyHP|80|Rate|30|Skill|100543,,,,,,,,,,,,,,
56,Lv.21恶梦的捕食者(1007),wander,0,10,40,1,100551|100552,50|50,MyHP|80|Rate|30|Skill|100553,,,,,,,,,,,,,,
57,Lv.22恶梦的攻击者(1008),wander,0,10,40,1,100561|100562,50|50,MyHP|80|Rate|30|Skill|100563,,,,,,,,,,,,,,
58,Lv.22采矿用魔石(1018),wander,0,10,40,1,100571|100572,50|50,MyHP|80|Rate|30|Skill|100573,,,,,,,,,,,,,,
59,Lv.22彷徨的魔石(1018),wander,0,10,40,1,100581|100582,50|50,MyHP|80|Rate|30|Skill|100583,,,,,,,,,,,,,,
60,Lv.23彷徨的红色魔石(1019),wander,0,10,40,1,100591|100592,50|50,MyHP|80|Rate|30|Skill|100593,,,,,,,,,,,,,,
61,Lv.22红色蝎子盗贼团采矿魔石(1019),wander,0,10,40,1,100601|100602,50|50,MyHP|80|Rate|30|Skill|100603,,,,,,,,,,,,,,
62,Lv.22红色蝎子盗贼团盗墓者(5036),wander,0,10,40,1,100611|100612,50|50,MyHP|80|Rate|30|Skill|100613,,,,,,,,,,,,,,
63,Lv.23鲁阿克的沙蚁奴隶(5048),wander,0,10,40,1,100621|100622,50|50,MyHP|80|Rate|30|Skill|100623,,,,,,,,,,,,,,
64,Lv.24鲁阿克的沙蚁士兵,wander,0,10,40,1,100631|100632,50|50,MyHP|80|Rate|30|Skill|100633,,,,,,,,,,,,,,
65,Lv.23红色蝎子盗贼团警卫魔石(1019),wander,0,10,40,1,100641|100642,50|50,MyHP|80|Rate|30|Skill|100643,,,,,,,,,,,,,,
66,Lv.24红色蝎子盗贼团盗贼(5033),wander,0,10,40,1,100651|100652,50|50,MyHP|80|Rate|30|Skill|100653,,,,,,,,,,,,,,
67,Lv.24红色蝎子盗贼团强盗(5036),wander,0,10,40,1,100661|100662,50|50,MyHP|80|Rate|30|Skill|100663,,,,,,,,,,,,,,
68,Lv.24红色蝎子盗贼团刺客(5033),wander,0,10,40,1,100671|100672,50|50,MyHP|80|Rate|30|Skill|100673,,,,,,,,,,,,,,
69,Lv.24红色蝎子盗贼团铁匠(5033),wander,0,10,40,1,100681|100682,50|50,MyHP|80|Rate|30|Skill|100683,,,,,,,,,,,,,,
70,Lv.25艾克奈克哨兵(5054),wander,0,10,40,1,100691|100692,50|50,MyHP|80|Rate|30|Skill|100693,,,,,,,,,,,,,,
71,Lv.25艾克奈克哨兵嘉德(5055),wander,0,10,40,1,100701|100702,50|50,MyHP|80|Rate|30|Skill|100703,,,,,,,,,,,,,,
72,Lv.25纳克的沙蚁奴隶(5048),wander,0,10,40,1,100711|100712,50|50,MyHP|80|Rate|30|Skill|100713,,,,,,,,,,,,,,
73,Lv.25纳克的沙蚁战士(5049),wander,0,10,40,1,100721|100722,50|50,MyHP|80|Rate|30|Skill|100723,,,,,,,,,,,,,,
74,Lv.26红色蝎子盗贼团战斗魔石(7001),wander,0,10,40,1,100731|100732,50|50,MyHP|80|Rate|30|Skill|100733,,,,,,,,,,,,,,
75,Lv.26红色蝎子盗贼团巡逻兵(5033),wander,0,10,40,1,100741|100742,50|50,MyHP|80|Rate|30|Skill|100743,,,,,,,,,,,,,,
76,Lv.26红色蝎子盗贼团攻击者(5036),wander,0,10,40,1,100751|100752,50|50,MyHP|80|Rate|30|Skill|100753,,,,,,,,,,,,,,
77,Lv.26暴走的卡伊乐警卫魔石(7001),wander,0,10,40,1,100761|100762,50|50,MyHP|80|Rate|30|Skill|100763,,,,,,,,,,,,,,
78,Lv.26坡鲁耐易特(3021),wander,0,10,40,1,100771|100772,50|50,MyHP|80|Rate|30|Skill|100773,,,,,,,,,,,,,,
79,Lv.27黑色碎片坡鲁耐易特(3022),wander,0,10,40,1,100781|100782,50|50,MyHP|80|Rate|30|Skill|100783,,,,,,,,,,,,,,
80,Lv.27耐克鲁斯(5046),wander,0,10,40,1,100791|100792,50|50,MyHP|80|Rate|30|Skill|100793,,,,,,,,,,,,,,
81,Lv.28纳克鲁斯(5045),wander,0,10,40,1,100801|100802,50|50,MyHP|80|Rate|30|Skill|100803,,,,,,,,,,,,,,
82,Lv.27盗贼团的掉队者(5036),wander,0,10,40,1,100811|100812,50|50,MyHP|80|Rate|30|Skill|100813,,,,,,,,,,,,,,
83,Lv.28硫磺魔石(7000),wander,0,10,40,1,100821|100822,50|50,MyHP|80|Rate|30|Skill|100823,,,,,,,,,,,,,,
84,Lv.28赫尔德的帮凶(5015),wander,0,10,40,1,100831|100832,50|50,MyHP|80|Rate|30|Skill|100833,,,,,,,,,,,,,,
85,Lv.29赫尔德的追随者(5016),wander,0,10,40,1,100841|100842,50|50,MyHP|80|Rate|30|Skill|100843,,,,,,,,,,,,,,
86,Lv.29赫尔德的攻击者(5016),wander,0,10,40,1,100851|100852,50|50,MyHP|80|Rate|30|Skill|100853,,,,,,,,,,,,,,
87,Lv.29怪形雕刻像(7015),wander,0,10,40,1,100861|100862,50|50,MyHP|80|Rate|30|Skill|100863,,,,,,,,,,,,,,
88,Lv.29灰色的怪形雕刻像(7015),wander,0,10,40,1,100871|100872,50|50,MyHP|80|Rate|30|Skill|100873,,,,,,,,,,,,,,
89,Lv.29红色的怪形雕刻像(7016),wander,0,10,40,1,100881|100882,50|50,MyHP|80|Rate|30|Skill|100883,,,,,,,,,,,,,,
90,Lv.30鲁库斯的哨兵(5055),wander,0,10,40,1,100891|100892,50|50,MyHP|80|Rate|30|Skill|100893,,,,,,,,,,,,,,
91,Lv.30戴穆里申????(702),wander,0,10,40,1,100901|100902,50|50,MyHP|80|Rate|30|Skill|100903,,,,,,,,,,,,,,
92,Lv.25可疑的士兵(非先攻)(9042),wander,0,10,40,1,100911|100912,50|50,MyHP|80|Rate|30|Skill|100913,,,,,,,,,,,,,,
93,Lv.31雷伊谬特(5051),wander,0,10,40,1,100921|100922,50|50,MyHP|80|Rate|30|Skill|100923,,,,,,,,,,,,,,
94,Lv.31雷伊诺弗(5066),wander,0,10,40,1,100931|100932,50|50,MyHP|80|Rate|30|Skill|100933,,,,,,,,,,,,,,
95,Lv.32贝勒内斯(5052),wander,0,10,40,1,105831|105832,50|50,MyHP|80|Rate|30|Skill|105833,,,,,,,,,,,,,,
96,Lv.32贝勒诺德(5053),wander,0,10,40,1,100951|100952,50|50,MyHP|80|Rate|30|Skill|100953,,,,,,,,,,,,,,
97,Lv.31雷伊喷特(9015),wander,0,10,40,1,101431|101432,50|50,MyHP|80|Rate|30|Skill|101433,,,,,,,,,,,,,,
98,Lv.32夜警(9016),wander,0,10,40,1,101441|101442,50|50,MyHP|80|Rate|30|Skill|101443,,,,,,,,,,,,,,
99,Lv.32卡伦一族的突击兵(7027),wander,0,10,40,1,101451|101452,50|50,MyHP|80|Rate|30|Skill|101453,,,,,,,,,,,,,,
100,Lv.32突击队长罗伊蒂(7043),wander,0,10,40,1,101461|101462,50|50,MyHP|80|Rate|30|Skill|101463,,,,,,,,,,,,,,
101,Lv.32卡伦一族的战士(7027),wander,0,10,40,1,100961|100962,50|50,MyHP|80|Rate|30|Skill|100963,,,,,,,,,,,,,,
102,Lv.32卡伦一族的猎人(7028),wander,0,10,40,1,100971|100972,50|50,MyHP|80|Rate|30|Skill|100973,,,,,,,,,,,,,,
103,Lv.32卡伦一族的巫师(7029),wander,0,10,40,1,100981|100982,50|50,MyHP|80|Rate|30|Skill|100983,,,,,,,,,,,,,,
104,Lv.33族长凯内尔(7042),wander,0,10,40,1,100991|100992,50|50,MyHP|80|Rate|30|Skill|100993,,,,,,,,,,,,,,
105,Lv.33顾问扎伊德(7044),wander,0,10,40,1,101001|101002,50|50,MyHP|80|Rate|30|Skill|101003,,,,,,,,,,,,,,
106,Lv.32黑幕部队的巫师(702),wander,0,10,40,1,101481|101482,50|50,MyHP|80|Rate|30|Skill|101483,,,,,,,,,,,,,,
107,Lv.32黑幕部队的巡逻兵(702),wander,0,10,40,1,101491|101492,50|50,MyHP|80|Rate|30|Skill|101493,,,,,,,,,,,,,,
108,Lv.33莫斯鲁的幼体(5024),wander,0,10,40,1,101501|101502,50|50,MyHP|80|Rate|30|Skill|101503,,,,,,,,,,,,,,
109,Lv.33小卡伦一族(7027),wander,0,10,40,1,101511|101512,50|50,MyHP|80|Rate|30|Skill|101503,,,,,,,,,,,,,,
110,Lv.33莫斯鲁(5024),wander,0,10,40,1,101011|101012,50|50,MyHP|80|Rate|30|Skill|101013,,,,,,,,,,,,,,
111,Lv.33莫斯鲁哏特(5025),wander,0,10,40,1,101021|101022,50|50,MyHP|80|Rate|30|Skill|101023,,,,,,,,,,,,,,
112,Lv.34莫斯鲁门卫(5026),wander,0,10,40,1,101031|101032,50|50,MyHP|80|Rate|30|Skill|101033,,,,,,,,,,,,,,
113,Lv.33贝德魔石(7001),wander,0,10,40,1,101041|101042,50|50,MyHP|80|Rate|30|Skill|101043,,,,,,,,,,,,,,
114,Lv.34指挥魔石克雷伊盾(7002),wander,0,10,40,1,101051|101052,50|50,MyHP|80|Rate|30|Skill|101053,,,,,,,,,,,,,,
115,Lv.34奈泰伦的居民(7010),wander,0,10,40,1,101061|101062,50|50,MyHP|80|Rate|30|Skill|101063,,,,,,,,,,,,,,
116,Lv.34扭曲的奈泰伦??(7011),wander,0,10,40,1,101071|101072,50|50,MyHP|80|Rate|30|Skill|101073,,,,,,,,,,,,,,
117,Lv.35堕落的指挥者格雷高力(5017),wander,0,10,40,1,101081|101082,50|50,MyHP|80|Rate|30|Skill|101083,,,,,,,,,,,,,,
118,Lv.34堕落的阿泰伦(7010),wander,0,10,40,1,101531|101532,50|50,MyHP|80|Rate|30|Skill|101533,,,,,,,,,,,,,,
119,Lv.34堕落的克里斯汀(7010),wander,0,10,40,1,101541|101542,50|50,MyHP|80|Rate|30|Skill|101543,,,,,,,,,,,,,,
120,Lv.34堕落的艾伊兰(7011),wander,0,10,40,1,101551|101552,50|50,MyHP|80|Rate|30|Skill|101553,,,,,,,,,,,,,,
121,Lv.34堕落的树精灵(5012),wander,0,10,40,1,101091|101092,50|50,MyHP|80|Rate|30|Skill|101093,,,,,,,,,,,,,,
122,Lv.35堕落的守护者洛斯提雅(5014),wander,0,10,40,1,105431|105432,50|50,MyHP|80|Rate|30|Skill|105433,,,,,,,,,,,,,,
123,Lv.34黑幕部队的斧头兵(700),wander,0,10,40,1,101111|101112,50|50,MyHP|80|Rate|30|Skill|101113,,,,,,,,,,,,,,
124,Lv.34黑幕部队的弓箭手(701),wander,0,10,40,1,101121|101122,50|50,MyHP|80|Rate|30|Skill|101123,,,,,,,,,,,,,,
125,Lv.34黑幕部队的魔法师(702),wander,0,10,40,1,101131|101132,50|50,MyHP|80|Rate|30|Skill|101133,,,,,,,,,,,,,,
126,Lv.35黑幕部队的护卫兵(702),wander,0,10,40,1,101311|101312,50|50,MyHP|80|Rate|30|Skill|101313,,,,,,,,,,,,,,
127,Lv.35指挥官克拉内斯(700),wander,0,10,40,1,101111|101112,50|50,MyHP|80|Rate|30|Skill|101113,,,,,,,,,,,,,,
128,Lv.35痛苦的死者(7011),wander,0,10,40,1,101571|101572,50|50,MyHP|80|Rate|30|Skill|101573,,,,,,,,,,,,,,
129,Lv.35宪兵(1021),wander,0,10,40,1,101151|101152,50|50,MyHP|80|Rate|30|Skill|101153,,,,,,,,,,,,,,
130,Lv.35虚弱的宪兵(1021),wander,0,10,40,1,101561|101562,50|50,MyHP|80|Rate|30|Skill|101563,,,,,,,,,,,,,,
131,Lv.36斩杀者列凯勒特(1023),wander,0,10,40,1,105421|105422,50|50,MyHP|80|Rate|30|Skill|105423,,,,,,,,,,,,,,
132,Lv.36混乱的喇叭部队巫师(702),wander,0,10,40,1,101581|101582,50|50,MyHP|80|Rate|30|Skill|101583,,,,,,,,,,,,,,
133,Lv.36混乱的喇叭部队召唤师(5015),wander,0,10,40,1,101591|101592,50|50,MyHP|80|Rate|30|Skill|101593,,,,,,,,,,,,,,
134,Lv.36被污染的树精灵(5013),wander,0,10,40,1,105291|105292,50|50,MyHP|80|Rate|30|Skill|105293,,,,,,,,,,,,,,
135,Lv.37被污染的守护者贝勒皿(5014),wander,0,10,40,1,105431|105432,50|50,MyHP|80|Rate|30|Skill|105433,,,,,,,,,,,,,,
136,Lv.37扭曲的攻击者(7010),wander,0,10,40,1,101601|101602,50|50,MyHP|80|Rate|30|Skill|101603,,,,,,,,,,,,,,
137,Lv.37堕落的精灵守护者(9029),wander,0,10,40,1,101611|101612,50|50,MyHP|80|Rate|30|Skill|101613,,,,,,,,,,,,,,
138,Lv.37纯洁的阿特里斯(9035),wander,0,10,40,1,101621|101622,50|50,MyHP|80|Rate|30|Skill|101623,,,,,,,,,,,,,,
139,Lv.37斩杀部队的牺牲者(7010),wander,0,10,40,1,101191|101192,50|50,MyHP|80|Rate|30|Skill|101193,,,,,,,,,,,,,,
140,Lv.37斩杀部队的冤魂(7011),wander,0,10,40,1,101201|101202,50|50,MyHP|80|Rate|30|Skill|101203,,,,,,,,,,,,,,
141,Lv.38堕落的指挥者纳塔雷斯(5017),wander,0,10,40,1,101081|101082,50|50,MyHP|80|Rate|30|Skill|101083,,,,,,,,,,,,,,
142,Lv.37堕落的诺亚(7010),wander,0,10,40,1,101631|101632,50|50,MyHP|80|Rate|30|Skill|101633,,,,,,,,,,,,,,
143,Lv.37贝伊诺夫(5067),wander,0,10,40,1,101221|101222,50|50,MyHP|80|Rate|30|Skill|101223,,,,,,,,,,,,,,
144,Lv.38贝伊内于(5069),wander,0,10,40,1,101231|101232,50|50,MyHP|80|Rate|30|Skill|101233,,,,,,,,,,,,,,
145,Lv.38红色之床扎卡德(5068),wander,0,10,40,1,101241|101242,50|50,MyHP|80|Rate|30|Skill|101243,,,,,,,,,,,,,,
146,Lv.39钢指克里德(5071),wander,0,10,40,1,101251|101252,50|50,MyHP|80|Rate|30|Skill|101253,,,,,,,,,,,,,,
147,Lv.38受到诅咒的门艾尔普(3024),wander,0,10,40,1,101261|101262,50|50,MyHP|80|Rate|30|Skill|101263,,,,,,,,,,,,,,
148,Lv.38受到诅咒的门艾尔普(3025),wander,0,10,40,1,101271|101272,50|50,MyHP|80|Rate|30|Skill|101273,,,,,,,,,,,,,,
149,Lv.39染上黑暗的艾伊内雅(3026),wander,0,10,40,1,101281|101282,50|50,MyHP|80|Rate|30|Skill|101283,,,,,,,,,,,,,,
150,Lv.39血之斧头部队突击兵(700),wander,0,10,40,1,101641|101642,50|50,MyHP|80|Rate|30|Skill|101643,,,,,,,,,,,,,,
151,Lv.39血之斧头部队狙击手(701),wander,0,10,40,1,101651|101652,50|50,MyHP|80|Rate|30|Skill|101653,,,,,,,,,,,,,,
152,Lv.39血之斧头部队斧头兵(700),wander,0,10,40,1,101291|101292,50|50,MyHP|80|Rate|30|Skill|101293,,,,,,,,,,,,,,
153,Lv.39血之斧头部队弓箭手(701),wander,0,10,40,1,101301|101302,50|50,MyHP|80|Rate|30|Skill|101303,,,,,,,,,,,,,,
154,Lv.39血之斧头部队魔法师(702),wander,0,10,40,1,101311|101312,50|50,MyHP|80|Rate|30|Skill|101313,,,,,,,,,,,,,,
155,Lv.40指挥官雷伊莎克(700),wander,0,10,40,1,101321|101322,50|50,MyHP|80|Rate|30|Skill|101323,,,,,,,,,,,,,,
156,Lv.39血之斧头部队侦察兵(700),wander,0,10,40,1,101331|101332,50|50,MyHP|80|Rate|30|Skill|101333,,,,,,,,,,,,,,
157,Lv.39血之斧头部队巡逻兵(701),wander,0,10,40,1,101341|101342,50|50,MyHP|80|Rate|30|Skill|101343,,,,,,,,,,,,,,
158,Lv.39刽子手布雷德洛斯(700),wander,0,10,40,1,110421|110422,50|50,MyHP|80|Rate|30|Skill|110423,,,,,,,,,,,,,,
159,Lv.39刽子手克纳勒(701),wander,0,10,40,1,110431|110432,50|50,MyHP|80|Rate|30|Skill|110433,,,,,,,,,,,,,,
160,Lv.40队长海瑟(701),wander,0,10,40,1,101351|101352,50|50,MyHP|80|Rate|30|Skill|101353,,,,,,,,,,,,,,
161,Lv.39可疑的魔法师(702),wander,0,10,40,1,101661|101662,50|50,MyHP|80|Rate|30|Skill|101663,,,,,,,,,,,,,,
162,Lv.40血之斧头部队刽子手(700),wander,0,10,40,1,101671|101672,50|50,MyHP|80|Rate|30|Skill|101673,,,,,,,,,,,,,,
163,Lv.40可疑的警备军(9042),wander,0,10,40,1,101681|101682,50|50,MyHP|80|Rate|30|Skill|101683,,,,,,,,,,,,,,
164,Lv.40混乱的骑士(3003),wander,0,10,40,1,101361|101362,50|50,MyHP|80|Rate|30|Skill|101363,,,,,,,,,,,,,,
165,Lv.40恐怖的骑士(3004),wander,0,10,40,1,101371|101372,50|50,MyHP|80|Rate|30|Skill|101373,,,,,,,,,,,,,,
166,Lv.41骑士司令布里坚(3004),wander,0,10,40,1,101381|101382,50|50,MyHP|80|Rate|30|Skill|101383,,,,,,,,,,,,,,
167,Lv.40骷髅士兵(7070),wander,0,10,40,1,101391|101392,50|50,MyHP|80|Rate|30|Skill|101393,,,,,,,,,,,,,,
168,Lv.40骷髅战士(7071),wander,0,10,40,1,101401|101402,50|50,MyHP|80|Rate|30|Skill|101403,,,,,,,,,,,,,,
169,Lv.2哥布林莲池的捕食者(7003),wander,0,10,40,1,106231|106232,50|50,MyHP|80|Rate|30|Skill|106233,,,,,,,,,,,,,,
170,Lv.3哥布林山坡的捕食者(7003),wander,0,10,40,1,106241|106242,50|50,MyHP|80|Rate|30|Skill|106243,,,,,,,,,,,,,,
171,Lv.5戴穆里申黑魔法师(702),wander,0,10,40,1,106251|106252,50|50,MyHP|80|Rate|30|Skill|106253,,,,,,,,,,,,,,
172,Lv.7哥布林的战斗队长(7004),wander,0,10,40,1,106261|106262,50|50,MyHP|80|Rate|30|Skill|106263,,,,,,,,,,,,,,
173,Lv.7北神的驯兽师(7005),wander,0,10,40,1,106271|106272,50|50,MyHP|80|Rate|30|Skill|106273,,,,,,,,,,,,,,
174,Lv.41暴乱的哈拉兆普(1027),wander,0,10,40,1,101691|101692,50|50,MyHP|80|Rate|30|Skill|101693,,,,,,,,,,,,,,
175,Lv.41愤怒的哈拉兆普(1028),wander,0,10,40,1,101701|101702,50|50,MyHP|80|Rate|30|Skill|101703,,,,,,,,,,,,,,
176,Lv.41气势汹汹的哈拉兆普(1027),wander,0,10,40,1,101711|101712,50|50,MyHP|80|Rate|30|Skill|101713,,,,,,,,,,,,,,
177,Lv.41红色斑点哈拉兆普(1028),wander,0,10,40,1,101721|101722,50|50,MyHP|80|Rate|30|Skill|101723,,,,,,,,,,,,,,
178,Lv.41愤怒的贝伊内俄(5069),wander,0,10,40,1,101731|101732,50|50,MyHP|80|Rate|30|Skill|101733,,,,,,,,,,,,,,
