TID,Position,String,EngContents,LocalContents,System_Voice,FontColor,FontSize,Comment
25,0,WORD_ARMOR_LEGS,MST_Contents_000025,腰带,,"255,255,0",10,提示中的物品种类
26,0,WORD_ARMOR_SHOES,MST_Contents_000026,鞋,,"255,255,0",10,提示中的物品种类
27,0,WORD_ARMOR_CAPE,MST_Contents_000027,披风,,"255,255,0",10,提示中的物品种类
28,0,WORD_WEAPON_SHIELD,MST_Contents_000028,盾牌,,"255,255,0",10,提示中的物品种类
29,0,WORD_WEAPON_LANCE,MST_Contents_000029,长枪,,"255,255,0",10,提示中的物品种类
30,0,WORD_WEAPON_STAFF,MST_Contents_000030,手杖,,"255,255,0",10,提示中的物品种类
31,0,WORD_WEAPON_AXE,MST_Contents_000031,斧头,,"255,255,0",10,提示中的物品种类
32,0,WORD_WEAPON_BOW,MST_Contents_000032,弓箭,,"255,255,0",10,提示中的物品种类
33,0,WORD_WEAPON_CHAKRAM,MST_Contents_000033,环刃,,"255,255,0",10,提示中的物品种类
34,0,WORD_WEAPON_CANNON,MST_Contents_000034,大炮,,"255,255,0",10,提示中的物品种类
35,0,WORD_WEAPON_DAGGER,MST_Contents_000035,短剑,,"255,255,0",10,提示中的物品种类
36,0,WORD_WEAPON_ORB,MST_Contents_000036,玄机,,"255,255,0",10,提示中的物品种类
37,0,WORD_WEAPON_MAGICGUN,MST_Contents_000037,魔弹枪,,"255,255,0",10,提示中的物品种类
38,0,WORD_WEAPON_SWORD,MST_Contents_000038,单手剑,,"255,255,0",10,提示中的物品种类
39,0,WORD_WEAPON_BLADE,MST_Contents_000039,双手剑,,"255,255,0",10,提示中的物品种类
40,0,WORD_WEAPON_ARBALEST,MST_Contents_000040,石弓,,"255,255,0",10,提示中的物品种类
41,0,WORD_WEAPON_WAND,MST_Contents_000041,魔杖,,"255,255,0",10,提示中的物品种类
42,0,WORD_LEVELUP_CHARACTER,MST_Contents_000042,角色,,"255,255,0",10,依据等级角色表示字符串
43,0,WORD_ACCESSORY_NECKLACE,MST_Contents_000043,项链,,"255,255,0",10,提示中的物品种类
44,0,WORD_ACCESSORY_RING,MST_Contents_000044,戒指,,"255,255,0",10,提示中的物品种类
45,0,WORD_AVATAR_HEAD,MST_Contents_000045,时装-头,,"255,255,0",10,提示中的物品种类
46,0,WORD_AVATAR_CHEST,MST_Contents_000046,时装-铠甲,,"255,255,0",10,提示中的物品种类
47,0,WORD_AVATAR_HANDS,MST_Contents_000047,时装-手,,"255,255,0",10,提示中的物品种类
48,0,WORD_AVATAR_LEGS,MST_Contents_000048,时装-腰带,,"255,255,0",10,提示中的物品种类
49,0,WORD_AVATAR_SHOES,MST_Contents_000049,时装-脚,,"255,255,0",10,提示中的物品种类
50,0,WORD_AVATAR_CAPE,MST_Contents_000050,时装-披风,,"255,255,0",10,提示中的物品种类
51,0,WORD_AVATAR_NECKLACE,MST_Contents_000051,时装-项链,,"255,255,0",10,提示中的物品种类
52,0,WORD_AVATAR_RING,MST_Contents_000052,时装-戒指,,"255,255,0",10,提示中的物品种类
53,0,WORD_AVATAR_COAT,MST_Contents_000053,时装-外套,,"255,255,0",10,提示中的物品种类
54,0,WORD_CONSUMABLES,MST_Contents_000054,消耗品,,"255,255,0",10,提示中的物品种类
55,0,WORD_AVATAR,MST_Contents_000055,时装,,"255,255,0",10,拍卖场商店中使用
56,0,WORD_RIDE,MST_Contents_000056,坐骑,,"255,255,0",10,拍卖场商店中使用
57,0,WORD_TOOLTIP_QUESTITEM,MST_Contents_000057,任务物品,,"255,255,0",10,物品提示的物品种类
58,0,WORD_TOOLTIP_ETCITEM,MST_Contents_000058,特别,,"255,255,0",10,物品提示的物品种类
59,0,WORD_TOOLTIP_MATERIAL,MST_Contents_000059,一般材料,,"255,255,0",10,物品提示的物品种类
60,0,WORD_TOOLTIP_CATALYST,MST_Contents_000060,强化催化剂,,"255,255,0",10,物品提示的物品种类
61,0,WORD_TOOLTIP_STABILITY,MST_Contents_000061,强化安定剂,,"255,255,0",10,物品提示的物品种类
62,0,WORD_TOOLTIP_MEDIUM,MST_Contents_000062,炼金术媒介,,"255,255,0",10,物品提示的物品种类
63,0,WORD_TOOLTIP_SKILLMATERIAL,MST_Contents_000063,技能材料,,"255,255,0",10,物品提示的物品种类
64,0,WORD_TOOLTIP_STONE_COMMON,MST_Contents_000064,灵石(通用),,"255,255,0",10,提示中的物品种类
65,0,WORD_TOOLTIP_STONE_ARMOR,MST_Contents_000065,灵石(防御品专用),,"255,255,0",10,提示中的物品种类
66,0,WORD_TOOLTIP_STONE_WEAPON,MST_Contents_000066,灵石(饰品专用),,"255,255,0",10,提示中的物品种类
67,0,WORD_TOOLTIP_STONE_ACCESSORY,MST_Contents_000067,灵石(武器专用),,"255,255,0",10,提示中的物品种类
68,0,WORD_TOOLTIP_RECIPE_WEAPON,MST_Contents_000068,配方(武器制作),,"255,255,0",10,物品提示的物品种类
69,0,WORD_TOOLTIP_RECIPE_ARMOR,MST_Contents_000069,配方(防御品制作),,"255,255,0",10,物品提示的物品种类
70,0,WORD_TOOLTIP_RECIPE_COOK,MST_Contents_000070,配方(食物制作),,"255,255,0",10,物品提示的物品种类
71,0,WORD_TOOLTIP_RECIPE_WORK,MST_Contents_000071,配方(饰品制作),,"255,255,0",10,物品提示的物品种类
72,0,WORD_TOOLTIP_RECIPE_POTION,MST_Contents_000072,配方(药水制作),,"255,255,0",10,物品提示的物品种类
73,0,WORD_TOOLTIP_EVENT,MST_Contents_000073,礼品促销活动,,"255,255,0",10,物品提示的物品种类
74,0,WORD_TOOLTIP_BOX_RANDOM,MST_Contents_000074,随机物品,,"255,255,0",10,物品提示的物品种类
75,0,WORD_TOOLTIP_BOX_GIFT,MST_Contents_000075,礼物,,"255,255,0",10,物品提示的物品种类
76,0,WORD_WEAPON_LANCE_LIMIT,MST_Contents_000076,长枪熟练度,,"255,255,0",10,提示中的物品种类
77,0,WORD_WEAPON_STAFF_LIMIT,MST_Contents_000077,手杖熟练度,,"255,255,0",10,提示中的物品种类
78,0,WORD_WEAPON_AXE_LIMIT,MST_Contents_000078,斧头熟练度,,"255,255,0",10,提示中的物品种类
79,0,WORD_WEAPON_BOW_LIMIT,MST_Contents_000079,弓箭熟练度,,"255,255,0",10,提示中的物品种类
80,0,WORD_WEAPON_CHAKRAM_LIMIT,MST_Contents_000080,环刃熟练度,,"255,255,0",10,提示中的物品种类
81,0,WORD_WEAPON_CANNON_LIMIT,MST_Contents_000081,大炮熟练度,,"255,255,0",10,提示中的物品种类
82,0,WORD_WEAPON_DAGGER_LIMIT,MST_Contents_000082,短剑熟练度,,"255,255,0",10,提示中的物品种类
83,0,WORD_WEAPON_ORB_LIMIT,MST_Contents_000083,玄机熟练度,,"255,255,0",10,提示中的物品种类
84,0,WORD_WEAPON_MAGICGUN_LIMIT,MST_Contents_000084,魔弹枪熟练度,,"255,255,0",10,提示中的物品种类
85,0,WORD_WEAPON_SWORD_LIMIT,MST_Contents_000085,单手剑熟练度,,"255,255,0",10,提示中的物品种类
86,0,WORD_WEAPON_BLADE_LIMIT,MST_Contents_000086,双手剑熟练度,,"255,255,0",10,提示中的物品种类
87,0,WORD_WEAPON_ARBALEST_LIMIT,MST_Contents_000087,石弓熟练度,,"255,255,0",10,提示中的物品种类
88,0,WORD_WEAPON_WAND_LIMIT,MST_Contents_000088,魔杖熟练度,,"255,255,0",10,提示中的物品种类
89,0,WORD_TOOLTIP_USETITEM,MST_Contents_000089,使用物品,,"255,255,0",10,物品提示的物品种类
90,0,WORD_TOOLTIP_ITEM_CLASS,MST_Contents_000090,等级,,"255,255,0",10,物品提示的物品等级
91,0,WORD_TOOLTIP_ITEM_KIND,MST_Contents_000091,种类,,"255,255,0",10,物品提示的物品种类
92,0,WORD_TOOLTIP_ITEM_GRADE,MST_Contents_000092,强化阶段,,"255,255,0",10,物品提示的物品强化阶段
93,0,WORD_TOOLTIP_ITEM_PERIOD,MST_Contents_000093,使用期满,,"255,255,0",10,物品提示的使用期间
94,0,WORD_TOOLTIP_ITEM_RACE_LIMIT,MST_Contents_000094,种族要求,,"228,108,10",10,物品提示的种族限制
95,0,WORD_TOOLTIP_ITEM_SEX_LIMIT,MST_Contents_000095,性别限制,,"228,108,10",10,物品提示的性别限制
96,0,WORD_TOOLTIP_ITEM_EFFECT,MST_Contents_000096,<TC '228:109:10' Text'物品使用效果'/>,,"255,255,255",10,物品提示的穿着效果测试
97,0,WORD_STATUS_STR,MST_Contents_000097,<TC '255:255:0' Text'力量'/>,,"255,255,0",10,提示中的seutet
98,0,WORD_STATUS_CON,MST_Contents_000098,<TC '255:255:0' Text'体力'/>,,"255,255,0",10,提示中的seutet
99,0,WORD_STATUS_WIS,MST_Contents_000099,<TC '255:255:0' Text'技能'/>,,"255,255,0",10,提示中的seutet
100,0,WORD_STATUS_MEN,MST_Contents_000100,<TC '255:255:0' Text'战斗值'/>,,"255,255,0",10,提示中的seutet
101,0,WORD_STATUS_AGILITY,MST_Contents_000101,<TC '255:255:0' Text'敏捷度'/>,,"255,255,0",10,提示中的seutet
102,0,WORD_TOOLTIP_ITEM_HPFIXED,MST_Contents_000102,<TC '255:255:0' Text'最大生命'/>,,"255,255,0",10,提示的能力值
103,0,WORD_TOOLTIP_ITEM_HPR,MST_Contents_000103,<TC '255:255:0' Text'生命恢复量'/>,,"255,255,0",10,提示的能力值
104,0,WORD_TOOLTIP_ITEM_MPFIXED,MST_Contents_000104,<TC '255:255:0' Text'最大法力'/>,,"255,255,0",10,提示的能力值
105,0,WORD_TOOLTIP_ITEM_MPR,MST_Contents_000105,<TC '255:255:0' Text'法力恢复量'/>,,"255,255,0",10,提示的能力值
106,0,WORD_TOOLTIP_ITEM_POP,MST_Contents_000106,<TC '255:255:0' Text'物理攻击度'/>,,"255,255,0",10,提示的能力值
107,0,WORD_TOOLTIP_ITEM_MOP,MST_Contents_000107,<TC '255:255:0' Text'魔法攻击度'/>,,"255,255,0",10,提示的能力值
108,0,WORD_TOOLTIP_ITEM_POD,MST_Contents_000108,<TC '255:255:0' Text'物理防御度'/>,,"255,255,0",10,提示的能力值
109,0,WORD_TOOLTIP_ITEM_MOD,MST_Contents_000109,<TC '255:255:0' Text'魔法防御度'/>,,"255,255,0",10,提示的能力值
110,0,WORD_TOOLTIP_ITEM_FIRE,MST_Contents_000110,<TC '255:255:0' Text'耐火度'/>,,"255,255,0",10,提示的能力值
111,0,WORD_TOOLTIP_ITEM_WATER,MST_Contents_000111,<TC '255:255:0' Text'耐水度'/>,,"255,255,0",10,提示的能力值
112,0,WORD_TOOLTIP_ITEM_AIR,MST_Contents_000112,<TC '255:255:0' Text'空气受阻度'/>,,"255,255,0",10,提示的能力值
113,0,WORD_TOOLTIP_ITEM_LAND,MST_Contents_000113,<TC '255:255:0' Text'土地受阻度'/>,,"255,255,0",10,提示的能力值
114,0,WORD_TOOLTIP_ITEM_AP,MST_Contents_000114,<TC '255:255:0' Text'命中率'/>,,"255,255,0",10,提示的能力值
115,0,WORD_TOOLTIP_ITEM_DP,MST_Contents_000115,<TC '255:255:0' Text'回血值'/>,,"255,255,0",10,提示的能力值
116,0,WORD_TOOLTIP_ITEM_BP,MST_Contents_000116,<TC '255:255:0' Text'减少受损'/>,,"255,255,0",10,提示的能力值
117,0,WORD_TOOLTIP_ITEM_CP,MST_Contents_000117,<TC '255:255:0' Text'致命值'/>,,"255,255,0",10,提示的能力值
118,0,WORD_TOOLTIP_ITEM_IGN_AT,MST_Contents_000118,<TC '255:255:0' Text'无视防御力攻击'/>,,"255,255,0",10,提示的能力值
119,0,WORD_TOOLTIP_ITEM_AS,MST_Contents_000119,<TC '255:255:0' Text'攻击速度'/>,,"255,255,0",10,提示的能力值
120,0,WORD_TOOLTIP_ITEM_RS,MST_Contents_000120,<TC '255:255:0' Text'移动速度'/>,,"255,255,0",10,提示的能力值
121,0,WORD_TOOLTIP_ITEM_CS,,<TC '255:255:0' Text'施法速度'/>,,"255,255,0",10,提示的能力值
122,0,WORD_TOOLTIP_ITEM_PVP_AT,MST_Contents_000121,<TC '0:176:240' Text'PvP专用攻击'/>,,"255,255,0",10,提示的能力值
123,0,WORD_TOOLTIP_ITEM_PVP_DF,MST_Contents_000122,<TC '0:176:240' Text'PvP专用防御'/>,,"255,255,0",10,提示的能力值
124,0,WORD_TOOLTIP_ITEM_HPRBUFF,MST_Contents_000123,<TC '255:255:0' Text'治愈'/>,,"255,255,255",10,提示的能力值
125,0,WORD_TOOLTIP_ITEM_MPRBUFF,MST_Contents_000124,<TC '255:255:0' Text'法力恢复量'/>,,"255,255,255",10,提示的能力值
126,0,WORD_TOOLTIP_ITEM_DURABILITY,MST_Contents_000125,耐久度,,"255,255,0",10,物品提示的能力值
127,0,WORD_TOOLTIP_ITEM_SOCKET,MST_Contents_000126,灵石,,"255,255,255",10,物品提示的约定高利率测试
128,0,WORD_ITEMSOCKET_SPRITSTONE_NOTUSE_01,MST_Contents_000127,没有效果,,"255,255,255",10,约定高利率装备/从UI中分离没有任何效果时
129,0,WORD_TOOLTOP_ITEM_TRADE_NOT,MST_Contents_000128,无法交易,,"255,0,0",10,提示中的物品交易限制
130,0,WORD_TOOLTOP_ITEM_TRADE_SALE,MST_Contents_000129,无法出售,,"255,0,0",10,提示中的物品交易限制
131,0,WORD_TOOLTOP_ITEM_TRADE_STOREHOUSE,MST_Contents_000130,仓库无法保管,,"255,0,0",10,提示中的物品交易限制
132,0,WORD_TOOLTOP_ITEM_TRADE_GUILD_STOREHOUSE,MST_Contents_000131,公会仓库无法保管,,"255,0,0",10,提示中的物品交易限制
133,0,WORD_TOOLTOP_ITEM_TRADE_BREAK,MST_Contents_000132,无法破坏物品,,"255,0,0",10,提示中的物品交易限制
134,0,WORD_TOOLTOP_ITEM_ITEMSET_KIND,MST_Contents_000133,装置种类,,"255,255,0",10,提示中的物品交易限制
135,0,WORD_TOOLTOP_ITEM_ITEMSET_EFFECT,MST_Contents_000134,装置效果,,"255,255,0",10,提示中的物品交易限制
136,0,WORD_TOOLTOP_ITEM_ENCHANT_STEP,MST_Contents_000135,强化阶段,,"255,255,0",10,提示中的强化阶段:现阶段/最大阶段
137,0,WORD_TOOLTIP_SKILL_LEVEL,MST_Contents_000136,技能等级,,"255,255,0",10,技能提示中的技能等级
138,0,WORD_TOOLTIP_SKILL_KIND,MST_Contents_000137,技能种类,,"255,255,0",10,技能提示中的技能种类
139,0,WORD_TOOLTIP_SKILL_PASSIVE_FACTOR,MST_Contents_000138,被动,,"255,255,0",10,技能提示中的技能种类
140,0,WORD_TOOLTIP_SKILL_FIRE_ATTACK,MST_Contents_000139,攻击,,"255,255,0",10,技能提示中的技能种类
141,0,WORD_TOOLTIP_SKILL_FIRE_HEAL,MST_Contents_000140,特殊,,"255,255,0",10,技能提示中的技能种类
142,0,WORD_TOOLTIP_SKILL_FIRE_FIND,MST_Contents_000141,特殊,,"255,255,0",10,技能提示中的技能种类
143,0,WORD_TOOLTIP_SKILL_FIRE_MOVE,MST_Contents_000142,特殊,,"255,255,0",10,技能提示中的技能种类
144,0,WORD_TOOLTIP_SKILL_FIRE_INIT,MST_Contents_000143,特殊,,"255,255,0",10,技能提示中的技能种类
145,0,WORD_TOOLTIP_SKILL_FIRE_SWAP,MST_Contents_000144,特殊,,"255,255,0",10,技能提示中的技能种类
146,0,WORD_TOOLTIP_SKILL_FIRE_REBIRTH,MST_Contents_000145,特殊,,"255,255,0",10,技能提示中的技能种类
147,0,WORD_TOOLTIP_SKILL_FIRE_RECALL,MST_Contents_000146,特殊,,"255,255,0",10,技能提示中的技能种类
148,0,WORD_TOOLTIP_SKILL_BUFF_FACTOR,MST_Contents_000147,buff,,"255,255,0",10,技能提示中的技能种类
149,0,WORD_TOOLTIP_SKILL_BUFF_REFLEX,MST_Contents_000148,特殊,,"255,255,0",10,技能提示中的技能种类
150,0,WORD_TOOLTIP_SKILL_BUFF_UNBEATEN,MST_Contents_000149,特殊,,"255,255,0",10,技能提示中的技能种类
151,0,WORD_TOOLTIP_SKILL_BUFF_BLOCK,MST_Contents_000150,特殊,,"255,255,0",10,技能提示中的技能种类
152,0,WORD_TOOLTIP_SKILL_BUFF_PARTYBLOCK,MST_Contents_000151,特殊,,"255,255,0",10,技能提示中的技能种类
153,0,WORD_TOOLTIP_SKILL_BUFF_HIDE,MST_Contents_000152,特殊,,"255,255,0",10,技能提示中的技能种类
154,0,WORD_TOOLTIP_SKILL_BUFF_HIDEEYE,MST_Contents_000153,特殊,,"255,255,0",10,技能提示中的技能种类
155,0,WORD_TOOLTIP_SKILL_BUFF_TRANS,MST_Contents_000154,特殊,,"255,255,0",10,技能提示中的技能种类
156,0,WORD_TOOLTIP_SKILL_DEBUFF_FACTOR,MST_Contents_000155,底buff,,"255,255,0",10,技能提示中的技能种类
157,0,WORD_TOOLTIP_SKILL_DEBUFF_STUN,MST_Contents_000156,特殊,,"255,255,0",10,技能提示中的技能种类
158,0,WORD_TOOLTIP_SKILL_DEBUFF_FEAR,MST_Contents_000157,特殊,,"255,255,0",10,技能提示中的技能种类
159,0,WORD_TOOLTIP_SKILL_DEBUFF_SLEEP,MST_Contents_000158,特殊,,"255,255,0",10,技能提示中的技能种类
160,0,WORD_TOOLTIP_SKILL_SUMMON_TRAP,MST_Contents_000159,特殊,,"255,255,0",10,技能提示中的技能种类
161,0,WORD_TOOLTIP_SKILL_SUMMON_SPELL,MST_Contents_000160,特殊,,"255,255,0",10,技能提示中的技能种类
162,0,WORD_TOOLTIP_SKILL_TARGET,MST_Contents_000161,目标,,"255,255,0",10,技能提示中的适用对象
163,0,WORD_TOOLTIP_SKILL_INPUTTYPE1,MST_Contents_000162,自己,,"255,255,0",10,技能提示中的适用对象
164,0,WORD_TOOLTIP_SKILL_INPUTTYPE2,MST_Contents_000163,宿命,,"255,255,0",10,技能提示中的适用对象
165,0,WORD_TOOLTIP_SKILL_INPUTTYPE3,MST_Contents_000164,圆形地域,,"255,255,0",10,技能提示中的范围技能种类
166,0,WORD_TOOLTIP_SKILL_INPUTTYPE4,MST_Contents_000165,直线地域,,"255,255,0",10,技能提示中的范围技能种类
167,0,WORD_TOOLTIP_SKILL_NUMBER,MST_Contents_000166,适用人数,,"255,255,0",10,技能提示中的适用对象人数
168,0,WORD_TOOLTIP_SKILL_NEED_POINT,MST_Contents_000167,需要技能点,,"255,255,0",10,技能提示中的必要要点
169,0,WORD_TOOLTIP_SKILL_NEED_WEAPON,MST_Contents_000168,需要主武器,,"255,255,0",10,技能提示中的必要武器
170,0,WORD_TOOLTIP_SKILL_NEED_WEAPON_LEVEL,MST_Contents_000169,需要武器熟练度等级,,"255,255,0",10,技能提示中的必要武器熟练度等级
171,0,WORD_TOOLTIP_SKILL_NEED_MAIN_WEAPON,MST_Contents_000170,主武器必须注册,,"255,255,0",10,技能提示中的主武器种类
172,0,WORD_TOOLTIP_SKILL_NEED_PC_LEVEL,MST_Contents_000171,需要角色等级,,"255,255,0",10,技能提示中的PC等级
173,0,WORD_TOOLTIP_SKILL_NEED_SKILL_KIND,MST_Contents_000172,需要技能,,"255,255,0",10,技能提示中的必要技能
174,0,WORD_TOOLTIP_SKILL_COMSUME_HP,MST_Contents_000173,消耗生命,,"255,255,0",10,技能提示中的消耗HP
175,0,WORD_TOOLTIP_SKILL_COMSUME_MP,MST_Contents_000174,<TC '255:255:0' Text'消耗法力'/>,,"255,255,0",10,技能提示中的消耗MP
176,0,WORD_TOOLTIP_SKILL_CASTING_TIME,MST_Contents_000175,<TC '255:255:0' Text'施法时间'/>,,"255,255,0",10,技能提示中的施法时间
177,0,WORD_TOOLTIP_SKILL_CASTING_FAILRATE,MST_Contents_000176,<TC '255:255:0' Text'被攻击时解除概率'/>,,"255,255,0",10,技能提示中的施法失败概率
178,0,WORD_TOOLTIP_SKILL_CASTING_MOVING,MST_Contents_000177,<TC '255:255:0' Text'施法时移动'/>,,"255,255,0",10,技能提示中的施法时移动
179,0,WORD_TOOLTIP_SKILL_ATTACK_MOVING,MST_Contents_000178,<TC '255:255:0' Text'使用时移动'/>,,"255,255,0",10,技能提示中的攻击时移动
180,0,WORD_TOOLTIP_SKILL_CASTING_CANCEL,MST_Contents_000179,取消,,"255,255,0",10,技能提示中的选定途中有/无移动 
181,0,WORD_TOOLTIP_SKILL_CASTING_ABLE,MST_Contents_000180,可以,,"255,255,0",10,技能提示中的选定途中有/无移动 
182,0,WORD_TOOLTIP_SKILL_CASTNG_NOT,MST_Contents_000181,不可以,,"255,255,0",10,技能提示中的选定途中有/无移动 
183,0,WORD_TOOLTIP_SKILL_COOLTIME,MST_Contents_000182,再使用时间,,"255,255,0",10,技能提示中的再次使用时间
184,0,WORD_TOOLTIP_SKILL_ETC,MST_Contents_000183,其他等级效果,,"255,255,0",10,表示技能提示中的下一等级效果目录
185,0,WORD_TOOLTIP_SKILL_NEED_OPEN_POINT,MST_Contents_000184,学习技能必须加点,,"255,255,0",10,表示技能提示中的打开技能必要要点
186,0,WORD_BUFF_TIMEUNIT_DAY,MST_Contents_000185,日,,"255,255,0",10,buff提示单位-日
187,0,WORD_BUFF_TIMEUNIT_HOUR,MST_Contents_000186,时,,"255,255,0",10,buff提示单位-时
188,0,WORD_BUFF_TIMEUNIT_MINUTE,MST_Contents_000187,分,,"255,255,0",10,buff提示单位-分
189,0,WORD_BUFF_TIMEUNIT_SECOND,MST_Contents_000188,秒,,"255,255,0",10,buff提示单位-秒
190,0,WORD_BUFF_TIMEUNIT_HOURS,MST_Contents_000189,时间,,"255,255,0",10,buff提示单位-时间
191,0,WORD_LANCE_SKILL1,MST_Contents_000190,基本,,"255,255,0",10,技能窗口提示名称-长枪
192,0,WORD_LANCE_SKILL2,MST_Contents_000191,一击(辅攻者),,"255,255,0",10,技能窗口提示名称-长枪
193,0,WORD_LANCE_SKILL3,MST_Contents_000192,防御(主要防御者),,"255,255,0",10,技能窗口提示名称-长枪
194,0,WORD_STAFF_SKILL1,MST_Contents_000193,基本,,"255,255,0",10,技能窗口提示名称-手杖
195,0,WORD_STAFF_SKILL2,MST_Contents_000194,混沌(辅助混乱师),,"255,255,0",10,技能窗口提示名称-手杖
196,0,WORD_STAFF_SKILL3,MST_Contents_000195,生命(主要治疗师),,"255,255,0",10,技能窗口提示名称-手杖
197,0,WORD_AXE_SKILL1,MST_Contents_000196,基本,,"255,255,0",10,技能窗口提示名称-斧头
198,0,WORD_AXE_SKILL2,MST_Contents_000197,破坏(主攻者),,"255,255,0",10,技能窗口提示名称-斧头
199,0,WORD_AXE_SKILL3,MST_Contents_000198,守卫(辅助防御),,"255,255,0",10,技能窗口提示名称-斧头
200,0,WORD_BOW_SKILL1,MST_Contents_000199,基本,,"255,255,0",10,技能窗口提示名称-弓箭
201,0,WORD_BOW_SKILL2,MST_Contents_000200,射击(主攻者),,"255,255,0",10,技能窗口提示名称-弓箭
202,0,WORD_BOW_SKILL3,MST_Contents_000201,陷阱(辅助混乱师),,"255,255,0",10,技能窗口提示名称-弓箭
203,0,WORD_CHARKRAM_SKILL1,MST_Contents_000202,基本,,"255,255,0",10,技能窗口提示名称-环刃
204,0,WORD_CHARKRAM_SKILL2,MST_Contents_000203,禁区(辅助治疗师),,"255,255,0",10,技能窗口提示名称-环刃
205,0,WORD_CHARKRAM_SKILL3,MST_Contents_000204,干扰(主要混乱师),,"255,255,0",10,技能窗口提示名称-环刃
206,0,WORD_CANNON_SKILL1,MST_Contents_000205,大炮1,,"255,255,0",10,技能窗口提示名称-大炮
207,0,WORD_CANNON_SKILL2,MST_Contents_000206,大炮2,,"255,255,0",10,技能窗口提示名称-大炮
208,0,WORD_CANNON_SKILL3,MST_Contents_000207,大炮3,,"255,255,0",10,技能窗口提示名称-大炮
209,0,WORD_DAGGER_SKILL1,MST_Contents_000208,短剑1,,"255,255,0",10,技能窗口提示名称-短剑
210,0,WORD_DAGGER_SKILL2,MST_Contents_000209,短剑2,,"255,255,0",10,技能窗口提示名称-短剑
211,0,WORD_DAGGER_SKILL3,MST_Contents_000210,短剑3,,"255,255,0",10,技能窗口提示名称-短剑
212,0,WORD_ORB_SKILL1,MST_Contents_000211,玄机1,,"255,255,0",10,技能窗口提示名称-??
213,0,WORD_ORB_SKILL2,MST_Contents_000212,玄机2,,"255,255,0",10,技能窗口提示名称-??
214,0,WORD_ORB_SKILL3,MST_Contents_000213,玄机3,,"255,255,0",10,技能窗口提示名称-??
215,0,WORD_MAGICGUN_SKILL1,MST_Contents_000214,基本,,"255,255,0",10,技能窗口提示名称-马坦剑
