TID,Type,LoadType,ContentsLimit,Name,EngName,Channel,MapX,MapY,MapSizeX,MapSizeY,WorldProperty,RebirthTime,Human_Pos,Human_Pos1,Human_Pos2,Human_Invasion,Human_Radius,MoonElf_Pos,MoonElf_Pos1,MoonElf_Pos2,MoonElf_Invasion,MoonElf_Radius,DragonScion_Pos,DragonScion_Pos1,DragonScion_Pos2,DragonScion_Invasion,DragonScion_Radius,Orc_Pos,Orc_Pos1,Orc_Pos2,Orc_Invasion,Orc_Radius,SunFilePath,Desc
1100,7,1,15,黑色马鬃高地(Lv.30~40) - 小规模战场,BlackmaneHighland,0,1,1,512,512,1100,15000,447.799|307.563|3.09,442.705|270.149|1.082,446.038|224.911|6.528,,5,79.998|230.225|3.881,75.860|269.174|2.208,87.559|315.393|6.575,,5,447.799|307.563|3.09,442.705|270.149|1.082,446.038|224.911|6.528,,5,79.998|230.225|3.881,75.860|269.174|2.208,87.559|315.393|6.575,,5,sun_roomlight.nif,贝德尔克劳德
1101,7,1,15,黑色马鬃高地(Lv.41~45) - 小规模战场,BlackmaneHighland,0,1,1,512,512,1100,15000,447.799|307.563|3.09,442.705|270.149|1.082,446.038|224.911|6.528,,5,79.998|230.225|3.881,75.860|269.174|2.208,87.559|315.393|6.575,,5,447.799|307.563|3.09,442.705|270.149|1.082,446.038|224.911|6.528,,5,79.998|230.225|3.881,75.860|269.174|2.208,87.559|315.393|6.575,,5,sun_roomlight.nif,贝德尔克劳德
1102,7,1,15,黑色马鬃高地(Lv.46~50) - 小规模战场,BlackmaneHighland,0,1,1,512,512,1100,15000,447.799|307.563|3.09,442.705|270.149|1.082,446.038|224.911|6.528,,5,79.998|230.225|3.881,75.860|269.174|2.208,87.559|315.393|6.575,,5,447.799|307.563|3.09,442.705|270.149|1.082,446.038|224.911|6.528,,5,79.998|230.225|3.881,75.860|269.174|2.208,87.559|315.393|6.575,,5,sun_roomlight.nif,贝德尔克劳德
1103,7,1,15,黑色马鬃高地(Lv.51~55) - 小规模战场,BlackmaneHighland,0,1,1,512,512,1100,15000,447.799|307.563|3.09,442.705|270.149|1.082,446.038|224.911|6.528,,5,79.998|230.225|3.881,75.860|269.174|2.208,87.559|315.393|6.575,,5,447.799|307.563|3.09,442.705|270.149|1.082,446.038|224.911|6.528,,5,79.998|230.225|3.881,75.860|269.174|2.208,87.559|315.393|6.575,,5,sun_roomlight.nif,贝德尔克劳德
1110,7,1,15,泪光火石般的大地(Lv.30~40) - 小规模战场,Calledtheplains,0,1,1,512,512,1110,15000,256.14|121.73|50,256.14|121.73|50,256.14|121.73|50,,1,255.72|388.77|50,255.72|388.77|50,255.72|388.77|50,,1,256.14|121.73|50,256.14|121.73|50,256.14|121.73|50,,1,255.72|388.77|50,255.72|388.77|50,255.72|388.77|50,,1,sun_roomlight.nif,贝德尔克劳德
1111,7,1,15,泪光火石般的大地(Lv.41~45) - 小规模战场,Calledtheplains,0,1,1,512,512,1110,15000,256.14|121.73|50,256.14|121.73|50,256.14|121.73|50,,1,255.72|388.77|50,255.72|388.77|50,255.72|388.77|50,,1,256.14|121.73|50,256.14|121.73|50,256.14|121.73|50,,1,255.72|388.77|50,255.72|388.77|50,255.72|388.77|50,,1,sun_roomlight.nif,贝德尔克劳德
1112,7,1,15,泪光火石般的大地(Lv.46~50) - 小规模战场,Calledtheplains,0,1,1,512,512,1110,15000,256.14|121.73|50,256.14|121.73|50,256.14|121.73|50,,1,255.72|388.77|50,255.72|388.77|50,255.72|388.77|50,,1,256.14|121.73|50,256.14|121.73|50,256.14|121.73|50,,1,255.72|388.77|50,255.72|388.77|50,255.72|388.77|50,,1,sun_roomlight.nif,贝德尔克劳德
1113,7,1,15,泪光火石般的大地(Lv.51~55) - 小规模战场,Calledtheplains,0,1,1,512,512,1110,15000,256.14|121.73|50,256.14|121.73|50,256.14|121.73|50,,1,255.72|388.77|50,255.72|388.77|50,255.72|388.77|50,,1,256.14|121.73|50,256.14|121.73|50,256.14|121.73|50,,1,255.72|388.77|50,255.72|388.77|50,255.72|388.77|50,,1,sun_roomlight.nif,贝德尔克劳德
1120,7,1,15,叹息的山谷(Lv.30~40) - 小规模战场,EventBattle,0,1,1,512,512,1120,10000,252.57|111.74|32.62,252.57|111.74|32.62,252.57|111.74|32.62,,5,263.46|393.38|34.55,263.46|393.38|34.55,263.46|393.38|34.55,,5,252.57|111.74|32.62,252.57|111.74|32.62,252.57|111.74|32.62,,5,272.76|409.22|35.07,272.76|409.22|35.07,272.76|409.22|35.07,,5,sun_roomlight.nif,贝德尔克劳德
1121,7,1,15,叹息的山谷(Lv.41~45) - 小规模战场,EventBattle,0,1,1,512,512,1120,10000,252.57|111.74|32.62,252.57|111.74|32.62,252.57|111.74|32.62,,5,263.46|393.38|34.55,263.46|393.38|34.55,263.46|393.38|34.55,,5,252.57|111.74|32.62,252.57|111.74|32.62,252.57|111.74|32.62,,5,272.76|409.22|35.07,272.76|409.22|35.07,272.76|409.22|35.07,,5,sun_roomlight.nif,贝德尔克劳德
1122,7,1,15,叹息的山谷(Lv.46~50) - 小规模战场,EventBattle,0,1,1,512,512,1120,10000,252.57|111.74|32.62,252.57|111.74|32.62,252.57|111.74|32.62,,5,263.46|393.38|34.55,263.46|393.38|34.55,263.46|393.38|34.55,,5,252.57|111.74|32.62,252.57|111.74|32.62,252.57|111.74|32.62,,5,272.76|409.22|35.07,272.76|409.22|35.07,272.76|409.22|35.07,,5,sun_roomlight.nif,贝德尔克劳德
1123,7,1,15,叹息的山谷(Lv.51~55) - 小规模战场,EventBattle,0,1,1,512,512,1120,10000,252.57|111.74|32.62,252.57|111.74|32.62,252.57|111.74|32.62,,5,263.46|393.38|34.55,263.46|393.38|34.55,263.46|393.38|34.55,,5,252.57|111.74|32.62,252.57|111.74|32.62,252.57|111.74|32.62,,5,272.76|409.22|35.07,272.76|409.22|35.07,272.76|409.22|35.07,,5,sun_roomlight.nif,贝德尔克劳德
1130,7,1,15,阿修罗剑道场(Lv.30~40) - 小规模战场,Occupation,0,1,1,512,512,1130,10000,236.748|193.659|-4.802,255.956|188.331|-4.840,273.205|193.121|-4.802,,5,254.919|323.177|-4.861,273.948|320.293|-4.861,236.535|318.880|-4.828,,5,236.748|193.659|-4.802,255.956|188.331|-4.840,273.205|193.121|-4.802,,5,254.919|323.177|-4.861,273.948|320.293|-4.861,236.535|318.880|-4.828,,5,sun_roomlight.nif,贝德尔克劳德
1131,7,1,15,阿修罗剑道场(Lv.41~45) - 小规模战场,Occupation,0,1,1,512,512,1130,10000,236.748|193.659|-4.802,255.956|188.331|-4.840,273.205|193.121|-4.802,,5,254.919|323.177|-4.861,273.948|320.293|-4.861,236.535|318.880|-4.828,,5,236.748|193.659|-4.802,255.956|188.331|-4.840,273.205|193.121|-4.802,,5,254.919|323.177|-4.861,273.948|320.293|-4.861,236.535|318.880|-4.828,,5,sun_roomlight.nif,贝德尔克劳德
1132,7,1,15,阿修罗剑道场(Lv.46~50) - 小规模战场,Occupation,0,1,1,512,512,1130,10000,236.748|193.659|-4.802,255.956|188.331|-4.840,273.205|193.121|-4.802,,5,254.919|323.177|-4.861,273.948|320.293|-4.861,236.535|318.880|-4.828,,5,236.748|193.659|-4.802,255.956|188.331|-4.840,273.205|193.121|-4.802,,5,254.919|323.177|-4.861,273.948|320.293|-4.861,236.535|318.880|-4.828,,5,sun_roomlight.nif,贝德尔克劳德
1133,7,1,15,阿修罗剑道场(Lv.51~55) - 小规模战场,Occupation,0,1,1,512,512,1130,10000,236.748|193.659|-4.802,255.956|188.331|-4.840,273.205|193.121|-4.802,,5,254.919|323.177|-4.861,273.948|320.293|-4.861,236.535|318.880|-4.828,,5,236.748|193.659|-4.802,255.956|188.331|-4.840,273.205|193.121|-4.802,,5,254.919|323.177|-4.861,273.948|320.293|-4.861,236.535|318.880|-4.828,,5,sun_roomlight.nif,贝德尔克劳德
1140,7,1,3,CTF1,Capture,0,1,1,512,512,1130,10000,82.752|232.399|2.195,74.592|269.943|2.184,85.766|315.016|6.624,,5,254.919|323.177|-4.861,273.948|320.293|-4.861,236.535|318.880|-4.828,,5,236.748|193.659|-4.802,255.956|188.331|-4.840,273.205|193.121|-4.802,,5,254.919|323.177|-4.861,273.948|320.293|-4.861,236.535|318.880|-4.828,,5,sun_roomlight.nif,贝德尔克劳德
1141,7,1,3,CTF2,Capture,0,1,1,512,512,1130,10000,82.752|232.399|2.195,74.592|269.943|2.184,85.766|315.016|6.624,,5,254.919|323.177|-4.861,273.948|320.293|-4.861,236.535|318.880|-4.828,,5,236.748|193.659|-4.802,255.956|188.331|-4.840,273.205|193.121|-4.802,,5,254.919|323.177|-4.861,273.948|320.293|-4.861,236.535|318.880|-4.828,,5,sun_roomlight.nif,贝德尔克劳德
2000,2,0,0,世界 字段,worldfield,1,18,18,512,512,2000,0,1787.25|4767.33|70.05,1758.22|4759.87|68.40,1758.22|4759.87|68.40,6798.03|7799.27|108.94|6798.03|7799.27|108.94|6798.03|7799.27|108.94|2014.11|4878.31|174.39|2014.11|4878.31|174.39|2014.11|4878.31|174.39,3,6303.5|8350.27|122.7,6283.719|8351.395|122.705,6311.582|8331.926|122.705,1770.83|4766.45|68.62|1770.83|4766.45|68.62|1770.83|4766.45|68.62|7039.83|7822.47|91.45|7039.83|7822.47|91.45|7039.83|7822.47|91.45,3,2514|5330|26,2501|5325|26,2514|5330|26,7039.83|7822.47|91.45|7039.83|7822.47|91.45|7039.83|7822.47|91.45|1770.83|4766.45|68.62|1770.83|4766.45|68.62|1770.83|4766.45|68.62,3,6998.62|7856.60|81.95,7002.06|7834.72|82.67,7002.06|7834.72|82.67,1990.31|5014.03|144.11|1990.31|5014.03|144.11|1990.31|5014.03|144.11|6797.80|7935.23|126.86|6797.80|7935.23|126.86|6797.80|7935.23|126.86,3,sun_default_a.nif,字段
2001,2,1,2,贝特尔克拉温德 - 舞风峡谷,NewHero,0,1,1,512,512,2001,0,176.05|328.62|7.92,176.05|328.62|7.92,176.05|328.62|7.92,,5,331.17|198.59|7.94,331.17|198.59|7.94,331.17|198.59|7.94,,5,176.05|328.62|7.92,176.05|328.62|7.92,176.05|328.62|7.92,,5,331.17|198.59|7.94,331.17|198.59|7.94,331.17|198.59|7.94,,5,sun_roomlight.nif,贝德尔克劳德
2002,2,1,2,贝特尔克拉温德 - 光芒普照的盆地,Occupation,0,1,1,512,512,2002,0,251.57|123.583|32.62,251.57|123.583|32.62,251.57|123.583|32.62,,5,264.309|391.075|3.194,264.309|391.075|3.194,264.309|391.075|3.194,,5,251.57|123.583|32.62,251.57|123.583|32.62,251.57|123.583|32.62,,5,264.309|391.075|3.194,264.309|391.075|3.194,264.309|391.075|3.194,,5,sun_roomlight.nif,贝德尔克劳德
2003,2,1,2,贝特尔克拉温德 -满是伤痕的大地,Hero,0,1,1,512,512,2003,0,176.05|328.62|7.92,176.05|328.62|7.92,176.05|328.62|7.92,,5,331.17|198.59|7.94,331.17|198.59|7.94,331.17|198.59|7.94,,5,176.05|328.62|7.92,176.05|328.62|7.92,176.05|328.62|7.92,,5,331.17|198.59|7.94,331.17|198.59|7.94,331.17|198.59|7.94,,5,sun_roomlight.nif,贝德尔克劳德
2004,2,1,2,贝特尔克拉温德 -圆滚滚的丘陵地,RoundfloorNest,0,1,1,512,512,2004,0,68.96|108.82|-8.38,68.96|108.82|-8.38,68.96|108.82|-8.38,,5,445.33|407.43|46.10,445.33|407.43|46.10,445.33|407.43|46.10,,5,68.96|108.82|-8.38,68.96|108.82|-8.38,68.96|108.82|-8.38,,5,445.33|407.43|46.10,445.33|407.43|46.10,445.33|407.43|46.10,,5,sun_roomlight.nif,贝德尔克劳德
2005,2,1,2,贝特尔克拉温德 - 凌晨的露水沙漠,DesrtDew,0,1,1,512,512,2005,0,451.67|33.46|-18.71,474.99|82.82|-18.75,474.99|82.82|-18.75,,4,65.00|482.30|-18.79,32.77|440.92|-18.79,32.77|440.92|-18.79,,4,451.67|33.46|-18.71,474.99|82.82|-18.75,474.99|82.82|-18.75,,4,65.00|482.30|-18.79,32.77|440.92|-18.79,32.77|440.92|-18.79,,4,sun_roomlight.nif,贝德尔克劳德
2006,2,0,2,贝特尔克拉温德 -星屑大地,PieceoflandStars,0,2,1,512,512,2006,0,171.36|293.50|5.63,171.36|293.50|5.63,171.36|293.50|5.63,,4,851.36|183.79|6.88,851.36|183.79|6.88,851.36|183.79|6.88,,4,171.36|293.50|5.63,171.36|293.50|5.63,171.36|293.50|5.63,,4,851.36|183.79|6.88,851.36|183.79|6.88,851.36|183.79|6.88,,4,sun_roomlight.nif,贝德尔克劳德
2500,2,1,0,高级城市,,0,1,1,512,512,2500,0,0.00|0.00|0.00,0.00|0.00|0.00,0.00|0.00|0.00,6798.03|7799.27|108.94|6798.03|7799.27|108.94|6798.03|7799.27|108.94|2014.11|4878.31|174.39|2014.11|4878.31|174.39|2014.11|4878.31|174.39,,0.00|0.00|0.00,0.00|0.00|0.00,0.00|0.00|0.00,,,0.00|0.00|0.00,0.00|0.00|0.00,0.00|0.00|0.00,,,0.00|0.00|0.00,0.00|0.00|0.00,0.00|0.00|0.00,,,sun_roomlight.nif,城市
2501,2,1,0,删除城市,,0,1,1,512,512,2501,0,0.00|0.00|0.00,0.00|0.00|0.00,0.00|0.00|0.00,,,0.00|0.00|0.00,0.00|0.00|0.00,0.00|0.00|0.00,,,0.00|0.00|0.00,0.00|0.00|0.00,0.00|0.00|0.00,,,0.00|0.00|0.00,0.00|0.00|0.00,0.00|0.00|0.00,1990.31|5014.03|144.11|1990.31|5014.03|144.11|1990.31|5014.03|144.11|6797.80|7935.23|126.86|6797.80|7935.23|126.86|6797.80|7935.23|126.86,,sun_roomlight.nif,城市
3000,0,1,3,扔,Dungeon,0,1,1,512,512,3000,0,0.00|0.00|0.00,0.00|0.00|0.00,0.00|0.00|0.00,,,0.00|0.00|0.00,0.00|0.00|0.00,0.00|0.00|0.00,,,0.00|0.00|0.00,0.00|0.00|0.00,0.00|0.00|0.00,,,0.00|0.00|0.00,0.00|0.00|0.00,0.00|0.00|0.00,,,sun_roomlight.nif,扔字段
4000,4,1,3,洛坎的实验室 (普通),Laboratory_Rokan,0,1,1,512,512,4000,0,147.78|56.77|6.91,153.75|56.19|7.18,153.75|56.19|7.18,,2,147.78|56.77|6.91,153.75|56.19|7.18,153.75|56.19|7.18,,2,147.78|56.77|6.91,153.75|56.19|7.18,153.75|56.19|7.18,,2,147.78|56.77|6.91,153.75|56.19|7.18,153.75|56.19|7.18,,2,sun_roomlight.nif,高级 即时
4001,4,1,3,洛坎的实验室 (困难),Laboratory_Rokan,0,1,1,512,512,4000,0,147.78|56.77|6.91,153.75|56.19|7.18,153.75|56.19|7.18,,2,147.78|56.77|6.91,153.75|56.19|7.18,153.75|56.19|7.18,,2,147.78|56.77|6.91,153.75|56.19|7.18,153.75|56.19|7.18,,2,147.78|56.77|6.91,153.75|56.19|7.18,153.75|56.19|7.18,,2,sun_roomlight.nif,高级 即时
4002,4,1,3,洛坎的实验室 (极困难),Laboratory_Rokan,0,1,1,512,512,4000,0,147.78|56.77|6.91,153.75|56.19|7.18,153.75|56.19|7.18,,2,147.78|56.77|6.91,153.75|56.19|7.18,153.75|56.19|7.18,,2,147.78|56.77|6.91,153.75|56.19|7.18,153.75|56.19|7.18,,2,147.78|56.77|6.91,153.75|56.19|7.18,153.75|56.19|7.18,,2,sun_roomlight.nif,高级 即时
4003,4,1,3,洛坎的实验室 (炼狱),Laboratory_Rokan,0,1,1,512,512,4003,0,61.99|47.49|74.84,61.99|47.49|74.84,61.99|47.49|74.84,,2,61.99|47.49|74.84,61.99|47.49|74.84,61.99|47.49|74.84,,2,61.99|47.49|74.84,61.99|47.49|74.84,61.99|47.49|74.84,,2,61.99|47.49|74.84,61.99|47.49|74.84,61.99|47.49|74.84,,2,sun_roomlight.nif,高级 即时
4010,4,1,3,深渊神殿(普通),Temple_Abyss,0,1,1,512,512,4010,0,80.76|449.84|73.87,74.85|449.73|74.05,74.85|449.73|74.05,,2,80.76|449.84|73.87,74.85|449.73|74.05,74.85|449.73|74.05,,2,80.76|449.84|73.87,74.85|449.73|74.05,74.85|449.73|74.05,,2,80.76|449.84|73.87,74.85|449.73|74.05,74.85|449.73|74.05,,2,sun_roomlight.nif,高级 即时
4011,4,1,3,深渊神殿(困难),Temple_Abyss,0,1,1,512,512,4010,0,80.76|449.84|73.87,74.85|449.73|74.05,74.85|449.73|74.05,,2,80.76|449.84|73.87,74.85|449.73|74.05,74.85|449.73|74.05,,2,80.76|449.84|73.87,74.85|449.73|74.05,74.85|449.73|74.05,,2,80.76|449.84|73.87,74.85|449.73|74.05,74.85|449.73|74.05,,2,sun_roomlight.nif,高级 即时
4012,4,1,3,深渊神殿(极困难),Temple_Abyss,0,1,1,512,512,4010,0,80.76|449.84|73.87,74.85|449.73|74.05,74.85|449.73|74.05,,2,80.76|449.84|73.87,74.85|449.73|74.05,74.85|449.73|74.05,,2,80.76|449.84|73.87,74.85|449.73|74.05,74.85|449.73|74.05,,2,80.76|449.84|73.87,74.85|449.73|74.05,74.85|449.73|74.05,,2,sun_roomlight.nif,高级 即时
4013,4,1,3,深渊神殿(炼狱),Temple_Abyss,0,1,1,512,512,4013,0,221.402|463.566|30.919,219.402|455.566|30.919,221.402|463.566|30.919,,2,221.402|463.566|30.919,219.402|455.566|30.919,221.402|463.566|30.919,,2,221.402|463.566|30.919,219.402|455.566|30.919,221.402|463.566|30.919,,2,221.402|463.566|30.919,219.402|455.566|30.919,221.402|463.566|30.919,,2,sun_roomlight.nif,高级 即时
4020,4,1,3,奎里奥德矿山(普通),Curiode_mine,0,1,1,512,512,4020,0,463.30|167.08|0.83,463.30|167.08|0.83,463.30|167.08|0.83,,2,463.30|167.08|0.83,463.30|167.08|0.83,463.30|167.08|0.83,,2,463.30|167.08|0.83,463.30|167.08|0.83,463.30|167.08|0.83,,2,463.30|167.08|0.83,463.30|167.08|0.83,463.30|167.08|0.83,,2,sun_roomlight.nif,高级 即时
4021,4,1,3,奎里奥德矿山(困难),Curiode_mine,0,1,1,512,512,4020,0,463.30|167.08|0.83,463.30|167.08|0.83,463.30|167.08|0.83,,2,463.30|167.08|0.83,463.30|167.08|0.83,463.30|167.08|0.83,,2,463.30|167.08|0.83,463.30|167.08|0.83,463.30|167.08|0.83,,2,463.30|167.08|0.83,463.30|167.08|0.83,463.30|167.08|0.83,,2,sun_roomlight.nif,高级 即时
4022,4,1,3,奎里奥德矿山(极困难),Curiode_mine,0,1,1,512,512,4020,0,463.30|167.08|0.83,463.30|167.08|0.83,463.30|167.08|0.83,,2,463.30|167.08|0.83,463.30|167.08|0.83,463.30|167.08|0.83,,2,463.30|167.08|0.83,463.30|167.08|0.83,463.30|167.08|0.83,,2,463.30|167.08|0.83,463.30|167.08|0.83,463.30|167.08|0.83,,2,sun_roomlight.nif,高级 即时
4023,4,1,3,奎里奥德矿山(炼狱),Curiode_mine,0,1,1,512,512,4023,0,403.438|256.203|3.155,403.438|256.203|3.155,403.438|256.203|3.155,,2,403.438|256.203|3.155,403.438|256.203|3.155,403.438|256.203|3.155,,2,403.438|256.203|3.155,403.438|256.203|3.155,403.438|256.203|3.155,,2,403.438|256.203|3.155,403.438|256.203|3.155,403.438|256.203|3.155,,2,sun_roomlight.nif,高级 即时
4030,4,1,3,火焰祭坛(普通),Flame_Altar,0,1,1,512,512,4030,0,262.35|44.27|0,248.08|43.65|0,248.08|43.65|0,,2,262.35|44.27|0,248.08|43.65|0,248.08|43.65|0,,2,262.35|44.27|0,248.08|43.65|0,248.08|43.65|0,,2,262.35|44.27|0,248.08|43.65|0,248.08|43.65|0,,2,sun_roomlight.nif,高级 即时
4031,4,1,3,火焰祭坛(困难),Flame_Altar,0,1,1,512,512,4030,0,262.35|44.27|0,248.08|43.65|0,248.08|43.65|0,,2,262.35|44.27|0,248.08|43.65|0,248.08|43.65|0,,2,262.35|44.27|0,248.08|43.65|0,248.08|43.65|0,,2,262.35|44.27|0,248.08|43.65|0,248.08|43.65|0,,2,sun_roomlight.nif,高级 即时
4032,4,1,3,火焰祭坛(极困难),Flame_Altar,0,1,1,512,512,4030,0,262.35|44.27|0,248.08|43.65|0,248.08|43.65|0,,2,262.35|44.27|0,248.08|43.65|0,248.08|43.65|0,,2,262.35|44.27|0,248.08|43.65|0,248.08|43.65|0,,2,262.35|44.27|0,248.08|43.65|0,248.08|43.65|0,,2,sun_roomlight.nif,高级 即时
