TID,GroupTID,Step,Comment,SuccessRate,KeepRate,DownRate,ResetRate,CostGhelld,SourceItem01,Item01Value,SourceItem02,Item02Value,STR,CON,WIS,MEN,AGI,HPFixed,HPR,HPRBuff,MPFixed,MPR,MPRBuff,POPMin,POPMax,MOPMin,MOPMax,PD,MD,FD,WD,AD,LD,AP,DP,BP,CP,IGN_AT,PvP_AT,PvP_DF,AS,RS,CS
202,200,2,盾_21~30,9000,9500,10000,0,12710,40002,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,42,0,0,0,0,0,0,1,0,0,0,0,0,0,0
203,200,3,盾_21~30,7500,8500,10000,0,19060,40002,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,63,0,0,0,0,0,0,4,0,0,0,0,0,0,0
204,200,4,盾_21~30,6000,7500,10000,0,25420,40002,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,107,0,0,0,0,0,0,8,0,0,0,0,0,0,0
205,200,5,盾_21~30,4500,6500,10000,0,31770,40002,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,151,0,0,0,0,0,0,12,0,0,0,0,0,0,0
206,200,6,盾_21~30,3500,5500,10000,0,38120,40002,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,195,0,0,0,0,0,0,17,0,0,0,0,0,0,0
207,200,7,盾_21~30,2500,4500,10000,0,44480,40002,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264,264,0,0,0,0,0,0,23,0,0,0,0,0,0,0
208,200,8,盾_21~30,1500,3500,0,10000,50830,40002,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333,333,0,0,0,0,0,0,29,0,0,0,0,3,0,0
209,200,9,盾_21~30,1000,2500,0,10000,57190,40002,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402,402,0,0,0,0,0,0,36,0,0,0,0,5,0,0
210,200,10,盾_21~30,900,1500,0,9000,63540,40002,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,498,498,0,0,0,0,0,0,44,0,0,0,0,7,0,0
211,200,11,盾_21~30,800,0,0,0,69890,40002,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,594,594,0,0,0,0,0,0,54,0,0,0,0,9,0,0
212,200,12,盾_21~30,700,0,0,0,76250,40002,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,690,690,0,0,0,0,0,0,65,0,0,0,0,11,0,0
213,200,13,盾_21~30,600,0,0,0,82600,40002,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,817,817,0,0,0,0,0,0,78,0,0,0,0,13,0,0
214,200,14,盾_21~30,500,0,0,0,88960,40002,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,944,944,0,0,0,0,0,0,93,0,0,0,0,15,0,0
215,200,15,盾_21~30,400,0,0,0,95310,40002,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1071,1071,0,0,0,0,0,0,110,0,0,0,0,17,0,0
251,250,1,盾_31~40,10000,0,0,0,18600,40003,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252,250,2,盾_31~40,9000,9500,10000,0,37190,40003,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,56,0,0,0,0,0,0,1,0,0,0,0,0,0,0
253,250,3,盾_31~40,7500,8500,10000,0,55790,40003,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,84,0,0,0,0,0,0,5,0,0,0,0,0,0,0
254,250,4,盾_31~40,6000,7500,10000,0,74390,40003,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,143,0,0,0,0,0,0,10,0,0,0,0,0,0,0
255,250,5,盾_31~40,4500,6500,10000,0,92980,40003,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,202,0,0,0,0,0,0,16,0,0,0,0,0,0,0
256,250,6,盾_31~40,3500,5500,10000,0,111580,40003,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,261,0,0,0,0,0,0,23,0,0,0,0,0,0,0
257,250,7,盾_31~40,2500,4500,10000,0,130180,40003,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353,353,0,0,0,0,0,0,31,0,0,0,0,0,0,0
258,250,8,盾_31~40,1500,3500,0,10000,148770,40003,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445,445,0,0,0,0,0,0,40,0,0,0,0,3,0,0
259,250,9,盾_31~40,1000,2500,0,10000,167370,40003,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,537,537,0,0,0,0,0,0,50,0,0,0,0,5,0,0
260,250,10,盾_31~40,900,1500,0,9000,185970,40003,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,665,665,0,0,0,0,0,0,62,0,0,0,0,7,0,0
261,250,11,盾_31~40,800,0,0,0,204560,40003,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,793,793,0,0,0,0,0,0,75,0,0,0,0,9,0,0
262,250,12,盾_31~40,700,0,0,0,223160,40003,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,921,921,0,0,0,0,0,0,90,0,0,0,0,11,0,0
263,250,13,盾_31~40,600,0,0,0,241760,40003,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1090,1090,0,0,0,0,0,0,108,0,0,0,0,13,0,0
264,250,14,盾_31~40,500,0,0,0,260350,40003,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1259,1259,0,0,0,0,0,0,128,0,0,0,0,15,0,0
265,250,15,盾_31~40,400,0,0,0,278950,40003,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1428,1428,0,0,0,0,0,0,151,0,0,0,0,17,0,0
301,300,1,盾_41~50,10000,0,0,0,21870,40004,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,300,2,盾_41~50,9000,9500,10000,0,43740,40004,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,70,0,0,0,0,0,0,1,0,0,0,0,0,0,0
303,300,3,盾_41~50,7500,8500,10000,0,65610,40004,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,105,0,0,0,0,0,0,6,0,0,0,0,0,0,0
304,300,4,盾_41~50,6000,7500,10000,0,87470,40004,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,179,0,0,0,0,0,0,12,0,0,0,0,0,0,0
305,300,5,盾_41~50,4500,6500,10000,0,109340,40004,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,253,0,0,0,0,0,0,19,0,0,0,0,0,0,0
306,300,6,盾_41~50,3500,5500,10000,0,131210,40004,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327,327,0,0,0,0,0,0,27,0,0,0,0,0,0,0
307,300,7,盾_41~50,2500,4500,10000,0,153080,40004,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,442,442,0,0,0,0,0,0,36,0,0,0,0,0,0,0
308,300,8,盾_41~50,1500,3500,0,10000,174950,40004,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,557,557,0,0,0,0,0,0,47,0,0,0,0,3,0,0
309,300,9,盾_41~50,1000,2500,0,10000,196820,40004,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,672,672,0,0,0,0,0,0,59,0,0,0,0,5,0,0
310,300,10,盾_41~50,900,1500,0,9000,218680,40004,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,833,833,0,0,0,0,0,0,73,0,0,0,0,7,0,0
311,300,11,盾_41~50,800,0,0,0,240550,40004,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,994,994,0,0,0,0,0,0,89,0,0,0,0,9,0,0
312,300,12,盾_41~50,700,0,0,0,262420,40004,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1155,1155,0,0,0,0,0,0,108,0,0,0,0,11,0,0
313,300,13,盾_41~50,600,0,0,0,284290,40004,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1366,1366,0,0,0,0,0,0,129,0,0,0,0,13,0,0
314,300,14,盾_41~50,500,0,0,0,306160,40004,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1577,1577,0,0,0,0,0,0,154,0,0,0,0,15,0,0
315,300,15,盾_41~50,400,0,0,0,328030,40004,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1788,1788,0,0,0,0,0,0,182,0,0,0,0,17,0,0
351,350,1,盾_51~60,10000,0,0,0,21870,40004,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
352,350,2,盾_51~60,9000,9500,10000,0,43740,40004,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,84,0,0,0,0,0,0,1,0,0,0,0,0,0,0
353,350,3,盾_51~60,7500,8500,10000,0,65610,40004,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,126,0,0,0,0,0,0,8,0,0,0,0,0,0,0
354,350,4,盾_51~60,6000,7500,10000,0,87470,40004,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,214,0,0,0,0,0,0,16,0,0,0,0,0,0,0
355,350,5,盾_51~60,4500,6500,10000,0,109340,40004,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302,302,0,0,0,0,0,0,25,0,0,0,0,0,0,0
356,350,6,盾_51~60,3500,5500,10000,0,131210,40004,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390,390,0,0,0,0,0,0,35,0,0,0,0,0,0,0
357,350,7,盾_51~60,2500,4500,10000,0,153080,40004,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,528,528,0,0,0,0,0,0,47,0,0,0,0,0,0,0
358,350,8,盾_51~60,1500,3500,0,10000,174950,40004,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,666,666,0,0,0,0,0,0,60,0,0,0,0,3,0,0
359,350,9,盾_51~60,1000,2500,0,10000,196820,40004,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,804,804,0,0,0,0,0,0,75,0,0,0,0,5,0,0
360,350,10,盾_51~60,900,1500,0,9000,218680,40004,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,997,997,0,0,0,0,0,0,93,0,0,0,0,7,0,0
361,350,11,盾_51~60,800,0,0,0,240550,40004,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1190,1190,0,0,0,0,0,0,113,0,0,0,0,9,0,0
362,350,12,盾_51~60,700,0,0,0,262420,40004,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1383,1383,0,0,0,0,0,0,136,0,0,0,0,11,0,0
363,350,13,盾_51~60,600,0,0,0,284290,40004,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1636,1636,0,0,0,0,0,0,163,0,0,0,0,13,0,0
364,350,14,盾_51~60,500,0,0,0,306160,40004,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1889,1889,0,0,0,0,0,0,194,0,0,0,0,15,0,0
365,350,15,盾_51~60,400,0,0,0,328030,40004,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2142,2142,0,0,0,0,0,0,230,0,0,0,0,17,0,0
401,400,1,盾_61~70,10000,0,0,0,21870,40004,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
402,400,2,盾_61~70,9000,9500,10000,0,43740,40004,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
403,400,3,盾_61~70,7500,8500,10000,0,65610,40004,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
404,400,4,盾_61~70,6000,7500,10000,0,87470,40004,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0
405,400,5,盾_61~70,4500,6500,10000,0,109340,40004,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0
406,400,6,盾_61~70,3500,5500,10000,0,131210,40004,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0
407,400,7,盾_61~70,2500,4500,10000,0,153080,40004,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0
408,400,8,盾_61~70,1500,3500,0,10000,174950,40004,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,3,0,0
409,400,9,盾_61~70,1000,2500,0,10000,196820,40004,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,5,0,0
410,400,10,盾_61~70,900,1500,0,9000,218680,40004,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,7,0,0
411,400,11,盾_61~70,800,0,0,0,240550,40004,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,9,0,0
412,400,12,盾_61~70,700,0,0,0,262420,40004,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,0,0,0,0,11,0,0
413,400,13,盾_61~70,600,0,0,0,284290,40004,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,0,0,0,0,13,0,0
414,400,14,盾_61~70,500,0,0,0,306160,40004,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,0,0,0,0,15,0,0
415,400,15,盾_61~70,400,0,0,0,328030,40004,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,0,0,0,0,17,0,0
1001,1000,1,矛_1~10,10000,0,0,0,100,40000,1,,,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1002,1000,2,矛_1~10,9000,9500,10000,0,200,40000,1,,,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1003,1000,3,矛_1~10,7500,8500,10000,0,300,40000,1,,,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1004,1000,4,矛_1~10,6000,7500,10000,0,400,40000,1,,,0,0,0,0,0,0,0,0,0,0,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1005,1000,5,矛_1~10,4500,6500,10000,0,500,40000,1,,,0,0,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1006,1000,6,矛_1~10,3500,5500,10000,0,600,40000,1,,,0,0,0,0,0,0,0,0,0,0,0,39,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1007,1000,7,矛_1~10,2500,4500,10000,0,700,40000,1,,,0,0,0,0,0,0,0,0,0,0,0,53,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1008,1000,8,矛_1~10,1500,3500,0,10000,800,40000,1,,,0,0,0,0,0,0,0,0,0,0,0,67,67,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0
1009,1000,9,矛_1~10,1000,2500,0,10000,900,40000,1,,,0,0,0,0,0,0,0,0,0,0,0,81,81,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,5,0,0
1010,1000,10,矛_1~10,900,1500,0,9000,1000,40000,1,,,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,7,0,0
1011,1000,11,矛_1~10,800,0,0,0,1100,40000,1,,,0,0,0,0,0,0,0,0,0,0,0,119,119,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,9,0,0
1012,1000,12,矛_1~10,700,0,0,0,1200,40000,1,,,0,0,0,0,0,0,0,0,0,0,0,138,138,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,11,0,0
1013,1000,13,矛_1~10,600,0,0,0,1300,40000,1,,,0,0,0,0,0,0,0,0,0,0,0,163,163,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,13,0,0
1014,1000,14,矛_1~10,500,0,0,0,1400,40000,1,,,0,0,0,0,0,0,0,0,0,0,0,188,188,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,15,0,0
1015,1000,15,矛_1~10,400,0,0,0,1500,40000,1,,,0,0,0,0,0,0,0,0,0,0,0,213,213,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,17,0,0
1051,1050,1,矛_11~20,10000,0,0,0,1340,40001,1,,,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1052,1050,2,矛_11~20,9000,9500,10000,0,2690,40001,1,,,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1053,1050,3,矛_11~20,7500,8500,10000,0,4030,40001,1,,,0,0,0,0,0,0,0,0,0,0,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1054,1050,4,矛_11~20,6000,7500,10000,0,5370,40001,1,,,0,0,0,0,0,0,0,0,0,0,0,42,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1055,1050,5,矛_11~20,4500,6500,10000,0,6710,40001,1,,,0,0,0,0,0,0,0,0,0,0,0,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1056,1050,6,矛_11~20,3500,5500,10000,0,8060,40001,1,,,0,0,0,0,0,0,0,0,0,0,0,78,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1057,1050,7,矛_11~20,2500,4500,10000,0,9400,40001,1,,,0,0,0,0,0,0,0,0,0,0,0,106,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1058,1050,8,矛_11~20,1500,3500,0,10000,10740,40001,1,,,0,0,0,0,0,0,0,0,0,0,0,134,134,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0
1059,1050,9,矛_11~20,1000,2500,0,10000,12090,40001,1,,,0,0,0,0,0,0,0,0,0,0,0,162,162,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,5,0,0
1060,1050,10,矛_11~20,900,1500,0,9000,13430,40001,1,,,0,0,0,0,0,0,0,0,0,0,0,201,201,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,7,0,0
1061,1050,11,矛_11~20,800,0,0,0,14770,40001,1,,,0,0,0,0,0,0,0,0,0,0,0,240,240,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,9,0,0
1062,1050,12,矛_11~20,700,0,0,0,16110,40001,1,,,0,0,0,0,0,0,0,0,0,0,0,279,279,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,11,0,0
1063,1050,13,矛_11~20,600,0,0,0,17460,40001,1,,,0,0,0,0,0,0,0,0,0,0,0,330,330,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,13,0,0
