TID,Type,Kind,Value,ToRealm,Property,Title,Main,Sender,KeepTerm,AddGhelld,AddItemTID,AddItemCount,LocalDesc
111,4,0,0,2,1,MSG_MAIL_LOL_LOSE2,MSG_MAILMAIN_TEAMWAR_LOSE,MSG_MAIL_AL2,14,,400111,1,泪光火石般的大地失败奖励2（41至45级）
120,4,0,0,2,1,MSG_MAIL_LOL_WIN3,MSG_MAILMAIN_TEAMWAR_WIN,MSG_MAIL_AL2,14,,9069,1,泪光火石般的大地胜利奖励3（46～50级）
121,4,0,0,2,1,MSG_MAIL_LOL_LOSE3,MSG_MAILMAIN_TEAMWAR_LOSE,MSG_MAIL_AL2,14,,400101,1,泪光火石般的大地失败奖励3（46～50级）
130,4,0,0,2,1,MSG_MAIL_LOL_WIN4,MSG_MAILMAIN_TEAMWAR_WIN,MSG_MAIL_AL2,14,,9069,1,泪光火石般的大地胜利奖励4（51～55级）
131,4,0,0,2,1,MSG_MAIL_LOL_LOSE4,MSG_MAILMAIN_TEAMWAR_LOSE,MSG_MAIL_AL2,14,,400111,1,泪光火石般的大地失败奖励4（51～55级）
200,4,0,0,2,1,MSG_MAIL_OCCU_WIN1,MSG_MAILMAIN_TEAMWAR_WIN,MSG_MAIL_AL2,14,,9069,1,山谷胜利的奖励。（30至40级）
201,4,0,0,2,1,MSG_MAIL_OCCU_LOSE1,MSG_MAILMAIN_TEAMWAR_LOSE,MSG_MAIL_AL2,14,,400101,1,山谷失败的奖励。（30至40级）
210,4,0,,2,1,MSG_MAIL_OCCU_WIN2,MSG_MAILMAIN_TEAMWAR_WIN,MSG_MAIL_AL2,14,,9069,1,叹息的山谷胜利奖励2（41至45级）
211,4,0,0,2,1,MSG_MAIL_OCCU_LOSE2,MSG_MAILMAIN_TEAMWAR_LOSE,MSG_MAIL_AL2,14,,400111,1,叹息的山谷失败奖励2（41至45级）
220,4,0,0,2,1,MSG_MAIL_OCCU_WIN3,MSG_MAILMAIN_TEAMWAR_WIN,MSG_MAIL_AL2,14,,9069,1,叹息的山谷胜利奖励3（46～50级）
221,4,0,0,2,1,MSG_MAIL_OCCU_LOSE3,MSG_MAILMAIN_TEAMWAR_LOSE,MSG_MAIL_AL2,14,,400101,1,叹息的山谷失败奖励3（46～50级）
230,4,0,0,2,1,MSG_MAIL_OCCU_WIN4,MSG_MAILMAIN_TEAMWAR_WIN,MSG_MAIL_AL2,14,,9069,1,叹息的山谷胜利奖励4（51～55级）
231,4,0,0,2,1,MSG_MAIL_OCCU_LOSE4,MSG_MAILMAIN_TEAMWAR_LOSE,MSG_MAIL_AL2,14,,400111,1,叹息的山谷失败奖励4（51～55级）
300,4,0,0,2,1,MSG_MAIL_HERO_WIN1,MSG_MAILMAIN_TEAMWAR_WIN,MSG_MAIL_AL2,14,,9069,1,阿修罗剑道场战斗胜利被套奖励1（30至40级）
301,4,0,0,2,1,MSG_MAIL_HERO_LOSE1,MSG_MAILMAIN_TEAMWAR_LOSE,MSG_MAIL_AL2,14,,400101,1,阿修罗剑道场失败奖励1（30至40级）
310,4,0,0,2,1,MSG_MAIL_HERO_WIN2,MSG_MAILMAIN_TEAMWAR_WIN,MSG_MAIL_AL2,14,,9069,1,阿修罗剑道场战斗胜利被套奖励2（41至45级）
311,4,0,0,2,1,MSG_MAIL_HERO_LOSE2,MSG_MAILMAIN_TEAMWAR_LOSE,MSG_MAIL_AL2,14,,400111,1,阿修罗剑道场失败的奖励。（41～45级）
320,4,0,0,2,1,MSG_MAIL_HERO_WIN3,MSG_MAILMAIN_TEAMWAR_WIN,MSG_MAIL_AL2,14,,9069,1,阿修罗剑道场战斗胜利奖励被套3（46～50级）
321,4,0,0,2,1,MSG_MAIL_HERO_LOSE3,MSG_MAILMAIN_TEAMWAR_LOSE,MSG_MAIL_AL2,14,,400101,1,阿修罗剑道场失败奖励3（46～50级）
330,4,0,0,2,1,MSG_MAIL_HERO_WIN4,MSG_MAILMAIN_TEAMWAR_WIN,MSG_MAIL_AL2,14,,9069,1,阿修罗剑道场战斗胜利被套奖励4（51～55级）
331,4,0,0,2,1,MSG_MAIL_HERO_LOSE4,MSG_MAILMAIN_TEAMWAR_LOSE,MSG_MAIL_AL2,14,,400111,1,阿修罗剑道场失败奖励4（51～55级）
1000,4,0,0,2,1,MSG_MAIL_RACE_WIN,MSG_MAILMAIN_RACEWAR_WIN,MSG_MAIL_AL2,14,,400001,3,大规模战场的胜利
1001,4,0,0,2,1,MSG_MAIL_RACE_LOSE,MSG_MAILMAIN_RACEWAR_LOSE,MSG_MAIL_AL2,14,,400001,1,大规模战场击败
1002,4,0,0,2,1,MSG_MAIL_RACE_DRAW,MSG_MAILMAIN_RACEWAR_DRAW,MSG_MAIL_AL2,14,,400001,2,大规模战场平局。
1100,4,0,0,2,1,MSG_MAIL_WAR_KICK,MSG_MAILMAIN_WAR_KICK,MSG_MAIL_AL2,14,,9069,1,战场最大人数超过强制退场时支付的门票（只适用于小规模优先）
2000,3,0,0,2,1,MSG_MAIL_EVENT_COMMON,MSG_MAILMAIN_EVENT_FIRSTLOGIN,MSG_MAIL_AL2,14,,,,最初在线时邮件（测试）
2001,3,0,0,2,1,MSG_MAIL_EVENT_COMMON,MSG_MAILMAIN_EVENT_SOMETIME,MSG_MAIL_AL2,14,,,,在特定的时间上线奖励活动（测试）
2002,3,0,0,2,1,MSG_MAIL_EVENT_COMMON,MSG_MAILMAIN_EVENT_ACCOUNTTIME01,MSG_MAIL_AL2,14,,510027,1,（正在使用该账户）1小时以上连续在线奖励（活动）
2003,3,0,0,2,1,MSG_MAIL_EVENT_COMMON,MSG_MAILMAIN_EVENT_ACCOUNTTIME02,MSG_MAIL_AL2,14,,510028,1,（正在使用该账户），3小时以上连续在线奖励（活动）
2004,3,0,0,2,1,MSG_MAIL_EVENT_COMMON,MSG_MAILMAIN_EVENT_PCTIME,MSG_MAIL_AL2,14,,,,在一定时间内保持在线邮件邮件（PC）（测试）
2005,3,0,0,2,1,MSG_MAIL_THANKS_GIFT,MSG_MAILMAIN_THANKS_GIFT,MSG_MAIL_AL2,14,,510046,1,（正在使用）统治者感谢物品（药水）
2006,3,0,0,2,1,MSG_MAIL_EVENT_COMMON,MSG_MAILMAIN_THANKS_GIFT,MSG_MAIL_AL2,14,,510047,1,（禁用）统治者感谢物品（坐骑）
2007,3,0,0,2,1,MSG_MAIL_THANKS_GIFT2,MSG_MAILMAIN_THANKS_GIFT2,MSG_MAIL_AL2,14,,510048,1,统治者运营团队的承诺活动
3000,2,3,0,0,1,MSG_MAIL_ARCHLORD_COMMON,MSG_MAILMAIN_ARCHLORD_REWARD,MSG_MAIL_AL2,6,,200000,1,统治者头像（上）
3001,2,3,0,1,1,MSG_MAIL_ARCHLORD_COMMON,MSG_MAILMAIN_ARCHLORD_REWARD,MSG_MAIL_AL2,6,,200001,1,统治者头像（不）。）
4000,5,0,0,2,1,MSG_MAIL_CASHSHOP_GIFT,MSG_MAILMAIN_CASHSHOP_GIFT,MSG_MAIL_AL2,5,,,,向用户显示收到的礼物
