TID,WorldTID,Type,Name,Pos,Rotation,Ambient,Diffuse,Specular,Dimmer,Radius,SpotIn,SpotOut
27,1000,0,LightPoint:0027,245.897|273.385|10.378,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,20,0,0
28,1000,0,LightPoint:0028,370.450|183.729|2.296,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,15,0,0
29,1000,0,LightPoint:0029,370.423|194.992|2.296,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,15,0,0
30,1000,0,LightPoint:0030,351.267|152.137|1.929,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,15,0,0
31,1000,0,LightPoint:0031,340.239|152.480|1.929,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,15,0,0
32,1000,0,LightPoint:0032,356.282|131.883|17.810,0.000|0.000|0.000,255.000|255.000|255.000,255.000|255.000|0.000,255.000|255.000|255.000,1,20,0,0
33,1000,0,LightPoint:0033,389.408|186.818|25.537,0.000|0.000|0.000,255.000|255.000|255.000,255.000|255.000|0.000,255.000|255.000|255.000,1,20,0,0
34,1000,0,LightPoint:0034,327.373|213.587|11.046,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,15,0,0
35,1000,0,LightPoint:0035,162.013|365.215|1.967,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,15,0,0
36,1000,0,LightPoint:0036,170.047|365.013|1.992,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,15,0,0
37,1000,0,LightPoint:0037,166.223|385.299|24.853,0.000|0.000|0.000,255.000|255.000|255.000,128.000|255.000|128.000,255.000|255.000|255.000,1,30,0,0
38,1000,0,LightPoint:0038,126.801|346.261|24.853,0.000|0.000|0.000,255.000|255.000|255.000,128.000|255.000|128.000,255.000|255.000|255.000,1,30,0,0
39,1000,0,LightPoint:0039,142.894|347.559|2.279,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,15,0,0
40,1000,0,LightPoint:0040,142.458|341.215|2.279,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,15,0,0
41,1000,0,LightPoint:0041,186.676|321.488|11.045,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,15,0,0
42,1000,0,LightPoint:0042,324.870|264.240|16.920,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,15,0,0
43,1000,0,LightPoint:0043,360.045|274.728|15.305,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,15,0,0
44,1000,0,LightPoint:0044,387.997|262.001|15.645,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,15,0,0
45,1000,0,LightPoint:0045,384.153|273.614|22.810,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,15,0,0
46,1000,0,LightPoint:0046,370.355|277.754|22.810,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,15,0,0
47,1000,0,LightPoint:0047,321.916|299.623|20.041,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,10,0,0
48,1000,0,LightPoint:0048,322.573|311.038|12.976,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,15,0,0
49,1000,0,LightPoint:0049,327.380|325.457|14.849,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,15,0,0
50,1000,0,LightPoint:0050,316.346|343.253|16.122,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,15,0,0
51,1000,0,LightPoint:0051,338.426|360.930|20.769,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,15,0,0
52,1000,0,LightPoint:0052,232.554|378.186|17.633,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,15,0,0
53,1000,0,LightPoint:0053,218.045|370.154|16.295,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,15,0,0
54,1000,0,LightPoint:0054,218.960|402.505|24.900,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,10,0,0
55,1000,0,LightPoint:0055,233.016|404.696|24.900,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,10,0,0
56,1000,0,LightPoint:0056,210.144|368.012|23.853,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,10,0,0
57,1000,0,LightPoint:0057,156.484|284.004|14.711,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,15,0,0
58,1000,0,LightPoint:0058,151.664|263.497|14.711,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,15,0,0
59,1000,0,LightPoint:0059,128.162|288.102|22.344,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,10,0,0
60,1000,0,LightPoint:0060,127.491|273.760|22.344,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,10,0,0
61,1000,0,LightPoint:0061,146.577|267.588|23.682,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,10,0,0
62,1000,0,LightPoint:0062,173.878|279.437|19.934,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,15,0,0
63,1000,0,LightPoint:0063,166.850|235.598|12.693,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,15,0,0
64,1000,0,LightPoint:0064,176.019|218.805|10.674,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,15,0,0
65,1000,0,LightPoint:0065,150.317|193.535|23.008,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,15,0,0
66,1000,0,LightPoint:0066,158.320|181.550|23.008,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,15,0,0
67,1000,0,LightPoint:0067,184.342|188.630|12.742,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,15,0,0
68,1000,0,LightPoint:0068,249.606|144.963|14.105,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,15,0,0
69,1000,0,LightPoint:0069,266.580|154.334|14.309,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,15,0,0
70,1000,0,LightPoint:0070,279.806|126.658|23.180,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,15,0,0
71,1000,0,LightPoint:0071,292.292|133.686|23.180,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,15,0,0
72,1000,0,LightPoint:0072,344.931|237.676|10.253,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,15,0,0
73,1000,0,LightPoint:0073,319.555|182.391|10.918,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,15,0,0
74,1000,0,LightPoint:0074,326.933|201.338|14.620,0.000|0.000|0.000,255.000|255.000|255.000,255.000|255.000|128.000,255.000|255.000|255.000,1,15,0,0
75,1000,0,LightPoint:0075,175.520|326.240|12.814,0.000|0.000|0.000,255.000|255.000|255.000,255.000|255.000|128.000,255.000|255.000|255.000,1,15,0,0
76,1000,0,LightPoint:0076,155.407|315.044|11.475,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,20,0,0
77,1000,0,LightPoint:0077,182.068|337.646|9.774,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,15,0,0
78,1000,0,LightPoint:0078,194.355|341.450|10.621,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,15,0,0
79,2000,0,LightPoint:0079,6976.040|7818.981|83.846,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,15,0,0
80,2000,0,LightPoint:0080,7025.329|7794.819|89.843,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,10,0,0
81,2000,0,LightPoint:0081,7001.640|7883.130|83.841,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,15,0,0
82,2000,0,LightPoint:0082,6799.260|7897.660|127.580,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,20,0,0
83,2000,0,LightPoint:0083,6787.370|7899.240|127.590,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,20,0,0
84,2000,0,LightPoint:0084,6787.080|7925.880|131.970,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,30,0,0
85,2000,0,LightPoint:0085,6786.790|7954.860|131.850,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,30,0,0
86,2000,0,LightPoint:0086,7043.160|7883.400|96.063,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,20,0,0
87,2000,0,LightPoint:0087,7050.670|7785.810|88.060,0.000|0.000|0.000,255.000|255.000|255.000,57.000|81.000|215.000,255.000|255.000|255.000,1.5,30,0,0
88,2000,0,LightPoint:0088,7007.898|7806.790|91.558,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,20,0,0
89,2000,0,LightPoint:0089,6990.690|7816.890|84.280,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,15,0,0
90,2000,0,LightPoint:0090,6786.030|7818.440|116.640,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,20,0,0
91,2000,0,LightPoint:0091,6815.714|8014.520|140.858,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,15,0,0
92,2000,0,LightPoint:0092,4946.863|4157.901|74.010,0.000|0.000|0.000,255.000|255.000|255.000,247.000|203.000|89.000,255.000|255.000|255.000,3,20,0,0
93,2000,0,LightPoint:0093,6977.865|8071.780|-1189.673,0.000|0.000|0.000,255.000|255.000|255.000,230.000|245.000|255.000,255.000|255.000|255.000,2,50,0,0
94,2000,0,LightPoint:0094,0.000|0.000|0.000,0.000|0.000|0.000,255.000|255.000|255.000,255.000|255.000|255.000,255.000|255.000|255.000,1,10,0,0
95,2000,0,LightPoint:0095,6209.891|32562.738|157.610,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|128.000,255.000|255.000|255.000,2,20,0,0
96,2000,0,LightPoint:0096,10774.919|8075.600|154.960,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|128.000,255.000|255.000|255.000,2,30,0,0
97,2000,0,LightPoint:0097,6411.190|7580.600|132.590,0.000|0.000|0.000,255.000|255.000|255.000,235.000|96.000|20.000,255.000|255.000|255.000,2,15,0,0
98,2000,0,LightPoint:0098,6394.500|7580.250|132.590,0.000|0.000|0.000,255.000|255.000|255.000,235.000|96.000|20.000,255.000|255.000|255.000,2,15,0,0
99,2000,0,LightPoint:0099,6417.400|7566.090|132.820,0.000|0.000|0.000,255.000|255.000|255.000,235.000|96.000|20.000,255.000|255.000|255.000,2,12,0,0
100,2000,0,LightPoint:0100,6388.420|7566.110|133.000,0.000|0.000|0.000,255.000|255.000|255.000,235.000|96.000|20.000,255.000|255.000|255.000,2,12,0,0
101,2000,0,LightPoint:0101,6305.498|7566.262|131.644,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,15,0,0
102,2000,0,LightPoint:0102,6308.218|7550.121|129.908,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,15,0,0
103,2000,0,LightPoint:0103,6301.310|7574.200|132.000,0.000|0.000|0.000,255.000|255.000|255.000,255.000|138.000|21.000,255.000|255.000|255.000,1.5,10,0,0
104,2000,0,LightPoint:0104,6315.790|7544.130|137.520,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,15,0,0
105,2000,0,LightPoint:0105,6314.250|7565.000|139.800,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,15,0,0
106,2000,0,LightPoint:0106,6311.227|7568.123|139.819,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|64.000,255.000|255.000|255.000,2,12,0,0
107,2000,0,LightPoint:0107,6232.916|7611.883|131.660,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,15,0,0
108,2000,0,LightPoint:0108,6497.374|7525.235|120.810,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,15,0,0
109,2000,0,LightPoint:0109,6570.931|7457.064|128.292,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,15,0,0
110,2000,0,LightPoint:0110,6391.255|7319.408|115.236,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,15,0,0
111,2000,0,LightPoint:0111,6382.953|7304.110|114.374,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,15,0,0
112,2000,0,LightPoint:0112,6551.941|7306.853|107.159,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|64.000,255.000|255.000|255.000,2.5,25,0,0
113,2000,0,LightPoint:0113,6519.670|7223.430|101.330,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,15,0,0
114,2000,0,LightPoint:0114,6460.900|7250.390|115.993,0.000|0.000|0.000,255.000|255.000|255.000,0.000|255.000|64.000,255.000|255.000|255.000,0.5,40,0,0
115,2000,0,LightPoint:0115,6774.306|7608.701|146.751,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,15,0,0
116,2000,0,LightPoint:0116,6776.637|7597.090|145.421,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,15,0,0
117,2000,0,LightPoint:0117,6801.677|7589.254|144.468,0.000|0.000|0.000,255.000|255.000|255.000,255.000|140.000|20.000,255.000|255.000|255.000,1.7,12,0,0
118,2000,0,LightPoint:0118,6815.650|7619.340|152.470,0.000|0.000|0.000,255.000|255.000|255.000,255.000|140.000|20.000,255.000|255.000|255.000,1.7,15,0,0
119,2000,0,LightPoint:0119,6831.764|7580.814|153.463,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,15,0,0
120,2000,0,LightPoint:0120,6837.400|7584.179|145.623,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,15,0,0
121,2000,0,LightPoint:0121,6842.150|7595.160|145.110,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,15,0,0
122,2000,0,LightPoint:0122,6797.346|7472.270|134.800,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,15,0,0
123,2000,0,LightPoint:0123,6772.490|7452.260|134.370,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,15,0,0
124,2000,0,LightPoint:0124,6797.653|7457.240|136.071,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,20,0,0
125,2000,0,LightPoint:0125,6732.530|7468.830|134.680,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,15,0,0
126,2000,0,LightPoint:0126,6723.750|7458.960|134.330,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,15,0,0
127,2000,0,LightPoint:0127,6715.891|7467.259|133.883,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,15,0,0
128,2000,0,LightPoint:0128,7081.758|7607.988|152.421,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|64.000,255.000|255.000|255.000,2,15,0,0
129,2000,0,LightPoint:0129,7113.900|7539.250|145.330,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,15,0,0
130,2000,0,LightPoint:0130,7109.389|7499.352|145.012,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,15,0,0
131,2000,0,LightPoint:0131,7084.070|7519.335|144.042,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,15,0,0
132,2000,0,LightPoint:0132,6882.884|7228.938|129.436,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,15,0,0
133,2000,0,LightPoint:0133,6930.460|7600.470|149.470,0.000|0.000|0.000,255.000|255.000|255.000,0.000|255.000|64.000,255.000|255.000|255.000,0.4,25,0,0
134,2000,0,LightPoint:0134,6909.027|7523.021|155.299,0.000|0.000|0.000,255.000|255.000|255.000,210.000|195.000|165.000,255.000|255.000|255.000,1,50,0,0
135,2000,0,LightPoint:0135,6917.508|7437.969|140.739,0.000|0.000|0.000,255.000|255.000|255.000,210.000|195.000|165.000,255.000|255.000|255.000,1,50,0,0
136,2000,0,LightPoint:0136,6885.801|7404.253|139.612,0.000|0.000|0.000,255.000|255.000|255.000,0.000|255.000|64.000,255.000|255.000|255.000,0.4,30,0,0
137,2000,0,LightPoint:0137,6800.702|7075.940|102.713,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,1.5,12,0,0
138,2000,0,LightPoint:0138,6816.619|7072.582|103.233,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,1.5,12,0,0
139,2000,0,LightPoint:0139,6777.459|7065.938|112.087,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,15,0,0
140,2000,0,LightPoint:0140,6782.858|7065.021|111.930,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,15,0,0
141,2000,0,LightPoint:0141,6833.268|7055.294|111.992,0.000|0.000|0.000,255.000|255.000|255.000,255.000|140.000|20.000,255.000|255.000|255.000,1.5,12,0,0
142,2000,0,LightPoint:0142,6830.320|7041.000|109.173,0.000|0.000|0.000,255.000|255.000|255.000,255.000|140.000|20.000,255.000|255.000|255.000,1.5,10,0,0
143,2000,0,LightPoint:0143,6814.690|7032.560|112.940,0.000|0.000|0.000,255.000|255.000|255.000,255.000|140.000|20.000,255.000|255.000|255.000,1.5,12,0,0
144,2000,0,LightPoint:0144,6811.865|7043.627|104.568,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,15,0,0
145,2000,0,LightPoint:0145,6806.462|7041.798|106.600,0.000|0.000|0.000,255.000|255.000|255.000,255.000|140.000|20.000,255.000|255.000|255.000,1.5,12,0,0
146,2000,0,LightPoint:0146,7093.260|6876.090|99.960,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,15,0,0
147,2000,0,LightPoint:0147,6904.129|6903.215|99.850,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,15,0,0
148,2000,0,LightPoint:0148,6904.545|6894.745|99.973,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,15,0,0
149,2000,0,LightPoint:0149,6921.691|6909.228|101.062,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,15,0,0
150,2000,0,LightPoint:0150,6914.135|6916.271|100.803,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,15,0,0
151,2000,0,LightPoint:0151,6907.020|6924.789|100.472,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,15,0,0
152,2000,0,LightPoint:0152,6886.562|6921.790|100.500,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,15,0,0
153,2000,0,LightPoint:0153,6977.298|6994.235|92.082,0.000|0.000|0.000,255.000|255.000|255.000,0.000|255.000|64.000,255.000|255.000|255.000,0.7,30,0,0
154,2000,0,LightPoint:0154,7061.635|6988.330|93.737,0.000|0.000|0.000,255.000|255.000|255.000,0.000|255.000|64.000,255.000|255.000|255.000,0.7,20,0,0
155,2000,0,LightPoint:0155,7038.410|6954.900|94.401,0.000|0.000|0.000,255.000|255.000|255.000,0.000|255.000|64.000,255.000|255.000|255.000,0.7,20,0,0
156,2000,0,LightPoint:0156,6940.440|6881.040|95.920,0.000|0.000|0.000,255.000|255.000|255.000,0.000|255.000|64.000,255.000|255.000|255.000,0.7,30,0,0
157,2000,0,LightPoint:0157,6858.990|6928.010|92.726,0.000|0.000|0.000,255.000|255.000|255.000,0.000|255.000|64.000,255.000|255.000|255.000,0.7,30,0,0
158,2000,0,LightPoint:0158,6810.646|6927.800|94.630,0.000|0.000|0.000,255.000|255.000|255.000,0.000|255.000|64.000,255.000|255.000|255.000,0.7,30,0,0
159,2000,0,LightPoint:0159,7095.530|7083.980|122.910,0.000|0.000|0.000,255.000|255.000|255.000,255.000|255.000|0.000,255.000|255.000|255.000,0.3,40,0,0
160,2000,0,LightPoint:0160,7017.247|6917.589|101.086,0.000|0.000|0.000,255.000|255.000|255.000,0.000|255.000|64.000,255.000|255.000|255.000,0.5,30,0,0
161,2000,0,LightPoint:0161,7049.864|6897.145|102.244,0.000|0.000|0.000,255.000|255.000|255.000,0.000|255.000|64.000,255.000|255.000|255.000,0.5,30,0,0
