TID,CharID,Name,BoneList
15,2,TYPE8,Bone_Root|1.000|1.000|1.035|0|Bip01 Pelvis|1.000|1.100|1.050|1|Bip01 Spine|1.000|1.000|1.000|1|Bip01 Spine1|1.000|1.000|1.000|1|Bip01 Spine2|1.000|1.000|1.000|1|Bip01 Neck|1.100|1.000|1.000|1|Bip01 Head|1.010|1.000|1.000|0|Bip01 L Clavicle|0.950|0.950|1.000|1|Bip01 L UpperArm|1.050|1.000|0.900|1|Bip01 L Forearm|1.050|1.000|1.000|1|Bip01 Prop_L|1.000|1.000|1.000|1|Bip01 R Clavicle|0.950|0.950|1.000|1|Bip01 R UpperArm|1.050|1.000|0.900|1|Bip01 R Forearm|1.050|1.000|1.000|1|Bip01 Prop_R|1.000|1.000|1.000|1|Bone_Bust_L|0.950|1.050|1.050|0|Bone_Bust_R|0.950|1.050|1.050|0|Bip01 L Thigh|1.000|0.950|0.950|1|Bip01 L Calf|1.100|0.950|1.000|1|Bip01 R Thigh|1.000|0.950|0.950|1|Bip01 R Calf|1.100|0.950|1.000|1|
16,7,TYPE1,Bone_Root|1.050|1.050|1.050|0|
17,7,TYPE2,Bip01 Pelvis|1.000|1.100|1.100|1|Bip01 Spine|1.000|1.200|1.200|1|Bip01 Spine1|1.000|1.150|1.150|1|Bip01 Spine2|1.000|1.050|1.050|1|Bip01 Neck|1.000|1.050|1.100|1|Bip01 Head|1.015|1.000|1.000|0|e2|1.000|1.020|1.010|0|Bone_Brows|1.000|1.000|1.500|0|Bip01 L Clavicle|1.050|1.000|1.300|1|Bip01 L UpperArm|1.000|1.250|1.000|1|Bip01 Prop_L|1.000|1.000|1.000|1|Bip01 LUpArmTwist|1.100|1.200|1.100|0|Bone_shoulder_L|1.000|1.100|1.000|1|Bip01 R Clavicle|1.050|1.000|1.300|1|Bip01 R UpperArm|1.000|1.250|1.000|1|Bip01 Prop_R|1.000|1.000|1.000|1|Bip01 RUpArmTwist|1.100|1.200|1.100|0|Bone_shoulder_R|1.000|1.100|1.000|1|Bip01 L Calf|1.000|1.100|1.100|1|Bip01 R Calf|1.000|1.100|1.100|1|
18,7,TYPE3,Bone_Root|1.000|1.000|0.940|0|Bip01 Pelvis|1.000|1.800|1.500|1|Bip01 Spine|1.050|1.900|1.800|1|Bip01 Spine1|1.050|1.600|1.500|1|Bip01 Spine2|1.100|1.400|1.300|0|Bip01 Neck|1.000|1.100|1.000|1|Bip01 Head|1.100|1.010|1.100|1|e2|1.100|1.300|1.100|0|Bone_Eye_up|1.000|1.000|1.500|0|Bone_Brows|0.910|1.000|0.850|0|Bip01 L Clavicle|1.050|1.500|1.300|1|Bip01 L UpperArm|1.000|1.250|1.100|1|Bip01 Prop_L|1.000|1.000|1.000|1|Bip01 LUpArmTwist|1.200|1.200|1.000|1|Bip01 R Clavicle|1.050|1.500|1.300|1|Bip01 R UpperArm|1.000|1.250|1.100|1|Bip01 Prop_R|1.000|1.000|1.000|1|Bip01 RUpArmTwist|1.200|1.200|1.000|1|Bip01 L Thigh|0.950|1.500|1.400|1|Bip01 L Calf|0.950|1.000|1.000|0|Bip01 R Thigh|0.950|1.500|1.400|1|Bip01 R Calf|0.950|1.000|1.000|0|
19,7,TYPE4,Bone_Root|1.000|1.000|0.980|0|Bip01 Pelvis|1.000|1.000|1.050|1|Bip01 Spine|1.000|1.000|1.050|1|Bip01 Spine1|1.050|1.000|1.050|1|Bip01 Spine2|1.100|1.150|1.050|1|Bip01 Neck|1.050|1.150|1.300|1|e2|1.020|1.050|1.100|0|Bone_Brows|1.000|1.000|1.500|0|Bip01 L Clavicle|0.900|1.100|1.500|1|Bip01 L UpperArm|1.050|1.200|1.050|1|Bip01 Prop_L|1.000|1.000|1.000|1|Bip01 LUpArmTwist|1.100|1.200|1.050|0|Bip01 R Clavicle|0.900|1.100|1.500|1|Bip01 R UpperArm|1.050|1.200|1.050|1|Bip01 Prop_R|1.000|1.000|1.000|1|Bip01 RUpArmTwist|1.100|1.200|1.050|0|Bip01 L Thigh|0.980|1.000|1.000|0|Bip01 R Thigh|0.980|1.000|1.000|0|
20,7,TYPE5,Bone_Root|1.000|1.000|1.000|1|Bip01 Pelvis|1.050|1.100|1.100|1|Bip01 Spine|1.100|1.100|1.100|1|Bip01 Spine1|1.100|1.000|1.000|1|Bip01 Spine2|1.100|1.100|1.000|1|Bip01 Neck|1.050|1.100|1.100|1|Bip01 L Clavicle|0.850|1.180|1.150|1|Bip01 L UpperArm|1.150|1.200|1.000|1|Bip01 L Forearm|1.050|1.000|1.000|1|Bip01 L Hand|1.000|1.000|1.000|1|Bip01 Prop_L|1.000|1.000|1.000|1|Bip01 LUpArmTwist|1.050|1.200|1.000|0|Bip01 R Clavicle|0.850|1.180|1.150|1|Bip01 R UpperArm|1.150|1.200|1.000|1|Bip01 R Forearm|1.050|1.000|1.000|1|Bip01 R Hand|1.000|1.000|1.000|1|Bip01 Prop_R|1.000|1.000|1.000|1|Bip01 RUpArmTwist|1.050|1.200|1.000|0|Bip01 L Thigh|1.000|1.100|1.100|0|Bip01 R Thigh|1.000|1.100|1.100|0|
21,7,TYPE6,Bone_Root|1.000|1.000|1.030|0|Bip01 Pelvis|0.900|1.000|0.960|1|Bip01 Spine|1.100|0.900|0.900|1|Bip01 Spine1|1.050|0.900|0.900|1|Bip01 Spine2|1.000|1.000|0.900|1|Bip01 Neck|1.100|0.950|0.950|1|Bip01 Head|1.000|1.000|0.975|1|e2|1.000|0.900|1.100|0|Bip01 L Clavicle|0.740|1.060|1.180|1|Bip01 L UpperArm|1.100|1.100|0.800|1|Bip01 L Forearm|1.100|0.900|1.100|1|Bip01 L Hand|1.100|0.900|0.900|0|Bip01 Prop_L|1.000|1.000|1.000|1|Bip01 LUpArmTwist|1.100|1.000|1.100|1|Bip01 R Clavicle|0.740|1.060|1.180|1|Bip01 R UpperArm|1.100|1.100|0.800|1|Bip01 R Forearm|1.100|0.900|1.100|1|Bip01 R Hand|1.100|0.900|0.900|0|Bip01 Prop_R|1.000|1.000|1.000|1|Bip01 RUpArmTwist|1.100|1.000|1.100|1|Bip01 L Thigh|1.050|0.900|0.900|1|Bip01 L Calf|1.050|1.100|1.100|1|Bip01 R Thigh|1.050|0.900|0.900|1|Bip01 R Calf|1.050|1.100|1.100|1|
22,7,TYPE7,Bip01 L Calf|1.000|1.100|1.100|0|Bip01 R Calf|1.000|1.100|1.100|0|Bip01 Spine1|1.000|1.100|1.100|1|Bip01 Spine2|1.100|1.200|1.100|1|Bip01 Neck|1.000|1.100|1.300|1|Bone_Brows|1.000|1.000|2.000|0|Bip01 L Clavicle|1.000|1.200|1.200|1|Bip01 L UpperArm|1.000|1.200|1.200|1|Bip01 L Forearm|1.000|1.300|1.300|1|Bip01 L Hand|1.100|1.200|1.200|0|Bip01 Prop_L|1.000|1.000|1.000|1|Bip01 LUpArmTwist|1.200|1.200|1.300|0|Bone_shoulder_L|1.100|1.200|1.100|1|Bip01 R Clavicle|1.000|1.200|1.200|1|Bip01 R UpperArm|1.000|1.200|1.200|1|Bip01 R Forearm|1.000|1.300|1.300|1|Bip01 R Hand|1.100|1.200|1.200|0|Bip01 Prop_R|1.000|1.000|1.000|1|Bip01 RUpArmTwist|1.200|1.200|1.300|0|Bone_shoulder_R|1.100|1.200|1.100|1|
23,7,TYPE8,Bone_Root|0.980|0.980|1.000|0|Bip01 Pelvis|1.000|1.200|1.200|1|Bip01 Spine|1.000|1.200|1.200|1|Bip01 Spine1|1.100|1.200|1.300|1|Bip01 Spine2|1.150|1.200|1.250|1|Bip01 Neck|1.150|1.250|1.350|1|Bip01 Head|1.020|1.000|1.000|0|e2|1.050|1.300|1.200|0|Bone_Brows|1.000|1.000|2.000|0|Bip01 L Clavicle|1.300|1.400|1.400|1|Bip01 L UpperArm|1.100|1.300|1.300|1|Bip01 L Forearm|1.000|1.300|1.300|0|Bip01 L Hand|1.000|1.100|1.100|0|Bip01 Prop_L|1.000|1.000|1.000|1|Bip01 LUpArmTwist|1.300|1.300|1.200|1|Bone_shoulder_L|1.100|1.200|1.050|0|Bip01 R Clavicle|1.300|1.400|1.400|1|Bip01 R UpperArm|1.100|1.300|1.300|1|Bip01 R Forearm|1.000|1.300|1.300|0|Bip01 R Hand|1.000|1.100|1.100|0|Bip01 Prop_R|1.000|1.000|1.000|1|Bip01 RUpArmTwist|1.300|1.300|1.200|1|Bone_shoulder_R|1.100|1.200|1.050|0|Bip01 L Thigh|1.000|1.200|1.200|0|Bip01 R Thigh|1.000|1.200|1.200|0|
24,8,TYPE1,Bone_Root|1.080|1.080|1.080|0|Bip01 Neck|0.900|1.000|1.000|1|Bip01 Head|1.000|1.000|1.000|1|e2|1.000|1.000|1.000|1|Bip01 L UpperArm|1.100|1.080|1.050|1|Bip01 L Forearm|1.050|1.050|1.050|1|Bip01 R UpperArm|1.100|1.080|1.050|1|Bip01 R Forearm|1.050|1.050|1.050|1|
25,8,TYPE2,Bone_Root|1.050|1.050|1.050|0|Bip01 Spine|1.000|1.100|1.050|1|Bip01 Spine1|1.050|1.100|1.050|1|Bip01 Spine2|1.100|1.100|1.050|1|Bip01 Neck|0.980|1.200|1.200|1|Bip01 Head|1.070|1.060|1.060|1|e2|1.030|1.000|1.000|1|Bip01 L Clavicle|1.000|1.100|1.200|1|Bip01 L UpperArm|1.100|1.100|1.100|1|Bip01 L Forearm|1.050|1.200|1.030|1|Bip01 L Hand|1.200|1.200|1.200|1|Bip01 Prop_L|1.000|1.000|1.000|1|Bip01 LUpArmTwist|1.000|1.100|1.000|0|Bip01 R Clavicle|1.000|1.100|1.200|1|Bip01 R UpperArm|1.100|1.100|1.100|1|Bip01 R Forearm|1.050|1.200|1.030|1|Bip01 R Hand|1.200|1.200|1.200|1|Bip01 Prop_R|1.000|1.000|1.000|1|Bip01 RUpArmTwist|1.000|1.100|1.000|0|Bone_Bust_L|1.000|1.200|1.200|0|Bone_Bust_R|1.000|1.200|1.200|0|Bip01 L Calf|1.000|1.100|1.100|0|Bip01 R Calf|1.000|1.100|1.100|0|
26,8,TYPE3,Bone_Root|1.000|1.000|1.040|1|Bip01 Pelvis|1.000|1.100|1.000|1|Bip01 Spine1|0.950|1.000|1.000|1|Bip01 Neck|0.950|1.100|1.050|1|Bip01 Head|1.050|1.050|1.050|1|e2|1.030|1.000|1.000|1|Bone_Brows|1.000|1.000|0.350|0|Bip01 L Clavicle|0.950|1.100|1.100|1|Bip01 L UpperArm|1.100|1.000|1.000|1|Bip01 L Hand|1.100|1.100|1.100|0|Bip01 Prop_L|1.000|1.000|1.000|1|Bip01 R Clavicle|0.950|1.100|1.100|1|Bip01 R UpperArm|1.100|1.000|1.000|1|Bip01 R Hand|1.100|1.100|1.100|0|Bip01 Prop_R|1.000|1.000|1.000|1|Bone_Bust_L|1.000|0.800|0.800|0|Bone_Bust_R|1.000|0.800|0.800|0|Bip01 L Thigh|1.050|1.150|1.100|1|Bip01 L Calf|1.050|1.000|1.000|1|Bip01 R Thigh|1.050|1.150|1.100|1|Bip01 R Calf|1.050|1.000|1.000|1|
27,8,TYPE4,Bone_Root|1.000|1.000|0.950|0|Bip01 Pelvis|1.200|1.600|1.200|1|Bip01 Spine|1.300|1.650|1.200|1|Bip01 Spine1|1.100|1.600|1.500|1|Bip01 Spine2|1.100|1.400|1.300|1|Bip01 Neck|1.000|1.300|1.350|1|Bip01 Head|1.050|1.050|1.100|1|e2|1.050|1.200|1.100|1|Bone_Brows|1.000|1.000|0.000|1|Bip01 L Clavicle|0.950|1.200|1.300|1|Bip01 L UpperArm|1.080|1.300|1.500|1|Bip01 L Forearm|1.000|1.200|1.200|1|Bip01 L Hand|1.100|1.100|1.100|0|Bip01 Prop_L|1.000|1.000|1.000|1|Bip01 LUpArmTwist|1.200|1.300|1.200|1|Bone_shoulder_L|1.200|1.300|1.200|0|Bip01 R Clavicle|0.950|1.200|1.300|1|Bip01 R UpperArm|1.080|1.300|1.500|1|Bip01 R Forearm|1.000|1.200|1.200|1|Bip01 R Hand|1.100|1.100|1.100|0|Bip01 Prop_R|1.000|1.000|1.000|1|Bip01 RUpArmTwist|1.200|1.300|1.200|1|Bone_shoulder_R|1.200|1.300|1.200|0|Bone_Bust_L|1.000|1.100|1.100|0|Bone_Bust_R|1.000|1.100|1.100|0|Bip01 L Thigh|0.950|1.200|1.200|1|Bip01 L Calf|0.950|1.000|1.000|1|Bip01 R Thigh|0.950|1.200|1.200|1|Bip01 R Calf|0.950|1.000|1.000|1|
